SA3_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
10503,461,231,192,113,29,11,1732,17,169,184,191,172,132,26,0,900,307,1906,1525,1079,783,576,204,52,6435,143,692,779,865,884,539,258,74,4238,997,2540,2107,2059,1995,1213,507,120,11532,154,189,130,114,153,95,35,6,872,59,126,126,201,243,233,127,26,1127,1213,2848,2355,2370,2391,1537,663,145,13530,13,44,35,45,58,60,38,25,323,1013,1432,1203,1105,1100,1033,890,434,8204,2732,7767,6550,5893,5582,3992,2122,736,35359
10601,295,239,278,206,63,8,1341,30,145,174,165,174,156,25,5,869,279,1406,1409,1046,939,803,240,44,6169,259,1063,1187,1265,1143,764,216,47,5951,1832,4750,4085,3822,3237,1815,683,124,20343,303,307,224,186,188,122,23,4,1360,121,192,210,309,360,280,109,30,1619,2260,5251,4519,4319,3782,2219,810,156,23319,20,41,52,46,80,65,32,8,344,1003,1286,1122,1091,957,954,665,294,7374,3863,9437,8758,8168,7351,5162,2056,567,45371
10602,599,406,325,180,52,5,1972,31,236,242,243,203,178,34,9,1172,379,2133,1973,1379,818,652,238,72,7633,294,1253,1483,1402,1088,689,264,51,6529,1671,4154,3537,2927,2456,1426,618,132,16924,226,236,196,153,114,95,30,0,1063,101,156,143,245,331,267,118,31,1403,2004,4551,3882,3325,2904,1791,763,166,19383,23,42,49,58,58,89,38,17,374,487,655,622,484,537,510,490,267,4047,3226,9256,8846,7291,5931,4093,1880,586,41110
10603,292,325,348,327,126,19,1616,19,94,134,185,235,261,75,8,998,177,901,1114,1088,1066,1110,500,89,6041,196,630,952,1201,1380,1199,558,99,6203,1045,2216,2402,2770,2975,2266,1168,235,15068,153,157,139,149,193,162,61,10,1023,78,101,139,224,347,422,222,52,1591,1281,2480,2685,3144,3513,2843,1445,292,17675,8,24,44,53,79,114,75,31,424,467,485,476,626,772,997,1014,509,5347,2145,4778,5697,6618,7388,6849,3791,1049,38309
10604,83,74,78,42,10,5,369,3,37,56,51,48,37,13,0,248,100,494,429,355,239,188,74,23,1905,55,272,352,386,313,221,79,17,1703,525,1361,1182,1128,992,513,184,38,5925,68,86,64,72,64,31,10,0,397,24,67,78,100,108,72,44,13,502,609,1518,1325,1300,1165,622,234,52,6819,3,8,24,22,17,23,6,10,107,306,414,374,370,368,366,252,146,2598,1085,2816,2642,2551,2232,1492,670,254,13737
10701,561,400,327,189,56,8,2089,36,197,225,174,164,125,33,3,965,488,1887,1521,1051,770,540,188,39,6489,310,1011,1196,1268,930,592,207,61,5576,1375,2979,2765,2531,2382,1421,680,202,14340,147,161,162,157,159,87,31,4,915,101,126,187,314,362,267,128,25,1518,1627,3267,3112,3005,2907,1776,844,234,16774,27,26,57,70,70,78,38,17,371,491,631,561,579,558,572,643,404,4447,3010,7544,7239,6544,5724,3875,2012,770,36722
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10703,712,521,503,432,128,21,2844,28,285,321,272,306,328,73,4,1625,530,2251,2147,1702,1352,1239,405,87,9710,374,1317,1634,1708,1538,1123,368,95,8161,1762,3574,3364,3342,3172,2057,927,266,18462,215,200,164,182,212,141,50,11,1183,124,197,196,374,502,448,197,58,2093,2096,3970,3733,3895,3886,2647,1174,340,21736,20,50,57,69,104,117,71,11,502,590,654,657,635,728,846,838,629,5576,3663,9037,9252,8805,8422,6735,3065,1195,50154
10704,2232,1738,1419,995,300,40,9425,60,558,676,600,559,473,128,30,3083,2032,5980,4579,3654,2505,1713,670,169,21295,711,1622,2105,2361,2015,1337,547,166,10856,1975,3525,3253,3490,3375,2094,1113,348,19159,290,181,196,203,243,155,56,25,1340,127,152,263,416,599,571,269,92,2475,2392,3853,3700,4103,4216,2818,1439,460,22979,41,78,102,91,139,151,107,32,745,1067,985,849,825,837,849,963,714,7095,6464,15621,14234,13374,11689,8337,4149,1610,75475
10801,91,99,116,117,64,7,589,6,43,56,54,92,104,35,6,389,51,354,433,397,494,516,219,47,2511,57,177,327,427,529,577,237,64,2404,339,693,816,1069,1383,1202,602,164,6266,41,56,63,74,86,90,36,5,446,23,35,42,102,168,209,105,28,707,410,780,919,1243,1634,1504,738,197,7422,4,3,14,15,41,66,34,13,199,260,209,256,342,484,727,652,386,3325,794,1659,2093,2581,3391,3607,1974,729,16829
10802,125,126,179,141,37,7,699,14,50,82,109,160,141,42,3,606,87,539,606,639,703,672,234,56,3537,57,279,432,593,805,722,242,50,3181,577,1385,1357,1557,2108,1574,658,146,9357,104,132,83,111,155,113,25,8,731,47,65,94,140,220,242,95,35,927,731,1579,1526,1806,2478,1928,778,182,11014,16,23,15,22,57,87,47,14,289,704,811,736,661,869,839,630,326,5586,1602,3370,3527,3960,5256,4526,2004,649,24901
10803,6,3,0,0,3,0,13,0,0,0,5,0,0,0,0,5,0,12,10,10,14,3,0,0,55,0,9,0,8,5,8,4,0,36,3,14,23,13,24,15,4,0,94,0,0,3,0,0,0,0,0,6,0,0,0,0,4,3,0,0,18,5,14,29,16,26,16,8,0,114,0,0,0,0,0,0,0,0,0,0,8,10,7,7,13,4,6,45,5,50,56,31,56,43,25,4,269
10804,487,510,386,385,138,28,2293,13,136,229,300,296,332,101,10,1419,278,1566,1709,1656,1374,1313,608,164,8669,197,640,1143,1392,1470,1373,660,192,7065,1222,2349,2356,2836,3096,2449,1294,383,15973,184,150,147,171,209,192,66,20,1140,107,86,177,266,392,521,296,85,1927,1509,2588,2673,3271,3696,3162,1653,487,19041,23,20,46,62,94,133,97,33,512,541,505,520,600,807,1053,1034,706,5753,2567,5800,6817,7783,8123,7753,4296,1621,44749
10805,200,163,196,238,68,12,1015,3,65,88,142,160,184,48,6,695,110,617,676,727,775,850,300,74,4122,102,379,525,740,972,852,335,76,3970,778,1539,1492,1866,2200,1770,772,164,10585,120,133,108,110,146,149,39,7,803,38,72,96,157,303,311,146,36,1161,943,1745,1699,2133,2646,2232,950,206,12546,17,27,25,28,67,90,51,16,316,542,484,494,563,841,958,890,456,5242,1719,3456,3705,4490,5657,5399,2649,844,27919
10901,465,327,301,184,59,3,1857,20,174,273,264,257,180,53,3,1235,314,1607,1727,1239,910,735,263,50,6846,203,799,883,980,959,707,288,64,4878,1064,2389,2030,1992,1919,1260,506,155,11311,145,148,120,123,111,77,26,5,744,51,74,140,175,238,217,100,29,1033,1260,2613,2286,2293,2264,1553,623,188,13086,19,32,41,32,30,59,49,14,270,603,580,601,585,673,692,605,286,4615,2443,6287,6272,5719,5398,4120,1938,609,32784
10902,13,24,21,6,4,0,120,3,20,25,39,20,12,4,0,121,43,200,186,148,123,81,31,3,814,26,103,127,164,198,87,43,10,760,158,390,312,355,383,213,81,18,1904,23,37,24,21,33,11,5,0,151,12,19,16,28,29,24,13,4,145,190,440,359,405,446,252,99,22,2199,3,4,4,5,9,10,3,0,36,211,234,232,246,266,265,146,65,1668,483,1046,950,1035,1085,716,326,100,5728
10903,99,93,98,60,19,7,503,12,79,102,111,123,98,16,0,549,115,670,724,512,495,358,148,33,3052,66,355,449,529,548,463,222,57,2689,490,1230,1190,1376,1450,1214,487,95,7528,59,58,50,78,102,57,22,0,440,31,42,55,116,131,124,52,15,563,583,1332,1299,1567,1679,1395,553,111,8524,7,10,14,17,35,38,25,10,162,413,433,404,489,701,851,753,387,4436,1197,3011,3090,3314,3677,3270,1740,606,19909
11001,557,426,435,353,165,37,2396,12,106,148,157,168,169,43,4,809,231,1015,840,786,692,553,245,65,4432,100,298,376,487,529,394,199,47,2439,526,968,816,803,894,592,266,61,4924,154,84,69,58,82,44,16,3,512,44,37,52,104,145,119,73,14,589,725,1090,938,969,1119,760,361,80,6031,20,26,25,25,32,32,23,3,186,895,489,337,394,444,424,451,230,3668,1990,3438,3218,3246,3413,2685,1490,472,19956
11002,69,73,80,85,29,8,420,3,41,57,103,83,86,27,5,402,86,445,516,492,420,407,155,32,2560,53,213,321,470,484,453,171,36,2202,522,1040,1023,1092,1288,862,375,62,6267,99,102,64,79,126,52,23,4,546,33,47,57,124,141,150,63,15,622,652,1191,1141,1297,1551,1067,461,75,7439,6,12,10,23,40,39,31,11,175,492,449,518,614,677,769,533,239,4295,1304,2429,2627,3074,3334,2907,1411,403,17491
11003,72,67,42,24,8,3,300,3,49,48,54,42,25,4,0,224,106,542,399,303,211,130,44,19,1748,56,223,214,276,268,159,54,15,1272,369,724,665,558,580,324,127,25,3366,40,49,36,57,42,21,10,0,253,25,23,38,54,90,52,18,5,309,436,798,741,667,709,391,157,32,3930,7,4,5,12,11,18,10,0,69,508,547,547,588,660,479,281,102,3724,1123,2234,2021,1969,1947,1229,565,167,11260
11004,387,320,217,127,61,8,1580,28,161,247,203,184,163,49,10,1045,338,1701,1553,1181,883,728,278,88,6742,129,748,962,1060,1050,677,317,90,5039,1276,2958,2723,2522,2339,1563,670,155,14212,182,232,168,168,156,118,46,3,1082,105,138,163,253,310,324,156,38,1477,1554,3329,3055,2942,2803,2013,875,203,16773,30,60,43,41,58,85,50,9,379,949,1007,946,897,984,1017,910,454,7166,3046,7446,7191,6637,6181,4816,2544,868,38726
11101,1162,937,667,531,167,36,4266,34,265,474,454,435,395,91,16,2167,689,3384,3884,2937,1990,1611,683,128,15300,334,1288,1921,2213,2076,1464,684,173,10155,1917,3875,3855,4101,4015,2790,1393,461,22414,260,230,217,209,212,182,69,10,1388,136,172,236,403,587,582,323,90,2529,2312,4276,4306,4711,4816,3551,1783,566,26326,41,61,77,81,140,140,98,49,683,598,746,758,719,820,1003,1029,612,6285,4035,10761,12585,12052,10938,8692,4544,1578,65180
11102,490,408,376,408,201,48,2269,26,164,211,187,263,227,100,9,1189,313,1714,1695,1197,1038,1058,449,142,7600,267,1006,1186,1238,1253,984,453,148,6542,1478,3290,2948,2992,2845,2119,983,286,16947,228,184,171,167,136,119,46,15,1059,103,155,144,280,344,428,234,74,1755,1807,3625,3265,3433,3325,2664,1265,371,19764,22,40,39,73,75,99,76,26,443,464,525,542,534,623,805,869,579,4938,2917,7396,7430,7074,6957,6245,3407,1319,42742
11103,2801,1887,1377,844,305,69,9770,85,684,784,738,635,565,145,25,3660,2103,8755,6442,4534,2979,2231,807,202,28048,741,2431,2512,2789,2366,1500,666,191,13200,2792,5674,4522,4393,4285,2704,1268,407,26053,471,304,246,280,296,186,71,19,1866,186,238,314,494,604,589,277,91,2785,3444,6218,5085,5169,5184,3475,1612,510,30704,81,129,113,126,135,150,118,44,903,1582,1560,1236,1242,1207,1371,1280,1139,10621,8142,22171,18975,16489,13883,10138,4933,2180,96914
11201,794,746,700,611,179,29,3581,13,161,328,402,415,407,84,9,1831,303,2476,2935,2726,2071,1902,625,148,13181,220,1018,1321,1537,1573,1346,547,158,7715,869,1964,2181,2313,2596,1858,723,215,12717,126,125,101,131,175,137,28,7,834,51,143,199,263,353,423,165,46,1649,1050,2230,2482,2706,3125,2414,924,271,15203,26,55,58,76,108,123,84,32,574,777,1050,1074,1058,1096,1169,784,537,7546,2407,7492,9003,9246,9083,7978,3226,1183,49627
11202,357,400,365,318,111,9,1816,21,118,214,244,281,259,55,12,1202,177,1124,1483,1435,1292,1102,301,70,6978,157,556,748,1005,1121,875,281,74,4822,1054,2066,2036,2114,2391,1472,529,130,11791,162,186,133,148,161,109,26,6,933,81,111,146,202,318,282,119,32,1289,1294,2362,2316,2461,2874,1863,672,171,14021,16,35,30,51,76,96,44,21,360,817,757,833,884,1041,991,742,419,6488,2495,5193,5980,6477,7047,5509,2205,775,35685
11203,585,528,500,447,123,17,2582,13,188,316,300,336,316,82,25,1581,303,1852,2496,2011,1576,1362,499,118,10237,257,926,1425,1526,1694,1307,561,174,7865,1138,2265,2668,3019,3266,2377,1168,364,16261,164,128,165,167,179,147,45,15,1014,88,131,226,285,437,434,221,83,1899,1386,2531,3059,3469,3881,2957,1435,454,19176,21,34,55,60,99,128,93,51,541,768,811,998,1025,1169,1245,1285,1024,8320,2770,6723,8934,8911,9252,7758,4089,1866,50312
11301,183,129,92,41,14,4,758,12,68,85,113,96,61,14,4,458,210,1150,873,695,413,249,111,28,3723,115,528,553,511,462,249,106,25,2543,721,1601,1467,1360,1232,666,241,71,7367,97,100,78,117,107,40,11,0,553,52,99,104,156,160,125,41,9,739,870,1800,1651,1632,1493,833,292,82,8651,21,44,43,18,37,37,23,12,226,567,720,604,664,641,628,459,283,4570,1797,4598,3990,3756,3227,2100,1016,441,20934
11302,60,36,34,26,7,4,198,3,22,47,32,36,47,11,0,201,32,237,219,201,165,141,57,9,1065,25,85,118,185,197,155,63,8,843,183,435,495,451,552,295,130,35,2572,21,25,21,34,33,28,10,0,172,15,20,20,42,63,33,27,11,221,215,477,539,528,648,357,158,39,2965,0,4,9,4,9,14,10,0,44,154,179,210,199,216,209,215,96,1475,431,1052,1199,1185,1306,944,515,161,6794
11303,583,475,407,263,85,26,2393,23,268,312,337,272,218,56,8,1497,564,2472,2274,1686,1145,900,348,90,9485,323,1003,1113,1231,1206,870,393,127,6265,1804,3524,2950,2713,2684,1761,634,164,16235,245,275,174,172,198,136,39,7,1252,81,144,181,274,379,360,146,44,1610,2132,3942,3301,3155,3263,2260,818,221,19103,36,64,54,58,77,75,60,21,452,1157,1123,1024,979,1021,1088,885,526,7796,4266,9400,8662,7925,7396,5673,2649,1016,46986
11401,525,520,602,617,198,35,2952,17,237,297,270,426,441,124,8,1820,300,1764,1751,1555,1799,1664,614,142,9599,189,900,1280,1508,1897,1604,708,160,8248,1489,3424,3228,3295,3876,3210,1585,425,20530,189,209,201,190,266,225,54,19,1353,107,165,204,280,512,629,308,83,2299,1784,3799,3627,3769,4659,4061,1950,535,24184,20,48,54,68,107,177,123,36,634,985,1167,1097,1108,1220,1447,1213,619,8861,3322,8352,8633,8794,10707,10011,4925,1536,56284
11402,473,522,483,590,283,75,2794,12,85,154,211,259,297,106,8,1138,194,994,1322,1375,1230,1306,709,157,7290,143,477,613,914,921,995,578,148,4805,616,1351,1273,1412,1489,1034,622,141,7929,76,70,77,92,120,85,42,8,568,36,56,97,195,253,317,205,39,1199,728,1474,1443,1698,1862,1430,870,187,9699,13,20,34,36,64,113,78,31,390,298,253,315,418,477,588,620,476,3433,1410,3672,4349,5182,5292,5327,3238,1080,29550
11501,6152,3866,2356,1358,396,91,16527,59,321,791,841,661,526,157,28,3395,2187,5903,8633,7047,4859,3386,1214,314,33542,673,1121,2272,3092,2638,1984,909,274,12956,1055,1414,1698,2341,2249,1566,1031,283,11632,140,87,112,167,209,150,77,22,966,127,141,283,480,664,686,348,118,2832,1322,1642,2088,2984,3120,2407,1457,419,15428,46,91,185,195,203,191,160,50,1127,469,556,820,673,624,724,808,873,5547,4851,11866,20941,18695,14466,10564,5096,2049,88524
