SA3_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
10402,223,46,564,349,194,190,66,224,26,1881,0,3,3,0,6,6,0,14,0,30,70,79,47,47,39,14,18,53,15,382,105,74,125,111,74,59,48,165,123,881,3535,7612,4053,4076,3279,1575,838,2056,374,27395
10501,38,7,55,30,31,11,20,33,3,229,0,0,0,0,0,4,0,0,0,11,14,5,5,9,7,3,8,7,10,71,38,26,32,22,16,12,34,43,36,261,1081,1037,712,687,505,153,363,385,105,5024
10502,30,7,98,67,30,28,11,27,0,290,0,0,0,0,0,0,3,0,0,7,8,11,7,4,4,6,9,3,0,56,21,12,28,23,15,19,19,32,31,196,613,1180,884,848,489,176,316,282,83,4879
10503,141,42,332,234,146,112,60,124,14,1198,0,3,3,9,0,8,4,4,0,35,29,34,31,41,37,9,26,33,8,256,93,69,78,100,77,66,77,118,113,788,3364,5310,3252,3294,2553,1133,1005,1472,357,21740
10601,216,46,618,380,178,162,213,219,21,2048,0,4,4,5,0,9,0,3,0,29,49,37,51,41,29,21,74,37,20,368,86,52,145,106,89,58,172,122,131,961,3322,4929,6270,3972,3225,1417,2941,1826,447,28349
10602,163,51,553,364,219,183,143,179,13,1870,0,7,3,0,0,7,6,8,0,24,44,37,51,44,40,17,59,28,8,342,54,51,93,86,67,35,99,98,107,691,3369,6814,5467,4070,3557,1434,1894,1449,395,28453
10603,159,39,463,277,140,136,82,135,19,1454,0,0,4,3,0,0,0,4,0,11,43,37,43,37,48,14,39,25,21,307,54,53,110,75,65,51,70,72,99,655,2597,4269,4154,3055,2509,1142,1069,1248,380,20436
10604,45,6,149,79,40,46,66,65,6,507,0,5,0,0,0,0,0,5,0,9,17,7,27,15,18,6,40,14,4,141,49,18,47,21,22,15,63,60,53,344,1131,1466,2029,915,847,378,1115,826,149,8844
10701,130,34,380,231,190,124,92,158,10,1345,0,0,0,5,0,9,5,4,3,20,25,41,44,37,43,22,50,26,20,312,44,28,97,69,54,36,63,78,107,575,2453,5531,4362,3366,3086,1120,1287,1416,377,22995
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10703,185,60,512,307,206,156,117,161,27,1726,3,3,0,3,3,0,0,0,0,15,57,71,52,35,52,16,40,29,7,347,60,56,125,75,79,47,73,92,123,733,3936,8059,5690,4498,3842,1519,1614,1687,473,31318
10704,251,71,558,366,254,143,86,160,16,1895,5,3,4,6,3,5,4,4,0,33,95,170,55,84,76,17,37,46,19,597,72,116,107,110,94,62,68,82,135,833,6812,17612,6578,5677,5445,2166,1809,1981,634,48707
10801,61,12,226,127,46,63,18,69,10,626,0,0,0,4,0,0,0,0,0,7,19,14,12,13,13,7,3,13,3,97,31,23,46,55,21,39,23,49,47,330,983,1809,1369,1268,822,470,263,601,140,7715
10802,110,21,223,179,64,80,28,123,7,842,0,3,0,4,0,0,0,7,0,19,17,15,23,29,11,9,18,23,3,155,60,35,71,81,42,44,51,87,70,546,1532,2610,1766,2189,1238,635,491,1015,206,11683
10803,0,0,9,0,0,3,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,41,26,26,7,24,11,5,20,4,165
10804,199,58,559,316,206,168,53,189,13,1773,4,5,7,10,3,7,0,3,0,35,42,56,30,42,29,19,28,25,7,279,72,60,94,87,71,66,51,96,114,709,3099,6901,3977,3872,3026,1423,780,1446,357,24889
10805,101,20,277,157,74,83,23,123,11,871,0,0,0,0,0,0,0,6,0,12,17,26,25,30,12,7,19,21,5,171,45,31,83,73,43,58,55,90,66,536,1755,3288,2175,2356,1374,804,626,1080,236,13700
10901,157,33,453,256,150,116,91,133,10,1398,5,4,3,8,5,9,4,0,0,40,45,45,37,40,22,17,32,38,10,279,69,39,99,66,39,33,49,86,80,559,3029,5642,3482,2962,2491,1092,999,1270,311,21277
10902,31,5,63,30,33,14,12,37,5,228,0,0,0,0,0,0,0,0,0,0,5,5,6,8,0,0,0,9,0,33,25,9,27,12,9,13,22,35,24,174,699,620,546,391,341,132,176,310,55,3262
10903,112,15,220,115,84,64,39,96,11,762,4,0,0,0,0,0,0,9,0,20,24,15,20,10,20,6,16,20,3,137,84,21,80,42,36,34,52,91,54,488,2246,2239,1909,1473,1229,511,611,1020,187,11428
11001,72,11,196,87,40,59,16,67,4,544,0,0,0,3,3,0,0,0,0,17,26,40,12,20,22,7,6,20,3,145,47,25,41,28,36,19,17,56,32,310,2107,3504,1467,1410,1318,516,348,910,149,11739
11002,70,11,150,90,49,45,24,82,3,527,0,0,0,0,0,3,0,0,0,9,32,17,13,12,7,5,7,27,0,126,76,18,44,40,27,45,33,97,53,442,1761,1857,1241,1346,944,527,390,890,159,9100
11003,48,9,91,54,42,31,34,34,0,344,0,0,0,0,0,0,0,3,0,11,6,3,4,6,8,3,8,11,6,54,39,25,38,30,25,22,48,40,33,301,1221,1388,932,757,741,277,514,453,98,6396
11004,175,44,422,284,162,141,117,195,19,1551,0,4,0,3,0,6,0,7,0,28,37,46,34,31,24,13,40,38,10,278,99,40,116,89,79,65,101,157,99,865,3438,5879,3917,3287,2746,1239,1568,1948,337,24363
11101,183,70,667,382,278,190,97,182,21,2084,3,4,0,8,4,7,3,5,0,29,53,100,68,52,65,29,47,29,12,459,103,89,154,110,79,71,70,102,133,901,5281,13083,7009,5282,5357,1842,1612,1875,486,41831
11102,144,49,509,273,200,142,95,161,12,1588,8,0,0,3,3,7,4,0,0,27,42,46,41,42,26,10,39,34,12,296,56,46,113,72,64,53,84,69,112,664,2951,6285,5042,3652,3166,1334,1427,1408,408,25671
11103,322,113,1048,558,370,284,136,269,24,3127,6,5,7,12,9,3,3,12,0,50,116,200,94,89,127,48,53,56,28,816,107,137,202,159,138,81,83,146,216,1275,8274,24316,8686,7730,7308,2916,2238,2693,814,64965
11201,259,54,676,324,134,147,53,176,21,1848,3,0,0,0,0,0,0,3,0,15,77,81,55,50,42,30,18,47,22,430,105,97,134,86,56,64,44,105,152,840,4526,8794,4213,3822,2690,1599,717,1778,510,28656
11202,126,24,374,220,106,104,49,178,11,1191,0,8,3,6,3,0,0,6,0,20,55,39,35,30,31,18,20,31,9,280,85,54,78,80,62,48,41,123,82,661,2667,5089,2970,3087,2335,1056,794,1762,308,20076
11203,235,52,646,358,200,180,65,229,22,1988,0,3,0,3,3,7,0,5,0,23,47,72,52,45,40,19,14,38,15,347,107,83,154,111,75,61,63,134,139,929,3650,7417,4845,4054,2998,1540,980,1983,487,27960
11301,85,18,237,145,84,54,47,140,8,814,5,0,0,0,0,0,3,10,0,23,32,21,22,19,20,3,20,70,3,210,79,26,78,48,50,36,60,149,99,627,2362,2720,2337,1582,1526,617,766,1538,278,13716
11302,29,0,59,49,32,27,17,42,6,264,0,0,0,0,0,0,0,6,0,8,12,5,3,5,7,5,8,4,3,45,27,11,19,12,8,8,26,34,24,162,728,771,685,526,404,147,279,390,81,4010
11303,222,54,515,356,179,163,79,208,18,1804,5,3,5,9,10,13,8,17,0,73,71,57,43,50,39,19,34,37,11,367,132,55,135,114,82,67,84,143,145,956,4584,8057,4858,4396,3345,1524,1285,1916,453,30417
11401,237,55,656,388,175,179,83,226,15,2016,0,0,0,3,0,3,0,3,0,26,64,68,49,76,42,20,31,39,15,415,110,60,150,119,87,94,64,120,103,909,3992,7168,5485,4489,3133,1696,1004,2050,418,29434
11402,118,35,339,164,99,78,43,107,15,1005,0,3,0,0,0,0,3,0,0,14,53,64,31,20,30,30,21,24,7,289,62,42,69,33,46,46,44,56,54,454,2975,4830,2937,1817,1815,983,674,1019,254,17303
11501,263,82,333,182,269,174,50,95,17,1463,7,6,4,4,14,4,7,3,0,46,154,232,43,62,190,67,30,25,18,818,133,158,84,52,129,68,40,43,204,913,12434,24811,4827,3736,8425,3079,1053,1401,904,60672
11502,57,26,96,46,76,34,12,34,0,380,0,0,0,0,0,0,0,0,0,5,24,22,13,14,20,7,8,10,4,125,25,20,21,6,19,12,8,6,35,165,2276,2858,1529,639,1317,523,233,367,164,9906
11503,55,12,143,78,99,38,24,44,5,492,0,0,0,0,0,0,0,0,0,3,19,26,20,4,19,0,9,11,4,120,34,16,39,18,37,12,25,21,32,223,1514,1931,1967,911,1173,426,449,467,136,8976
11504,122,44,192,133,193,88,43,50,15,880,4,0,0,3,3,0,0,0,0,13,64,68,26,28,75,22,20,16,11,321,57,62,47,17,45,23,31,19,76,374,4415,7644,2765,1825,3216,1192,662,609,311,22641
11601,172,51,478,260,243,168,304,215,29,1931,7,0,6,5,8,3,3,9,5,55,72,99,87,94,108,57,190,85,25,820,83,104,123,104,151,70,157,139,269,1195,4847,12920,5558,4979,6511,2350,3875,2742,938,44715
11602,259,95,404,271,292,209,201,153,32,1915,9,4,0,5,10,3,8,8,0,41,123,151,84,130,187,69,138,76,28,989,101,112,92,76,132,63,96,84,225,982,8614,20562,5457,4941,8313,2779,2635,1908,972,56178
11603,117,44,295,184,163,134,197,167,19,1317,3,0,3,0,7,0,5,7,0,41,37,46,48,58,68,34,110,51,28,469,42,48,91,92,103,50,191,123,217,966,2322,6168,3627,3732,4160,1491,2926,2000,582,27011
11701,143,50,378,187,147,97,67,123,12,1193,4,0,3,0,0,4,0,8,0,26,41,78,31,39,50,29,26,27,13,327,45,63,73,53,59,44,33,74,141,589,3433,7569,2897,2247,3057,1534,945,1263,443,23394
11702,115,48,250,118,77,50,29,47,7,735,0,5,4,0,7,0,0,3,0,17,143,242,39,29,87,29,14,14,12,610,45,69,54,33,52,26,11,31,76,401,4580,11967,2093,1658,2800,1085,439,680,333,25626
11703,682,198,1537,618,391,284,90,283,52,4128,13,16,15,12,10,18,9,22,0,124,483,754,141,163,274,141,52,62,55,2110,239,384,185,173,167,118,57,159,461,1944,21298,51275,7692,7248,10923,5649,1648,3614,1860,111202
11801,273,108,447,199,156,107,22,66,9,1391,5,6,7,3,7,6,0,4,0,38,264,413,54,73,120,63,12,21,32,1049,205,247,90,56,104,79,18,48,262,1104,14047,27899,3098,2849,5270,3312,510,954,1290,59229
11802,221,98,524,227,243,113,64,129,26,1638,6,11,5,6,10,5,9,12,0,55,208,309,63,71,127,68,22,29,30,933,115,167,122,84,103,60,34,72,219,986,10660,24002,5079,3918,6105,2756,1052,1665,902,56132
11901,233,71,470,296,318,176,116,168,19,1863,9,5,11,8,10,3,9,8,3,61,103,119,66,56,102,32,73,59,23,627,111,136,144,96,159,91,117,109,269,1244,5946,13883,5511,4600,6925,2583,2137,2173,953,44709
11902,200,47,495,253,194,160,122,164,19,1657,3,4,5,10,11,9,8,14,0,62,75,107,58,67,87,45,72,55,25,589,82,106,107,101,115,83,116,103,232,1040,4633,10824,4113,4220,4994,2737,2017,2126,779,36441
11903,229,43,494,239,242,194,93,151,20,1708,3,5,6,6,11,11,5,21,0,77,93,137,51,67,101,52,52,23,26,599,105,154,114,93,113,65,72,81,224,1021,6453,15252,4656,4414,6475,3032,1540,2394,831,45058
11904,270,79,690,344,306,205,124,232,34,2288,3,5,7,6,3,9,9,16,4,67,115,169,70,75,109,55,50,64,33,735,106,155,164,92,129,100,82,124,261,1215,7323,17538,5739,4918,7223,3475,1986,3095,1018,52312
12001,207,53,322,149,171,101,35,69,18,1122,0,3,4,6,4,3,0,5,3,22,118,167,43,33,59,21,10,13,17,488,86,102,58,40,99,43,17,41,144,635,7734,14918,2912,2095,4733,1996,560,886,611,36445
12002,111,44,166,68,76,49,19,27,9,564,0,3,3,0,3,0,0,0,0,10,134,169,11,33,75,29,3,5,7,478,68,82,26,15,38,26,7,3,67,340,6607,12508,1502,1290,2525,1126,243,318,321,26434
12003,279,73,784,308,221,193,99,240,28,2223,9,6,8,7,8,12,9,20,5,86,189,371,91,94,207,86,58,66,28,1193,118,206,153,109,158,93,71,144,358,1404,9610,27139,5618,5486,8169,3898,1732,3539,1231,66427
12101,228,70,382,168,160,110,24,62,14,1221,0,0,0,4,6,4,5,4,0,25,190,237,29,40,107,48,20,17,21,719,107,131,57,53,76,38,22,22,173,675,11425,24397,2868,2675,5731,2572,557,911,869,52004
12102,159,38,345,164,146,74,43,107,9,1090,0,4,3,10,3,0,0,9,0,36,77,150,49,50,76,34,12,32,12,505,49,72,64,38,53,28,21,53,114,496,6025,14942,3463,3132,4617,1645,660,1240,450,36182
12103,144,58,199,102,135,78,23,49,5,791,9,8,0,0,12,5,0,3,0,33,164,227,35,46,117,61,14,10,28,700,108,124,35,24,74,42,16,19,155,598,11889,22892,2205,2220,5673,2301,419,647,841,49077
12104,197,74,282,138,131,92,7,46,9,974,4,14,0,6,0,0,0,0,0,20,210,285,23,37,122,42,12,13,29,777,102,139,43,24,97,39,11,18,135,605,11301,22242,2076,2042,4885,2238,309,598,795,46488
12201,83,39,114,67,56,27,10,17,3,421,0,0,0,0,0,0,0,0,0,6,79,98,14,15,38,7,3,9,10,270,43,55,20,14,31,19,6,11,62,263,5282,8507,1084,1012,1766,999,183,260,314,19403
12202,151,63,221,123,143,81,24,37,9,846,0,4,0,0,0,0,0,0,0,6,86,114,31,29,35,20,14,8,14,343,78,64,38,34,48,47,11,36,86,435,5506,8002,2969,1783,2700,1332,423,634,394,23757
12203,363,114,767,310,302,203,73,155,22,2311,3,3,0,11,5,3,3,4,5,42,220,228,88,80,122,59,50,36,29,910,168,179,174,90,135,78,51,76,197,1138,13809,21806,7298,5297,7303,3459,1429,1957,838,63194
12301,161,48,319,191,227,129,88,108,9,1274,0,0,0,3,3,0,0,5,0,21,51,34,50,26,42,21,25,31,13,291,70,41,90,48,90,35,48,35,102,554,3909,6511,4287,3073,3497,1416,1262,1110,368,25425
12302,235,72,531,316,328,240,231,268,32,2261,3,5,7,7,12,10,12,14,0,66,96,120,82,106,118,59,116,115,26,834,107,119,157,126,157,84,193,182,308,1421,5256,12873,6698,6606,7128,2891,3443,3037,1022,48945
12303,84,18,197,106,155,74,55,71,16,772,0,3,0,4,0,0,0,0,0,8,26,24,26,18,17,10,23,11,8,170,46,27,70,39,55,30,41,35,81,431,2254,3063,3195,1660,1927,717,947,857,273,14895
12401,144,46,306,207,135,96,46,109,14,1098,0,5,4,4,4,0,0,3,0,24,75,146,43,41,57,21,22,23,19,437,36,74,56,45,63,34,24,34,83,449,4218,10406,3596,3228,3152,1120,741,1149,366,27973
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12403,314,111,608,376,496,271,257,248,29,2708,0,12,3,5,13,5,3,10,0,53,82,91,80,83,123,50,121,84,28,741,128,91,164,137,168,79,158,128,249,1309,6762,12820,8323,6339,7671,2714,3276,2641,869,51413
12404,52,11,176,90,102,68,31,62,3,602,0,0,0,0,3,0,0,3,0,16,22,27,25,17,22,11,25,21,7,178,25,14,49,26,40,20,50,31,61,307,1408,2359,2296,1475,1489,614,790,668,206,11294
12405,64,21,164,115,144,80,94,101,5,798,0,0,0,0,8,0,0,0,0,17,19,14,24,22,32,11,50,22,6,207,18,37,61,51,57,24,88,46,88,474,1464,2979,2456,1985,2417,811,1413,991,262,14780
12501,147,34,477,172,136,106,84,135,24,1316,6,3,5,3,3,3,11,18,4,59,57,89,39,44,69,33,41,47,21,446,65,67,124,87,81,74,82,125,308,1010,4023,10650,3160,3462,3935,2094,1566,2373,827,32084
12502,124,27,227,98,118,80,53,71,9,806,0,0,5,3,0,4,0,0,0,21,62,74,39,29,54,20,25,12,9,333,56,66,61,48,80,32,25,31,139,541,4128,9595,2727,2013,3793,1421,746,873,479,25778
12503,118,53,347,224,224,114,141,167,20,1401,3,6,7,11,4,7,3,15,3,60,56,79,61,58,87,38,64,59,26,520,88,108,144,103,141,66,103,125,306,1187,4174,10096,4507,4203,5427,2132,2132,2326,913,35910
12504,208,66,463,236,230,158,179,175,18,1723,3,9,3,0,3,5,9,10,0,48,109,219,64,105,148,55,116,85,40,933,82,167,98,88,122,75,103,95,294,1125,7483,24350,5073,4892,7765,3119,3015,2742,1192,59625
12601,66,19,139,57,62,46,12,32,9,441,3,4,0,0,4,0,0,3,0,12,51,93,18,19,43,21,6,7,6,279,40,72,27,16,35,16,9,14,65,298,3932,10819,1479,1323,2804,1056,340,507,319,22574
12602,284,97,609,220,244,179,63,139,23,1850,7,3,4,0,6,4,7,7,3,46,146,210,42,63,146,54,35,39,25,764,119,200,97,67,102,67,29,45,242,966,10686,25934,5158,3923,7930,3384,1165,1687,978,60839
12701,218,66,391,266,297,198,172,164,29,1802,0,0,6,3,4,3,10,9,0,39,66,65,74,49,75,36,89,31,15,500,100,103,144,112,146,62,142,107,212,1126,5112,10620,5490,4261,5823,2151,2450,1824,740,38475
12702,165,52,336,295,248,176,129,197,17,1618,3,7,11,7,8,0,14,16,3,58,54,81,54,53,73,35,76,44,8,481,94,103,149,114,139,80,162,206,301,1344,3437,9301,4607,3895,5385,2099,2383,2222,784,34122
12703,182,59,337,211,231,116,122,163,30,1452,0,0,8,9,8,3,7,8,0,46,62,83,68,90,97,43,66,48,12,572,102,97,133,119,139,67,116,111,225,1095,4653,11114,4721,4413,5604,2003,2219,1763,724,37218
12801,286,91,454,276,352,176,65,98,22,1828,4,7,4,0,3,4,6,5,0,27,132,112,58,53,71,34,30,30,14,544,122,99,107,90,154,71,36,43,135,863,8940,14280,5990,4051,6046,2483,966,1304,686,44745
12802,216,87,409,251,288,188,68,118,19,1631,4,7,0,4,3,4,0,4,0,30,95,133,60,54,89,28,19,27,11,520,88,96,87,79,134,46,46,54,114,739,7574,14350,6106,4109,6212,2107,1006,1368,520,43354
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
