SA3_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
10501,0,0,0,60,23,76,0,0,0,0,0,0,7,5,4,2683,2350,5030,204,226,433,113,7,121,29,15,46,26,10,34,56,36,91,369,380,749,3543,3052,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,4,7,46,19,69,54,23,78,0,0,0,0,0,0,11,6,10,11,3,18,519,527,1045,295,399,692,54,55,108,4476,4060,8536
10502,0,0,0,5,9,10,3,0,0,0,0,3,5,7,12,2715,2620,5334,233,276,506,46,0,44,42,10,52,26,3,32,34,16,48,206,202,407,3320,3134,6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,34,15,50,41,15,55,0,0,0,0,0,0,0,0,0,4,0,4,248,306,549,407,462,868,32,26,62,4040,3953,7994
10503,0,0,0,85,53,139,4,3,5,0,0,0,27,42,71,11399,10585,21987,867,1013,1885,409,12,416,142,24,168,89,18,106,106,68,170,582,525,1105,13717,12344,26056,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,9,5,14,3,3,3,0,0,0,14,9,20,124,70,192,135,80,219,3,0,8,3,0,6,20,0,20,25,4,30,1595,1886,3481,1096,1820,2917,148,116,263,16719,16253,32969
10601,8,9,20,33,40,78,9,8,18,0,0,0,14,11,22,15172,11406,26585,734,752,1489,491,18,507,123,13,139,45,10,61,127,74,193,659,348,1010,17424,12691,30112,3,5,9,0,0,0,0,0,0,6,3,14,3,0,3,0,5,3,18,13,28,0,0,0,0,0,0,0,5,5,8,11,15,5,0,5,13,10,26,146,63,199,174,79,255,8,0,10,6,0,6,8,0,8,13,0,12,2201,3773,5976,2974,4164,7135,126,104,230,22909,20819,43723
10602,78,54,130,51,67,118,7,0,6,0,0,0,17,11,32,13963,10768,24733,724,776,1501,273,3,280,120,5,127,55,13,65,86,67,155,201,252,457,15580,12020,27598,8,20,25,0,0,0,3,7,10,16,10,29,7,4,11,18,5,20,56,41,99,0,0,0,0,0,0,0,0,3,4,12,12,0,0,4,8,14,21,136,57,197,191,116,306,16,16,32,0,0,0,6,0,3,19,22,42,2812,4446,7258,2668,4058,6724,68,57,121,21340,20713,42055
10603,0,4,5,52,76,123,0,0,5,3,0,3,5,8,14,9718,7609,17323,557,562,1118,325,8,333,81,7,87,69,18,88,67,56,126,305,311,617,11189,8649,19841,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,4,9,0,0,0,0,5,5,3,6,7,4,9,19,5,0,3,13,18,31,110,57,172,132,75,206,0,0,0,6,0,6,8,4,12,10,5,16,2386,3123,5501,2107,3025,5132,102,99,204,15928,14976,30904
10604,5,0,4,17,9,19,0,0,4,0,0,0,0,4,9,5094,4099,9191,297,308,607,109,4,112,54,10,61,36,9,44,80,45,120,224,291,520,5915,4773,10692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,55,18,79,62,27,88,0,0,0,0,0,0,3,0,6,3,0,6,627,888,1517,823,919,1747,59,44,98,7491,6646,14141
10701,103,33,139,110,107,213,7,0,7,0,0,0,23,18,46,11099,8006,19102,593,626,1221,230,3,236,106,0,105,78,0,83,77,48,125,141,135,282,12569,8987,21557,11,7,25,0,0,0,0,0,0,37,13,52,4,5,8,6,5,8,61,33,94,0,0,0,0,0,0,8,5,19,14,15,29,3,5,9,24,28,48,87,46,131,177,98,273,6,7,14,0,3,5,5,0,5,13,15,29,2663,3989,6647,2046,3110,5157,76,59,144,17547,16260,33809
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
10703,100,39,137,79,79,163,0,0,7,0,0,0,10,12,21,14174,10786,24962,647,723,1371,338,9,349,106,10,120,72,14,89,119,73,193,250,309,558,15901,12060,27960,9,15,24,0,0,0,0,0,0,36,8,42,10,6,19,0,0,0,55,31,87,0,0,0,0,0,0,11,11,20,8,14,20,0,0,4,18,23,42,114,40,154,190,99,290,10,9,15,0,0,0,4,0,4,12,6,14,3642,5528,9168,2824,4249,7069,103,87,190,22670,22032,44698
10704,365,217,582,201,295,494,0,0,5,5,3,3,28,34,61,16589,11678,28270,686,988,1677,348,4,354,196,27,219,269,66,336,129,94,222,807,899,1697,19632,14293,33923,39,46,83,0,0,0,3,0,4,92,42,131,8,12,21,15,6,26,159,106,265,0,0,0,0,0,0,13,14,27,11,32,43,13,9,17,37,54,94,161,91,253,355,252,609,26,16,40,7,13,16,5,6,7,33,32,60,8601,10793,19398,4035,6014,10049,95,83,179,32753,31469,64220
10801,0,4,4,28,18,41,3,0,3,0,0,0,4,3,11,3646,3463,7104,244,321,563,140,5,143,28,4,34,32,11,48,40,29,63,266,240,509,4430,4094,8523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,0,9,10,44,25,68,43,32,79,0,0,0,0,0,0,4,0,3,6,0,9,639,834,1473,515,872,1388,71,71,146,5713,5902,11611
10802,5,0,4,31,18,50,0,0,5,0,0,0,12,7,17,5763,5816,11577,421,476,891,279,10,286,47,8,62,46,12,60,57,26,82,317,305,621,6971,6680,13650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,9,3,13,66,29,90,74,32,107,0,0,0,3,0,3,4,0,5,3,0,10,847,1049,1897,746,1158,1901,116,91,207,8759,9013,17776
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,52,5,12,13,0,0,0,4,0,6,31,26,54,3,0,0,14,18,39,91,80,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,28,8,19,27,4,0,6,121,122,241
10804,11,4,12,55,78,130,0,0,7,0,0,0,13,30,43,11719,11532,23253,746,952,1696,349,12,364,168,24,200,101,27,127,76,44,121,446,431,872,13698,13140,26834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,4,10,15,0,13,17,5,0,3,11,17,31,139,87,229,153,110,270,0,0,0,0,4,4,4,0,4,4,10,13,1925,2471,4398,1476,2443,3923,72,95,171,17331,18270,35601
10805,0,0,5,27,37,68,0,0,0,0,0,0,10,20,29,6951,6795,13748,436,528,962,282,8,292,83,10,96,39,12,49,49,19,73,331,301,632,8212,7729,15943,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,3,3,5,3,7,0,0,0,6,10,12,94,41,133,106,49,153,0,0,0,0,0,4,0,0,3,0,0,3,1057,1194,2247,885,1295,2177,112,99,218,10378,10366,20749
10901,3,5,13,42,58,104,6,0,9,0,0,3,32,28,64,11339,10234,21575,632,729,1369,216,6,224,97,24,120,171,55,224,79,29,106,474,458,929,13101,11631,24727,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,7,8,6,10,15,0,0,4,12,13,24,88,63,151,100,79,180,0,0,0,0,5,4,6,7,13,9,9,14,1394,1761,3153,1046,1935,2984,113,78,187,15765,15484,31254
10902,0,0,0,16,11,28,0,0,0,0,0,0,7,0,7,2036,1614,3651,161,137,297,56,0,55,22,4,21,16,12,23,33,17,48,182,183,371,2532,1974,4505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,26,16,14,31,0,0,0,0,0,0,6,0,7,6,0,7,337,354,687,140,253,390,28,29,62,3054,2621,5673
10903,0,0,0,16,15,30,4,0,4,0,0,0,4,8,8,6467,5757,12231,371,378,746,198,0,200,65,8,77,87,30,114,85,26,110,423,405,832,7732,6619,14352,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,4,0,3,10,0,7,84,40,130,92,51,145,0,0,0,0,0,0,13,0,11,13,0,11,1026,1112,2135,621,1156,1780,110,89,204,9591,9033,18620
11001,0,3,3,43,11,51,0,0,0,0,0,0,12,15,28,4476,3912,8395,317,369,689,145,5,156,80,16,94,56,16,76,58,40,96,344,300,649,5539,4695,10229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,16,0,18,3,0,5,23,4,25,58,33,89,77,37,114,0,0,0,0,6,0,8,0,7,5,3,9,1759,2079,3842,992,1332,2327,59,56,115,8430,8206,16638
11002,0,0,0,24,13,33,0,0,5,0,0,0,6,8,18,4609,4410,9012,356,425,787,237,16,251,84,21,108,33,8,39,78,34,114,337,340,679,5761,5285,11051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,7,7,53,27,80,57,33,90,0,0,0,3,0,3,7,0,7,10,0,10,1133,1089,2216,478,794,1270,94,81,177,7531,7280,14814
11003,0,0,0,66,34,106,0,0,5,0,0,0,8,3,10,3838,3272,7101,254,285,540,153,3,155,17,0,18,29,10,39,51,15,67,249,230,478,4661,3861,8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,20,0,24,4,8,11,3,0,3,29,12,37,50,13,66,79,24,105,0,0,0,0,0,0,0,0,0,3,0,3,515,651,1167,337,496,831,51,43,94,5650,5075,10726
11004,4,0,4,170,70,235,4,0,3,0,0,0,24,27,51,12449,11144,23594,973,983,1958,521,17,532,164,20,185,66,11,81,113,66,183,553,501,1060,15042,12846,27889,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,23,6,27,5,7,16,0,0,3,30,14,43,141,67,204,171,83,254,0,0,0,0,3,3,5,0,5,5,3,9,2041,2758,4796,1989,2781,4773,139,100,242,19397,18571,37966
11101,29,17,41,140,199,341,0,0,0,0,0,0,25,20,45,17825,14442,32273,909,1098,2004,394,10,403,212,20,236,132,30,160,87,75,166,318,350,664,20069,16271,36339,9,0,11,0,0,0,4,0,5,9,13,21,7,0,7,0,0,0,26,15,42,0,0,0,0,0,0,8,12,21,15,23,31,0,11,11,28,42,62,157,88,240,207,138,344,8,7,13,9,3,14,0,0,3,17,14,29,5469,7332,12796,3600,5562,9157,110,107,221,29471,29420,58889
11102,60,38,101,46,60,101,3,0,4,0,0,0,12,6,18,12116,9606,21721,593,668,1264,375,12,384,130,18,148,45,11,53,87,42,123,204,195,395,13662,10653,24318,15,16,32,0,0,0,0,0,0,15,8,18,9,6,14,4,0,4,38,25,63,0,0,0,0,0,0,0,9,6,8,17,23,0,3,0,14,28,38,110,47,158,165,103,265,11,12,27,4,4,6,6,0,6,18,20,40,2749,4074,6823,2337,3462,5804,89,60,151,19026,18365,37394
11103,112,48,164,362,476,836,15,28,46,38,29,61,56,66,119,25243,20452,45691,1133,1591,2733,357,7,369,370,85,453,571,248,820,201,129,331,1087,1195,2281,29548,24350,53897,27,14,44,4,0,4,5,0,9,22,6,27,3,6,14,11,3,19,76,37,110,9,4,10,4,6,9,27,32,60,20,43,69,11,25,43,75,111,180,300,194,492,449,338,785,28,14,43,15,11,29,19,7,31,60,38,97,9267,11690,20955,5498,8515,14012,173,127,302,45004,45051,90050
11201,4,3,11,51,49,102,0,0,0,0,0,0,9,4,18,11239,10292,21536,571,680,1253,324,6,332,141,19,158,372,213,586,124,79,200,656,652,1312,13491,12012,25502,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,0,4,4,9,9,0,0,0,0,0,0,3,0,6,6,7,8,3,0,3,14,10,25,132,96,232,153,118,270,0,0,0,0,0,4,5,3,8,9,3,17,3491,4622,8110,2212,3199,5413,155,122,275,19510,20069,39582
11202,0,0,0,52,39,88,9,0,10,0,0,0,19,15,37,9846,8981,18831,646,765,1412,332,10,342,141,15,157,102,19,117,74,37,112,501,446,955,11733,10328,22061,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,4,5,3,9,7,0,0,4,9,8,22,112,53,167,126,64,192,0,0,0,6,0,5,3,3,12,10,8,18,1837,2340,4176,1552,2376,3926,126,107,237,15383,15222,30613
11203,8,3,12,104,87,188,0,0,0,0,0,0,18,10,27,13041,12249,25294,710,922,1631,385,14,395,172,20,195,198,117,311,126,58,179,486,570,1055,15254,14051,29300,4,0,4,0,0,0,0,0,0,15,5,23,3,0,8,0,0,0,24,10,33,0,0,0,0,0,0,5,0,4,13,20,29,3,3,8,17,25,42,138,74,210,177,109,287,8,0,3,4,5,6,3,0,5,13,7,18,2481,3406,5888,1872,3031,4901,142,136,283,19938,20740,40678
11301,0,0,8,32,20,54,8,8,9,0,0,0,15,29,45,9209,7486,16697,816,996,1821,211,12,219,70,10,83,58,18,78,127,37,164,490,409,901,11056,9026,20076,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,3,0,4,10,5,17,0,0,0,0,0,0,5,4,7,3,0,3,0,0,0,4,4,11,92,53,147,113,64,176,0,0,0,0,0,0,5,0,7,6,0,13,836,894,1727,559,1057,1617,92,83,174,12656,11121,23780
11302,0,0,0,14,7,19,0,0,0,0,0,0,0,0,4,2353,1930,4283,171,158,324,69,0,71,22,4,29,7,3,14,31,16,42,158,150,313,2829,2273,5097,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,41,10,54,46,12,55,0,0,0,0,0,0,0,0,0,0,0,0,326,376,702,233,417,654,35,20,55,3472,3095,6570
11303,3,0,3,144,86,224,9,7,20,3,0,3,30,32,56,16481,14823,31306,1284,1217,2502,383,18,400,163,19,184,129,38,165,261,95,358,1078,934,2006,19971,17259,37233,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,12,5,17,12,15,26,3,0,6,29,15,47,195,93,288,234,113,348,0,0,0,0,4,4,15,3,18,17,12,24,1985,2407,4392,1458,2628,4094,164,123,286,23826,22542,46366
