SA4_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
111,729,2541,4546,4399,4299,2709,1073,540,162,20994,32,110,163,245,494,508,327,176,84,2131,865,644,1120,1336,1754,1860,2283,2454,1609,13918,1690,5679,14947,14739,14007,10848,6219,4186,2113,74429,0,59,1444,1519,1129,902,433,87,15,5585,3,50,522,682,658,838,366,87,24,3223,5,1559,6841,5773,3634,3043,1685,600,148,23291,121,868,2635,3005,3192,2893,1625,720,221,15272,557,2249,4236,3607,3703,2455,929,281,139,18166,212,321,419,462,411,384,203,57,16,2478,77,235,401,605,913,1054,835,343,125,4583,852,2801,5056,4678,5030,3889,1960,679,281,25234,11,72,135,156,217,305,330,165,72,1470,566,629,1180,1080,1432,1812,2113,2192,2092,13108,1564,6047,17806,16891,15286,13691,8516,4530,2856,87182,0,93,2026,2467,1740,1227,764,226,33,8571,10,125,811,985,906,880,731,207,33,4697,0,1877,8340,7262,5076,3394,2591,992,256,29790,60,834,2914,3196,3553,3352,2304,1021,307,17548,639,2427,5063,4290,4319,3626,1642,423,159,22587
112,442,1249,2688,2987,3503,2139,711,343,121,14185,15,47,119,225,477,466,278,176,59,1866,638,325,693,949,1293,1482,1603,1840,1101,9917,1148,2365,7255,9944,11025,8905,4599,3089,1480,49803,0,19,410,597,627,649,285,64,10,2664,0,27,250,466,503,631,303,62,10,2246,4,458,2553,3502,2773,2668,1372,456,132,13912,52,385,1426,1993,2428,2579,1473,548,178,11061,314,1002,2238,2473,2685,2255,808,213,103,12093,114,189,260,267,325,327,167,38,15,1698,41,132,285,431,665,799,560,231,85,3230,472,1324,2784,3169,3671,3378,1531,482,205,17023,7,23,76,78,141,233,240,136,58,986,797,506,1066,1302,1702,2139,2008,1835,1407,12767,1337,2735,8561,11093,11843,12286,7215,3581,2000,60651,0,25,744,1060,990,879,651,156,15,4521,3,37,372,617,674,707,568,135,27,3151,5,534,3599,4447,3741,2890,2304,768,159,18441,47,353,1663,2128,2567,2800,2162,798,242,12758,344,1207,2463,2636,2950,2933,1448,331,127,14427
113,406,1199,2178,2015,1940,1089,352,127,47,9350,8,31,74,143,259,250,132,80,36,1016,505,341,508,619,804,908,982,928,515,6095,942,2246,5579,5708,5429,4056,2263,1454,693,28364,0,18,273,302,271,213,94,19,6,1185,4,26,190,225,223,247,87,24,4,1032,4,481,2110,1875,1220,952,516,219,58,7444,31,282,983,1039,1100,1002,587,251,86,5361,226,998,1941,1507,1551,1135,333,72,44,7816,75,152,212,211,271,188,111,23,6,1246,37,87,201,231,429,429,269,100,36,1808,342,1236,2353,1947,2249,1751,712,196,93,10872,5,26,65,46,58,109,116,62,21,504,576,412,771,791,915,1193,1170,1041,668,7527,962,2478,6751,6216,6032,5470,3278,1812,933,33930,0,28,499,477,362,264,139,34,4,1809,5,35,282,318,333,266,214,45,8,1509,0,585,2522,2177,1613,1057,737,323,78,9092,33,292,1047,1087,1154,1162,791,348,107,6025,238,911,2131,1931,1747,1511,640,140,44,9285
114,264,859,1570,1830,1961,1350,689,292,72,8886,7,33,89,99,277,286,249,137,34,1203,449,219,383,593,825,940,1228,1245,775,6659,739,1512,3688,5289,6150,5586,3856,2306,1006,30126,0,11,237,357,372,404,296,77,10,1776,5,22,176,222,300,384,245,61,3,1426,0,242,1174,1537,1360,1433,1031,407,93,7271,22,239,745,1064,1338,1568,1198,496,116,6791,191,738,1556,1421,1553,1270,603,177,75,7576,67,126,183,180,224,222,141,46,6,1196,26,77,165,276,405,539,523,209,72,2295,285,941,1911,1881,2183,2025,1264,429,156,11070,3,8,48,50,84,161,198,71,34,671,409,283,520,578,857,1153,1526,1275,827,7435,731,1755,4812,5691,6495,7123,5771,2821,1246,36440,0,22,491,597,576,580,558,160,25,3000,0,33,261,340,330,465,475,127,8,2034,0,321,1787,1967,1850,1725,1569,638,154,10011,20,226,915,1096,1467,1769,1590,740,178,8003,171,740,1861,1710,1747,1772,981,281,81,9343
115,334,942,1564,2379,2206,1524,635,225,78,9879,15,106,178,403,589,585,377,146,63,2460,512,282,395,705,772,792,703,605,652,5429,952,3515,8364,12388,11134,7972,3526,1523,979,50358,3,120,1489,2151,1456,815,322,76,13,6451,0,41,295,563,587,545,266,52,8,2359,18,1603,4396,5645,4174,2824,1302,378,110,20451,105,612,1439,2437,2813,2160,1257,444,156,11427,175,677,1254,1534,1699,1051,497,132,70,7095,69,91,120,278,254,190,129,24,5,1154,36,87,173,412,708,693,490,168,73,2834,285,852,1540,2224,2668,1930,1119,324,144,11088,11,30,87,169,249,275,251,126,45,1235,400,260,547,696,842,862,911,695,747,5950,812,3517,9794,13885,12786,9412,5426,2091,1227,58960,0,92,2140,4447,2355,1245,605,166,34,11078,9,85,405,766,785,549,461,125,21,3200,12,1762,5316,7727,5721,3574,2157,675,186,27115,95,678,1416,2439,3177,2427,1706,707,217,12866,269,720,1338,1523,1905,1477,735,287,60,8312
116,581,1762,4013,3654,2680,1458,412,161,42,14767,46,137,443,525,588,515,200,95,40,2592,965,674,1332,1400,1369,1388,1147,924,452,9641,1704,5031,16148,14010,10185,6522,2642,1473,613,58331,0,182,2773,2303,943,487,175,26,3,6904,5,60,484,519,331,223,90,17,4,1738,25,1837,7449,6321,3704,2368,1001,218,62,22984,138,1055,3243,3167,2506,1533,621,197,57,12517,336,1399,3343,2979,2355,1391,419,110,42,12385,137,214,390,475,388,311,86,13,6,2016,77,208,446,672,719,599,299,83,19,3114,547,1815,4178,4123,3458,2305,808,215,68,17523,22,65,255,301,278,278,146,42,13,1415,774,694,1725,1579,1448,1425,1346,859,437,10281,1503,5717,20108,18323,12668,8605,4195,1580,648,73361,0,224,4233,5669,1691,752,380,77,10,13043,4,117,766,931,559,353,188,49,0,2961,17,2324,9962,10284,5149,3209,1857,427,97,33327,102,977,3225,3838,3051,2002,1049,315,81,14641,379,1520,3341,3467,2961,1908,757,170,62,14558
117,221,1095,2484,1812,1228,810,347,140,38,8170,31,151,449,356,366,282,216,97,37,1983,706,1885,4028,2122,1621,1462,1110,930,602,14472,1076,8502,30418,16694,9685,6651,3195,1652,799,78661,4,533,7277,4147,2181,1397,619,125,23,16307,3,127,1173,924,679,526,255,36,6,3739,63,6256,18333,8044,3799,2230,1149,384,103,40373,116,1431,3904,2761,1941,1320,719,312,88,12589,149,859,1995,1227,984,654,291,119,42,6323,48,117,205,171,158,122,60,14,5,903,31,152,346,374,444,408,258,80,38,2125,228,1135,2543,1779,1589,1177,604,217,82,9354,55,154,345,193,182,172,117,54,21,1295,804,2312,5259,2458,1685,1544,1166,865,579,16673,1275,11941,38841,20305,12062,8371,4618,2001,903,100321,0,502,9141,6241,3037,1852,1015,292,43,22126,0,104,1376,1155,811,653,424,111,11,4640,12,5349,21164,10273,5194,3085,1732,576,171,47548,95,1432,4350,3131,2319,1633,981,431,128,14501,154,823,2137,1412,1116,843,431,145,53,7116
118,111,784,1772,1533,1331,991,536,307,178,7545,25,100,363,339,484,490,411,241,134,2592,665,1085,2641,1903,1505,1432,1330,1255,928,12738,877,5634,22621,17037,11773,8525,4806,2885,1647,75803,3,297,4112,3648,2352,1396,768,183,59,12815,10,44,784,854,627,574,312,88,20,3331,42,3294,12392,8106,5043,3073,1783,657,264,34660,45,571,2491,2452,2279,1747,1221,562,229,11604,71,435,1211,962,912,609,460,167,129,4950,38,57,136,122,162,114,84,30,10,755,24,103,280,346,478,479,400,166,122,2402,131,596,1626,1436,1554,1200,945,360,260,8109,21,78,241,205,216,253,237,135,66,1457,515,1025,2935,1913,1537,1355,1425,1277,1036,13023,769,5905,24588,18614,13614,9609,6689,3266,1942,84987,0,160,4292,4454,3225,1924,1096,396,75,15631,0,42,801,840,811,646,551,159,30,3885,7,2705,13668,8701,6066,3762,2314,1052,315,38595,53,566,2154,2121,2384,1944,1478,774,278,11741,82,394,1081,934,919,824,478,253,96,5058
119,669,2192,4810,4855,4311,2401,997,577,249,21059,61,306,710,974,1178,889,577,403,173,5270,1567,1373,3002,2948,2808,2587,2325,2564,1747,20926,2538,9579,29677,24478,18633,11593,5969,4480,2417,109354,3,520,6279,3719,1791,892,320,73,16,13615,12,114,804,845,737,575,228,50,20,3384,39,4427,15211,9469,5906,3563,1525,593,149,40882,215,1933,5425,5663,4919,3127,1412,616,211,23531,365,1516,3739,3522,3175,1976,812,381,185,15679,142,211,422,593,585,417,171,53,26,2615,69,280,642,1143,1439,1200,720,276,147,5920,570,2003,4811,5261,5197,3597,1702,712,360,24213,33,174,531,474,531,553,349,195,76,2925,1128,1429,3343,2589,2678,2451,2199,2100,1876,19781,1998,10605,36414,28010,21758,14753,7732,4339,2708,128325,0,398,7232,5613,2743,1428,616,140,24,18191,13,199,1086,1138,942,693,474,127,30,4706,31,4887,16815,12406,7591,4834,2404,826,286,50079,153,2132,5162,5785,5844,4100,2204,833,291,26500,353,1495,3562,3565,3574,2744,1256,447,178,17162
120,189,848,2038,2126,1833,1179,456,244,114,9023,16,118,357,431,593,519,291,196,86,2616,575,733,1804,1476,1305,1192,1040,1221,1045,10385,875,5403,20947,18000,13147,8737,3779,2387,1467,74737,4,336,5188,3801,2502,1604,749,149,26,14352,3,77,800,992,860,734,323,65,17,3874,18,3350,11552,8229,5338,3207,1519,516,178,33902,76,821,2593,2833,2778,1964,1046,402,170,12686,126,613,1416,1288,1373,881,414,176,79,6362,37,83,141,177,240,167,75,26,19,968,28,97,270,433,626,596,392,139,95,2671,193,799,1820,1900,2238,1640,878,337,197,10005,16,93,248,209,310,295,197,78,52,1489,401,890,2283,1651,1397,1325,1099,859,682,10587,709,6363,24483,19617,15429,10757,5811,2403,1312,86889,0,262,5978,5095,3171,2148,1243,314,61,18270,0,142,898,1067,1012,830,617,175,29,4786,16,3164,12527,9247,6669,4174,2262,827,204,39080,70,1262,2626,2546,3030,2377,1516,563,219,14211,145,676,1378,1244,1369,1176,626,230,89,6938
121,245,909,1861,2315,2320,1984,1093,575,347,11652,17,91,333,509,727,855,728,495,255,4006,787,639,1722,1616,1525,1451,1320,1478,1440,11976,1121,5853,24211,26352,22208,16176,9060,5220,2960,113164,0,230,5601,6661,4433,2776,1337,394,88,21518,0,72,1038,1448,1521,1169,801,239,61,6337,22,3309,13617,13677,10398,6355,3649,1553,568,53159,85,673,2488,3451,4250,3463,2765,1417,594,19185,184,612,1353,1350,1532,1031,661,254,137,7117,48,67,115,199,262,270,192,80,25,1261,33,121,255,485,830,919,948,466,285,4343,263,804,1723,2037,2623,2224,1801,807,446,12725,8,67,234,345,402,453,460,289,154,2413,535,646,1985,1777,1599,1497,1529,1355,1469,12398,924,5814,26684,29387,25223,17933,12336,6054,3383,127744,0,211,5840,9419,6452,3614,2041,777,124,28497,4,82,1031,1620,1751,1429,1111,465,96,7595,9,3539,13440,15296,12308,7882,4885,2363,853,60567,75,661,2104,3151,4137,3785,3167,1944,757,19770,187,592,1243,1299,1521,1315,824,378,154,7520
122,230,839,1874,2398,2230,1552,902,397,193,10623,12,48,202,337,429,410,312,223,77,2043,458,349,951,1138,1118,1189,1242,1341,1323,9106,749,3146,12356,15929,12313,8555,5200,3035,1939,63224,0,72,1550,2276,1661,868,434,108,33,7016,0,33,428,765,779,677,331,95,23,3135,4,1372,5993,7158,5058,2892,1516,605,199,24793,45,526,2149,3034,3292,2428,1650,779,273,14180,165,595,1352,1461,1705,1133,614,220,108,7354,47,70,133,200,272,181,142,46,28,1111,24,106,237,458,835,715,664,316,175,3533,238,769,1725,2127,2803,2017,1421,579,314,12001,8,24,117,214,277,311,310,180,106,1543,401,397,1026,1150,1117,1080,1285,1235,1285,8979,700,3191,12986,16727,14990,10270,6954,3584,2227,71631,0,56,1741,2884,2461,1419,685,243,55,9541,0,49,478,781,1010,802,573,200,40,3927,7,1625,6865,7590,6779,3911,2160,987,298,30221,62,562,1771,2568,3526,2856,1949,1121,354,14773,154,612,1161,1349,1695,1423,756,345,112,7604
123,598,1811,3388,3131,2738,1614,439,127,42,13893,39,124,269,402,482,482,213,87,38,2132,867,549,978,1197,1262,1202,940,765,497,8269,1604,4191,10440,10051,8535,5993,2394,1238,626,45078,0,124,1287,1052,566,339,136,24,7,3536,9,51,373,351,305,296,105,24,8,1526,8,1082,3954,3417,2120,1433,643,154,37,12846,130,934,2558,2544,2265,1663,730,167,55,11053,385,1554,3358,2742,2282,1543,501,116,38,12519,145,221,367,400,344,298,121,19,8,1921,68,191,371,577,675,660,356,86,25,3009,597,1962,4100,3722,3299,2504,976,223,65,17448,10,58,153,194,213,226,159,57,17,1087,698,610,1250,1215,1213,1292,1233,866,719,9088,1450,4821,13670,12494,9972,7753,3974,1533,908,56581,0,93,1807,2174,943,529,266,54,4,5871,5,92,557,585,433,338,223,37,6,2275,8,1279,5218,5081,3021,1782,1038,272,58,17774,108,902,2833,3053,2575,1951,1157,308,70,12942,389,1477,3799,3500,2803,2146,855,199,44,15216
124,696,2362,4465,3734,3563,2096,671,252,95,17935,34,132,266,424,660,674,401,188,89,2873,896,600,1123,1260,1454,1432,1212,1076,715,9764,1725,5053,12623,12449,11837,8981,4151,2166,1084,60067,0,144,1351,1147,955,840,374,75,16,4911,3,54,426,555,547,645,310,45,9,2597,9,1215,4246,4176,2949,2473,1271,422,98,16857,134,979,2808,2866,2639,2264,1239,466,126,13526,511,1879,4251,3247,2989,1991,629,162,61,15723,155,253,406,430,366,300,141,43,7,2099,86,209,398,610,723,807,567,161,84,3648,754,2337,5056,4290,4082,3094,1334,366,157,21468,15,30,111,169,212,257,243,108,42,1192,706,714,1567,1419,1502,1560,1579,1162,657,10868,1623,5473,15572,14619,12892,11143,6354,2648,1104,71417,0,106,2038,2190,1391,1062,718,167,22,7692,0,108,593,719,730,662,538,126,17,3491,6,1403,5502,5319,3753,2648,1966,691,156,21453,92,843,2996,3221,2996,2549,1653,665,161,15179,509,1840,4545,3979,3330,2630,1108,258,83,18283
125,426,1826,3791,3340,2801,1712,696,298,133,15020,37,220,624,662,758,677,423,226,75,3701,1134,1298,2639,2153,1991,1644,1527,1635,1163,15176,1768,7794,26067,18271,13148,8457,4357,2808,1540,84221,5,347,6408,3877,1490,779,300,64,13,13277,3,104,844,725,522,425,174,48,13,2868,24,3160,13846,8084,4513,2733,1233,443,120,34167,166,1334,4360,3974,3298,2227,1105,444,153,17051,290,1115,3004,2501,2125,1323,535,174,86,11148,100,191,343,389,374,311,124,41,18,1882,54,181,517,716,866,717,452,186,79,3764,444,1482,3863,3603,3366,2352,1117,390,179,16793,23,101,496,365,353,388,302,118,66,2219,841,1184,3381,2309,2021,1774,1510,1345,1061,15438,1509,7716,33209,22940,15558,10685,5735,2854,1605,101818,0,418,8292,6715,2370,1168,502,155,19,19642,7,192,1060,1082,771,502,327,99,12,4050,22,3813,15542,11374,5943,3659,1962,719,208,43246,95,1859,4280,4420,3812,2804,1512,653,178,19610,280,1250,2762,2786,2425,1840,732,266,93,12435
126,136,446,907,1117,1264,874,462,291,129,5626,16,59,155,236,387,361,262,191,109,1777,304,416,559,487,544,581,581,776,836,5083,515,3389,9995,9860,8639,5901,3155,2070,1383,44899,4,195,3368,2652,1566,945,385,98,29,9237,0,46,396,498,473,447,240,75,16,2191,11,2077,6103,4943,3598,2397,1131,469,174,20907,51,549,1168,1557,1832,1422,942,443,225,8176,91,370,702,719,785,611,278,129,74,3768,32,46,78,111,126,110,80,37,13,637,16,68,108,235,428,416,351,190,103,1919,140,486,885,1066,1349,1140,708,356,196,6317,9,59,137,153,184,201,181,107,46,1083,230,374,764,561,561,610,602,677,831,5210,449,3779,12821,11434,9556,7161,4181,2224,1515,53118,0,154,4232,4467,2164,1296,610,194,40,13159,0,64,512,620,566,513,399,156,37,2872,5,1936,7382,6557,4405,3071,1757,716,250,26083,39,496,1195,1540,1879,1685,1222,583,227,8867,99,361,689,705,842,803,477,167,93,4231
127,563,1833,4141,3974,3222,1527,468,141,38,15916,55,173,463,599,708,522,236,106,23,2877,1405,921,2002,2211,2194,1962,1603,1238,584,14127,2226,6306,15774,13737,10690,6553,2978,1699,700,60660,0,261,1843,1076,514,315,115,19,3,4143,8,95,420,361,228,184,77,19,0,1391,16,2547,6759,4639,2579,1694,672,154,41,19098,171,1520,4036,3784,2852,1674,707,204,50,14998,358,1369,3508,3129,2659,1507,490,137,44,13200,136,215,471,594,548,330,108,17,0,2421,66,203,505,858,964,660,337,83,40,3716,563,1790,4480,4583,4172,2498,932,240,93,19346,13,89,283,285,370,305,144,66,14,1574,1059,999,2281,2135,2085,2042,1611,1086,608,13910,1828,7305,20100,16861,12797,8713,4256,1794,799,74457,0,231,2990,2326,950,493,217,47,5,7263,10,157,721,678,434,255,138,34,13,2441,26,3097,9797,6921,3864,2199,1295,310,59,27574,132,1376,4377,4653,3979,2530,1136,353,67,18605,418,1502,3929,3953,3293,2211,859,254,50,16472
128,319,1143,2326,2566,2492,1729,814,406,152,11952,16,108,242,374,624,679,479,333,112,2981,451,292,636,668,776,805,825,1099,733,6271,890,3708,10284,11184,9827,7202,3592,2408,1145,50242,0,87,1182,1150,865,642,238,46,12,4219,0,46,421,537,469,539,217,39,10,2277,5,1370,4425,4488,2909,2126,872,324,102,16619,79,636,2082,2636,2705,2088,1140,396,153,11901,200,793,1747,1792,1727,1179,595,232,120,8383,40,91,157,238,271,252,140,39,11,1239,31,105,238,523,711,822,636,256,144,3466,278,985,2143,2544,2708,2254,1371,525,277,13090,8,40,110,158,215,329,275,161,69,1368,311,266,781,760,809,922,987,966,931,6747,689,3427,11138,12274,10670,8905,5102,2459,1557,56222,0,61,1422,1883,1280,784,435,122,16,6002,0,77,457,682,620,641,466,95,16,3062,4,1529,5234,5337,3999,2463,1481,481,128,20652,69,670,1840,2567,3142,2332,1504,628,212,12955,246,769,1681,1831,1900,1678,847,325,114,9399
197,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,0,0,0,0,0,10,9,9,0,25,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,7,0,0,0,21,0,0,0,0,5,5,5,0,0,17,0,0,3,0,6,4,5,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,9,0,0,3,3,3,10,6,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,10,8,0,45,4,4,17,7,13,28,29,12,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,38,92,145,92,107,71,31,4,0,581,0,8,20,15,16,20,5,0,0,86,73,84,200,162,144,113,85,50,36,936,111,331,872,504,418,380,164,61,44,2883,0,8,70,39,27,18,4,6,0,175,0,5,17,18,14,12,7,0,0,71,0,107,287,102,75,57,43,7,0,677,3,37,73,52,63,81,48,10,0,373,9,42,80,50,74,68,21,3,0,353,0,13,8,9,9,14,5,0,0,66,6,13,12,9,13,23,15,0,0,91,9,69,101,74,96,104,47,6,0,507,0,5,10,8,8,6,5,0,0,35,53,140,290,192,192,168,114,42,13,1197,71,370,847,481,469,445,264,61,19,3037,0,0,62,40,31,28,14,0,0,181,0,0,20,14,13,20,11,0,0,76,0,25,207,99,86,70,45,11,0,540,0,27,64,54,64,81,40,8,0,339,7,55,107,77,86,91,34,9,0,463
