SA4_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
111,174,1361,4365,5246,5538,4910,2889,1222,397,26096,946,4891,11492,10113,11238,9375,6197,2995,1017,58266,341,567,690,668,563,510,303,96,32,3760,124,378,660,940,1319,1549,1371,597,191,7124,1413,5835,12838,11719,13117,11435,7868,3688,1245,69148,25,115,272,298,358,454,504,254,112,2399,1209,1286,2556,2332,3012,3404,3777,3554,2972,24083,2836,11297,34462,32952,31581,29029,19959,10400,5139,177659,0,139,3460,4454,3230,2422,1775,670,148,16305,10,134,1110,1468,1380,1334,1188,339,53,7015,4,3099,13848,12020,8664,6003,4901,1942,477,50953,89,1263,4723,5624,6235,5698,3951,1801,508,29898,1089,5094,12841,11324,11486,11149,7617,3648,1156,65407,328,620,716,640,655,641,487,183,45,4315,121,309,566,689,1170,1536,1593,829,256,7071,1541,6027,14122,12653,13317,13326,9702,4662,1452,76794,38,108,228,236,277,354,382,297,112,2030,1130,1513,2835,2540,2500,2644,3176,3176,2325,21843,2804,12285,40327,38992,35609,31778,25074,12888,5076,204837
112,77,513,2136,3081,3759,4038,2506,948,305,17362,566,2258,5806,6579,7338,7359,4544,2045,663,37146,187,325,439,401,461,453,249,62,15,2593,71,203,477,641,951,1179,898,403,144,4971,825,2782,6725,7618,8754,8991,5681,2507,822,44709,17,55,120,164,220,342,369,212,83,1587,1620,1080,2188,2604,3360,4153,3792,3121,2168,24085,2542,5138,15914,20550,22580,24357,16347,7988,3725,119155,0,42,1116,1737,1669,1559,1372,417,58,7978,3,39,467,861,954,1034,984,227,44,4619,5,780,5460,6916,6165,4936,4369,1424,335,30389,79,557,2501,3501,4066,4387,3529,1395,407,20404,614,2445,6298,6888,7438,8257,5706,2415,707,40775,158,293,437,395,446,517,394,106,31,2784,68,150,383,574,748,1108,1137,511,161,4840,840,2894,7125,7853,8634,9881,7238,3034,897,48403,18,41,125,143,187,282,351,218,108,1480,1280,1077,2620,2900,2970,3300,3404,2813,1980,22358,2236,5428,19412,23914,24638,25389,21247,9523,3823,135621
113,45,386,1516,1691,1767,1632,973,390,119,8514,483,2425,5111,4267,4494,3845,2045,795,225,23700,142,272,354,311,360,257,152,29,7,1887,63,144,354,365,590,608,407,152,57,2746,687,2836,5818,4945,5454,4718,2604,981,293,28339,17,45,129,86,93,162,165,84,30,811,1162,984,1965,1968,2129,2417,2235,1833,992,15689,1923,5004,13351,12503,12267,11364,7199,3741,1553,68892,0,43,854,824,636,534,337,105,27,3358,5,38,358,446,481,401,328,84,10,2148,0,797,3861,3367,2584,1726,1293,515,125,14271,44,420,1624,1786,1920,1867,1272,559,167,9650,474,2234,5554,4910,4528,4472,2721,1012,269,26176,125,244,407,277,316,337,207,57,14,1979,39,107,261,302,473,593,522,203,61,2570,637,2582,6224,5492,5317,5403,3447,1275,344,30725,17,40,110,96,83,126,123,90,35,722,904,973,2020,1841,1845,1878,1924,1556,911,13836,1607,4887,15049,13844,12864,11936,8726,4180,1622,74715
114,37,327,1137,1786,2231,2427,2051,884,218,11101,347,1704,4100,3935,4580,4552,3531,1773,483,25003,112,216,287,262,289,294,202,64,11,1734,44,116,250,387,591,794,824,362,109,3474,498,2028,4632,4588,5460,5632,4564,2202,604,30207,17,18,88,90,146,242,310,130,56,1085,871,682,1344,1399,1769,2116,2725,2139,1284,14329,1426,3463,9614,11123,12868,14425,12867,6564,2428,74789,0,34,788,997,1043,1087,1211,480,106,5743,0,33,326,452,482,687,740,229,15,2955,0,492,2760,3079,2930,3029,2974,1327,303,16886,32,308,1381,1889,2422,2821,2603,1289,311,13051,363,1737,4773,4494,4708,5363,4243,2206,572,28458,96,164,280,277,285,382,308,107,26,1930,45,103,224,301,478,769,948,511,124,3497,510,2003,5273,5075,5464,6516,5495,2824,718,33883,18,24,71,89,109,166,284,199,67,1023,698,595,1419,1410,1530,1699,2031,1827,1094,12298,1248,3484,12015,12986,13979,16005,15342,8164,2612,85837
115,133,1032,2508,4168,4839,3640,2294,803,289,19696,445,1943,3862,4740,5553,4013,2666,1176,344,24741,97,139,198,354,333,266,182,39,7,1615,69,165,338,637,996,1072,825,300,110,4507,608,2250,4398,5724,6877,5346,3679,1514,464,30860,15,61,192,310,415,430,377,197,68,2062,796,541,1076,1358,1678,1560,1578,1138,1059,10787,1578,6863,18577,26470,25975,19975,12465,4932,2195,119024,0,134,3441,8564,5219,3220,1808,537,121,23038,8,96,587,1233,1267,951,777,221,44,5178,14,3180,9324,13292,10436,6962,4681,1648,412,49951,146,1078,2421,4304,5482,4245,2967,1274,366,22289,559,2123,4178,4564,5727,4910,2984,1704,428,27173,110,172,200,234,356,367,258,102,25,1845,55,193,288,554,937,1114,1028,498,142,4806,729,2493,4673,5354,7018,6392,4271,2315,596,33827,21,66,171,314,325,314,300,242,66,1827,473,482,1143,1534,1362,1209,1250,1255,1141,9843,1392,7525,21755,34590,31114,23296,16050,7496,2745,145953
116,201,1883,6151,5866,4512,2886,1183,364,103,23139,701,3206,8038,7839,7024,5019,2592,1072,269,35757,225,372,626,655,553,438,137,32,7,3050,127,327,836,1145,1134,961,542,166,39,5280,1058,3902,9495,9632,8719,6425,3267,1272,309,44089,41,142,509,590,523,439,268,97,26,2628,1651,1608,3765,3458,3060,2778,2370,1463,673,20833,2999,10941,37834,37076,26319,18757,9807,3781,1247,148751,0,367,6892,11789,3912,1902,1004,248,40,26154,3,141,1062,1594,995,583,340,96,3,4814,22,4046,16855,19150,9564,6035,3569,934,185,60364,167,1933,6210,7383,5590,3721,1953,631,130,27714,745,3364,8273,8193,7605,5795,3187,1282,332,38779,218,376,555,653,579,481,249,78,12,3192,93,293,638,1009,1235,1064,755,282,68,5438,1054,4037,9464,9853,9414,7339,4189,1645,415,47411,29,110,462,683,448,353,317,123,16,2536,1533,2161,5331,4910,3361,2616,2319,1565,904,24695,2812,12788,46271,55358,33283,22547,13692,5240,1696,193690
117,200,2627,7952,5584,3789,2370,1262,510,148,24446,287,1933,6049,3820,3391,2251,1320,621,180,19850,68,210,379,343,279,197,96,30,7,1611,57,263,752,714,760,665,429,148,58,3842,415,2415,7185,4877,4428,3115,1836,791,242,25305,89,294,739,440,370,303,218,106,25,2580,1594,4803,11418,5880,4186,3363,2417,1668,892,36211,2441,21530,77657,43135,26654,17878,9993,4288,1581,205158,3,830,17071,12482,6336,3962,2315,710,106,43810,5,177,2419,2038,1488,1116,702,181,17,8142,26,9519,40375,20986,10642,6534,3640,1258,331,93311,162,2638,8801,6442,4624,3110,1737,739,220,28476,287,1876,6424,4344,3486,2799,1553,737,219,21734,60,234,420,342,322,270,178,44,7,1884,46,229,725,667,828,785,506,218,64,4063,393,2350,7563,5352,4637,3851,2240,999,297,27684,37,239,712,492,327,282,247,126,38,2497,665,2650,7547,4322,2733,2345,1895,1330,648,24135,1288,18397,84489,52120,30788,21202,12776,5344,1666,228058
118,92,1046,4299,4350,3756,2746,1871,834,350,19340,172,1044,4022,3073,2914,2204,1763,969,447,16612,53,109,228,217,225,165,116,47,11,1174,64,187,547,575,750,726,624,270,161,3898,284,1345,4798,3860,3895,3095,2509,1285,622,21683,48,178,490,402,377,400,359,203,102,2560,1155,2258,6190,4258,3335,2672,2671,2117,1522,26181,1653,11130,46254,36184,26802,18950,13434,6562,3359,164326,0,256,7640,8421,6308,4065,2516,1104,238,30555,0,70,1198,1370,1318,998,788,271,55,6068,13,4419,23766,15561,11433,7393,4845,2178,649,70260,89,962,3773,3888,3952,3158,2263,1154,434,19661,197,970,3833,2989,2768,2585,1716,1140,416,16622,57,110,210,198,224,229,173,77,15,1304,30,132,463,439,674,789,662,366,125,3670,289,1216,4500,3628,3664,3604,2555,1590,554,21597,13,91,469,357,276,311,316,246,79,2151,641,1120,3814,2846,2162,1667,1719,1816,1703,17496,1049,8130,45158,36072,29110,21197,15001,8347,3708,167785
119,327,3375,10572,9826,8517,5527,2590,1099,377,42212,791,3780,9712,10012,9911,7260,4738,2706,1075,49994,209,369,732,847,835,566,281,79,41,3953,128,495,1215,1782,2185,1877,1207,491,219,9602,1132,4634,11658,12641,12932,9709,6242,3279,1331,63552,70,355,1095,895,943,857,566,310,127,5212,2369,2883,6860,5248,5163,4670,4134,3650,2879,37849,3995,20121,71094,55490,44141,31563,18322,10051,5164,259934,0,648,13713,11122,5797,3463,1660,476,95,36971,19,249,1702,1835,1477,1179,804,240,51,7549,55,8906,31235,22705,13862,9904,5236,1932,628,94458,233,4182,9601,10869,9924,7235,3928,1491,494,47958,771,3729,9619,9488,10049,8657,5106,2949,1074,51446,230,378,642,794,925,844,432,131,43,4419,130,461,1034,1427,2104,2239,1490,637,259,9781,1134,4569,11295,11708,13080,11737,7025,3713,1378,65648,48,256,873,783,713,713,539,259,104,4288,2038,3266,8327,6689,5225,4791,4168,3794,3286,41590,3532,22074,76747,65708,50072,39019,23368,11898,6037,298456
120,134,1610,5204,5056,4642,3263,1744,633,253,22533,248,1402,4032,3678,4044,2932,1909,1058,389,19700,59,154,274,292,346,235,135,37,23,1557,51,205,526,723,969,903,617,231,126,4351,358,1768,4825,4699,5356,4073,2664,1321,540,25607,37,178,527,429,524,490,333,135,73,2725,916,1813,4683,3353,2801,2459,2013,1487,1034,20545,1486,11900,47288,37633,29450,21049,12121,5174,2361,168462,0,446,10851,9624,6059,4298,2541,778,145,34744,3,176,1478,1706,1630,1256,955,279,54,7544,21,5679,23357,17113,11932,8070,4780,1791,439,73175,117,2852,4995,5024,5215,4026,2471,960,318,25977,273,1530,3978,3520,3807,3570,2155,1160,403,20393,84,185,261,283,350,322,177,81,15,1766,42,175,443,578,938,1059,793,362,132,4507,395,1893,4685,4378,5090,4954,3136,1600,548,26671,12,156,393,372,323,344,338,178,76,2198,512,1517,3859,2582,1841,1739,1707,1516,1388,16657,1068,12719,49625,40793,32089,24685,15926,7102,2963,186966
121,140,1214,4757,6123,6998,5505,4274,2309,968,32292,336,1407,3761,3749,4119,3182,2391,1286,555,20796,80,152,227,302,372,359,268,130,37,1933,62,199,497,811,1238,1392,1398,718,365,6670,481,1756,4485,4860,5733,4927,4061,2132,962,29395,21,143,475,669,709,702,718,453,238,4120,1155,1260,3906,3505,3068,2766,2617,2187,2106,22566,1848,10550,49493,55550,48334,35299,24735,12477,6010,244302,0,324,9903,17775,13209,8376,5221,2418,508,57739,9,117,1607,2703,2920,2327,1755,726,157,12320,15,6392,24630,27560,22535,15651,10230,5334,1783,114134,134,1288,3930,5816,6978,6136,4892,3025,1208,33401,320,1433,3591,3594,3952,3685,2456,1561,640,21233,124,185,220,270,363,366,336,182,60,2109,66,145,371,627,1177,1388,1420,971,384,6546,515,1763,4186,4492,5489,5437,4214,2710,1081,29892,19,95,331,538,553,482,583,462,190,3262,629,771,2399,2632,2165,1912,2029,2057,1803,16399,1310,10755,46988,61527,53856,40317,28935,16733,6726,267149
122,84,884,3689,5180,5516,3883,2768,1329,482,23831,312,1645,4535,5072,5478,3973,2750,1550,549,25865,79,139,228,325,374,271,216,64,37,1727,45,185,418,773,1214,1136,1046,528,240,5577,438,1959,5177,6166,7069,5377,4015,2138,827,33171,16,52,230,396,450,465,443,261,143,2457,817,765,2019,2272,2218,2026,2150,1982,1780,16010,1373,6123,24380,32184,29776,21012,14701,7705,3869,141118,0,82,3007,5276,5004,3259,1760,765,159,19314,0,64,693,1198,1545,1244,900,327,57,6038,7,2782,11663,13042,12539,7972,4787,2275,672,55730,88,904,3094,4464,5994,4641,3206,1894,575,24872,292,1709,4254,4495,5204,4720,2887,1887,652,26095,102,152,168,255,383,377,326,129,43,1930,48,147,316,553,1036,1288,1135,779,264,5561,444,2005,4734,5302,6625,6382,4350,2793,953,33585,16,50,226,277,339,319,316,311,112,1963,483,534,1520,1671,1697,1475,1543,1681,1378,11985,1042,6426,24935,31233,33753,25295,16861,10040,3919,153496
123,175,1406,4253,4244,3847,2864,1315,317,95,18520,762,3576,8642,7942,7178,5957,3229,1178,263,38726,224,351,580,544,463,390,172,29,14,2763,102,286,632,908,1019,1021,646,172,44,4827,1088,4211,9853,9391,8661,7361,4050,1382,315,46319,36,106,295,348,342,358,252,91,31,1849,1412,1234,2423,2371,2336,2319,2215,1485,1021,16828,2735,8946,25671,24667,20535,16903,9649,3739,1566,114407,0,124,2797,4150,2073,1221,666,174,28,11243,7,104,695,878,700,533,386,82,18,3400,20,2111,8315,8596,5120,3145,1999,591,129,30023,135,1333,4568,5325,4454,3419,2034,571,120,21962,795,3573,9476,9073,8153,6657,4130,1591,298,43745,165,344,598,566,492,445,297,66,12,2984,92,243,522,767,1009,1111,898,306,61,5014,1054,4161,10591,10410,9652,8218,5326,1962,367,51746,22,81,227,310,281,287,252,118,25,1603,1112,1122,2772,2818,2241,1989,1939,1647,950,16582,2350,9040,29961,32486,24527,18811,12602,5151,1630,136552
124,197,1463,4569,4869,4566,3913,2143,784,191,22700,958,4485,10804,9200,8935,6931,3853,1476,390,47027,227,409,656,603,488,405,223,58,17,3092,122,326,709,989,1102,1279,943,296,120,5884,1303,5222,12170,10797,10518,8618,5018,1828,530,56009,39,94,250,347,345,425,373,158,69,2097,1414,1489,3293,2967,2945,2957,2801,1924,968,20753,2970,10471,29663,28566,25938,23052,14177,5799,1987,142630,0,153,3156,3960,2568,2027,1502,437,74,13874,3,122,811,1042,1073,1028,894,226,30,5232,12,2240,8755,8695,6280,4697,3660,1271,290,35896,142,1295,4751,5465,5172,4375,2879,1116,263,25441,925,4466,11634,10294,9256,7991,4758,1896,434,51655,222,415,663,643,585,525,355,90,15,3512,97,269,548,806,1070,1245,1045,487,110,5685,1242,5152,12847,11743,10908,9758,6158,2466,563,60847,33,72,200,293,269,291,301,199,53,1713,1135,1392,3449,3238,2713,2330,2241,2017,1292,19813,2566,10416,33969,34433,28988,24511,17628,7737,2572,162814
125,252,2551,8640,7308,5785,3901,1994,818,254,31502,597,2829,7655,7058,6362,4969,3129,1641,597,34846,164,331,611,587,549,420,195,73,16,2942,88,329,975,1237,1362,1182,783,338,120,6411,852,3486,9237,8881,8274,6571,4109,2047,742,44205,56,231,1061,828,651,650,481,211,91,4259,1790,2741,7754,5463,4250,3551,2863,2289,1576,32283,3008,15496,65672,48408,32115,23340,13426,6756,2999,211214,0,763,15997,14075,5186,3058,1425,455,75,41034,7,236,1639,1862,1214,859,604,171,28,6631,41,7060,29231,22561,11211,7383,4258,1675,439,83862,167,3812,8258,8558,6709,4904,2724,1192,338,36659,584,2946,7231,7129,6647,5640,3300,1760,604,35846,203,330,572,586,614,532,317,99,18,3267,98,342,766,1068,1347,1273,981,482,163,6511,874,3623,8566,8783,8614,7442,4602,2345,780,45622,29,244,863,802,519,497,408,211,77,3647,1671,3274,8978,7148,4454,3802,2962,2177,1553,36011,2784,19008,73530,63786,37905,27945,16985,8224,3294,253461
126,81,1034,2340,2795,3064,2361,1532,720,373,14293,172,874,1965,2056,2445,1979,1289,825,369,11975,54,87,140,155,193,159,118,58,16,981,27,136,226,372,627,626,527,284,146,2967,250,1096,2332,2584,3263,2755,1940,1164,533,15925,20,112,286,315,329,331,286,165,77,1917,503,708,1505,1207,1118,1135,1030,1100,1161,9463,874,6947,24509,22199,18767,14530,8938,4689,2651,104103,0,282,7515,8519,4628,3143,1769,636,147,26631,4,92,778,1004,954,843,632,224,50,4575,13,3572,13680,12250,8071,6033,3854,1586,533,49601,67,929,2396,2981,3235,2821,1987,941,385,15743,168,879,2104,1987,2243,2301,1532,862,386,12460,56,112,151,140,180,256,150,79,26,1142,25,102,201,322,561,685,648,351,167,3068,246,1088,2460,2447,2982,3238,2331,1296,578,16669,19,71,254,281,234,223,251,166,62,1567,300,579,1751,1532,1053,1108,1021,1015,1031,9388,644,6611,28831,29024,21159,17411,11840,5864,2789,124166
127,281,2533,6740,6487,5276,3149,1267,414,88,26232,774,3593,9029,8521,8350,5692,3255,1343,331,40889,218,396,778,824,732,448,168,26,11,3601,107,381,942,1333,1498,1098,585,190,66,6189,1097,4367,10751,10684,10577,7233,4002,1559,410,50681,39,169,565,567,636,518,254,121,24,2903,2190,2151,4531,4250,4175,3864,2985,1979,936,27065,3656,13830,37463,32782,27267,19363,10498,4557,1547,150966,0,339,4775,4483,2128,1212,604,152,26,13706,19,183,970,1010,685,445,256,68,12,3651,50,5143,16714,12080,7116,4466,2748,788,136,49247,186,2248,7381,8247,6872,4670,2108,719,142,32568,889,3643,10108,9638,8900,7107,3926,1731,394,46330,237,410,681,812,798,617,255,58,15,3891,137,324,869,1286,1544,1398,800,262,65,6684,1260,4383,11655,11733,11239,9121,4982,2054,473,56904,42,123,429,483,449,447,324,122,35,2459,1982,2193,5188,5119,4129,4050,3129,2345,1537,29674,3535,14606,47113,43155,32620,24409,14157,6251,2359,188214
128,102,1007,3551,4616,4642,3615,2034,744,269,20576,380,2227,5692,6115,6243,5018,3331,1875,747,31627,70,163,250,328,362,331,212,68,25,1813,51,187,428,765,1042,1201,1034,432,193,5319,496,2577,6369,7207,7639,6542,4575,2371,965,38753,21,68,185,255,350,461,404,229,92,2070,625,549,1491,1542,1566,1652,1615,1511,1277,11838,1265,6694,21279,23931,22050,18928,11779,5854,2930,114702,0,89,2199,3382,2566,1814,1128,383,79,11650,0,94,667,977,960,958,763,185,31,4630,6,2494,8854,8795,6873,4678,3238,1108,306,36353,95,983,3027,4577,5367,4042,2622,1135,376,22223,474,2314,5553,5684,6416,5886,3800,2196,796,33124,103,145,237,291,387,411,287,128,40,2028,66,176,307,603,1050,1250,1176,640,219,5490,643,2631,6097,6578,7850,7552,5257,2969,1061,40640,11,46,127,210,244,310,337,235,92,1623,379,430,1224,1321,1355,1213,1297,1451,1245,9908,1143,6764,22191,25836,25216,20568,14660,7467,3190,127031
197,0,0,7,0,5,5,12,5,0,29,0,0,5,4,7,12,17,4,3,59,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,7,0,0,0,8,3,0,5,9,11,14,18,3,3,75,0,0,0,0,0,0,0,0,0,3,0,3,6,4,6,10,23,14,0,71,3,7,30,17,25,41,62,23,3,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,8,70,144,104,102,131,100,8,4,662,19,135,312,226,254,269,170,23,0,1412,10,31,25,24,16,21,8,0,0,126,3,28,29,30,22,53,27,4,0,196,39,196,363,274,292,335,207,23,3,1738,0,7,23,14,15,13,11,4,0,86,137,318,799,701,667,497,282,90,28,3513,176,805,2020,1397,1277,1143,722,153,39,7737,0,5,107,73,47,50,36,6,0,327,0,3,24,22,18,19,18,0,0,109,0,51,361,166,157,120,90,21,0,969,4,39,125,105,108,138,83,15,0,614,18,95,276,223,220,279,167,31,6,1326,11,15,30,17,12,19,9,0,0,127,0,11,24,27,22,45,34,16,0,176,29,121,327,268,253,347,211,51,6,1621,0,3,10,3,8,11,13,7,0,56,186,271,784,802,685,483,232,73,22,3543,221,494,1736,1449,1281,1165,680,173,28,7237
