SA4_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
111,15,18,465,60,33,30,48,99,337,488,560,221,143,64,127,2220,43,24,19,24,68,169,188,205,84,53,32,55,971,104,73,59,84,115,301,295,249,87,68,35,145,1609,222,130,114,175,302,889,1080,1107,458,297,146,347,5269,1713,689,591,1021,1447,4763,6765,11402,6285,4403,2797,2246,44126
112,8,20,331,64,28,29,57,84,278,269,295,99,79,47,100,1436,19,13,4,16,37,136,104,112,40,25,26,32,560,86,47,34,89,101,231,178,179,59,41,21,87,1150,179,98,74,182,242,728,618,644,218,171,104,233,3482,1105,440,425,801,1142,3355,3871,5370,2741,2232,1519,1434,24440
113,0,11,196,23,27,23,67,100,223,160,82,20,11,11,51,798,13,10,12,18,31,63,60,36,5,10,5,16,273,43,35,29,52,68,134,79,57,11,11,3,30,554,91,70,63,153,226,487,333,182,42,40,19,115,1826,696,340,342,775,1228,3468,3083,2683,843,695,508,888,15542
114,10,14,186,14,12,11,19,47,126,154,157,59,58,30,48,721,18,7,4,12,15,51,51,56,21,12,6,9,267,46,30,23,26,41,140,115,97,34,23,23,61,661,88,53,42,57,114,349,360,343,127,108,64,137,1833,751,303,239,410,674,1962,2317,3559,1843,1535,1162,878,15626
115,44,19,260,49,9,8,21,22,57,78,155,117,166,166,73,925,29,5,9,14,21,59,64,110,58,77,105,45,598,78,19,15,30,35,93,105,166,88,111,124,81,940,163,36,36,69,84,235,282,487,289,391,436,222,2726,1654,380,273,481,638,1846,2258,4820,4591,8014,9740,2598,37288
116,24,18,380,59,15,15,36,44,136,211,398,235,181,101,108,1552,26,11,13,16,36,104,124,163,85,86,39,46,758,119,37,28,60,94,244,264,317,190,176,81,151,1757,220,73,60,123,191,520,663,956,576,490,244,329,4444,1722,397,394,669,958,3327,4710,10805,9883,9902,4582,3407,50762
117,22,10,143,38,10,11,13,16,62,94,135,118,167,186,67,912,36,7,4,4,19,30,35,75,63,76,68,41,465,45,17,6,14,29,68,68,110,55,79,85,63,644,130,33,27,36,67,171,212,336,253,354,360,177,2160,959,194,134,244,353,1117,1334,2980,3009,4637,6414,1203,22576
118,76,17,199,42,3,10,7,10,44,60,89,87,130,266,54,805,29,7,0,10,16,31,44,64,42,65,130,38,473,58,13,7,13,16,48,39,71,43,66,93,53,524,142,22,20,31,42,132,149,247,193,286,558,159,2001,1154,156,127,188,296,796,858,1747,1568,3043,8688,1505,20134
119,80,45,574,110,26,31,33,67,204,241,407,280,305,263,182,2143,87,27,29,55,77,182,191,276,149,161,136,106,1466,185,68,50,94,126,315,333,462,237,290,258,251,2657,393,130,113,188,284,757,838,1266,730,837,731,581,6853,2640,664,622,932,1339,3924,4754,9767,7269,9727,8997,4220,54848
120,56,11,231,34,9,7,22,17,72,66,158,115,175,247,71,997,42,13,9,7,25,58,60,104,82,83,136,54,667,71,28,4,47,32,83,91,175,80,108,123,81,923,159,51,21,76,81,225,238,479,313,394,559,220,2810,1299,237,204,354,446,1334,1560,3823,3078,4727,8699,1705,27464
121,120,21,378,67,16,15,13,18,80,85,233,163,253,460,95,1504,60,16,15,26,24,83,87,146,100,144,242,84,1015,102,20,20,27,28,92,100,187,98,112,161,75,1010,238,58,44,70,80,274,304,619,399,572,980,267,3910,2330,391,314,470,579,2048,2087,5093,4442,7278,16470,2646,44147
122,66,25,252,43,4,3,16,7,45,55,153,114,178,268,64,935,35,9,9,13,14,55,61,96,69,100,110,54,631,65,17,12,25,37,97,76,117,71,109,96,66,781,151,30,32,61,73,216,203,380,276,439,544,204,2605,1301,268,222,340,511,1333,1449,3107,2966,5469,11212,1901,30077
123,20,35,397,49,25,15,26,54,185,254,462,232,183,103,135,1737,26,9,12,30,33,117,132,141,72,63,37,46,713,83,32,32,68,81,264,269,339,160,126,75,127,1648,163,67,57,134,187,612,732,1044,512,409,230,339,4486,1203,401,369,656,939,3260,4605,9655,7531,5760,3065,2426,39870
124,27,24,428,61,18,25,44,53,211,328,493,231,190,94,111,1855,23,14,16,24,43,120,148,182,78,59,38,36,772,92,39,39,88,105,266,303,361,160,140,75,151,1818,190,79,87,161,212,658,858,1129,520,432,224,321,4876,1333,460,389,773,1029,3423,5086,10015,7396,5822,2948,2271,40942
125,40,28,383,70,22,18,23,30,123,163,342,245,226,142,114,1512,59,22,8,26,43,95,131,209,128,109,68,83,980,162,50,39,49,80,224,256,386,207,203,130,169,1949,309,98,61,105,158,477,602,1020,641,579,383,390,4824,2031,437,407,627,970,2958,4163,8999,6705,7196,5523,3268,43276
126,35,13,127,32,3,4,8,10,42,48,125,68,122,163,43,681,33,3,10,10,14,29,36,69,46,60,73,33,418,64,5,6,21,15,50,63,96,50,61,79,53,564,140,18,18,45,49,136,152,305,187,255,341,136,1784,1172,177,153,233,316,944,1094,2759,2345,3357,6018,1405,19984
127,51,49,673,93,22,18,46,63,218,277,494,345,301,130,201,2205,80,21,24,32,53,170,164,252,134,146,61,121,1263,150,63,62,88,116,341,356,544,291,264,113,209,2596,365,112,116,173,254,803,903,1453,855,776,357,582,6736,2149,589,524,855,1218,3954,4965,10170,8581,8247,4003,3511,48766
128,41,15,276,31,15,4,6,18,78,83,219,132,164,136,61,950,22,7,4,13,14,65,78,92,66,75,58,33,524,50,12,27,29,50,119,122,133,94,100,74,62,861,110,37,40,58,87,291,315,498,328,372,306,171,2610,1034,291,264,365,549,1643,1976,4385,4099,6372,6554,1650,29177
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
