SA4_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
111,94,1156,4669,3772,3434,3363,2156,951,322,19924,43,593,2319,2659,2339,2275,2303,957,268,13755,228,1211,4484,5032,4656,3793,2479,931,270,23081,229,1258,3607,3449,3221,2612,1502,500,103,16493,77,449,1322,1061,673,432,295,144,48,4506,217,698,1635,1263,1158,754,490,173,56,6440,18,15,19,15,25,14,14,10,9,135,16,75,172,249,231,186,127,62,23,1131,573,707,1371,1257,1120,1137,1432,1685,1460,10733,1546,6653,21329,20348,18198,15608,11457,5700,2635,103484,4,274,778,799,679,630,319,112,29,3630,65,297,928,687,424,238,62,12,0,2717,155,1731,4992,5594,6421,5723,3779,2063,627,31082,98,772,1952,1964,1907,1480,1013,574,176,9936,38,161,588,594,432,260,154,58,10,2286,85,960,3370,3702,3954,2860,1355,722,204,17208,21,391,2133,2423,2803,3134,1532,700,172,13304,402,2121,5674,5712,5025,3775,1819,746,236,25514,183,1145,3160,3236,2902,2190,978,366,89,14248,77,614,1347,789,598,412,245,86,33,4195
112,71,422,1805,2179,2216,2593,1998,759,254,12295,37,213,1197,1687,1674,1831,1887,649,170,9341,110,533,1956,2492,2729,2636,1774,668,205,13104,79,448,1628,2219,2392,2474,1533,389,57,11229,37,221,910,1047,823,597,400,130,25,4185,130,381,1017,897,877,625,432,149,54,4568,7,15,11,7,7,12,5,10,4,77,9,28,114,156,192,164,100,44,10,827,626,542,1360,1482,1449,1549,1497,1414,1206,11119,1164,2979,10753,13020,13256,13284,10195,4395,2070,71132,3,45,217,391,389,443,192,84,28,1790,45,126,245,326,330,231,58,12,3,1367,78,511,1436,2051,2991,2892,2050,1159,391,13559,59,380,1017,1491,1726,1446,791,420,104,7440,57,185,614,812,719,512,199,89,24,3215,45,313,1371,2224,2979,2405,1092,538,171,11147,9,170,1007,1680,2196,2636,1152,459,121,9427,195,819,2357,3028,3218,2596,1281,620,203,14306,127,491,1563,2257,2487,2024,745,236,38,9974,50,265,779,970,825,633,223,95,33,3878
113,59,456,1531,1185,1085,1079,813,374,127,6716,28,210,965,985,1027,848,689,275,85,5106,95,425,1470,1668,1586,1437,861,301,83,7939,68,341,1144,1077,999,935,456,114,25,5146,6,88,257,213,135,115,61,38,16,930,70,273,733,566,411,286,178,54,18,2594,3,27,21,12,4,3,6,4,0,81,6,21,86,86,75,54,32,20,6,378,421,413,826,778,776,845,846,760,538,6195,791,2484,7741,7155,6576,5966,4137,2002,917,37777,8,74,232,253,207,158,67,28,6,1034,26,65,236,149,115,87,28,0,0,714,136,731,1707,1805,2001,1501,832,329,94,9135,68,350,632,590,733,567,265,152,29,3384,66,227,580,767,681,525,277,110,28,3257,49,337,1004,1161,1246,982,505,249,99,5636,6,181,840,1120,1102,1066,439,193,56,5004,146,747,2014,2091,1969,1362,538,196,74,9131,98,397,1108,1113,951,641,226,89,15,4636,19,143,309,212,167,117,59,32,6,1062
114,32,228,1132,1051,1101,1459,1265,527,166,6965,7,136,732,840,906,1144,1295,573,139,5764,62,300,1298,1490,1692,1852,1628,708,156,9186,55,336,1037,1227,1353,1435,1122,338,55,6968,16,88,299,372,305,349,270,129,36,1860,69,252,636,565,524,434,298,120,30,2934,4,4,13,0,8,7,7,7,3,57,7,29,64,96,134,107,81,40,16,562,355,255,570,596,668,780,877,894,640,5628,634,1754,6234,6708,7230,8130,7320,3552,1301,42867,3,42,109,177,242,260,197,87,24,1145,11,51,125,135,143,109,58,7,3,641,79,449,1160,1686,2316,2187,1993,1079,282,11235,41,231,616,806,953,847,641,313,74,4528,38,111,300,414,382,266,162,67,19,1760,30,188,629,1062,1465,1334,774,435,95,6011,5,106,454,798,1162,1482,823,349,56,5240,92,485,1147,1737,1936,1882,1397,515,152,9335,64,331,800,1197,1365,1173,655,242,52,5882,20,100,251,379,355,299,229,91,19,1743
115,61,602,1697,2020,1974,1662,1205,526,164,9919,32,333,1322,1714,1943,1581,1394,582,170,9064,78,732,3273,6385,5230,3356,1957,729,175,21920,82,757,1669,2339,2280,1567,982,277,67,10027,74,391,782,827,591,304,210,82,35,3285,127,309,684,709,781,440,258,122,28,3447,7,12,8,10,8,14,19,15,5,95,6,44,145,299,247,198,140,62,20,1165,206,214,640,812,620,572,509,594,654,4817,712,3819,11575,18298,15690,11125,7368,3232,1388,73205,3,208,460,868,980,708,323,98,16,3667,28,259,1058,1386,1009,386,69,7,0,4213,69,612,1797,3578,4316,3329,1928,713,222,16568,61,510,933,1499,1287,849,530,173,36,5886,31,152,388,436,374,236,102,37,17,1768,35,452,1190,1996,2177,1699,825,309,125,8813,4,303,1148,1822,2085,2057,913,309,105,8747,200,1662,4392,6679,6226,4498,1809,546,179,26189,120,888,1743,2240,2031,1522,550,203,66,9354,63,605,857,766,531,311,157,59,20,3358
116,105,893,3834,3221,2157,1528,915,225,78,12944,33,534,2315,2141,1709,1105,885,317,87,9123,167,1284,6270,8515,4709,3166,1558,365,71,26105,120,1090,3270,3612,2653,1737,741,167,28,13420,39,403,923,777,414,196,111,39,9,2902,181,554,1394,1306,843,478,233,89,16,5088,5,16,33,31,25,31,34,10,4,195,7,80,410,650,370,237,143,33,8,1933,725,893,2449,2380,1557,1203,1147,778,575,11706,1423,6502,24878,27834,16354,10734,6290,2184,935,97130,3,247,884,912,724,433,131,25,8,3370,85,467,2865,1972,643,217,32,7,0,6281,106,943,3702,4997,5004,3417,1555,630,121,20479,85,413,1287,1311,935,728,376,169,29,5333,34,128,404,387,311,143,64,10,0,1477,68,668,2223,2309,1943,1189,361,144,44,8951,13,350,1808,1789,1395,1194,460,191,51,7239,357,2360,8177,7049,4960,2928,829,239,67,26969,212,1101,3064,2668,1937,1140,386,100,21,10619,61,530,1060,620,301,227,90,26,3,2916
117,33,673,4014,2114,1312,1137,763,290,100,10435,14,234,1846,1292,1068,996,937,356,62,6802,63,2472,12277,7768,4085,2263,1036,328,83,30369,32,1391,7553,4443,2866,2082,1287,427,98,20175,80,1418,5497,2747,1407,830,352,103,24,12463,58,578,1608,957,587,347,195,67,14,4413,18,54,45,15,19,15,17,11,9,206,19,196,705,486,386,215,133,54,23,2214,316,1295,3683,1956,1153,966,822,614,391,11197,669,9866,42577,24765,14405,9826,6026,2458,882,111488,16,627,2185,1387,746,508,218,72,8,5755,23,502,3852,1815,648,224,43,4,0,7116,39,839,3935,2628,2081,1501,937,472,106,12540,35,392,1875,1457,904,579,292,140,22,5701,7,86,456,377,215,123,35,19,0,1327,23,632,3383,2306,1578,1094,516,216,83,9828,10,250,1732,1624,1375,1356,548,205,48,7153,172,3722,16079,8586,4125,2188,810,251,69,35997,73,1763,8537,5576,3431,2510,926,266,49,23146,90,1910,6657,3319,1685,706,225,89,18,14698
118,16,476,3115,2071,1657,1485,1059,634,220,10734,9,189,1387,1140,1212,1231,1321,620,193,7308,46,1056,6688,5594,4431,2597,1488,663,221,22781,31,707,4429,3702,3018,2214,1512,633,155,16402,46,706,3166,2238,1400,800,362,158,64,8941,35,169,768,592,586,388,263,150,31,2991,4,18,16,13,14,15,19,29,45,169,10,91,359,324,416,246,182,87,24,1737,278,514,1828,1297,978,711,744,893,1033,8263,478,4548,24358,18831,15109,10732,7598,4192,2098,87940,13,424,1533,1146,796,604,344,128,60,5067,9,236,1615,1168,680,252,51,0,5,4015,33,844,3158,2193,2104,1813,1298,768,341,12556,22,454,1848,1432,1031,745,432,187,69,6216,7,82,433,317,206,97,63,35,8,1253,18,510,3140,2650,2293,1798,1088,633,260,12394,8,205,1593,1477,1594,1765,832,428,163,8074,116,2346,11404,9038,5344,3149,1487,665,321,33871,56,1246,6232,5261,3704,2839,1341,541,166,21379,62,1049,4229,2727,1476,666,283,142,65,10689
119,90,1606,5402,3362,2413,2104,1321,532,202,17040,63,902,3877,3077,2696,2151,1605,645,249,15257,193,2534,11558,11000,8292,5502,2621,828,300,42828,115,1576,5447,5144,4120,2979,1332,334,71,21124,70,807,2115,1561,963,570,272,118,39,6509,176,745,2013,1986,1587,881,507,182,53,8130,9,42,48,39,41,54,51,37,41,368,20,166,470,520,442,308,169,89,71,2250,973,1471,4110,3307,2582,2199,1948,1877,1956,20429,1763,11168,39100,33446,25760,18745,10717,5076,3193,148954,17,461,1547,1552,1445,730,350,132,34,6277,62,760,5197,2980,1373,373,60,12,3,10815,139,1348,5379,6757,7304,5121,3385,2143,737,32310,112,818,2375,2480,1895,1278,873,528,178,10543,15,130,426,364,363,201,92,43,16,1657,100,1127,3783,3297,2918,1848,943,498,154,14667,36,742,2740,2884,2796,2382,1106,529,153,13354,504,5231,17483,12995,8745,4938,1886,957,409,53155,235,1935,5896,4838,3830,2349,764,312,80,20247,105,926,2324,1561,962,497,245,112,40,6769
120,32,854,3426,2168,1846,1670,1198,468,143,11812,12,335,1746,1476,1551,1590,1485,628,154,8974,52,1482,7429,6805,5378,3408,1692,491,180,26923,36,938,3858,3647,3230,2359,1455,466,106,16091,68,736,2655,1864,1299,769,320,128,39,7879,46,322,892,758,666,454,231,100,16,3485,0,20,24,11,11,39,20,13,5,136,7,108,397,398,361,237,163,59,18,1759,251,653,1913,1333,965,804,770,749,926,8368,534,6406,25749,21059,17177,12710,8036,3380,1693,96752,4,330,1435,1308,1064,678,296,92,25,5231,23,383,3239,1899,912,295,54,7,0,6810,32,540,2953,3028,3122,2182,1343,764,235,14204,20,325,1273,1503,1164,763,454,213,43,5752,4,77,341,304,239,159,50,19,10,1206,31,642,2908,2710,2399,1788,826,397,134,11835,5,291,1653,1796,2002,2172,863,357,121,9257,143,2969,11883,9480,5998,3316,1097,403,203,35496,69,1098,5004,4990,3559,2708,930,304,79,18734,73,973,3099,2352,1412,650,195,97,34,8880
121,50,844,3541,3581,3428,2998,2288,1483,674,18884,24,273,1840,2051,2389,2409,2631,1541,475,13632,60,1342,7781,11680,9720,5931,3608,1679,592,42387,39,971,4227,5346,5168,3711,2673,1255,336,23724,96,753,2282,2398,1775,1076,563,288,140,9358,88,230,746,839,790,473,322,163,59,3712,4,27,12,5,21,27,35,21,6,158,12,82,354,529,562,397,305,154,67,2473,301,370,1278,1440,1117,888,919,942,1099,8341,701,5681,25346,32897,28525,20503,14819,8263,3701,140428,8,457,1706,2056,2075,1576,1090,435,165,9570,26,328,3611,3330,2077,743,147,23,4,10294,46,585,3409,4303,4598,3510,2682,1560,610,21301,17,384,1302,1633,1548,1204,748,376,110,7312,11,143,548,559,462,304,194,102,32,2349,33,719,3480,4119,4398,3422,2339,1442,524,20457,11,304,1942,2601,3149,3442,2059,969,314,14788,141,3067,14023,15982,12507,8353,4266,1840,834,61021,87,1482,6296,7401,6515,5071,2617,1131,363,30974,96,1239,3502,2591,1838,1100,506,320,105,11291
122,51,452,1818,1909,1939,1903,1233,747,298,10353,10,249,1357,1586,1778,1734,1557,842,225,9340,50,791,3547,5239,5809,3569,2152,1133,347,22645,49,514,2133,2766,2955,1988,1190,482,115,12204,53,456,1544,1624,1269,693,345,165,56,6199,62,232,612,716,838,522,338,199,50,3558,5,10,9,10,5,11,9,7,17,81,5,30,186,256,335,171,107,71,32,1196,226,260,797,824,838,612,585,800,856,5806,541,3371,13204,16592,17473,12430,8189,4738,2095,78632,3,150,676,1113,943,652,386,131,54,4114,21,181,1023,1242,934,355,71,10,3,3844,37,451,2117,3185,3440,2568,2084,1190,408,15492,36,391,1624,1987,1549,1073,660,367,122,7814,14,116,502,568,409,177,122,66,20,1996,30,323,1749,2261,2282,1630,1058,617,189,10141,4,186,1480,1934,2003,2047,1133,477,146,9421,117,1469,6175,9017,6628,4466,2566,1082,433,31969,86,834,2835,3997,2840,2017,1038,392,123,14155,51,697,2002,1786,1098,617,315,153,73,6787
123,121,755,2611,2177,1732,1369,807,285,72,9930,27,422,2107,2105,1658,1168,916,234,68,8703,156,898,3876,4750,3325,2587,1418,364,78,17449,131,927,2891,2997,2113,1604,693,146,19,11523,67,310,715,470,265,188,101,34,13,2165,142,478,1313,1058,717,425,253,76,21,4475,3,20,21,19,11,23,19,34,21,175,11,67,158,260,197,138,76,15,3,931,532,550,1465,1440,1083,947,904,804,617,8343,1229,4809,16458,16817,12076,9111,5592,2134,942,69168,10,173,394,486,391,321,95,36,9,1907,62,245,1007,658,371,164,30,5,0,2541,136,1016,2874,3831,4233,3479,1637,560,145,17913,103,584,1342,1328,996,810,388,138,29,5718,42,159,423,334,301,177,73,21,3,1545,73,480,1469,1686,1577,1122,430,147,46,7024,9,331,1520,1632,1480,1383,482,156,31,7024,300,1572,4401,4250,3678,2506,753,211,54,17712,200,1035,2490,2198,1739,1023,294,78,21,9077,59,449,626,378,294,213,89,21,6,2138
124,137,798,2629,2427,2092,1877,1373,590,168,12095,40,475,2360,2234,2034,1845,1584,571,132,11281,148,974,3951,4661,3898,3047,1822,576,123,19206,146,1044,3206,3087,2675,2264,1295,381,65,14158,67,361,1061,881,617,464,306,96,36,3893,203,617,1555,1244,863,536,283,87,26,5426,9,16,14,19,16,18,11,10,0,122,20,61,195,263,219,126,96,45,6,1035,518,685,1742,1594,1281,1001,1018,1033,851,9722,1339,5451,18221,18007,14821,12092,8346,3597,1477,83346,3,177,481,605,596,482,227,65,12,2646,83,296,927,669,454,268,61,7,0,2762,157,1308,3574,4352,4873,4000,2083,793,236,21371,100,680,1662,1641,1355,1068,566,233,75,7383,57,282,609,584,447,282,130,47,18,2455,71,581,1961,2143,2393,1829,824,375,138,10317,9,389,1849,2170,2425,2445,915,339,77,10626,372,1868,4902,4971,4655,3467,1321,436,168,22156,202,1258,2962,2783,2579,2026,805,267,46,12934,69,537,1059,909,688,492,209,107,28,4099
125,77,1448,5297,3053,1989,1602,1037,427,140,15073,20,650,2851,2302,1845,1493,1102,570,162,11003,156,2056,10091,9610,5616,3647,1811,612,178,33784,113,1421,4493,4156,3112,2132,1007,318,51,16800,47,473,1641,1098,706,373,177,81,21,4609,128,540,1541,1421,916,494,236,103,25,5409,6,37,47,33,27,29,31,22,22,257,8,116,558,583,335,233,142,50,18,2046,806,1358,4045,3216,1996,1778,1359,1091,888,16537,1423,9385,36906,30790,18846,13329,7610,3594,1623,123500,17,485,1783,1524,1177,712,316,116,21,6146,65,716,5701,2831,1096,321,47,5,3,10781,99,1088,5183,5239,5357,3867,2444,1274,365,24929,80,576,1849,1698,1262,880,556,283,87,7266,16,99,411,349,307,154,72,53,4,1476,53,1042,3820,2843,2258,1614,739,329,97,12793,25,468,2202,2078,1944,1706,926,405,93,9839,328,4051,15145,9544,6028,3710,1579,646,184,41207,178,1455,4632,3568,2767,1809,677,230,64,15371,70,714,1714,1065,595,388,157,79,22,4801
126,31,438,2004,1571,1251,1265,957,430,173,8110,5,177,1063,1014,1023,1099,1020,561,199,6168,37,922,5141,5377,3753,2469,1394,505,214,19807,20,491,1886,2147,1689,1324,863,334,87,8846,31,400,994,875,585,347,180,73,32,3524,40,188,482,488,428,274,163,55,22,2131,5,15,6,6,11,19,25,14,0,108,15,55,164,232,206,125,103,52,20,972,131,286,943,835,525,538,468,509,656,4888,340,3443,15184,15041,10980,8749,5753,2816,1532,63827,3,221,820,927,959,675,370,164,39,4172,20,211,1932,1477,965,310,49,9,0,4964,25,328,1868,2260,2651,1944,1190,827,293,11385,8,186,557,734,665,452,286,183,62,3142,4,49,200,218,218,134,59,30,17,928,12,350,1382,1549,1721,1323,745,412,165,7655,8,176,915,1124,1399,1451,827,418,143,6461,157,2358,6034,5602,4420,2838,1235,649,311,23603,38,717,2253,2296,1993,1566,705,321,85,9977,40,501,1086,827,569,327,130,97,40,3614
127,109,1184,3599,2390,1792,1257,705,210,66,11311,64,816,3327,2388,1820,1230,849,296,54,10843,203,1537,6430,6899,4887,3076,1360,331,63,24791,140,1304,4144,3480,2621,1793,686,126,23,14320,40,485,1098,636,426,187,100,55,13,3034,170,587,1654,1684,1195,647,364,104,14,6417,15,12,48,32,36,25,15,11,0,187,18,113,305,309,248,156,88,22,9,1267,944,1044,2751,2669,2052,1832,1474,1163,895,14816,1757,7874,25546,22675,16451,11260,6101,2490,1176,95320,14,349,741,761,603,322,108,28,0,2930,84,593,2179,1226,553,180,29,3,0,4839,155,1133,3603,4806,5262,3648,1776,725,144,21253,95,605,1459,1508,1278,843,489,207,42,6531,21,86,240,215,225,158,43,20,3,1005,60,750,1934,1936,1533,1005,310,136,33,7689,26,550,1689,1617,1435,1158,486,147,27,7135,455,2803,7908,6300,4426,2327,667,219,47,25154,221,1355,2855,2297,1882,1072,300,86,22,10093,56,594,1053,569,349,181,93,20,7,2928
128,50,566,1753,1677,1630,1483,893,410,143,8598,21,332,1673,1690,1763,1749,1473,507,142,9345,90,745,2930,4390,4176,3133,1904,852,324,18549,78,626,1939,2210,1970,1355,796,255,60,9293,51,438,949,866,547,248,182,102,32,3423,96,301,773,794,810,445,335,145,42,3734,3,5,13,3,11,18,12,32,96,188,3,24,119,178,156,110,68,23,17,699,174,186,616,671,627,486,536,697,715,4704,605,3504,11599,13631,12794,9874,6684,3239,1637,63576,3,192,484,663,576,498,258,109,26,2801,30,179,753,698,471,238,42,6,0,2426,63,927,2549,3750,4240,3492,2379,1326,403,19132,58,595,1524,1635,1343,913,547,322,90,7037,18,94,339,339,269,134,65,27,7,1287,39,513,1536,1867,1938,1222,633,361,95,8205,12,335,1557,1778,2175,2117,819,317,84,9199,208,1546,4798,5841,5227,3962,1735,812,268,24391,128,987,2419,2363,1736,1315,481,197,48,9677,54,588,1071,731,424,284,180,84,25,3455
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
199,4,13,69,59,54,62,34,14,0,298,0,5,35,19,35,31,26,9,0,157,5,27,102,84,86,92,40,13,0,455,0,26,97,52,61,74,38,6,0,352,4,14,64,26,15,16,8,0,0,158,5,21,50,26,26,23,19,0,0,162,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,3,3,0,0,21,94,139,350,305,213,159,77,26,10,1373,115,259,843,611,522,498,255,66,20,3187,0,22,59,33,14,12,7,5,0,144,0,19,67,21,15,14,0,0,0,140,0,63,199,118,143,145,107,15,0,801,5,21,83,76,55,46,44,6,0,334,0,17,32,23,19,13,7,0,0,122,5,29,123,63,85,82,28,5,3,426,5,16,77,34,50,67,21,7,0,274,15,113,277,181,120,110,42,5,0,866,12,73,190,103,83,78,31,3,0,569,0,50,109,54,39,15,12,0,0,281
