POA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
POA2019,100,27,168,66,3,476,571,862,216,10,393,231,61,92,753,47,663,8816,384,12154,5,11,3,38,11,13,5,0,49,10,32,63,674,845,731,920,266,94,498,303,84,120,897,76,869,8941,1066,13467,4,5,0,0,0,0,0,0,20,0,9,136,5,173,19,8,14,7,11,13,4,9,16,5,17,67,0,130,21,13,14,7,11,9,4,9,33,5,27,200,3,306,697,770,253,49,480,285,84,105,790,62,743,6571,314,9927,13,3,6,42,10,8,3,0,44,5,28,30,564,684,731,796,266,94,497,302,84,121,869,78,795,6798,886,10924
POA2020,121,41,205,73,15,606,490,953,206,20,456,203,66,83,787,42,861,16110,444,19773,10,7,0,0,13,3,5,0,10,0,4,98,1088,1217,671,1012,279,64,594,308,99,110,919,83,1069,16286,1547,21591,8,6,0,0,0,0,0,0,7,0,11,228,3,263,24,4,12,4,6,11,0,3,15,5,20,47,3,107,32,14,12,4,6,11,0,3,25,4,28,272,4,370,631,905,261,61,578,292,93,105,869,78,948,13689,381,17528,5,5,5,6,7,8,0,0,4,0,6,124,1007,1158,670,920,271,64,595,310,99,110,901,80,985,14090,1392,19057
POA2021,64,26,118,28,3,326,674,1014,354,17,225,327,67,111,946,64,804,10017,330,13865,9,0,0,0,0,9,3,0,0,3,4,71,670,757,792,1047,381,63,256,390,84,136,1015,99,923,10116,1008,14946,4,3,0,0,0,0,0,0,3,0,6,46,0,53,16,9,9,4,7,13,3,5,16,5,16,76,7,148,23,11,9,4,7,13,3,5,13,5,25,125,5,205,765,936,372,54,245,372,87,124,970,92,850,8266,287,12120,6,3,4,0,3,0,0,5,5,0,6,31,626,671,794,948,382,63,254,387,84,131,992,99,878,8416,922,12998
POA2022,79,30,149,60,8,451,585,790,302,14,289,292,74,93,691,40,674,9039,297,12169,9,0,0,0,3,0,0,0,0,0,5,50,812,883,747,837,349,65,357,365,104,131,773,69,831,9154,1115,13509,0,0,0,0,0,0,0,0,0,0,6,51,0,56,25,9,7,0,12,19,3,7,15,4,17,52,3,110,27,9,10,0,12,24,3,7,15,4,19,103,0,167,707,748,336,57,343,340,101,118,725,72,754,7309,271,10568,10,8,5,0,0,0,7,0,4,0,5,43,744,818,744,758,347,65,356,361,107,128,743,69,778,7456,1017,11551
POA2023,51,13,86,25,3,239,482,589,239,5,232,275,50,55,509,34,532,7351,250,9900,6,9,0,0,0,4,0,0,0,0,0,41,395,455,545,612,276,44,261,314,57,67,567,48,623,7422,643,10590,0,0,0,0,0,0,0,0,0,0,0,13,0,16,16,7,11,0,4,12,9,0,9,4,9,35,0,83,16,3,11,0,8,12,9,0,5,4,9,48,0,102,528,517,255,39,248,290,52,64,534,41,571,5750,209,8283,0,0,3,0,4,6,0,0,0,0,0,38,336,385,546,529,271,44,258,314,59,67,544,48,581,5836,552,8772
POA2024,114,36,157,39,9,396,479,673,238,10,166,235,49,77,572,47,555,7550,299,10185,75,19,23,119,15,40,10,13,51,6,115,51,533,798,689,726,296,214,243,369,82,123,738,88,832,7641,840,11380,0,0,0,0,0,0,0,0,0,0,0,22,0,28,27,5,15,6,9,17,9,4,13,10,15,50,0,111,27,5,15,6,9,13,9,4,9,10,12,72,3,133,565,619,253,58,205,302,56,94,627,61,623,5790,241,8446,99,21,26,148,21,55,18,17,72,17,138,33,455,738,691,646,291,214,236,369,82,118,708,88,779,5890,699,9320
POA2025,30,24,97,25,4,254,408,445,206,11,122,222,29,59,366,34,393,4625,198,6520,3,4,0,6,5,0,0,0,0,0,3,34,365,414,477,472,235,41,156,277,46,89,403,61,497,4683,562,7189,0,0,0,0,0,0,0,0,3,0,0,16,0,17,18,6,10,4,4,12,3,4,5,0,9,44,0,97,19,6,10,4,3,15,3,4,11,0,9,61,0,113,452,404,221,33,147,262,40,82,376,59,447,3690,165,5623,3,0,5,3,5,0,0,0,0,0,4,16,318,353,476,409,236,41,156,275,43,89,390,61,457,3767,487,6081
POA2026,175,41,263,100,3,761,1059,1877,529,20,463,529,112,164,1726,79,1395,22840,825,29845,15,6,3,5,0,9,3,8,15,3,10,139,1908,2088,1304,1958,646,102,587,668,155,238,1915,125,1674,23071,2740,32693,3,8,0,0,0,0,0,0,0,0,3,64,0,72,38,19,13,0,23,35,6,6,25,3,32,112,5,232,35,31,13,3,23,35,6,8,33,3,33,173,5,308,1243,1718,612,99,550,613,139,227,1828,118,1518,18828,709,25885,17,7,10,4,11,8,4,6,16,5,17,96,1680,1826,1303,1760,637,102,583,663,154,238,1874,124,1564,19098,2396,28025
POA2027,35,24,62,24,11,254,492,455,285,26,203,292,34,87,398,56,442,4823,201,7054,9,3,6,8,0,4,4,0,4,3,7,48,423,507,586,483,341,80,233,343,46,103,440,81,507,4902,635,7810,0,0,0,0,0,0,0,0,3,0,0,25,0,31,25,11,13,0,13,24,3,7,11,3,5,48,0,122,25,11,13,0,13,24,3,7,13,3,5,77,0,149,547,428,324,70,218,316,41,94,415,74,476,4068,191,6367,5,0,0,8,0,6,0,0,0,0,0,43,376,448,581,436,341,80,232,343,45,103,432,81,485,4191,568,6961
POA2028,13,8,43,14,0,124,263,298,134,9,104,145,23,37,261,24,237,3091,123,4377,4,0,0,0,0,0,0,0,4,0,0,21,176,207,312,309,146,30,117,173,28,45,277,34,281,3126,299,4709,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,5,4,0,4,9,3,3,0,0,8,23,0,50,14,5,4,0,4,9,3,3,0,0,8,27,0,56,297,285,142,27,113,162,23,43,272,29,268,2577,106,3890,3,0,0,0,0,0,0,0,0,0,0,23,153,188,312,286,146,30,122,173,25,45,270,34,274,2625,263,4126
POA2029,60,18,106,39,10,315,500,587,210,13,238,273,45,71,473,42,529,6491,261,8997,16,10,0,48,12,12,3,4,16,0,39,53,453,602,608,625,245,102,290,336,61,96,551,63,682,6584,724,9911,0,0,0,0,0,0,0,0,5,0,0,19,0,26,18,8,16,0,10,17,0,3,3,0,10,31,9,91,18,4,16,0,10,17,0,3,6,0,15,52,11,121,564,546,229,51,265,306,53,88,503,56,590,5112,224,7647,25,4,3,51,14,13,3,4,14,4,35,30,401,528,609,556,245,102,290,336,57,94,526,63,637,5196,636,8293
POA2030,71,23,153,60,8,495,667,691,399,9,315,370,66,84,560,38,712,9873,353,13218,0,4,14,41,7,34,9,4,13,5,11,71,563,719,806,723,475,148,387,497,102,118,642,62,882,10008,930,14434,0,5,0,0,0,0,0,0,10,0,8,136,3,159,18,5,8,3,13,16,0,5,9,3,8,50,0,105,19,15,13,3,14,16,0,8,14,3,16,182,3,267,776,605,453,99,358,443,86,111,581,60,775,7443,296,10852,9,0,10,46,8,31,11,5,12,5,10,27,468,575,803,621,476,148,379,493,95,114,607,62,795,7651,760,11690
POA2031,232,75,363,108,18,1018,1406,2109,704,35,578,643,125,196,1909,112,1762,22844,784,30932,20,4,3,11,4,4,0,6,11,6,20,129,1681,1875,1725,2194,830,210,730,812,185,269,2156,194,2139,23081,2481,33830,10,8,0,0,4,4,4,0,20,4,7,153,0,192,48,16,22,7,27,39,5,16,18,7,30,115,7,263,57,17,25,7,30,43,7,13,34,13,38,270,15,456,1648,1956,797,178,679,765,168,242,2057,172,1940,18209,654,26472,20,3,5,24,9,10,0,3,15,10,6,90,1511,1658,1724,1979,824,210,716,809,179,259,2104,193,1983,18565,2184,28589
POA2032,185,46,290,82,10,777,643,806,242,10,406,280,56,86,809,56,775,9678,327,13071,16,6,10,38,9,15,8,3,39,3,38,65,652,793,907,913,333,123,550,416,112,147,1030,107,1099,9821,991,14643,0,0,0,0,0,0,0,0,5,0,3,27,0,39,16,6,10,3,6,6,4,3,14,0,18,38,6,87,16,6,10,3,6,8,4,3,13,4,21,61,0,123,862,793,316,78,532,387,96,137,948,94,970,8037,299,11823,26,11,9,37,13,18,9,4,34,3,36,48,591,716,903,803,333,123,545,417,108,142,999,107,1021,8148,896,12661
POA2033,113,29,186,56,0,475,424,717,226,9,280,221,43,60,732,25,607,7954,230,10730,0,6,0,0,3,7,0,0,6,0,0,59,643,718,540,750,272,121,348,308,73,91,853,59,797,8068,872,11927,0,0,0,0,0,0,0,0,4,0,0,42,0,52,11,14,6,0,11,16,0,9,5,0,10,50,0,103,11,15,6,0,11,16,0,9,13,0,10,97,0,147,521,671,263,121,339,288,70,80,819,56,728,6715,214,9721,3,0,0,0,0,5,0,0,3,0,3,31,575,613,541,683,269,121,348,306,73,90,833,59,744,6843,788,10488
POA2034,156,33,215,70,7,624,846,1209,426,25,334,424,73,136,1229,59,987,13565,538,18502,12,9,4,5,7,4,0,7,12,0,18,78,995,1120,1048,1294,501,101,431,526,114,199,1393,92,1224,13707,1544,20249,6,8,3,0,0,0,0,0,7,0,7,137,5,161,32,9,19,3,9,30,5,8,20,5,18,105,8,201,41,14,20,3,10,28,5,11,25,5,28,238,14,361,984,1116,473,76,405,481,109,183,1314,86,1099,10855,452,15852,17,10,3,23,9,10,0,4,16,3,10,59,847,972,1047,1142,501,101,426,518,110,194,1355,92,1139,11147,1308,17187
POA2035,387,152,557,217,33,1763,1786,1958,706,39,1029,848,200,243,1710,138,1819,22589,829,31082,58,23,28,91,35,58,13,16,88,28,124,165,1384,1759,2420,2138,910,322,1368,1210,327,383,2188,318,2502,22978,2245,34602,11,14,0,0,0,0,0,0,6,0,9,145,7,180,65,22,31,7,34,55,10,5,22,11,40,136,12,307,74,31,32,7,34,55,10,8,30,11,50,285,14,483,2267,1816,848,219,1282,1090,302,353,1987,272,2143,17785,720,26988,73,17,25,89,44,65,17,15,92,31,132,115,1167,1510,2417,1863,903,322,1367,1206,324,381,2112,317,2324,18178,1908,28979
POA2036,378,131,550,186,28,1651,1704,1837,655,40,1141,797,190,224,1575,131,1677,20874,888,29077,31,40,42,86,34,56,25,8,58,11,71,134,2686,3038,2243,2061,865,322,1484,1153,334,374,2006,273,2299,21194,3600,33767,6,6,0,0,0,3,0,0,17,0,15,181,6,232,64,23,36,10,39,62,7,8,45,17,35,118,13,325,74,24,34,10,39,65,10,8,58,17,48,302,24,552,2124,1732,782,212,1399,1027,297,339,1812,247,2016,16058,753,24806,38,32,40,97,32,53,20,17,63,16,49,100,2351,2677,2235,1793,859,322,1471,1142,328,364,1939,272,2113,16456,3126,28039
POA2037,275,41,299,65,18,741,786,1223,343,11,369,318,75,155,1634,51,1142,10077,368,14875,6,9,3,0,7,5,0,5,9,0,8,56,926,1024,1025,1361,425,58,499,440,112,229,1918,95,1452,10197,1322,16641,0,0,0,0,0,0,0,0,0,0,0,35,0,38,30,16,17,6,17,25,4,6,33,6,26,81,5,184,30,12,15,6,17,25,4,5,37,6,21,112,5,220,979,1247,404,55,476,406,110,216,1841,84,1356,8588,341,13731,17,5,8,0,7,4,0,4,9,0,14,34,853,924,1025,1278,420,58,496,443,111,225,1880,95,1391,8730,1199,14880
POA2038,116,19,148,28,3,340,463,705,204,6,181,207,34,59,809,33,613,5900,247,8640,8,6,0,3,0,0,0,0,3,0,3,20,466,504,568,731,251,108,230,260,50,82,928,55,762,5943,712,9487,0,0,0,0,0,0,0,0,0,0,0,21,0,31,14,8,5,0,11,8,0,4,17,6,7,36,0,81,14,7,6,0,11,8,0,4,15,6,10,59,0,113,542,639,232,78,220,243,47,78,881,48,699,4577,201,7382,8,7,12,25,4,8,7,3,21,3,5,23,418,477,566,652,248,108,230,260,53,82,913,55,717,4660,614,7967
POA2039,69,22,83,21,7,231,456,618,197,6,172,169,28,67,631,23,538,5592,234,8043,6,0,0,0,0,0,0,0,3,0,0,34,235,284,533,646,228,21,207,207,36,83,707,45,618,5645,475,8553,6,8,0,0,0,0,0,0,3,0,4,25,0,36,15,8,7,0,6,5,0,3,5,0,11,51,0,89,17,12,7,0,6,5,0,0,11,0,7,83,3,122,512,549,221,21,202,192,33,81,670,41,572,4290,199,6731,0,0,0,0,0,0,0,0,0,0,3,18,196,220,530,566,231,21,207,207,30,83,681,45,593,4384,395,7078
POA2040,230,49,319,99,87,1006,1067,1652,450,13,484,439,87,184,1889,75,1524,14417,583,20859,4,14,0,0,5,8,3,0,10,0,7,89,815,938,1360,1763,540,147,638,595,142,261,2131,129,1848,14594,1490,22803,0,3,0,0,0,0,0,0,9,0,0,60,6,73,28,11,9,3,21,18,0,4,26,5,22,121,8,219,30,9,9,3,21,18,0,4,31,7,21,181,11,295,1319,1536,526,101,606,559,133,247,2010,122,1648,10622,501,17222,9,6,0,43,3,13,0,7,6,0,3,47,775,901,1362,1557,539,147,631,586,143,255,2055,129,1678,10848,1287,18419
POA2041,164,31,182,42,12,502,826,1112,461,13,293,391,73,133,1102,60,947,9926,454,14427,8,4,0,0,4,8,0,4,8,0,8,46,578,651,971,1172,531,70,365,495,98,177,1278,92,1141,10013,1046,15584,0,0,0,0,0,0,0,0,9,0,5,14,0,24,24,11,24,3,10,31,3,9,25,9,26,109,4,209,24,15,27,3,10,31,3,9,33,9,27,126,4,238,935,1028,500,72,351,457,94,162,1196,83,1035,7619,386,12183,8,0,4,0,0,0,0,4,9,0,7,27,483,531,972,1045,527,70,362,490,97,179,1241,92,1073,7770,875,12949
