POA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA2019,0,4,0,0,0,0,6,0,13,0,0,0,0,13,0,85,7,0,4,0,95,3,25,8,5,0,0,35,0,16,3,4,0,0,22,3,11,0,8,37,0,67,42,0,6,12,11,0,70,158,8,0,16,15,0,201,324,3,0,30,3,0,366,384,0,0,25,4,0,412,252,6,0,15,0,0,276,107,0,0,6,0,0,123,70,0,4,3,0,0,75,69,0,0,8,5,0,82,28,7,0,3,7,0,57,1441,174,28,148,94,8,1893
POA2020,6,0,0,0,0,0,8,0,5,0,0,0,0,5,0,13,5,4,0,0,29,6,20,9,12,0,0,45,7,3,4,11,7,0,29,24,5,6,29,11,0,62,109,0,4,38,8,4,167,180,5,3,43,13,4,255,819,0,3,54,21,0,902,1133,0,4,86,21,5,1252,904,0,0,48,23,0,976,408,0,0,36,17,0,456,142,0,0,18,6,0,163,96,0,0,17,3,0,117,78,5,6,43,14,7,146,3918,63,30,433,134,20,4597
POA2021,5,0,0,0,0,0,3,4,0,0,0,0,0,3,3,32,3,3,0,0,38,14,9,4,10,3,0,39,4,0,0,6,0,0,13,54,0,0,14,0,0,76,214,0,0,38,3,0,261,415,0,0,59,11,0,483,348,0,7,67,7,0,424,261,0,0,38,4,0,305,191,0,0,31,0,0,225,169,0,0,35,0,0,209,142,0,0,27,0,0,169,643,0,0,102,3,0,750,35,0,0,23,4,3,60,2500,43,16,446,37,8,3057
POA2022,0,0,0,0,0,0,3,0,0,3,0,0,0,5,7,22,6,6,0,0,37,9,9,11,4,0,0,35,3,7,10,6,0,0,25,13,3,5,17,0,0,34,73,5,7,23,8,0,111,173,3,0,27,10,0,221,230,0,8,55,7,0,298,369,0,0,43,0,0,409,425,0,0,36,4,0,465,235,0,0,33,0,0,271,200,0,0,29,0,0,229,427,0,0,51,8,0,487,31,7,5,21,6,10,74,2182,53,49,349,45,9,2695
POA2023,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,7,4,0,0,0,0,0,6,0,0,0,3,0,0,13,24,0,0,4,3,0,29,68,0,0,10,0,0,94,193,0,0,24,0,0,212,243,0,0,24,4,0,272,173,0,0,17,0,0,199,125,0,0,17,0,0,142,65,0,0,11,0,0,75,203,0,0,43,0,0,243,22,0,0,18,4,7,45,1129,0,6,187,13,6,1347
POA2024,0,6,0,0,0,0,8,0,10,0,0,0,0,10,0,33,0,0,0,0,34,0,8,0,0,0,0,8,0,0,0,0,0,0,9,5,0,0,3,0,0,17,17,0,0,5,0,0,25,101,3,0,22,0,0,121,160,0,0,35,0,0,194,270,0,0,60,6,0,328,268,0,0,38,0,0,309,182,0,0,23,0,0,205,106,0,0,11,3,0,118,217,0,0,47,0,0,261,22,0,0,16,6,4,41,1340,68,11,260,11,10,1691
POA2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,4,3,0,0,12,0,0,3,3,5,0,8,0,0,4,3,0,0,12,4,0,0,5,0,0,8,7,0,3,12,0,0,23,48,0,0,7,0,0,58,139,0,0,10,0,0,146,147,0,0,34,0,0,179,135,0,0,18,0,0,159,80,0,0,16,0,0,94,50,0,0,12,0,0,61,207,0,0,50,0,0,256,11,0,0,6,0,0,22,829,13,12,172,12,0,1041
POA2026,4,5,3,3,0,0,19,0,12,0,0,0,0,15,3,116,3,4,0,0,132,3,21,10,12,0,0,48,15,8,6,11,4,0,48,15,6,8,21,3,0,58,124,0,3,41,3,0,179,431,6,0,83,7,0,525,753,8,4,143,20,0,922,1055,0,0,170,17,3,1245,1083,0,0,169,10,0,1260,843,0,0,142,3,3,995,566,0,0,81,4,0,654,1117,0,0,222,8,0,1350,108,19,5,60,9,15,219,6128,207,43,1158,90,30,7662
POA2027,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,3,0,0,6,33,0,0,12,0,0,43,109,0,0,12,0,3,122,113,0,0,23,0,0,134,148,0,0,26,0,0,175,140,0,0,23,0,0,168,113,0,0,26,0,0,140,88,0,0,24,0,0,117,353,0,0,65,3,0,424,28,0,0,12,3,0,44,1138,3,3,249,11,6,1405
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,5,0,0,11,6,0,0,5,0,0,17,22,0,0,9,0,0,32,69,0,0,9,0,0,74,137,0,0,22,0,0,156,144,0,0,25,0,0,169,106,0,0,28,0,0,134,66,0,0,9,0,0,80,184,0,0,27,0,0,211,7,0,0,18,0,0,26,746,0,0,161,4,0,914
POA2029,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,0,0,14,0,0,0,6,0,0,11,0,0,0,3,0,0,8,5,0,0,3,0,0,15,25,0,0,13,0,0,35,103,0,10,16,3,0,123,242,0,0,28,0,0,280,317,0,0,41,4,0,362,222,0,0,32,0,0,258,119,0,0,31,0,0,151,77,0,0,21,0,0,94,221,0,0,67,3,0,288,28,0,0,25,5,6,53,1357,9,17,286,22,7,1700
POA2030,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,0,0,0,4,0,0,0,5,0,0,5,3,0,0,3,0,0,6,6,0,0,9,6,0,27,28,0,0,10,3,0,46,86,0,0,20,0,0,107,157,0,0,25,0,0,188,146,0,5,23,3,0,177,94,0,0,20,0,0,117,49,0,0,19,0,0,72,252,0,0,69,3,0,327,26,0,0,20,4,3,52,848,3,13,230,27,3,1130
POA2031,4,5,0,0,0,0,9,6,5,3,0,0,0,20,3,66,12,9,0,0,91,21,15,18,13,3,0,71,10,10,11,11,0,0,41,31,14,3,30,12,0,87,80,9,5,49,14,0,155,493,3,7,67,28,0,608,1223,0,3,178,7,0,1420,1555,0,0,149,11,3,1716,870,0,0,93,6,0,963,367,0,0,60,0,0,431,256,0,0,45,0,0,301,467,0,0,90,5,0,563,74,9,3,43,9,14,142,5467,135,70,847,96,16,6630
POA2032,0,18,0,0,0,0,21,3,21,4,0,0,0,27,8,239,13,8,3,0,266,16,62,14,25,0,0,120,27,32,5,18,6,0,87,47,21,0,22,4,4,91,171,20,6,29,0,3,222,448,12,9,43,0,0,514,546,10,0,50,3,0,619,305,9,0,33,0,0,350,183,5,0,30,0,0,218,115,6,0,13,0,0,136,59,0,0,10,0,0,69,111,0,0,17,0,0,130,40,31,3,21,4,4,97,2081,480,56,327,27,11,2978
POA2033,0,7,0,4,0,0,11,0,4,0,0,0,0,4,0,19,10,4,0,0,38,4,9,5,16,0,0,29,3,6,0,7,0,0,23,6,0,0,11,4,0,36,82,0,9,24,11,0,122,394,4,5,36,12,0,450,619,0,3,58,5,0,686,384,0,0,36,0,0,429,153,0,0,14,3,0,174,120,0,0,16,0,0,137,58,0,0,14,0,0,71,113,0,0,22,0,0,135,29,4,0,14,0,7,56,1981,49,34,276,47,4,2388
POA2034,0,18,0,0,0,0,17,0,27,0,0,0,0,29,3,282,14,4,0,0,306,0,89,19,3,0,0,112,5,29,10,7,0,0,53,18,34,8,12,7,0,80,42,27,7,17,15,0,113,133,19,6,41,39,0,236,447,9,0,67,6,0,527,724,8,0,80,6,0,810,649,0,0,82,0,0,729,378,0,0,48,0,0,429,213,0,0,30,0,0,249,449,0,0,59,0,0,507,41,40,3,27,5,11,123,3107,580,64,490,86,12,4331
POA2035,0,34,0,0,0,0,34,0,79,9,0,0,0,85,5,491,17,6,0,0,529,6,142,21,13,0,0,189,8,81,9,15,0,0,110,27,65,18,22,0,0,142,73,35,19,36,9,0,173,303,35,11,56,8,0,405,879,15,0,97,3,0,994,876,8,0,92,7,0,983,507,0,3,56,4,0,573,319,0,0,42,4,0,371,178,0,0,26,0,0,204,375,3,0,40,4,0,425,80,62,4,51,11,5,204,3643,1063,113,547,51,18,5427
POA2036,5,39,3,0,0,0,48,5,69,4,6,0,0,81,3,445,24,7,3,3,486,4,132,78,15,9,0,231,6,75,18,11,3,0,112,10,56,12,14,8,0,103,86,48,12,20,13,0,185,531,38,4,55,28,6,664,597,14,8,68,17,0,708,651,12,8,56,16,0,738,524,9,3,48,7,4,588,298,0,0,33,11,0,347,142,0,0,19,3,0,172,340,0,0,36,3,0,378,54,66,13,35,3,18,192,3262,1004,189,413,128,38,5034
POA2037,0,22,0,6,0,0,27,0,60,5,0,0,0,65,0,395,22,7,0,0,426,12,149,66,8,0,6,241,12,81,18,13,3,0,128,63,52,13,20,3,0,154,202,47,23,51,4,0,323,408,51,67,56,0,0,589,526,14,12,70,3,0,625,442,9,3,53,4,0,509,388,10,0,48,3,0,450,363,0,0,35,3,0,406,161,0,0,34,0,0,195,297,4,0,47,0,0,352,30,57,7,23,3,8,129,2908,958,238,471,30,18,4611
POA2038,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,22,11,0,0,0,42,4,9,11,0,0,0,27,10,3,3,12,0,0,29,46,0,5,9,0,0,61,128,0,0,18,4,0,153,188,4,5,25,0,0,223,150,0,0,30,0,0,183,149,0,0,30,0,0,180,163,0,0,21,0,0,181,135,0,0,18,0,0,152,108,0,0,12,0,0,119,167,0,0,34,0,0,204,16,3,0,11,3,4,31,1257,57,45,215,7,6,1584
POA2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,4,23,0,10,4,4,0,0,20,4,3,0,7,0,0,19,12,7,0,12,7,0,26,42,4,0,18,8,0,64,83,0,0,23,6,0,111,174,4,0,23,7,0,204,186,0,0,25,0,0,209,175,0,0,18,0,0,196,173,0,0,19,0,0,196,120,0,0,14,0,0,133,180,0,0,19,0,0,198,14,0,0,8,0,0,20,1158,49,3,186,22,5,1428
POA2040,0,14,0,0,0,0,19,0,22,6,0,0,0,27,0,205,20,9,4,0,230,6,34,14,10,5,0,68,9,29,8,9,0,0,53,31,23,4,18,10,0,80,103,11,11,32,4,0,160,359,13,18,45,18,0,448,360,8,6,52,3,0,429,419,4,0,50,0,0,477,489,0,0,60,0,0,547,314,0,0,43,5,0,361,181,0,0,16,0,0,200,239,0,0,39,0,4,275,27,12,8,18,4,9,73,2541,385,87,380,46,11,3451
POA2041,3,13,0,0,0,0,15,0,21,0,0,0,0,20,0,144,13,4,0,0,159,11,33,19,4,0,0,62,27,16,4,7,4,0,51,50,19,0,3,0,0,75,65,13,0,12,0,0,86,145,11,5,51,6,0,220,207,3,0,39,0,0,245,266,0,0,35,0,0,296,379,3,0,44,0,0,423,205,0,0,34,0,0,242,146,0,0,14,0,5,170,348,0,0,48,0,0,389,24,20,4,17,5,0,66,1872,286,38,301,20,3,2529
POA2042,0,4,0,0,0,0,12,0,13,0,0,0,0,14,9,131,8,8,0,0,150,17,29,18,13,0,0,75,12,12,5,16,8,0,54,82,15,3,29,15,0,141,353,13,5,59,11,0,440,559,9,11,80,14,0,681,578,10,7,107,11,0,709,543,0,3,70,7,0,622,481,0,0,66,0,0,547,348,0,0,34,0,0,381,205,0,0,35,0,0,242,348,0,0,63,0,0,411,35,3,6,28,9,3,87,3575,245,54,612,73,10,4568
POA2043,0,9,0,3,0,0,14,0,5,0,0,0,0,12,0,59,3,0,0,0,64,0,11,12,8,0,0,24,0,3,9,0,0,0,12,9,4,3,13,4,0,25,30,6,9,17,0,0,55,100,8,0,27,0,0,133,409,7,3,39,3,0,454,418,0,0,42,5,0,465,499,0,0,34,4,0,545,302,0,0,30,0,0,332,101,0,0,11,0,0,110,118,0,0,16,0,0,134,16,5,3,13,3,0,41,2002,117,39,246,16,0,2421
POA2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,9,0,0,12,6,0,0,4,0,0,16,10,0,6,6,0,0,19,43,0,0,13,0,0,55,80,0,4,25,0,0,107,110,0,0,30,0,0,134,192,0,0,31,0,0,219,201,0,5,22,4,0,225,119,0,0,16,0,0,132,78,0,0,11,0,0,84,80,0,0,17,0,0,99,13,0,0,15,4,0,32,931,11,14,189,10,5,1153
POA2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,26,0,4,0,3,0,0,4,0,0,0,0,0,0,4,5,0,0,12,0,0,15,7,0,0,6,0,0,8,61,0,0,8,0,0,63,52,0,0,3,0,0,59,38,0,0,9,0,0,47,22,0,0,12,0,0,32,35,0,0,5,0,0,40,23,0,0,0,0,0,20,36,0,0,4,0,0,45,4,4,0,6,0,0,12,278,36,0,62,0,0,381
POA2046,0,6,3,0,0,0,15,0,25,0,0,0,0,24,9,189,9,4,0,0,213,4,61,34,0,0,0,94,6,30,6,12,0,0,55,9,23,15,11,0,0,54,32,17,3,20,5,0,79,165,10,23,60,4,0,262,639,7,7,72,3,0,732,648,5,0,69,0,0,722,500,3,0,55,6,0,567,275,0,0,41,0,0,311,108,0,0,12,0,0,124,191,0,0,17,0,0,213,52,18,6,23,3,3,111,2633,400,113,397,27,11,3576
POA2047,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,27,4,6,0,0,34,0,7,4,3,0,0,18,0,0,0,0,0,0,4,5,0,0,11,0,0,8,17,3,0,16,0,0,34,144,0,4,31,0,0,174,317,0,0,34,0,0,348,307,0,0,29,0,0,341,248,0,0,17,0,0,271,160,0,0,21,0,0,182,101,0,0,11,0,0,116,154,0,0,21,0,0,178,23,4,0,19,3,0,47,1476,51,14,204,11,0,1762
POA2048,0,0,0,0,0,0,5,0,4,0,0,0,0,7,0,21,5,0,0,0,28,5,0,6,4,0,0,13,11,6,0,12,0,0,24,25,0,0,12,4,0,37,85,3,0,23,3,0,118,266,0,0,39,0,0,303,276,0,0,23,0,0,305,110,0,0,16,0,0,128,88,0,0,18,0,0,109,104,0,0,5,0,0,117,69,0,0,10,0,0,79,105,0,0,6,0,0,118,13,3,0,10,0,0,29,1157,41,10,191,7,7,1411
POA2049,0,0,5,0,0,0,0,0,8,4,0,0,0,10,10,24,15,0,0,0,50,8,20,37,10,0,0,75,14,7,10,6,4,0,42,56,0,9,15,3,0,88,186,0,6,31,3,0,235,451,12,10,51,9,0,531,439,6,7,51,5,0,504,297,4,0,40,3,0,340,232,0,0,24,7,0,257,124,0,0,13,4,0,145,60,0,0,14,0,0,77,92,0,0,17,7,0,110,23,6,4,16,0,0,61,1987,89,112,286,39,7,2521
POA2050,0,8,0,0,0,0,12,0,15,0,0,0,0,18,6,63,8,0,0,0,80,6,14,25,3,0,0,48,3,3,0,8,0,0,23,29,6,11,3,3,0,66,99,6,4,16,0,0,128,185,4,0,24,5,0,227,370,0,0,45,5,0,421,604,0,0,33,0,0,640,337,0,0,29,0,0,367,156,0,0,18,0,0,175,84,0,0,7,5,0,91,119,0,0,10,0,0,130,23,8,3,10,0,7,52,2037,130,68,207,20,9,2477
