POA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
POA2019,0,0,0,0,0,0,0,0,0,0,448,757,594,1155,522,358,199,84,26,4155,0,0,0,6,5,0,3,0,0,17,0,0,0,8,0,0,3,0,0,8,0,0,0,50,0,6,0,0,0,55,0,0,0,0,5,0,0,0,0,3,0,0,0,3,3,3,0,0,0,18,0,0,0,5,5,10,3,4,0,27,0,11,4,92,12,19,9,6,4,148,0,0,0,3,3,3,4,11,5,25,0,0,0,0,0,3,5,5,0,18,0,8,15,90,66,37,21,10,3,255,0,0,0,11,3,3,3,0,0,22,0,4,0,6,6,0,0,0,0,19,0,0,0,3,3,0,0,7,0,18,0,0,0,5,5,8,3,10,10,39,0,0,0,9,4,11,0,0,0,31,0,0,0,33,12,10,0,5,0,58,0,0,7,46,12,13,12,5,0,101,0,0,0,19,0,0,0,0,0,23
POA2020,0,0,0,4,5,0,0,0,0,5,541,583,676,1419,402,242,122,61,15,4062,0,0,8,52,20,28,8,0,0,114,0,0,0,7,0,0,0,0,0,4,0,0,25,154,9,4,0,0,0,190,0,0,6,3,0,0,0,0,0,8,0,0,0,9,5,0,0,0,0,16,0,0,0,22,5,6,11,7,0,47,0,7,311,666,29,59,25,8,5,1114,0,0,0,0,4,3,4,4,0,13,0,0,0,8,0,6,9,7,3,33,0,0,21,181,33,34,12,0,6,290,0,3,0,14,10,3,6,3,0,42,0,0,0,25,0,0,0,0,0,35,0,0,0,22,5,0,3,0,0,28,0,0,0,0,10,4,22,36,12,92,0,5,41,78,13,10,10,5,0,166,0,9,39,223,11,4,9,10,3,305,0,4,298,621,65,31,20,5,0,1041,0,0,0,19,6,9,6,0,0,39
POA2021,0,0,0,0,0,0,0,0,0,0,316,519,521,1674,562,447,336,176,55,4610,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,25,3,4,0,0,0,29,0,0,4,0,0,0,0,0,0,4,0,0,0,14,6,8,3,4,0,29,0,0,0,13,0,0,0,0,0,18,0,0,0,14,3,4,7,7,0,34,0,0,0,0,0,5,0,4,0,9,0,0,0,0,0,0,0,0,0,8,8,28,26,237,122,99,60,33,11,627,0,0,0,6,0,0,0,0,0,9,0,0,5,32,0,8,3,10,0,61,0,0,0,17,12,0,0,3,0,42,0,0,0,3,0,0,6,9,3,24,0,10,5,17,6,6,0,0,0,38,0,0,3,16,3,4,4,5,0,30,0,0,0,9,9,4,0,0,0,19,0,0,0,11,0,0,0,3,0,18
POA2022,0,0,0,0,0,0,0,0,0,0,306,558,400,892,421,284,205,104,43,3214,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,14,186,4,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,5,0,0,0,33,0,0,0,30,0,5,0,3,0,34,0,12,7,53,16,11,15,3,0,126,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,3,9,0,16,39,358,61,59,35,27,10,605,0,0,0,0,0,0,0,0,0,4,0,5,3,55,3,5,0,5,0,79,0,0,0,11,0,3,6,8,5,35,0,0,0,4,0,4,3,8,3,18,0,6,10,13,3,3,3,0,0,43,0,0,0,29,0,6,3,3,0,40,0,0,0,3,4,6,6,0,0,22,0,0,0,5,4,0,5,0,0,17
POA2023,0,0,0,0,0,0,0,0,0,0,238,569,486,702,368,319,227,124,37,3077,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,37,3,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,14,0,0,0,6,0,0,0,0,0,14,0,17,9,36,11,17,15,5,6,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,5,27,26,120,48,46,31,25,6,331,0,0,0,0,0,0,0,0,0,3,0,0,0,26,0,0,3,4,0,41,0,3,0,3,0,3,10,0,4,24,0,0,0,0,0,0,0,4,0,6,0,26,16,12,3,6,9,7,0,75,0,6,5,8,5,4,5,4,0,31,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,0,3,0,0,11
POA2024,0,0,0,0,0,0,0,0,0,0,291,613,436,910,454,375,206,120,67,3465,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,28,5,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,17,0,3,0,13,0,0,0,0,0,21,0,3,0,4,3,8,4,3,0,21,0,0,0,4,0,0,0,0,5,6,0,0,0,0,0,0,0,4,0,10,3,32,23,212,97,63,28,28,3,488,0,0,0,0,0,0,0,0,0,8,0,0,4,37,4,4,6,0,0,56,0,4,0,16,3,3,3,3,4,40,0,0,0,0,0,3,3,10,7,21,0,3,3,8,4,4,3,0,0,24,0,0,0,8,0,0,0,0,3,19,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7
POA2025,0,0,0,0,0,0,0,0,0,0,163,268,227,550,211,204,209,136,53,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,4,3,25,6,4,8,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,0,9,0,13,15,77,49,33,31,25,8,249,0,0,0,0,0,0,6,0,0,9,0,0,4,11,5,6,0,0,0,29,0,0,0,0,3,0,5,4,0,12,0,0,0,0,0,0,0,4,3,6,0,9,0,6,4,4,3,0,0,30,0,0,0,11,6,3,0,4,4,28,0,0,3,0,5,0,0,0,0,6,0,0,0,3,0,3,0,0,0,7
POA2026,0,0,0,0,0,0,0,0,0,0,885,1239,935,3166,1024,655,387,159,45,8486,0,0,0,10,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,4,22,272,6,5,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,66,17,9,3,0,0,99,0,0,0,124,10,4,0,3,0,139,0,4,0,22,8,12,4,9,6,64,0,0,0,3,3,0,5,5,4,10,0,0,0,4,0,3,4,8,0,16,17,33,57,977,210,94,61,33,10,1498,0,0,0,8,0,0,0,0,0,13,0,3,12,210,29,12,7,4,0,273,5,0,9,72,22,7,7,6,5,124,0,0,0,4,0,0,9,11,9,31,0,0,5,17,5,0,5,3,0,36,0,3,0,42,10,5,15,8,3,86,0,3,0,8,5,3,3,0,0,28,0,0,0,10,0,0,0,0,0,15
POA2027,0,0,0,0,0,0,0,0,0,0,127,214,184,590,214,235,256,220,62,2104,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,17,0,0,0,3,0,0,0,0,0,8,0,4,4,22,7,18,0,5,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,14,0,10,16,101,29,46,28,33,13,279,0,0,0,5,3,0,0,0,0,8,0,0,0,12,0,3,3,0,0,20,0,0,0,6,4,4,5,8,5,28,0,0,0,0,0,0,9,5,0,13,0,5,8,11,7,0,6,0,0,33,0,5,0,9,0,0,4,6,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,6,0,9
POA2028,0,0,0,0,0,0,0,0,0,0,117,136,134,427,141,116,101,86,21,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,7,12,0,4,3,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,77,22,20,18,14,5,151,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,3,0,0,0,15,0,0,0,4,0,5,4,0,0,14,0,0,0,0,0,3,0,0,3,7,3,9,4,5,3,0,0,0,0,22,0,0,0,5,0,5,0,0,0,16,0,0,3,7,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,10
POA2029,0,0,0,0,0,0,0,0,0,0,229,436,378,674,268,199,169,113,46,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,23,0,0,0,3,4,0,0,0,0,9,0,5,4,25,5,12,11,0,0,71,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,8,9,3,24,0,13,14,113,59,42,21,26,7,297,0,0,0,0,5,0,0,0,0,5,0,0,0,17,0,0,0,4,0,23,0,0,0,4,0,0,7,12,3,35,0,0,0,0,0,3,0,4,0,10,0,6,8,4,8,0,4,0,0,29,0,0,0,7,5,0,5,8,4,29,0,0,0,5,0,0,0,0,0,14,0,0,3,3,0,0,0,0,0,13
POA2030,0,0,0,0,0,0,0,0,0,0,314,878,784,735,539,378,289,139,59,4117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,4,11,7,0,6,0,19,0,0,0,0,0,0,0,0,0,4,0,17,21,39,23,28,22,11,3,152,0,0,0,4,0,0,0,4,0,5,0,0,0,3,0,8,9,8,4,31,0,29,30,74,86,57,43,26,11,363,0,0,0,0,4,0,0,0,0,6,0,0,0,17,8,0,5,0,0,31,0,0,5,8,13,3,9,3,0,37,0,0,0,0,0,8,9,5,8,34,0,15,11,5,4,6,4,0,0,53,0,0,0,5,6,4,5,0,6,29,0,0,0,10,6,5,11,3,0,25,0,0,0,4,9,4,4,6,0,17
POA2031,0,0,0,0,0,0,0,0,0,0,890,1470,1280,2773,1127,800,562,304,144,9353,0,0,3,17,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,10,0,4,9,125,17,4,3,0,0,158,0,0,0,0,0,0,0,0,0,3,0,4,0,35,16,6,9,0,0,71,0,0,0,32,11,3,8,0,0,58,0,3,43,88,22,29,23,11,3,228,0,0,0,6,0,0,6,0,0,14,0,0,0,4,0,3,6,8,0,28,8,55,60,637,231,143,85,54,10,1276,0,0,3,16,11,7,3,4,0,42,0,4,6,80,17,13,5,4,0,125,0,0,9,43,25,9,12,17,8,124,0,0,0,6,4,3,9,24,20,69,5,7,11,21,16,8,10,4,0,78,0,9,12,97,16,10,4,11,5,168,0,0,3,21,10,10,5,5,0,51,0,0,0,26,8,0,0,0,0,42
