POA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
POA2019,278,334,239,157,764,961,260,585,62,3630,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,15,9,13,30,16,4,5,0,103,0,0,0,0,4,0,0,0,0,8,16,15,23,5,17,32,9,17,0,131,3,7,12,3,28,33,5,8,0,106,71,57,44,15,55,46,11,18,6,321,46,65,27,5,20,12,3,4,0,179,21,15,18,17,54,53,9,16,0,208,5,7,8,8,14,24,3,9,0,81,13,9,25,5,62,56,19,32,0,213,4,3,10,5,19,22,5,14,0,84,13,21,32,39,75,87,26,40,0,339,7,14,13,12,21,14,0,6,0,91,27,16,20,13,77,56,28,36,4,284,43,55,62,33,114,95,31,52,0,478,50,81,113,60,143,164,25,44,0,690,25,7,10,12,15,12,0,0,0,83,31,24,13,11,26,6,0,3,0,119
POA2020,587,680,723,295,1401,1583,307,739,165,6484,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,19,15,31,16,40,28,14,11,0,167,0,0,0,0,11,8,0,3,0,27,35,26,28,12,25,41,6,28,0,196,8,13,15,6,51,44,4,9,6,151,112,109,106,39,148,46,20,24,6,607,170,216,85,45,56,31,16,8,0,619,33,24,38,15,71,70,8,21,0,282,6,6,4,3,36,23,9,17,5,111,28,13,27,22,151,176,23,54,0,491,5,11,15,7,34,30,7,5,0,110,28,46,50,24,182,235,31,74,4,678,22,44,53,14,58,42,14,8,6,257,14,23,23,13,95,76,16,44,4,312,31,84,53,39,125,78,18,40,6,467,56,127,108,69,191,156,24,46,14,788,37,20,3,0,15,8,0,0,0,79,38,23,22,9,30,14,0,6,0,139
POA2021,234,418,254,182,539,1113,368,1325,50,4479,0,0,3,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,9,7,6,7,5,14,22,18,9,0,92,0,0,0,0,3,10,0,0,0,18,0,11,4,9,7,24,6,16,0,80,0,7,5,5,17,25,16,17,0,97,60,45,38,19,61,55,25,46,0,344,68,56,27,10,14,19,0,7,0,196,6,5,3,0,12,24,3,15,0,81,9,14,16,7,33,63,24,59,0,223,27,24,25,25,65,129,55,141,3,490,4,12,9,3,24,32,14,28,0,120,37,95,84,64,158,293,93,247,0,1061,4,13,23,4,18,46,11,21,0,142,11,10,11,6,61,51,19,28,0,197,38,75,40,21,69,59,23,56,3,387,35,106,93,60,88,116,36,71,3,601,11,20,14,6,21,26,7,17,0,121,28,26,10,9,21,14,3,7,0,125
POA2022,242,315,279,163,518,1026,291,799,54,3691,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,8,0,6,5,10,10,6,0,54,0,0,0,3,4,3,0,4,0,19,8,15,13,3,12,16,3,12,0,82,5,8,4,3,18,24,7,9,0,78,52,50,34,15,35,47,11,22,0,273,53,47,25,5,21,19,5,3,4,178,5,7,10,3,4,14,0,6,0,61,6,11,11,8,19,32,16,26,0,128,14,9,27,22,77,117,37,85,0,393,8,14,13,0,20,36,0,17,0,109,22,68,58,36,123,175,49,100,7,644,4,19,28,11,34,49,19,15,4,183,14,8,16,5,43,26,15,21,0,154,25,55,42,23,61,58,25,43,0,325,41,84,118,47,99,133,32,30,0,591,15,19,10,5,12,13,5,6,0,75,34,18,17,6,12,14,7,7,4,122
POA2023,127,309,241,128,296,647,212,752,73,2791,0,3,4,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,9,5,13,3,0,13,10,5,9,0,55,0,0,0,0,3,0,0,4,0,4,5,7,8,4,3,12,4,5,0,47,0,5,3,5,12,17,3,5,0,65,42,42,26,9,36,44,9,14,3,231,37,27,18,6,7,14,4,3,0,119,3,3,0,0,4,7,7,5,0,31,4,4,11,4,15,26,4,29,0,96,4,22,28,10,26,65,15,38,3,217,7,16,14,9,13,27,0,15,0,103,28,62,67,39,70,116,37,98,3,509,5,16,15,0,18,27,9,7,0,95,10,0,9,0,29,23,3,12,0,86,27,75,35,23,46,46,9,38,3,300,23,115,91,47,66,60,19,37,4,467,4,16,11,7,7,11,0,4,0,53,28,24,8,5,14,11,3,9,0,90
POA2024,157,286,196,125,400,808,212,804,34,3018,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,7,8,10,18,14,3,15,0,77,0,0,0,0,4,9,0,0,0,18,4,15,12,6,6,20,4,8,0,78,6,6,9,5,9,17,9,5,0,66,32,43,17,11,25,34,8,21,3,203,44,41,18,7,3,7,4,4,0,128,4,0,0,4,5,10,0,11,0,33,4,11,10,8,25,40,10,33,0,148,18,11,24,13,45,66,28,55,0,254,3,12,6,7,9,25,8,17,0,94,23,61,57,25,88,167,48,107,4,577,13,10,13,7,22,26,5,10,0,91,5,3,11,7,40,19,8,13,0,121,32,65,53,30,54,64,21,39,3,362,26,96,93,56,75,79,18,32,6,494,15,12,10,4,13,12,3,9,0,85,25,14,9,9,11,14,3,3,0,91
POA2025,85,174,123,81,203,426,135,536,27,1783,0,3,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,8,7,6,0,31,0,0,0,0,0,0,0,0,0,10,3,5,0,0,4,8,4,8,0,36,0,8,0,0,9,12,3,6,0,37,36,22,14,7,23,20,6,18,0,146,17,27,8,0,10,9,0,4,0,76,7,3,0,0,0,11,0,8,0,30,0,5,6,8,18,26,9,20,0,96,9,15,12,6,29,57,22,57,0,213,3,8,3,4,6,19,10,12,0,67,11,43,41,28,61,113,27,101,0,427,3,9,7,0,9,16,3,14,4,65,3,4,6,9,16,23,6,14,0,86,11,34,21,14,24,37,7,21,0,168,16,56,61,25,35,62,9,24,3,290,9,8,10,6,4,9,0,3,0,42,5,6,15,4,11,5,3,0,0,50
POA2026,540,872,712,377,1206,2703,775,2294,163,9640,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,11,24,32,11,44,45,16,29,5,216,4,0,4,0,0,11,6,6,0,35,17,24,29,12,33,46,6,24,0,191,13,12,18,11,50,80,26,26,0,235,133,128,74,42,120,150,35,80,4,764,165,156,74,27,36,43,12,16,9,529,15,20,19,3,12,28,11,20,3,128,20,29,24,27,54,160,49,125,5,477,35,22,36,37,147,232,63,160,3,741,12,33,16,11,44,81,19,27,7,244,79,148,154,121,365,618,172,323,11,2011,29,61,42,27,80,122,25,35,7,431,19,18,30,15,90,73,26,34,0,309,61,188,135,59,131,186,50,102,9,915,80,232,193,127,213,240,45,114,4,1234,43,39,30,16,37,57,7,30,3,261,73,76,46,22,47,37,11,9,0,329
POA2027,101,212,190,92,218,471,160,598,34,2069,0,3,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,5,11,3,0,7,5,6,3,0,48,0,0,0,0,0,0,0,0,0,4,0,5,6,3,3,13,3,6,0,42,4,10,8,0,10,21,0,5,0,56,29,13,13,13,14,26,12,12,0,128,20,23,5,5,18,9,0,6,0,76,0,3,4,0,10,0,3,3,0,22,6,5,6,3,12,19,11,24,0,94,4,23,13,9,24,55,24,65,0,224,4,19,13,6,6,28,10,11,4,100,20,46,29,19,55,102,43,87,3,405,11,9,8,4,22,15,3,11,0,83,6,8,11,3,28,24,5,14,0,92,18,41,23,12,24,27,3,24,4,168,13,49,52,22,29,46,14,36,0,265,8,15,3,3,7,3,0,7,0,41,5,12,10,3,3,5,3,3,0,43
POA2028,75,113,102,40,145,322,105,345,17,1264,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,4,6,11,3,5,0,27,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,15,0,3,0,20,0,8,0,4,10,4,4,3,0,33,21,13,19,0,16,14,0,18,0,100,19,11,5,5,7,0,0,4,0,57,4,3,0,0,0,5,0,9,0,19,4,0,3,3,8,26,6,16,0,75,0,9,0,3,22,57,20,51,0,173,6,11,6,0,12,22,4,9,0,73,20,29,18,11,42,83,39,58,0,299,3,6,7,4,3,13,0,0,0,43,0,5,0,4,9,10,4,3,0,31,8,18,10,6,16,14,5,17,0,100,10,49,22,16,26,37,8,15,0,187,0,11,0,3,6,6,0,0,0,30,19,3,4,3,0,8,0,0,0,39
POA2029,136,272,185,134,276,708,195,578,41,2527,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,7,5,0,9,11,8,11,0,49,0,0,0,0,0,0,0,0,0,5,8,10,5,4,11,15,4,5,0,58,3,9,0,3,13,18,0,9,0,61,36,42,22,15,21,26,9,13,4,189,40,25,7,5,14,11,0,3,0,104,5,6,3,0,7,8,3,0,0,35,0,4,4,0,9,21,3,17,0,68,4,13,14,10,43,72,19,40,0,215,5,11,8,10,12,26,4,16,5,97,21,46,48,35,69,117,31,71,0,437,10,25,6,8,16,23,4,18,0,118,6,7,8,5,24,19,13,13,0,83,24,77,42,18,45,73,17,30,3,320,23,101,73,48,62,74,11,20,3,428,7,14,12,3,0,7,0,9,0,57,28,17,22,9,7,10,5,5,0,97
