POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA2289,80,134,41,64,68,19,7,11,4,431,127,156,81,163,151,46,26,31,6,775,216,127,749,281,284,117,142,142,17,2079,11,7,12,15,34,22,3,14,3,123,18,21,14,26,41,21,13,15,0,165,0,15,7,3,13,4,0,5,0,45,13,13,23,16,22,14,6,8,16,132,1134,3157,1033,798,925,322,221,256,68,7918
POA2290,120,199,70,93,114,22,9,23,3,657,147,247,166,325,253,65,35,39,16,1300,362,236,1553,597,579,225,306,317,43,4221,24,8,21,35,63,25,9,33,0,213,32,21,36,67,102,26,15,27,0,336,14,20,6,14,22,6,3,10,3,99,23,39,20,36,36,12,14,27,28,234,1482,4120,2042,1523,1586,501,440,549,140,12388
POA2291,67,107,37,32,48,17,3,3,7,325,106,102,45,86,74,39,10,11,0,472,154,89,365,148,141,81,72,65,8,1120,9,3,6,19,11,12,3,5,0,62,20,14,11,24,31,10,3,9,0,123,3,21,0,7,5,0,0,3,0,43,17,24,6,12,17,0,3,7,13,104,1067,2746,568,500,605,254,123,136,60,6065
POA2292,7,14,5,9,9,3,0,0,3,47,22,12,19,25,17,3,0,7,6,111,33,23,106,49,40,20,24,27,3,323,0,0,0,0,3,3,0,3,0,13,3,0,0,3,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,3,0,0,4,0,0,0,0,0,13,135,381,143,121,115,46,29,57,15,1053
POA2293,25,20,3,15,5,0,3,0,0,77,32,33,13,28,31,11,5,3,0,160,45,25,130,66,46,13,14,20,6,359,5,0,0,0,9,4,0,0,0,18,0,5,0,0,12,4,0,0,0,16,0,4,0,5,4,0,0,0,0,14,3,0,4,3,0,0,0,0,4,21,250,646,183,175,168,51,29,47,21,1573
POA2294,5,12,3,9,5,0,0,4,0,39,18,12,0,21,15,5,0,0,0,84,34,11,75,31,15,13,18,21,0,218,0,0,0,0,0,0,0,0,0,6,6,3,0,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,5,19,125,343,111,94,78,37,23,38,10,856
POA2295,31,50,12,20,26,5,3,4,0,147,40,58,34,61,62,10,10,6,6,279,84,49,342,113,110,36,73,70,9,879,9,0,3,12,6,3,5,9,0,39,8,7,0,12,13,8,6,9,0,65,0,7,0,4,0,0,6,0,0,14,3,5,8,9,10,5,0,6,3,46,328,774,422,300,294,77,103,114,34,2444
POA2296,5,7,3,3,8,0,0,0,0,28,14,17,20,20,13,8,0,0,0,105,31,16,73,38,18,13,7,20,4,210,0,5,0,6,0,0,0,0,0,12,0,4,0,4,5,0,3,0,0,14,5,4,0,0,0,3,0,0,0,10,0,4,4,0,0,0,0,0,3,13,133,385,125,120,86,46,17,40,19,974
POA2297,5,10,0,3,5,0,0,0,0,26,4,9,13,13,7,4,0,6,0,55,20,10,61,35,27,8,11,22,0,184,0,0,0,0,0,0,0,5,0,12,0,3,0,3,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,4,0,14,98,354,97,99,80,33,17,31,7,807
POA2298,20,40,16,29,29,6,4,12,0,151,40,56,39,83,53,26,7,16,9,327,79,67,346,191,145,78,80,79,15,1086,8,0,6,11,15,8,9,8,0,71,11,8,11,10,15,7,6,6,0,68,0,5,4,6,4,3,0,5,0,28,7,12,10,4,12,6,7,6,6,68,369,1324,498,474,436,201,132,170,44,3652
POA2299,22,49,27,30,31,11,8,8,0,173,62,75,43,81,54,19,11,19,9,374,96,72,383,197,130,65,68,74,13,1101,7,4,6,23,18,16,7,16,0,94,0,13,10,23,24,9,6,8,0,96,6,5,0,4,8,3,0,3,3,30,5,17,15,12,9,0,8,7,6,74,429,1485,559,542,418,180,158,192,47,3997
POA2300,61,77,23,37,41,20,6,3,0,264,60,82,42,83,59,38,16,17,5,400,134,60,302,160,106,62,49,56,15,951,8,11,7,16,15,5,6,5,0,83,11,7,11,13,25,4,7,5,0,90,3,7,0,11,0,0,0,3,0,27,14,16,6,9,11,6,5,11,7,76,858,2661,501,501,578,221,104,148,51,5624
POA2302,8,4,5,0,4,6,0,0,0,29,9,8,5,7,9,3,0,5,0,47,14,8,38,24,14,9,9,5,3,124,0,0,0,0,3,3,0,0,0,11,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,7,114,234,60,57,59,33,15,11,6,595
POA2303,34,43,12,35,23,14,3,6,3,169,47,61,19,57,45,14,0,17,0,259,77,65,221,133,91,63,44,50,13,753,5,9,0,13,17,8,4,0,0,46,5,6,4,8,15,7,4,4,0,68,8,4,6,0,5,4,0,0,3,30,8,15,10,5,3,4,0,9,6,61,529,1507,341,365,341,169,73,117,50,3507
POA2304,39,63,24,38,49,11,3,8,4,242,60,101,69,163,93,45,8,30,7,581,154,110,571,302,225,111,108,136,20,1735,6,7,6,14,17,16,12,13,0,93,6,13,11,21,23,14,7,10,0,120,3,7,0,0,8,4,3,0,0,34,7,15,16,12,15,8,4,12,20,100,596,2045,802,777,646,278,191,271,78,5695
POA2305,64,90,31,46,57,13,7,4,4,313,61,101,47,98,75,33,10,15,0,439,141,74,389,202,164,63,79,75,17,1204,7,6,4,20,13,10,11,5,0,79,9,12,8,11,39,13,3,14,3,110,3,8,3,4,3,0,4,0,4,39,8,17,6,5,13,5,0,6,10,83,725,2151,552,522,586,205,146,152,69,5100
POA2306,0,0,0,0,0,0,0,0,0,8,0,4,9,12,4,0,0,4,0,31,18,6,70,55,22,13,13,27,0,226,0,0,0,8,0,6,0,5,0,14,0,0,0,7,3,0,5,8,0,20,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,4,0,3,10,28,31,52,81,83,38,29,16,44,12,394
POA2307,5,10,4,10,11,3,0,6,0,52,10,20,19,42,29,6,4,11,0,141,35,33,191,110,74,32,56,46,0,575,3,0,0,6,3,3,0,6,0,33,3,0,5,5,4,9,0,3,0,29,0,0,0,0,0,5,0,0,0,10,3,0,5,0,5,5,0,3,3,26,79,357,239,242,195,81,78,103,15,1380
POA2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,9,0,0,0,14,8,4,0,0,4,32,0,4,0,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,5,23,12,18,0,6,0,74
POA2311,5,0,4,4,3,0,0,0,0,18,3,5,3,4,0,0,0,0,0,20,21,5,34,18,10,6,15,12,5,120,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,9,54,49,47,31,29,12,23,17,5,257
POA2312,5,6,0,3,6,0,0,3,0,17,5,5,0,9,8,4,5,0,0,31,31,7,63,31,16,14,15,26,3,211,4,0,0,0,6,5,0,5,0,14,0,0,0,0,5,0,0,9,0,16,0,0,0,0,3,0,0,0,0,7,0,0,3,3,0,0,3,0,0,17,63,65,80,61,45,20,27,39,5,401
POA2315,53,79,27,45,43,11,0,12,3,287,85,84,70,129,72,30,12,24,3,501,198,77,501,228,146,108,78,122,34,1492,12,7,13,16,20,9,3,15,0,94,24,8,15,23,36,17,6,17,0,149,4,6,5,9,10,3,8,0,0,44,11,16,14,22,15,10,9,17,13,119,621,999,706,591,457,217,131,239,69,4028
POA2316,20,36,4,26,13,13,0,3,0,117,36,33,25,47,36,12,3,10,0,193,87,44,335,118,89,52,57,69,10,866,7,4,9,3,3,7,4,3,0,35,9,0,0,14,22,9,6,6,0,68,0,0,0,0,3,0,0,0,0,9,5,6,4,11,3,7,6,3,7,48,249,409,396,264,218,113,78,110,36,1875
POA2317,20,30,8,19,22,8,0,7,0,109,34,21,35,41,35,17,9,8,0,195,67,27,245,103,68,54,49,63,13,689,3,0,8,8,7,8,0,0,0,35,8,7,7,15,9,7,3,4,0,62,0,0,0,0,0,0,0,0,0,12,9,3,3,9,7,8,3,0,7,42,223,345,323,234,192,113,68,96,26,1622
POA2318,34,69,31,39,49,8,7,8,3,244,77,78,80,127,102,32,16,22,14,551,215,114,765,312,257,117,179,140,42,2139,15,5,14,25,36,9,0,15,0,117,13,6,13,14,33,16,8,12,0,115,0,5,9,3,5,3,0,9,0,31,14,12,11,14,8,10,4,11,19,97,534,894,954,619,573,219,227,223,92,4346
POA2319,11,23,14,20,13,5,5,3,0,88,19,24,19,52,34,11,5,3,6,167,60,44,314,153,81,47,60,71,26,860,7,5,5,11,8,11,4,5,0,57,0,0,10,12,4,4,6,17,0,48,0,0,0,0,0,0,0,0,0,4,0,4,0,15,4,8,7,9,6,53,148,272,360,290,170,95,93,113,39,1575
POA2320,144,181,84,104,106,24,16,21,7,691,240,206,139,371,235,80,63,48,26,1403,557,260,2060,846,677,314,706,386,82,5883,21,7,29,54,64,60,37,33,3,312,54,24,32,76,75,38,23,34,4,353,9,16,8,9,19,6,7,7,0,84,22,29,27,38,36,16,26,36,35,263,1699,2864,2480,1800,1476,628,928,629,181,12671
POA2321,51,73,48,69,53,12,15,9,9,337,94,121,87,196,146,45,36,36,9,769,301,154,1087,427,434,167,394,201,56,3218,17,5,19,26,33,23,19,19,0,163,20,14,25,45,45,27,18,24,3,212,5,7,3,6,4,0,0,3,0,41,9,22,16,21,26,6,25,17,15,154,767,1514,1358,933,898,332,534,335,104,6780
POA2322,50,88,55,55,48,17,10,13,0,339,143,127,103,227,170,56,36,38,14,914,299,174,1189,587,506,204,371,242,48,3631,22,8,19,32,43,24,18,35,0,210,24,10,23,43,42,20,22,23,0,202,3,15,7,5,9,4,0,12,3,47,13,12,8,35,14,5,14,32,30,169,808,1701,1491,1200,1037,388,510,481,116,7727
POA2323,84,118,64,71,57,14,9,20,4,448,131,166,110,226,173,50,27,47,16,938,305,171,1213,505,443,206,324,277,45,3492,18,0,22,38,39,34,25,42,0,203,20,18,33,36,64,25,14,24,5,241,7,8,8,8,11,6,3,5,0,65,19,15,17,27,36,11,19,22,20,183,959,2123,1570,1108,1018,417,456,476,108,8240
POA2324,51,78,29,64,62,9,7,14,3,318,95,103,61,192,121,38,14,35,12,682,283,148,1024,454,343,180,296,270,42,3048,8,13,20,36,49,32,24,21,0,203,27,9,19,46,49,17,18,33,4,224,8,12,6,6,15,6,0,10,4,50,24,14,19,29,31,19,24,32,16,215,708,1117,1230,964,801,356,401,449,93,6124
POA2325,67,79,49,65,55,21,11,15,3,375,119,113,87,209,113,45,30,34,7,757,309,189,1342,687,389,225,588,355,61,4141,26,16,22,42,40,36,20,47,0,261,23,13,30,55,52,24,21,34,3,261,13,7,0,6,10,3,4,10,3,51,25,20,19,49,27,20,20,30,27,236,856,1255,1619,1260,796,431,707,566,121,7613
POA2326,17,20,9,11,13,8,0,0,0,88,35,28,14,50,33,13,10,15,0,191,93,46,425,177,146,57,145,113,11,1201,5,0,6,3,12,9,11,15,0,60,5,4,10,18,13,3,11,12,0,80,5,4,0,3,3,0,0,0,0,14,3,5,5,11,12,3,8,10,8,55,187,281,479,288,268,114,192,168,18,1984
POA2327,9,11,7,15,10,3,4,4,0,61,17,19,18,55,39,9,6,15,4,185,61,35,414,189,118,64,130,87,22,1117,3,0,9,15,9,19,5,16,0,80,8,6,6,16,14,8,11,4,0,66,0,0,0,3,0,0,6,0,0,16,3,3,3,13,6,6,12,3,3,59,128,278,470,347,232,121,174,149,36,1928
POA2328,14,7,0,5,3,0,5,0,0,41,11,10,10,13,14,0,15,0,0,67,49,15,155,39,26,16,76,39,11,420,6,0,0,0,8,3,0,0,0,18,0,0,3,0,3,4,0,4,0,20,0,0,0,0,0,0,0,4,0,9,3,4,3,7,3,0,10,12,4,50,101,108,179,85,64,34,111,68,12,764
POA2329,8,0,0,13,3,7,0,0,0,30,16,4,4,11,8,3,0,3,0,50,44,4,49,29,12,9,45,30,0,218,4,0,0,0,7,0,3,0,0,18,3,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,11,4,0,5,3,0,3,6,4,37,129,76,65,58,47,24,51,55,10,517
POA2330,62,53,48,51,56,17,17,13,3,310,82,86,82,137,100,36,53,31,12,624,306,152,1297,381,360,159,755,231,53,3688,11,3,15,20,44,18,40,36,0,190,25,4,17,35,50,12,28,19,6,203,7,4,6,3,8,4,0,9,5,45,16,16,17,23,21,15,32,23,31,188,777,1161,1562,755,760,296,955,396,111,6788
POA2331,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,10,3,0,0,66,0,0,0,0,0,70,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,15,0,0,108,0,0,0,0,5,126
POA2333,31,39,31,36,13,3,17,9,3,190,43,36,36,85,41,27,33,23,5,331,118,65,827,207,213,84,405,160,34,2112,7,0,13,10,18,14,21,22,4,115,7,3,11,13,27,9,21,22,0,118,0,0,5,0,5,3,5,4,0,28,13,9,5,19,13,12,26,19,16,135,328,579,970,422,389,173,552,283,64,3758
POA2334,5,13,0,13,3,5,0,0,0,42,18,22,7,25,15,6,9,10,0,106,44,26,262,87,55,27,103,29,12,652,0,0,0,0,4,6,4,8,0,29,0,0,5,15,5,0,0,3,0,31,0,0,4,0,0,0,0,0,0,10,3,0,0,3,4,0,7,4,6,26,105,161,283,157,96,57,127,58,17,1061
POA2335,29,27,15,20,19,4,8,5,0,134,52,36,46,74,56,18,29,3,3,315,124,61,576,143,150,46,264,104,30,1492,0,7,9,7,7,6,16,16,0,78,14,10,6,18,23,4,13,6,0,92,5,6,3,0,6,5,0,0,0,18,4,7,8,5,12,6,12,10,8,72,359,542,692,318,337,117,359,160,50,2936
POA2336,6,7,0,6,3,7,0,0,0,31,13,6,7,12,8,0,5,6,0,55,46,17,158,34,30,14,91,40,5,438,5,0,9,0,8,0,4,3,0,24,8,0,4,5,3,0,4,5,0,28,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,3,0,12,93,110,184,74,62,22,106,72,15,742
POA2337,44,29,12,13,18,0,10,8,4,136,43,33,25,42,46,13,13,28,5,247,135,34,441,101,105,58,186,142,17,1210,11,0,10,10,7,9,5,16,0,76,9,3,0,14,20,8,8,11,3,81,3,3,4,0,0,0,6,3,0,22,18,10,15,8,5,3,14,16,12,97,373,514,546,233,240,105,248,291,39,2580
POA2338,10,3,0,0,5,0,0,0,0,34,9,6,3,9,0,0,0,0,0,29,18,6,53,18,12,6,32,24,4,175,4,0,0,0,5,0,0,0,0,10,3,4,7,0,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,4,6,5,23,83,77,64,45,41,17,38,38,7,405
POA2339,10,4,0,0,0,0,0,0,0,12,7,0,0,6,0,0,0,0,0,6,19,3,17,6,3,3,3,16,0,71,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,8,55,33,22,12,14,4,10,23,0,169
POA2340,140,208,51,168,119,35,27,40,7,806,272,256,132,440,285,88,46,87,28,1640,742,350,2030,921,804,448,511,611,72,6495,49,14,34,66,97,52,23,89,5,422,69,42,44,75,135,52,29,59,3,516,12,22,21,17,14,12,7,27,0,133,50,40,40,69,59,35,30,95,44,452,2018,4198,2501,2194,1849,828,722,1263,199,15769
POA2341,0,0,0,3,0,0,0,0,0,8,4,5,0,5,3,0,3,0,0,20,6,4,44,29,21,12,25,17,3,153,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,4,0,11,21,39,50,47,25,11,41,24,4,257
POA2342,0,3,0,5,0,0,0,0,0,11,7,0,0,5,0,0,0,0,0,9,19,8,14,3,6,0,6,8,0,67,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,38,31,19,20,16,4,8,8,6,149
POA2343,34,21,0,12,8,3,4,11,0,92,22,19,5,29,16,3,0,6,0,102,87,19,130,77,56,25,104,61,5,567,7,0,3,5,11,5,0,10,4,44,12,7,0,10,3,0,8,11,0,61,3,0,0,0,4,0,0,0,0,9,14,0,8,3,10,3,9,9,3,55,246,247,159,150,136,57,129,110,13,1259
POA2344,6,3,0,0,3,0,0,0,0,14,5,3,0,8,3,0,0,0,0,20,32,6,35,8,9,6,10,5,0,104,3,0,0,0,4,0,0,3,0,8,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,13,60,44,42,17,24,19,12,11,0,237
POA2345,5,0,0,0,4,0,0,0,0,10,3,3,0,0,6,0,3,0,0,21,13,0,44,14,7,9,12,8,3,111,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,40,44,49,24,26,9,17,19,6,239
POA2346,7,10,5,3,7,0,0,0,0,39,10,15,5,20,13,4,0,4,0,77,48,16,95,43,32,18,62,40,8,349,3,0,3,0,0,7,7,12,0,36,4,0,4,7,3,3,3,3,0,30,3,0,0,3,3,0,0,0,4,15,0,0,4,7,5,0,0,5,4,32,110,129,115,103,77,42,75,71,12,736
POA2347,8,9,6,0,0,0,0,0,0,26,8,4,0,10,7,0,0,0,0,30,48,4,33,25,12,11,14,20,0,174,5,0,0,0,0,5,0,4,0,12,4,0,0,3,0,3,3,0,0,14,0,0,0,0,0,4,0,0,0,4,9,3,0,0,0,0,0,8,3,18,106,69,42,52,35,19,23,41,6,385
POA2350,97,104,30,78,68,22,4,19,6,430,115,110,64,179,127,37,15,48,16,701,316,119,734,314,287,151,123,245,19,2322,17,11,19,39,34,34,12,37,5,219,45,16,13,36,53,33,9,24,6,227,11,21,8,3,14,5,0,9,0,62,26,17,19,17,25,11,3,15,24,166,1320,2949,1070,1068,973,381,216,594,111,8696
POA2352,8,9,4,11,0,0,5,3,0,40,20,11,9,18,11,7,4,7,0,90,50,18,164,79,61,31,30,46,9,476,0,0,3,6,4,4,0,3,0,21,0,0,0,9,6,0,0,9,3,31,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,4,6,0,4,24,106,183,185,147,116,48,45,74,12,906
POA2353,4,3,0,0,0,0,0,0,0,14,8,4,4,9,10,4,0,0,0,31,18,13,56,17,31,12,18,15,4,178,0,4,0,0,0,0,0,0,0,8,0,0,4,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,13,34,72,68,36,55,19,17,25,4,343
POA2354,47,12,0,8,11,0,0,5,0,86,27,11,0,15,11,5,3,4,0,86,132,7,93,44,47,19,30,65,3,435,19,0,0,0,10,5,0,10,4,49,12,0,0,4,10,3,3,0,0,34,0,0,0,3,0,0,4,0,0,7,13,5,0,5,5,6,0,6,0,48,357,166,102,100,105,47,44,103,17,1048
POA2355,6,0,0,0,0,0,0,0,0,6,0,0,0,7,5,0,0,0,0,8,11,0,17,8,7,9,8,6,3,66,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,38,28,16,24,18,11,10,12,5,154
POA2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,15
POA2357,15,16,3,8,9,6,0,0,0,62,17,8,9,27,16,4,0,0,0,86,74,15,88,60,45,19,28,65,8,410,11,0,0,5,8,6,4,4,0,40,10,0,0,5,3,3,3,4,0,32,4,0,0,0,0,0,0,0,0,4,14,0,0,3,0,4,6,7,0,38,200,219,121,139,96,51,43,86,12,968
POA2358,21,5,6,11,15,5,3,0,0,69,12,16,13,20,28,5,3,13,0,103,80,10,128,59,54,18,32,58,8,447,4,0,8,6,14,9,0,8,0,42,10,0,4,3,7,4,3,0,0,44,3,6,0,0,0,0,0,0,0,9,3,3,0,0,4,3,3,3,4,30,202,226,188,141,161,46,53,90,17,1117
POA2359,8,0,0,4,0,0,0,0,0,12,4,0,0,4,6,0,0,0,0,16,9,3,15,13,9,4,8,6,0,67,0,0,0,0,0,0,0,0,0,5,12,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,36,16,19,20,13,5,8,10,3,140
POA2360,35,61,13,42,25,3,0,10,0,195,53,51,20,116,59,20,0,26,8,341,224,87,479,323,169,136,111,231,29,1791,14,4,14,27,16,23,7,21,0,127,16,6,0,27,24,15,7,14,3,121,12,3,4,0,0,5,0,4,0,29,26,10,10,19,12,28,9,28,4,149,523,833,568,615,363,252,144,382,53,3749
POA2361,7,0,0,4,0,0,0,0,0,12,6,4,0,0,5,0,0,0,0,15,22,9,14,12,3,0,4,8,0,74,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,5,3,0,0,0,0,3,0,6,23,65,30,16,33,12,4,10,15,10,194
POA2365,22,12,0,4,6,3,4,3,0,53,21,12,5,18,12,12,3,9,0,86,100,15,90,52,27,15,26,56,8,377,10,0,0,7,8,8,0,9,0,32,17,0,0,6,8,4,8,4,0,42,0,0,0,0,3,0,0,3,0,16,17,0,3,0,12,0,7,13,3,49,276,174,115,97,94,40,41,118,14,979
POA2369,0,4,0,0,0,0,0,0,0,4,3,4,3,9,0,0,0,0,0,17,12,7,17,16,3,3,7,10,0,71,0,0,0,0,0,0,0,5,0,9,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,8,18,18,17,34,4,8,7,23,3,127
POA2370,38,21,4,12,13,8,0,9,0,111,25,28,11,40,33,8,6,16,3,170,130,31,212,121,99,63,51,105,12,826,6,8,4,12,12,11,5,8,0,69,15,3,3,13,14,5,0,13,0,64,8,4,0,3,5,4,0,0,0,22,7,6,5,9,0,9,4,21,5,67,328,359,261,272,219,113,69,185,33,1851
POA2371,9,0,0,0,0,0,0,0,0,16,8,0,0,4,0,0,0,0,3,17,15,3,23,14,13,5,3,13,0,101,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,10,59,33,30,32,19,9,3,15,9,205
POA2372,21,17,3,9,9,3,0,0,4,73,23,19,8,23,22,3,0,5,0,112,99,24,129,65,61,25,37,53,14,508,9,0,0,8,7,8,3,8,0,43,8,0,3,5,6,8,0,9,0,38,3,0,0,0,0,0,0,0,0,5,15,7,8,9,11,8,5,9,7,66,254,244,165,148,137,63,59,95,31,1185
POA2379,3,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,0,0,9,15,0,0,0,3,0,7,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,45,7,0,9,6,0,5,16,3,97
POA2380,25,30,4,26,23,8,14,3,0,131,38,56,17,81,33,12,20,14,9,274,186,54,471,191,172,71,265,129,23,1568,9,6,8,12,19,8,16,16,0,83,18,9,11,26,19,17,16,8,3,119,3,3,6,0,5,0,0,3,0,29,16,0,6,19,13,6,17,15,16,96,459,683,566,396,327,138,363,215,56,3195
POA2381,10,3,0,0,0,0,0,0,0,24,10,0,0,8,0,6,3,0,0,33,26,3,30,12,10,3,18,15,6,122,0,0,0,0,0,5,3,6,0,10,5,0,0,0,0,5,0,3,0,10,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,8,76,46,36,32,20,15,31,21,12,290
POA2382,0,0,0,0,0,0,0,0,0,7,5,0,5,0,4,0,3,3,0,28,21,7,49,17,16,5,41,19,3,176,3,0,0,4,4,5,3,6,0,20,5,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,16,57,39,59,33,35,10,59,34,6,328
POA2386,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,5,5,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,0,0,7,0,4,3,0,75
POA2387,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,10,5,0,0,4,0,0,3,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,22,6,5,4,3,0,6,10,0,59
POA2388,6,4,0,10,3,0,0,3,0,29,9,6,3,21,4,0,10,3,0,51,45,9,75,28,24,16,34,19,3,258,3,0,3,0,7,0,0,3,0,20,5,0,0,5,8,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,3,3,0,5,0,4,3,5,9,25,114,117,76,74,57,28,52,42,11,581
