POA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
POA2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,4,6,0,0,0,0,0,0,0,31,0,0,0,6,0,0,12,6,5,0,0,0,0,0,0,26,0,0,0,7,31,42,127,79,14,14,20,12,4,0,7,364,0,5,36,6,0,5,5,3,0,0,0,0,0,0,4,59,0,5,17,4,4,0,0,0,0,0,0,0,0,0,4,36,0,0,3,12,14,7,4,3,0,0,4,0,0,0,0,51,0,0,8,0,0,3,14,8,0,0,0,0,0,0,0,35,0,8,38,5,5,3,0,6,4,0,0,0,0,0,9,77,0,0,3,12,6,20,8,4,0,0,0,6,0,0,3,60,0,0,0,4,9,16,27,17,12,8,6,3,3,0,3,109,0,0,0,11,22,70,85,20,3,6,5,3,8,0,5,245,0,0,0,0,3,10,5,17
POA2020,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,7,23,79,47,31,6,0,8,5,0,3,4,214,0,0,0,0,0,4,4,7,0,4,3,0,3,0,0,30,0,5,5,16,75,139,541,722,238,233,150,187,79,12,48,2451,0,3,14,6,0,6,0,0,0,0,0,0,0,0,0,41,3,7,19,13,12,8,0,0,0,3,0,0,0,0,4,73,0,0,0,4,25,15,26,4,0,0,6,0,4,0,0,91,0,0,0,5,0,0,13,3,5,3,3,3,3,0,0,49,0,42,109,22,4,0,4,5,0,0,0,0,0,0,10,206,0,0,0,19,46,75,48,49,21,35,18,13,9,8,0,341,0,0,5,10,24,31,93,97,51,47,78,73,24,8,14,554,0,0,0,24,77,188,376,470,173,202,228,219,80,0,76,2112,0,0,0,0,6,7,9,22
POA2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,10,3,15,9,10,0,3,0,7,0,0,0,72,0,3,7,0,14,20,21,5,4,5,0,3,0,0,6,90,0,3,7,0,4,4,0,0,0,0,0,0,0,0,3,23,0,3,5,0,3,4,0,0,0,0,0,0,0,0,0,20,0,0,0,5,7,0,0,3,0,0,0,0,0,0,0,15,9,7,7,8,3,8,26,9,4,0,0,10,4,0,3,97,0,12,15,4,0,0,0,3,3,0,0,0,0,0,0,45,0,0,8,10,18,16,13,13,5,3,10,3,6,6,0,104,0,0,5,6,5,12,5,0,3,9,5,4,3,0,5,67,0,0,0,5,3,12,4,3,0,4,4,0,0,0,0,41,0,0,0,4,8,7,0,3
POA2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,7,0,0,6,4,6,8,12,22,5,3,8,3,0,0,0,80,0,5,0,5,39,67,89,45,7,22,22,14,16,5,4,342,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,4,7,9,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,8,8,3,0,0,0,0,0,0,0,0,16,7,3,7,9,6,8,8,8,8,0,8,11,4,0,0,87,0,8,23,0,0,4,3,0,0,0,0,0,0,0,0,46,0,0,0,14,28,16,7,10,0,4,5,0,4,0,0,92,0,4,7,6,8,9,15,14,3,3,0,3,0,0,3,86,0,0,4,11,13,14,6,4,0,0,0,6,0,0,0,68,0,0,0,0,13,5,5,0
POA2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,7,0,3,4,5,0,0,7,7,4,4,0,4,0,0,0,35,5,4,3,0,35,45,70,31,10,7,13,12,9,0,6,255,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,4,0,4,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,20,4,4,0,0,7,14,6,3,0,0,5,0,0,0,70,3,7,3,5,0,0,0,0,0,0,0,0,0,0,0,17,4,0,3,15,31,20,20,23,0,4,5,3,8,12,0,143,3,3,3,3,8,10,4,9,0,0,0,0,0,0,3,61,0,0,3,0,4,4,0,3,0,4,0,0,0,3,3,25,0,0,0,0,13,0,0,5
POA2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,10,7,4,0,3,4,5,0,0,56,0,3,4,6,4,10,16,8,5,0,5,5,0,0,3,69,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,11,4,0,9,5,16,8,19,14,9,5,0,4,0,0,4,85,0,22,19,0,7,0,0,0,0,0,0,0,0,0,11,61,0,0,4,5,8,8,3,15,0,0,3,4,0,0,0,60,0,0,7,6,4,6,3,5,0,5,0,0,0,0,0,40,0,4,0,0,0,4,4,3,0,0,0,0,0,0,0,18,0,0,0,8,0,0,0,0
POA2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,9,0,0,4,0,0,0,0,17,4,0,4,3,10,17,39,24,9,4,5,8,0,0,4,117,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,6,0,3,4,3,3,9,3,0,0,0,0,0,0,5,42,6,3,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,8,14,4,11,10,3,3,0,4,5,0,0,56,0,0,3,8,5,7,0,4,0,5,6,0,0,0,3,43,0,0,0,3,6,6,0,3,0,0,6,0,0,0,0,19,0,0,0,0,8,6,7,0
POA2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,3,9,13,15,22,43,53,17,13,22,24,11,0,3,255,3,13,0,10,30,26,41,13,8,0,7,15,4,0,9,184,0,8,8,3,4,3,0,0,0,0,0,0,0,0,0,29,0,14,14,0,5,5,3,0,0,0,0,0,0,0,0,40,0,0,0,4,9,9,0,0,4,0,0,0,0,0,0,24,9,12,12,10,26,31,73,66,19,12,14,31,12,0,12,321,0,24,31,8,3,0,0,6,0,0,0,3,3,0,0,74,0,0,8,8,13,26,16,9,0,6,4,9,4,0,3,95,0,5,32,11,17,26,19,28,3,0,9,8,6,0,8,163,0,0,3,8,7,9,17,6,4,0,5,3,0,0,0,64,0,0,0,0,13,6,10,6
POA2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,9,5,6,11,0,0,0,0,0,0,0,48,3,10,0,3,31,30,49,22,3,5,0,0,5,0,0,174,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,16,21,4,9,4,9,8,10,7,0,0,0,7,3,0,0,76,4,11,3,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,7,14,23,9,16,3,3,0,0,0,0,0,0,88,0,0,3,4,5,3,7,8,0,0,0,0,0,0,4,50,0,0,4,3,4,8,4,0,0,0,0,0,0,0,0,14,0,0,0,0,8,0,5,0
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,3,0,0,0,0,0,14,7,4,0,0,7,6,22,16,4,0,8,4,4,0,7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,3,0,3,0,0,0,0,5,0,0,0,15,4,4,3,0,4,3,7,4,0,0,0,0,0,0,0,36,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,13,0,3,0,0,15,10,0,8,4,0,0,5,4,0,0,56,5,0,3,0,4,4,0,4,5,3,5,0,0,0,0,26,0,0,0,3,4,5,3,0,3,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0
POA2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,4,15,11,0,5,0,3,0,0,0,48,7,6,0,3,14,25,67,34,5,5,9,9,11,0,6,206,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,5,12,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,6,12,0,3,0,0,0,0,0,0,0,0,20,15,8,7,5,3,4,6,3,3,0,0,3,0,0,0,60,0,9,11,3,0,0,5,0,0,0,0,0,0,0,3,29,0,0,0,3,7,6,8,3,0,3,0,0,6,4,0,53,0,3,11,4,7,10,0,0,0,0,0,0,0,0,4,48,0,0,0,0,8,4,3,0,0,7,0,0,0,0,0,25,0,0,0,0,4,4,4,0
POA2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,12,4,6,8,8,0,0,5,0,0,0,6,48,4,11,8,9,46,60,97,78,14,9,17,15,15,0,3,384,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,13,4,19,18,4,5,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,10,7,16,8,6,14,13,7,6,0,0,0,0,0,0,83,9,29,32,9,4,0,0,3,0,0,0,0,0,0,0,81,0,0,4,11,21,14,22,12,5,3,7,0,11,3,0,127,0,4,18,10,7,8,11,7,0,0,3,0,0,0,3,66,0,3,0,11,14,13,9,0,0,0,0,3,4,0,0,60,0,0,0,3,13,12,7,3
POA2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,7,0,0,0,0,31,0,0,9,17,17,25,45,39,4,4,13,11,5,0,0,178,0,11,6,8,78,83,131,101,24,33,33,52,17,4,11,598,0,5,11,0,3,8,0,0,0,0,0,0,0,0,5,29,3,16,19,4,4,0,6,0,0,0,3,0,0,0,3,61,0,0,3,7,22,13,11,8,0,0,0,0,10,0,0,70,11,16,13,17,16,29,72,28,4,8,16,10,3,0,10,254,9,60,72,6,3,0,0,3,0,0,4,0,0,0,8,175,0,6,11,21,40,47,24,10,6,6,4,3,10,8,8,205,0,3,23,11,22,20,65,40,19,26,17,29,21,0,10,316,0,3,5,15,19,32,20,13,3,7,8,4,0,0,4,134,0,0,0,0,8,12,8,20
