SA3_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
10304,207,0,0,0,3,7,7,30,7,4,6,0,3,77,0,0,0,0,0,3,13,11,11,6,8,8,61,7,0,11,14,29,76,110,36,18,17,5,35,361,0,0,0,0,0,0,0,0,0,4,5,332,344,16,0,18,42,71,287,1035,994,955,1339,1369,675,6799,0,0,3,16,32,163,315,151,57,62,29,60,888,0,0,16,64,95,176,123,38,13,9,10,35,578,0,0,7,4,3,28,16,12,0,0,0,15,95,0,5,8,30,16,16,6,4,0,0,0,5,88,28,12,61,181,111,201,153,44,21,19,20,65,914,0,0,0,3,3,4,0,0,0,0,0,25,43,30,16,99,300,260,585,619,247,97,93,57,209,2598,145,62,172,593,968,1821,2993,2038,1626,2134,2013,1279,15840
10401,287,0,0,0,0,3,19,25,14,6,0,5,3,73,0,0,0,0,0,0,10,12,8,7,10,7,46,6,0,12,17,43,144,155,46,25,16,10,50,525,0,0,0,0,0,7,4,0,4,0,0,266,282,18,0,18,45,98,424,1096,749,547,580,361,553,4489,0,0,5,17,24,136,184,69,25,25,18,34,535,0,0,16,77,82,205,107,23,5,5,6,43,568,0,0,3,16,10,17,22,9,0,0,0,18,105,5,4,21,34,17,14,5,0,4,0,0,6,101,35,9,72,225,147,344,196,40,17,14,4,124,1220,3,0,0,0,3,5,5,0,0,0,0,38,54,39,15,116,365,285,711,519,144,58,41,34,259,2590,186,91,223,805,1645,2662,3207,1578,969,960,660,1215,14204
10402,566,0,0,5,0,3,24,42,14,9,4,4,12,125,4,0,0,0,0,5,12,18,12,15,12,19,89,15,3,16,57,70,175,245,94,40,39,17,75,844,0,0,0,0,0,9,5,6,3,0,0,343,371,37,4,37,100,155,655,1911,1458,1177,1417,1136,826,8909,0,3,0,19,42,245,464,200,64,57,41,119,1261,0,4,28,169,175,358,285,64,13,21,5,85,1215,0,0,9,21,24,33,37,11,4,12,4,23,176,7,5,30,48,26,31,26,3,0,0,5,8,178,47,21,90,311,206,487,338,62,35,18,29,144,1767,0,0,0,7,0,3,3,0,0,0,0,58,69,53,30,158,576,469,1153,1150,341,113,100,83,433,4663,271,137,325,1202,2080,3863,5668,3049,2071,2296,1740,1895,24610
10501,65,0,0,0,0,0,11,8,0,0,0,0,7,24,0,0,0,0,0,0,3,0,4,7,3,3,24,7,4,7,11,19,49,24,5,9,0,4,28,151,0,0,0,0,0,0,5,0,0,0,0,124,131,19,8,7,20,26,138,295,244,179,257,228,317,1735,0,0,0,9,6,45,71,33,6,21,6,18,222,0,0,9,18,25,52,19,5,4,7,0,12,155,0,0,0,3,0,10,5,5,0,0,0,3,32,0,0,4,8,7,5,4,0,0,0,0,3,42,16,4,40,109,76,107,61,14,6,0,9,50,494,0,0,0,0,0,0,0,0,0,0,0,28,32,16,3,54,150,124,222,166,59,21,27,22,119,976,103,36,76,267,367,637,838,552,362,458,406,644,4744
10502,59,0,0,0,0,0,0,9,8,0,4,0,0,23,0,0,0,0,0,0,3,3,0,4,0,9,17,6,0,3,13,18,45,51,23,0,9,0,19,190,0,0,0,0,0,0,7,0,0,0,0,111,122,10,0,6,24,25,114,275,222,186,288,222,205,1573,0,0,0,5,15,61,105,51,16,27,5,33,316,0,4,12,34,31,58,37,21,4,3,0,9,214,0,0,3,5,5,12,16,4,0,4,0,11,52,5,0,7,9,6,7,0,0,0,0,0,5,44,22,5,39,113,44,138,82,24,12,3,8,47,537,0,0,0,0,0,0,0,0,0,0,0,15,18,22,6,62,173,99,276,241,100,30,38,14,119,1177,81,21,82,306,438,765,905,532,386,526,341,526,4907
10503,254,0,0,0,3,0,7,18,19,0,9,3,9,69,0,0,0,0,0,4,17,11,6,8,22,18,85,16,6,5,29,38,99,115,45,9,14,10,41,438,0,0,0,0,0,3,3,3,0,3,0,412,432,39,6,20,79,105,437,1374,1168,887,1205,990,878,7179,0,3,3,16,27,253,343,165,72,50,34,101,1060,0,0,22,88,104,230,164,39,11,8,11,36,716,6,0,3,17,15,31,31,10,5,0,0,28,152,4,0,16,45,9,18,18,6,7,3,0,9,138,39,5,73,271,151,317,200,37,29,12,21,117,1269,0,0,0,7,0,3,6,0,0,0,0,49,69,48,7,125,445,307,851,768,259,111,73,67,339,3409,241,71,213,891,1325,2398,3712,2467,1633,1927,1506,1791,18169
10601,503,0,0,0,8,9,23,48,39,16,12,14,20,187,0,0,0,0,0,4,34,19,24,41,26,12,149,22,0,11,46,68,198,275,115,33,46,24,93,926,0,0,0,0,0,3,17,6,0,4,3,511,544,33,4,20,81,139,561,1926,1715,1461,2068,1832,1088,10922,5,0,9,19,44,240,336,229,97,81,56,107,1218,3,5,30,143,159,350,246,77,34,32,15,61,1164,0,0,8,47,43,59,62,27,12,10,4,39,302,10,0,27,72,33,31,30,6,5,0,0,14,229,50,19,131,402,254,554,364,81,43,21,18,165,2101,0,0,0,7,8,11,3,0,3,0,6,47,77,72,28,206,680,526,1252,1038,422,191,143,92,429,5094,292,124,326,1216,1893,3368,5071,3374,2501,3191,2669,2136,26153
10602,424,0,0,0,5,8,23,39,19,21,12,9,17,158,0,0,0,0,0,3,11,14,23,24,21,15,111,9,5,14,32,50,125,175,80,39,35,26,46,636,0,0,0,0,0,0,3,3,3,0,5,521,536,19,7,16,67,90,412,1758,1707,1567,2193,1991,992,10815,0,0,0,7,30,226,475,268,111,98,54,92,1358,4,0,22,94,134,356,208,89,41,24,14,56,1042,0,0,5,10,29,37,46,17,4,8,0,28,193,0,4,20,41,35,26,19,4,0,0,0,10,165,35,12,80,310,154,414,292,67,21,16,18,87,1509,0,0,0,4,0,0,3,0,0,0,0,26,35,42,19,120,464,383,1061,1041,455,178,151,95,292,4302,196,71,206,866,1532,2840,4582,3449,2561,3292,2684,1756,24023
10603,401,0,0,0,10,8,23,47,18,10,14,5,18,139,0,0,0,3,0,3,23,13,17,18,16,13,101,18,0,12,29,49,160,221,77,43,38,28,63,744,0,0,0,0,0,3,12,0,5,8,0,374,402,26,3,22,59,103,466,1406,1186,999,1328,1071,812,7485,0,4,6,20,38,156,289,143,59,64,37,77,884,0,0,22,119,93,255,197,55,23,19,13,65,871,4,0,6,22,26,48,27,6,6,0,0,29,177,0,0,15,45,19,27,15,0,4,0,0,5,133,38,13,75,235,160,428,272,56,17,14,12,109,1440,5,0,0,3,0,9,4,0,0,0,0,34,53,45,21,116,443,337,918,807,262,118,107,64,325,3559,293,132,259,1043,1933,3437,4530,2600,1749,2149,1683,1729,21535
10604,121,0,0,0,0,4,5,18,8,5,3,5,8,55,0,0,0,0,0,0,4,3,4,9,11,6,39,6,4,11,22,24,45,49,8,12,11,6,28,210,0,0,0,0,0,0,0,3,0,0,0,173,179,19,4,14,33,40,163,554,454,398,614,555,379,3220,0,0,0,10,13,89,101,78,19,31,21,36,404,0,0,6,51,40,83,46,20,7,7,4,22,277,0,0,0,10,6,14,13,3,0,6,0,7,64,5,0,6,17,4,10,7,0,0,0,0,0,51,19,3,39,121,61,124,72,15,9,9,3,49,516,0,0,0,0,0,0,0,0,0,0,0,14,14,22,4,60,212,119,325,238,116,34,46,25,128,1326,118,43,118,415,581,931,1418,989,707,1017,851,752,7954
10701,542,5,0,0,4,9,44,63,41,15,26,9,14,223,0,0,0,0,4,4,40,28,27,40,16,12,166,24,7,17,59,78,211,323,138,55,72,32,61,1069,0,0,0,0,0,5,5,0,0,0,0,283,298,27,5,26,91,131,556,1671,1527,1364,1875,1555,634,9478,0,0,3,18,15,160,338,176,62,97,43,65,981,4,0,22,78,93,232,221,91,18,26,9,38,839,3,0,10,33,33,62,63,24,5,4,0,12,236,4,5,13,27,9,20,12,8,0,0,0,9,110,52,18,113,361,209,536,422,104,47,34,19,122,2025,0,0,4,4,3,3,7,0,0,0,0,41,63,55,22,169,514,365,1003,1060,399,138,160,82,292,4256,272,80,279,1029,1714,2935,4325,2820,2171,2744,2022,1296,21685
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,613,0,0,0,5,5,38,66,55,19,25,27,22,259,0,0,0,0,0,0,39,24,26,34,25,17,181,28,3,15,45,61,180,281,153,73,60,46,78,1008,0,0,0,0,0,0,8,3,5,3,0,449,482,38,4,29,67,111,477,1818,1780,1696,2534,2336,993,11890,0,0,0,11,23,185,399,221,109,128,51,103,1245,0,3,25,108,137,306,292,94,27,34,16,76,1123,0,0,9,37,42,65,67,33,16,11,10,34,318,9,0,8,38,12,29,18,9,3,0,3,8,138,44,17,100,344,185,511,339,106,49,31,26,119,1865,4,0,0,0,0,8,3,0,0,0,0,37,54,57,28,138,546,402,1105,1120,461,204,206,104,380,4745,324,106,266,1146,1990,3568,5336,3617,2811,3742,3175,1887,27961
