SA3_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
10304,0,0,0,6,0,0,3,0,0,10,56,54,13,74,37,4,238,3700,856,115,1039,175,33,5923,4,25,4,19,22,0,74,5,40,8,9,4,0,68,28,235,50,60,16,8,399,113,178,52,81,20,8,447,170,53,25,129,11,4,393,505,89,32,178,23,0,818,1042,69,24,223,32,5,1391,1372,25,12,190,23,7,1624,643,4,0,68,12,0,727,129,0,3,24,3,0,164,25,0,0,11,0,0,31,5,0,0,7,0,0,18,5,0,0,5,0,0,6,17,0,0,17,6,0,40,87,79,12,82,92,14,365,4156,799,233,1093,252,40,6570
10401,0,0,7,13,0,0,4,3,0,16,32,31,13,62,25,10,180,2664,384,186,1344,301,62,4942,0,5,3,13,13,0,33,0,10,3,8,3,0,26,18,96,20,68,30,4,236,79,64,88,117,54,8,405,105,30,25,132,28,4,329,330,38,32,225,57,12,690,737,22,18,384,44,10,1218,989,0,27,269,41,7,1342,353,0,0,66,9,0,433,94,0,0,23,6,0,118,29,0,0,4,4,0,38,7,0,0,4,0,0,19,4,0,0,4,7,0,15,18,0,0,19,10,0,47,47,27,13,90,41,12,233,2818,305,224,1436,347,54,5179
10402,3,0,4,9,0,0,14,7,0,29,95,65,38,77,53,10,332,5404,1189,228,2165,463,76,9533,5,6,6,23,7,0,51,0,13,10,9,8,0,43,21,88,43,89,59,0,300,41,265,173,125,59,7,675,50,77,41,145,41,0,356,337,121,84,240,58,11,834,1113,99,43,468,68,8,1802,2078,98,42,655,58,14,2952,1396,22,23,295,44,5,1782,525,6,0,90,18,0,639,167,4,0,31,17,0,214,37,0,0,20,8,0,63,11,0,0,5,3,0,25,19,0,0,19,13,0,55,88,61,38,130,87,30,430,5896,869,497,2349,529,76,10222
10501,0,0,3,0,0,0,3,8,0,13,9,25,23,65,85,11,217,519,559,448,655,710,47,2937,8,55,17,22,155,0,259,7,30,17,9,61,6,123,28,78,43,77,89,5,315,94,130,132,108,76,8,555,79,60,41,87,46,3,321,122,64,38,107,34,3,373,102,7,8,76,9,7,209,20,9,0,27,21,0,74,4,4,0,5,5,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,4,0,0,3,0,0,4,5,0,9,16,29,20,67,130,8,266,483,469,330,590,634,37,2538
10502,0,0,6,0,0,0,0,0,0,7,18,8,7,41,22,7,100,674,203,85,638,287,39,1923,5,29,5,15,62,0,110,7,11,10,8,34,0,69,30,24,13,82,30,4,175,163,54,45,137,43,0,445,129,25,28,117,36,0,322,220,33,13,116,23,0,408,149,15,9,72,17,0,259,75,9,0,28,11,0,129,10,0,6,3,4,0,25,0,0,5,4,4,0,12,0,0,0,0,6,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,9,17,12,3,53,74,9,169,814,203,128,644,333,25,2146
10503,4,0,7,4,0,0,10,6,3,24,47,56,14,97,60,15,292,3738,1005,234,1598,348,74,6994,7,33,4,22,28,3,89,3,47,12,26,10,0,98,69,246,52,142,48,11,572,316,171,91,218,54,14,865,292,99,42,212,19,6,675,787,104,30,257,37,13,1217,1245,53,31,348,50,12,1736,1260,22,28,252,50,7,1624,286,6,6,60,15,3,371,60,0,0,14,4,0,76,14,0,0,6,6,0,21,9,0,0,5,8,0,19,6,0,0,0,0,0,9,5,0,0,11,3,0,17,90,57,4,128,152,24,446,4445,840,304,1692,473,82,7836
10601,0,0,0,6,0,0,10,0,0,19,88,61,13,83,38,11,296,5178,970,64,1376,320,54,7966,9,13,3,17,9,0,43,3,11,4,8,7,0,31,32,91,17,65,15,3,217,94,239,65,103,37,3,546,154,75,9,141,32,0,418,541,140,30,184,62,7,958,1663,105,28,372,79,8,2255,2422,112,26,319,36,0,2929,798,11,0,83,11,0,902,116,0,0,21,0,0,139,36,0,0,10,3,0,50,13,0,0,5,0,0,22,0,0,0,4,0,0,5,9,0,0,11,4,0,26,91,49,11,120,64,23,355,5995,845,199,1455,358,54,8907
10602,0,0,0,0,0,0,7,0,0,9,62,63,12,40,19,4,205,5049,1166,85,985,315,41,7641,3,6,0,12,0,0,28,0,12,3,5,8,0,29,20,98,36,26,19,5,207,80,246,128,57,27,0,543,102,97,36,79,10,0,326,293,142,68,106,243,3,855,930,153,80,288,60,0,1511,2797,104,41,383,29,12,3364,1651,11,3,104,18,0,1788,302,4,0,25,3,0,334,49,0,0,3,0,0,56,11,0,0,3,0,0,17,0,0,0,0,0,0,6,7,0,0,5,0,0,15,109,69,27,74,50,19,344,6357,955,421,1176,472,41,9417
10603,0,0,8,6,0,0,7,7,0,16,46,30,12,57,29,15,198,4213,710,145,1173,628,55,6928,5,8,3,11,7,0,36,3,7,0,5,3,0,17,10,52,55,38,39,7,203,37,133,78,67,74,0,385,72,51,26,91,19,3,252,204,113,55,123,238,7,740,880,121,49,292,89,3,1434,1811,55,21,332,74,7,2302,979,3,4,143,26,0,1155,286,0,0,38,5,0,335,100,0,0,11,5,0,118,19,0,0,4,0,0,23,4,0,0,3,0,0,11,5,0,0,12,5,0,26,84,30,18,81,52,16,289,4509,574,313,1248,630,50,7320
10604,0,0,3,0,0,0,0,3,0,5,37,21,7,35,65,3,168,2153,410,78,641,193,24,3505,4,0,0,11,17,0,30,3,3,6,8,0,0,16,30,43,22,39,26,0,163,133,113,39,72,33,0,386,137,40,7,81,15,0,279,350,49,18,110,26,4,552,542,57,20,163,36,0,817,668,26,8,107,21,0,824,124,3,0,32,7,0,163,14,0,0,3,0,0,20,8,0,3,0,0,0,10,0,0,0,0,3,0,4,0,0,0,0,3,0,3,4,0,0,11,0,0,10,45,16,3,53,105,9,229,2052,358,126,688,275,13,3520
10701,0,0,3,9,0,0,3,0,0,6,55,110,13,56,5,15,249,3168,2206,108,1156,154,61,6852,8,67,0,7,0,0,89,0,136,5,0,0,0,142,16,749,31,17,22,9,839,43,377,30,62,27,7,545,93,155,22,76,11,3,359,226,159,25,102,13,3,523,514,100,22,174,24,9,845,1395,226,17,327,41,6,2004,1201,37,0,191,22,5,1456,470,11,3,52,5,0,546,89,0,0,9,0,0,105,22,4,0,4,3,0,33,0,0,0,0,0,0,3,0,0,0,0,0,0,3,58,126,14,72,27,21,320,4137,2141,161,1115,199,56,7808
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,6,0,9,6,0,0,12,7,0,24,50,79,21,59,22,9,240,4294,1689,129,1295,187,50,7651,10,30,9,6,0,0,56,5,58,6,12,0,0,76,5,528,19,35,10,0,590,36,341,39,43,14,0,476,38,163,24,78,6,0,310,126,147,23,81,4,6,389,437,117,52,191,19,3,816,1403,140,29,367,27,5,1966,1818,53,9,335,20,0,2235,1089,9,0,120,4,0,1230,327,0,0,37,0,0,369,68,0,0,8,0,0,82,16,0,0,3,0,0,17,30,3,0,17,5,0,55,89,88,19,84,30,19,323,5493,1667,223,1421,144,40,8987
10704,0,0,64,34,6,0,14,3,0,61,115,181,17,93,30,20,460,9229,3099,270,2301,250,105,15259,10,99,15,15,0,0,137,0,163,10,8,6,0,175,34,1324,64,82,31,11,1534,84,429,106,113,17,7,764,118,213,33,136,21,0,520,408,230,54,210,25,0,933,1594,143,38,363,31,8,2169,3138,149,33,523,31,10,3876,2742,89,12,422,26,9,3296,1730,18,8,229,17,4,2003,690,4,4,115,9,0,815,288,5,0,42,0,0,335,141,0,0,16,3,0,165,114,0,0,35,6,0,161,142,165,16,117,34,29,511,11227,3019,393,2429,252,78,17390
10801,3,0,5,9,0,0,6,0,0,15,38,16,4,31,16,0,114,1929,244,127,697,141,28,3167,3,0,3,10,4,0,25,0,3,4,4,3,0,18,11,13,14,29,16,0,86,41,74,75,45,30,9,269,72,22,22,65,13,0,197,217,28,20,94,18,0,374,524,16,19,168,28,0,754,650,13,12,191,20,3,881,331,0,0,64,11,3,410,73,0,0,17,4,0,97,21,0,3,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,7,9,0,20,29,16,6,42,25,6,133,1987,180,187,746,171,23,3301
10802,5,0,10,6,0,0,4,7,0,18,45,35,9,51,22,10,173,2469,602,216,1171,255,51,4759,12,0,3,20,9,0,46,0,9,4,7,10,0,34,16,27,40,61,25,0,174,87,99,176,108,46,9,523,162,34,74,119,43,4,425,339,51,56,178,48,3,673,789,35,35,288,36,9,1183,879,28,37,195,27,5,1170,204,0,6,35,8,0,249,44,5,4,13,3,0,63,17,0,0,4,0,0,21,3,0,0,0,5,0,7,4,0,0,3,0,0,10,10,0,0,8,8,0,32,46,32,18,66,41,15,221,2612,316,455,1104,300,49,4833
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,17,17,0,38,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,6,0,0,0,5,5,0,3,0,0,0,3,4,0,10,0,0,0,5,4,0,7,0,0,0,8,6,0,15,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,4,0,39,21,0,62
10804,0,0,8,9,0,0,5,7,0,18,61,46,25,68,28,19,240,5029,956,188,1550,336,68,8122,4,10,11,8,15,0,47,3,4,4,7,10,0,35,4,41,58,62,29,8,206,50,165,223,78,61,4,589,82,43,38,94,20,0,278,363,69,97,170,30,10,740,1079,44,69,309,37,8,1548,2277,38,93,534,55,7,2997,1473,9,13,210,16,3,1716,419,3,0,65,4,0,495,138,0,0,23,3,0,159,35,0,0,10,5,0,48,17,0,0,7,0,0,20,27,0,3,10,12,0,45,85,41,40,103,47,23,334,6054,467,647,1687,347,67,9273
10805,0,0,0,3,0,0,8,3,0,14,50,33,27,52,16,11,186,3186,612,168,1060,178,56,5263,5,7,0,14,0,0,27,0,6,8,10,5,3,31,27,38,33,55,12,0,173,137,115,103,109,41,6,515,190,39,24,126,26,4,413,498,76,40,181,22,4,820,1006,56,26,258,17,7,1371,1072,36,38,189,31,5,1379,272,6,3,60,3,0,350,58,0,0,14,0,0,75,8,0,0,8,0,0,12,9,0,0,5,0,0,4,3,0,0,0,0,0,6,10,0,0,5,3,0,20,57,25,27,71,44,16,246,3355,427,305,1089,215,47,5439
10901,0,0,0,0,0,0,6,3,0,8,80,44,11,52,38,11,235,4836,717,136,1200,200,47,7129,13,18,4,10,4,0,45,9,59,13,14,10,0,98,119,269,43,96,21,8,551,804,147,90,185,24,13,1264,503,46,14,170,18,4,757,1049,88,26,241,42,6,1449,1543,37,8,261,25,13,1881,1191,11,11,155,17,0,1384,283,0,3,32,5,0,330,68,3,0,8,7,0,83,18,0,0,10,0,0,22,4,0,0,4,0,0,11,0,0,0,4,0,0,3,7,0,0,12,0,0,16,111,49,14,72,58,22,328,5716,725,213,1277,232,64,8225
10902,0,0,0,0,0,0,3,0,0,5,3,5,3,24,30,3,72,366,95,82,377,176,17,1111,11,11,9,9,31,0,65,0,3,0,7,7,0,15,43,20,10,38,27,4,138,94,37,22,85,18,0,262,64,7,13,71,27,0,179,63,10,7,62,13,0,154,58,4,0,21,8,3,95,36,0,0,10,12,0,50,3,0,0,8,0,0,7,0,0,0,0,4,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,5,0,10,6,0,6,16,49,3,88,378,100,63,338,196,17,1081
10903,0,0,0,7,0,0,13,3,0,22,35,14,8,60,78,3,199,1948,194,117,1018,331,48,3661,6,12,25,26,31,3,95,15,5,16,11,12,0,71,136,25,33,135,56,7,397,287,37,36,224,47,7,637,200,11,8,129,23,0,370,431,25,5,140,25,3,633,533,7,8,118,25,0,688,260,6,0,62,14,3,344,76,4,0,21,4,0,106,11,0,0,8,3,0,17,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,5,4,0,18,25,15,3,72,104,17,235,1979,145,127,953,360,37,3611
11001,0,0,0,7,0,0,8,0,0,14,28,23,9,41,47,10,154,2446,525,113,824,199,39,4149,0,3,5,15,16,0,44,6,16,0,7,8,0,42,55,48,23,55,23,0,206,183,101,72,96,23,8,475,233,38,45,112,16,0,441,525,70,43,134,25,0,799,770,50,23,147,21,0,1020,736,15,8,131,20,0,901,173,0,0,18,4,0,198,34,0,0,8,3,0,40,8,0,5,0,6,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,4,8,0,14,34,16,12,55,70,6,198,2764,361,232,790,236,22,4391
11002,0,0,0,3,0,0,8,0,0,16,32,17,15,67,49,8,184,1846,334,176,968,236,49,3607,5,8,28,32,28,0,92,10,3,13,11,0,0,36,69,39,56,112,23,11,310,269,69,54,169,34,0,601,227,29,23,137,18,6,441,483,58,36,188,36,3,804,585,10,8,144,20,7,776,253,3,0,36,6,5,313,26,0,0,5,3,0,38,4,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,6,0,0,6,4,0,0,11,0,0,13,40,12,15,67,85,23,234,1972,230,240,916,262,48,3670
11003,0,0,5,0,0,0,9,0,0,10,19,40,6,47,95,3,219,1099,485,199,709,423,35,2953,5,12,4,17,41,0,81,0,21,15,4,15,0,56,33,61,23,60,41,4,223,212,117,67,90,43,6,537,158,60,21,91,26,5,369,163,73,23,85,14,0,356,251,17,8,79,24,0,378,293,4,3,73,42,4,409,54,0,0,17,15,0,86,5,5,0,5,5,0,17,0,0,0,0,4,0,8,0,0,0,3,3,0,10,0,0,0,0,3,0,5,4,0,0,5,0,0,10,29,16,24,70,119,16,269,1212,383,193,596,387,38,2815
