LGA_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
LGA17550,110,54,44,27,6,640,3,0,0,8,11,48,435,352,198,167,110,14,1355,0,0,0,5,3,30,92,64,35,46,33,9,318,0,6,0,15,15,166,271,119,51,73,65,17,799,0,9,22,79,116,341,237,74,29,24,28,9,977,4,0,3,12,16,46,44,20,10,6,6,7,176,0,0,0,7,0,11,24,11,11,14,7,6,83,189,92,91,441,1520,1475,1080,214,81,86,79,156,5498,5,5,3,7,23,20,12,5,0,0,0,470,551,210,111,128,584,1743,2291,2610,1274,739,735,570,698,11692,0,0,0,0,0,19,102,273,314,540,554,110,1921,0,0,3,5,13,60,223,120,90,100,65,31,714,0,0,0,8,10,60,545,602,536,620,449,131,2976,0,0,0,5,5,23,122,115,104,146,81,35,635,0,0,3,3,8,111,385,208,98,135,136,58,1160,0,5,11,24,34,108,176,89,47,45,16,29
LGA17620,3,5,4,6,0,73,0,0,0,4,4,18,80,57,47,38,8,0,262,0,0,0,0,0,4,12,4,10,6,10,0,45,4,0,0,4,3,28,66,33,8,10,20,8,173,0,0,6,11,19,30,24,3,8,0,0,8,115,0,0,0,0,0,3,7,0,0,7,0,0,23,0,0,0,0,4,0,3,4,0,4,0,4,15,32,11,15,51,199,120,73,10,15,7,9,15,559,0,0,0,0,3,0,0,0,0,0,0,76,89,41,22,23,86,241,236,350,221,151,160,104,120,1755,3,0,0,0,0,5,40,46,55,132,123,32,433,0,0,0,0,0,3,9,8,8,10,4,3,54,0,0,0,0,0,12,89,80,82,99,72,37,470,0,0,0,0,0,0,11,21,20,16,16,9,87,0,0,0,0,0,25,76,36,12,16,14,10,194,4,0,0,5,0,12,17,5,3,0,0,4
LGA17640,4,0,7,12,0,64,4,0,0,8,0,10,63,40,24,19,25,0,192,0,0,0,0,4,5,6,7,5,7,6,0,38,0,0,0,8,8,20,34,29,0,9,7,3,124,0,0,0,9,6,22,17,19,6,4,0,0,95,0,0,0,3,0,7,4,0,0,0,4,0,17,0,0,0,0,0,0,5,0,0,3,0,0,11,20,13,14,44,91,70,67,14,5,7,11,17,362,0,0,0,0,0,4,5,0,0,0,0,56,71,25,21,14,60,127,161,268,164,80,98,102,83,1205,5,0,0,0,3,0,20,19,39,55,72,25,227,0,0,0,0,0,0,10,7,6,6,5,0,40,0,0,0,3,0,5,68,63,40,48,40,18,288,0,0,0,0,0,9,16,5,0,12,6,5,65,0,0,0,0,4,11,37,17,8,9,8,16,102,0,0,0,5,0,15,15,5,0,0,0,0
LGA17650,8,5,0,0,0,40,0,0,0,0,4,4,53,33,9,10,14,0,126,0,0,0,0,0,0,4,3,3,3,4,0,22,0,0,0,0,0,12,26,16,5,3,9,3,69,0,0,0,7,16,16,16,3,0,0,0,0,69,0,0,0,0,4,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,6,6,6,3,19,88,72,46,16,0,6,0,10,280,0,0,0,0,0,0,0,0,0,0,0,24,30,8,9,9,40,120,120,189,100,52,58,47,36,794,0,0,0,0,0,5,15,35,17,43,43,11,171,0,0,0,0,0,3,5,3,9,8,0,0,34,0,0,0,0,0,4,47,48,23,27,21,8,183,0,0,0,0,0,0,8,6,8,7,8,5,42,0,0,0,0,3,3,16,12,6,3,0,3,48,0,0,0,0,4,10,10,7,0,0,0,0
LGA17750,35,23,18,14,0,298,0,0,4,4,4,54,333,243,169,135,85,3,1036,0,0,0,0,0,11,39,25,29,28,18,16,157,6,0,4,12,10,98,190,105,48,38,43,0,556,0,3,13,44,46,125,125,40,21,22,23,3,473,0,0,3,0,9,14,31,12,3,7,0,3,75,0,0,0,0,0,9,11,15,9,12,11,7,55,73,30,28,165,499,514,456,102,50,47,40,67,2077,0,0,0,5,0,3,5,0,0,0,0,323,350,83,34,61,241,587,905,1523,1006,656,669,467,442,6678,0,0,0,0,0,9,134,277,346,629,683,117,2196,0,0,0,0,5,16,69,45,23,43,21,15,242,0,0,0,4,0,40,437,488,431,548,352,102,2405,0,0,0,0,0,10,63,86,80,100,70,28,428,4,0,0,0,10,102,289,180,89,79,97,38,878,0,0,0,8,15,58,85,33,17,14,8,14
LGA17850,0,3,5,0,0,24,0,0,0,5,0,9,25,26,4,4,6,0,82,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,12,14,0,0,3,0,0,34,0,0,0,0,3,6,8,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,8,3,4,14,52,27,18,0,5,3,0,7,147,0,0,0,0,0,0,4,0,0,0,0,24,25,21,0,8,29,61,72,93,55,28,25,27,35,468,0,0,0,0,0,0,17,19,22,7,17,7,81,0,0,0,0,0,0,0,0,4,3,0,0,9,0,0,0,0,3,3,26,27,6,11,9,7,90,0,0,0,0,0,0,4,6,0,0,0,7,15,0,0,0,0,0,7,12,4,0,0,0,0,31,0,0,0,0,0,0,5,0,0,0,0,0
LGA17900,4,7,0,0,0,26,0,0,0,3,0,5,14,13,7,4,6,0,62,0,0,0,0,0,0,4,5,0,0,0,0,14,4,0,0,4,0,8,14,4,0,0,5,0,40,0,0,0,0,9,9,9,0,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,5,14,54,29,24,5,0,3,0,4,138,0,0,0,0,0,0,0,0,0,0,0,25,28,26,0,6,24,60,68,87,56,41,29,26,36,460,0,0,0,0,0,0,12,13,12,17,13,12,70,0,0,0,0,0,5,0,0,4,0,0,0,17,0,0,0,0,0,4,19,14,6,13,7,12,81,0,0,0,0,0,0,0,4,0,7,0,3,12,0,0,0,0,0,8,18,7,0,0,0,0,35,0,0,0,0,0,6,5,0,0,0,0,0
LGA17950,0,0,0,3,0,3,3,0,0,0,0,4,14,9,7,5,3,0,51,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,10,0,3,0,0,0,23,0,0,0,0,0,5,5,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,8,22,26,5,0,0,0,0,10,88,0,0,0,0,0,0,0,0,0,0,0,20,15,12,0,0,9,33,43,55,31,23,29,19,29,287,0,0,0,0,0,5,11,8,16,16,14,13,81,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,23,15,5,11,12,10,73,0,0,0,0,0,0,4,0,8,4,4,0,11,0,0,0,0,0,6,9,4,0,3,0,3,26,0,0,0,0,0,0,6,0,0,0,0,0
LGA18020,6,5,3,0,0,50,0,0,4,0,0,18,48,27,14,8,9,0,145,0,0,0,0,0,0,7,3,3,0,4,3,22,0,0,5,3,9,20,24,13,4,4,3,0,73,0,0,6,12,15,34,21,5,0,0,5,3,94,0,0,0,3,3,0,6,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,13,10,5,11,50,154,99,55,13,8,4,3,14,438,0,0,0,0,5,4,6,0,0,0,0,50,54,25,6,18,80,203,195,236,101,58,51,54,75,1092,0,0,0,0,3,6,39,32,30,32,31,17,190,0,0,0,0,0,0,14,8,0,8,0,0,24,0,0,0,4,0,13,61,47,36,35,15,19,230,0,0,0,3,3,0,15,7,4,8,4,0,47,0,0,0,0,3,16,25,23,5,0,0,0,78,0,0,0,3,5,19,11,0,0,0,0,0
LGA18050,98,37,44,64,4,405,0,0,0,0,0,5,91,137,135,214,359,7,963,0,0,0,0,5,10,60,80,61,72,89,11,397,6,0,4,0,4,26,116,117,81,96,216,6,675,0,0,5,21,24,69,157,66,46,48,67,0,506,0,0,0,3,3,22,25,20,14,6,15,8,110,0,0,0,0,0,8,24,20,12,11,19,3,103,85,30,30,92,172,239,278,131,81,93,104,35,1369,6,0,0,0,5,0,3,0,0,6,0,221,244,102,26,39,128,214,420,904,799,695,1222,2620,319,7487,0,0,0,0,0,3,22,43,58,189,1516,88,1916,0,0,0,4,0,9,36,49,42,57,141,18,359,3,0,0,0,0,4,64,93,134,294,1302,72,1971,0,0,0,0,0,3,28,34,41,69,380,24,586,5,0,6,4,4,15,70,110,51,146,729,56,1189,0,0,3,4,3,32,56,30,38,46,107,23
LGA18100,3,0,0,0,0,35,3,0,0,4,3,4,22,12,9,3,8,0,73,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,9,13,6,0,4,5,0,37,0,0,0,9,8,0,17,0,0,0,0,0,32,0,0,0,0,0,7,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,3,14,64,61,30,5,4,4,0,8,205,0,0,0,0,0,0,0,0,0,0,0,23,25,14,8,0,27,81,103,111,40,33,22,29,40,508,0,0,0,0,0,0,8,6,12,19,14,7,75,0,0,0,0,0,4,4,0,3,0,0,0,13,0,0,0,0,0,10,36,19,10,8,8,18,114,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,5,15,4,6,0,0,0,32,0,0,0,0,0,0,4,0,0,0,0,0
LGA18200,3,0,0,4,0,35,0,0,0,3,0,8,33,20,20,8,8,6,107,0,0,0,0,0,0,10,0,0,0,5,0,23,3,0,3,0,10,14,28,11,6,0,4,0,78,0,0,7,3,11,17,15,3,0,0,0,0,58,0,0,0,4,6,3,5,0,0,0,0,0,11,0,0,0,0,0,0,5,3,0,0,0,0,5,16,8,4,31,101,81,52,15,3,7,7,11,333,0,0,0,0,0,0,0,0,0,0,0,44,47,21,10,11,44,126,140,175,109,59,65,60,64,878,0,0,0,0,0,5,18,30,21,61,50,16,202,0,0,0,0,0,0,9,5,7,5,3,0,35,3,0,3,0,0,7,55,46,31,42,25,20,232,0,0,0,0,0,3,11,8,7,10,0,5,50,0,0,0,0,4,5,32,17,8,5,3,9,92,0,0,0,4,0,6,12,0,0,0,0,0
LGA18250,43,33,40,55,0,338,0,0,0,0,0,8,101,100,101,141,270,5,738,0,0,0,0,3,15,57,65,40,47,63,6,299,0,0,5,3,7,50,159,133,46,113,231,0,751,4,0,13,26,18,106,143,90,38,46,93,5,582,0,0,6,13,7,15,22,20,12,11,10,0,107,0,0,0,0,0,5,25,10,3,13,4,3,68,245,74,56,233,279,357,433,208,108,131,159,39,2312,0,0,0,0,4,3,6,3,0,0,3,198,210,253,75,80,280,324,623,1095,804,596,964,1848,263,7204,0,0,0,0,0,9,20,79,119,390,2262,81,2961,0,0,0,0,5,33,92,52,60,89,179,21,536,0,0,0,7,0,11,116,135,180,363,1546,59,2420,0,0,0,3,0,21,51,61,62,109,362,24,696,0,0,5,5,12,56,221,291,96,247,987,74,1996,0,3,3,20,29,56,95,62,43,51,130,22
LGA18350,68,43,32,51,4,402,0,0,0,0,4,26,191,166,154,133,142,11,835,0,0,0,4,0,5,45,31,20,27,34,3,183,0,0,4,3,5,75,133,100,35,53,132,13,557,0,8,18,41,33,147,160,66,37,37,58,6,630,0,0,0,5,4,17,41,13,3,6,12,0,104,0,0,0,0,0,8,14,9,4,0,10,10,58,111,66,48,210,575,770,717,207,120,108,108,81,3123,0,0,0,3,8,9,6,4,4,4,0,222,269,125,80,80,294,653,1135,1553,837,573,632,813,352,7128,3,0,0,0,0,10,72,143,155,330,523,74,1319,0,0,0,0,0,16,94,73,51,41,71,17,359,0,0,0,0,0,33,252,277,319,414,435,66,1805,0,0,0,0,0,7,63,57,48,83,82,25,364,0,4,0,5,5,46,185,135,79,92,171,41,760,0,0,0,8,9,41,82,38,17,13,30,21
LGA18400,47,23,22,18,5,197,0,0,0,0,4,20,173,151,134,133,78,6,701,0,0,0,4,3,7,60,76,50,70,22,14,303,0,0,0,4,3,66,161,128,42,72,54,15,534,0,0,8,24,43,85,110,37,13,16,14,9,362,0,0,0,10,11,30,37,18,6,8,4,13,129,0,0,0,0,0,9,16,12,9,11,3,5,73,100,34,52,169,496,471,343,63,18,27,26,46,1842,4,0,0,10,4,4,3,4,0,0,0,170,200,118,31,57,217,575,725,1029,674,499,644,453,287,5310,0,0,0,3,0,9,47,156,186,491,789,116,1792,0,0,0,0,3,14,68,77,87,93,64,16,429,0,0,0,0,0,20,222,298,338,573,535,79,2072,0,0,0,0,0,13,99,152,161,183,192,52,861,0,0,0,0,5,58,256,187,78,155,170,38,959,0,0,0,7,9,36,112,46,42,28,29,14
LGA18450,177,115,89,66,4,898,0,4,3,4,13,51,550,544,475,469,328,14,2446,0,0,0,9,8,63,281,247,187,182,110,20,1103,3,0,0,16,32,237,621,377,194,175,221,22,1906,0,8,38,114,127,363,426,177,90,61,71,15,1501,0,3,13,29,36,112,133,55,27,26,16,15,450,0,4,0,0,6,29,71,31,22,14,21,12,211,389,148,157,809,2236,2465,1809,425,199,178,124,207,9146,11,0,3,6,40,17,21,0,0,8,0,586,696,417,166,217,1000,2510,3484,4390,2548,1963,2375,1914,908,21898,0,0,0,0,4,10,129,363,560,1335,2383,202,4987,0,0,0,0,12,67,288,260,212,240,190,50,1321,0,0,0,4,5,47,657,990,1223,2024,1957,231,7149,0,0,0,3,5,44,337,408,472,661,561,102,2587,0,0,3,5,22,230,778,663,392,514,689,136,3439,3,0,13,48,53,219,390,205,141,132,97,69
LGA18500,38,36,58,165,9,381,0,0,0,0,0,3,63,67,86,153,395,7,774,0,0,0,0,0,3,27,30,25,37,93,3,228,3,0,0,0,6,13,56,71,43,79,364,10,660,3,0,0,15,10,49,90,64,40,64,239,10,584,0,4,0,8,0,13,23,13,10,12,10,8,101,0,0,0,0,4,4,17,3,3,3,11,15,61,71,21,16,56,98,149,288,139,112,201,390,50,1588,5,0,0,0,0,0,0,5,0,3,9,219,240,85,29,28,82,118,258,643,490,449,937,2959,326,6407,0,0,0,0,0,0,10,22,35,106,1151,66,1387,3,0,0,0,0,9,27,24,21,38,151,14,297,0,0,0,0,0,9,25,46,76,149,924,73,1297,0,0,0,0,0,7,12,20,25,52,246,32,385,7,0,0,0,4,14,46,75,41,83,829,67,1161,0,0,0,0,4,19,39,24,15,40,149,26
LGA18710,20,7,14,9,0,83,0,0,0,5,3,5,66,38,36,65,60,0,288,0,0,0,3,0,0,9,12,7,16,15,3,70,0,0,0,0,3,21,39,25,14,25,47,5,179,0,4,0,14,5,21,45,10,13,16,17,0,158,0,0,0,0,0,3,11,7,0,4,3,0,27,0,0,0,0,0,0,3,0,5,9,5,3,24,23,7,6,39,98,137,161,50,18,27,21,20,606,0,0,0,0,3,3,3,0,0,0,0,50,61,25,10,12,64,122,229,393,218,172,298,341,86,1962,0,0,0,0,0,3,30,49,40,191,412,53,783,0,0,0,0,0,3,23,12,14,13,19,8,95,0,0,0,0,0,8,79,82,121,187,222,28,723,0,0,0,0,0,0,20,10,16,28,36,5,111,0,0,0,0,0,16,56,36,18,34,60,14,235,0,0,0,5,8,8,24,12,6,9,3,6
LGA19399,0,0,0,0,0,16,0,0,0,0,0,0,6,5,3,10,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,5,5,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,7,11,4,0,0,5,10,13,26,19,11,13,10,12,118,8,0,0,0,0,4,4,6,0,5,4,3,39,0,0,5,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,3,6,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,3,14,0,0,0,0,0,5,0,3,0,0,0,0
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
