LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA15750,44,39,89,121,18,7,22,243,235,477,88,57,145,7,0,3,7,13,14,26,104,130,3,6,10,129,176,312,49,33,76,0,0,0,11,0,9,53,151,202,8,7,15,117,184,303,2367,2352,4722,201,191,389,375,358,738,181,519,699,1972,1644,3611,5095,5067,10166
LGA15800,29,17,60,72,12,3,15,124,150,274,60,32,96,7,0,5,9,7,13,8,39,47,8,0,6,83,83,166,39,17,55,0,0,7,3,3,8,17,101,125,8,0,8,76,127,203,1019,1013,2031,106,110,213,173,174,346,80,303,383,858,717,1578,2237,2313,4551
LGA15850,41,23,39,60,8,3,9,152,131,295,55,32,85,0,0,4,7,4,11,18,59,69,0,0,4,81,99,177,36,16,55,0,0,0,0,4,8,34,70,108,0,3,5,77,93,173,1165,1165,2329,81,94,176,221,208,424,117,275,389,909,789,1698,2488,2520,5013
LGA15900,879,233,853,1089,178,124,301,2407,2821,5226,1021,785,1800,34,18,47,181,248,427,286,972,1254,102,103,204,1612,2122,3738,786,432,1218,25,14,41,103,209,309,563,2105,2671,62,120,182,1537,2883,4421,27353,27405,54757,1997,2312,4309,5683,8011,13689,1699,5857,7555,32167,29041,61209,68894,72624,141514
LGA15950,441,68,290,362,119,132,259,1098,1278,2376,417,253,675,13,21,34,70,146,218,63,300,367,72,108,182,644,831,1473,266,122,386,13,11,22,30,81,109,119,453,578,37,90,127,470,755,1226,12148,12192,24340,723,751,1479,2360,3719,6074,407,1663,2076,12385,13867,26249,28029,32198,60221
LGA15990,1352,325,1355,1679,224,205,432,4427,5297,9722,2288,1509,3794,73,55,124,255,459,714,392,1516,1909,124,106,231,3129,3644,6773,1636,821,2456,23,23,45,170,347,517,840,3155,3992,77,147,225,2746,4499,7243,54442,54599,109044,2265,2680,4942,7203,10897,18098,2253,8365,10617,37701,34423,72124,103861,110961,214822
LGA16100,50,11,39,51,3,3,12,141,136,272,52,25,77,0,0,3,4,14,19,15,32,50,5,0,10,82,76,160,23,5,32,0,0,0,5,4,6,15,51,70,3,7,5,48,64,107,1116,1086,2197,105,87,184,253,216,469,84,220,300,881,591,1470,2435,2190,4626
LGA16150,181,74,250,321,40,46,79,698,796,1493,296,200,499,17,12,30,40,67,110,57,278,335,25,24,47,439,585,1017,203,104,305,3,5,10,30,39,66,146,478,631,21,17,37,405,645,1049,7643,7686,15329,485,667,1153,1304,1913,3218,452,1495,1957,6381,6109,12486,16253,17878,34134
LGA16200,66,24,114,142,12,11,28,263,295,557,115,78,195,5,4,10,27,14,43,29,139,167,16,6,27,190,247,439,78,51,131,3,0,3,9,13,23,50,196,253,12,20,29,157,283,438,2545,2518,5062,211,240,451,516,535,1049,173,657,838,2192,1843,4036,5636,5792,11429
LGA16260,576,203,952,1155,146,137,281,2701,3112,5817,1333,935,2266,45,26,70,131,229,362,254,1021,1279,71,88,158,1833,2301,4130,1030,486,1512,31,15,44,93,128,226,477,1696,2176,38,71,106,1668,2397,4067,56184,55903,112083,2413,2986,5401,5873,8645,14519,1480,6106,7581,38875,31630,70503,104821,105266,210087
LGA16350,682,301,906,1208,89,59,153,2452,2593,5042,908,572,1477,40,29,65,126,208,336,256,893,1145,50,52,102,1385,1739,3124,544,241,777,30,13,45,61,151,209,296,1312,1611,21,42,67,960,1750,2713,39004,39048,78051,2979,3558,6538,5917,8604,14525,1651,5820,7470,34290,30682,64966,83835,87711,171550
LGA16380,726,222,729,949,111,106,211,2529,2771,5298,1106,786,1891,44,26,68,153,183,340,233,765,1004,45,42,90,1576,1811,3388,805,412,1217,15,7,25,86,141,225,430,1444,1878,35,36,71,1377,2044,3417,17440,17504,34941,1214,1529,2742,3585,4881,8466,1323,4214,5540,10906,10309,21216,34462,38436,72905
LGA16400,564,212,561,777,54,54,112,2058,2107,4165,832,544,1382,37,18,47,107,121,226,170,517,689,31,26,62,1172,1226,2403,452,219,670,4,8,7,38,87,128,238,790,1028,12,10,24,750,1117,1860,15209,15328,30536,1078,1213,2288,3055,3830,6884,1026,2999,4024,10102,8545,18648,30471,31914,62387
LGA16490,202,73,224,299,43,41,81,724,793,1518,294,188,481,9,6,15,57,57,118,74,235,308,22,21,41,450,511,961,185,73,261,13,4,16,36,24,58,76,345,415,11,14,19,316,453,777,12677,12600,25277,738,834,1571,2120,2369,4485,435,1439,1872,9486,8254,17742,25445,25495,50943
LGA16550,590,136,561,694,242,197,437,1831,2150,3987,818,564,1382,39,19,64,131,188,319,181,719,901,131,134,259,1299,1623,2922,749,327,1082,27,14,41,75,153,229,379,1358,1740,101,181,284,1332,2041,3371,22334,22055,44392,1225,1490,2712,3414,5022,8438,979,3810,4794,26870,26377,53251,54825,58759,113579
LGA16610,162,43,152,194,32,27,57,520,571,1095,229,140,374,10,4,11,51,40,91,66,183,247,26,7,38,380,380,767,171,89,261,6,3,14,21,21,46,89,324,416,16,13,28,305,455,765,4093,4114,8201,371,392,765,1009,1159,2172,328,1041,1370,3666,3081,6744,9466,9788,19254
LGA16700,372,94,496,587,107,142,248,1466,1735,3200,787,539,1332,38,32,70,79,139,217,144,719,860,66,91,162,1114,1526,2640,716,329,1045,25,11,33,49,108,162,355,1334,1694,55,121,174,1196,1915,3111,26997,27238,54230,1091,1299,2392,2888,4609,7496,838,3796,4634,20400,19002,39405,52218,55936,108154
LGA16900,315,167,414,580,48,26,76,1233,1370,2604,572,389,959,7,13,23,76,116,193,145,495,637,31,15,40,830,1022,1854,387,170,556,11,8,18,30,58,83,289,717,1005,20,10,28,733,964,1695,14412,14538,28953,945,1262,2209,2383,3420,5807,929,2645,3573,11001,10112,21114,29670,31983,61655
LGA16950,780,260,813,1079,125,94,226,2953,2979,5936,1259,872,2138,57,27,84,170,205,378,339,844,1182,73,46,118,1902,1996,3897,791,400,1192,24,11,38,103,142,241,460,1485,1943,41,45,88,1423,2085,3504,21834,21588,43425,1622,1734,3352,4594,5521,10115,1674,4847,6517,15087,12686,27769,44814,46375,91186
LGA17000,81,43,105,153,14,14,30,328,324,648,141,79,218,4,0,4,7,6,20,29,96,122,11,6,16,195,186,383,70,40,108,0,3,0,12,12,23,53,152,208,7,4,12,142,214,353,4660,4663,9321,309,319,631,762,816,1580,234,629,866,4083,3019,7102,10055,9446,19501
LGA17040,102,43,109,155,26,11,35,426,382,811,174,116,295,21,8,27,14,27,40,36,113,158,13,11,20,260,277,538,102,42,144,0,3,6,12,11,26,65,208,278,19,11,27,204,279,483,4137,3986,8125,320,284,601,840,893,1730,245,689,934,3761,2966,6730,9297,8818,18112
LGA17080,85,46,95,136,24,10,33,357,332,689,143,96,240,0,0,7,28,14,44,52,95,145,15,5,19,243,213,459,77,40,114,0,0,0,9,12,18,55,198,253,11,5,12,150,251,398,2881,2855,5738,230,227,456,591,563,1155,225,613,843,2195,1769,3964,6127,6024,12150
LGA17100,79,31,152,183,37,44,79,478,496,979,231,169,399,8,7,7,14,28,48,39,200,234,28,26,49,317,427,740,225,103,324,11,3,13,7,23,30,75,334,408,20,32,48,336,492,826,9536,9452,18995,396,503,899,878,1346,2221,217,1055,1273,8902,6534,15443,19932,18896,38823
LGA17150,1021,298,1203,1500,138,100,239,3853,4466,8317,1790,1314,3097,45,30,74,187,311,495,369,1342,1709,89,70,154,2475,3061,5538,1450,803,2253,43,13,54,114,252,362,785,2809,3593,67,107,176,2449,3989,6435,48788,49094,97886,2132,2536,4666,5894,9273,15166,2140,7634,9778,31616,28564,60184,90573,97105,187676
LGA17200,770,124,449,578,444,198,644,1842,1758,3600,581,368,948,38,19,61,192,214,402,125,497,624,227,109,341,1155,1216,2379,423,169,592,25,7,33,84,161,238,173,742,914,144,111,254,843,1193,2037,25411,23892,49303,2151,2167,4311,6870,8010,14884,852,2996,3850,67115,56137,123249,102401,93203,195604
LGA17310,331,112,390,510,58,33,93,1137,1276,2413,512,364,873,15,12,29,56,97,157,135,502,638,42,26,67,763,1004,1763,336,170,505,7,8,17,23,43,69,196,725,923,27,34,62,598,978,1579,11254,11215,22466,884,1038,1926,2049,2739,4791,702,2496,3202,9364,8620,17979,24249,26112,50366
LGA17350,23,15,45,60,13,0,17,161,153,312,64,43,110,0,4,3,8,8,19,12,69,83,3,3,8,91,134,226,47,24,77,0,0,0,9,4,13,24,112,138,7,10,13,92,152,236,1232,1252,2480,80,90,168,216,246,459,86,329,414,777,641,1418,2387,2544,4939
LGA17400,44,16,55,68,10,4,17,200,186,390,73,52,132,3,0,3,9,11,26,16,44,62,11,10,18,122,123,242,47,15,63,0,0,0,11,5,18,21,97,126,7,3,8,82,123,211,1381,1372,2757,124,110,230,366,391,754,116,328,445,876,791,1669,2864,2993,5856
LGA17420,407,196,735,930,43,60,102,2690,2771,5466,1229,772,2003,22,17,32,61,105,168,206,790,1000,25,29,52,1545,1714,3254,722,349,1074,10,7,17,40,76,115,392,1196,1587,22,30,48,1191,1651,2845,46064,46652,92721,1341,1751,3090,2999,5071,8073,1202,4444,5647,22072,19613,41685,73682,77526,151213
LGA17550,827,236,708,942,118,88,205,2388,2597,4983,1061,753,1819,40,22,59,200,242,444,209,834,1045,55,63,122,1570,1917,3486,832,465,1293,29,15,43,112,187,299,490,1590,2082,65,61,126,1527,2319,3844,18157,18269,36424,1265,1643,2911,4252,5838,10091,1376,4580,5953,13428,12497,25930,38478,42828,81307
LGA17620,59,39,95,133,11,3,15,273,277,549,116,83,200,4,0,10,19,22,40,19,111,130,6,9,18,177,217,397,91,44,133,5,3,5,10,11,21,47,180,224,12,10,23,159,244,406,2742,2729,5475,209,194,401,529,578,1114,183,558,739,2070,1795,3858,5735,5857,11587
LGA17640,44,24,54,78,23,7,26,202,201,407,85,48,131,3,0,6,6,10,15,32,56,89,18,3,21,145,118,263,54,22,78,6,0,6,10,3,9,36,96,136,4,4,9,98,132,229,1893,1885,3786,120,96,219,390,357,745,134,319,449,1035,874,1907,3572,3528,7106
LGA17650,25,24,39,62,8,0,12,149,118,273,41,29,69,0,0,3,7,13,26,11,30,37,7,7,13,63,80,144,21,13,42,3,0,3,0,0,3,12,57,67,3,0,4,39,81,118,1211,1214,2426,83,78,157,241,283,523,68,228,294,751,768,1515,2356,2561,4915
LGA17750,240,93,358,461,39,47,89,957,1080,2038,466,345,812,14,15,29,50,58,106,93,396,491,18,25,48,644,842,1491,336,199,538,6,5,16,27,49,82,170,704,874,21,33,58,575,993,1567,12090,12031,24125,816,1009,1823,1737,2528,4259,595,2243,2831,10650,10162,20811,25886,27974,53857
LGA17850,14,10,32,41,3,3,11,89,92,183,48,36,85,0,0,4,6,8,16,0,33,31,0,0,0,60,77,139,20,5,29,0,0,0,6,9,9,6,34,48,0,0,0,32,51,81,694,695,1395,38,30,67,112,94,212,39,139,176,374,284,657,1258,1247,2508
LGA17900,32,14,37,49,23,9,29,131,91,223,27,8,39,0,3,8,6,3,15,12,36,53,8,3,16,64,66,126,18,12,23,3,0,5,6,6,10,10,22,38,9,0,10,49,40,83,755,752,1510,138,92,230,249,217,469,79,198,278,960,841,1802,2180,2101,4282
LGA17950,13,15,21,31,6,0,10,70,60,123,24,15,36,0,0,0,3,7,8,11,26,37,0,0,0,35,48,85,15,15,25,0,0,0,0,3,4,9,45,58,0,0,0,25,64,87,487,485,965,40,29,64,85,70,158,54,131,187,360,317,677,1022,1037,2056
LGA18020,56,28,72,97,21,13,32,278,248,527,107,59,168,5,0,8,20,11,33,37,80,115,17,10,22,185,164,346,73,37,111,5,0,0,9,4,16,54,152,201,3,6,10,142,203,345,1782,1771,3551,162,158,318,418,387,803,182,464,652,1257,1088,2343,3804,3872,7669
LGA18050,258,39,257,301,96,82,178,745,884,1632,325,223,544,18,15,26,60,102,158,55,308,364,63,59,119,514,705,1218,265,117,386,4,5,19,46,65,107,141,622,755,69,49,121,522,864,1381,10330,10380,20711,540,626,1161,1861,2518,4377,365,1634,2004,14628,14906,29534,27726,30069,57794
LGA18100,35,21,33,53,6,0,10,110,111,219,42,26,68,5,0,5,11,7,19,14,25,43,4,4,6,73,65,133,32,11,51,0,0,0,4,5,4,22,56,83,3,3,9,64,75,143,740,735,1471,57,71,128,178,137,315,90,186,270,502,360,858,1561,1488,3050
LGA18200,33,6,41,50,17,0,19,148,131,282,71,47,119,3,0,3,6,3,8,11,31,43,5,0,8,102,83,185,28,19,45,6,0,6,0,4,4,15,62,81,3,0,0,53,84,136,1530,1498,3026,116,78,198,278,255,536,75,215,296,1110,859,1974,3117,2912,6027
LGA18250,218,51,291,342,60,98,163,951,1138,2090,509,355,856,11,10,23,51,94,151,83,325,407,28,50,80,686,832,1516,461,247,712,8,12,12,39,71,106,184,830,1010,27,78,112,718,1240,1954,16241,16693,32938,564,730,1292,1484,2691,4173,482,2067,2556,10333,10041,20372,29110,32219,61331
LGA18350,406,127,411,541,76,80,157,1489,1651,3143,687,464,1149,27,14,43,80,119,201,98,437,531,35,60,98,930,1093,2022,463,187,649,4,6,14,33,79,107,212,699,909,34,44,77,746,1014,1764,11536,11473,23009,608,703,1309,1713,2787,4500,668,2263,2928,6322,5831,12153,20845,23064,43908
LGA18400,174,88,207,290,34,27,64,774,741,1517,310,199,508,17,7,27,31,42,74,69,239,315,17,8,25,449,500,944,190,106,295,9,0,13,20,20,39,92,305,392,16,11,28,324,449,766,11038,11143,22184,642,731,1379,1397,1782,3177,437,1297,1738,7421,6348,13763,20938,21308,42243
LGA18450,1003,369,1208,1577,190,113,308,3539,4059,7601,1723,1216,2937,71,42,115,229,287,513,423,1547,1971,110,71,179,2553,3157,5710,1221,629,1848,32,22,48,122,202,318,742,2665,3403,67,65,134,2171,3581,5754,39380,39535,78916,2417,2875,5295,6522,9284,15808,2369,7951,10320,35556,30960,66521,86252,90609,176857
LGA18500,354,58,280,347,91,103,191,1031,1264,2298,483,313,796,11,11,25,66,155,220,65,349,418,61,64,130,689,894,1586,409,150,560,3,12,13,49,90,143,170,716,882,52,79,131,679,1042,1724,9967,9975,19943,372,515,891,1424,2522,3944,422,1823,2243,8793,9733,18527,20973,24566,45542
LGA18710,63,27,74,107,7,10,15,284,291,574,128,69,202,6,0,9,19,20,41,21,92,109,0,0,8,174,188,365,76,42,123,0,0,0,8,4,14,35,162,198,3,3,7,133,211,338,3729,3708,7441,211,203,413,531,668,1195,159,521,682,2129,2001,4134,6760,7101,13862
LGA19399,4,0,6,6,0,0,0,20,18,36,0,8,12,0,0,0,0,0,0,0,7,9,0,0,0,12,9,25,7,7,15,0,0,0,3,0,3,4,0,5,0,0,0,15,9,20,223,212,434,13,15,24,45,28,66,8,26,40,140,133,271,428,408,840
LGA19499,54,13,6,17,9,7,17,120,66,191,28,10,41,0,0,0,15,8,25,6,16,17,3,3,9,48,39,86,6,0,10,0,0,0,4,5,3,9,23,31,0,3,6,19,32,49,1134,982,2118,554,309,863,790,647,1431,89,141,230,3174,2300,5471,5734,4381,10112
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
