LGA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
LGA15800,589,599,238,24,1449,606,40,88,2187,5,0,0,0,7,21,0,0,30,0,5,0,0,0,4,0,0,4,5,5,0,0,8,21,0,0,34,10,0,6,0,18,63,0,22,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,4,10,0,6,0,18,67,0,22,109,0,0,0,0,0,14,0,35,60,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,8,3,0,0,0,4,14,0,41,61,0,0,0,0,6,0,0,0,6,605,607,252,29,1491,715,43,152,2396,579,546,227,20,1368,598,52,188,2201,8,0,4,0,12,27,3,21,61,0,0,0,0,0,0,0,0,0,8,0,4,0,12,27,3,21,61,4,4,5,0,14,41,6,3,68,0,0,0,0,0,8,0,0,8,0,0
LGA15850,663,653,317,25,1660,586,46,83,2372,6,0,9,0,16,25,0,0,44,0,0,0,0,0,0,0,0,0,6,0,9,0,16,25,0,0,44,7,0,7,5,18,55,7,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,3,7,0,6,5,21,60,4,4,85,0,0,0,0,3,11,0,6,24,0,0,0,0,0,4,0,0,4,5,0,0,0,6,4,0,0,15,4,0,3,0,13,20,0,6,37,3,0,0,0,4,0,0,0,4,687,656,336,30,1706,687,54,96,2542,652,589,299,27,1574,543,46,196,2356,10,0,3,0,15,16,0,9,36,0,0,0,0,0,0,0,0,3,10,0,3,0,15,16,0,9,37,13,3,3,0,16,64,0,9,96,0,0,0,0,0,0,0,0,0,0,0
LGA15900,11244,14020,5404,574,31241,9436,2313,1173,44162,742,363,335,50,1497,1902,261,159,3820,813,438,475,64,1790,1152,444,229,3625,1559,802,813,118,3291,3059,707,392,7444,710,232,357,71,1373,2923,449,332,5074,348,90,163,28,632,1068,210,190,2099,444,117,63,19,643,602,142,234,1624,..,..,..,..,..,..,..,..,..,19,6,9,0,29,41,10,5,89,1518,437,603,120,2673,4632,816,762,8878,8,6,0,0,12,15,0,31,53,0,0,0,0,0,0,0,46,49,36,22,14,0,75,66,33,27,200,40,26,11,0,86,86,32,106,305,13,4,6,0,25,56,4,3,90,14368,15288,6842,806,37309,17264,3873,2433,60879,10856,14297,5306,589,31050,9099,2483,1060,43697,783,389,487,64,1718,2038,303,185,4248,1359,750,611,72,2785,1784,585,221,5376,2140,1138,1092,137,4505,3820,891,406,9620,540,185,265,38,1030,2187,302,235,3752,389,114,180,32,711,1209,216,207,2344,595,138
LGA15950,1055,1610,326,53,3043,759,135,227,4165,355,367,100,10,839,352,74,76,1338,962,717,223,35,1941,706,251,211,3114,1322,1084,327,47,2780,1063,326,287,4455,969,430,170,54,1623,1393,288,371,3675,1932,623,283,97,2931,2561,594,612,6697,3475,1064,382,196,5109,4826,823,1410,12175,..,..,..,..,..,..,..,..,..,10,0,0,0,10,8,0,3,25,6386,2108,837,344,9674,8793,1705,2395,22569,12,0,0,0,12,7,0,7,20,0,0,0,0,0,0,0,0,0,18,7,0,0,25,51,9,19,107,30,7,0,0,38,54,9,27,127,10,7,3,0,23,23,4,3,58,8804,4817,1489,443,15556,10692,2181,2944,31368,880,1471,291,33,2683,541,81,166,3467,341,444,108,7,907,321,71,68,1371,910,872,241,31,2046,673,202,197,3118,1255,1315,345,42,2954,992,273,267,4488,1066,691,237,56,2047,1186,314,270,3810,2283,1007,383,102,3768,2783,563,628,7751,3825,1396
LGA15990,12872,25860,4702,425,43862,6537,1020,1419,52842,585,567,208,19,1374,892,94,108,2472,1269,1493,527,44,3335,1208,159,198,4898,1857,2055,733,58,4708,2101,257,296,7365,1856,1018,576,74,3519,3282,438,476,7726,3683,1983,1066,152,6882,4492,959,790,13124,2353,879,392,82,3711,2554,486,616,7367,..,..,..,..,..,..,..,..,..,67,60,34,3,167,145,10,19,346,7961,3951,2073,303,14286,10474,1895,1911,28563,13,7,10,0,27,53,4,47,129,0,0,0,0,0,3,0,32,39,53,47,29,0,125,87,27,25,268,63,52,33,3,158,140,35,102,442,13,15,5,0,36,33,8,3,75,22768,31933,7547,803,63048,19282,3215,3737,89280,12152,26848,4472,395,43858,5912,935,1562,52277,490,515,159,6,1179,956,74,161,2370,1551,1757,546,38,3894,1643,148,315,6002,2044,2273,707,45,5073,2604,222,474,8366,1755,1265,519,62,3605,2710,373,485,7172,3962,2438,1158,152,7706,4452,916,1004,14075,2870,1440
LGA16100,582,563,172,3,1322,443,30,65,1860,0,0,3,0,11,22,0,0,37,0,0,0,0,0,4,0,0,0,0,7,3,0,13,20,0,0,37,4,0,0,0,8,22,0,3,34,4,0,0,0,4,10,0,3,12,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,6,0,0,0,9,32,0,5,46,0,0,0,0,4,14,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,7,26,0,0,0,0,0,0,0,0,0,595,565,179,9,1346,511,33,82,1965,580,487,177,10,1256,446,44,204,1950,0,0,0,0,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,16,4,0,3,0,10,24,0,0,30,0,0,0,0,0,11,0,3,16,0,0
LGA16150,3199,4059,1565,122,8939,2668,365,481,12464,161,70,123,14,366,516,40,86,1004,10,5,4,0,21,34,4,6,64,164,72,130,16,382,555,44,92,1072,87,24,44,5,165,544,39,112,853,0,0,3,0,3,24,0,5,32,6,0,0,0,7,17,0,6,27,..,..,..,..,..,..,..,..,..,4,3,0,0,10,9,0,0,14,97,28,51,8,182,590,39,125,929,10,0,0,0,11,36,0,61,109,0,0,0,0,0,5,0,10,17,3,9,4,0,14,29,6,9,56,12,5,4,0,22,68,6,78,173,3,0,0,0,4,4,0,3,13,3474,4166,1743,146,9535,3879,456,785,14645,3513,4125,1662,108,9409,2845,372,639,13266,199,84,124,7,407,745,59,125,1332,24,16,18,0,58,118,12,34,228,221,103,140,6,470,868,67,157,1560,62,20,36,3,123,345,21,85,573,3,0,0,0,9,31,0,15,55,6,0
LGA16200,1426,1494,649,38,3609,1265,100,282,5259,39,13,9,0,65,113,4,20,199,0,0,0,0,0,0,0,0,4,39,14,9,0,65,113,4,20,198,12,3,16,4,32,135,0,25,200,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,6,0,0,6,11,3,16,4,32,152,3,26,214,4,5,0,0,16,21,0,58,99,0,0,0,0,0,0,0,0,0,11,0,0,0,12,6,0,0,17,14,5,4,0,22,29,0,56,113,6,0,0,0,0,0,0,0,8,1496,1522,676,46,3736,1560,110,386,5793,1357,1414,624,43,3440,1238,87,361,5127,25,12,19,5,52,69,9,38,169,0,0,0,0,0,17,0,8,26,25,12,19,5,52,87,9,44,191,38,12,22,0,69,208,7,72,355,0,0,0,0,0,4,0,3,11,0,0
LGA16260,8725,16962,3955,443,30088,5210,840,941,37082,636,970,358,55,2021,1127,117,166,3429,1116,2060,630,84,3890,829,230,228,5168,1752,3031,990,137,5907,1954,347,393,8602,1254,1121,415,91,2874,2409,275,338,5904,2457,2493,905,248,6101,2795,665,662,10220,2178,1753,545,191,4670,2152,612,808,8248,..,..,..,..,..,..,..,..,..,15,15,8,0,34,34,4,3,81,5909,5376,1876,529,13686,7388,1557,1820,24445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,56,62,17,15,8,3,33,33,10,11,89,17,12,8,3,36,38,10,62,155,21,41,7,5,72,35,8,7,127,16419,25428,6834,1113,49786,14628,2769,3223,70401,7929,16986,3702,446,29053,4653,937,966,35607,484,689,282,23,1479,985,94,175,2726,1837,4068,1063,116,7090,1511,404,373,9385,2325,4755,1345,142,8562,2499,499,548,12105,963,1082,342,86,2479,1903,199,412,5000,2118,3016,871,191,6191,2414,666,700,9968,4429,4676
LGA16350,11318,21636,6908,550,40419,6989,1006,1406,49817,495,473,509,41,1519,1116,92,115,2841,673,892,833,69,2463,1083,157,171,3877,1167,1363,1341,107,3986,2196,246,289,6719,274,329,226,29,859,835,73,125,1891,299,193,226,32,747,911,108,159,1926,87,74,47,10,224,217,29,34,506,..,..,..,..,..,..,..,..,..,62,56,26,0,144,86,3,11,254,726,651,528,67,1970,2057,215,331,4573,30,12,7,3,60,94,8,7,169,0,4,0,0,4,0,0,42,49,10,14,16,0,34,23,3,16,76,41,35,23,3,98,118,10,67,295,15,9,0,0,23,52,3,23,101,13269,23691,8802,735,46495,11419,1481,2111,61506,12440,22897,7409,605,43343,7394,1126,2155,54023,487,392,428,28,1334,1289,85,230,2934,898,1161,1030,82,3162,1410,219,352,5145,1382,1549,1456,109,4498,2702,301,585,8074,231,179,229,28,662,911,65,208,1841,276,156,198,22,664,715,97,246,1712,124,75
LGA16380,8018,6505,2474,151,17139,4346,497,582,22570,695,171,306,23,1188,1194,67,58,2509,252,86,99,7,442,421,36,32,930,948,257,403,23,1635,1607,105,96,3441,270,82,194,15,553,968,58,136,1720,105,33,71,4,213,300,41,73,624,261,51,70,9,392,324,36,177,923,..,..,..,..,..,..,..,..,..,8,7,4,3,19,18,0,0,34,644,167,334,29,1170,1602,132,394,3302,185,15,34,4,238,338,22,297,897,0,0,0,0,4,5,0,16,24,57,11,17,5,83,105,3,7,194,241,29,48,4,324,442,27,318,1113,4,3,0,0,10,10,0,3,22,9858,6961,3260,204,20280,8018,762,1396,30451,8246,6643,2527,153,17566,4493,584,1072,23721,835,182,342,20,1383,1546,116,186,3236,283,110,166,10,570,372,30,63,1049,1115,293,510,32,1954,1924,147,255,4280,322,71,181,10,584,1121,74,144,1927,100,24,70,4,201,296,39,119,647,303,55
LGA16400,6383,6532,2325,141,15379,3990,381,724,20479,370,166,201,12,746,691,63,90,1591,329,220,189,8,740,306,37,75,1168,701,379,388,24,1491,1004,104,165,2763,176,75,77,0,332,423,36,83,864,33,7,18,0,62,74,9,64,205,53,5,18,0,78,61,3,56,198,..,..,..,..,..,..,..,..,..,6,0,0,0,10,19,0,0,26,271,91,118,0,483,568,47,198,1294,123,9,12,9,154,296,11,157,617,3,4,3,0,9,8,0,0,19,7,0,8,0,22,15,3,8,45,131,17,30,9,183,316,16,167,681,4,0,3,0,10,5,0,0,22,7490,7021,2860,170,17545,5886,543,1258,25235,6660,6667,2318,157,15806,4027,471,1191,21491,493,137,270,14,913,1008,54,264,2237,496,284,253,6,1042,448,67,132,1688,989,421,523,24,1958,1458,120,393,3927,73,18,37,0,135,244,10,40,429,54,12,14,0,85,79,3,40,211,107,20
LGA16490,3900,6014,1473,125,11509,2303,272,625,14711,340,214,161,15,739,686,65,77,1561,184,136,91,14,428,269,44,40,781,527,351,252,30,1163,955,111,113,2342,162,131,84,14,394,759,52,116,1324,147,71,61,8,286,463,45,97,889,81,40,23,11,151,190,25,62,436,..,..,..,..,..,..,..,..,..,9,3,0,0,17,19,4,5,47,400,241,174,36,851,1434,114,293,2692,47,14,15,6,79,85,0,104,269,4,5,0,0,5,3,0,0,12,12,6,7,0,24,23,3,9,58,61,36,16,6,112,114,4,108,334,6,0,0,0,12,7,0,0,16,4898,6639,1915,192,13644,4813,503,1144,20101,4160,6230,1454,106,11943,2447,266,941,15605,314,256,170,13,760,773,46,111,1687,283,224,150,26,681,499,54,80,1312,604,481,321,40,1447,1276,97,186,3006,127,110,80,6,325,585,35,112,1060,86,73,29,7,189,271,26,62,551,181,125
LGA16550,3204,6761,1545,236,11737,2251,562,600,15154,742,1458,402,58,2656,857,197,171,3876,764,1503,485,53,2807,658,234,207,3906,1506,2955,887,114,5468,1509,434,373,7784,1102,773,417,95,2390,1806,613,546,5352,2607,1455,949,239,5251,3991,1508,1029,11781,2602,1325,590,360,4876,3335,1509,1138,10855,..,..,..,..,..,..,..,..,..,19,13,3,0,38,26,6,3,76,6327,3560,1969,697,12553,9164,3635,2716,28062,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,41,38,16,3,104,56,44,29,222,41,38,16,3,104,55,44,30,231,14,6,0,4,25,25,7,7,65,11085,13323,4418,1050,29882,12998,4683,3730,51290,2917,6430,1295,251,10901,1823,593,469,13787,678,1353,340,56,2426,804,179,192,3589,947,2265,598,83,3896,757,254,273,5185,1628,3616,933,140,6314,1562,433,466,8772,1215,1014,537,87,2856,2006,751,559,6173,3623,1980,1091,266,6966,4619,2188,1257,15032,2330,1283
LGA16610,2227,2067,976,74,5347,1627,168,232,7369,82,41,36,4,162,187,15,12,378,21,11,15,0,52,51,3,6,109,103,53,52,3,218,233,17,21,491,89,35,90,7,223,406,18,57,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,10,89,30,94,7,224,412,18,57,704,37,11,4,7,53,102,4,238,395,0,0,0,0,0,0,0,4,6,14,14,0,0,27,4,0,3,39,51,19,9,7,82,106,4,244,443,0,0,0,0,4,0,0,0,3,2481,2178,1133,87,5878,2380,202,554,9009,2177,2015,993,90,5272,1712,197,509,7693,76,24,28,0,129,190,12,25,360,28,22,23,6,79,57,9,26,175,105,42,52,5,213,246,26,53,531,76,45,67,8,197,406,30,75,710,0,0,0,0,0,0,0,0,0,0,0
LGA16700,4514,9467,2005,264,16256,3029,604,500,20386,624,775,287,35,1718,800,129,83,2729,726,938,317,45,2023,800,220,92,3133,1342,1715,603,81,3744,1595,350,176,5866,504,303,160,35,1005,1226,153,121,2501,1392,885,402,128,2804,2294,553,290,5940,1193,720,290,97,2298,1321,338,316,4276,..,..,..,..,..,..,..,..,..,9,5,3,0,10,15,6,0,30,3102,1906,857,259,6120,4845,1056,722,12741,4,0,0,0,4,8,0,65,74,0,0,0,0,0,0,0,6,6,8,13,7,0,28,19,3,7,56,16,13,7,0,33,20,3,74,134,11,3,5,0,16,5,0,5,30,8983,13110,3471,609,26172,9501,2006,1476,39153,4366,9522,1911,293,16093,2755,683,571,20107,589,845,283,30,1750,731,101,127,2712,888,1408,395,53,2743,1187,226,159,4312,1474,2252,677,87,4495,1917,325,279,7023,288,208,116,26,642,642,59,95,1439,1688,1313,523,169,3695,2390,592,340,7016,2268,1440
LGA16900,4973,7730,2567,175,15441,2760,255,369,18832,353,158,264,11,786,695,50,35,1560,202,171,183,15,572,356,31,43,1008,554,328,444,29,1360,1050,77,80,2569,172,77,163,20,423,582,33,64,1103,29,0,7,5,39,44,8,9,101,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3,0,0,0,7,3,0,0,14,204,81,172,16,470,634,37,71,1217,73,7,25,3,104,180,7,38,324,0,0,0,0,0,0,0,0,4,8,9,19,0,34,9,0,4,54,80,21,35,3,138,191,4,49,383,0,0,0,0,0,7,0,0,3,5817,8158,3223,223,17418,4635,381,562,23003,5144,7847,2685,170,15848,2797,296,723,19666,420,164,270,24,876,736,43,102,1756,379,319,284,16,995,580,69,83,1732,799,479,557,38,1869,1315,115,182,3487,159,75,157,13,408,472,33,95,1003,3,0,0,0,0,8,0,6,14,0,0
LGA16950,10938,8435,3886,235,23497,7589,760,1414,33259,418,107,166,13,709,778,32,95,1612,90,36,49,4,172,142,9,23,354,510,137,216,21,882,917,43,121,1969,237,45,120,18,424,968,47,99,1533,0,0,9,0,9,16,0,0,20,0,0,0,0,0,5,0,0,5,..,..,..,..,..,..,..,..,..,13,7,9,0,22,35,0,8,67,248,56,135,18,455,1016,51,109,1626,160,14,19,8,196,392,7,166,762,0,3,0,0,4,0,0,0,7,15,18,11,0,40,13,5,11,68,176,31,29,8,247,401,16,181,831,16,7,0,0,30,32,0,4,63,11894,8668,4262,279,25104,9964,865,1821,37753,11708,8537,3935,261,24443,8081,838,2071,35431,411,113,180,22,724,1187,71,183,2163,114,35,81,4,236,348,22,64,677,534,142,256,28,959,1535,94,255,2839,165,50,98,11,324,573,29,110,1036,0,0,0,0,4,12,0,5,27,0,0
LGA17000,1939,2865,707,51,5555,1171,158,263,7150,77,64,35,0,176,111,24,40,348,23,20,16,0,59,39,3,6,108,97,79,49,0,232,145,28,50,453,55,24,32,0,118,219,14,35,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,5,55,21,32,0,122,219,14,35,390,22,0,6,0,25,51,9,37,124,3,3,0,0,8,0,0,11,16,3,9,0,0,8,6,0,5,27,26,10,4,0,42,62,6,61,170,0,0,0,0,3,0,0,0,4,2122,2981,800,52,5958,1604,208,406,8167,1946,2736,712,62,5456,1209,125,487,7282,64,59,63,6,185,174,17,35,407,22,6,29,5,62,106,10,11,199,92,64,94,7,250,281,32,47,608,33,16,31,0,81,174,12,42,312,0,0,0,0,0,0,0,0,0,0,0
LGA17040,1979,1829,611,41,4461,1627,142,489,6727,74,54,23,3,155,168,9,40,377,20,23,9,0,49,35,11,105,214,90,74,33,3,208,209,31,147,583,52,23,19,4,97,162,36,215,514,8,12,5,0,22,10,0,42,79,0,3,0,0,3,7,0,14,25,..,..,..,..,..,..,..,..,..,0,0,0,0,0,8,0,3,11,64,36,24,4,130,189,41,274,631,16,3,0,0,16,35,0,147,198,0,5,0,0,7,7,0,9,21,7,6,3,0,16,11,4,10,40,19,13,0,0,37,51,9,159,257,12,12,0,0,24,41,4,457,529,2169,1970,672,46,4858,2120,216,1528,8727,2048,1840,612,46,4538,1699,158,643,7040,39,16,11,0,67,93,8,46,216,38,16,16,0,70,86,18,112,287,79,33,27,0,137,177,26,157,502,45,19,18,4,92,200,39,476,805,11,0,4,0,19,28,3,59,108,4,0
LGA17080,1628,1529,505,38,3695,1293,82,171,5243,12,5,6,0,19,32,0,12,57,0,0,0,0,10,16,0,6,25,13,3,3,0,20,53,0,12,82,29,3,6,3,49,164,9,33,255,0,0,0,0,0,3,0,0,5,6,4,10,0,25,27,0,5,54,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,41,8,17,4,70,193,12,38,313,0,4,0,0,6,25,0,30,67,0,0,0,0,0,3,0,0,6,11,4,4,0,12,10,0,0,20,12,4,4,0,22,36,0,37,92,5,6,0,0,5,17,0,0,20,1692,1549,529,43,3813,1583,91,263,5754,1690,1343,535,47,3606,1348,87,426,5456,15,0,4,0,20,82,0,15,122,0,0,3,0,6,18,4,0,25,19,4,7,0,26,102,5,13,154,22,8,8,0,38,102,7,32,186,0,0,0,0,0,0,0,0,0,0,0
LGA17100,1112,2878,609,90,4692,795,121,235,5842,31,64,34,3,139,98,3,5,250,120,228,89,11,449,208,19,32,704,152,289,124,18,586,307,20,41,956,236,339,111,25,719,326,87,145,1275,457,518,175,45,1191,356,127,150,1826,606,534,197,64,1399,354,247,228,2233,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,5,1294,1391,491,142,3312,1034,462,529,5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,0,24,9,4,3,35,10,4,7,0,24,9,4,3,35,0,3,0,0,3,6,0,0,8,2570,4569,1233,251,8616,2152,610,806,12183,1051,2785,592,89,4518,642,138,184,5481,21,43,23,3,89,52,7,11,157,119,259,119,14,512,100,45,61,725,140,301,141,18,599,159,56,67,879,220,335,86,17,653,380,96,53,1194,485,696,195,53,1427,484,184,118,2219,821,900
LGA17150,12833,25647,4677,392,43553,6190,642,949,51336,771,442,347,24,1587,1396,56,91,3130,1586,1500,853,64,4003,1406,163,191,5766,2354,1954,1200,87,5586,2806,219,289,8892,768,271,330,39,1414,2015,198,245,3871,1862,978,848,105,3790,3046,527,542,7904,1458,616,465,78,2621,2029,269,337,5265,..,..,..,..,..,..,..,..,..,13,20,16,0,58,64,4,3,124,4103,1881,1664,224,7871,7152,999,1136,17158,24,8,24,0,58,92,0,38,193,0,0,0,0,0,3,0,20,20,27,27,23,3,82,58,6,16,161,51,40,44,4,138,158,8,77,374,10,3,0,0,14,5,3,0,15,19355,29526,7586,703,57165,16309,1871,2445,77792,12265,25263,4431,409,42367,5722,611,1019,49722,541,541,279,17,1376,1040,44,148,2605,2092,2327,1092,74,5576,2156,177,324,8233,2633,2865,1370,93,6961,3189,220,475,10845,826,457,336,23,1645,1827,160,323,3948,2283,1328,1056,124,4789,3262,495,555,9103,1380,683
