LGA_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
LGA16150,0,5,0,3,8,0,3,0,0,8,6,4,7,8,18,5,7,0,0,9,3,0,0,0,8,26,28,13,4,75,39,25,21,5,91,63,44,31,10,148,285,256,115,46,708,237,314,156,53,749,178,261,86,47,565,157,208,109,31,503,153,213,109,20,496,76,77,38,16,207,178,205,114,41,540,9,22,4,11,43,1421,1683,797,288,4193,5,5,0,3,11,0,3,0,0,4,0,3,0,3,6,4,0,0,0,0,8,5,5,5,21,15,14,3,4,33,41,17,8,9,76,44,52,21,16,128,234,196,102,40,576,248,269,111,48,680,220,306,124,50,695,179,227,90,28,529,163,251,103,28,551,139,182,98,29,449,154,186,121,37,504,14,12,0,0,27,1472,1722,791,296,4283,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,4,4,0,0,8,4,6,7,6,21
LGA16200,0,6,4,0,6,0,0,0,0,5,6,0,0,6,8,0,0,0,0,8,0,5,0,3,8,20,15,12,8,48,28,18,6,11,66,32,26,28,17,104,98,92,63,34,282,88,77,63,26,255,69,61,39,18,181,28,48,27,17,116,49,53,23,10,139,14,11,14,0,40,74,77,60,29,240,8,8,5,4,25,515,491,345,171,1523,0,0,3,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,11,6,7,4,0,17,14,13,10,0,38,27,13,20,7,69,68,75,42,23,210,87,87,63,20,260,77,97,29,20,216,57,51,37,12,158,41,63,32,6,136,18,36,16,6,81,77,76,39,35,227,9,0,6,0,19,488,524,302,146,1458,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,3,0,3,3,0,6,4,3,0,0,12
LGA16260,94,69,14,8,187,40,25,8,6,78,81,87,18,4,201,73,51,21,10,150,151,122,30,11,315,247,220,64,41,574,455,421,102,36,1010,592,560,144,49,1342,1660,1445,439,151,3700,1552,1479,427,133,3581,1389,1298,311,74,3069,1181,1391,472,105,3147,1289,1599,473,103,3462,650,940,293,95,1979,980,1102,398,152,2640,118,88,29,14,257,10550,10897,3241,993,25683,114,74,27,6,228,31,26,12,0,69,56,33,8,0,112,49,34,12,0,92,135,123,30,14,302,203,189,46,16,449,388,294,102,21,809,551,448,111,42,1144,1813,1478,385,120,3801,2078,1713,398,144,4335,2131,1997,452,129,4707,1467,1453,347,73,3343,1797,1995,517,116,4428,1372,2062,625,133,4182,1165,1226,370,136,2893,79,87,27,8,204,13438,13226,3468,965,31095,100,67,22,15,205,15,12,4,0,33,30,25,8,0,68,46,23,3,6,87,74,62,23,6,169,126,100,26,12,264
LGA16350,36,33,11,10,80,13,16,10,4,40,35,27,28,11,105,40,22,18,12,91,46,38,25,11,126,154,111,50,27,345,256,230,113,50,643,417,396,168,66,1057,1373,1453,729,333,3887,1484,1675,696,281,4139,1378,1636,634,210,3858,921,1226,464,168,2780,871,1249,488,154,2764,302,511,225,83,1116,767,1092,509,261,2631,118,146,72,34,380,8210,9882,4227,1717,24043,32,27,14,4,76,11,9,7,0,27,13,22,7,0,43,18,9,9,4,46,54,43,20,5,122,83,55,23,20,191,195,113,68,26,408,325,249,94,66,735,1224,1125,520,254,3120,1379,1600,627,290,3892,1613,1788,676,260,4337,1224,1418,538,208,3386,1195,1662,637,195,3693,644,1198,552,215,2613,818,957,455,234,2467,115,94,34,17,261,8965,10364,4286,1804,25417,56,33,18,10,118,10,5,5,0,19,15,6,3,3,29,12,12,0,0,26,38,28,8,5,69,54,45,17,10,130
LGA16380,5,11,4,3,24,3,0,0,0,7,15,12,8,5,37,13,11,8,0,33,33,19,10,5,62,98,66,36,8,204,161,130,53,17,370,206,195,90,36,526,593,563,250,107,1509,385,491,195,75,1134,272,351,144,50,812,177,250,116,24,562,164,270,84,30,551,56,67,29,0,148,305,400,172,58,939,39,36,14,0,93,2522,2867,1194,421,7006,10,9,3,0,17,0,0,3,0,7,11,3,5,3,15,3,4,4,0,5,17,12,5,6,39,34,21,8,4,73,77,45,23,13,160,131,124,61,18,332,552,476,210,73,1311,430,466,210,70,1172,404,497,188,67,1156,278,340,136,33,783,225,326,141,25,718,136,232,84,22,472,293,325,179,59,856,32,34,7,7,75,2612,2914,1265,400,7188,19,0,0,3,21,3,0,0,0,11,8,0,0,0,15,9,6,0,3,12,5,11,3,0,18,15,11,7,0,36
LGA16400,4,8,0,0,12,8,9,0,0,12,20,7,5,0,31,10,5,3,4,25,13,8,0,3,19,73,63,18,6,154,86,81,30,6,210,138,146,62,32,380,470,525,230,82,1300,403,521,231,92,1239,341,440,156,63,1003,247,320,144,49,758,199,299,111,37,638,79,89,46,11,223,312,377,189,73,950,36,39,22,11,105,2427,2931,1253,477,7079,10,9,3,0,24,0,0,0,0,3,11,4,3,0,18,5,0,0,4,13,19,14,7,0,38,29,23,3,7,59,77,54,15,10,151,117,87,44,17,263,407,383,167,83,1039,431,471,214,60,1171,387,498,194,81,1161,291,386,147,46,863,241,363,129,49,777,163,267,104,25,562,367,388,204,82,1044,22,21,6,4,58,2577,2973,1238,457,7240,13,8,3,0,23,0,0,0,0,3,4,0,4,0,9,7,7,0,0,14,15,6,0,0,23,15,12,0,0,33
LGA16490,14,10,0,0,21,0,6,0,0,6,10,5,0,0,15,9,6,5,0,14,16,10,5,0,26,22,18,3,3,41,55,28,22,3,106,54,51,24,11,143,267,244,114,33,648,306,358,143,47,854,340,444,139,42,971,266,372,158,48,840,432,608,207,52,1296,247,381,170,41,837,281,326,145,52,803,27,24,6,3,59,2337,2890,1137,328,6691,7,4,0,0,13,3,5,0,0,8,5,10,0,0,14,3,0,0,0,4,16,4,3,0,28,21,15,4,0,37,31,21,7,6,56,78,38,11,9,136,252,157,61,28,505,277,277,91,36,679,311,354,166,40,873,352,388,138,26,905,463,660,238,49,1421,455,682,289,71,1501,287,361,163,59,866,20,23,7,0,52,2582,2996,1187,330,7106,0,4,0,0,7,0,0,0,0,5,5,4,0,0,9,9,0,0,0,5,7,3,0,0,15,13,6,0,3,26
LGA16550,31,22,10,0,58,14,9,0,0,24,22,27,7,0,59,22,13,4,0,44,51,32,8,3,88,64,44,17,3,129,137,80,28,7,252,193,154,38,6,395,595,467,129,41,1232,643,568,163,24,1401,636,592,172,27,1429,663,947,327,62,1997,877,1269,360,60,2559,667,985,298,58,2014,559,679,277,65,1585,79,54,23,8,159,5249,5941,1851,371,13411,35,26,4,3,71,4,3,0,0,14,18,6,4,0,22,9,4,0,0,18,29,21,0,0,47,57,31,14,0,106,75,44,10,6,132,133,88,17,3,251,466,332,97,26,916,564,464,129,37,1196,675,645,183,41,1546,608,625,142,19,1397,973,1172,334,52,2523,1328,2311,744,121,4504,581,807,283,57,1732,41,48,25,4,118,5595,6628,2000,369,14586,26,17,3,0,51,3,3,0,0,7,6,3,0,0,17,16,6,0,0,19,20,4,0,3,32,29,16,8,0,54
LGA16610,4,4,0,0,11,0,0,0,0,4,12,5,5,0,19,5,0,4,0,6,8,3,0,4,11,49,40,15,11,111,54,40,18,10,124,81,82,45,8,218,210,209,101,56,578,136,156,75,26,396,76,101,51,26,246,34,28,21,6,92,26,22,13,0,66,8,7,0,0,16,87,76,64,41,274,15,4,3,6,26,792,791,416,198,2193,5,5,3,0,11,0,0,0,0,0,0,3,0,0,7,0,0,0,0,4,5,6,0,6,12,16,10,11,5,43,36,24,11,12,78,48,37,26,12,116,191,173,94,42,495,157,163,66,22,406,100,121,57,22,298,64,80,32,16,192,42,70,32,6,150,18,16,13,5,48,86,91,38,32,258,8,8,0,6,21,769,799,384,189,2139,3,0,0,0,6,0,0,0,0,5,0,0,0,0,3,7,0,0,0,7,4,0,6,0,11,7,0,0,3,9
LGA16700,47,27,10,0,84,12,8,0,0,22,40,23,11,0,72,19,15,9,0,48,66,35,12,9,114,96,75,19,8,198,178,144,28,3,353,225,227,57,17,530,737,584,200,35,1556,699,670,196,44,1610,647,603,188,29,1461,679,899,296,54,1928,783,1121,316,43,2264,471,711,210,39,1434,486,628,271,61,1438,38,48,21,0,109,5215,5825,1851,347,13229,62,28,11,0,105,20,15,0,0,30,15,20,3,0,37,27,19,0,0,44,39,34,8,0,81,70,67,14,0,160,135,105,27,5,267,195,148,33,12,379,703,533,143,40,1416,812,644,178,43,1675,911,838,212,36,1995,668,635,180,32,1507,953,1156,286,46,2439,951,1637,530,80,3203,582,654,247,47,1524,35,49,19,3,110,6165,6578,1884,359,14979,52,36,3,0,91,17,3,0,0,23,22,10,0,0,34,10,7,7,3,30,45,28,10,0,84,71,31,0,0,106
LGA16900,9,11,0,0,23,3,7,4,0,11,18,10,8,0,38,12,10,0,0,28,17,17,9,3,42,65,42,15,15,139,109,72,34,18,233,153,154,64,29,409,496,603,233,106,1432,504,672,247,92,1516,426,565,182,67,1237,284,421,156,68,924,247,392,150,48,833,82,123,54,7,268,311,399,182,85,979,42,46,21,3,112,2771,3549,1367,545,8229,7,15,4,0,24,7,0,0,0,12,9,5,4,0,11,6,0,0,5,13,26,13,0,5,43,25,23,11,3,56,73,60,19,14,162,118,80,39,10,249,474,441,182,70,1167,519,591,224,93,1427,479,649,234,75,1436,344,533,168,55,1096,359,518,161,41,1077,177,326,145,47,693,334,431,169,63,991,28,22,12,3,64,2974,3693,1377,484,8528,21,11,4,0,37,4,0,0,0,5,7,3,4,0,14,3,6,0,0,10,9,0,0,0,21,15,11,7,0,30
LGA16950,12,9,4,4,26,0,9,0,0,14,22,30,11,4,66,11,11,5,4,31,26,23,11,5,64,150,94,49,18,315,191,148,70,24,430,282,261,99,62,710,682,758,337,136,1909,555,553,271,89,1469,330,430,152,51,965,193,265,101,34,594,203,252,106,23,581,69,70,29,4,164,426,509,212,112,1260,48,46,17,7,119,3202,3465,1472,575,8715,10,0,0,3,18,9,4,4,0,11,10,14,5,0,32,5,4,3,4,18,34,25,13,8,81,48,43,16,4,112,137,86,40,24,286,201,149,76,33,463,703,626,278,97,1700,578,599,259,113,1543,461,517,224,68,1273,320,378,124,35,859,274,325,128,40,768,144,201,97,25,467,430,465,213,107,1213,39,28,19,3,91,3408,3464,1505,563,8942,18,4,3,0,29,10,7,0,0,15,13,9,0,0,16,8,0,0,0,11,27,16,0,6,50,23,22,4,4,57
LGA17000,6,0,0,0,11,0,4,0,0,4,9,7,0,0,14,0,0,0,0,3,0,7,0,0,11,6,5,4,0,20,18,11,7,5,43,31,24,11,4,73,130,123,56,19,330,129,165,74,32,398,110,119,51,28,303,158,300,124,41,616,176,229,98,11,514,72,95,42,15,223,118,154,86,39,393,9,22,11,3,42,981,1256,559,200,3000,4,3,0,0,5,3,0,0,0,6,0,3,0,0,5,0,0,0,0,0,0,3,3,0,5,18,6,0,0,24,23,10,0,0,42,29,21,15,3,64,106,119,44,20,291,126,147,66,20,362,139,217,75,32,466,121,174,70,19,381,144,181,60,14,404,135,168,83,24,415,113,143,62,28,345,7,13,7,8,36,973,1218,493,173,2856,0,3,0,3,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,6,4,0,0,8
LGA17040,0,5,0,0,12,3,5,0,0,4,6,4,0,0,13,0,10,0,0,11,5,3,5,0,8,14,20,10,5,54,25,29,6,6,73,50,56,22,7,130,142,155,61,26,383,90,140,66,16,314,85,132,35,8,265,53,82,32,4,172,54,76,22,10,159,20,21,10,3,53,90,128,56,24,301,12,16,3,0,32,662,866,328,118,1977,5,5,3,0,8,4,0,0,0,3,4,0,0,0,3,0,0,0,0,0,4,4,0,0,13,6,6,4,0,16,16,17,4,3,42,25,22,10,8,69,103,107,37,26,278,115,124,62,20,332,114,146,52,11,322,92,78,25,6,200,92,92,45,13,235,45,59,23,4,133,96,129,45,14,287,7,10,3,0,29,727,800,329,112,1969,3,0,0,0,3,6,0,0,0,6,4,0,0,0,6,0,0,0,0,0,0,0,0,0,7,3,0,0,0,8
LGA17080,4,0,0,0,6,0,6,0,0,4,7,0,3,0,13,3,0,0,0,6,3,5,4,0,5,19,13,6,0,37,24,38,6,9,75,37,34,20,9,101,111,127,64,25,328,87,117,51,19,273,78,85,29,12,201,36,65,18,11,133,39,38,21,11,97,11,7,8,3,29,58,72,43,28,197,14,15,7,0,37,523,618,273,133,1550,5,3,0,0,6,0,0,5,0,3,0,0,0,0,7,6,0,0,0,6,0,4,0,0,8,6,3,0,0,12,18,8,4,0,40,24,18,7,11,55,96,72,33,18,219,61,101,48,15,224,73,106,50,19,241,60,62,16,11,143,45,60,22,4,123,13,24,10,0,46,60,100,45,16,220,7,9,6,0,16,472,563,237,96,1375,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,6,0,0,0,6,10,5,0,0,9,4,3,0,0,10
LGA17100,20,25,7,0,49,6,3,4,0,18,22,16,0,3,43,25,18,4,3,50,24,27,3,0,54,48,40,17,9,115,98,73,24,8,209,97,102,32,13,247,285,235,80,30,629,236,214,64,23,538,199,191,38,15,445,160,199,68,20,448,215,262,109,33,617,146,261,110,46,557,191,222,103,47,559,22,15,10,5,57,1800,1904,668,262,4634,20,10,3,3,36,3,3,0,0,5,12,0,3,5,22,5,12,0,0,18,19,14,0,3,44,30,28,11,4,78,68,54,13,10,141,91,83,26,11,213,271,251,86,25,634,296,256,61,27,643,296,277,70,27,668,207,172,50,9,436,233,262,87,24,610,289,448,174,57,975,205,263,102,35,598,10,13,11,4,42,2070,2142,708,243,5164,26,16,4,4,43,3,3,0,0,9,5,12,4,0,15,5,8,0,0,9,10,11,3,4,24,29,18,8,6,57
LGA17150,30,36,9,6,77,15,14,9,4,42,36,26,11,4,83,20,28,5,3,49,42,34,9,5,95,105,72,24,12,211,192,138,50,12,396,269,302,97,35,702,1158,1112,438,118,2829,1383,1638,635,142,3804,1491,1778,614,137,4023,1246,2177,953,209,4584,1669,2786,1040,218,5714,872,1446,588,156,3064,1098,1589,836,240,3761,102,118,46,8,275,9731,13298,5368,1310,29709,27,18,13,0,61,10,10,5,0,27,26,16,9,0,48,15,0,0,4,23,36,33,6,4,79,69,50,11,7,147,114,67,24,7,210,207,147,75,16,454,904,730,279,64,1976,1172,1234,461,124,2993,1509,1800,642,139,4090,1334,1924,706,133,4095,1835,2818,1035,195,5888,1788,3489,1471,349,7094,1113,1517,705,193,3527,91,100,44,15,254,10265,13958,5488,1248,30963,41,36,3,6,82,14,9,0,0,18,14,15,10,0,34,8,7,3,0,18,22,22,7,0,50,27,27,16,5,70
LGA17200,38,16,0,0,51,11,6,0,0,15,30,16,0,0,45,33,18,4,0,57,45,20,3,0,68,99,38,5,0,144,139,64,15,6,223,171,99,28,4,307,462,234,56,15,761,435,222,42,14,717,406,234,37,8,685,594,394,73,15,1076,802,478,90,12,1376,645,441,69,7,1170,429,279,101,16,810,41,24,3,0,77,4366,2594,525,95,7580,38,19,3,0,59,9,3,0,0,20,17,17,0,0,35,22,4,0,0,24,55,20,7,0,80,59,32,10,5,103,117,46,12,4,169,128,81,11,0,225,446,196,43,11,700,471,269,42,4,787,608,337,38,10,1001,470,287,50,6,809,852,571,72,16,1508,1534,1052,197,19,2804,513,372,89,15,986,40,15,8,0,65,5377,3317,579,90,9364,38,27,3,3,74,4,0,0,0,11,11,10,0,0,18,13,5,0,0,22,20,16,4,0,43,46,26,7,4,70
LGA17310,8,7,4,0,22,7,6,0,0,9,13,16,4,0,32,4,6,3,0,20,11,10,6,5,30,63,54,31,10,151,104,77,32,16,227,163,149,57,26,394,476,476,217,81,1249,368,422,188,53,1026,284,363,122,35,807,148,181,93,34,452,133,195,82,18,425,58,47,31,13,152,300,306,162,58,826,39,41,15,3,97,2174,2336,1048,368,5925,10,11,0,3,23,5,3,0,0,9,6,4,0,0,10,0,0,0,0,3,16,11,9,11,47,17,13,9,6,41,36,45,14,16,108,104,67,35,13,221,384,362,153,55,950,370,356,175,70,971,343,426,179,61,1003,224,287,119,25,653,205,277,127,36,646,114,153,80,24,375,299,304,164,75,832,35,28,14,0,73,2152,2343,1078,395,5963,4,8,3,0,18,0,6,0,0,7,8,0,0,0,11,5,0,0,0,10,12,7,3,0,18,12,4,5,0,28
LGA17350,0,0,4,0,5,0,0,0,0,0,4,5,0,0,7,0,6,0,0,3,0,4,0,0,7,8,6,0,5,19,16,9,0,7,36,20,23,10,3,55,37,39,28,17,119,33,34,21,15,109,16,31,10,9,61,3,14,12,0,33,13,16,8,0,31,4,6,3,0,8,31,30,16,10,90,4,3,0,0,7,197,220,117,71,597,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,3,0,0,7,0,0,0,0,6,9,3,0,0,15,16,8,5,0,29,51,35,24,12,125,34,37,35,5,113,20,37,23,14,95,15,18,8,10,50,24,15,16,7,58,4,9,7,4,29,22,30,19,17,75,5,3,3,5,11,203,209,135,69,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,0,0,0,0,5
LGA17400,0,0,0,0,0,4,0,0,0,3,7,7,0,0,20,0,3,0,0,8,4,4,0,3,9,20,3,5,4,36,16,9,13,7,43,20,11,17,6,53,48,55,18,17,140,29,27,20,8,84,18,21,6,0,44,6,13,5,4,30,6,12,3,0,22,0,0,0,0,4,35,29,19,8,86,4,5,0,5,12,224,196,108,64,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,11,5,3,6,5,15,8,5,7,4,29,19,3,4,7,34,39,40,15,9,107,21,36,14,7,84,18,18,10,5,54,9,13,4,0,23,3,9,3,0,15,7,7,9,0,13,30,33,13,8,84,6,0,0,0,6,172,175,92,44,483,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,11,0,0,5,10
LGA17420,44,47,18,5,108,14,13,3,0,30,43,34,12,8,94,15,21,11,3,47,38,36,15,0,85,75,55,23,8,163,121,136,46,13,313,201,243,108,27,585,704,850,364,116,2025,909,1230,476,132,2745,891,1210,422,128,2660,973,1918,750,214,3854,1453,2305,870,165,4794,895,1529,520,159,3110,802,1276,614,205,2905,66,83,31,12,190,7239,10987,4289,1203,23713,33,39,14,10,93,14,18,4,3,39,20,17,3,0,51,10,16,5,3,33,29,37,9,0,74,70,71,27,3,174,121,86,38,9,247,165,192,53,24,436,644,710,274,74,1704,822,1019,392,111,2347,1093,1560,535,124,3316,988,1371,452,132,2945,1536,2453,870,200,5056,1777,3416,1242,347,6782,880,1305,550,182,2919,66,82,34,10,186,8272,12393,4503,1233,26401,60,31,17,5,104,9,4,0,0,26,18,14,10,0,37,13,10,3,4,26,36,32,11,0,79,59,47,11,8,121
LGA17550,15,13,3,0,31,6,7,3,0,10,34,17,8,0,61,19,18,4,6,39,23,16,13,11,52,110,76,29,12,236,177,114,64,28,383,230,235,98,38,601,723,689,300,119,1828,501,605,242,74,1424,350,409,159,51,964,229,267,108,24,631,160,221,101,29,513,52,74,37,13,173,394,430,228,94,1143,53,54,19,8,139,3075,3235,1422,494,8241,5,7,9,0,22,5,4,3,0,9,15,10,4,0,29,4,4,3,0,12,28,27,7,0,60,56,27,10,4,101,116,65,27,16,220,175,141,48,31,390,604,602,245,80,1522,561,644,244,84,1529,474,587,197,70,1336,289,412,166,37,910,275,393,147,30,845,171,252,103,24,549,367,462,210,90,1130,32,25,17,9,86,3176,3655,1443,472,8747,7,8,3,0,22,4,4,0,0,8,15,7,0,0,21,3,4,0,0,8,16,18,3,0,38,35,9,10,0,57
LGA17620,7,4,0,0,11,0,0,0,0,0,0,5,0,0,6,0,6,0,0,4,7,6,4,0,16,18,7,7,0,39,16,16,11,0,48,31,30,11,0,76,95,85,50,26,258,85,105,48,9,251,76,58,36,5,169,56,98,48,11,210,62,74,31,13,181,19,30,9,4,57,77,75,51,18,227,5,16,3,0,30,559,614,309,94,1570,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,4,5,0,10,6,9,6,0,18,9,12,3,0,21,19,17,7,4,51,85,70,37,11,198,82,88,40,18,223,75,93,68,13,242,46,79,40,10,174,51,96,33,9,194,44,60,26,7,134,65,65,48,22,196,7,7,4,0,18,499,593,313,91,1491,0,7,4,0,7,4,0,0,0,4,0,0,0,0,4,6,0,0,0,6,3,0,0,0,8,3,5,0,0,4
LGA17640,0,0,0,0,3,0,6,0,0,6,0,0,0,0,4,0,0,0,0,3,4,0,0,0,9,9,7,6,0,25,17,13,5,0,39,20,16,17,6,58,65,62,34,16,177,35,59,30,7,130,30,44,18,5,101,26,25,11,3,65,13,5,4,3,31,0,8,0,0,17,28,48,26,10,114,3,3,3,0,14,259,298,170,56,783,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,4,4,7,0,0,10,3,3,0,0,10,9,3,4,0,17,12,17,6,4,37,41,34,21,13,110,48,64,28,5,144,31,38,27,9,108,30,31,15,7,81,29,42,11,9,85,19,18,8,0,45,39,40,31,12,120,4,3,0,0,6,276,300,153,62,792,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,7
LGA17650,4,0,0,0,8,0,0,0,0,0,0,4,0,0,3,0,4,0,0,4,3,0,4,0,6,14,11,0,0,28,8,5,5,3,19,16,27,9,10,56,58,53,34,27,170,42,52,18,9,118,26,45,14,0,79,12,12,10,3,36,21,18,9,0,45,8,6,0,0,14,41,44,14,8,103,3,3,3,0,12,247,272,127,60,710,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,0,0,0,0,10,8,6,0,0,18,10,18,8,5,37,55,36,21,12,124,35,46,30,6,115,25,38,19,9,85,16,25,9,0,51,12,29,10,0,51,9,11,6,0,23,25,33,21,7,89,3,6,3,0,9,215,251,127,43,631,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
