SA4_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
111,630,106,236,25,998,274,28,73,12,390,208,44,196,13,459,156,35,355,15,561,925,98,663,36,1723,707,181,1171,45,2105,4727,368,1438,93,6628,3260,579,2052,208,6098,3575,1107,2184,197,7067,3995,1753,1909,203,7867,2265,1906,1458,146,5775,2467,2154,1225,117,5964,5418,5951,1930,215,13513,3881,5736,869,114,10599,2902,5478,516,72,8965,1668,3841,186,31,5721,3560,9807,425,41,13831,1525,3116,1220,59,5931,564,226,242,36,1061,42710,42506,18358,1678,105250
112,442,72,149,13,672,267,20,88,4,378,168,48,112,10,345,156,42,267,3,478,824,84,542,19,1475,601,146,973,33,1753,3991,334,1153,61,5542,2667,606,1546,144,4961,2869,1053,1616,148,5691,3206,1689,1329,143,6366,1663,1620,962,51,4302,1927,1708,711,58,4406,3562,3956,927,84,8526,2036,3168,410,28,5648,1306,2485,215,29,4029,670,1501,65,3,2244,1753,3400,239,27,5416,1229,2072,976,42,4320,534,227,229,16,1005,29885,24235,12498,927,67549
113,300,51,87,10,449,138,21,34,5,200,93,28,99,6,222,67,23,182,0,276,446,80,387,16,924,306,94,616,16,1037,1952,233,612,30,2822,1184,327,854,77,2451,1446,647,832,88,3015,1734,1054,666,77,3536,972,999,447,45,2464,1283,1202,389,46,2923,2325,2741,548,63,5677,1464,2289,198,20,3979,1001,1793,135,21,2947,508,1161,64,3,1739,1055,2428,97,17,3594,802,1706,454,31,2988,393,136,156,25,709,17471,17011,6847,601,41934
114,427,46,83,19,580,235,23,26,4,287,142,22,72,0,239,119,15,136,4,273,626,66,296,16,1002,468,73,520,23,1087,3022,207,619,36,3892,1908,280,846,79,3117,2195,613,865,73,3746,2423,1028,727,68,4247,1135,969,510,36,2651,1362,1119,390,26,2898,2338,2406,524,59,5330,1482,1967,246,30,3724,1016,1554,141,12,2722,535,970,72,6,1585,1565,2552,155,5,4282,767,1332,496,24,2616,373,112,109,10,598,22138,15351,6835,537,44864
115,1083,128,194,17,1419,320,31,52,10,409,183,52,78,7,320,134,44,99,3,289,658,104,161,13,932,426,169,285,8,887,1778,284,373,18,2446,1361,381,506,44,2282,1554,784,551,43,2935,1798,1224,635,48,3705,1089,1230,551,40,2915,1257,1482,527,41,3304,2647,4231,1003,64,7945,1911,4205,578,57,6756,1620,4683,421,43,6771,1118,3767,230,18,5131,3451,17544,722,47,21765,668,2369,516,15,3571,292,302,82,11,682,23351,43013,7550,547,74456
116,1313,261,402,37,2016,218,55,91,9,374,181,90,229,13,513,170,111,404,11,698,724,250,761,38,1770,512,383,1168,47,2120,2835,836,1302,79,5053,1609,1186,1661,152,4599,1775,2124,1689,149,5736,2084,3159,1751,188,7185,1400,3185,1209,139,5933,1510,3311,1123,133,6074,3646,9013,1916,274,14844,2536,7633,924,148,11249,1880,7039,620,80,9618,1223,4933,302,55,6519,2101,12084,563,73,14819,801,3106,922,83,4913,429,502,320,37,1290,26949,59253,17358,1742,105312
117,803,137,274,95,1302,191,22,64,19,299,133,31,120,20,309,125,33,192,22,369,481,98,345,46,973,359,139,415,57,968,1501,269,517,76,2364,1114,359,747,166,2381,1458,666,732,200,3051,1994,873,737,225,3829,1554,797,626,153,3130,1855,900,572,152,3480,5092,2209,1175,320,8804,4536,1897,413,192,7037,4004,2220,416,137,6782,3272,1757,137,91,5255,12623,9498,787,199,23104,1491,1022,532,50,3098,329,148,110,35,619,42915,23078,8917,2259,77158
118,457,103,199,29,798,157,15,47,7,223,112,26,90,12,238,70,30,133,3,238,356,39,223,21,636,238,84,299,38,657,1051,148,402,38,1643,797,192,543,71,1603,1018,372,679,119,2186,1378,530,613,103,2623,856,554,554,72,2035,1236,657,528,100,2520,2925,1881,1101,160,6062,2563,1874,424,128,4987,2465,2104,465,90,5114,1983,1733,172,37,3929,8889,15477,1212,126,25701,946,1837,644,33,3463,347,233,100,16,693,27848,27879,8434,1193,65351
119,2214,715,854,82,3861,550,148,171,21,890,437,260,426,36,1161,345,285,644,25,1302,1738,639,1098,63,3539,1101,1045,1565,92,3801,5993,1997,1933,146,10072,3256,2671,2356,315,8600,3396,4211,2605,334,10542,4014,5273,2507,416,12215,2427,4354,1908,259,8944,2827,4621,1587,256,9290,5964,9925,2849,461,19205,3899,7975,1502,324,13696,2883,6936,962,157,10931,1853,4930,506,82,7366,4202,15547,1101,173,21023,1574,4185,1409,113,7277,790,821,420,60,2088,49457,76527,26401,3420,155806
120,889,143,329,46,1409,263,40,81,10,399,159,61,138,20,383,136,63,202,17,422,609,120,293,32,1061,438,206,458,45,1151,1998,324,520,69,2908,1255,506,774,133,2668,1732,931,894,141,3700,2147,1214,875,228,4468,1380,1169,802,149,3496,1631,1332,672,145,3785,3918,3337,1446,276,8978,3022,2916,594,175,6713,2679,3117,560,115,6465,2063,2512,221,62,4859,7118,15393,1057,143,23705,1056,1725,643,50,3473,307,233,129,31,696,32804,35343,10702,1894,80741
121,1204,265,550,36,2059,395,60,130,8,595,249,80,164,15,514,127,75,228,26,455,798,130,328,34,1289,564,210,495,38,1298,1782,364,563,46,2760,1543,509,757,82,2890,2071,953,1027,112,4170,2605,1286,1027,155,5074,1757,1350,958,113,4176,2201,1517,877,101,4697,4889,4298,1907,198,11296,3913,3833,777,151,8670,3649,4765,759,122,9300,2718,3771,295,76,6852,12285,30941,1914,157,45299,1319,3299,892,55,5560,390,337,108,24,859,44467,58046,13763,1542,117818
122,443,89,139,3,676,190,18,34,6,244,116,32,69,8,224,83,23,101,9,214,440,55,169,22,685,331,81,281,20,713,1451,166,377,22,2013,1125,225,533,51,1940,1626,456,683,51,2817,1953,716,748,76,3499,1255,834,693,57,2839,1478,1005,633,56,3179,3192,2788,1217,127,7325,2537,2980,538,65,6127,2116,3316,458,36,5921,1507,2652,196,18,4370,6056,18278,938,44,25312,821,2219,675,28,3739,277,207,104,13,605,26993,36150,8589,713,72448
123,648,161,275,20,1114,173,48,64,9,284,138,86,159,10,386,166,54,315,11,551,581,156,601,29,1369,462,273,1045,24,1807,2615,565,1127,50,4362,1634,853,1451,106,4050,1695,1602,1557,110,4963,2048,2277,1320,116,5760,1308,2404,1071,60,4845,1447,2505,925,96,4979,3279,6356,1514,154,11307,2261,5475,761,99,8592,1729,4550,488,58,6819,945,3139,209,19,4311,1696,7439,406,38,9577,717,2441,804,44,4003,357,346,266,28,989,23900,40734,14360,1079,80068
124,641,150,242,17,1048,201,29,76,6,319,171,45,175,11,397,140,35,313,10,504,652,101,638,24,1417,487,177,1109,28,1799,2881,375,1333,59,4643,2024,650,1563,127,4357,2307,1227,1761,123,5412,2721,1996,1664,147,6533,1759,2165,1247,86,5261,1886,2501,1106,101,5599,4284,6255,1855,178,12566,3227,5568,910,111,9809,2272,5062,553,54,7941,1334,3609,259,29,5236,2441,8542,498,42,11518,991,2443,943,53,4433,384,311,234,17,946,30798,41242,16474,1237,89750
125,1746,627,682,71,3116,415,100,141,17,671,314,244,308,28,892,302,208,468,26,1005,1249,568,787,65,2670,825,793,1196,62,2869,3924,1644,1315,125,7013,2345,2243,1679,205,6473,2687,3500,1808,258,8254,3239,4324,1712,338,9616,2090,3811,1361,228,7501,2202,3864,1139,215,7417,5087,8834,2012,403,16332,3335,6502,1095,256,11195,2454,6127,684,121,9388,1601,4175,344,74,6196,3295,11985,750,120,16149,1294,3327,944,117,5676,621,700,304,57,1680,39015,63568,18729,2797,124115
126,841,128,257,38,1263,239,38,56,16,341,143,56,95,10,303,111,40,129,7,290,547,125,179,14,861,322,162,282,24,795,1282,270,372,45,1975,946,454,459,81,1940,1174,703,561,82,2516,1420,1003,567,104,3096,926,971,459,71,2421,1059,1039,401,69,2572,2530,2903,874,140,6446,2003,2463,418,101,4993,1602,2631,325,51,4605,1104,2146,164,36,3448,3385,10637,522,67,14607,635,1366,376,25,2399,207,187,58,14,464,20484,27323,6544,1000,55344
127,1462,797,870,49,3178,289,103,136,26,552,227,255,363,27,885,260,264,678,33,1237,1097,744,1100,74,3012,747,940,1556,54,3303,4757,2103,1846,126,8831,2349,2656,2379,281,7669,2078,3930,2522,232,8755,2370,4707,2293,242,9617,1418,4142,1669,164,7390,1550,4310,1454,146,7465,3362,9112,2355,260,15094,2417,7356,1292,164,11226,1598,6155,783,76,8613,1018,4151,445,51,5668,1736,9790,739,66,12331,940,3533,1179,73,5725,584,754,427,59,1821,30284,65806,24087,2201,122374
128,509,82,106,7,709,232,18,26,4,285,119,34,67,7,224,66,18,106,7,198,526,50,203,14,793,382,70,347,12,810,1718,144,422,26,2309,1309,240,650,56,2251,1747,440,736,65,2978,1990,769,787,63,3608,1118,877,660,46,2696,1324,1068,608,48,3045,2794,3212,1177,98,7282,2232,3424,607,69,6325,1893,3809,439,49,6185,1309,3140,207,21,4675,3472,12458,550,38,16514,664,1847,608,21,3145,253,196,80,5,539,23653,31884,8386,651,64570
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
