SA4_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
111,1700,1750,1002,560,739,358,174,6282,1229,1311,751,500,618,238,84,4729,1384,1383,765,455,515,203,99,4801,12875,13021,7462,4826,5920,2288,1068,47459,55,54,30,17,11,0,0,168,17233,17529,10009,6361,7801,3088,1428,63438,98,166,155,107,154,71,49,800,252,365,262,199,244,78,45,1450,101,193,170,123,161,55,26,838,2398,3672,2525,1883,2083,643,318,13523,82,82,36,38,22,6,0,268,2931,4485,3153,2351,2665,858,447,16876,20155,22010,13157,8712,10467,3940,1875,80315
112,732,834,500,313,377,111,39,2910,886,979,609,404,461,104,45,3485,1006,1047,595,379,398,83,23,3532,6617,7316,4673,3011,3433,887,285,26226,45,67,37,29,10,3,0,187,9286,10245,6411,4139,4680,1189,396,36342,49,125,103,99,129,24,16,543,178,320,270,211,277,61,16,1329,102,231,199,134,150,23,15,849,1514,2204,1670,1259,1422,288,118,8478,95,76,63,38,21,7,0,302,1935,2961,2309,1745,1998,397,162,11502,11226,13201,8714,5879,6674,1591,564,47844
113,1101,1100,563,327,437,184,66,3774,328,319,188,132,141,28,0,1147,361,337,146,95,110,26,10,1078,5906,5930,3706,2374,2771,593,180,21458,42,25,13,11,16,0,0,101,7730,7701,4619,2934,3471,832,259,27555,78,118,86,47,73,27,12,437,108,135,87,52,52,9,6,445,29,41,51,38,40,10,5,204,1450,1827,1167,837,856,149,40,6326,72,63,40,16,15,0,0,205,1728,2184,1429,980,1033,206,62,7621,9465,9885,6045,3922,4503,1034,318,35175
114,504,480,266,156,214,73,26,1724,367,466,342,225,261,85,27,1773,485,541,295,215,258,63,31,1890,4821,4807,2966,1969,2299,574,186,17626,30,33,8,10,5,0,4,96,6205,6331,3880,2583,3042,796,270,23107,19,34,32,28,46,21,3,184,76,131,113,81,121,19,15,571,29,73,60,46,62,16,12,291,1004,1435,1026,764,782,167,67,5256,51,50,30,13,4,0,0,149,1184,1718,1258,936,1015,228,100,6445,7387,8046,5140,3520,4060,1031,368,29553
115,5681,8437,4810,2858,3516,2531,1586,29424,1001,1260,827,575,777,418,196,5058,1172,1320,777,471,635,353,159,4891,5359,6174,4255,2974,3854,1934,878,25426,55,62,25,18,11,9,5,195,13270,17254,10694,6896,8798,5246,2833,64985,167,429,365,256,382,297,222,2119,93,144,126,119,154,82,32,746,69,120,101,80,94,58,41,562,437,705,572,465,648,288,119,3235,24,23,11,13,5,3,0,87,800,1418,1175,930,1289,730,410,6753,14074,18676,11864,7823,10084,5980,3241,71745
116,15397,16582,8892,5111,6318,4175,2408,58881,1880,1603,863,554,655,258,125,5933,1594,1382,726,429,500,224,81,4937,6029,5644,3162,2074,2467,984,376,20736,117,108,59,44,21,3,10,363,25019,25310,13696,8211,9965,5642,3000,90839,783,1184,965,701,955,612,403,5605,482,580,337,271,280,99,54,2100,215,325,204,154,176,82,41,1187,1992,2367,1494,1081,1108,306,158,8512,143,147,89,68,47,11,4,509,3606,4607,3097,2276,2569,1105,658,17911,28618,29914,16795,10488,12534,6748,3651,108756
117,4802,3076,1411,788,1018,681,386,12152,1466,1032,593,339,412,200,93,4135,1684,1090,551,322,385,176,81,4284,3605,2601,1505,977,1187,580,260,10720,51,40,15,8,5,6,0,118,11606,7830,4079,2434,3010,1627,823,31415,330,426,307,256,360,324,237,2250,162,234,191,119,201,88,48,1044,131,198,141,90,146,87,47,846,412,615,454,304,417,216,105,2524,43,47,21,25,23,3,0,162,1075,1520,1113,802,1152,714,441,6815,12684,9353,5192,3233,4162,2346,1262,38237
118,3780,3508,1992,1224,1516,1013,610,13643,1769,1575,997,615,801,391,207,6347,1759,1699,979,593,747,379,190,6361,4292,3933,2460,1618,2178,1204,654,16333,41,35,21,14,15,3,0,123,11646,10744,6447,4066,5253,3001,1663,42809,179,386,306,259,371,235,161,1898,141,307,231,178,243,112,59,1279,98,225,184,112,157,79,53,909,320,571,451,374,513,295,143,2675,45,52,21,11,18,10,4,158,788,1540,1202,933,1299,736,425,6923,12429,12293,7640,4994,6551,3735,2090,49732
119,14876,14518,7608,4847,6654,4965,3188,56650,3461,3415,2154,1376,1750,1003,436,13597,3132,2857,1592,951,1148,586,280,10549,9024,8201,4928,3140,4024,2163,976,32450,183,197,71,47,22,22,7,557,30679,29185,16360,10360,13595,8734,4881,113798,1236,1985,1495,1101,1748,1350,952,9863,618,918,630,455,566,291,185,3671,372,505,394,285,354,156,96,2156,1462,1700,1074,802,1015,459,249,6768,160,187,111,60,55,23,8,595,3850,5286,3703,2710,3738,2269,1489,23048,34534,34473,20061,13071,17330,11006,6373,136844
120,5287,4979,2540,1501,1840,1443,891,18478,1724,1647,964,621,828,446,207,6439,1802,1520,878,517,649,403,175,5933,5054,4568,2912,1891,2515,1438,669,19047,65,65,20,10,11,5,0,164,13922,12771,7307,4539,5843,3735,1938,50062,279,594,496,333,550,480,337,3073,138,284,216,159,223,143,65,1226,101,181,154,116,166,93,67,875,362,600,498,373,497,300,130,2754,37,35,15,13,21,7,3,138,922,1703,1382,989,1457,1023,603,8076,14845,14476,8690,5526,7295,4755,2540,58135
121,8682,11421,6049,3547,4302,2784,1624,38409,2108,2283,1553,1031,1424,827,432,9649,2645,2899,1713,1074,1363,761,412,10874,6136,6628,4535,3277,4591,2913,1382,29462,66,77,31,15,12,3,8,214,19632,23311,13886,8942,11688,7293,3862,88616,386,1180,890,628,1040,723,448,5298,175,325,243,212,271,192,136,1553,139,289,241,193,258,179,105,1406,359,681,657,512,794,465,246,3717,40,60,16,15,13,6,5,157,1097,2538,2046,1568,2374,1563,942,12130,20733,25842,15933,10511,14068,8860,4807,100751
122,3205,3793,2397,1523,1834,1067,540,14349,1765,2003,1303,907,1153,524,258,7907,1887,2124,1322,841,1032,470,229,7904,5914,6199,4070,2822,3699,1998,896,25607,39,36,10,10,11,3,4,116,12805,14160,9098,6098,7733,4054,1932,55888,126,234,254,244,309,152,113,1433,148,281,246,199,264,105,63,1305,106,220,186,151,194,81,60,1000,335,639,554,476,685,384,206,3280,32,27,10,8,3,4,4,92,748,1402,1252,1075,1459,733,441,7111,13561,15564,10349,7182,9194,4785,2376,62996
123,5728,6257,3295,2028,2549,1572,907,22346,1438,1416,819,556,660,285,114,5293,1271,1235,682,433,513,224,101,4459,9135,8214,4721,3037,3522,1302,486,30422,90,99,58,31,25,10,5,313,17669,17227,9577,6084,7269,3389,1616,62834,326,566,406,327,423,239,168,2445,418,519,309,236,290,83,51,1905,191,266,180,130,157,76,32,1026,2168,2683,1697,1212,1310,353,159,9587,102,127,82,49,33,4,0,403,3196,4159,2675,1944,2206,761,411,15362,20865,21387,12255,8036,9480,4147,2027,78192
124,3484,3714,2027,1263,1612,944,500,13541,1436,1499,947,657,780,307,141,5761,1308,1275,760,496,592,263,108,4804,11181,10201,5950,3827,4643,1607,701,38098,69,77,34,37,10,3,0,228,17473,16762,9721,6272,7629,3118,1450,62438,266,379,270,200,284,164,107,1664,354,453,314,262,259,118,58,1817,140,268,221,159,187,75,32,1078,2443,3199,2011,1302,1649,459,198,11249,96,126,64,35,20,0,3,347,3299,4428,2880,1952,2393,809,398,16162,20769,21191,12598,8229,10026,3935,1856,78596
125,17657,17576,9007,5022,6346,4571,2942,63122,2607,2370,1459,907,1151,562,213,9264,2117,1808,1029,573,671,334,145,6682,5493,4589,2566,1698,2025,990,460,17817,190,180,74,43,18,10,6,521,28062,26526,14137,8239,10215,6463,3766,97406,1125,1911,1313,970,1484,1100,769,8671,434,663,356,279,337,156,69,2294,232,348,210,166,221,101,50,1333,938,1057,652,484,623,259,122,4136,138,143,89,59,46,18,6,495,2876,4120,2616,1957,2711,1639,1021,16930,30934,30644,16749,10195,12923,8100,4787,114335
126,5499,6293,3049,1697,1995,1518,1016,21069,825,792,483,348,521,288,134,3391,1028,983,560,360,433,239,144,3741,2307,2518,1696,1241,1733,1105,543,11136,40,50,22,7,7,3,3,138,9699,10643,5810,3649,4687,3151,1835,39472,296,606,424,303,483,360,277,2743,73,105,87,67,118,58,33,536,70,116,86,68,80,56,23,502,147,292,245,194,244,147,92,1362,22,15,12,9,6,0,3,78,616,1133,859,644,929,619,420,5218,10313,11777,6670,4289,5611,3770,2258,44697
127,13441,15432,9305,6384,8435,5749,3469,62217,2637,2298,1182,789,992,475,232,8605,2375,1991,1006,599,668,315,154,7109,7414,5832,3075,1945,2352,1021,478,22116,151,194,104,50,36,14,20,558,26015,25736,14665,9777,12477,7578,4346,100598,1519,2670,2002,1629,2297,1505,926,12547,549,781,454,321,359,140,67,2670,336,448,288,178,242,104,42,1643,1585,1738,1052,683,819,282,132,6291,222,261,114,92,93,52,18,847,4208,5896,3913,2901,3811,2085,1190,23999,30228,31637,18579,12679,16283,9664,5533,124602
128,1713,1811,955,627,805,528,339,6783,1099,1315,785,524,722,379,169,4992,1385,1347,758,470,599,327,124,5014,7711,7667,4738,3242,4149,2044,926,30488,37,29,14,15,8,0,0,100,11938,12171,7249,4887,6280,3282,1568,47372,95,188,150,120,167,99,58,878,121,227,165,134,179,96,53,971,66,159,116,109,147,76,40,708,510,994,764,574,787,358,195,4187,18,28,14,16,15,7,0,91,804,1588,1206,953,1292,637,348,6834,12744,13761,8453,5842,7573,3916,1910,54200
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
