SA4_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
113,102,4706,344,5153,644,9677,824,11141,189,4790,413,5390,187,4391,520,5102,278,9230,1062,10566,214,8287,947,9448,337,8356,908,9598,524,8864,732,10113,783,7101,595,8481,746,3646,383,4772,649,802,145,1594,4651,69852,6854,81361,61,4667,330,5056,330,9522,795,10644,145,4596,336,5079,123,4458,351,4933,217,9502,668,10387,229,8739,638,9604,423,8716,611,9751,553,9149,612,10311,777,7268,514,8555,1068,3883,370,5323,1403,1031,226,2660,5323,71520,5455,82302,164,9378,672,10215,972,19195,1619,21787,329,9383,752,10463,311,8852,870,10028,497,18737,1730,20957,444,17022,1585,19057,757,17072,1518,19343,1078,18009,1343,20423,1558,14368,1112,17036,1814,7527,752,10095,2050,1835,369,4250,9972,141376,12313,163656
114,81,3760,260,4095,636,7998,628,9255,232,3823,286,4342,172,3111,327,3604,291,6835,763,7883,266,7066,742,8073,361,8143,697,9197,687,9783,628,11094,1003,10348,569,11921,1118,5744,409,7274,790,1176,199,2168,5631,67779,5509,78909,59,3585,254,3897,284,7992,570,8845,159,3646,269,4072,99,2975,213,3294,204,7191,477,7874,251,7618,509,8377,438,8880,503,9816,680,10922,575,12184,977,11412,533,12922,1448,5825,454,7720,1485,1282,332,3093,6081,71332,4679,82094,142,7344,511,7999,920,15984,1196,18105,392,7470,555,8411,266,6087,537,6898,498,14020,1239,15749,517,14684,1250,16449,799,17023,1196,19016,1371,20704,1203,23275,1981,21765,1103,24844,2559,11571,863,14997,2275,2453,535,5266,11712,139109,10191,161006
115,116,7079,231,7422,663,19285,604,20547,258,9014,275,9541,182,7858,229,8268,263,11957,417,12638,229,17960,551,18740,280,17599,519,18399,363,14517,379,15257,700,10660,367,11728,941,5041,292,6282,803,935,261,2000,4797,121917,4127,130838,62,6780,213,7055,325,18093,524,18946,164,8360,211,8733,114,7128,181,7423,161,12633,444,13243,219,19677,576,20478,318,18568,477,19362,522,14945,414,15885,895,11281,377,12546,1394,5123,328,6844,1627,986,405,3020,5803,123575,4157,133529,174,13859,444,14477,986,37374,1126,39492,417,17369,486,18272,295,14986,408,15695,424,24595,859,25876,449,37644,1130,39217,597,36172,994,37757,886,29460,799,31141,1594,21938,743,24274,2337,10165,626,13127,2437,1928,668,5023,10598,245487,8283,264371
116,311,14263,1009,15582,1572,27580,1991,31144,533,11387,797,12713,358,12549,1094,14003,521,26243,2479,29238,554,31652,2156,34363,769,21926,1426,24114,1242,16477,960,18686,1703,10538,608,12850,1551,3926,364,5840,830,586,148,1569,9935,177131,13038,200107,151,13604,963,14713,731,26984,1926,29637,257,10874,669,11798,232,11684,761,12680,436,28588,1954,30979,584,31493,1885,33967,990,21642,1199,23831,1504,17046,864,19412,2274,11435,696,14402,2331,3972,406,6700,1753,697,324,2770,11247,178011,11636,200894,461,27867,1974,30296,2295,54566,3918,60788,786,22263,1463,24508,594,24237,1852,26679,957,54834,4428,60222,1142,63151,4040,68328,1762,43560,2626,47949,2742,33524,1831,38101,3973,21973,1307,27249,3880,7890,765,12543,2586,1277,473,4339,21177,355144,24675,400997
117,80,6602,359,7039,384,8930,584,9904,154,4540,296,4990,133,13794,1196,15119,266,45034,3432,48734,325,29332,2078,31732,473,18699,1386,20560,686,13790,1145,15617,861,8509,739,10108,1097,3587,450,5139,739,662,163,1566,5198,153474,11836,170509,33,6189,340,6556,172,8654,500,9328,84,4807,294,5183,119,14779,1137,16034,302,43796,2984,47081,354,25492,1592,27437,450,16158,936,17551,725,12185,762,13673,1036,8495,584,10113,1541,3595,444,5585,1273,721,304,2297,6088,144872,9874,160839,111,12783,700,13593,560,17588,1084,19229,236,9350,588,10170,248,28572,2331,31157,571,88838,6413,95819,679,54819,3669,59167,922,34863,2325,38106,1413,25974,1905,29296,1896,17004,1322,20220,2642,7180,903,10722,2010,1387,467,3864,11278,298348,21716,331340
118,71,6390,319,6777,346,12634,613,13598,107,5937,344,6387,104,7038,563,7711,141,21802,1765,23714,166,18020,1318,19508,256,15296,981,16525,327,12047,769,13135,551,8855,563,9967,914,4811,483,6207,889,1210,464,2553,3871,114030,8180,126084,38,6130,318,6484,180,12393,589,13156,87,5680,281,6050,74,7843,454,8369,172,24919,1534,26626,173,19258,1044,20477,270,16445,790,17501,435,12769,551,13750,705,10040,551,11289,1454,5591,594,7641,1678,1392,910,3986,5261,122454,7616,135328,110,12513,638,13267,529,25028,1202,26754,198,11614,631,12440,181,14886,1015,16077,316,46722,3297,50336,342,37273,2367,39986,520,31741,1771,34027,763,24810,1315,26890,1252,18895,1110,21255,2368,10405,1078,13846,2569,2599,1372,6538,9136,236478,15796,261410
119,297,17427,1357,19082,1562,33107,2505,37176,566,15955,1016,17534,431,20460,1518,22407,703,44768,3588,49056,757,38684,2774,42209,1091,32881,2006,35979,2082,29710,1833,33625,2987,19968,1353,24305,3586,9580,1097,14268,2841,2307,814,5962,16905,264849,19858,301606,134,16311,1230,17677,643,31964,2244,34848,279,14945,904,16132,264,18810,1250,20323,578,43618,3231,47425,765,38846,2611,42217,1365,34940,2049,38350,2558,30868,1688,35109,3857,21038,1349,26240,5368,9757,1227,16349,4812,2475,1547,8839,20611,263567,19328,303505,431,33740,2592,36759,2207,65067,4754,72027,845,30900,1918,33668,691,39270,2768,42735,1278,88386,6819,96482,1520,77527,5382,84427,2450,67823,4056,74330,4641,60578,3517,68740,6846,41005,2696,50540,8951,19335,2328,30611,7656,4782,2361,14802,37518,528418,39190,605118
120,86,7580,333,8005,486,14072,638,15195,154,6446,274,6876,119,10771,735,11632,240,26592,1634,28465,260,21688,1079,23027,353,17463,748,18562,531,14812,650,15994,940,10092,517,11551,1416,4699,391,6502,1397,1051,252,2701,5976,135264,7263,148502,37,7223,327,7583,238,14200,578,15010,104,6313,237,6655,120,10157,551,10827,253,26907,1529,28691,244,22234,972,23454,373,19649,757,20774,658,16341,609,17608,1300,11657,497,13458,2324,5144,436,7902,2553,1225,519,4294,8200,141056,7017,156267,127,14804,662,15584,723,28271,1216,30206,255,12756,509,13528,239,20931,1290,22463,495,53498,3162,57158,507,43922,2053,46480,722,37111,1504,39339,1187,31149,1264,33603,2238,21753,1016,25007,3738,9845,825,14410,3945,2278,777,7002,14180,276319,14279,304771
121,117,10690,385,11192,749,26480,764,27991,247,11949,343,12543,171,10844,359,11377,279,23647,987,24907,250,30040,1073,31365,374,27470,852,28692,474,22058,731,23257,798,16278,611,17682,1429,9120,448,11000,1610,2235,316,4163,6499,190817,6864,204179,75,10078,343,10490,388,25433,700,26520,168,11255,319,11740,161,10441,328,10928,255,26129,1051,27434,304,33674,1116,35097,376,30651,883,31910,632,23908,710,25256,1184,18840,694,20721,2213,10228,657,13097,3285,2693,704,6679,9031,203335,7504,219868,187,20773,722,21684,1133,51913,1467,54512,413,23207,668,24286,334,21278,687,22306,529,49779,2036,52341,554,63719,2182,66457,745,58125,1735,60609,1107,45968,1443,48514,1984,35114,1305,38403,3640,19352,1105,24095,4894,4929,1015,10839,15527,394155,14365,424045
122,69,6927,239,7237,497,16786,543,17828,172,8011,271,8455,133,6789,254,7175,159,13280,594,14025,165,16179,639,16976,244,18490,641,19374,351,15135,552,16041,551,10534,433,11509,1004,6206,351,7559,1053,1462,231,2746,4398,119791,4740,128929,44,6656,227,6930,221,15978,534,16735,122,7450,237,7811,92,6242,228,6568,128,14096,623,14847,186,17717,631,18526,283,19698,651,20634,375,15553,511,16436,646,11638,415,12706,1467,7013,461,8939,2194,1865,434,4499,5756,123912,4959,134623,116,13591,466,14169,719,32764,1081,34559,299,15465,503,16263,229,13025,489,13740,284,27372,1216,28875,344,33891,1263,35504,526,38189,1292,40004,728,30684,1062,32479,1192,22172,850,24219,2469,13219,809,16501,3247,3328,668,7243,10154,243699,9696,263554
123,266,10336,640,11249,1628,19766,1271,22668,538,8870,515,9924,321,8721,489,9528,506,18040,1059,19609,469,19604,1135,21206,619,16588,917,18125,911,13861,677,15445,1362,9835,510,11703,1178,3821,419,5419,570,573,161,1305,8361,130012,7796,146172,140,10027,640,10807,777,19545,1306,21623,294,8618,473,9383,208,8361,456,9020,416,20017,1167,21602,483,20489,1120,22092,810,16934,819,18559,1237,14890,677,16806,1656,10550,548,12758,1715,3874,504,6100,1258,712,403,2372,9001,134015,8110,151122,410,20364,1282,22056,2407,39304,2578,44287,834,17485,982,19300,532,17079,942,18548,923,38061,2223,41205,953,40090,2256,43295,1429,33526,1737,36693,2148,28745,1351,32242,3017,20387,1060,24464,2899,7695,923,11516,1822,1288,568,3676,17359,264026,15904,297292
