region_id,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL122082,0,0,0,0,0,0,0,0,0,0,3,3,9,9,18,10,0,0,0,52,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,3,3,3,0,0,0,12,0,0,3,0,0,3,0,0,0,6,6,3,0,0,3,6,0,0,0,18,0,0,0,6,3,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,3,0,0,0,9,0,0,3,0,6,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0
UCL122083,0,0,0,0,0,0,3,0,0,3,3,0,0,6,3,12,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
UCL122084,0,0,0,4,0,0,0,0,0,4,0,0,17,23,16,17,5,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,8,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,0,0,6,0,0,0,0,0,0,6,3,0,0,0,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,8,0,0,0,6,5,9,0,0,0,20,0,0,3,13,7,0,5,0,0,28,0,0,0,5,0,3,0,0,0,8
UCL122085,0,0,0,0,0,0,0,0,0,0,0,7,23,18,32,18,0,0,0,98,0,0,0,0,3,0,0,0,0,3,0,3,4,3,11,3,0,0,0,24,0,3,6,9,0,3,0,0,0,21,0,0,6,3,0,0,0,0,0,9,0,0,4,6,0,3,0,0,0,13,0,0,0,5,0,0,0,0,0,5,6,4,3,3,6,3,3,0,0,28,0,0,8,0,9,0,0,0,0,17,0,0,0,0,9,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,12,0,0,0,0,3,6,0,0,0,9,0,3,0,6,0,0,0,0,0,9,0,0,3,4,10,6,3,0,0,26,0,3,3,3,4,6,0,0,0,19,0,0,0,0,0,3,3,0,0,6
UCL122086,0,0,0,0,0,0,0,0,0,0,3,5,22,21,24,16,12,0,0,103,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9,3,8,27,12,21,14,14,0,0,99,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,0,0,3,4,6,3,0,0,16,0,3,8,9,8,3,4,0,0,35,0,0,0,7,4,3,0,0,0,14,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3
UCL122087,0,0,0,3,0,0,0,0,0,3,4,15,20,18,30,12,6,0,0,105,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,4,0,6,10,0,0,0,23,0,0,0,0,3,3,0,0,0,6,3,3,0,7,4,0,0,0,0,17,0,3,0,4,6,3,0,0,0,16,8,6,5,5,4,0,0,0,0,28,3,0,0,3,0,0,6,0,0,12,0,3,3,10,10,3,0,0,0,29,0,0,0,0,0,6,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,5,0,0,0,3,0,0,8,0,3,0,0,3,0,0,0,0,6,0,3,3,3,3,3,0,0,0,15,0,3,3,4,3,6,3,0,0,22,0,3,4,0,10,0,0,0,0,17,4,0,0,0,0,0,0,0,0,4
UCL122088,3,0,0,0,0,3,0,0,0,6,3,3,0,8,14,13,0,0,0,41,0,3,0,0,0,3,3,0,0,9,0,3,0,0,5,4,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0
UCL122089,0,0,0,0,0,0,0,0,0,0,4,3,8,11,9,12,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,4,0,0,0,16,0,0,0,0,3,0,0,0,0,3,0,0,0,9,7,0,0,0,0,16,4,0,0,0,3,3,0,0,0,10,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,6,0,0,0,0,0,9,3,0,0,3,0,3,0,0,0,9,0,0,0,3,0,4,0,0,0,7,0,0,0,4,0,3,0,0,0,7,0,0,0,6,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0
UCL122090,0,0,0,0,0,0,0,0,0,0,4,9,18,23,17,9,3,0,0,83,0,0,0,3,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,11,18,18,18,0,0,0,68,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,4,0,6,10,0,3,0,0,0,23,0,0,0,0,4,5,0,0,0,9,0,0,0,0,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,3,3,0,3,0,3,0,0,12,0,3,6,5,7,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0
UCL122091,0,0,0,0,0,0,3,0,0,3,6,0,3,3,0,9,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,3,0,3,0,3,0,0,0,0,9,3,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0
UCL122092,0,0,0,0,0,0,0,0,0,0,7,3,12,18,29,13,3,0,0,85,0,0,0,0,0,0,0,0,0,0,3,0,3,9,16,4,0,0,0,35,3,0,0,0,3,0,0,0,0,6,0,0,0,3,4,0,3,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,6,3,0,0,6,6,0,0,0,0,15,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,6,0,0,3,0,7,3,0,0,0,13,0,0,6,7,5,3,0,0,0,21,0,3,3,5,7,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0
UCL122093,0,0,0,0,0,0,0,0,0,0,0,9,8,12,16,6,0,0,0,51,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,6,0,3,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,3,0,3,0,4,3,0,0,0,0,10,4,3,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,3,7,0,0,0,13,0,0,0,3,0,5,0,0,0,8,4,3,3,0,3,3,0,0,0,16
UCL122094,0,0,0,0,0,0,0,0,0,0,4,0,3,5,15,9,3,0,0,39,0,3,3,0,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,3,0,0,0,0,7,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,3,0,6,0,3,0,0,12,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3
UCL122095,0,0,0,0,3,0,0,0,0,3,0,7,15,14,19,12,0,0,0,67,0,3,4,0,3,5,0,0,0,15,0,3,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,12,3,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,0,0,19,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,6,6,3,0,0,0,15,0,4,13,6,3,0,0,0,0,26,0,3,8,0,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0
UCL122096,0,0,0,0,0,0,0,0,0,0,0,0,7,18,15,9,3,0,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,12,4,0,3,0,3,0,0,0,0,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,3,0,0,0,9,0,0,0,3,3,0,3,0,0,9,0,0,4,3,8,6,0,0,0,21,0,0,0,6,0,0,0,0,0,6
UCL122097,0,0,0,0,0,0,0,0,0,0,6,6,9,19,12,6,6,0,0,64,0,0,0,3,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,3,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,0,3,3,0,3,0,0,0,0,9,0,3,0,7,3,0,0,0,0,13,3,0,0,3,3,0,0,0,0,9,0,0,3,3,0,3,3,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,9,0,0,0,0,0,6,0,0,0,6,6,3,3,3,3,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0
UCL122098,0,0,0,0,0,0,0,0,0,0,0,7,8,33,20,20,4,0,0,92,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,16,0,4,0,0,0,0,0,0,0,4,4,0,7,11,8,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,4,0,0,16,0,0,4,10,3,0,0,0,0,17,0,0,4,11,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,7,0,0,0,25,0,0,0,0,5,0,0,0,0,5,0,0,0,8,4,7,0,0,0,19,0,0,0,0,8,12,0,0,0,20,0,4,5,4,6,5,4,0,0,28,0,0,0,0,0,0,0,0,0,0
UCL122099,0,0,0,0,0,0,0,0,0,0,6,4,12,13,20,0,0,0,0,55,3,4,8,6,0,5,0,0,0,26,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,3,3,3,0,0,0,9,4,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,3,3,0,0,0,0,0,6,3,0,0,0,4,0,0,0,0,7,0,0,3,0,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,3,0,0,0,26,0,0,6,0,0,0,0,0,0,6,3,0,3,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
UCL122100,0,0,0,0,0,0,0,0,0,0,5,8,4,19,19,15,3,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,12,0,0,3,3,3,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,3,0,0,0,22,0,0,3,0,0,0,0,0,0,3,5,3,0,3,3,6,3,0,0,23,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,7,0,0,0,7,10,6,0,0,0,23,0,5,7,3,4,3,0,0,0,22,0,0,0,3,0,0,0,0,0,3
UCL122101,0,0,0,3,0,0,0,0,0,3,3,15,21,20,21,15,6,0,0,101,3,3,13,12,13,0,3,0,0,47,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,3,3,3,0,0,0,0,9,0,3,3,3,3,3,0,0,0,15,0,0,0,3,3,3,3,0,0,12,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,6,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,3,0,0,24,0,3,6,8,3,6,0,0,0,26,3,3,5,6,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0
UCL122102,0,0,0,0,0,0,0,0,0,0,9,6,0,17,19,14,0,0,0,65,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,6,8,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,3,0,0,0,14,3,0,0,0,0,4,0,0,0,7,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,3,5,0,0,0,11,0,0,0,3,3,3,3,0,0,12,0,0,0,0,8,4,0,0,0,12,3,0,0,0,0,4,0,0,0,7
UCL122103,0,0,3,0,0,0,0,0,0,3,0,3,15,9,14,6,0,0,0,47,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,3,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,3,6,0,0,0,0,12,0,0,3,3,6,0,0,0,0,12,0,0,3,6,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0
UCL122104,0,0,0,0,0,0,4,0,0,4,9,3,11,10,13,9,7,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,3,4,8,0,6,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,0,0,4,0,0,0,0,0,4,5,0,8,3,0,0,0,0,0,16,4,3,3,0,5,3,3,0,0,21,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,9,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,3,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL122105,3,0,0,0,0,0,0,0,3,6,6,3,3,10,10,18,3,0,3,56,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,0,0,16,0,0,0,3,3,0,0,0,0,6,0,0,3,4,4,0,0,0,0,11,3,0,0,3,3,3,3,0,0,15,0,3,0,0,4,3,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,9,0,0,0,0,0,0,3,0,0,3
UCL122106,0,0,0,0,0,0,0,0,0,0,0,0,15,13,15,3,0,0,0,46,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,6,0,0,0,3,3,10,0,0,0,16,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,3,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
UCL122107,0,0,0,0,0,0,0,0,0,0,4,0,12,10,23,8,4,0,0,61,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,6,3,0,0,0,19,0,0,9,9,0,3,3,0,0,24,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,11,0,0,6,0,0,0,0,0,0,6,3,0,0,0,4,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,3,8,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0
UCL122108,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,10,0,0,0,31,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,7,0,0,0,3,3,0,0,0,0,6,0,0,6,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,3,0,5,0,0,0,8,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,3,0,6
