CED_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
CED111,144,23,29,0,195,0,0,4,197,6,0,204,0,0,0,7,10,0,0,0,10,4,0,11,2132,337,144,21,2635,25,12,45,2676,165,3,2845,13,0,0,0,13,0,0,0,16,0,0,16,22,7,0,0,31,0,0,3,34,3,0,32,37,7,0,0,42,3,0,10,52,3,0,50,2171,346,144,24,2679,34,19,50,2726,164,3,2898,316,75,19,6,424,8,4,15,441,138,0,569,3,0,0,0,5,0,0,0,5,0,10,6,2492,421,162,31,3106,41,22,62,3167,303,5,3477,528,64,32,5,628,5,3,8,639,41,0,683,405,83,17,3,501,0,0,3,505,43,0,551,40,3,9,0,54,0,0,0,54,3,0,59,3,0,0,0,4,0,0,0,4,0,0,4,976,151,59,7,1201,8,3,14,1206,89,0,1298,3,0,0,0,3,0,0,0,3,0,0,3,8,4,0,0,13,3,4,6
CED112,144,35,24,0,198,5,0,5,201,12,0,217,14,0,0,11,33,0,0,0,30,6,0,30,1915,425,146,20,2498,30,6,39,2536,173,0,2712,17,0,0,0,22,3,0,9,30,0,0,30,14,4,0,0,26,3,0,4,25,0,0,27,30,15,0,0,49,8,0,9,57,6,0,63,1943,435,146,18,2546,39,7,47,2592,182,0,2773,322,85,32,11,454,13,8,15,471,115,0,582,5,0,0,0,5,0,0,0,5,0,8,8,2268,522,176,32,2994,50,13,64,3062,294,12,3367,344,71,19,0,439,3,3,10,448,29,0,469,295,59,16,0,367,8,0,8,376,23,0,398,39,7,16,0,68,0,0,0,68,6,0,69,0,0,0,0,3,0,0,0,3,0,0,3,685,140,54,0,876,13,3,12,889,54,0,943,9,0,0,0,9,0,0,0,9,0,0,9,8,0,0,0,9,0,0,0
CED113,48,3,6,5,59,0,0,0,59,11,0,68,10,6,0,18,33,0,0,0,33,0,4,35,2389,298,56,39,2775,13,4,19,2799,155,5,2957,11,0,3,0,10,0,0,5,12,0,0,12,16,0,0,0,16,0,0,0,15,0,0,15,23,3,3,0,25,0,0,5,32,0,0,30,2414,298,59,39,2805,20,3,27,2832,158,5,2986,231,43,13,7,289,8,0,10,297,84,0,382,0,0,0,0,0,0,0,0,0,0,7,11,2645,341,66,44,3100,24,3,29,3134,243,10,3383,441,36,11,0,484,8,0,8,487,29,0,514,218,34,0,0,257,0,3,3,254,25,0,282,19,0,5,0,18,0,0,0,18,5,0,25,0,0,0,6,10,0,0,0,9,0,0,12,673,64,13,8,764,8,3,6,772,54,0,833,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0
CED114,40,7,4,0,53,0,0,0,53,0,0,53,9,0,0,17,25,0,0,0,25,0,0,22,2469,239,35,41,2782,14,3,24,2803,102,10,2914,11,0,0,0,11,3,0,3,10,0,0,10,14,8,0,0,18,0,3,3,22,0,0,22,21,8,0,0,24,3,3,4,32,0,0,32,2486,245,35,41,2807,21,7,26,2836,102,10,2948,269,48,8,9,335,10,0,13,348,73,0,424,0,0,0,4,5,0,0,0,5,0,0,7,2755,293,48,53,3151,29,6,41,3189,177,12,3379,307,20,3,0,328,5,0,5,335,16,0,343,243,29,0,0,272,0,0,5,268,14,0,285,11,0,3,0,17,0,0,0,17,0,0,17,3,0,0,5,3,0,0,0,3,0,0,3,568,51,0,5,621,6,0,6,626,27,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED115,67,24,80,3,177,0,5,3,175,32,0,204,7,0,3,17,27,0,0,0,27,3,0,29,919,234,246,33,1430,36,9,45,1471,306,4,1777,16,7,4,0,28,19,3,16,44,7,0,58,14,15,0,0,33,4,7,11,44,22,0,64,33,21,4,4,61,25,11,34,94,28,0,121,955,256,247,33,1491,56,15,74,1564,334,4,1903,448,186,150,36,823,38,40,73,897,1089,3,1995,3,0,0,5,10,0,0,0,10,7,19,36,1406,448,396,76,2326,96,53,147,2475,1435,27,3933,334,62,31,5,433,13,0,13,448,88,0,540,216,102,53,0,377,10,3,15,384,93,0,480,46,15,68,4,137,0,0,3,134,35,0,172,8,7,0,14,20,0,0,0,20,4,3,29,604,180,158,21,961,26,4,30,994,221,5,1214,5,7,3,0,21,11,0,13,33,10,0,36,9,5,3,0,19,9,9,12
CED116,53,14,5,0,64,0,0,0,70,0,5,72,8,5,0,16,35,0,0,0,35,0,0,31,1800,315,48,33,2190,20,11,31,2221,152,3,2376,13,4,0,0,15,0,0,0,18,0,0,20,12,7,4,0,17,0,0,0,21,0,0,22,19,8,4,0,34,4,0,4,37,0,0,40,1824,323,50,33,2227,26,11,34,2264,155,3,2419,176,53,5,4,246,11,9,15,262,104,0,371,7,0,0,0,7,0,0,0,7,0,0,3,2001,378,56,40,2469,37,23,51,2526,259,5,2789,234,37,6,0,279,4,0,4,288,20,0,308,187,50,11,0,248,9,5,7,256,25,0,279,9,8,7,0,21,0,0,0,21,3,0,25,0,0,0,4,4,0,0,0,4,0,0,8,431,93,26,8,561,6,5,12,572,50,0,619,6,0,0,0,3,0,0,0,9,0,0,9,0,0,0,0,4,0,0,0
CED117,75,18,24,0,111,0,0,4,115,7,0,124,0,0,0,0,5,0,0,0,5,0,0,5,1599,293,79,8,1977,32,13,52,2022,137,0,2159,20,4,0,0,33,3,4,3,39,0,0,39,13,0,0,0,18,0,0,4,22,0,0,22,38,9,0,0,50,0,0,8,53,0,0,62,1638,300,77,9,2027,39,16,51,2084,137,0,2220,198,62,9,0,272,6,0,3,274,73,0,349,0,0,0,0,0,0,0,0,0,0,0,0,1841,360,89,14,2302,37,18,59,2363,201,0,2569,512,93,32,0,630,13,9,21,652,49,0,700,290,68,9,0,364,3,0,3,367,28,0,393,26,7,5,0,39,0,0,3,43,5,0,43,0,0,0,8,8,0,0,0,8,0,0,14,825,163,45,12,1043,18,9,25,1067,80,0,1149,14,0,0,0,14,0,0,0,19,0,0,19,13,0,0,0,12,0,0,0
CED118,173,30,84,0,288,5,4,5,296,21,3,313,5,3,3,11,26,0,0,0,22,5,0,29,2866,489,351,35,3739,66,14,82,3819,255,11,4087,38,7,3,0,50,6,0,10,63,0,0,66,28,0,6,0,36,3,0,4,43,6,0,51,71,13,8,0,87,11,3,15,107,10,0,115,2935,503,358,33,3831,81,17,95,3924,268,11,4203,586,99,68,10,764,20,5,20,793,229,3,1033,4,0,3,3,15,0,0,0,15,0,8,22,3522,603,431,46,4603,100,20,120,4728,500,25,5251,1003,138,91,6,1234,30,7,37,1276,75,0,1353,489,120,60,4,677,5,4,11,684,62,0,749,82,15,44,0,140,0,0,3,150,8,0,157,8,0,3,11,22,0,0,0,18,3,0,22,1584,273,194,22,2073,45,15,55,2125,152,0,2281,25,0,0,0,37,8,0,10,46,3,0,48,20,3,3,0,25,3,0,3
CED119,173,32,44,3,250,0,0,4,255,3,0,259,7,3,0,10,21,0,0,0,21,0,0,22,2729,413,221,23,3387,32,16,44,3425,156,5,3583,12,0,0,0,16,0,0,0,16,0,0,20,22,3,0,0,25,0,0,0,26,0,0,31,36,4,0,0,39,0,0,0,44,9,0,49,2762,419,221,23,3425,32,16,47,3467,162,5,3631,365,69,29,8,472,11,0,9,480,107,0,591,0,0,0,0,0,0,0,0,0,0,8,10,3128,489,250,28,3899,42,15,52,3950,267,11,4232,763,98,55,0,924,19,5,25,942,61,0,1007,544,113,40,0,697,10,3,10,707,36,0,746,102,11,26,0,136,0,0,0,140,10,0,148,4,4,0,8,6,0,0,0,6,0,0,13,1414,225,120,10,1767,30,8,39,1801,108,0,1912,11,0,0,0,12,0,0,0,9,0,0,16,14,8,0,0,15,0,0,0
CED120,143,32,31,0,210,3,0,3,220,22,0,237,9,0,0,10,24,0,0,0,24,0,4,29,2571,441,173,25,3208,33,6,39,3249,173,3,3422,15,0,0,0,12,7,0,7,20,5,0,20,19,8,6,0,27,0,0,0,27,3,0,36,28,7,6,0,42,7,0,7,45,7,0,54,2599,443,175,30,3249,41,6,43,3292,181,3,3477,345,75,43,7,464,4,0,7,473,108,4,586,3,0,0,0,4,0,0,0,4,0,10,14,2943,522,217,37,3722,43,6,53,3775,288,12,4075,532,63,25,9,629,4,0,10,643,39,0,685,336,81,22,7,445,6,0,6,454,34,0,484,65,13,15,3,95,0,0,0,95,3,0,99,0,0,0,13,13,0,0,0,13,0,0,13,932,160,61,24,1183,17,0,19,1198,75,3,1275,3,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,6,0,0,0
CED121,71,17,17,5,107,3,0,3,105,4,0,114,4,3,0,16,24,0,0,0,24,0,3,31,2141,306,68,39,2553,19,9,25,2579,135,7,2729,8,6,0,0,12,3,0,3,19,3,0,19,26,3,0,0,27,0,0,0,28,3,0,37,36,3,0,0,43,3,0,6,47,5,0,56,2180,310,73,39,2596,24,4,32,2629,146,7,2783,323,45,5,10,384,9,4,18,400,111,0,513,3,0,0,0,5,0,0,0,5,0,6,6,2511,350,83,46,2983,36,15,41,3033,255,13,3301,312,35,8,0,357,0,0,0,354,28,0,384,299,51,13,0,361,6,0,6,370,21,0,385,22,4,4,0,33,0,0,0,38,0,0,38,0,0,0,5,5,0,0,0,5,0,0,5,636,80,26,9,753,6,3,10,761,50,0,812,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0
CED122,96,23,24,0,137,0,0,0,145,14,0,157,8,0,0,5,13,3,0,3,19,0,0,16,1984,392,107,21,2511,43,4,48,2555,173,3,2734,17,0,0,0,18,0,0,0,19,5,0,27,22,0,0,0,24,3,0,7,32,6,0,33,37,0,0,7,42,5,0,7,48,9,0,57,2022,392,115,26,2552,50,4,50,2602,183,3,2792,303,64,22,7,393,8,5,13,410,134,0,545,0,0,0,0,0,0,0,0,0,0,3,9,2327,452,134,36,2945,56,5,66,3014,317,10,3340,551,116,30,3,701,9,7,18,716,77,0,790,421,124,23,3,566,3,0,10,574,33,4,608,50,14,17,0,85,5,0,5,87,6,0,92,6,0,0,6,10,0,0,0,10,0,0,12,1021,255,65,13,1365,19,9,25,1386,120,3,1507,15,0,0,0,17,5,0,3,20,4,0,25,8,0,0,0,11,3,0,3
CED123,152,32,51,0,232,5,0,5,235,15,0,249,8,0,0,11,25,0,0,0,25,5,0,34,2225,390,189,27,2829,56,5,55,2889,164,8,3057,25,5,0,0,35,11,0,11,43,0,0,43,20,4,0,0,29,4,0,0,28,3,0,33,50,9,3,0,63,13,0,13,72,5,0,77,2271,401,190,29,2891,65,8,68,2959,167,8,3135,433,110,54,7,605,9,4,14,622,188,0,809,3,0,0,0,4,0,0,0,4,4,6,18,2707,506,248,33,3499,79,13,88,3588,364,17,3966,571,89,36,7,706,10,3,14,717,60,0,778,302,87,25,0,417,6,0,6,420,42,0,459,60,18,21,0,98,0,0,0,102,5,0,103,3,4,0,7,11,0,0,0,12,0,0,13,939,193,87,11,1225,20,3,19,1242,102,0,1350,18,0,0,0,16,3,0,3,18,0,0,22,5,0,0,0,11,0,3,7
CED124,43,9,6,0,59,0,0,0,63,6,0,70,12,0,0,13,28,0,0,0,28,0,0,30,1684,349,67,38,2137,22,8,25,2162,146,3,2316,12,0,0,0,12,0,0,0,12,4,0,16,10,0,0,0,17,6,0,6,18,0,0,27,28,0,0,0,27,3,0,3,36,6,0,37,1707,350,67,40,2167,27,8,37,2204,148,3,2358,189,51,15,4,259,7,0,7,263,102,4,372,4,0,0,0,4,0,0,0,4,0,4,13,1901,406,77,46,2429,32,8,38,2471,251,16,2735,215,33,3,0,245,3,0,3,250,18,0,266,175,42,4,0,219,3,0,3,223,16,0,238,8,0,5,0,17,0,0,0,12,0,0,17,0,0,0,4,3,0,0,0,3,0,0,5,402,72,11,7,484,7,0,7,490,34,0,531,4,0,0,0,4,0,0,0,4,0,0,6,4,0,0,0,4,0,0,0
CED125,139,36,61,0,245,0,3,4,246,17,0,264,10,0,5,15,31,0,0,0,32,3,5,41,2040,442,278,35,2794,55,13,67,2861,279,19,3152,32,7,3,0,42,10,4,8,52,19,0,63,29,8,9,0,46,10,0,11,55,8,0,64,60,19,10,0,87,16,5,18,105,21,0,132,2096,458,291,38,2884,74,17,87,2968,304,19,3281,534,161,104,18,819,29,10,42,861,372,0,1238,3,0,0,3,11,0,0,0,8,0,9,24,2632,621,391,61,3708,102,26,127,3834,675,29,4543,586,78,53,3,722,24,6,27,746,81,0,828,339,91,44,0,470,13,0,13,479,64,0,543,59,19,29,4,100,0,0,0,102,9,0,113,3,0,0,6,14,0,0,0,14,0,0,14,989,189,124,8,1308,34,3,34,1341,156,0,1499,5,0,3,0,14,9,0,8,25,13,0,31,6,7,0,0,18,0,0,0
CED126,136,40,34,0,205,4,0,4,215,19,0,225,8,4,0,6,17,0,0,0,17,6,0,28,2839,545,136,12,3533,53,6,66,3601,202,3,3809,23,3,0,0,22,5,0,5,27,3,0,31,31,6,0,0,30,0,0,0,38,0,0,38,49,10,0,0,58,8,0,8,62,3,0,64,2888,551,136,12,3594,60,6,66,3664,206,3,3873,400,84,24,7,512,8,4,12,527,91,3,612,4,0,0,0,4,0,0,0,4,0,4,10,3295,636,156,22,4113,65,10,80,4191,296,12,4494,720,111,33,0,866,13,0,13,878,46,0,925,613,138,25,4,777,7,0,10,787,40,0,830,85,18,19,3,123,8,0,8,130,6,0,136,7,0,0,5,6,0,0,0,6,0,0,6,1425,270,73,14,1778,24,0,28,1801,101,0,1902,9,0,0,0,11,0,0,0,13,0,0,18,21,6,0,0,19,0,3,3
CED127,141,32,38,4,213,0,0,0,213,8,0,221,12,0,0,13,24,0,0,0,24,0,3,26,2167,401,191,24,2779,23,0,23,2808,153,7,2964,10,6,0,0,17,0,0,0,21,0,0,23,16,4,0,0,24,0,0,0,24,0,0,22,27,11,0,0,39,0,0,0,44,0,0,45,2193,414,191,25,2824,28,0,28,2854,150,7,3006,308,54,27,8,399,10,3,8,403,114,0,521,0,0,0,0,3,0,0,0,3,0,3,6,2504,470,220,36,3221,33,5,36,3257,266,5,3534,416,74,30,5,526,4,3,8,532,40,0,571,283,101,12,3,398,3,0,3,403,33,0,436,48,7,15,0,78,0,0,0,83,7,0,86,6,0,0,7,11,0,0,0,11,0,0,16,757,185,64,12,1015,7,3,14,1030,77,0,1107,3,0,0,0,3,3,0,3,6,0,0,6,7,0,0,0,10,0,0,0
CED128,76,32,73,0,187,3,0,3,190,34,0,221,0,0,0,11,15,0,0,0,15,4,4,27,1332,286,231,24,1872,28,0,34,1903,290,0,2196,22,5,3,0,26,7,0,7,36,7,0,43,17,5,0,0,31,10,9,20,51,7,0,61,43,10,3,3,62,19,9,27,88,14,0,108,1375,296,237,32,1934,45,18,59,1993,305,0,2295,423,176,140,25,764,39,47,86,850,1203,7,2064,0,6,0,4,9,0,0,0,9,4,13,28,1801,472,372,61,2707,84,62,144,2853,1516,28,4391,466,53,50,4,572,10,0,11,582,64,0,648,251,92,60,4,401,9,7,13,416,74,0,489,61,14,57,0,126,0,0,0,126,20,0,150,5,0,0,4,9,0,0,0,11,0,0,11,777,156,169,15,1110,18,9,26,1132,163,0,1305,8,0,0,0,18,12,0,12,25,4,0,32,8,6,3,0,20,6,6,12
CED129,209,53,50,0,310,0,0,0,311,25,0,335,9,6,0,18,29,0,0,0,29,0,3,32,3695,567,206,38,4511,89,8,98,4607,240,9,4852,47,3,0,0,53,7,0,7,58,3,0,64,41,11,0,0,55,0,0,4,56,5,0,60,85,14,4,0,103,9,0,11,115,9,0,124,3784,582,213,35,4617,99,8,103,4721,245,9,4971,657,95,45,18,812,13,3,17,827,194,0,1021,0,0,0,4,8,0,0,0,8,0,3,14,4438,675,261,64,5440,108,10,122,5559,440,11,6005,1274,150,62,6,1495,41,9,51,1538,102,0,1643,753,173,41,3,976,19,6,20,995,58,0,1058,146,23,33,0,202,0,0,0,204,10,0,217,10,0,0,7,18,0,0,0,18,0,0,21,2177,349,137,19,2685,59,6,70,2755,174,4,2936,28,3,0,0,30,7,0,6,40,4,0,43,15,4,4,0,22,0,0,3
CED130,34,9,18,0,55,0,0,0,56,0,0,58,14,6,6,14,34,0,0,0,36,0,0,39,2132,231,51,25,2448,16,8,23,2470,132,3,2601,20,6,0,0,26,6,0,11,30,7,0,34,16,4,0,0,21,0,3,6,27,4,0,30,35,11,0,0,44,8,3,10,56,8,0,63,2172,248,51,25,2495,26,9,33,2526,134,3,2665,214,35,10,11,276,9,7,15,292,111,0,405,0,0,0,0,5,0,0,0,5,0,3,6,2385,289,67,36,2773,35,13,51,2818,248,7,3076,246,19,5,0,272,0,4,4,271,6,0,280,134,19,6,3,167,0,0,0,169,9,0,178,6,5,3,0,19,0,0,0,19,0,0,19,0,0,0,0,6,0,0,0,6,0,0,3,394,51,7,0,451,0,5,3,459,16,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED131,42,6,13,0,61,3,0,3,69,7,0,75,3,0,0,3,10,0,0,0,10,0,3,11,2161,332,71,16,2574,26,9,34,2611,133,7,2749,10,4,0,0,14,3,0,3,19,0,0,19,22,6,0,0,24,0,0,0,29,0,0,32,33,5,0,0,40,6,0,6,48,0,0,48,2195,334,74,16,2621,37,9,44,2661,131,7,2797,207,49,5,0,269,10,8,14,281,58,0,336,0,5,0,0,8,0,0,0,8,0,0,8,2401,390,76,19,2892,41,14,58,2949,191,7,3146,474,52,10,0,537,10,0,10,542,33,0,579,453,76,12,0,542,5,0,5,544,31,0,574,13,0,10,0,23,0,0,0,23,3,0,24,0,0,0,6,0,0,0,0,0,0,0,0,941,129,30,0,1101,13,3,14,1119,70,0,1183,0,0,0,0,4,0,0,0,5,0,0,5,10,4,0,0,9,0,0,0
CED132,89,16,24,0,135,0,0,0,131,3,0,141,10,0,0,4,12,0,0,0,12,0,0,14,2256,329,62,8,2656,58,9,63,2716,151,5,2871,25,4,0,0,28,4,5,8,35,3,0,35,25,4,0,0,29,0,0,0,32,0,0,33,51,4,0,0,58,5,4,11,68,4,0,68,2302,333,66,8,2711,60,8,72,2782,156,5,2943,468,82,14,12,571,11,0,11,582,107,0,687,0,0,0,0,0,0,0,0,0,0,3,4,2770,417,79,19,3288,77,8,83,3373,257,4,3634,687,104,9,3,801,18,3,23,820,72,0,892,494,132,17,0,639,14,0,14,653,43,0,698,40,14,13,0,70,3,0,3,71,0,0,78,5,0,0,0,10,0,0,0,10,0,0,10,1227,248,39,3,1520,31,3,37,1554,117,0,1671,21,4,5,0,24,3,0,3,31,0,0,31,17,0,0,0,21,0,0,0
CED133,29,7,6,0,50,0,0,0,50,5,0,55,0,5,0,19,27,0,0,0,30,6,0,34,1859,387,53,40,2347,22,4,28,2373,178,3,2554,10,3,0,0,14,5,0,3,22,5,0,23,13,5,0,3,18,0,6,4,24,0,0,29,22,9,0,6,32,6,9,10,46,10,0,53,1883,396,55,47,2384,28,9,40,2422,185,3,2606,190,60,11,11,270,4,3,15,283,105,0,389,4,0,0,0,4,0,0,0,4,0,8,10,2077,457,66,57,2652,36,18,54,2710,287,16,3015,240,32,12,0,278,0,0,0,278,5,0,284,158,44,3,6,206,0,0,0,207,22,0,224,12,3,0,0,17,0,0,0,17,0,0,17,0,0,0,6,4,0,0,0,4,0,0,8,403,79,15,9,509,4,0,4,510,30,0,535,7,0,0,0,7,0,0,0,3,5,0,11,5,0,0,0,0,0,0,0
CED134,28,0,6,0,36,0,0,0,40,3,0,47,9,0,0,15,21,0,0,0,20,0,4,24,1741,146,46,30,1966,11,0,18,1985,81,0,2068,4,6,0,0,10,8,0,8,14,0,0,16,15,0,0,0,14,0,4,3,19,4,0,24,17,3,0,0,27,13,4,11,38,3,0,40,1760,151,52,30,1991,22,3,29,2016,83,0,2109,144,25,4,8,175,7,5,7,190,81,0,268,0,0,0,0,0,0,0,0,0,0,3,7,1901,174,55,35,2169,33,5,37,2207,164,8,2380,217,14,8,0,236,4,0,0,241,6,0,250,127,14,0,0,149,4,0,4,151,3,0,155,5,6,0,0,10,0,0,0,10,0,0,5,0,0,0,3,3,0,0,0,3,0,0,3,350,34,3,5,399,3,0,7,403,13,0,413,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
