CED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED111,17,131,17,16,4,0,178,0,232,12,7,0,0,252,35,1689,72,90,30,11,1922,108,579,122,135,19,9,978,154,286,45,170,15,3,671,526,308,66,254,26,4,1175,1848,177,50,420,36,9,2532,3685,225,35,603,40,6,4597,3060,101,12,467,33,7,3684,1851,26,8,239,23,4,2145,719,4,4,115,9,0,843,297,5,0,44,0,0,346,141,0,0,16,0,0,165,112,0,0,35,0,0,154,164,212,25,131,39,34,596,12715,3959,455,2740,277,89,20239
CED112,10,47,14,15,4,0,91,3,80,7,5,3,0,108,19,664,57,47,38,6,823,66,276,155,106,85,7,697,121,127,71,156,29,4,518,401,171,114,224,64,6,973,1513,140,77,514,48,11,2299,4622,107,61,819,87,11,5705,3093,20,14,406,27,4,3562,998,3,0,142,11,0,1158,296,4,5,42,4,0,349,86,0,0,25,4,0,117,37,0,0,6,0,0,40,37,0,0,12,10,0,56,213,114,35,105,60,41,561,11505,1750,622,2630,474,97,17074
CED113,10,24,0,53,33,4,126,9,46,14,26,17,0,119,79,352,84,181,66,10,782,243,243,124,330,62,12,1014,387,104,61,344,47,6,949,1041,153,71,455,165,5,1887,1585,124,51,628,208,12,2597,1952,83,22,686,229,11,2984,1151,30,0,360,45,4,1594,458,5,0,147,19,0,627,300,5,0,63,19,0,381,125,0,0,45,10,0,181,25,0,0,12,0,0,38,45,0,0,35,42,0,124,136,68,22,227,130,47,619,7552,1228,459,3585,1085,101,14017
CED114,24,57,41,59,92,4,280,33,91,32,51,38,0,241,368,436,93,396,147,25,1473,1386,346,192,698,148,31,2806,1047,132,47,549,98,9,1881,2036,175,55,692,138,12,3107,2860,57,20,639,102,16,3700,2114,25,11,378,65,8,2602,446,9,8,89,24,0,574,90,3,0,22,3,0,125,21,0,0,9,4,0,29,8,0,0,5,4,0,16,5,0,0,0,0,0,3,11,0,0,12,4,0,31,195,92,31,235,256,53,855,10642,1424,527,3835,1130,165,17725
CED115,16,70,14,6,14,0,126,5,170,21,3,0,0,202,36,979,87,66,31,6,1215,108,685,195,92,25,8,1111,146,313,59,113,28,3,659,875,331,136,197,58,6,1604,3003,262,140,483,139,27,4047,5033,281,118,796,279,23,6528,3345,141,50,487,183,21,4229,1011,14,16,153,75,4,1278,327,9,3,42,12,0,381,101,4,5,15,10,0,131,15,0,0,3,0,0,26,25,0,0,6,6,0,35,244,193,40,232,78,68,859,14285,3456,884,2711,927,167,22426
CED116,9,14,11,26,22,0,80,5,28,18,11,7,0,65,31,158,98,103,50,8,458,114,280,266,209,91,9,964,192,115,90,267,55,6,716,524,184,161,347,232,14,1461,1708,157,159,653,131,13,2817,3354,70,70,858,111,14,4477,1786,12,18,386,22,0,2228,582,4,3,116,11,0,717,183,0,0,36,4,0,223,52,0,0,14,0,0,73,19,0,0,6,3,0,26,16,0,0,18,0,0,37,120,95,50,196,80,35,570,8687,1111,936,3241,825,111,14910
CED117,11,46,8,7,0,0,70,7,84,15,11,4,0,114,39,640,107,53,6,6,854,91,186,177,98,9,0,565,132,94,61,90,12,0,394,448,92,70,157,39,0,813,1398,66,58,286,44,0,1852,4327,64,73,532,59,9,5069,4317,30,22,518,31,0,4926,3161,20,7,374,12,0,3583,2726,9,10,309,14,0,3066,1770,8,0,205,12,3,1995,1081,0,0,133,3,5,1227,1645,0,0,263,7,4,1919,264,80,32,186,35,30,626,21413,1412,647,3232,297,73,27080
CED118,11,72,5,19,0,0,114,7,144,9,7,0,0,166,23,640,42,37,9,7,762,41,262,72,79,21,3,480,59,130,37,75,8,9,317,166,150,56,86,61,0,525,771,123,57,247,49,3,1246,4803,167,44,631,96,17,5762,4340,47,12,449,61,9,4921,3320,9,8,210,14,3,3563,1176,0,0,85,9,5,1271,188,0,6,17,0,0,212,39,0,0,9,0,0,48,39,0,0,8,0,0,57,275,103,21,119,28,39,590,15263,1853,359,2071,366,101,20026
CED119,8,18,0,9,3,0,37,0,40,0,0,4,0,46,0,328,31,22,0,0,392,9,117,58,34,4,0,228,12,57,24,37,3,0,138,41,70,32,80,257,0,472,147,66,51,117,101,0,482,1315,35,44,240,51,0,1696,2049,16,16,277,20,0,2368,1516,12,9,186,17,3,1738,812,9,0,97,4,0,924,432,4,5,56,8,3,497,166,0,0,13,0,0,180,109,0,0,27,0,0,137,93,48,12,70,44,26,295,6704,816,280,1265,518,40,9628
CED120,14,19,0,12,21,0,75,4,50,8,20,3,0,76,29,305,49,98,31,4,522,103,191,149,137,42,5,624,124,63,22,148,35,0,393,366,81,59,202,47,4,767,1119,102,24,364,45,4,1656,2358,46,27,517,60,9,3015,2494,24,6,321,45,0,2884,941,0,3,102,17,0,1061,191,0,0,37,3,0,231,74,0,5,15,3,0,99,29,0,0,5,0,0,41,45,0,0,8,0,0,59,163,51,22,186,90,34,532,8049,933,362,2174,440,62,12027
CED121,13,27,12,22,12,3,89,5,43,11,11,9,0,81,32,419,62,105,47,9,681,174,462,172,176,76,6,1064,246,163,41,207,81,5,747,765,226,68,296,112,7,1472,2060,233,75,629,106,8,3108,4100,155,40,730,71,9,5107,1909,12,8,253,19,3,2202,521,5,0,58,7,0,585,104,0,3,14,3,0,127,29,0,0,9,0,0,40,10,0,0,0,0,0,15,14,0,0,8,6,0,26,195,102,29,169,95,27,612,10180,1851,507,2690,639,80,15952
CED122,22,134,12,9,5,0,182,4,253,25,10,3,0,296,26,1859,99,46,15,8,2059,58,543,168,102,18,3,901,77,282,61,96,18,4,523,176,236,58,153,71,4,706,738,156,71,230,93,5,1287,2981,134,36,368,153,13,3686,5415,68,26,585,76,5,6171,5742,45,10,538,68,8,6409,3904,19,11,363,38,8,4342,2056,13,5,238,40,4,2350,1065,0,0,144,14,0,1223,1889,4,0,264,18,0,2181,409,243,29,234,47,56,1021,24560,3990,609,3381,671,124,33337
CED123,12,71,9,18,4,0,115,0,146,17,10,0,0,175,28,766,59,42,12,6,914,78,405,199,81,19,3,785,129,174,85,87,0,3,486,679,190,108,168,72,0,1222,2331,178,160,408,34,11,3130,7353,210,90,782,78,13,8531,3779,38,9,387,29,7,4251,1497,9,0,123,9,0,1645,352,4,0,31,0,0,391,110,3,0,19,0,0,131,32,0,0,15,0,0,53,52,0,0,13,6,0,70,305,140,35,138,50,57,721,16748,2336,774,2313,327,105,22602
CED124,14,10,7,40,11,0,79,4,14,14,16,16,3,61,46,59,56,144,44,3,350,221,250,237,233,119,13,1070,316,73,58,256,52,9,769,893,119,88,399,61,12,1563,2055,91,59,653,68,9,2930,2770,56,67,637,76,10,3614,1078,7,8,198,14,0,1310,260,0,0,42,3,0,307,62,0,5,8,0,0,75,12,0,0,3,0,0,15,5,0,0,0,0,0,7,16,0,0,7,6,0,32,115,57,45,167,69,40,502,7867,741,654,2802,528,104,12689
CED125,11,63,3,16,4,0,98,3,162,7,6,9,5,186,15,1037,52,36,12,10,1157,47,644,90,73,18,3,869,47,322,29,89,6,4,497,235,363,64,130,45,0,836,1523,312,79,321,22,3,2262,5543,378,56,675,79,13,6745,3945,53,12,410,45,7,4468,2031,3,0,136,12,3,2190,363,3,0,42,5,0,411,97,0,0,12,3,0,111,30,6,0,10,0,0,36,35,0,0,9,0,0,48,290,213,43,148,46,43,781,14209,3560,444,2100,307,86,20706
CED126,5,22,9,11,0,0,43,0,13,26,6,0,0,48,8,68,59,17,25,4,175,6,158,93,30,15,11,318,8,64,40,55,20,9,193,25,39,33,75,18,0,198,111,32,25,129,24,4,328,635,28,22,291,45,8,1021,1631,21,12,414,27,11,2111,1773,8,6,443,28,5,2270,1201,0,4,256,13,4,1485,890,0,10,211,7,0,1119,708,0,0,136,9,0,859,1554,0,0,253,13,4,1830,142,37,30,149,42,27,422,8696,496,363,2489,296,79,12414
CED127,0,6,7,10,6,0,31,0,22,21,11,0,0,57,14,99,35,58,7,0,217,43,234,207,93,18,8,604,66,63,62,104,18,0,309,212,71,105,203,91,4,682,831,82,86,337,41,6,1382,2746,83,82,590,46,10,3550,2006,32,12,298,24,3,2383,698,5,4,85,9,0,800,263,0,0,33,3,0,293,115,0,0,8,4,0,132,46,0,0,7,3,0,58,44,0,0,14,0,0,62,115,42,33,138,52,26,403,7207,748,649,1991,326,57,10966
CED128,13,45,11,13,0,0,81,8,134,10,3,3,0,155,21,702,79,40,12,3,857,76,405,151,73,27,4,734,113,180,50,106,29,3,475,323,182,110,121,35,3,766,1349,139,112,261,82,11,1961,4469,149,88,731,226,27,5695,3767,71,27,557,186,26,4640,1427,13,4,216,67,5,1731,710,0,3,80,29,0,820,114,0,0,27,6,0,150,34,0,0,4,0,0,41,48,0,0,8,4,0,60,251,123,35,233,59,59,752,12717,2146,682,2477,764,156,18934
CED129,7,6,3,10,0,0,28,0,15,0,0,6,0,13,9,113,13,21,5,4,163,9,40,32,33,12,6,131,21,21,15,39,9,0,102,48,32,15,60,41,3,198,133,21,21,95,38,0,310,1091,30,29,252,43,3,1441,2823,9,9,302,14,4,3160,3476,4,3,258,16,0,3751,1988,0,0,144,6,0,2143,743,0,0,65,4,0,811,346,0,0,25,4,0,372,253,6,0,35,0,0,297,166,15,18,111,30,21,359,11109,305,167,1443,225,44,13280
CED130,21,24,36,65,58,3,198,31,38,23,39,18,0,149,183,167,118,283,80,16,849,789,357,239,444,111,20,1958,823,149,102,467,64,12,1619,1949,295,135,591,90,20,3079,3236,192,68,764,75,15,4343,2578,55,26,447,70,14,3188,501,9,3,88,16,4,623,95,0,0,23,4,0,125,28,0,9,5,0,0,41,3,0,0,11,5,0,15,0,0,0,3,0,0,5,19,0,0,17,5,0,36,157,86,48,210,257,53,808,10417,1376,802,3448,841,154,17045
CED131,15,104,13,20,4,0,156,3,193,29,11,6,0,241,56,1370,81,130,15,10,1655,232,393,159,217,22,6,1037,252,162,71,212,22,4,722,598,210,102,312,66,3,1300,1731,154,74,608,71,6,2644,5140,118,68,1135,93,7,6565,4318,26,27,675,55,5,5096,1829,5,9,258,13,0,2110,663,0,0,89,10,0,764,282,0,0,49,5,0,339,122,5,0,26,0,0,149,160,0,0,44,0,3,211,202,168,38,191,59,49,700,15604,2910,661,3973,444,96,23688
CED132,22,27,13,20,0,0,84,3,21,29,7,0,0,62,18,196,123,44,5,0,390,32,245,216,56,3,3,560,32,70,68,70,11,0,257,153,84,62,120,37,0,455,564,55,38,208,17,0,877,3188,38,53,380,25,3,3694,5448,29,31,578,48,6,6143,4813,3,8,524,26,8,5387,2971,0,0,351,24,5,3351,2079,0,0,242,29,0,2352,1248,0,0,157,5,0,1408,2551,0,3,350,18,0,2925,349,59,28,199,57,42,734,23482,828,661,3312,304,87,28681
CED133,7,20,12,45,24,3,112,10,37,5,31,10,0,88,44,377,67,225,83,12,815,259,214,236,370,128,16,1231,326,90,86,398,114,14,1026,937,104,98,662,129,24,1954,2089,81,57,1127,113,16,3481,2779,32,52,992,84,15,3953,1241,7,14,330,26,6,1618,479,0,0,99,9,0,590,129,3,0,25,0,0,162,30,0,5,10,0,0,53,7,0,0,4,0,0,16,13,0,0,14,11,0,39,126,87,27,191,89,36,557,8485,1038,662,4532,822,151,15681
CED134,24,138,39,82,300,3,576,19,113,55,54,109,13,365,176,410,149,393,181,22,1336,820,521,360,598,226,31,2555,677,261,141,567,112,15,1764,1382,283,119,635,106,18,2533,1876,97,69,635,97,12,2794,1818,49,39,421,108,9,2436,430,11,8,83,22,3,560,76,5,0,24,0,0,107,17,0,0,4,4,0,28,8,0,0,8,4,0,22,4,0,0,5,0,0,11,15,0,0,17,6,0,39,151,111,56,287,323,58,989,7487,1999,1032,3805,1589,183,16103
CED135,18,130,13,15,4,0,172,9,317,18,6,3,0,357,67,1588,112,67,31,6,1867,121,630,198,140,24,12,1128,140,282,133,138,13,3,715,439,288,137,170,90,10,1127,2636,214,145,389,77,20,3481,10081,205,154,911,171,24,11542,8438,109,28,759,131,15,9486,2711,18,8,302,58,3,3103,832,0,3,102,21,0,963,345,0,3,38,4,0,393,104,0,0,32,3,0,133,95,0,0,32,12,4,135,468,230,48,244,61,100,1148,26512,4016,1002,3348,701,195,35774
CED136,9,19,4,24,5,0,63,0,20,6,11,17,0,57,40,189,97,73,58,4,464,132,462,233,133,106,4,1071,213,175,69,194,28,9,684,595,302,139,280,480,16,1808,2246,332,155,672,169,8,3583,5210,233,78,775,98,17,6412,2934,19,9,258,39,0,3260,621,8,0,58,10,0,695,148,3,0,13,3,3,172,32,0,0,9,0,0,38,10,0,0,0,0,0,11,15,0,0,13,3,5,36,198,118,41,151,76,42,640,12407,1883,832,2666,1092,111,18990
CED137,15,38,10,8,3,0,82,6,67,17,5,10,0,101,85,535,55,56,113,6,837,103,166,114,138,41,4,563,114,76,24,130,40,0,393,275,73,30,161,91,0,629,824,56,21,239,64,5,1203,4797,47,61,534,92,9,5545,9074,33,29,754,144,13,10057,6114,9,15,489,87,12,6729,2894,4,4,288,40,3,3242,1411,5,3,164,18,4,1601,648,3,0,58,5,0,721,878,0,0,115,18,3,1011,498,62,30,321,102,84,1094,27743,1182,412,3459,868,145,33805
CED138,11,31,7,26,15,0,85,6,46,3,12,4,0,74,17,592,63,95,60,15,831,40,221,147,170,129,6,703,52,96,47,248,70,5,510,198,133,59,376,132,11,909,775,86,66,657,139,13,1727,2152,61,51,1106,193,14,3576,2008,20,25,829,112,8,3003,1531,11,3,499,31,13,2087,965,4,4,269,11,0,1254,448,4,0,165,13,0,625,261,0,0,73,5,0,339,300,0,0,138,9,0,448,160,89,32,231,69,33,614,8905,1385,510,4899,980,118,16786
CED139,27,61,27,85,49,3,254,23,132,31,50,15,3,258,190,599,108,313,97,18,1323,972,415,132,511,99,20,2152,819,187,57,549,70,12,1700,1799,219,51,668,266,13,3019,2799,67,22,713,131,6,3746,1991,18,12,378,59,6,2471,564,8,5,85,8,3,666,86,0,0,24,8,0,117,17,0,3,6,3,0,27,9,0,0,8,0,0,11,5,0,0,4,0,0,9,10,0,0,12,6,0,28,163,105,24,236,198,42,759,9458,1822,476,3637,1009,128,16534
CED140,10,39,3,17,6,0,74,5,96,12,13,0,0,122,15,619,48,54,28,3,771,70,245,161,101,75,9,661,108,103,68,114,30,9,437,327,105,60,182,29,9,719,1274,72,39,417,52,4,1861,4207,112,36,712,60,7,5135,2860,21,7,412,19,7,3319,1295,0,3,167,9,3,1473,564,0,0,63,5,0,628,261,0,0,38,4,0,305,127,0,0,24,0,0,149,126,0,0,13,3,0,142,178,89,34,118,38,41,496,11426,1511,468,2450,359,97,16313
