CED_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
CED111,0,0,0,61,78,3761,24,27,13,6,4,10,4,0,193,4053,565,5,4,5,0,0,0,0,0,58,632,507,0,0,0,0,0,0,0,0,45,557,482,0,3,0,0,0,0,0,0,49,538,5,0,0,0,0,0,0,0,0,7,14,997,0,3,0,0,0,0,0,0,105,1114,18,0,0,0,0,0,0,0,0,106,124,1576,6,4,5,0,0,0,0,0,268,1871,11706,1427,1264,204,219,237,288,190,53,382,15962,7407,1660,2192,726,698,879,1009,496,44,295,15411,2263,187,329,153,85,122,223,67,28,153,3610,25,0,4,0,0,0,0,0,0,13,60,9706,1852,2523,879,783,1006,1237,561,72,459,19079,44,4,9,0,0,8,0,0,0,221,279,21457,3280,3789,1083,1002,1247,1519,753,125,1056,35323
CED112,0,0,0,32,54,2596,55,41,6,6,11,9,4,0,147,2870,619,7,0,0,0,0,0,0,0,61,693,152,0,0,0,0,0,0,0,0,14,164,53,0,0,0,0,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,5,5,205,0,0,0,0,0,0,0,0,20,227,6,0,0,0,0,0,0,0,0,52,62,828,10,9,0,0,0,5,0,0,130,980,11694,1475,1020,180,159,111,127,82,30,402,15271,3095,1184,1270,249,224,233,224,77,34,127,6726,412,119,141,36,38,29,68,16,17,43,915,11,3,6,0,0,0,0,0,0,8,24,3520,1309,1422,286,266,256,292,95,53,176,7671,36,4,3,0,0,0,0,0,0,123,164,15250,2784,2442,463,419,370,423,174,80,701,23110
CED113,0,0,0,4,18,2340,21,14,4,3,4,6,3,0,84,2478,456,3,0,0,0,0,0,0,0,34,501,203,0,0,0,0,0,0,0,0,14,219,85,0,0,0,0,0,0,0,0,5,89,0,0,0,0,0,0,0,0,0,4,3,285,0,0,0,0,0,0,0,0,23,310,4,0,0,0,0,0,0,0,0,0,5,746,3,0,0,0,0,7,0,0,62,820,10940,1152,877,128,129,128,168,95,57,438,14121,3183,1397,1447,445,496,450,479,175,45,135,8244,390,76,76,31,29,36,95,29,11,44,810,17,5,0,0,0,0,5,3,5,5,42,3589,1469,1524,471,525,485,581,209,57,182,9094,26,0,0,0,0,3,0,0,0,104,135,14561,2627,2411,604,654,616,748,301,111,727,23357
CED114,0,0,0,4,7,1706,16,23,0,0,0,7,0,0,93,1853,312,0,0,0,0,0,0,0,0,25,336,164,0,0,0,0,0,0,0,0,26,189,135,4,8,0,0,0,0,0,0,15,159,0,0,0,0,0,0,0,0,0,0,4,301,4,8,0,0,0,3,0,0,41,354,3,0,0,0,0,0,0,0,0,6,10,617,4,5,0,0,0,5,0,0,66,702,6143,715,636,136,111,134,214,88,44,353,8567,2188,1551,1858,549,644,762,826,256,91,227,8954,527,192,355,111,157,239,367,135,25,90,2193,13,4,11,0,3,5,3,0,0,11,58,2731,1741,2218,668,802,1016,1197,393,118,322,11206,14,0,3,0,0,0,8,4,0,30,67,8890,2463,2855,804,913,1150,1417,479,162,710,19843
CED115,0,0,0,204,209,5323,187,184,88,45,32,50,23,0,384,6309,173,0,0,0,0,0,0,0,0,16,188,562,3,3,0,0,0,0,0,0,30,602,1502,61,41,26,11,3,7,4,0,118,1777,12,0,0,0,0,0,0,0,0,25,39,2072,58,45,23,17,3,11,4,0,173,2416,5,0,0,0,0,0,0,0,0,245,256,2256,58,46,23,17,3,11,4,0,433,2855,5898,725,738,159,172,163,144,61,23,284,8371,29514,6579,6788,2448,2007,1613,1929,537,117,1051,52575,18639,3355,4033,1560,1151,1001,1464,553,174,1010,32947,132,21,32,10,8,10,19,0,3,81,310,48284,9954,10842,4018,3169,2619,3420,1094,291,2140,85836,49,9,11,3,0,3,6,3,0,694,791,54227,10686,11593,4181,3344,2786,3563,1161,317,3124,94990
CED116,0,0,0,15,29,3615,50,23,3,5,3,8,3,0,182,3882,849,7,0,0,0,0,0,0,0,72,929,175,0,0,0,0,0,0,0,0,19,191,63,0,0,0,0,0,6,0,0,3,66,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,3,0,0,25,255,10,0,0,0,0,0,0,0,0,26,36,1092,7,0,0,0,0,8,0,0,119,1220,13801,1050,749,140,134,121,157,84,23,619,16882,2369,560,670,202,175,217,247,119,22,119,4710,265,54,66,25,16,19,65,15,10,32,575,14,0,5,0,0,0,0,0,0,0,21,2645,617,742,231,190,237,307,139,34,152,5300,31,0,0,0,0,0,0,0,0,189,220,16473,1666,1491,370,331,363,470,226,60,960,22403
CED117,0,0,0,31,32,3416,38,29,4,4,0,19,7,0,209,3727,217,3,0,0,0,0,0,0,0,33,261,466,3,0,0,0,0,0,0,0,56,526,776,4,7,0,0,0,4,0,0,125,909,14,0,0,0,0,0,0,0,0,6,20,1253,7,7,0,0,0,3,0,0,185,1459,0,0,0,0,0,0,0,0,0,39,41,1472,6,9,0,0,0,3,0,0,261,1757,14542,3060,2888,569,558,549,506,270,117,414,23467,9703,2536,2882,875,1019,1109,1047,308,88,372,19947,3631,335,394,114,131,127,203,85,15,309,5344,33,4,3,3,0,3,4,4,6,18,77,13366,2876,3286,998,1160,1236,1252,396,102,703,25364,16,0,3,0,4,0,0,0,0,118,150,27920,5935,6175,1566,1719,1793,1756,668,223,1230,48979
CED118,0,0,0,14,18,2957,224,140,30,28,19,65,39,3,93,3602,275,9,3,0,0,0,5,0,0,14,296,364,20,8,0,0,5,3,0,0,15,414,291,24,16,3,0,3,6,0,0,8,360,7,0,0,0,0,0,0,0,0,3,7,665,41,21,4,5,9,10,3,0,27,782,5,0,0,0,0,0,0,0,0,8,11,940,50,30,4,3,9,10,3,0,45,1095,10774,2450,1994,458,472,467,395,187,51,327,17577,23640,15631,12151,3166,3312,3314,3281,1021,251,675,66445,3069,1195,1186,293,291,377,637,316,69,209,7654,44,5,16,4,3,8,15,8,3,26,133,26757,16830,13353,3462,3606,3707,3932,1351,324,910,74237,35,13,12,4,3,4,9,0,0,367,443,37564,19294,15361,3922,4081,4180,4337,1537,368,1609,92254
CED119,0,0,0,70,74,2329,70,54,15,13,6,13,8,0,129,2640,377,3,0,0,0,0,0,0,0,34,418,232,0,0,0,0,0,0,0,0,12,244,157,7,4,3,0,0,0,0,0,14,185,4,0,0,0,0,0,0,0,0,5,6,391,11,4,3,0,0,0,0,0,26,433,14,0,0,0,0,0,0,0,0,106,127,786,15,4,3,0,0,0,0,0,165,979,10672,1736,1284,213,163,183,152,81,41,259,14785,8816,2522,1823,358,356,273,314,105,29,165,14759,1215,277,266,80,51,65,117,25,23,51,2176,15,0,0,0,0,0,0,0,0,8,30,10046,2802,2093,435,410,343,434,132,52,221,16965,27,0,9,0,0,0,3,0,0,247,288,20745,4538,3386,650,575,526,589,213,91,728,32043
CED120,0,0,0,14,18,2122,21,28,0,3,0,4,0,0,103,2283,398,0,0,0,0,0,0,0,0,38,448,137,6,0,0,0,0,0,0,0,9,152,49,0,0,0,0,0,0,0,0,8,65,0,0,0,0,0,0,0,0,0,3,3,191,6,0,0,0,0,0,0,0,22,216,0,0,0,0,0,0,0,0,0,14,14,590,9,0,0,0,0,0,0,0,75,678,11084,1042,748,102,97,134,132,46,37,420,13844,3983,1105,1076,192,184,200,213,79,45,150,7224,466,105,129,11,28,31,74,28,21,39,936,9,0,0,0,0,0,0,0,0,10,13,4452,1214,1210,210,208,228,285,106,67,196,8176,23,0,4,0,0,0,0,0,0,144,174,15559,2255,1959,314,307,363,418,155,105,759,22194
CED121,0,0,0,22,23,1760,30,16,0,0,0,8,0,0,136,1951,393,4,0,0,0,0,0,0,0,65,461,75,0,0,0,0,0,0,0,0,22,95,26,0,0,0,0,0,0,0,0,14,44,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,40,138,3,0,0,0,0,0,0,0,0,23,24,498,4,0,0,0,0,0,0,0,127,631,8523,1034,746,130,108,102,132,69,36,381,11270,1678,1036,937,192,210,230,270,94,35,98,4781,175,89,107,31,25,30,58,20,8,34,575,9,5,0,4,0,0,3,3,0,0,17,1863,1127,1044,225,234,257,329,118,41,132,5377,13,4,0,0,0,0,3,0,3,348,374,10403,2167,1792,357,341,370,471,184,75,872,17018
CED122,0,0,0,94,109,4541,128,75,8,10,11,29,16,8,231,5045,413,9,8,0,0,0,0,0,0,10,444,696,8,3,0,0,0,0,0,0,25,724,641,19,5,0,0,0,4,0,0,17,686,8,0,0,0,0,0,0,0,0,6,17,1343,20,11,0,0,0,4,4,0,47,1432,5,0,0,0,0,0,0,0,0,130,140,1768,30,16,0,0,0,5,3,0,191,2017,14782,3751,4578,1096,1256,1474,1721,749,208,509,30124,17220,5114,6184,2213,2476,2863,3158,1209,198,592,41222,3590,538,550,172,229,322,517,205,70,189,6391,34,5,3,4,5,6,3,5,5,25,85,20844,5658,6735,2390,2711,3185,3679,1421,272,801,47695,42,3,9,3,3,3,4,0,5,527,592,35668,9412,11316,3490,3965,4667,5408,2166,480,1840,78407
CED123,0,0,0,24,30,2948,51,54,4,13,6,21,10,0,75,3173,407,6,0,0,0,0,0,0,0,23,436,206,0,0,0,0,0,0,0,0,13,225,163,4,0,0,0,0,0,0,0,9,185,3,0,0,0,0,0,0,0,0,0,5,373,8,0,0,0,0,0,0,0,24,412,0,0,0,0,0,0,0,0,0,7,13,780,13,0,0,0,0,0,0,0,57,853,12790,1512,1253,235,257,201,210,102,39,379,16977,9464,5455,4195,846,709,693,700,272,64,267,22664,1309,476,486,108,97,108,192,86,29,86,2961,35,3,4,0,5,4,4,6,0,8,70,10815,5934,4674,950,811,808,893,357,95,359,25699,25,8,6,3,0,5,0,0,0,324,363,23623,7448,5933,1193,1067,1012,1103,463,136,1064,43044
CED124,0,0,0,11,24,2403,24,13,4,4,6,4,0,0,147,2608,567,0,0,0,0,0,0,3,0,49,620,79,0,0,0,0,0,0,0,0,17,96,17,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,93,0,3,0,0,0,0,0,0,21,115,4,0,0,0,0,0,0,0,0,14,17,657,6,3,0,0,0,0,3,0,79,749,9791,684,430,62,66,70,95,57,26,516,11782,1175,400,397,117,114,135,155,59,24,83,2653,94,27,42,11,8,21,27,8,0,24,255,3,0,0,0,0,0,5,0,0,6,8,1274,427,433,123,121,159,181,66,26,110,2920,26,0,3,0,0,0,0,0,0,47,77,11083,1115,871,183,191,225,276,124,43,668,14783
