CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED111,16080,1773,2751,168,9,20789,14519,1668,2308,68,18,18575,4070,2300,6157,150,43,12715,1344,1398,1214,0,3,3959,85,186,175,3,7,455,1356,436,886,41,23,2740,115,40,99,23,11,277,37,16,40,0,0,89,7001,4371,8559,220,84,20239,362,199,454,11,5,1037,406,121,205,3,12,752,38368,8131,14280,475,140,61396
CED112,15952,2067,961,98,12,19096,19562,1124,449,14,17,21179,8164,1819,1453,41,27,11505,665,743,339,0,8,1750,204,227,180,3,5,622,2060,310,226,9,17,2630,303,71,21,75,8,474,59,25,14,3,0,97,11459,3197,2230,127,58,17074,499,815,186,7,12,1511,600,208,89,17,5,925,48069,7412,3923,274,101,59780
CED113,20990,1329,596,298,72,23281,19272,1417,696,39,43,21468,3771,1686,2046,36,19,7552,893,239,87,10,0,1228,205,182,73,0,0,459,2581,478,462,42,28,3585,794,98,120,46,32,1085,56,28,17,3,4,101,8287,2704,2801,131,80,14017,962,162,65,32,30,1243,669,89,84,8,28,877,50179,5699,4241,512,256,60888
CED114,22585,1110,214,181,95,24192,18984,507,91,47,37,19660,6362,3167,1041,61,16,10642,1087,260,71,0,0,1424,257,205,61,0,5,527,3158,451,173,30,24,3835,846,93,73,82,38,1130,95,44,31,0,0,165,11806,4220,1439,172,85,17725,1626,220,55,24,40,1966,1091,167,66,49,53,1421,56093,6223,1861,476,304,64963
CED115,12407,973,1651,12,14,15048,9880,1493,2470,13,13,13871,5110,1566,7494,53,61,14285,1302,1291,854,0,11,3456,233,316,330,0,3,884,1650,301,724,17,21,2711,569,92,245,4,13,927,74,26,62,0,0,167,8944,3594,9711,75,109,22426,498,115,173,14,3,804,596,128,344,4,3,1085,32319,6309,14352,116,145,53241
CED116,26121,1764,640,766,119,29408,16370,719,219,40,21,17368,6116,1652,870,42,12,8687,684,321,112,0,0,1111,508,317,102,0,4,936,2703,294,194,45,11,3241,563,53,27,154,35,825,65,30,11,5,4,111,10635,2670,1311,235,60,14910,778,549,197,29,34,1579,778,147,54,51,79,1100,54668,5849,2415,1124,318,64375
CED117,7138,4892,2992,115,9,15150,6072,6597,5260,91,15,18034,2483,4420,13876,568,62,21413,86,241,1078,0,5,1412,81,67,492,7,5,647,644,914,1493,163,18,3232,42,76,148,31,8,297,9,16,55,0,0,73,3340,5729,17139,772,94,27080,185,179,283,10,8,667,137,129,236,16,4,528,16875,17523,25907,1006,137,61444
CED118,11785,876,268,4,4,12942,23484,3425,1700,19,66,28701,9632,2515,3053,32,40,15263,727,752,379,0,0,1853,110,132,121,0,0,359,1560,249,253,3,10,2071,272,51,50,0,0,366,55,24,17,0,3,101,12353,3718,3864,36,52,20026,372,191,51,0,0,610,569,105,104,0,11,797,48573,8316,5991,57,137,63077
CED119,15016,1528,1235,11,13,17795,17824,2291,2152,9,4,22280,2949,1104,2615,32,8,6704,182,357,281,0,0,816,65,110,108,0,0,280,747,191,300,19,7,1265,411,53,21,25,8,518,14,5,17,0,0,40,4365,1819,3344,74,25,9628,237,87,315,0,0,646,288,54,82,0,10,436,37728,5783,7129,97,56,50790
CED120,17815,691,122,143,38,18812,24872,494,99,24,25,25511,6647,925,390,66,29,8049,680,173,88,0,0,933,154,182,21,0,4,362,1921,137,82,20,12,2174,332,24,17,63,9,440,41,11,6,0,0,62,9776,1447,604,146,53,12027,949,369,32,13,11,1379,671,58,17,10,12,770,54084,3065,872,338,149,58501
CED121,19531,1031,254,223,42,21085,22899,543,97,18,28,23594,7945,1698,496,25,18,10180,1250,469,126,0,5,1851,224,196,88,3,3,507,2387,199,62,26,10,2690,392,88,28,104,25,639,54,18,8,0,0,80,12248,2671,808,156,65,15952,949,561,116,13,16,1651,659,135,45,22,3,864,56291,4944,1324,434,149,63147
CED122,8784,2742,5464,55,8,17062,6348,3345,7388,36,15,17136,2004,1891,20325,299,42,24560,197,936,2856,0,10,3990,69,83,446,3,3,609,574,338,2397,52,15,3381,100,144,408,8,7,671,16,8,97,0,0,124,2955,3411,26533,358,72,33337,242,124,708,12,3,1084,224,118,568,0,13,924,18556,9739,40661,463,123,69536
CED123,13373,1214,475,87,21,15175,20932,2610,1156,5,19,24724,9887,3183,3612,30,35,16748,997,863,478,0,3,2336,138,284,346,0,0,774,1717,323,260,13,15,2313,250,30,31,10,7,327,58,20,23,0,0,105,13041,4699,4752,54,57,22602,512,161,107,4,3,790,565,131,108,0,0,807,48425,8814,6604,149,97,64098
CED124,26215,1853,743,521,58,29391,16371,485,219,38,17,17125,5205,1267,1275,91,31,7867,397,161,177,5,4,741,284,185,180,5,0,654,2275,268,199,44,17,2802,316,58,35,106,14,528,57,27,16,4,3,104,8530,1964,1876,246,64,12689,1176,206,198,22,24,1621,1075,225,87,166,43,1598,53367,4735,3121,997,205,62418
CED125,12403,1015,435,74,8,13931,26473,1755,689,3,31,28943,10627,1958,1602,8,20,14209,1968,1385,212,0,3,3560,139,192,110,0,4,444,1692,249,148,0,11,2100,229,44,31,5,0,307,50,25,6,0,0,86,14702,3851,2102,13,39,20706,426,379,306,0,0,1120,645,145,82,11,15,899,54655,7141,3617,105,90,65604
CED126,14750,1734,3700,67,22,20269,15190,1036,3536,35,21,19818,2918,524,5139,88,31,8696,113,250,139,0,0,496,53,157,150,0,0,363,1266,186,1002,16,25,2489,93,81,89,20,8,296,27,12,36,0,0,79,4466,1210,6552,124,59,12414,326,641,732,7,4,1713,286,104,202,11,9,603,35019,4716,14725,240,118,54824
CED127,18683,816,317,49,26,19897,20388,676,174,16,18,21274,5358,1167,623,34,17,7207,429,261,55,0,0,748,286,235,121,4,3,649,1676,174,120,11,13,1991,227,32,18,33,6,326,38,12,8,0,3,57,8006,1879,944,88,49,10966,600,122,135,10,10,880,458,44,37,5,26,577,48140,3536,1608,167,139,53591
CED128,13679,1016,700,16,10,15417,13981,1959,1353,7,11,17308,6770,1772,4077,19,80,12717,477,777,884,0,0,2146,93,145,440,0,0,682,1722,307,435,12,14,2477,468,91,149,45,10,764,80,28,41,0,0,156,9618,3112,6019,72,117,18934,481,132,161,0,8,778,639,128,192,0,3,964,38391,6341,8432,99,142,53405
CED129,14976,1192,1214,0,4,17392,23601,2299,1573,0,44,27510,6214,1801,3062,0,27,11109,97,142,61,0,0,305,28,52,82,0,6,167,985,208,245,0,3,1443,156,37,27,0,0,225,15,10,11,0,0,44,7494,2249,3497,0,39,13280,395,106,557,0,3,1064,364,67,105,0,3,540,46835,5905,6945,3,93,59786
CED130,21785,559,80,193,73,22688,16871,246,48,40,19,17222,7198,2501,655,41,24,10417,967,251,162,0,3,1376,421,239,138,6,6,802,3080,250,71,22,23,3448,645,73,20,81,24,841,93,44,11,5,0,154,12405,3360,1054,150,74,17045,1636,149,17,21,42,1865,984,140,39,39,28,1231,53681,4449,1235,439,245,60053
CED131,15301,2213,1318,36,19,18896,17419,1898,1271,20,18,20624,7456,3712,4252,136,51,15604,566,1108,1230,5,5,2910,161,286,209,6,0,661,2497,698,736,29,21,3973,255,92,79,11,4,444,54,22,30,0,0,96,10991,5911,6529,180,81,23688,381,344,124,5,4,860,404,164,142,8,15,721,44495,10531,9383,250,128,64787
CED132,10059,2453,7045,12,10,19584,7958,2130,7671,6,10,17783,2086,1755,19514,86,43,23482,27,77,724,0,7,828,22,54,575,0,5,661,619,372,2278,26,8,3312,40,19,231,9,8,304,6,5,72,0,0,87,2799,2289,23392,119,71,28681,235,113,784,4,11,1151,135,43,326,9,14,517,21195,7034,39222,152,118,67719
CED133,24736,1203,414,674,97,27126,18285,608,197,111,20,19218,5551,1715,1134,51,34,8485,672,248,118,0,0,1038,250,308,90,3,3,662,3653,452,310,86,35,4532,427,71,43,271,19,822,76,44,12,8,5,151,10627,2845,1706,424,84,15681,928,228,54,40,21,1270,980,124,63,52,24,1252,55559,5001,2433,1306,249,64545
CED134,19005,482,94,266,198,20045,15603,232,47,39,57,15970,5195,1307,933,26,22,7487,1454,301,221,4,13,1999,674,205,137,4,10,1032,3405,194,131,38,36,3805,1224,147,136,38,40,1589,109,38,35,5,3,183,12072,2198,1595,118,119,16103,1690,264,91,67,71,2181,1114,100,63,41,45,1375,49480,3268,1895,537,494,55677
CED135,9154,1510,2301,24,9,12995,8762,3319,6725,39,27,18868,4518,3137,18630,125,103,26512,1014,1245,1742,0,14,4016,87,198,714,0,9,1002,1246,456,1594,25,24,3348,268,176,238,10,13,701,53,22,117,0,0,195,7187,5239,23040,161,154,35774,395,142,414,11,7,964,403,178,503,9,22,1114,25890,10380,32991,234,219,69717
CED136,19255,1949,386,333,57,21978,21508,1030,152,25,18,22738,8771,2687,884,49,15,12407,1307,406,165,4,7,1883,431,295,108,3,3,832,2123,386,123,22,15,2666,843,78,18,136,14,1092,58,35,9,3,0,111,13535,3882,1306,222,50,18990,675,547,48,14,9,1297,618,143,56,21,9,843,55592,7550,1940,612,150,65852
CED137,10960,1685,5805,55,14,18516,7730,1991,11321,87,31,21156,2819,1578,22868,330,137,27743,128,284,764,0,4,1182,46,48,311,0,4,412,742,266,2360,62,27,3459,133,99,614,10,18,868,16,10,115,0,0,145,3881,2295,27038,405,186,33805,300,111,656,14,3,1077,280,68,553,9,27,936,23144,6146,45370,565,268,75494
CED138,19200,3940,1859,844,65,25914,15133,2393,905,59,25,18512,4210,2631,1974,55,32,8905,441,647,284,0,5,1385,159,221,126,0,4,510,3084,1014,649,109,38,4899,407,190,105,229,47,980,63,36,18,0,0,118,8365,4738,3161,399,120,16786,901,305,321,50,17,1592,683,221,140,62,20,1127,44288,11595,6386,1414,244,63929
CED139,21585,578,364,131,57,22712,18079,232,148,41,33,18543,6364,1097,1903,75,15,9458,1475,99,238,0,5,1822,222,137,111,0,3,476,3187,231,175,27,24,3637,821,68,63,56,13,1009,80,24,24,0,0,128,12151,1651,2520,156,56,16534,1361,229,112,23,23,1753,979,85,91,18,36,1200,54160,2776,3233,368,208,60743
CED140,16497,2768,1493,169,31,20968,16809,1307,1197,41,20,19370,6144,1908,3054,263,57,11426,513,559,434,0,3,1511,141,139,189,0,0,468,1667,323,395,49,16,2450,251,55,36,14,3,359,50,17,22,4,0,97,8764,3004,4130,331,86,16313,589,690,346,9,5,1635,501,235,134,18,24,916,43165,8003,7303,567,165,59198
CED141,20250,1948,667,147,17,23030,19252,891,348,18,3,20522,5790,1493,958,44,8,8294,1140,560,431,0,0,2133,94,60,183,0,0,341,1919,295,170,11,9,2405,239,36,21,46,0,344,47,15,19,0,0,76,9215,2465,1786,106,22,13594,477,243,119,9,9,854,524,92,67,8,16,712,49724,5643,2982,294,67,58712
CED142,798,3967,8054,31,18,12876,666,4759,12501,54,30,18000,436,5909,38725,290,195,45561,61,1539,4013,6,13,5632,8,137,1223,13,22,1397,136,1404,4590,91,62,6277,33,104,734,22,28,922,3,33,164,0,0,200,669,9125,49456,422,315,59989,34,229,933,11,15,1221,31,191,1047,15,42,1312,2195,18270,71984,532,416,93398
CED143,10403,2089,6247,39,18,18795,9897,1633,5877,31,13,17455,2073,1005,12606,129,44,15855,73,98,314,0,0,479,57,104,194,0,3,352,733,269,2114,36,16,3169,58,36,96,4,0,188,29,12,47,0,0,92,3021,1528,15368,164,60,20142,230,141,471,8,0,849,165,52,252,12,17,491,23717,5442,28212,258,111,57730
CED144,11172,2161,2553,32,16,15924,8995,3180,4337,30,18,16559,3620,1943,10994,150,45,16749,490,1016,963,0,3,2470,117,232,278,3,5,639,1287,416,1184,32,20,2942,313,95,289,9,15,723,28,28,68,3,4,134,5856,3728,13781,196,85,23646,430,181,459,8,8,1078,485,165,416,9,15,1091,26940,9416,21541,275,129,58304
CED145,5234,4236,7448,149,18,17085,3760,4118,6310,104,10,14307,795,2379,18096,370,47,21695,3,26,391,0,0,422,3,31,156,0,4,191,313,596,3109,91,12,4125,29,33,208,16,20,302,10,10,78,8,0,101,1155,3070,22046,481,78,26843,149,141,844,18,12,1167,122,121,457,10,13,722,10427,11684,37109,765,136,60119
CED146,12411,940,134,3,17,13498,21226,2359,304,0,71,23964,7604,1895,458,16,35,10006,2263,1027,761,0,8,4056,197,147,187,0,6,535,1636,225,121,0,18,2006,603,48,34,0,5,685,77,11,12,0,0,112,12373,3358,1579,18,72,17398,517,182,81,0,7,792,795,127,61,0,9,998,47322,6979,2155,19,179,56648
CED147,20569,1810,332,363,29,23098,20092,1445,288,22,16,21860,6071,1966,935,32,16,9019,2020,621,340,3,0,2987,264,159,104,0,3,532,1854,330,174,16,12,2380,228,42,27,58,4,357,48,26,9,0,0,89,10489,3147,1595,113,33,15362,546,355,109,12,5,1022,579,132,62,22,10,799,52275,6876,2378,519,87,62141
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
