CED_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED111,76,4261,187,4529,486,8685,395,9568,184,4516,238,4939,147,5898,325,6373,231,10290,565,11081,248,9133,429,9809,346,9181,443,9974,521,8782,379,9683,719,6405,312,7442,880,3368,249,4496,767,737,173,1675,4622,71255,3697,79564,31,4025,176,4240,276,8427,403,9101,100,4474,249,4823,136,5830,298,6266,204,10029,484,10725,255,9536,433,10223,439,9593,371,10403,587,9137,343,10070,798,6997,322,8121,1330,3664,349,5338,1480,908,410,2798,5639,72622,3837,82109,111,8284,367,8770,759,17108,796,18672,287,8992,496,9767,287,11729,620,12639,435,20314,1051,21802,498,18669,864,20029,785,18781,809,20382,1109,17917,720,19750,1522,13407,634,15558,2215,7023,599,9837,2247,1647,579,4479,10261,143877,7539,161676
CED112,119,4597,273,4981,1062,9300,588,10951,333,4606,264,5195,211,4148,247,4608,287,8321,525,9136,302,8706,535,9544,394,8914,531,9838,649,8326,462,9435,927,7001,425,8355,927,3681,350,4949,713,788,250,1744,5929,68382,4437,78744,77,4433,260,4765,475,9215,590,10279,197,4378,259,4835,140,4138,228,4505,247,9098,539,9879,323,9345,497,10166,454,9682,490,10622,697,9339,438,10472,922,8030,438,9392,1314,4209,487,6007,1416,1108,525,3055,6265,72975,4741,83974,193,9024,535,9752,1539,18514,1178,21227,533,8982,518,10033,351,8286,472,9114,541,17417,1065,19020,631,18051,1026,19708,844,18594,1021,20457,1343,17661,895,19907,1850,15033,859,17745,2236,7890,831,10959,2123,1901,777,4801,12190,141351,9178,162722
CED113,64,4117,223,4413,537,9153,660,10346,163,4100,275,4538,135,3520,271,3927,204,8352,778,9333,218,8521,681,9421,342,9734,722,10800,478,10502,781,11761,738,8628,623,9990,761,3804,327,4893,530,722,145,1394,4150,71161,5496,80807,35,4117,272,4422,242,8587,563,9391,103,3831,248,4185,86,3246,233,3566,198,8712,603,9518,253,9140,578,9969,416,10200,589,11208,549,10574,649,11771,645,8488,536,9670,904,3733,333,4968,1070,769,219,2059,4501,71397,4825,80724,106,8238,496,8838,782,17737,1219,19741,263,7935,523,8718,220,6763,508,7493,398,17060,1382,18847,467,17657,1261,19388,757,19935,1316,22010,1024,21081,1436,23536,1380,17116,1159,19654,1663,7538,657,9855,1594,1493,364,3452,8648,142559,10326,161530
CED114,108,4714,424,5245,683,9564,991,11230,230,4612,420,5265,174,4009,388,4573,290,8966,908,10162,226,8438,795,9457,389,9022,910,10321,626,9973,867,11469,956,8739,814,10511,898,4359,441,5702,707,954,202,1861,5286,73346,7144,85777,52,4536,407,4999,320,9431,880,10636,126,4542,367,5040,110,3912,355,4379,211,9208,795,10217,224,9002,782,10006,427,9505,732,10668,613,10412,811,11837,918,8718,675,10314,1240,4673,497,6419,1464,1143,236,2840,5718,75078,6546,87339,160,9252,829,10242,1008,18991,1873,21862,361,9149,785,10298,285,7919,743,8948,502,18172,1700,20376,451,17437,1573,19463,816,18526,1643,20990,1246,20381,1681,23306,1874,17461,1483,20824,2142,9039,936,12114,2167,2094,439,4701,11007,148424,13687,173116
CED115,85,4481,478,5041,481,9750,850,11082,167,5157,394,5723,143,5681,426,6248,268,11212,970,12455,299,9424,837,10550,615,9363,736,10711,1104,9259,670,11037,1440,5851,474,7765,1239,2140,323,3703,767,400,206,1376,6607,72729,6353,85684,43,4206,439,4692,201,9214,817,10234,100,5065,352,5517,78,5724,414,6214,176,11213,999,12390,315,10352,839,11506,715,10011,695,11419,1379,9211,617,11205,1787,6075,470,8327,1799,2004,366,4171,1391,387,371,2157,7987,73467,6383,87839,128,8691,917,9738,685,18966,1666,21319,271,10226,745,11236,220,11399,834,12460,445,22428,1968,24843,611,19773,1676,22062,1329,19376,1430,22132,2483,18469,1292,22246,3226,11929,944,16092,3034,4147,691,7871,2163,783,578,3531,14596,146192,12736,173523
CED116,84,3726,293,4104,648,7782,684,9124,238,3759,315,4316,164,3113,340,3623,287,6687,811,7789,270,7027,753,8046,387,8034,758,9175,783,10416,712,11911,1127,11281,697,13103,1181,5730,427,7335,854,1160,146,2161,6027,68728,5936,80692,53,3468,275,3797,260,7790,603,8660,155,3515,293,3958,110,2902,213,3222,221,7065,515,7799,267,7587,562,8418,417,8765,560,9742,744,11700,628,13064,1065,11813,634,13508,1501,5696,435,7629,1613,1377,259,3249,6402,71675,4973,83053,135,7193,576,7903,913,15576,1287,17779,386,7278,604,8273,269,6017,552,6842,510,13756,1333,15593,536,14617,1312,16466,803,16807,1315,18925,1527,22112,1332,24979,2197,23095,1329,26616,2682,11423,863,14966,2466,2533,407,5405,12432,140406,10907,163743
CED117,40,3759,134,3930,243,6963,284,7487,75,2981,123,3183,69,4019,246,4335,123,13190,710,14015,139,11907,597,12639,210,9890,503,10597,310,7206,462,7982,457,4691,283,5439,661,1987,197,2849,571,388,93,1048,2913,66969,3636,73515,11,3588,153,3758,121,6846,233,7196,56,2712,120,2891,73,4427,256,4760,166,14183,751,15105,136,12377,513,13028,224,10494,409,11119,317,7600,290,8206,580,5351,251,6183,1051,2149,169,3361,1050,451,104,1612,3787,70188,3242,77216,54,7351,283,7687,362,13806,511,14683,134,5698,246,6069,142,8444,505,9095,287,27373,1459,29123,275,24285,1105,25666,427,20378,915,21719,631,14806,748,16191,1038,10041,536,11617,1713,4135,367,6214,1616,840,200,2659,6691,137158,6882,150729
CED118,165,6950,387,7494,688,14302,717,15710,235,5658,303,6184,152,6086,551,6789,204,13056,1374,14637,225,17651,1172,19041,286,11713,679,12677,438,8130,398,8964,699,5246,248,6193,701,2048,164,2910,387,319,75,778,4178,91157,6059,101385,66,6702,361,7133,323,13844,680,14846,111,5354,243,5706,95,5617,300,6016,161,14106,798,15064,253,17553,816,18622,411,11271,491,12170,619,8300,349,9269,929,5716,263,6909,1035,2003,164,3205,749,362,97,1214,4766,90826,4565,100159,235,13648,744,14626,1013,28148,1400,30554,344,11011,541,11895,248,11705,853,12810,363,27166,2173,29697,477,35201,1987,37663,694,22986,1173,24846,1057,16430,747,18229,1629,10966,512,13110,1737,4047,329,6111,1144,680,167,1995,8941,181982,10623,201542
CED119,74,4468,140,4687,531,9910,316,10762,196,4711,152,5064,118,4333,168,4627,151,7826,290,8261,157,9667,346,10163,173,9681,293,10147,242,8237,259,8740,460,6009,214,6682,543,2900,260,3706,452,555,211,1211,3099,68300,2646,74052,39,4399,134,4583,253,9655,259,10168,99,4417,116,4636,53,3927,90,4079,118,8167,280,8565,169,10407,321,10899,223,10394,253,10865,336,8651,210,9197,552,6321,235,7110,829,3066,286,4182,857,640,471,1965,3532,70049,2669,76248,120,8869,279,9266,788,19570,581,20930,297,9138,265,9699,180,8263,264,8704,270,15996,564,16829,324,20070,665,21063,395,20068,543,21011,575,16885,472,17935,1010,12333,453,13793,1375,5968,545,7886,1303,1197,681,3181,6631,138347,5317,150300
CED120,134,5689,302,6127,839,10956,646,12449,287,5078,275,5654,171,4486,290,4939,248,9684,687,10620,232,9761,652,10645,325,10124,621,11072,439,9148,548,10139,732,7149,435,8315,767,3249,283,4298,475,583,120,1177,4654,75912,4861,85432,81,5375,266,5721,413,10630,638,11682,177,4856,233,5261,103,4342,190,4633,204,10258,506,10967,227,10432,544,11211,380,10498,481,11358,540,9599,475,10609,812,7508,402,8722,1055,3221,297,4576,1051,642,230,1927,5038,77366,4260,86665,211,11071,569,11854,1258,21586,1283,24129,468,9939,508,10914,272,8826,481,9573,449,19941,1191,21582,461,20196,1200,21855,701,20614,1100,22428,978,18746,1016,20748,1546,14661,833,17034,1823,6468,585,8874,1526,1229,353,3108,9692,153279,9123,172094
CED121,140,5004,280,5429,1018,9980,622,11611,358,4759,327,5443,218,4580,470,5263,324,9735,1129,11188,308,9245,1015,10558,435,9413,819,10672,720,9310,666,10698,1056,7752,523,9323,1036,3827,320,5180,714,803,147,1666,6318,74398,6318,87036,64,4800,267,5127,452,9944,552,10951,170,4574,246,4984,134,4317,234,4676,251,10307,510,11063,310,9686,487,10487,532,9849,471,10845,790,9695,445,10935,1016,8342,439,9803,1424,4039,329,5792,1523,970,220,2715,6667,76516,4202,87384,207,9801,550,10562,1468,19927,1170,22564,527,9327,572,10422,353,8897,698,9941,570,20040,1637,22251,617,18929,1499,21046,973,19257,1292,21516,1510,19008,1114,21629,2074,16094,960,19128,2453,7859,651,10968,2241,1778,367,4383,12990,150910,10519,174420
CED122,62,4593,255,4914,316,8340,466,9123,112,4180,232,4527,105,6647,545,7295,149,16556,1395,18095,153,12542,1004,13702,252,10062,735,11056,362,8051,579,8995,509,5464,412,6390,748,2872,311,3931,623,689,193,1499,3395,79999,6130,89527,25,4394,233,4652,134,8178,416,8721,64,3973,192,4223,57,6589,446,7091,145,17385,1089,18621,169,13004,741,13911,246,10771,504,11517,440,8415,398,9249,680,6226,368,7276,1211,3320,311,4845,1140,768,381,2288,4299,83024,5086,92410,85,8986,488,9558,446,16514,878,17842,174,8156,428,8753,160,13241,992,14389,287,33940,2487,36721,324,25544,1745,27612,504,20832,1242,22576,798,16466,978,18246,1193,11689,779,13670,1954,6198,622,8778,1767,1452,574,3791,7695,163024,11214,181933
CED123,161,6582,412,7157,1024,11662,827,13520,272,5202,376,5844,218,5862,469,6549,313,12412,1131,13856,339,12387,1030,13756,436,10252,776,11460,618,8130,525,9276,778,5775,380,6938,683,2432,282,3399,338,381,151,872,5189,81084,6361,92631,85,6088,411,6584,475,11574,822,12875,180,5177,309,5663,136,5747,455,6336,294,13627,1090,15004,325,12817,918,14059,485,10528,636,11657,662,8737,439,9834,887,6469,387,7746,1012,2512,356,3877,742,474,361,1577,5292,83742,6182,95216,250,12668,823,13743,1502,23240,1649,26393,456,10374,679,11509,351,11604,927,12890,605,26038,2213,28860,666,25201,1950,27817,921,20781,1411,23115,1284,16866,965,19113,1670,12249,768,14685,1701,4947,632,7278,1081,853,511,2446,10483,164829,12538,187851
CED124,77,3125,238,3439,667,7858,683,9210,242,3780,279,4301,163,2748,206,3122,250,5317,413,5974,268,6202,478,6950,431,7938,567,8943,826,10143,671,11640,1252,11369,691,13312,1298,6021,445,7764,878,1176,178,2237,6355,65684,4848,76884,54,3116,231,3408,322,7729,665,8718,141,3652,242,4035,108,2577,187,2874,224,5919,479,6628,246,6962,511,7713,463,8718,520,9690,815,11462,584,12861,1126,11548,651,13331,1493,5931,486,7914,1627,1401,269,3295,6620,69024,4821,80459,133,6246,470,6844,991,15591,1349,17928,386,7427,519,8337,274,5328,388,5989,472,11240,891,12603,513,13168,988,14663,890,16658,1089,18632,1643,21603,1253,24506,2379,22921,1341,26639,2791,11952,934,15676,2501,2580,449,5529,12975,134707,9666,157347
