UCL_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL112015,4164,4689,2111,190,11153,3332,537,15023,123,51,37,6,215,379,35,623,39,12,13,7,63,90,26,178,158,67,49,6,284,465,54,801,310,172,140,26,651,1219,122,1993,13,0,3,0,16,58,3,81,10,0,0,0,10,18,0,35,3,3,0,0,5,4,0,7,331,178,147,26,681,1305,125,2115,8,0,0,0,8,3,0,10,3,0,0,0,3,7,0,7,0,0,0,0,0,0,0,3,28,41,23,0,90,28,15,136,40,41,18,0,100,33,15,151,8,12,4,0,24,12,0,35,4702,4986,2333,225,12237,5145,734,18116
UCL113001,1371,871,444,41,2733,884,132,3747,301,126,171,8,603,684,42,1337,263,122,133,7,522,537,50,1106,570,245,304,10,1129,1222,90,2448,60,21,46,5,139,178,19,336,44,5,24,0,68,67,11,149,24,0,0,0,23,25,5,55,0,0,0,0,0,0,0,3,121,31,74,8,228,273,38,546,17,3,6,3,30,93,0,120,61,8,19,0,91,161,5,253,0,0,0,0,0,0,0,0,3,0,3,0,9,4,3,16,79,11,32,3,125,253,7,389,7,5,3,0,11,14,3,29,2147,1166,853,67,4235,2653,272,7156
UCL113002,1202,680,481,31,2387,812,99,3299,81,14,25,0,123,182,8,309,75,20,28,0,121,135,8,266,153,37,53,3,246,315,11,571,92,38,64,9,195,342,18,559,4,3,0,0,11,16,0,21,13,0,0,0,13,17,0,28,0,0,0,0,0,0,0,4,111,36,64,9,214,373,18,609,8,0,0,0,8,16,0,25,14,0,0,0,11,26,0,37,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,15,0,3,0,20,39,0,68,10,5,0,0,16,12,0,24,1490,758,596,42,2884,1561,134,4573
UCL113003,1828,1431,990,71,4326,2256,178,6760,17,14,11,0,48,101,0,152,3,0,8,0,10,0,0,16,20,17,18,0,58,106,4,164,18,3,3,0,26,150,3,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,0,26,150,3,183,6,0,0,0,3,4,0,10,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,3,0,0,9,8,0,18,10,3,7,0,16,13,0,23,1879,1460,1018,74,4428,2532,182,7142
UCL113004,660,527,146,9,1342,392,36,1778,42,3,9,0,52,67,3,121,0,0,0,0,0,5,0,4,42,3,10,0,50,71,3,126,35,18,13,3,74,94,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,13,3,74,94,3,169,0,0,0,0,3,0,0,3,10,0,0,0,11,20,0,36,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,15,16,4,0,0,22,20,0,53,3,0,0,0,3,4,0,6,756,558,169,11,1493,586,50,2125
UCL113005,2127,1114,613,48,3902,1310,125,5335,477,70,138,11,692,748,43,1488,61,22,40,3,122,85,6,218,535,98,173,11,815,839,50,1710,81,28,89,3,204,373,31,600,60,12,41,3,113,173,18,304,125,25,52,4,203,181,18,405,0,0,0,0,0,0,0,0,263,62,175,14,520,726,64,1304,9,3,0,0,12,27,0,41,24,7,3,0,27,38,5,74,0,0,0,0,0,0,0,0,4,4,9,0,15,13,5,41,37,12,15,0,59,88,9,154,21,7,6,0,41,32,0,73,2983,1288,987,76,5333,2991,251,8577
UCL113006,1389,1363,884,61,3693,1329,161,5189,77,9,16,4,104,242,9,357,35,17,53,3,107,106,12,226,109,28,68,3,207,351,17,584,64,16,57,4,140,359,16,518,0,0,4,3,10,21,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,16,62,11,149,381,17,543,4,0,3,0,11,33,0,44,0,0,0,0,0,20,3,24,0,0,0,0,3,9,0,10,3,3,7,0,12,4,0,18,12,6,7,3,25,59,0,88,11,5,6,0,17,16,0,28,1583,1412,1021,75,4100,2139,206,6436
UCL113007,1379,1864,589,67,3895,1010,143,5052,74,46,40,0,158,204,16,375,0,3,3,0,7,0,0,13,75,47,40,3,163,208,23,389,154,149,73,11,391,338,48,783,3,0,0,0,3,9,4,20,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,162,153,71,11,401,354,56,805,3,0,3,0,9,24,3,33,4,0,3,0,3,7,0,10,0,3,0,0,5,9,0,6,3,7,3,0,14,4,3,23,14,5,4,0,25,39,4,76,3,12,5,0,22,5,3,32,1631,2084,712,77,4503,1613,229,6348
UCL113008,794,680,725,43,2239,842,118,3193,18,7,12,0,39,106,3,146,3,5,6,0,10,25,0,36,19,11,19,3,50,128,3,185,7,8,18,0,36,128,3,164,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,9,8,18,0,37,141,7,179,5,0,0,0,5,24,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,12,4,14,7,4,3,0,10,36,4,46,8,6,7,0,17,13,0,32,838,702,770,45,2350,1160,126,3640
UCL113009,1275,1420,315,23,3039,558,68,3664,63,25,21,3,115,73,0,190,211,94,76,5,379,200,27,603,271,119,100,4,493,270,23,790,56,20,27,3,110,122,9,240,24,4,3,0,33,39,0,73,65,0,3,0,66,116,3,191,0,0,0,0,0,0,0,0,145,29,29,3,207,277,13,500,3,3,0,0,9,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,5,0,22,7,13,0,0,23,9,0,36,3,4,0,0,13,9,0,17,1706,1583,447,31,3775,1130,107,5013
UCL113010,1389,1747,872,69,4081,1199,136,5418,64,24,58,6,143,224,12,386,13,5,15,0,34,62,7,104,75,31,70,6,181,293,17,485,4,6,10,3,30,90,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,3,30,90,3,120,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,5,0,4,0,9,0,0,11,10,6,0,0,19,6,0,20,1479,1800,960,77,4312,1582,159,6054
UCL113011,1042,969,572,38,2620,1314,98,4029,61,24,50,3,136,281,15,423,12,5,14,0,34,43,6,84,77,33,61,3,167,327,15,511,12,13,11,0,39,66,0,108,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,10,0,37,85,0,126,0,0,0,0,3,10,0,11,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,4,0,4,0,5,4,3,18,3,3,4,0,12,17,3,31,4,4,0,0,5,11,0,12,1134,1016,647,46,2844,1757,116,4715
