UCL_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL115106,102,95,125,113,79,55,121,110,18,818
UCL115107,94,92,163,106,80,80,194,133,27,966
UCL115108,172,417,300,243,198,184,78,194,31,1826
UCL115109,121,287,164,201,177,149,66,126,10,1307
UCL115110,32,67,62,63,39,42,26,59,9,400
UCL115111,92,101,106,90,75,47,36,63,7,622
UCL115112,215,350,275,200,246,138,129,139,23,1722
UCL115113,226,193,258,122,248,98,76,79,22,1328
UCL115114,29,51,109,115,61,50,103,82,12,612
UCL115115,84,140,134,133,94,91,138,149,12,986
UCL115116,169,291,325,212,275,172,173,175,28,1827
UCL115117,64,118,103,72,71,40,40,67,4,585
UCL115118,157,311,246,191,231,135,79,214,25,1596
UCL115119,216,336,384,191,212,185,283,360,38,2199
UCL115120,119,208,229,144,141,77,54,107,16,1097
UCL115121,276,273,420,234,408,202,255,256,45,2374
UCL115122,67,121,60,58,70,65,14,45,3,507
UCL115123,36,60,90,47,39,40,21,55,5,412
UCL115124,92,229,133,105,87,99,21,91,10,866
UCL115125,98,264,107,85,83,52,11,38,8,742
UCL115126,94,101,156,146,95,78,70,103,30,870
UCL115127,166,253,355,249,232,199,243,266,29,1994
UCL115128,101,125,269,215,174,146,145,176,33,1391
UCL115129,90,166,94,76,81,57,18,65,3,645
UCL115130,59,69,109,98,65,66,42,73,7,584
UCL115131,188,223,266,185,180,186,114,211,16,1567
UCL115132,101,96,128,131,96,99,71,128,21,880
UCL115133,72,120,155,111,133,68,93,91,18,861
UCL115134,144,204,269,145,187,127,129,149,21,1382
UCL115135,122,92,130,84,70,58,70,121,17,769
UCL115136,42,55,59,47,55,34,22,31,6,346
UCL115137,58,54,85,79,49,44,84,115,12,586
UCL115138,76,119,131,103,83,76,25,70,12,690
UCL115139,95,138,158,111,137,93,57,152,15,961
UCL115140,88,155,130,113,103,78,71,141,15,885
UCL115141,49,130,58,69,61,34,18,45,3,480
UCL115142,152,293,173,131,123,92,30,74,23,1096
UCL115143,78,64,90,62,65,47,56,95,10,559
UCL115144,39,89,69,104,47,39,31,79,17,516
UCL115145,59,60,105,39,100,47,59,51,9,535
UCL115146,45,63,128,111,98,75,134,113,7,772
UCL115147,30,54,68,49,43,32,49,67,12,396
UCL115148,58,70,83,64,49,46,52,79,13,509
UCL115149,61,88,77,50,58,68,94,85,14,602
UCL115150,107,183,188,286,140,136,104,204,21,1374
UCL115151,55,56,41,45,36,34,30,60,9,362
UCL115152,20,38,51,58,29,47,68,65,6,396
UCL115153,151,163,178,101,131,100,161,138,24,1146
UCL115154,132,144,220,101,187,87,82,96,15,1060
UCL115155,103,124,118,69,124,67,70,49,10,733
UCL115156,106,196,224,217,157,184,125,294,29,1531
UCL115157,95,222,114,105,133,123,57,102,17,965
UCL115158,362,221,214,199,179,133,97,420,32,1858
UCL115159,76,73,121,69,83,78,76,102,12,697
UCL115160,60,71,93,50,57,65,44,59,5,496
UCL115161,40,50,80,39,58,55,43,98,13,474
UCL121001,30,34,53,42,39,23,60,42,7,326
UCL121002,35,29,16,25,12,10,15,37,10,191
UCL121003,32,52,44,25,26,30,5,25,3,246
UCL121004,26,32,48,30,41,21,15,27,3,245
UCL121005,36,43,71,29,47,16,24,28,8,302
UCL121006,24,29,52,24,26,17,4,25,4,209
UCL121007,56,56,72,74,49,42,31,62,5,453
UCL121008,42,34,47,36,35,26,45,43,7,322
UCL121009,5,14,10,33,3,10,20,31,4,122
UCL121010,21,26,50,22,25,13,66,54,0,282
UCL121011,11,29,36,63,19,29,13,38,4,237
UCL121012,61,86,81,39,66,42,54,33,8,473
UCL121013,28,53,23,57,21,11,13,30,10,240
UCL121014,64,94,56,34,55,27,9,29,11,396
UCL121015,23,39,51,26,34,14,20,34,8,248
UCL121016,26,28,89,40,42,32,38,52,3,342
UCL121017,43,97,47,33,42,19,18,21,0,324
UCL121018,30,71,35,25,30,20,7,26,0,256
UCL121019,50,40,41,40,26,17,26,48,4,290
UCL121020,30,41,44,32,28,26,27,44,5,274
UCL121021,9,8,25,7,9,11,4,18,4,93
UCL121022,28,35,58,49,40,30,41,59,7,348
UCL121023,5,10,27,33,23,38,30,19,3,188
UCL121024,45,76,59,52,37,21,9,15,3,318
UCL121025,37,104,50,58,38,37,13,37,7,377
UCL121026,14,58,39,38,23,31,11,28,10,256
UCL121027,57,118,65,59,61,57,13,43,10,474
UCL121028,17,45,43,25,30,16,15,25,0,222
UCL121029,18,21,41,29,13,16,46,50,7,246
UCL121030,16,12,8,19,18,3,12,17,9,104
UCL121031,40,26,49,44,41,18,51,93,12,373
UCL121032,33,85,59,49,49,36,22,39,6,369
UCL121033,37,23,22,32,24,20,22,49,9,237
UCL121034,60,66,45,51,43,52,8,22,3,347
UCL121035,32,38,63,61,49,36,57,40,4,381
UCL121036,60,69,58,49,63,50,30,36,3,417
UCL121037,29,57,64,35,36,29,8,37,8,299
UCL121038,19,21,39,25,15,11,21,30,4,190
UCL121039,35,14,26,19,22,8,16,46,6,201
UCL121040,53,59,37,26,27,17,5,12,3,250
UCL121041,38,68,46,30,42,31,6,19,7,292
UCL121042,15,24,37,19,21,9,19,25,5,177
UCL121043,49,82,28,38,27,19,7,21,3,273
UCL121044,58,77,67,25,47,26,15,22,3,336
UCL121045,10,35,33,26,30,30,7,32,0,202
UCL121046,26,48,32,36,43,12,26,18,3,247
UCL121047,37,60,45,44,34,32,13,24,4,299
UCL121048,38,35,48,22,44,39,35,64,5,331
UCL121049,15,24,22,14,24,19,14,30,4,152
UCL121050,45,56,51,48,42,31,17,51,10,359
UCL121051,43,37,38,32,42,19,33,26,8,290
UCL121052,50,59,54,33,40,23,9,30,3,305
UCL121053,54,118,79,61,55,43,28,25,9,472
UCL121054,44,21,60,30,38,34,30,46,9,311
UCL121055,65,67,77,30,62,39,17,38,4,400
UCL121056,18,68,55,34,42,28,13,37,4,297
UCL121057,20,43,72,51,41,35,22,43,3,322
UCL121058,28,37,94,42,54,23,43,30,10,354
UCL121059,84,165,92,70,128,75,56,47,6,715
UCL121060,21,35,48,27,34,26,10,30,3,244
UCL121061,60,92,72,47,65,53,32,48,6,473
UCL121062,68,130,75,62,67,39,27,40,5,518
UCL121063,19,33,33,28,29,28,23,30,8,233
UCL121064,13,41,43,30,31,24,20,29,5,235
UCL121065,64,36,33,41,36,16,35,34,7,314
UCL121066,76,82,117,80,83,60,28,49,6,580
UCL121067,38,73,32,25,49,37,17,9,0,279
UCL121068,49,73,38,39,33,22,13,11,9,293
UCL121069,25,13,52,34,25,25,44,46,3,277
UCL121070,16,22,36,34,20,17,37,49,8,236
UCL121071,42,66,46,44,29,20,13,34,3,298
UCL121072,24,45,35,19,32,20,8,11,7,205
UCL121073,23,36,51,55,37,25,63,43,4,338
UCL121074,14,26,59,42,28,25,41,45,3,278
UCL121075,39,62,58,33,39,27,31,38,3,329
UCL121076,25,42,76,42,47,31,43,35,7,353
UCL121077,29,50,33,25,27,18,17,32,0,231
UCL121078,37,92,71,50,51,41,19,17,3,386
UCL121079,34,64,31,28,34,20,15,19,3,240
UCL121080,50,88,46,67,56,29,18,42,3,405
UCL121081,48,84,80,53,43,34,14,31,3,395
UCL121082,63,56,66,32,61,38,34,19,7,379
UCL121083,65,110,54,39,67,27,16,19,3,406
UCL121084,32,30,59,38,20,20,42,53,8,298
UCL121085,12,18,43,29,26,26,25,31,3,211
UCL121086,21,20,43,36,28,35,34,50,5,278
UCL121087,58,81,72,51,54,35,22,35,7,425
UCL121088,14,44,66,21,31,24,53,35,4,294
UCL121089,51,67,66,52,54,55,27,36,3,408
UCL121090,28,54,46,42,50,26,20,35,6,308
UCL121091,46,60,112,53,73,42,77,49,8,521
UCL121092,32,35,67,35,37,45,57,38,5,345
UCL121093,29,19,22,36,19,18,25,18,0,191
UCL121094,52,62,39,26,37,20,37,17,3,281
UCL121095,25,63,28,14,21,26,7,15,9,193
UCL121096,42,72,36,36,25,21,11,26,8,275
UCL121097,65,100,48,42,76,44,20,25,6,429
UCL121098,19,28,39,29,29,12,25,26,5,210
UCL121099,49,106,60,42,51,34,22,50,5,423
UCL121100,61,55,103,68,37,43,50,52,15,489
UCL121101,32,73,55,37,28,23,11,40,9,313
UCL121102,35,40,62,37,38,29,34,55,13,344
UCL121103,23,34,53,33,34,18,18,40,3,262
UCL121104,18,23,13,34,12,15,14,46,3,176
UCL121105,26,57,39,36,36,38,11,17,3,256
UCL121106,46,49,50,46,35,29,30,46,10,343
UCL121107,26,66,50,50,28,41,23,39,7,326
UCL121108,39,67,17,23,27,22,7,16,4,223
UCL121109,20,41,45,44,38,41,34,50,0,323
UCL121110,37,24,39,39,24,14,30,42,7,256
UCL121111,32,44,65,58,49,39,23,45,7,359
UCL121112,25,21,37,28,28,13,24,37,3,217
UCL121113,39,80,41,37,32,46,3,19,7,308
UCL121114,29,26,28,26,13,26,10,25,5,184
UCL121115,62,75,94,48,75,51,53,33,5,489
UCL121116,24,31,50,34,30,21,21,37,4,244
UCL121117,44,56,60,51,56,44,39,26,3,379
UCL121118,6,21,10,46,16,3,9,24,4,134
UCL121119,22,51,55,31,46,26,17,24,6,281
UCL121120,27,17,39,35,20,21,21,33,3,227
UCL121121,20,38,38,27,20,28,28,43,3,241
UCL121122,34,34,35,39,42,36,14,45,0,275
UCL121123,22,15,46,30,21,21,40,43,8,238
UCL121124,13,13,37,19,15,7,34,56,0,195
UCL121125,31,32,66,40,41,24,40,56,11,339
UCL121126,45,75,100,65,58,64,67,71,3,552
UCL122001,6,4,21,15,9,9,12,16,0,95
UCL122002,14,3,16,13,6,12,5,21,0,87
UCL122003,16,26,39,13,24,23,16,13,0,169
UCL122004,15,36,12,17,6,8,0,3,0,103
UCL122005,17,10,17,19,13,13,10,15,0,102
UCL122006,12,13,9,9,7,3,0,18,0,80
UCL122007,6,9,11,24,7,10,15,32,4,119
UCL122008,8,13,18,20,14,17,18,26,0,130
UCL122009,7,15,19,15,14,9,15,34,3,140
UCL122010,15,17,26,16,19,18,15,20,3,154
UCL122011,27,27,32,20,14,11,14,24,3,174
UCL122012,18,11,9,7,13,6,18,23,4,112
UCL122013,3,3,8,3,4,3,3,10,0,40
UCL122014,17,15,28,14,17,27,15,22,0,153
UCL122015,19,13,22,6,11,11,10,22,4,128
UCL122016,18,34,12,8,7,9,3,7,0,90
UCL122017,11,3,24,12,22,19,15,27,0,133
UCL122018,26,26,25,13,19,11,10,20,5,138
UCL122019,12,6,8,9,6,3,10,22,0,80
UCL122020,10,11,22,16,19,11,9,22,0,122
UCL122021,9,9,6,12,3,7,7,22,3,74
UCL122022,9,14,11,3,13,6,3,8,3,72
UCL122023,20,24,33,18,28,14,13,15,3,176
UCL122024,26,39,13,18,22,16,8,13,0,158
UCL122025,31,37,30,24,21,18,3,24,3,189
UCL122026,13,19,19,19,11,18,17,13,14,132
UCL122027,22,22,25,24,15,15,22,44,4,196
UCL122028,3,6,20,5,9,4,23,21,8,96
UCL122029,3,18,3,7,4,0,4,13,3,56
UCL122030,12,8,21,22,13,3,8,23,7,114
UCL122031,18,22,8,3,9,6,8,4,0,90
UCL122032,8,28,16,20,14,12,8,21,0,142
UCL122033,21,32,23,19,29,17,11,11,0,162
UCL122034,22,31,40,22,29,9,17,25,8,202
UCL122035,15,3,8,10,6,11,7,7,0,64
UCL122036,6,9,21,9,14,14,22,15,0,109
UCL122037,14,16,13,11,19,5,5,10,0,87
UCL122038,6,18,19,18,7,19,9,19,0,115
UCL122039,10,29,9,32,7,3,11,21,0,121
UCL122040,15,26,23,18,17,12,7,11,0,128
UCL122041,17,17,18,25,9,14,14,25,0,142
UCL122042,16,24,23,35,19,15,14,26,0,176
UCL122043,13,19,35,15,26,7,21,16,0,151
UCL122044,15,21,23,12,7,3,15,26,0,119
UCL122045,0,6,5,10,9,7,10,7,0,62
UCL122046,6,7,16,9,5,0,12,17,3,89
UCL122047,14,33,40,10,17,13,0,19,3,144
UCL122048,26,42,9,8,11,3,0,11,3,118
UCL122049,9,6,17,10,7,11,3,7,3,75
UCL122050,19,12,14,18,10,4,14,23,0,111
UCL122051,11,10,18,12,0,0,16,16,0,80
UCL122052,24,60,23,25,16,14,9,25,0,196
UCL122053,17,21,15,14,5,16,0,3,3,100
UCL122054,22,8,5,17,8,4,14,14,3,100
UCL122055,32,50,30,13,28,14,7,10,0,184
UCL122056,14,13,11,13,14,16,14,18,5,117
UCL122057,11,23,21,17,10,15,13,22,0,134
UCL122058,9,12,22,10,11,16,12,20,9,126
UCL122059,28,31,39,21,31,21,8,32,6,207
UCL122060,9,16,26,13,15,19,10,39,9,153
UCL122061,8,26,32,16,16,21,10,36,0,171
UCL122062,4,15,0,10,0,0,3,5,0,42
UCL122063,21,8,14,13,16,3,33,36,7,143
UCL122064,11,4,23,17,17,12,12,30,3,127
UCL122065,15,0,7,14,10,0,6,12,3,73
UCL122066,48,77,34,21,45,8,7,12,0,252
UCL122067,14,44,33,11,24,19,4,20,0,179
UCL122068,5,22,18,20,10,8,3,19,0,112
UCL122069,23,26,33,14,25,13,12,20,3,173
UCL122070,10,31,32,29,22,10,8,29,8,179
UCL122071,14,3,0,17,3,3,6,13,3,59
UCL122072,30,41,16,16,16,10,10,26,0,154
UCL122073,36,49,38,17,30,16,11,9,0,210
UCL122074,12,8,15,4,6,3,9,16,0,65
UCL122075,13,9,14,5,12,8,3,11,3,81
UCL122076,3,13,32,20,14,14,22,16,4,141
UCL122077,10,3,10,6,3,10,9,20,0,66
UCL122078,12,24,21,11,26,15,10,15,0,129
UCL122079,8,20,15,15,13,11,9,11,3,101
UCL122080,13,12,27,13,8,15,3,15,4,115
UCL122081,18,10,17,17,21,21,3,15,0,123
UCL122082,9,9,15,21,11,14,13,23,0,108
UCL122083,10,25,15,12,17,15,4,7,3,106
UCL122084,30,44,18,10,20,6,9,5,5,141
UCL122085,13,35,41,19,30,16,41,17,4,218
UCL122086,56,19,35,25,21,16,8,42,13,225
UCL122087,27,28,46,25,40,20,23,23,6,244
UCL122088,8,10,18,7,19,10,11,19,5,106
UCL122089,6,19,19,22,16,18,7,17,3,133
UCL122090,22,13,28,16,25,18,22,49,0,194
UCL122091,9,15,0,5,3,0,6,10,0,45
UCL122092,9,26,27,17,19,11,18,8,3,153
UCL122093,8,9,15,14,12,8,11,11,0,96
UCL122094,10,11,11,6,3,3,14,13,0,72
UCL122095,9,15,11,19,14,4,13,7,9,100
UCL122096,6,11,11,13,7,3,6,7,0,61
UCL122097,7,11,9,15,7,8,9,15,3,84
UCL122098,12,11,26,10,19,16,15,26,3,129
UCL122099,30,49,42,29,26,13,12,24,0,222
UCL122100,19,4,10,13,13,6,15,35,5,114
UCL122101,10,33,35,14,22,20,7,6,0,148
UCL122102,29,24,9,23,15,7,22,27,3,161
UCL122103,12,18,15,23,19,20,8,25,0,140
UCL122104,16,14,12,9,14,12,11,6,0,97
UCL122105,14,12,16,15,13,11,3,13,0,99
UCL122106,17,8,16,10,15,14,11,23,0,109
UCL122107,14,18,7,20,4,8,6,14,0,80
UCL122108,9,9,8,3,14,5,7,13,0,67
UCL122109,15,28,10,18,23,12,9,5,6,126
UCL122110,9,31,27,25,22,27,8,12,9,165
UCL122111,17,10,9,13,11,4,8,22,3,95
UCL122112,14,7,7,7,13,3,24,9,3,91
UCL122113,30,45,51,24,43,15,18,15,3,235
UCL122114,21,61,26,21,19,9,8,9,0,169
UCL122115,17,3,24,10,6,10,21,18,3,116
UCL122116,21,24,26,11,21,12,22,22,3,163
UCL122117,7,12,7,7,8,10,0,7,0,67
UCL122118,17,3,18,13,3,3,3,6,3,66
UCL122119,22,36,39,26,23,19,17,22,0,197
UCL122120,34,37,25,18,36,18,7,6,6,198
UCL122121,13,14,24,13,15,14,5,20,3,119
UCL122122,6,17,7,7,8,18,7,16,0,88
UCL122123,9,19,22,9,17,8,4,20,3,111
UCL122124,20,23,11,7,15,12,10,10,3,105
UCL122125,28,34,40,26,27,20,9,18,3,193
UCL122126,19,28,46,25,30,19,22,12,3,207
UCL122127,14,25,30,12,17,15,23,14,5,150
UCL122128,22,30,29,17,18,6,0,7,3,135
UCL122129,21,21,43,33,20,26,17,42,0,214
UCL122130,7,14,17,14,15,17,24,14,3,125
UCL122131,38,53,38,32,32,14,11,8,0,227
UCL122132,3,8,11,10,3,0,5,10,3,46
UCL122133,30,28,19,9,12,14,3,11,3,129
UCL122134,9,10,8,5,6,0,3,10,3,55
UCL122135,27,30,28,14,12,25,10,16,6,167
UCL122136,18,13,16,19,14,11,11,19,0,124
UCL122137,8,3,8,12,7,5,15,14,0,71
UCL122138,15,12,12,19,28,25,15,10,0,133
UCL122139,3,15,19,13,7,6,14,5,3,92
UCL122140,70,21,16,35,15,14,10,21,0,209
UCL122141,9,5,9,17,3,9,6,26,4,95
UCL122142,7,4,17,5,5,7,21,18,4,101
UCL122143,29,38,32,16,25,27,8,11,0,197
UCL122144,19,7,12,9,9,0,0,7,0,62
UCL122145,0,0,0,4,0,0,0,0,0,11
UCL122146,44,11,26,8,10,4,12,11,0,123
UCL122147,18,23,22,13,7,5,20,23,4,137
UCL122148,9,8,16,9,12,21,18,13,0,101
UCL122149,19,16,11,7,3,3,3,18,3,80
UCL122150,24,25,34,32,21,17,11,21,4,184
UCL122151,6,6,16,13,5,15,5,16,0,91
UCL122152,10,15,9,4,5,0,5,9,5,63
