UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL115060,104,62,16,3,594
UCL115061,524,342,143,97,2484
UCL115062,179,115,94,44,1019
UCL115063,192,84,26,3,1198
UCL115064,184,153,105,47,977
UCL115065,26,14,4,0,788
UCL115066,121,126,68,17,582
UCL115067,132,162,85,38,808
UCL115068,122,104,16,9,1063
UCL115069,155,96,63,15,807
UCL115070,199,156,46,3,803
UCL115071,137,114,57,25,793
UCL115072,125,116,37,17,748
UCL115073,131,123,82,42,790
UCL115074,331,379,148,53,1383
UCL115075,140,127,80,25,926
UCL115076,117,74,32,4,882
UCL115077,68,22,22,12,431
UCL115078,98,85,47,38,530
UCL115079,203,172,89,38,1038
UCL115080,206,218,111,28,806
UCL115081,113,73,24,5,1010
UCL115082,98,35,12,7,542
UCL115083,126,99,47,22,599
UCL115084,353,223,88,27,2489
UCL115085,108,82,56,14,517
UCL115086,93,97,50,7,500
UCL115087,110,84,57,30,719
UCL115088,146,99,29,19,589
UCL115089,236,193,103,62,1165
UCL115090,68,60,28,10,442
UCL115091,275,256,105,33,1425
UCL115092,295,292,92,23,1273
UCL115093,103,121,71,3,635
UCL115094,221,184,105,85,1224
UCL115095,224,251,160,64,1225
UCL115096,245,292,108,28,1219
UCL115097,151,130,96,31,836
UCL115098,138,137,88,106,743
UCL115099,100,85,54,27,665
UCL115100,209,180,121,44,1119
UCL115101,356,213,75,56,1686
UCL115102,151,53,16,5,875
UCL115103,452,391,210,66,1750
UCL115104,260,243,135,77,1559
UCL115105,245,167,96,29,1366
UCL115106,96,82,46,19,768
UCL115107,149,153,68,26,1002
UCL115108,553,312,113,57,2386
UCL115109,352,290,186,90,1884
UCL115110,97,132,109,46,710
UCL115111,183,128,80,52,816
UCL115112,314,140,77,28,1703
UCL115113,140,97,31,3,1171
UCL115114,157,140,68,19,843
UCL115115,175,146,105,32,1079
UCL115116,263,183,97,21,1731
UCL115117,128,92,28,3,699
UCL115118,397,204,64,21,1824
UCL115119,344,213,130,92,2252
UCL115120,314,300,182,61,1601
UCL115121,323,132,51,6,1949
UCL115122,107,101,37,6,554
UCL115123,127,114,50,12,604
UCL115124,230,124,31,12,1127
UCL115125,186,81,16,6,813
UCL115126,318,386,221,76,1573
UCL115127,287,175,105,24,1944
UCL115128,371,320,141,41,1816
UCL115129,206,128,74,24,854
UCL115130,234,379,235,54,1221
UCL115131,277,231,145,44,1617
UCL115132,271,277,126,69,1357
UCL115133,125,38,25,10,722
UCL115134,213,153,73,57,1407
UCL115135,199,223,125,46,1030
UCL115136,152,107,63,8,536
UCL115137,103,75,40,24,620
UCL115138,321,339,142,36,1249
UCL115139,205,179,67,27,1125
UCL115140,297,246,152,35,1286
UCL115141,165,140,71,14,698
UCL115142,355,327,111,67,1579
UCL115143,118,120,65,45,657
UCL115144,94,39,14,4,551
UCL115145,97,58,30,7,512
UCL115146,146,124,22,11,868
UCL115147,74,71,39,22,432
UCL115148,94,86,47,18,583
UCL115149,93,65,32,23,606
UCL115150,330,277,172,68,1846
UCL115151,101,103,53,42,509
UCL115152,104,89,46,12,525
UCL115153,184,123,108,84,1207
UCL115154,172,78,13,16,919
UCL115155,78,40,11,3,617
UCL115156,365,241,160,58,1839
UCL115157,211,122,60,14,1028
UCL115158,437,305,206,75,2209
UCL115159,119,68,30,10,663
UCL115160,91,89,40,9,506
UCL115161,63,37,19,9,395
UCL121001,67,51,27,7,339
UCL121002,37,36,25,9,224
UCL121003,107,94,28,0,389
UCL121004,59,43,6,4,260
UCL121005,70,41,3,5,294
UCL121006,80,55,28,10,333
UCL121007,96,52,22,11,464
UCL121008,69,74,37,36,429
UCL121009,32,17,6,0,184
UCL121010,33,35,28,7,332
UCL121011,53,39,26,4,330
UCL121012,125,37,12,3,437
UCL121013,41,15,3,4,320
UCL121014,93,56,22,10,411
UCL121015,65,22,8,3,229
UCL121016,58,45,17,5,369
UCL121017,78,54,16,0,356
UCL121018,58,21,12,0,260
UCL121019,39,26,18,3,260
UCL121020,65,60,29,8,350
UCL121021,80,71,25,4,265
UCL121022,89,66,32,11,461
UCL121023,43,26,4,6,209
UCL121024,51,36,15,3,327
UCL121025,172,76,22,16,501
UCL121026,61,17,5,7,247
UCL121027,87,41,18,0,476
UCL121028,87,80,19,4,345
UCL121029,38,17,10,0,200
UCL121030,37,20,9,4,202
UCL121031,41,39,28,0,336
UCL121032,156,93,17,7,497
UCL121033,52,53,41,18,292
UCL121034,76,32,11,5,354
UCL121035,77,28,9,3,390
UCL121036,103,71,20,0,455
UCL121037,79,76,19,6,397
UCL121038,41,31,25,0,216
UCL121039,44,17,6,3,193
UCL121040,69,50,8,0,345
UCL121041,51,32,0,0,259
UCL121042,39,34,27,3,232
UCL121043,66,75,41,12,381
UCL121044,64,30,12,3,341
UCL121045,60,52,20,6,273
UCL121046,39,35,9,3,260
UCL121047,106,171,74,23,548
UCL121048,37,13,4,0,246
UCL121049,71,88,62,17,318
UCL121050,133,155,88,42,663
UCL121051,63,66,29,15,339
UCL121052,128,80,28,20,440
UCL121053,133,82,51,8,576
UCL121054,54,52,19,10,329
UCL121055,76,30,8,3,376
UCL121056,80,52,21,4,350
UCL121057,70,52,23,0,372
UCL121058,71,19,3,0,285
UCL121059,173,124,37,3,835
UCL121060,55,41,11,3,250
UCL121061,102,68,18,3,468
UCL121062,104,58,14,7,522
UCL121063,85,44,34,8,324
UCL121064,101,91,50,10,410
UCL121065,72,47,38,14,344
UCL121066,220,175,66,3,805
UCL121067,46,10,5,0,239
UCL121068,61,42,11,0,293
UCL121069,32,36,20,3,254
UCL121070,52,55,24,5,262
UCL121071,80,54,22,3,360
UCL121072,38,48,64,44,325
UCL121073,62,57,31,13,385
UCL121074,64,29,9,3,321
UCL121075,60,42,21,0,356
UCL121076,37,23,10,3,290
UCL121077,61,40,21,0,274
UCL121078,86,54,22,8,438
UCL121079,41,25,7,5,250
UCL121080,172,78,44,3,545
UCL121081,109,78,35,6,551
UCL121082,55,36,9,4,342
UCL121083,102,87,21,6,510
UCL121084,70,68,28,21,382
UCL121085,48,33,23,4,239
UCL121086,37,22,5,0,268
UCL121087,105,75,17,15,463
UCL121088,40,15,7,0,264
UCL121089,77,43,17,3,409
UCL121090,83,48,15,7,344
UCL121091,66,31,10,0,456
UCL121092,41,27,8,8,350
UCL121093,59,42,24,7,262
UCL121094,74,32,16,9,309
UCL121095,61,64,22,5,283
UCL121096,85,51,14,0,349
UCL121097,121,87,26,7,467
UCL121098,56,52,29,7,290
UCL121099,129,91,24,6,484
UCL121100,92,74,27,9,542
UCL121101,124,96,26,10,474
UCL121102,70,45,31,11,372
UCL121103,50,42,22,11,278
UCL121104,83,54,27,7,301
UCL121105,76,117,23,5,389
UCL121106,82,59,44,19,411
UCL121107,87,55,13,3,359
UCL121108,66,47,10,3,275
UCL121109,58,50,32,10,387
UCL121110,51,45,38,16,286
UCL121111,62,41,7,0,354
UCL121112,42,26,20,8,221
UCL121113,94,48,14,3,348
UCL121114,97,104,41,7,355
UCL121115,85,34,8,3,456
UCL121116,63,26,18,3,300
UCL121117,84,54,19,7,399
UCL121118,34,15,0,0,224
UCL121119,38,26,8,0,275
UCL121120,44,28,13,10,258
UCL121121,115,88,28,17,404
UCL121122,51,41,21,0,267
UCL121123,45,17,12,5,217
UCL121124,50,23,8,8,196
UCL121125,43,27,8,0,290
UCL121126,84,49,27,0,494
UCL122001,12,7,11,0,146
UCL122002,23,17,12,0,99
UCL122003,24,19,0,0,155
UCL122004,54,20,3,4,134
UCL122005,35,26,16,3,175
UCL122006,19,19,9,3,102
UCL122007,52,30,14,6,182
UCL122008,17,14,0,0,111
UCL122009,25,19,8,0,142
UCL122010,24,11,3,0,127
UCL122011,49,11,3,0,166
UCL122012,16,17,10,8,115
UCL122013,16,26,3,0,81
UCL122014,28,10,5,0,141
UCL122015,35,30,11,0,156
UCL122016,33,40,11,0,132
UCL122017,16,12,0,0,102
UCL122018,24,24,8,3,144
UCL122019,20,40,11,7,136
UCL122020,22,14,5,0,124
UCL122021,41,25,20,6,139
UCL122022,31,21,11,0,114
UCL122023,50,25,16,3,199
UCL122024,70,44,11,3,219
UCL122025,50,66,32,7,278
UCL122026,24,15,5,0,119
UCL122027,46,29,13,0,215
UCL122028,21,13,3,0,93
UCL122029,29,31,19,3,116
UCL122030,36,19,10,4,155
UCL122031,31,32,3,0,121
UCL122032,44,17,4,0,179
UCL122033,18,7,3,0,140
UCL122034,28,19,9,3,207
UCL122035,23,10,14,3,84
UCL122036,8,8,8,0,95
UCL122037,31,7,3,0,91
UCL122038,56,31,9,3,184
UCL122039,23,12,6,0,133
UCL122040,44,38,22,5,191
UCL122041,42,24,8,0,156
UCL122042,59,25,7,0,195
UCL122043,25,11,3,0,132
UCL122044,21,15,8,0,129
UCL122045,14,22,3,0,106
UCL122046,20,19,7,3,98
UCL122047,85,59,25,8,274
UCL122048,50,40,19,0,192
UCL122049,26,26,14,3,130
UCL122050,28,13,3,8,99
UCL122051,23,16,9,0,105
UCL122052,46,23,0,0,212
UCL122053,27,15,7,9,128
UCL122054,31,33,19,4,138
UCL122055,54,57,28,11,247
UCL122056,19,18,10,3,114
UCL122057,29,24,3,0,153
UCL122058,60,38,14,0,245
UCL122059,56,31,5,0,232
UCL122060,45,20,12,3,189
UCL122061,39,29,11,6,206
UCL122062,9,5,0,0,53
UCL122063,9,15,0,3,100
UCL122064,22,11,3,3,115
UCL122065,29,17,12,11,135
UCL122066,40,17,7,0,265
UCL122067,67,47,6,3,234
UCL122068,44,24,21,0,166
UCL122069,25,25,4,3,166
UCL122070,55,31,11,7,221
UCL122071,11,12,4,0,119
UCL122072,34,43,11,0,179
UCL122073,42,29,10,3,228
UCL122074,29,22,13,0,113
UCL122075,38,23,18,4,125
UCL122076,27,11,3,3,141
UCL122077,24,19,15,0,92
UCL122078,22,12,4,0,131
UCL122079,26,16,0,0,96
UCL122080,64,56,25,9,216
UCL122081,18,15,3,0,113
UCL122082,26,16,8,0,124
UCL122083,41,25,21,5,153
UCL122084,39,24,4,0,186
UCL122085,43,23,13,3,206
UCL122086,44,19,12,4,223
UCL122087,31,19,4,0,201
UCL122088,21,17,9,3,114
UCL122089,43,41,18,7,179
UCL122090,28,18,14,3,175
UCL122091,42,38,14,3,124
UCL122092,39,14,4,0,155
UCL122093,15,3,4,3,83
UCL122094,13,27,12,0,91
UCL122095,29,23,10,0,142
UCL122096,28,25,3,3,109
UCL122097,18,24,7,3,113
UCL122098,24,23,12,3,139
UCL122099,51,46,7,3,238
UCL122100,19,14,14,3,124
UCL122101,43,29,12,3,188
UCL122102,23,17,0,0,157
UCL122103,35,24,14,3,165
UCL122104,17,6,4,0,102
UCL122105,26,27,11,0,111
UCL122106,15,16,7,3,105
UCL122107,59,37,6,13,258
UCL122108,28,25,8,0,90
UCL122109,46,80,23,7,224
UCL122110,49,33,11,0,204
UCL122111,28,36,17,0,132
UCL122112,16,11,0,0,75
UCL122113,39,16,4,0,201
UCL122114,40,12,0,0,167
UCL122115,17,8,9,3,112
UCL122116,33,14,9,0,150
UCL122117,20,34,11,3,113
UCL122118,9,0,0,0,62
UCL122119,39,20,11,3,211
UCL122120,31,15,0,0,173
UCL122121,30,42,9,0,147
UCL122122,26,22,8,0,107
UCL122123,39,25,15,0,156
UCL122124,33,45,10,0,176
UCL122125,45,14,11,3,193
UCL122126,38,20,13,0,205
UCL122127,19,6,0,0,122
UCL122128,43,49,7,3,209
UCL122129,40,25,3,0,203
UCL122130,22,10,3,3,109
UCL122131,38,27,13,3,252
UCL122132,13,17,6,3,74
UCL122133,18,9,4,0,127
UCL122134,42,45,11,3,130
UCL122135,57,30,8,4,184
UCL122136,20,29,14,8,153
UCL122137,20,13,3,0,87
UCL122138,26,38,6,0,141
UCL122139,30,19,4,0,113
UCL122140,45,17,3,3,263
UCL122141,33,22,8,8,149
UCL122142,42,29,6,3,142
UCL122143,43,29,4,0,209
UCL122144,17,10,19,3,89
UCL122145,3,0,0,0,31
UCL122146,26,26,13,5,139
UCL122147,37,26,15,12,179
UCL122148,28,20,7,0,102
UCL122149,25,16,4,8,96
UCL122150,46,13,12,0,181
UCL122151,18,19,9,0,103
UCL122152,24,24,3,4,98
UCL122153,43,27,9,5,187
UCL122154,26,14,13,3,104
UCL122155,23,22,19,8,138
UCL122156,20,19,18,4,109
UCL122157,26,13,7,0,89
UCL122158,44,22,6,3,245
UCL122159,14,14,12,0,113
UCL122160,44,32,17,6,233
UCL122161,34,26,9,3,180
UCL122162,27,28,11,3,143
UCL122163,38,24,4,0,112
UCL122164,53,50,14,0,190
UCL122165,43,29,10,4,198
UCL122166,83,32,5,3,254
UCL122167,30,11,3,0,213
UCL122168,24,14,6,7,99
UCL131777,58874,38508,13290,3381,274729
UCL179997,43,60,25,3,212
UCL199994,1142,722,150,41,7741
