UCL_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
UCL112003,0,3,9,19,17,16,3,0,0,74,0,0,0,0,4,5,3,5,0,27,0,0,0,0,0,0,8,0,5,11,0,18,19,76,174,224,222,120,46,886,0,0,5,8,3,11,6,0,0,22,0,0,4,7,6,7,6,3,0,37,0,0,0,10,26,19,53,29,11,142,0,0,0,0,0,3,0,3,0,10,0,0,6,6,3,10,3,0,0,23,0,0,4,15,9,10,14,0,0,53,0,0,25,10,5,3,5,3,0,49,0,0,0,3,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,10,7,8,15,6,0,56,0,0,0,3,3,8,11,4,3,43,0,0,0,13,13,3,8,0,0,40,0,0,17,3,3,4,0,0,0,39,0,0,0,3,0,3,0,0,0,13,0,0,3,12,9,9,5,0,0,34,0,0,0,3,0,4,10,4,0,15
UCL112004,0,3,3,10,13,7,4,3,0,42,0,0,0,0,3,3,4,0,0,6,0,0,0,0,0,0,3,0,3,8,0,14,19,53,95,119,192,122,46,660,0,0,0,3,4,8,0,3,0,17,0,0,0,5,4,0,3,0,0,16,0,3,3,4,6,6,31,23,9,77,0,0,0,3,0,7,4,3,3,21,0,0,5,3,0,4,0,0,0,24,0,6,3,38,4,9,3,4,0,71,0,0,0,0,3,0,0,4,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,4,3,4,6,4,0,22,0,3,0,4,3,3,11,4,0,38,0,0,0,4,3,0,3,0,0,18,0,0,0,3,3,0,0,0,0,10,0,0,0,3,3,0,3,0,0,5,0,0,0,5,3,0,0,0,0,17,0,0,0,0,0,0,6,3,0,9
UCL112005,0,0,0,9,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,34,45,31,8,176,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,3,12,3,4,31,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,4
UCL112006,0,4,5,26,12,6,5,3,3,66,0,0,0,0,0,0,3,3,0,3,0,3,0,3,0,3,3,0,0,20,7,25,28,102,120,163,213,145,68,879,0,0,4,12,15,8,5,0,0,39,0,0,3,4,0,6,3,0,0,21,0,0,5,11,16,23,35,20,14,120,0,0,0,0,3,3,0,0,0,7,3,0,0,5,0,6,3,0,0,23,0,9,11,96,19,14,16,4,3,162,0,0,0,9,4,3,0,0,3,21,0,7,9,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,10,0,6,0,17,6,11,10,4,0,55,0,3,0,0,5,7,14,12,7,49,0,3,4,11,0,4,3,0,0,25,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,6,6,0,7,8,3,4,0,0,45,0,0,0,0,0,7,5,4,0,15
UCL112007,3,6,9,50,12,10,3,0,0,87,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,10,0,3,9,25,29,34,39,11,9,163,0,0,6,13,0,3,0,0,0,21,0,0,0,3,0,0,0,3,0,11,0,0,4,8,3,3,8,4,0,27,0,0,0,0,0,7,3,5,0,14,0,0,0,4,0,4,0,0,0,15,3,17,7,114,14,12,3,5,0,175,0,0,0,6,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,3,0,3,3,3,0,0,0,11,0,0,0,3,0,5,3,3,3,18,0,0,0,5,0,0,0,0,0,3,0,0,3,17,0,0,0,0,0,22,0,0,0,0,4,4,0,0,0,16,0,0,0,4,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
UCL112008,0,0,0,14,6,0,0,3,3,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,7,5,27,31,34,53,24,15,201,0,0,0,6,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,4,3,7,23,0,0,0,0,0,0,3,3,4,11,0,0,0,0,0,0,0,0,0,3,3,4,0,40,0,3,0,0,0,56,0,0,0,4,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,3,0,3,0,13,0,0,0,3,0,0,0,0,0,4,0,0,5,18,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,7,3,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL112009,0,0,9,17,7,3,0,0,0,34,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,7,0,5,8,37,59,58,61,29,22,286,0,0,3,3,4,0,0,0,0,12,0,0,0,3,4,0,3,0,0,12,0,0,0,11,11,5,19,3,4,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,3,23,3,3,4,0,0,35,0,0,3,15,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,3,0,11,0,0,0,7,0,4,6,15,24,57,0,0,3,8,0,4,0,0,0,21,0,0,3,11,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,16,0,0,0,0,0,0,3,0,0,7
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,3,0,0,22,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112011,0,4,10,23,14,4,3,3,4,64,0,0,0,0,0,3,3,3,0,7,0,0,0,0,0,0,5,0,0,13,0,17,15,38,95,106,162,92,58,587,0,0,0,0,4,0,3,0,3,13,0,0,0,0,0,0,0,0,0,4,0,0,0,11,7,16,25,14,7,75,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,6,0,0,0,12,0,9,3,49,4,5,0,0,0,79,0,0,0,12,4,0,3,3,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,0,3,3,0,15,0,0,0,3,9,0,3,3,0,14,0,3,0,4,3,0,0,0,0,10,0,0,0,6,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,9,0,0,0,0,3,4,8,5,0,14
UCL112012,0,0,0,29,8,9,16,7,0,73,0,0,0,0,0,3,3,7,0,13,0,3,3,0,0,0,0,0,0,7,3,7,12,40,50,64,70,42,27,314,0,0,0,3,13,3,0,0,0,20,0,0,0,8,0,0,0,0,0,9,0,0,0,10,3,8,27,5,7,53,0,0,0,0,0,4,6,3,0,10,0,0,0,0,4,10,0,0,0,17,3,16,12,120,6,11,8,4,0,185,0,0,0,8,3,0,0,0,0,10,0,0,0,9,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,3,0,3,0,8,3,0,3,0,0,13,0,0,0,0,3,6,12,11,8,42,0,0,0,10,3,3,0,0,0,16,0,0,3,28,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,0,17,0,0,0,0,0,0,0,0,0,6
UCL112013,0,4,0,27,14,12,5,0,0,66,0,0,0,0,0,3,0,0,0,8,0,0,0,3,7,3,7,0,4,22,0,20,28,106,149,168,286,231,118,1096,0,0,0,5,9,0,6,0,0,16,0,3,0,3,6,4,0,0,0,21,0,0,3,5,11,12,35,32,7,111,0,0,0,0,0,0,0,0,0,4,0,0,4,4,3,0,3,0,0,15,0,6,0,51,3,7,11,9,0,82,0,0,0,3,3,3,3,4,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,11,11,8,11,6,0,54,0,0,0,4,3,3,9,3,9,32,0,3,4,11,8,3,0,0,0,22,0,3,0,16,3,0,0,0,0,26,0,0,0,0,3,0,0,0,0,5,0,0,3,7,9,8,0,0,0,29,0,0,0,0,3,3,12,3,3,26
UCL112014,0,0,8,21,8,4,0,0,0,43,0,0,0,0,3,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,0,3,3,17,26,37,43,29,15,180,3,3,0,13,3,0,3,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,0,5,0,3,9,6,3,23,0,0,0,0,0,0,0,3,0,3,0,0,4,4,0,3,0,0,0,12,4,4,5,61,3,6,0,0,0,79,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,6,0,6,0,0,3,4,0,16,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,0,14,29,5,0,0,0,0,45,0,0,0,0,3,0,0,0,0,4,0,0,0,16,0,3,0,0,0,22,0,0,0,0,0,0,0,3,0,0
UCL112015,3,7,10,53,14,9,0,0,0,97,0,0,0,0,3,3,0,3,0,7,0,9,0,17,6,3,3,0,0,36,0,18,4,43,64,56,60,40,27,314,0,0,4,7,5,3,0,0,0,16,0,0,0,3,3,0,0,0,0,11,0,0,0,4,0,8,17,10,16,51,0,0,0,0,0,4,3,5,0,11,0,0,0,16,3,6,0,0,0,21,0,35,11,161,22,15,7,3,0,257,0,0,0,7,6,3,0,0,0,15,3,7,8,3,3,3,0,0,0,31,0,0,6,5,3,0,0,0,0,13,0,16,0,13,0,0,4,0,3,40,0,0,0,3,0,3,3,3,6,18,0,0,0,5,0,0,0,0,0,9,0,3,7,26,3,0,0,0,0,40,0,0,4,0,0,0,0,0,0,6,6,9,0,21,11,8,3,0,0,50,0,0,0,0,0,0,0,0,0,3
