UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL112003,238,238,473,786,758,1546,147,161,311,206,188,391,1140,1112,2246,517,495,1006,192,151,347,226,213,443,930,859,1792,45,46,89,42,68,108,97,54,154,117,197,312,0,0,3,302,372,675,227,296,520,80,107,194,27,32,62,167,350,509,0,4,4,502,788,1292,29,41,69,45,105,147,0,0,0,78,141,216,839,936,1769,4023,4445,8471
UCL112004,173,161,335,469,427,892,164,165,327,164,183,353,795,769,1567,204,228,430,268,224,492,170,421,586,641,870,1506,13,20,33,9,21,26,68,47,110,46,85,135,0,0,0,130,173,304,75,99,168,20,41,63,19,34,52,79,125,198,0,3,4,186,306,495,14,22,33,28,81,106,0,3,3,42,100,139,689,780,1473,2663,3158,5820
UCL112005,210,207,417,683,708,1388,132,144,275,98,71,170,913,922,1833,452,447,902,82,69,152,92,86,176,625,601,1229,30,33,66,14,23,39,67,62,131,47,107,148,0,0,0,159,230,385,46,99,145,19,51,64,10,19,33,32,76,109,0,0,0,112,248,357,10,20,32,15,68,83,0,3,6,32,93,118,1526,812,2340,3576,3106,6679
UCL112006,456,429,889,1254,1237,2488,441,406,849,297,307,602,1991,1950,3941,851,838,1692,355,315,676,330,319,648,1542,1469,3010,68,117,187,53,160,217,161,128,288,173,344,523,7,9,13,457,758,1214,150,246,395,79,164,246,38,71,109,145,284,433,3,3,5,416,768,1189,43,49,92,67,134,206,0,5,9,115,194,303,1827,2047,3880,6809,7620,14429
UCL112007,395,383,777,980,867,1844,412,466,879,200,155,356,1590,1491,3081,591,572,1164,308,334,648,136,146,290,1041,1051,2096,46,78,129,22,71,99,135,110,249,146,259,408,0,3,6,354,522,881,77,121,195,41,85,127,19,65,81,121,223,347,3,0,3,261,493,752,25,31,52,42,81,128,0,3,3,66,115,181,1275,1367,2642,4976,5434,10407
UCL112008,198,214,409,732,637,1372,185,169,353,15,20,40,936,827,1762,499,448,944,144,135,276,23,23,43,670,604,1269,15,29,48,16,20,39,114,68,183,60,145,205,3,5,6,210,266,481,58,71,135,46,63,107,15,35,50,63,140,201,3,4,7,187,314,495,16,18,32,22,69,95,0,0,0,38,85,128,1384,894,2281,3620,3200,6822
UCL112009,246,251,498,744,706,1450,252,248,493,147,138,283,1135,1093,2229,524,547,1072,247,290,536,61,52,119,837,891,1725,39,64,105,45,93,133,92,80,174,100,158,260,0,3,3,273,395,669,205,270,478,163,188,352,49,73,119,131,275,410,0,3,3,552,810,1362,16,19,40,31,74,108,3,3,4,54,94,148,1120,1180,2295,4218,4705,8918
UCL112010,32,31,62,94,86,181,12,9,19,12,12,19,111,105,223,45,40,83,23,17,42,6,0,10,68,58,131,0,4,5,0,0,0,4,4,6,5,18,23,0,0,0,17,22,37,3,10,17,0,6,10,0,0,3,3,18,17,0,0,0,5,33,40,3,0,5,0,3,7,0,0,0,5,6,14,83,69,155,334,324,656
UCL112011,353,333,681,978,986,1968,190,163,351,120,146,262,1283,1301,2586,612,619,1232,119,153,271,112,101,213,848,869,1717,40,43,76,25,73,99,103,79,180,81,162,246,3,4,4,247,360,606,80,130,211,54,108,160,13,34,53,99,182,282,0,0,0,245,460,703,19,23,49,35,84,116,3,0,3,63,112,170,1889,1392,3277,4927,4816,9741
UCL112012,365,346,715,1194,1098,2292,349,327,676,246,212,454,1787,1637,3421,664,596,1261,261,331,593,240,241,480,1162,1171,2333,43,71,112,32,60,96,176,114,293,205,295,505,3,3,4,462,546,1007,152,229,382,92,138,234,24,59,79,154,310,469,0,3,3,421,743,1161,25,21,41,47,101,148,0,4,5,72,121,195,1340,1410,2751,5614,5970,11580
UCL112013,427,368,797,976,860,1832,574,590,1158,267,237,501,1814,1680,3496,434,435,876,716,723,1442,227,228,454,1375,1390,2763,42,60,105,28,89,117,129,121,251,138,265,404,3,3,9,343,543,887,110,248,357,81,141,223,28,36,61,158,292,446,5,0,3,375,716,1091,16,31,48,55,133,185,4,0,3,80,168,245,1442,1593,3029,5858,6453,12315
UCL112014,327,338,666,1046,936,1985,334,329,669,113,102,216,1495,1376,2866,672,644,1319,203,227,430,160,266,419,1035,1138,2175,39,52,85,31,59,87,109,107,223,121,207,325,4,0,9,302,427,730,52,107,163,30,72,104,23,56,75,102,198,303,3,3,11,213,437,654,12,20,28,48,78,123,7,0,3,61,100,162,1524,1521,3039,4960,5330,10290
UCL112015,493,411,906,1286,1218,2510,657,690,1346,265,206,470,2205,2119,4323,878,813,1695,530,576,1103,248,254,503,1654,1641,3298,65,66,135,61,95,156,239,166,404,179,322,503,9,4,14,553,652,1209,224,489,711,131,214,342,42,109,156,216,425,638,0,3,5,615,1240,1858,39,33,77,58,115,173,3,3,5,105,153,258,1454,1495,2950,7069,7718,14792
UCL113001,101,102,203,268,220,482,181,164,346,66,70,133,507,451,963,267,219,485,112,129,240,38,35,80,415,388,807,14,19,33,14,39,52,42,27,74,39,94,141,7,3,4,115,187,303,39,65,98,25,41,67,11,11,24,42,90,136,3,0,3,115,207,328,8,12,13,10,31,44,0,0,0,18,42,65,683,843,1526,1968,2222,4187
UCL113002,68,73,143,268,261,531,88,97,180,20,15,33,374,376,745,183,178,361,73,73,147,20,29,48,281,278,557,10,4,13,5,8,16,22,28,49,33,42,69,0,3,3,64,85,156,10,9,22,11,25,34,3,6,5,10,44,55,0,0,0,31,82,114,4,12,13,11,32,43,4,7,5,20,47,65,581,624,1204,1415,1569,2988
UCL113003,156,142,301,561,553,1119,47,50,97,4,9,13,616,609,1225,467,466,930,0,3,3,10,13,27,478,484,965,26,25,55,15,46,59,72,43,108,64,128,192,0,3,3,174,244,415,6,38,39,5,29,34,7,13,22,48,106,151,0,4,4,72,187,252,6,15,23,23,43,71,3,3,5,35,61,95,816,802,1618,2348,2528,4876
UCL113004,53,42,89,128,114,244,39,54,92,37,44,78,196,209,411,42,36,71,57,87,140,55,60,112,152,179,328,3,4,5,4,4,5,12,9,21,10,31,39,0,0,4,29,46,73,7,23,29,9,7,16,0,10,7,10,27,39,0,0,3,18,65,85,0,3,3,10,12,21,0,0,0,8,9,18,213,250,458,676,801,1477
UCL113005,136,147,286,427,423,858,103,125,226,20,12,31,546,563,1109,415,389,799,54,49,105,28,20,45,497,451,945,21,27,49,20,45,72,53,37,89,35,108,144,4,3,4,130,224,361,20,31,49,13,17,32,3,11,12,28,57,92,3,0,3,65,121,189,4,8,15,13,35,43,0,6,8,17,50,64,832,962,1793,2220,2523,4743
UCL113006,154,141,297,602,506,1102,88,96,184,65,60,124,750,660,1408,400,362,762,102,74,179,40,40,81,545,480,1021,40,34,76,22,58,74,55,55,112,43,124,171,3,0,6,162,273,435,13,27,42,23,34,50,5,18,23,43,77,121,0,0,0,75,163,240,14,14,28,18,32,47,0,0,0,35,46,86,852,673,1525,2578,2444,5019
UCL113007,197,163,362,583,588,1172,211,192,407,3,15,17,805,790,1589,374,345,720,195,199,393,15,16,33,591,554,1146,12,19,30,15,30,42,61,40,100,82,106,189,0,0,5,172,196,368,43,60,106,24,28,47,8,18,29,44,70,114,0,0,0,114,180,295,11,22,33,27,51,79,0,3,5,39,72,113,966,1021,1986,2880,2976,5857
UCL113008,117,90,210,300,304,603,86,92,180,60,47,105,446,443,888,193,184,382,72,72,148,42,29,68,310,288,592,13,16,29,10,21,28,18,29,45,18,65,86,0,0,0,55,127,189,8,21,35,9,18,28,4,3,7,19,40,59,0,0,0,42,86,123,3,3,8,3,25,32,0,0,3,13,28,39,1105,765,1866,2084,1831,3914
UCL113009,150,110,260,397,368,761,86,91,172,27,32,58,509,486,991,297,302,596,85,70,153,68,36,100,443,403,842,22,16,38,9,13,19,83,29,107,25,50,83,0,0,3,135,107,247,107,126,235,21,35,54,17,19,32,42,107,152,0,0,0,183,293,483,7,7,19,26,43,66,0,4,4,31,53,91,367,383,747,1818,1838,3660
UCL113010,164,155,312,675,585,1259,105,91,195,50,38,87,824,714,1538,429,439,871,49,42,95,45,34,82,528,518,1045,18,22,47,3,17,23,64,44,111,57,89,143,0,4,3,151,173,326,39,57,96,17,35,56,18,17,32,21,82,102,0,0,0,90,192,285,3,18,23,8,44,53,3,0,3,21,55,75,576,658,1239,2351,2467,4821
UCL113011,88,77,166,308,293,599,90,96,184,17,11,24,410,392,811,217,196,418,75,77,154,21,15,33,312,289,600,16,28,44,16,23,35,54,36,89,36,65,100,5,3,12,125,151,276,20,36,56,17,17,34,4,14,19,31,64,91,0,0,0,70,137,201,6,8,19,14,26,46,0,0,0,26,34,58,519,589,1107,1547,1674,3222
UCL113012,149,127,277,386,421,806,88,60,150,214,225,434,687,705,1389,307,269,579,53,44,94,219,205,426,579,513,1100,23,31,55,13,22,35,58,40,96,52,97,154,3,0,3,142,193,337,155,191,340,73,79,151,17,30,44,59,110,173,0,3,4,296,414,714,18,28,42,25,67,93,3,0,3,43,94,134,522,514,1039,2423,2571,4994
UCL113013,98,102,200,381,328,708,150,141,292,6,0,4,531,471,1001,227,227,457,66,63,127,7,0,8,297,294,590,15,11,22,3,10,15,43,41,91,46,85,133,3,0,5,104,149,255,10,21,34,12,23,35,8,6,14,34,69,100,0,0,0,64,121,183,0,3,5,9,18,30,0,0,0,15,21,34,504,524,1030,1612,1687,3302
UCL113014,134,101,234,383,369,754,99,87,186,31,31,67,519,487,1009,205,205,413,111,95,204,15,20,35,331,321,652,16,28,40,10,11,23,46,47,85,38,64,100,0,0,0,99,146,243,3,29,31,8,25,33,0,8,8,30,49,80,0,0,0,40,108,149,6,6,13,15,22,39,0,0,3,20,35,50,366,376,743,1507,1577,3086
UCL113015,108,89,194,352,337,692,96,86,177,85,81,161,524,503,1029,274,262,538,28,55,79,107,94,198,408,408,819,7,14,22,10,14,23,34,29,65,46,63,107,0,0,0,99,124,221,51,78,130,22,43,63,9,17,27,31,67,97,0,0,0,111,207,322,3,8,7,17,27,49,0,0,4,23,38,57,518,556,1077,1792,1931,3723
UCL113016,149,153,307,467,434,900,142,121,258,32,29,61,638,582,1219,310,274,587,82,56,140,33,33,69,431,361,796,16,21,42,11,26,31,45,43,85,40,68,108,0,0,0,114,154,272,40,85,127,21,45,60,18,23,44,25,74,102,0,0,0,103,226,327,9,21,33,19,43,54,0,0,0,26,61,86,507,557,1069,1975,2100,4077
UCL113017,133,145,282,431,449,876,125,141,263,24,19,45,583,600,1182,305,296,601,112,115,225,47,43,92,463,450,909,11,20,29,4,16,18,60,34,94,46,101,148,0,0,0,122,172,299,41,56,99,10,25,41,12,24,39,46,76,119,0,0,0,113,185,293,7,6,12,14,44,58,0,0,0,24,52,73,416,439,858,1852,2042,3895
UCL113018,78,73,149,384,351,737,18,5,22,18,23,36,421,380,802,236,252,486,25,36,60,17,17,36,285,298,582,13,20,32,3,12,10,37,18,59,15,58,72,0,0,0,67,106,177,10,30,38,4,27,35,3,4,12,13,39,51,0,0,3,32,97,131,12,11,21,8,18,34,0,0,0,19,38,54,373,415,794,1276,1413,2688
UCL113019,172,156,332,520,461,982,133,128,260,88,108,199,741,696,1439,381,389,773,111,103,212,60,71,131,553,564,1113,27,37,63,32,50,81,48,55,102,48,110,156,3,4,8,150,263,411,15,59,71,11,40,47,9,20,25,28,73,94,0,0,0,54,186,237,6,20,30,16,42,54,0,0,4,25,59,87,711,806,1519,2414,2731,5149
UCL113020,130,108,233,415,351,765,33,47,74,17,17,39,465,411,878,332,337,673,17,20,38,9,3,11,361,360,719,9,12,17,13,19,23,33,30,63,28,59,85,3,0,8,84,118,203,13,21,36,4,26,37,4,4,7,31,67,91,0,0,0,57,116,171,8,5,10,10,32,45,0,0,0,19,36,52,441,523,962,1549,1673,3219
UCL114001,48,46,97,141,126,271,36,33,69,36,23,61,217,184,396,93,113,205,43,32,75,12,17,31,150,166,311,4,7,14,4,11,16,8,8,22,10,38,52,0,0,0,35,73,108,11,15,29,3,17,23,0,3,3,16,36,51,0,0,0,38,69,105,0,0,0,0,13,16,0,0,0,4,13,21,125,167,297,607,721,1325
UCL114002,44,33,84,130,127,259,25,27,51,32,33,69,183,187,369,160,110,269,13,9,21,52,39,100,227,166,390,5,4,15,0,0,0,19,20,36,9,22,36,0,0,0,31,48,86,26,23,45,8,15,21,6,3,13,12,26,33,0,0,0,52,61,112,0,3,4,6,12,20,0,0,0,9,16,19,212,258,467,753,770,1527
UCL114003,67,61,128,191,161,348,53,54,105,25,44,66,268,256,525,135,136,274,42,45,88,15,22,39,196,208,403,8,11,13,16,38,48,13,4,23,39,42,78,0,0,0,71,97,163,33,35,71,34,53,93,5,12,23,36,64,102,0,0,0,119,169,285,9,13,24,26,44,72,0,0,0,34,57,89,752,761,1509,1507,1606,3113
UCL114004,42,46,85,152,142,296,29,34,67,3,4,9,185,184,372,133,93,228,33,40,76,7,13,20,178,145,324,6,4,9,0,8,13,13,6,23,20,32,53,0,0,3,42,57,101,4,12,13,4,12,20,0,0,3,6,26,32,0,0,0,23,52,76,0,8,5,7,10,19,0,0,0,9,21,28,296,336,635,774,836,1606
UCL114005,107,109,212,305,306,608,77,67,143,22,16,39,406,385,791,203,199,400,82,91,169,17,20,37,299,308,605,12,14,26,8,29,39,29,39,65,28,70,96,0,4,3,69,161,233,11,23,35,9,23,38,4,12,20,10,43,51,0,0,0,37,102,138,6,10,9,5,21,28,0,0,0,15,24,42,428,461,890,1360,1546,2906
UCL114006,47,48,96,179,161,342,42,32,74,18,11,23,234,200,443,117,126,248,37,41,77,16,9,24,171,176,346,3,6,10,3,7,10,16,19,33,22,44,71,0,0,0,43,84,128,19,20,36,3,18,18,6,9,15,21,37,56,0,0,0,47,83,128,9,9,12,3,22,24,0,0,0,12,27,35,495,326,826,1051,949,1999
UCL114007,46,37,87,160,158,323,51,49,98,9,4,9,220,213,427,88,107,191,41,23,65,11,0,13,138,131,268,5,4,7,3,5,13,20,16,32,11,30,43,4,4,9,42,57,97,0,12,15,3,10,16,4,6,9,8,27,30,0,0,0,16,55,73,8,5,11,4,3,9,0,0,0,11,11,22,228,236,466,700,749,1444
UCL114008,48,43,92,122,136,260,54,69,127,13,7,12,185,211,401,122,127,245,25,29,58,8,0,8,156,160,312,3,10,15,0,5,12,19,15,37,7,36,49,0,0,0,39,71,105,5,17,23,6,18,24,4,5,8,4,17,27,0,0,0,17,56,76,0,5,5,0,7,7,0,0,0,0,14,11,231,238,466,669,800,1471
UCL114009,78,67,139,247,231,478,58,74,131,14,6,25,316,311,634,164,184,345,41,29,68,13,15,25,219,224,442,4,11,16,3,13,19,27,25,49,22,58,76,3,0,3,56,111,164,8,20,30,8,11,20,0,7,11,10,29,38,0,0,0,28,73,98,3,5,9,9,11,20,0,0,0,15,22,34,370,399,775,1078,1209,2289
UCL114010,46,43,92,214,204,419,25,38,62,11,13,19,254,247,502,155,187,344,11,12,22,9,12,23,172,217,391,8,7,15,4,6,11,22,21,47,19,38,54,0,0,0,51,75,126,8,15,17,3,5,7,6,3,13,19,21,39,0,0,0,29,51,80,0,3,3,3,19,22,0,0,0,8,24,25,360,378,741,922,1036,1957
UCL114011,72,90,159,205,198,400,85,88,175,6,9,11,296,292,586,112,110,230,123,145,272,14,7,22,249,261,515,3,6,8,0,12,8,30,21,51,16,41,58,0,0,0,53,75,124,11,25,37,3,12,12,3,9,12,7,23,30,0,0,0,27,63,93,0,4,5,4,12,15,0,0,0,3,14,18,348,349,697,1045,1150,2195
UCL114012,43,42,85,161,138,305,39,48,86,4,4,10,204,189,396,121,140,261,0,3,7,4,0,6,123,146,271,5,7,16,6,13,12,22,8,31,12,35,40,3,4,6,43,65,105,8,7,15,0,6,12,3,3,5,8,20,29,0,0,0,16,43,57,0,4,3,10,13,17,0,0,0,7,13,21,279,336,616,718,846,1560
UCL114013,97,96,190,233,211,442,91,89,173,13,20,33,341,316,653,126,101,222,68,67,141,15,20,39,212,187,399,5,6,17,4,13,16,24,28,49,17,61,72,0,0,0,49,109,156,10,9,21,5,9,14,7,9,17,26,52,77,0,0,0,35,87,124,0,7,7,6,24,29,0,0,0,8,28,40,355,406,762,1098,1227,2322
UCL114014,87,92,177,244,236,473,79,85,167,15,7,16,335,322,658,157,141,293,54,68,115,14,17,30,223,216,443,3,14,19,0,3,3,56,19,75,15,26,42,0,0,0,76,64,141,52,46,97,6,10,19,5,13,21,27,38,65,0,0,0,93,117,208,3,4,6,11,11,24,0,0,0,12,21,28,119,134,253,948,963,1907
UCL114015,92,84,175,320,329,654,73,76,149,0,0,3,398,412,805,253,253,507,35,22,53,5,11,8,288,278,569,6,12,24,8,28,38,26,44,72,30,51,82,0,0,0,76,134,209,12,18,26,0,13,15,10,21,26,18,36,53,0,0,0,40,87,123,3,3,9,5,24,29,4,0,4,11,31,35,393,452,844,1301,1474,2771
UCL114016,57,63,124,216,206,419,72,53,127,8,8,18,298,270,566,108,117,228,117,134,246,10,15,27,233,265,502,7,6,8,3,7,9,19,16,32,24,44,68,0,0,0,46,77,123,10,12,23,0,8,13,3,5,10,11,29,36,0,0,0,31,56,88,0,4,5,5,5,15,0,3,3,11,14,19,337,378,713,1014,1120,2133
UCL114017,58,68,126,141,121,257,117,124,240,39,35,72,298,276,574,85,88,179,131,138,269,10,34,44,237,257,490,9,0,10,6,6,11,19,3,25,22,34,53,0,0,0,58,47,101,14,33,54,14,39,60,4,4,11,27,69,96,0,0,0,66,154,216,6,4,12,11,13,20,0,0,0,17,19,35,185,151,337,909,968,1874
