UCL_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
UCL112003,0,0,0,0,0,7,7,9,3,33,0,4,10,14,4,13,4,3,0,49,0,4,16,52,11,15,20,10,7,129,0,3,40,13,7,3,7,3,0,78,0,0,0,5,3,3,0,0,0,12,0,0,0,7,0,0,3,0,0,11,0,3,3,16,14,14,38,13,0,106,0,0,3,5,13,17,27,19,11,91,0,3,0,16,12,9,7,3,0,53,0,0,30,12,12,9,3,0,0,69,0,0,3,9,3,3,5,0,0,23,0,0,9,22,12,8,5,5,0,65,0,0,0,3,0,8,12,3,3,32,0,0,0,0,3,6,6,0,4,18,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,7,0,15,10,22,47,27,11,133,0,11,28,105,117,131,90,17,13,510,0,0,0,3,11,10,13,6,0,43,0,3,0,4,0,0,3,0,0,10
UCL112004,0,0,0,4,0,6,15,11,3,41,0,3,4,5,6,3,7,4,0,37,3,13,10,74,8,14,13,10,0,142,0,0,3,8,3,0,5,3,0,18,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,3,0,0,3,11,5,14,12,8,0,60,0,3,4,7,7,10,25,18,8,84,0,3,0,8,3,0,5,0,0,25,0,0,7,8,3,3,0,0,0,23,3,0,0,3,5,3,4,0,0,18,0,0,0,5,7,3,7,0,0,23,0,0,0,0,0,3,9,8,0,24,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,8,64,0,0,0,0,0,80,0,0,0,7,8,11,38,32,11,102,0,4,12,58,66,59,81,41,10,325,0,0,0,0,5,0,19,6,0,37,0,0,0,0,0,0,0,0,0,6
UCL112005,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,7,0,0,0,12,5,0,0,31,0,5,4,0,0,48,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,15,0,0,0,0,0,4,3,0,0,12,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,8,0,0,0,11,3,4,0,0,0,16,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,4,0,0,0,0,14,6,0,33,0,3,14,74,41,39,25,0,0,204,0,0,0,0,0,0,3,5,0,8,0,0,0,0,3,4,0,0,0,8
UCL112006,0,0,0,0,6,6,0,3,5,19,3,0,0,9,6,14,11,0,0,38,5,23,19,198,25,28,23,6,6,341,0,0,0,6,9,6,3,0,4,26,0,12,18,7,0,0,0,0,0,40,0,0,0,4,0,3,0,0,0,13,0,7,3,51,18,15,17,4,5,114,0,3,4,10,5,11,34,25,15,104,0,6,4,11,3,5,3,4,0,40,0,3,5,7,6,0,0,0,0,21,0,0,0,0,3,0,0,0,0,10,20,22,3,17,13,10,10,0,0,96,0,0,0,0,0,8,12,7,4,28,0,0,0,0,4,0,0,0,0,9,0,38,62,146,36,9,4,3,0,299,0,0,3,3,0,0,0,0,0,11,0,0,0,9,7,28,47,35,14,146,3,35,43,159,126,142,95,56,14,669,0,3,0,14,0,3,13,11,0,45,3,24,21,11,3,3,0,0,0,66
UCL112007,0,0,0,3,3,7,7,8,0,27,0,0,3,5,3,3,0,0,0,23,10,31,15,252,29,12,5,4,0,357,0,0,3,15,0,4,4,0,0,25,0,0,0,23,0,3,0,0,0,26,0,0,0,6,0,0,0,0,0,8,0,9,0,18,4,4,0,3,3,31,0,0,0,4,0,6,3,7,6,29,0,3,0,3,0,0,0,0,0,9,0,0,9,40,0,0,0,0,0,45,0,0,0,5,4,5,7,3,0,22,0,0,3,11,10,4,0,0,0,30,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,13,14,179,3,0,0,0,0,203,0,0,0,9,0,6,9,11,5,38,0,19,24,81,48,35,39,15,3,272,0,6,4,4,3,7,4,0,0,25,9,9,11,40,3,3,0,0,0,70
UCL112008,0,0,0,0,0,0,3,6,4,18,0,0,0,3,0,3,0,0,0,9,3,9,6,94,3,5,3,0,0,132,0,0,3,8,3,3,0,0,0,22,4,0,3,13,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,11,0,6,0,13,3,3,4,0,0,26,0,3,0,0,0,8,8,12,3,33,0,0,0,3,0,0,0,0,0,4,0,0,19,42,0,0,0,0,0,64,0,0,3,11,5,4,0,3,0,23,0,0,0,6,4,4,3,0,0,20,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,3,28,3,0,0,0,0,33,0,0,0,3,3,4,15,17,7,46,5,3,22,72,38,46,30,9,5,228,0,3,0,3,0,0,8,3,0,14,3,0,6,13,0,0,0,0,0,24
UCL112009,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,4,0,0,12,0,3,4,48,6,7,4,6,0,88,0,0,3,24,0,0,3,0,0,32,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,4,3,3,0,30,0,0,0,8,4,9,16,41,38,114,0,0,3,8,4,4,0,0,0,26,0,0,4,14,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,6,0,3,0,24,0,0,0,0,0,3,3,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15,23,7,3,55,0,12,23,56,76,80,29,5,3,284,0,0,0,0,3,4,3,3,3,20,0,4,0,14,0,4,0,0,0,22
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,3,4,3,0,0,17,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCL112011,0,0,4,3,0,5,8,5,0,24,0,0,0,8,7,4,3,0,0,20,4,13,7,105,9,9,3,0,0,156,0,3,0,17,3,0,3,3,3,33,0,0,0,3,0,0,0,0,0,10,0,0,3,14,0,0,0,0,0,16,0,0,0,3,7,3,7,3,0,25,0,0,0,4,10,8,14,13,3,55,0,3,0,3,3,0,0,3,0,12,0,0,3,14,3,0,0,0,0,22,0,3,0,5,10,4,0,0,3,20,0,0,4,11,3,0,0,4,0,22,0,0,0,3,0,6,15,14,0,34,0,0,0,0,3,4,3,3,0,13,0,0,0,3,0,0,0,0,0,3,0,0,3,25,4,0,0,0,0,37,0,0,0,5,5,16,48,35,7,120,0,23,31,97,67,70,53,21,6,365,0,0,0,3,0,3,11,3,0,24,3,5,0,11,0,0,0,0,0,15
UCL112012,0,0,0,5,0,4,9,11,0,35,0,0,0,10,4,14,4,0,0,33,8,32,23,253,20,13,15,3,0,374,0,0,0,10,3,0,0,0,0,15,0,0,3,15,4,3,0,0,0,26,0,0,0,8,0,0,0,0,0,11,0,5,0,11,3,0,12,4,0,45,0,0,0,9,11,14,22,25,10,86,0,0,0,10,6,3,0,0,0,12,0,0,7,47,4,3,0,0,0,60,0,0,0,0,0,3,0,0,0,5,0,0,3,12,7,7,3,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,0,3,0,9,0,6,11,82,11,0,0,0,0,105,0,0,3,3,3,14,33,12,11,79,10,25,29,103,61,65,35,14,0,338,0,4,0,0,0,0,9,3,0,13,0,6,3,25,0,4,0,0,0,37
UCL112013,0,3,0,0,3,3,3,0,0,10,0,0,0,12,10,4,3,0,0,35,7,17,3,98,12,6,17,13,3,170,0,0,0,3,3,3,8,4,0,21,0,0,0,10,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,3,0,8,4,45,13,14,33,8,8,130,0,0,3,8,4,15,29,15,11,74,0,3,3,9,6,5,0,0,0,37,0,3,4,28,3,0,0,0,0,39,0,0,0,3,0,0,3,0,0,8,0,0,3,14,10,11,3,0,0,44,0,0,0,0,7,7,21,9,4,48,0,0,0,0,3,0,0,3,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,15,0,3,0,0,0,19,0,0,0,8,10,18,64,48,29,174,3,20,26,155,140,117,122,76,19,683,0,0,0,9,11,4,10,20,3,54,0,0,0,5,0,0,0,0,0,5
UCL112014,0,0,0,0,0,0,0,3,3,10,0,0,5,10,0,8,0,0,0,20,5,12,8,142,10,7,6,0,0,191,0,0,3,8,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,11,0,0,0,3,3,0,0,0,0,4,0,5,0,10,4,3,4,5,0,38,0,0,0,0,4,3,3,6,3,22,0,0,0,0,0,0,0,0,0,6,0,0,75,84,3,0,0,0,0,159,0,0,0,0,5,3,0,0,0,7,0,0,0,24,3,3,3,0,0,33,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,24,3,0,3,0,0,45,0,0,5,31,0,0,0,0,0,36,0,0,0,0,0,6,13,10,3,32,3,13,23,73,44,50,25,9,4,244,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,21
