UCL_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
UCL112003,0,0,3,13,19,13,18,8,3,0,0,0,4,0,3,84,0,3,9,0,3,20,30,25,5,3,4,9,10,4,5,124,0,3,10,13,0,0,0,0,0,0,0,0,0,0,4,35,0,8,9,7,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,7,9,9,7,0,0,0,0,0,0,0,0,39,0,56,49,43,37,22,19,11,4,0,3,0,0,0,7,254,0,5,13,10,0,0,0,0,0,0,0,0,0,0,6,33,0,0,0,4,10,3,5,3,0,0,4,4,3,0,4,49,0,3,10,22,9,9,16,16,3,3,5,14,9,9,7,129,0,0,5,3,3,3,4,7,0,6,0,9,20,13,3,78,0,0,0,0,3,10,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,0,8,42,16,14,13,6
UCL112004,0,0,12,13,6,16,13,0,0,0,0,3,0,0,0,59,0,3,3,0,3,12,13,17,0,3,0,0,0,0,0,57,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,3,4,0,4,8,0,0,0,0,0,0,0,0,3,26,0,43,31,13,19,7,4,11,0,0,0,0,0,0,3,125,0,7,14,8,3,0,0,0,0,0,0,3,0,0,5,41,0,3,0,9,3,8,6,0,0,0,0,0,3,0,3,37,0,3,3,11,3,12,18,67,0,3,3,0,9,4,3,142,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,11,3,14,7,0
UCL112005,0,0,0,4,0,0,3,4,0,0,0,0,0,0,3,14,0,0,0,0,10,3,6,4,0,3,0,0,0,0,0,35,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,19,0,23,11,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,3,15,3,0,3,0,3,0,3,48,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3
UCL112006,0,0,3,23,19,19,12,10,0,0,0,0,3,3,0,99,0,3,7,0,3,16,18,20,7,8,0,0,12,0,8,100,0,3,4,7,0,0,3,0,0,0,0,0,0,0,0,12,0,3,5,3,0,3,5,9,0,3,6,0,4,0,3,38,0,0,7,6,12,11,22,8,0,3,0,3,0,0,0,71,0,53,53,27,21,18,23,11,0,3,0,5,0,6,11,224,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,3,11,8,8,0,0,0,0,0,4,0,3,3,38,0,3,6,17,16,32,40,127,8,22,23,22,14,10,7,341,0,0,0,0,8,4,5,3,0,0,3,3,0,0,0,26,0,0,0,0,0,0,0,0,0,4,6,13,0,0,0,40,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,13,0,5,4,15,6,10,22,32
UCL112007,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,18,0,0,3,0,4,19,19,63,6,7,14,3,5,3,8,160,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,6,11,0,0,0,0,0,4,26,0,0,0,0,4,6,8,14,3,0,0,0,0,0,0,44,0,11,4,9,5,0,0,3,0,0,0,5,3,0,0,49,0,3,8,4,3,0,0,0,0,0,0,0,0,0,3,27,0,3,0,0,3,5,7,0,0,0,0,0,0,0,0,23,0,0,4,6,4,7,28,144,14,32,29,26,38,14,12,357,0,0,3,0,0,0,5,9,3,0,0,3,0,0,0,25,0,0,0,0,0,0,0,3,0,4,7,3,0,4,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,3,0,6,6,10
UCL112008,0,0,0,0,0,4,6,3,0,0,0,0,0,0,3,20,0,3,0,0,0,8,15,20,4,0,3,3,9,0,3,62,0,0,7,3,0,0,0,0,0,0,0,0,0,0,4,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,10,3,3,0,0,3,0,0,0,3,30,0,9,8,14,3,3,7,0,0,0,0,0,0,0,5,51,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,9,0,0,0,5,0,3,3,50,0,10,9,19,25,6,0,132,0,0,0,0,3,3,5,0,3,3,0,0,0,0,4,22,0,0,0,0,0,0,0,7,0,0,0,0,4,0,5,15,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,11,0,0,0,5,0,4,0,4
UCL112009,0,0,0,4,4,0,6,10,3,0,0,0,0,0,0,39,0,0,3,0,0,3,14,10,0,0,3,4,8,3,0,54,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,12,0,5,0,0,0,6,3,0,0,4,0,0,0,0,0,15,0,15,8,3,29,19,11,4,0,0,0,0,3,0,3,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,6,4,8,35,6,7,0,3,6,4,0,88,0,3,0,0,4,5,10,6,0,0,0,0,0,7,0,32,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,10,0,3
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112011,0,0,0,10,7,3,6,6,0,0,0,0,0,0,3,37,0,3,0,0,5,14,18,31,6,3,3,6,5,4,20,117,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,3,0,3,0,3,0,0,0,0,0,0,0,20,0,0,0,0,3,10,3,0,0,0,0,3,0,0,3,27,0,49,36,11,12,7,5,0,0,3,0,0,0,0,4,129,0,3,9,4,0,0,0,0,0,0,0,4,0,0,3,24,0,0,0,4,0,3,3,0,0,0,0,0,0,0,4,20,0,0,0,8,3,0,19,48,4,15,16,23,7,9,10,156,0,3,0,0,0,6,11,8,0,0,0,0,3,0,3,33,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,3,0,0,0,10,16,0,0,0,15,3,0,3,3
UCL112012,0,0,0,4,3,9,4,11,0,0,0,4,0,0,0,43,0,0,16,8,24,12,19,34,5,3,4,9,0,0,8,143,0,3,5,16,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,18,0,0,0,0,3,13,5,8,3,0,0,0,3,0,0,40,0,52,9,7,3,3,4,3,0,0,0,0,0,0,3,94,0,7,13,14,3,0,0,0,0,0,0,0,0,0,0,35,0,0,3,4,17,3,0,3,0,0,0,0,0,0,0,33,0,0,0,7,3,5,23,102,34,91,28,25,23,27,9,374,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,15,0,0,0,0,3,0,3,4,3,3,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,7,5,3,0,3,4
UCL112013,0,0,11,8,4,6,25,9,0,7,3,8,3,0,3,92,0,3,3,3,0,11,30,32,3,3,7,0,3,4,8,114,0,0,8,14,0,0,3,0,0,0,0,0,0,0,3,21,0,10,10,9,0,3,0,9,5,0,0,0,0,0,4,53,0,0,3,4,5,9,4,6,0,0,0,3,0,0,0,41,0,70,44,28,19,9,11,4,0,0,3,0,3,0,11,203,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,3,8,3,6,0,0,0,0,0,0,3,35,0,11,0,11,7,10,23,48,8,15,12,11,12,0,3,170,0,6,4,0,0,3,4,3,0,0,3,0,0,0,0,21,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,6,29,9,13,19,14
UCL112014,0,0,0,3,3,3,5,3,0,0,0,0,3,0,0,26,0,0,3,0,5,10,10,26,5,11,0,8,7,8,3,94,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,4,0,4,0,7,5,4,11,0,0,46,0,15,14,5,3,0,0,4,0,0,0,0,0,0,0,44,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,4,4,0,3,0,0,0,0,8,0,0,20,0,0,0,0,0,3,10,88,9,14,22,12,11,14,3,191,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,7,3,0,4,3
UCL112015,0,0,0,5,3,7,9,3,3,0,0,4,0,0,3,42,0,0,0,0,4,8,23,59,4,10,11,4,27,14,24,192,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,24,13,3,22,3,0,5,0,0,84,0,0,0,0,0,5,15,0,0,4,3,0,0,0,0,36,0,47,26,9,5,3,3,6,0,0,0,0,0,0,3,102,0,7,6,3,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,12,11,9,5,0,0,0,0,3,0,5,47,0,0,4,3,5,0,32,142,42,98,96,55,32,14,24,542,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,19,0,0,0,0,4,0,13,4,4,12,12,12,7,3,3,72,0,0,0,0,0,3,17,5,0,3,0,0,3,0,0,36,0,0,3,4,5,4,7,9
