UCL_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL112003,6,0,9,9,25,0,49,0,0,9,3,21,0,30,7,11,30,41,174,9,269,8,4,16,16,47,8,91,13,3,52,47,434,20,566,12,0,20,18,75,4,118,11,3,58,47,120,17,244,16,5,65,45,162,13,306,8,0,37,29,146,10,233,9,4,24,18,33,9,93,19,10,43,27,34,0,138,9,0,8,10,24,6,56,39,13,155,57,64,19,358,6,3,37,26,68,4,155,59,25,123,109,164,13,493,158,63,219,68,56,8,565,55,16,175,73,93,4,421,25,7,35,24,53,3,144,14,0,28,20,121,3,190,13,3,32,16,94,26,186,470,172,1169,721,2002,180,4707,3,0,10,6,8,0,31,0,0,0,0,0,0,5,7,0,17,32,21,3,81,3,3,7,4,7,0,21,0,0,15,19,22,3,61,3,0,13,11,8,3,42,15,6,81,71,117,15,299,17,3,75,105
UCL112004,3,0,8,12,27,3,53,3,0,10,9,27,0,46,29,0,69,27,163,5,293,0,0,3,0,25,0,33,13,3,31,33,399,15,492,11,0,16,23,34,4,85,15,7,43,20,94,9,176,9,0,40,34,77,3,164,5,3,26,36,80,6,157,3,0,21,7,8,7,38,21,4,40,34,23,0,122,4,3,18,16,26,5,68,47,10,158,42,44,13,318,3,0,11,15,54,6,90,24,8,44,40,46,4,165,77,25,88,20,34,12,248,47,13,91,33,34,6,224,7,4,12,7,12,0,43,5,3,17,11,106,3,148,5,3,27,21,69,18,142,327,96,765,449,1371,112,3112,0,0,3,0,9,0,19,0,0,4,0,0,0,3,10,4,20,25,26,3,92,0,0,0,4,0,0,6,4,3,14,13,30,4,80,7,0,15,10,24,0,48,4,7,53,53,93,18,226,4,4,41,44
UCL112005,0,0,0,4,13,3,26,3,0,16,41,466,11,544,7,0,15,20,163,9,218,0,0,3,8,35,5,56,0,0,10,12,231,6,252,0,0,3,3,41,3,52,3,0,15,18,105,11,150,5,0,18,20,126,6,171,0,0,0,9,71,7,91,0,0,0,0,10,0,7,0,0,0,3,7,4,19,0,0,3,3,17,3,27,3,3,26,7,30,3,68,0,0,6,10,58,3,70,0,3,21,36,97,9,169,7,8,21,4,17,0,57,7,3,38,22,42,12,121,0,0,3,4,14,3,25,0,0,7,8,130,6,148,0,0,3,4,81,12,100,44,23,208,246,1752,106,2379,0,0,0,3,7,0,13,0,0,3,10,27,3,37,3,0,9,20,41,0,73,0,0,0,0,4,0,10,0,0,4,16,14,3,36,0,0,5,0,11,0,12,4,0,19,37,162,23,241,0,0,24,29
UCL112006,6,3,29,23,65,12,137,0,0,0,3,22,3,32,3,3,29,24,259,7,326,0,0,3,14,60,0,79,15,3,79,66,907,22,1093,0,0,15,9,111,9,147,10,3,78,68,386,18,561,4,0,47,64,265,25,401,6,4,27,43,186,14,274,3,3,13,18,44,6,87,7,8,45,38,19,3,111,3,3,24,31,58,3,128,31,25,155,53,76,6,341,3,0,24,23,127,5,187,26,30,109,117,159,8,450,51,40,207,50,69,12,423,100,23,274,114,165,17,693,8,0,10,13,46,6,85,3,4,31,18,246,20,325,5,0,32,26,172,36,275,289,150,1243,816,3449,224,6164,6,0,11,13,29,10,69,0,0,0,4,0,0,3,0,0,9,22,39,0,75,0,0,0,7,3,0,15,0,3,16,38,56,14,123,0,0,8,15,29,0,61,4,3,81,120,343,25,577,0,5,70,103
UCL112007,4,0,23,15,77,6,129,3,0,16,12,86,0,108,27,4,61,40,285,21,448,5,0,14,15,67,0,104,3,0,23,31,704,20,786,4,3,23,16,126,12,192,28,3,49,34,271,25,411,13,0,50,40,112,5,227,4,3,28,22,159,12,223,0,3,13,7,28,0,48,4,3,35,25,20,0,94,0,0,12,15,37,3,69,27,20,103,34,74,16,270,0,3,9,12,74,8,104,34,22,114,104,168,11,448,49,35,141,26,62,4,312,56,20,151,74,133,14,441,0,3,11,9,59,3,82,10,0,19,11,258,11,312,3,0,9,7,115,33,172,270,128,900,558,2911,212,4984,3,0,21,9,11,0,43,0,0,4,0,7,0,13,8,3,37,20,42,5,117,0,0,16,4,22,0,39,0,0,12,24,47,3,90,3,0,11,8,44,4,70,15,3,60,64,243,27,422,9,0,30,58
UCL112008,0,0,11,14,44,7,74,0,0,4,12,50,4,70,3,0,19,18,182,9,220,4,3,9,12,47,3,70,0,4,12,28,435,21,495,0,0,4,11,45,4,66,7,0,27,22,140,7,201,5,3,23,14,65,8,116,0,0,7,14,137,13,179,0,0,3,3,18,0,28,4,0,8,16,6,0,31,3,0,3,6,26,0,38,6,12,51,14,21,4,103,3,0,10,10,39,9,70,26,23,63,115,228,14,471,31,15,79,25,31,4,183,30,5,63,57,75,0,238,0,3,4,6,10,0,29,3,4,8,12,140,4,169,5,0,5,14,77,13,117,130,69,411,409,1822,130,2975,0,0,10,3,11,0,23,0,0,0,0,4,0,4,3,0,7,18,29,4,54,0,0,0,3,0,0,0,0,0,7,7,15,0,34,0,0,5,4,14,0,22,0,3,22,47,119,13,202,3,3,19,28
UCL112009,3,3,18,12,63,4,101,0,0,4,0,22,0,25,0,0,15,23,195,12,246,0,0,5,10,46,3,60,5,0,20,11,431,7,474,0,0,4,10,56,0,69,3,6,39,45,248,11,354,3,0,27,19,117,3,163,3,0,5,13,102,13,137,0,0,5,3,18,3,28,3,3,13,20,17,0,60,0,0,10,5,25,0,40,18,8,86,22,32,3,172,3,0,17,13,47,5,82,0,11,53,58,115,11,249,70,32,184,29,47,10,374,45,18,155,66,141,6,422,4,0,12,3,17,0,41,0,3,27,11,175,3,220,4,3,13,15,91,22,144,165,89,716,387,1994,125,3471,0,0,10,3,24,0,40,0,0,0,0,0,0,0,0,0,23,22,57,9,105,0,0,3,0,3,0,11,0,0,7,6,26,0,44,0,0,5,4,17,0,22,10,3,54,46,201,23,333,0,3,33,30
UCL112010,0,0,3,0,17,3,27,0,0,0,0,4,0,4,0,0,3,3,17,0,28,0,0,0,3,11,0,17,0,0,0,3,60,0,63,0,0,0,4,9,3,11,0,0,0,0,18,3,24,0,0,0,0,9,0,13,0,0,0,3,11,0,14,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,8,4,3,0,17,0,0,0,0,8,0,9,0,0,7,13,7,0,28,0,0,4,5,0,0,19,0,0,3,7,0,0,14,0,0,0,0,0,0,3,0,0,0,0,13,0,16,0,0,0,0,7,0,10,3,10,39,52,216,13,336,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,4,0,3,0,0,4,3,11,3,25,0,0,3,5
UCL112011,0,0,3,13,35,0,51,0,0,0,5,21,0,27,4,0,23,38,277,9,350,0,0,0,16,53,3,74,3,3,18,37,484,21,572,0,0,5,12,35,5,59,4,0,23,24,186,6,252,6,0,23,26,129,17,198,0,3,10,31,115,18,170,0,0,3,6,12,0,24,0,0,6,13,12,0,32,0,0,9,4,28,0,37,11,3,55,41,40,8,159,0,0,6,7,82,6,101,43,17,101,237,408,19,824,17,21,51,5,38,0,138,38,10,104,53,115,12,328,0,3,3,9,23,3,33,3,0,16,21,165,0,203,5,0,6,10,99,36,156,130,67,476,594,2340,163,3778,0,0,0,3,19,0,25,0,0,0,0,0,0,0,0,0,18,12,34,0,64,0,0,0,3,9,0,11,0,4,3,9,35,4,58,0,0,0,7,3,0,15,3,3,54,70,196,35,362,6,6,20,49
UCL112012,7,0,22,16,47,17,103,28,6,81,48,347,16,528,9,3,61,62,298,20,448,0,0,11,18,46,3,80,4,0,31,46,661,22,766,3,0,21,13,97,3,136,13,6,52,34,230,20,357,19,0,24,36,121,14,220,4,0,15,25,169,16,225,3,0,22,8,28,4,62,6,5,32,26,18,0,90,0,3,12,10,27,3,53,33,10,122,39,48,8,261,3,0,18,13,70,3,118,57,26,122,91,132,12,445,77,23,158,42,64,4,372,79,33,220,94,152,24,601,0,0,9,6,17,3,45,4,3,21,15,229,3,273,8,0,20,4,100,20,157,351,125,1081,647,2905,215,5322,4,5,9,8,8,5,46,7,3,28,11,22,0,77,4,3,29,22,50,6,111,0,0,3,3,8,0,10,0,4,13,19,37,4,76,0,0,3,4,26,4,33,5,7,62,62,275,34,442,5,0,45,49
