UCL_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
UCL112003,0,0,0,3,4,523,10,3,0,0,0,0,0,0,32,567,110,3,6,0,0,0,0,0,0,15,137,39,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,13,53,0,0,0,0,0,0,0,0,0,0,0,156,3,6,0,0,0,0,0,0,28,191,3386,228,155,24,33,20,18,22,16,129,4031,785,125,131,25,20,30,70,94,95,40,1423,66,3,9,3,0,7,6,7,9,31,140,3,0,0,0,0,0,0,0,0,0,5,860,130,141,30,25,31,80,101,102,72,1570,8,0,0,0,0,0,0,0,0,7,14,4249,360,301,56,51,50,91,125,120,215,5615
UCL112004,0,0,0,0,3,549,16,10,0,0,0,0,0,0,14,586,143,3,0,0,0,0,0,0,0,13,159,18,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,169,3,0,0,0,0,0,0,0,13,191,2293,211,155,13,29,12,40,17,12,88,2869,422,65,207,14,25,22,25,29,16,17,844,43,3,6,6,0,0,0,6,4,11,88,6,0,0,0,0,0,0,0,0,0,9,473,70,215,24,25,27,25,32,22,31,943,6,0,0,0,0,0,0,0,0,0,3,2768,279,372,38,59,36,61,49,32,120,3818
UCL112005,0,0,0,0,0,110,0,0,0,0,0,0,0,0,6,127,32,0,0,0,0,0,0,0,0,11,39,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,11,48,688,70,67,11,18,8,17,3,3,51,931,110,24,51,17,5,4,8,6,4,16,256,11,4,9,0,0,0,7,3,0,3,40,4,0,0,0,0,0,0,0,0,0,4,127,31,61,18,13,8,17,10,10,22,297,0,0,0,0,0,0,0,0,0,104,106,815,96,123,29,24,11,31,15,9,178,1339
UCL112006,0,0,0,7,4,589,12,9,0,0,0,3,3,0,25,648,180,3,0,0,0,0,0,0,0,13,200,47,0,0,0,0,0,0,0,0,9,51,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,8,63,16,0,0,0,0,0,0,0,0,11,20,251,6,0,0,0,0,0,0,0,28,283,2898,306,364,62,78,61,34,75,30,154,4065,617,199,455,81,133,129,159,116,65,61,2017,62,31,76,25,43,57,66,93,85,17,550,9,6,4,0,3,0,0,4,4,0,32,693,234,536,103,172,188,224,219,153,73,2593,18,3,0,0,0,0,0,0,0,17,49,3613,544,906,170,253,250,255,293,182,246,6709
UCL112007,0,0,0,0,0,119,0,0,0,0,0,0,0,0,12,130,40,0,0,0,0,0,0,0,0,0,42,11,0,0,0,0,0,0,0,0,3,14,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,3,66,721,86,110,36,40,28,26,30,15,30,1115,225,130,593,103,95,114,93,94,75,35,1556,32,4,19,0,16,12,12,33,27,11,158,3,0,3,0,3,0,0,0,0,0,5,261,139,614,105,111,123,104,126,100,54,1722,0,0,0,0,0,0,0,0,0,0,7,983,225,730,136,152,148,132,155,109,80,2846
UCL112008,0,0,0,0,3,150,0,4,0,0,0,0,0,0,15,167,39,0,0,0,0,0,0,0,0,9,50,13,0,0,0,0,0,0,0,0,4,17,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,18,80,806,57,107,15,16,17,22,26,3,57,1127,183,53,192,32,34,27,55,56,31,20,680,31,17,20,3,0,3,8,13,33,16,145,3,0,0,0,0,0,0,3,0,3,15,212,74,210,32,32,29,60,77,57,46,836,3,0,0,0,0,0,0,0,0,122,131,1029,130,317,53,48,50,83,99,59,222,2090
UCL112009,0,0,0,0,0,184,7,0,0,0,0,0,0,0,8,193,61,0,0,0,0,0,0,0,0,5,68,21,0,0,0,0,0,0,0,0,3,27,9,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,5,33,4,0,0,0,0,0,0,0,9,42,0,0,0,0,0,0,0,0,0,0,0,96,4,0,0,0,0,0,0,0,9,110,1168,112,113,25,12,20,16,15,8,39,1532,294,91,141,25,24,42,20,42,24,16,731,24,8,16,9,0,5,5,7,20,8,110,4,4,0,3,0,0,0,0,0,4,11,322,105,163,38,26,48,34,53,41,25,847,5,0,0,0,0,0,0,0,0,3,9,1497,217,275,63,41,67,49,67,51,73,2387
UCL112010,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,57,4,17,0,0,0,0,3,0,0,85,19,3,9,0,0,0,0,0,0,3,35,7,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,29,3,9,0,0,0,5,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,82,7,23,0,0,3,6,3,0,3,127
UCL112011,0,0,0,5,6,450,9,0,0,0,0,0,0,0,17,468,123,0,0,0,0,0,0,0,0,19,138,21,0,0,0,0,0,0,0,0,5,24,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,27,3,0,0,0,0,0,0,0,0,0,3,146,0,0,0,0,0,0,0,0,21,174,1989,122,155,25,17,33,25,30,12,83,2486,398,91,154,24,42,49,64,42,17,35,909,41,9,22,9,13,7,11,15,14,5,143,4,0,0,0,0,0,0,0,0,0,4,441,99,177,28,51,60,70,57,28,41,1058,10,0,0,0,0,0,0,0,0,152,157,2436,224,331,52,75,88,95,83,42,281,3702
UCL112012,0,0,0,0,0,245,0,7,0,3,0,0,0,0,16,271,75,0,0,0,0,0,0,0,0,10,83,34,0,0,0,0,0,0,0,0,8,39,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,42,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,16,136,1251,134,158,28,47,58,27,18,22,71,1818,394,178,399,100,159,83,61,58,36,37,1505,55,19,40,5,15,13,15,15,21,18,217,9,0,8,0,0,0,0,0,0,3,22,457,198,444,110,175,98,76,76,51,61,1743,9,0,0,0,0,0,0,0,0,0,8,1718,333,608,135,218,152,106,98,70,130,3569
UCL112013,0,0,0,4,14,857,20,20,0,3,0,0,0,0,33,931,246,4,3,0,0,0,0,0,0,32,291,49,0,0,0,0,0,0,0,0,12,62,11,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,55,3,0,0,0,0,0,0,0,15,75,3,0,0,0,0,0,0,0,0,4,10,307,6,3,0,0,0,0,0,0,52,374,3419,343,342,44,69,90,61,43,28,176,4605,503,131,208,65,50,44,38,39,16,40,1129,39,10,20,3,3,8,8,11,3,6,120,8,0,4,0,0,0,3,0,0,6,22,550,147,237,69,53,55,51,50,17,60,1275,11,3,0,0,0,0,0,0,0,17,28,3986,484,572,112,120,143,110,88,45,241,5908
UCL112014,0,0,0,0,0,144,0,0,0,0,0,0,0,0,8,158,55,0,0,0,0,0,0,0,0,4,55,14,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,5,70,783,83,100,45,27,28,23,27,13,58,1181,165,65,280,47,98,115,120,144,67,42,1140,23,12,28,3,16,12,16,82,58,73,322,0,4,4,0,3,0,4,0,0,4,19,182,80,311,50,123,124,141,227,126,112,1475,0,0,0,0,0,0,0,0,0,8,12,964,166,407,97,146,154,166,257,134,177,2669
UCL112015,0,0,0,0,0,193,3,6,0,0,0,0,0,0,14,211,75,0,0,0,0,0,0,0,0,7,87,28,0,0,0,0,0,0,0,0,0,31,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,113,0,3,0,0,0,0,0,0,15,130,1305,172,199,46,47,43,48,39,16,79,1988,372,261,506,127,293,244,197,173,51,71,2283,25,20,61,25,53,55,35,52,55,43,417,3,3,3,0,4,0,0,0,0,4,14,396,277,569,147,346,301,234,225,106,116,2719,0,0,0,0,0,0,0,0,0,0,0,1699,451,765,197,392,341,277,261,124,195,4715
UCL113001,0,0,0,0,6,203,3,7,0,0,0,0,0,0,10,231,89,0,0,0,0,0,0,0,0,3,96,25,0,0,0,0,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,27,3,0,0,0,0,0,0,0,0,0,3,120,0,0,0,0,0,0,0,0,4,126,1001,103,91,28,28,17,13,12,12,64,1356,139,34,85,13,28,19,9,10,4,15,358,17,0,7,0,0,0,0,0,0,3,32,3,0,0,0,0,0,0,0,0,0,11,161,34,91,13,31,20,7,10,4,16,389,5,0,0,0,0,0,0,0,0,3,8,1163,136,184,35,55,35,23,20,12,89,1757
UCL113002,0,0,0,0,3,303,0,7,0,0,0,0,0,0,13,323,88,0,0,0,0,0,0,0,0,17,104,11,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,16,121,1009,46,46,7,21,4,11,3,5,61,1212,237,27,35,6,3,12,3,4,3,14,350,32,0,3,0,0,0,3,0,3,7,51,0,0,0,0,0,0,0,0,0,3,6,268,27,41,6,3,14,5,6,9,27,405,6,0,0,0,0,0,0,0,0,0,10,1291,71,87,11,25,16,16,7,15,85,1630
