LGA_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
LGA10850,0,0,16,4,0,0,7,3,8,3,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,11,6,0,0,3,0,7,3,0,0,4,0,6,31,8,3,4,12,10,21,10,3,3,5,0,4,86,44,10,22,37,53,156,147,134,70,54,37,39,800
LGA10900,3,0,102,16,5,4,13,28,93,96,94,46,29,8,9,448,10,10,0,12,17,47,40,45,17,12,3,3,209,21,21,17,10,24,79,58,71,29,22,3,21,369,53,34,23,45,73,233,222,239,91,59,21,33,1130,378,190,172,282,376,1196,1588,2515,1307,963,442,282,9684
LGA10950,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,3,3,0,0,0,0,0,25,19,3,5,12,26,45,24,17,3,7,4,8,184
LGA11100,3,3,26,11,0,0,8,5,8,12,39,17,33,13,10,156,6,0,7,3,3,15,17,17,9,11,9,5,96,17,3,0,6,15,20,16,29,18,20,18,7,167,32,8,5,15,26,40,47,87,46,71,38,22,440,155,40,38,79,115,295,346,702,578,863,672,195,4091
LGA11150,0,0,3,0,3,3,0,3,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,13,0,5,3,4,3,5,0,5,0,0,0,0,29,0,13,7,21,21,32,23,14,5,7,3,7,162
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,4,0,0,0,0,0,3,4,30
LGA11250,0,0,40,8,9,6,33,36,36,12,7,3,0,5,5,168,0,7,0,8,5,9,0,0,0,0,0,0,38,9,12,8,14,12,18,3,3,0,0,0,12,85,21,32,16,59,58,69,21,14,4,0,4,22,326,92,109,105,225,226,421,210,124,38,17,21,84,1681
LGA11300,3,3,35,4,0,5,7,3,9,9,24,9,23,14,6,108,12,0,0,3,7,6,14,16,7,5,8,4,69,11,8,0,3,7,15,14,15,15,4,14,4,110,27,12,8,17,15,36,35,63,31,39,30,17,328,198,41,29,49,82,196,192,427,292,433,445,143,2531
LGA11350,0,3,36,13,8,3,4,13,30,33,44,13,14,7,17,187,4,0,0,4,7,13,14,18,0,0,3,4,82,7,8,3,6,10,25,14,8,11,10,7,9,123,28,14,7,17,26,76,72,81,26,25,15,35,432,150,71,46,80,134,346,356,550,301,245,172,146,2600
LGA11400,0,4,13,3,0,0,9,10,19,9,7,3,4,3,4,63,0,0,3,0,3,7,4,3,0,0,0,0,21,4,0,3,3,3,10,5,3,0,0,0,0,32,8,3,4,11,11,38,18,9,3,9,3,7,133,70,28,44,77,114,266,231,241,117,116,85,90,1483
LGA11450,4,4,98,17,4,0,6,22,48,79,128,79,58,22,23,493,12,0,3,6,9,28,23,46,18,6,9,10,175,22,12,8,8,17,56,46,80,41,28,14,18,340,47,14,11,26,50,143,170,275,155,97,43,61,1106,333,108,102,160,268,865,1302,3111,2495,1987,791,455,11989
LGA11500,5,8,222,27,14,12,32,34,162,177,236,87,46,24,38,896,21,7,5,11,16,80,75,100,29,17,6,23,386,55,22,35,44,73,167,179,204,48,40,20,55,945,110,51,55,92,134,455,481,601,185,111,50,127,2454,623,271,255,426,695,2276,3297,5116,2310,1506,703,730,18222
LGA11520,10,4,53,12,4,0,4,9,23,19,62,30,34,45,11,260,15,3,10,4,17,19,22,29,23,27,24,8,204,26,0,7,4,19,28,31,45,29,26,29,14,274,55,13,17,18,40,82,78,143,90,106,115,38,783,446,103,91,119,216,585,562,1205,968,1468,1937,350,8054
LGA11570,31,20,398,75,13,22,35,46,176,196,322,173,160,75,64,1359,56,20,16,36,44,102,121,172,59,58,38,40,770,112,29,32,47,97,224,224,293,159,152,63,90,1520,267,75,78,124,201,564,599,883,426,406,206,218,4044,1527,436,446,687,956,3144,3839,6391,4115,4540,2500,1483,30071
LGA11600,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,0,0,0,12,25,3,7,20,17,30,15,5,7,3,3,8,156
LGA11650,11,10,462,50,27,32,57,112,335,378,416,115,83,45,83,1724,39,8,21,39,57,154,190,166,56,40,22,30,824,108,73,57,107,126,355,349,257,85,74,19,94,1702,212,117,115,214,322,941,1041,937,290,212,96,221,4716,1374,669,539,1080,1517,4784,6800,9442,4261,3031,1532,1386,36401
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,4,3,0,0,0,0,3,3,28
LGA11720,0,0,81,11,6,5,14,38,78,78,47,13,4,4,21,322,6,3,5,9,10,18,27,9,7,3,0,3,96,16,16,17,18,24,58,38,15,5,3,4,18,238,37,30,32,48,76,190,148,85,29,19,13,39,743,196,135,129,238,354,1211,1325,1172,441,334,153,236,5933
LGA11730,0,4,49,4,5,11,17,31,73,56,26,4,13,0,9,256,3,4,7,10,23,38,14,6,3,3,0,0,96,13,8,14,15,21,52,32,15,8,5,0,8,192,24,17,31,50,73,176,104,56,19,23,0,24,604,193,147,165,259,411,1052,941,668,219,138,78,174,4441
LGA11750,0,0,3,0,0,0,0,3,8,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,8,5,0,0,0,0,5,24,20,11,4,13,38,78,60,52,13,17,14,16,326
LGA11800,3,0,81,12,3,10,24,23,89,107,63,25,17,6,12,389,4,4,3,17,12,38,40,27,4,3,0,4,171,15,9,16,15,27,72,49,32,4,10,3,13,283,33,18,32,61,78,223,210,147,40,29,10,31,919,315,149,151,262,408,1077,1385,1609,597,381,189,232,6748
LGA12000,0,0,10,0,0,0,8,4,8,3,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,3,0,3,0,0,0,0,0,0,0,11,4,7,5,8,7,12,6,9,3,0,0,0,53,31,21,24,36,43,93,64,42,17,11,4,22,413
LGA12150,0,0,3,0,3,5,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,8,0,5,8,6,3,5,0,0,0,0,0,3,36,30,21,24,22,19,36,28,16,3,3,11,19,238
LGA12350,0,0,20,0,3,3,4,6,13,9,5,3,0,0,3,55,0,0,0,0,0,3,4,0,0,0,0,0,15,0,3,3,5,5,6,7,0,4,0,0,8,40,0,5,4,21,17,27,24,4,3,0,5,6,126,50,47,51,100,131,248,177,129,49,38,14,61,1083
LGA12380,5,7,145,37,6,18,14,17,103,88,160,91,50,26,37,649,30,7,3,16,23,52,68,96,31,28,18,18,402,69,19,25,30,42,124,133,173,64,65,48,52,832,142,38,45,67,87,288,310,472,203,160,95,115,2035,942,290,246,409,541,1864,2369,4360,2584,2408,1296,915,18226
LGA12700,0,0,12,0,0,0,3,0,7,13,11,4,3,0,3,43,0,0,0,0,0,3,3,3,0,0,0,0,11,3,0,0,4,3,6,6,3,4,0,0,3,41,4,0,4,6,9,20,25,18,6,3,5,9,105,46,26,27,42,59,167,176,205,102,116,52,52,1067
LGA12730,0,0,9,3,0,0,8,0,4,3,0,0,0,0,5,29,0,0,0,3,0,3,0,3,3,0,0,0,16,4,4,0,11,3,9,4,0,0,0,0,3,35,9,5,0,20,8,17,12,4,3,0,0,7,86,72,21,26,90,100,174,103,83,35,19,22,56,793
LGA12750,5,0,42,5,0,9,9,14,32,34,22,0,3,3,12,148,3,4,3,7,0,13,16,9,3,3,0,4,60,9,8,6,7,18,27,18,8,5,3,3,10,126,25,14,14,18,38,94,79,46,11,5,3,23,377,181,109,92,142,208,541,560,551,188,132,71,155,2932
LGA12850,14,18,314,65,22,22,38,52,156,214,277,101,108,40,44,1136,40,21,14,27,38,103,94,128,49,35,13,33,589,77,41,31,53,79,178,154,241,108,92,28,61,1140,197,82,77,130,177,477,525,705,287,264,103,150,3176,960,368,281,505,730,2191,2505,3893,1888,1737,827,826,16701
LGA12870,0,0,11,3,7,9,3,3,16,7,0,0,0,0,3,49,0,0,0,3,3,5,0,0,0,0,0,0,20,4,0,0,7,0,7,7,3,3,0,0,3,41,4,4,6,12,9,37,19,7,3,0,0,8,118,79,35,28,81,117,296,232,142,49,29,19,58,1167
LGA12900,0,0,9,0,0,0,11,8,20,5,3,0,0,0,0,48,0,0,0,4,7,6,0,0,0,0,0,3,22,4,5,3,9,12,3,3,0,0,0,0,3,34,4,6,3,16,23,34,14,5,0,0,0,8,114,56,24,26,65,104,238,136,91,39,24,24,62,881
LGA12930,9,3,120,33,4,0,13,15,36,56,87,55,71,48,28,452,39,11,5,18,23,62,61,57,34,26,28,13,385,47,17,4,17,28,87,69,106,56,54,42,36,571,127,41,14,49,77,201,207,277,148,170,130,81,1517,896,226,151,275,427,1216,1343,2688,1708,2256,2088,653,13923
LGA12950,0,0,8,0,0,0,0,3,4,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,11,4,0,3,7,3,7,0,0,0,0,0,8,33,41,15,17,33,25,62,47,32,7,13,20,29,335
LGA13010,0,0,8,0,0,0,9,10,10,3,6,0,4,0,3,48,0,0,0,3,5,4,3,0,0,0,0,0,13,0,0,0,7,3,4,3,4,0,0,0,0,30,0,3,3,22,19,22,5,6,0,4,0,9,99,51,34,35,72,98,157,97,79,23,24,22,35,725
LGA13310,0,0,34,3,6,7,3,14,37,39,17,8,4,6,6,151,0,0,3,3,10,17,6,8,3,0,0,3,54,6,4,3,10,16,17,16,21,4,3,0,6,99,11,5,12,12,37,78,80,46,16,9,5,18,339,91,56,51,121,180,550,680,636,233,167,85,132,2974
LGA13340,0,3,9,0,4,3,4,10,8,9,0,0,0,0,0,47,0,0,0,9,7,3,5,0,0,0,0,0,21,4,3,0,6,4,10,8,0,3,0,0,3,35,4,11,7,17,17,22,20,3,5,0,3,5,115,86,45,33,97,121,229,190,148,61,42,26,64,1143
LGA13450,0,0,23,4,0,3,3,9,20,22,18,3,6,4,5,96,0,0,0,0,6,5,9,5,0,0,0,0,29,3,4,3,9,8,20,11,9,4,0,4,3,69,5,4,9,10,23,56,41,35,11,4,4,7,218,101,43,37,76,155,484,507,419,130,94,54,106,2207
LGA13510,0,0,10,4,0,3,4,10,14,12,3,4,4,0,5,53,0,0,0,5,3,3,0,0,0,0,0,4,22,3,0,9,3,10,14,3,5,0,0,4,0,47,4,3,10,14,21,31,19,11,4,4,3,5,130,51,33,49,85,115,251,172,119,42,23,21,61,1014
LGA13550,0,0,9,0,0,4,5,16,8,9,10,0,0,0,4,54,0,0,3,3,0,6,3,0,0,0,0,0,17,3,0,3,4,3,9,3,0,0,3,0,5,34,3,0,8,16,17,24,21,10,0,4,0,10,114,82,16,28,54,90,231,214,192,81,68,39,69,1150
LGA13660,0,0,4,0,0,3,4,6,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,11,0,0,3,8,5,14,0,3,0,0,3,3,37,49,16,22,43,41,74,40,17,13,8,18,23,355
LGA13800,3,10,80,11,5,3,9,11,42,57,89,42,34,12,17,333,12,3,3,10,13,27,21,29,15,8,7,7,148,11,8,11,21,33,55,62,80,28,23,17,30,374,29,17,19,42,57,140,163,224,95,66,37,52,944,262,97,94,195,274,773,1050,2000,1189,1122,680,409,8150
LGA13850,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,9,3,4,3,4,6,4,0,0,0,0,0,0,22,11,10,9,22,31,39,24,11,4,3,3,12,192
LGA13910,0,3,30,3,8,5,13,15,29,7,6,0,0,0,3,89,4,0,0,4,3,3,12,5,0,0,0,3,35,6,4,7,6,8,12,16,3,0,0,0,3,70,15,10,17,27,32,51,39,15,6,0,0,16,222,109,44,64,126,175,373,292,226,63,47,33,104,1663
LGA14000,20,9,158,19,11,6,8,7,39,56,101,63,74,53,15,447,20,12,12,5,16,51,56,72,46,48,27,21,383,28,21,11,19,28,75,78,102,53,40,43,21,532,82,45,31,44,60,185,212,309,177,182,143,62,1525,951,276,227,335,432,1301,1514,2986,2557,3580,2908,678,17735
LGA14100,9,0,11,0,0,0,3,0,3,0,5,3,3,17,3,41,0,0,0,0,0,4,0,3,3,3,9,0,29,0,0,0,0,3,0,3,0,3,3,5,0,15,0,0,0,4,3,13,3,15,8,12,34,9,96,80,10,11,25,25,83,64,142,93,189,557,74,1344
LGA14170,19,5,106,28,12,8,11,14,70,60,103,80,104,98,18,605,21,4,5,14,14,37,44,55,36,39,41,12,321,54,15,5,21,27,58,57,97,42,49,40,24,486,112,31,25,49,62,172,169,278,176,206,191,61,1517,699,191,167,249,341,1025,1102,2225,1864,3167,4071,537,15623
LGA14200,0,0,19,6,3,6,14,16,25,19,8,3,0,3,3,93,0,3,0,0,3,6,3,0,0,0,0,0,34,3,0,7,10,9,14,3,0,0,0,0,7,51,10,7,17,24,25,53,23,16,8,0,5,8,197,76,40,55,145,137,363,245,210,62,54,25,71,1481
LGA14300,0,0,10,0,0,0,4,3,13,6,3,0,0,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,8,4,5,0,0,0,0,0,17,3,0,0,9,11,25,9,3,0,0,0,3,63,32,9,15,39,58,147,80,79,20,11,9,23,526
LGA14350,0,3,45,3,9,4,13,20,47,35,21,12,3,0,9,164,4,7,5,7,3,22,3,7,0,0,3,3,72,7,9,4,7,11,29,18,9,4,0,4,14,112,16,16,15,29,40,110,70,38,13,6,9,25,391,102,96,78,139,237,569,475,359,121,67,63,113,2427
LGA14400,0,4,16,0,3,0,7,5,9,8,14,3,4,3,0,58,0,0,0,4,5,3,7,12,8,0,0,3,43,4,0,5,3,10,9,9,7,4,5,0,0,54,6,8,3,15,18,26,23,39,16,6,10,12,178,116,48,31,68,88,241,248,486,321,293,157,89,2175
LGA14500,30,5,112,28,0,3,3,4,22,19,52,36,58,120,20,369,29,5,10,9,7,32,18,45,29,39,76,10,312,25,12,8,12,16,34,17,36,22,28,35,13,245,101,16,21,26,27,87,69,155,98,129,254,57,1037,919,157,143,179,225,716,736,1678,1187,2434,4903,633,13914
LGA14550,0,0,10,4,6,4,3,8,14,8,9,0,0,0,6,55,3,3,5,4,3,4,0,3,0,0,0,0,22,7,6,0,4,5,5,7,3,0,0,0,0,36,15,12,9,8,14,24,9,15,0,0,0,9,121,56,40,38,69,77,168,124,88,32,20,18,44,765
LGA14600,0,0,4,4,0,0,0,7,4,0,0,0,0,0,3,18,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,4,0,5,3,0,0,0,0,0,23,3,3,5,3,6,13,7,0,0,0,3,3,50,51,16,21,48,75,87,44,30,7,16,10,31,439
LGA14650,3,11,278,49,25,18,31,62,188,259,259,66,34,16,54,1058,23,9,16,32,46,112,108,95,22,16,5,13,509,56,42,29,64,76,188,177,119,43,20,10,45,875,138,79,67,144,202,555,604,535,148,89,36,120,2726,936,484,395,721,1049,3113,4234,6147,2699,1805,848,852,23285
LGA14700,11,0,25,5,0,0,0,0,11,16,16,18,22,14,7,118,5,0,3,3,4,9,4,16,12,12,9,4,75,11,3,3,0,0,11,9,23,3,12,7,6,81,22,7,5,4,9,25,32,58,36,39,48,13,298,180,36,29,34,59,191,235,512,406,631,1120,164,3600
LGA14750,0,0,11,0,0,6,13,9,6,7,0,0,0,0,3,44,0,0,0,4,4,4,3,0,0,0,0,0,16,0,0,4,0,3,12,3,0,0,0,0,9,38,3,4,9,16,14,26,20,3,4,3,0,8,109,47,18,37,64,101,255,196,145,41,33,28,62,1017
LGA14850,0,0,81,15,10,7,17,18,85,66,39,9,5,4,21,287,10,6,12,7,15,42,24,9,4,3,0,6,126,14,5,12,14,23,38,22,24,5,3,4,4,169,34,18,27,44,70,186,132,82,16,15,7,29,662,190,101,95,223,279,821,933,804,287,184,113,171,4196
LGA14870,0,0,31,6,5,3,6,7,28,10,17,0,4,0,9,100,0,0,0,8,7,11,6,5,0,0,0,3,37,3,6,3,4,12,12,13,7,3,3,4,3,69,7,8,11,21,35,59,33,28,7,6,4,17,236,73,47,41,100,156,411,349,341,147,98,45,90,1907
LGA14900,10,18,277,51,22,21,17,28,121,157,278,123,115,45,51,1028,20,15,16,20,26,77,80,133,47,45,19,28,526,51,32,26,24,52,136,146,236,108,85,44,65,1016,139,77,65,70,125,378,440,700,315,264,124,160,2852,895,307,280,418,687,2310,3089,5583,3725,3343,1489,1121,23261
LGA14920,0,0,9,0,6,0,4,8,7,0,0,0,0,0,0,32,0,0,0,0,0,3,4,0,0,0,0,0,12,3,0,0,3,0,4,3,3,0,3,0,0,20,3,5,0,13,18,20,12,4,0,3,0,3,84,48,17,34,47,59,117,109,84,18,19,24,24,598
LGA14950,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,0,0,0,10,0,3,3,7,9,5,0,0,0,3,0,0,34,28,8,17,27,41,73,31,27,6,7,3,20,287
LGA15050,0,4,97,8,4,5,23,36,90,111,93,24,9,9,11,428,9,10,4,12,13,46,46,31,8,5,0,3,192,20,10,14,17,28,61,69,50,9,5,5,14,304,34,29,28,62,88,225,243,196,48,27,18,31,1021,307,158,128,269,426,1370,1847,2507,1031,613,276,323,9253
LGA15240,0,7,101,25,15,16,25,50,117,74,59,11,11,0,13,407,10,8,3,9,21,40,25,21,7,4,0,5,158,31,19,17,34,27,63,47,35,3,3,3,12,298,67,43,39,72,113,253,166,117,30,20,7,37,960,392,241,203,428,600,1535,1420,1284,419,315,156,321,7322
LGA15270,0,0,21,0,3,3,9,5,17,26,12,0,4,3,6,91,0,0,0,4,0,11,6,10,5,0,0,0,35,0,5,3,3,3,11,4,9,4,0,0,0,41,5,8,4,11,15,41,36,33,5,4,8,13,186,74,66,56,92,122,337,407,533,240,154,95,98,2264
LGA15300,0,0,8,0,0,3,3,5,13,5,3,0,0,0,4,51,0,0,0,3,0,7,3,0,0,0,0,3,15,0,0,0,3,3,9,7,3,0,0,0,3,33,3,3,5,5,8,33,19,4,3,0,0,13,107,63,18,32,51,91,227,160,115,36,34,36,68,936
LGA15350,7,3,17,7,3,0,0,0,0,3,13,6,18,31,5,86,3,0,0,4,3,5,4,3,3,0,11,3,47,3,3,0,0,3,0,3,4,4,9,5,6,45,9,3,0,6,7,12,11,32,20,28,63,15,198,176,35,19,16,40,132,102,224,136,315,1053,136,2390
LGA15520,0,0,9,0,0,0,3,7,9,9,7,0,0,0,4,42,3,0,0,4,3,4,3,0,0,0,0,0,22,0,0,3,3,3,3,3,3,0,0,0,4,20,3,0,6,10,12,20,16,8,0,0,0,9,86,78,42,30,76,86,186,174,196,57,33,26,66,1048
LGA15560,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,3,3,0,0,0,0,0,21,36,19,16,26,38,51,42,12,3,3,8,21,275
LGA15650,0,3,22,3,3,0,10,3,22,15,19,0,3,0,6,75,0,0,3,0,0,10,7,6,0,0,0,3,25,4,0,3,3,4,5,3,0,0,0,0,0,33,7,4,7,9,10,32,28,28,0,3,6,10,153,37,18,23,46,80,261,315,344,152,117,40,74,1512
LGA15700,0,0,19,0,3,3,7,15,17,17,7,3,3,0,7,89,4,0,0,0,3,14,7,0,0,0,0,0,32,3,0,11,3,11,20,6,7,3,0,0,6,64,6,9,14,10,27,63,27,20,5,3,0,11,198,64,54,62,101,150,324,285,233,85,45,22,80,1498
LGA15750,0,0,7,4,0,4,3,7,18,9,0,0,0,0,4,53,6,0,0,0,3,0,3,4,0,0,0,4,27,6,0,3,0,0,10,9,0,0,0,0,4,31,13,3,6,12,8,30,21,8,0,0,0,7,119,68,32,30,58,94,236,219,195,62,39,31,79,1154
