CED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED125,39,72,234,318,647,1333,1372,817,330,5165,13,17,88,123,146,267,214,191,64,1119,554,734,1537,1377,1227,1321,1244,640,309,8946,5325,11583,24807,22238,19907,18425,11826,4657,1442,120197
CED126,12,23,67,109,171,351,568,633,486,2416,11,3,49,88,76,51,61,86,47,477,302,393,784,998,1045,1007,1155,1078,1089,7848,3205,7490,14806,20741,21963,17789,14741,8711,4596,114039
CED127,31,35,99,124,326,680,862,732,457,3360,3,7,22,31,43,56,58,53,37,317,421,419,821,909,1248,1211,1287,877,478,7677,4276,8008,15005,17778,20519,19575,14836,6745,2644,109378
CED128,60,190,708,1000,1308,1913,2280,1738,750,9954,25,143,493,594,824,944,787,766,347,4926,468,661,1529,1314,1301,1254,1089,831,482,8932,5055,12008,24884,22384,21072,18430,12340,6441,2518,125135
CED129,16,9,61,72,176,373,685,645,406,2441,5,5,49,68,88,114,101,126,91,641,214,227,598,698,704,629,666,522,374,4629,3989,8929,16883,24170,21513,17030,12960,5817,2206,113500
CED130,56,90,236,296,602,1394,1996,1718,940,7333,6,20,41,36,57,77,98,78,20,428,791,833,1581,1615,1896,2186,2215,1734,900,13737,4706,8895,16936,17141,19687,20890,17294,9739,3783,119068
CED131,52,74,206,188,380,784,975,1056,729,4448,8,27,60,74,89,84,67,105,58,563,309,618,1181,914,1172,1250,1170,1197,1233,9038,4213,13531,23440,19908,19552,18007,12532,7192,3959,122327
CED132,19,21,65,74,115,191,412,464,353,1703,3,19,64,64,58,87,86,128,65,578,281,578,2173,1630,1217,1097,965,672,674,9284,2609,8837,29230,27073,21131,16809,12856,6665,3751,128962
CED133,69,78,228,321,620,1285,1934,1856,1282,7677,11,11,46,31,64,78,74,82,43,449,738,683,1313,1549,1926,2374,2132,1706,849,13266,4326,7264,14363,17430,21730,25374,19888,10596,4498,125469
CED134,78,121,271,377,776,1836,2273,1748,836,8311,0,3,20,32,69,116,154,84,39,526,799,948,2024,1885,2353,2461,2321,1870,883,15547,4259,8566,18705,17327,20205,20420,15693,9115,3534,117815
CED135,31,90,391,459,717,1097,1252,1063,587,5694,8,116,389,327,464,537,525,476,208,3046,526,917,3097,2069,1464,1334,1085,894,580,11956,4235,12701,40951,29281,20625,17154,10902,6336,2739,144928
CED136,63,89,216,286,501,1239,1535,1232,697,5854,7,16,25,40,61,74,59,51,27,357,505,564,1229,1167,1351,1518,1842,1498,823,10494,4400,9046,18914,18955,19864,19496,17007,8627,3182,119498
CED137,23,66,153,166,336,757,1374,1690,967,5531,12,90,307,153,191,308,334,458,273,2132,475,1420,3787,2302,1587,1305,1021,770,534,13196,4151,15876,40107,26428,21769,18036,11856,7142,3638,149004
CED138,32,38,136,183,338,869,1389,1399,1041,5424,7,12,25,34,38,48,50,57,38,309,573,556,1279,1576,1977,2395,2219,1941,1495,14010,3342,6288,14266,18020,20917,23691,19354,11103,5555,122530
CED139,54,79,228,317,574,1313,1882,1656,1165,7271,3,23,53,63,68,85,85,58,26,467,762,816,1550,1605,1870,2006,2087,1715,794,13199,4793,9499,17589,17560,19679,20146,16535,9774,4231,119796
CED140,34,35,93,145,334,749,1051,888,743,4066,3,8,25,32,57,48,61,61,31,331,392,454,870,1001,1217,1309,1462,1444,1138,9290,3606,7479,15004,17445,19547,19173,16536,9613,4744,113165
CED141,52,58,134,176,396,956,1335,1296,796,5202,3,11,21,28,47,46,55,64,30,305,294,360,716,800,1001,1081,1402,1454,836,7939,3960,7994,15525,16988,19413,19048,16661,9801,3833,113224
CED142,38,160,317,189,253,516,629,564,287,2965,16,100,284,134,122,167,177,249,102,1355,1003,3767,8635,4036,2761,2175,1526,841,344,25080,6550,28154,66300,32309,20447,15120,9603,4422,1449,184356
CED143,10,8,45,62,84,217,325,391,307,1450,6,4,27,37,37,39,69,55,46,329,348,477,1611,1525,1266,1058,958,752,710,8704,2674,6969,21340,24233,21440,15571,12097,6533,3531,114391
CED144,34,127,442,630,1092,1764,2355,2098,954,9495,10,98,352,298,570,838,883,888,455,4396,572,798,2011,1567,1469,1284,1095,923,556,10280,5082,12953,29395,23901,21865,17579,11606,7478,3425,133287
CED145,10,13,66,49,51,127,248,382,373,1320,9,8,34,38,26,31,45,70,33,294,380,870,3633,2356,1770,1399,1414,1211,1055,14087,2081,7956,30838,24190,18455,14015,11749,6593,3915,119796
CED146,36,82,366,717,1185,1928,1993,1241,472,8024,23,48,251,383,749,984,707,534,235,3910,750,785,1534,1565,1576,1406,1105,834,481,10032,6099,12289,23419,24114,23138,18054,10324,5144,1801,124365
CED147,44,44,154,233,484,1282,1796,1544,782,6366,5,10,20,47,63,97,173,207,105,738,424,439,904,1050,1307,1339,1611,1482,896,9461,4418,8457,16625,18306,20128,19266,16749,9840,3636,117433
CED194,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
CED197,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
