CED_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED111,1049,3682,319,5051,1153,5135,395,6675,1440,8148,685,10276,1932,7296,559,9780,2108,7335,578,10023,1676,6692,553,8927,1441,4732,524,6701,554,3005,442,3994,110,1215,209,1536,11451,47238,4265,62957,1223,3298,323,4839,1456,4182,379,6008,1796,7602,592,9990,2675,6896,458,10030,2507,7151,509,10167,1918,7030,528,9477,1616,4972,602,7185,681,3633,581,4902,147,2111,413,2674,14026,46877,4373,65269,2270,6978,642,9886,2605,9310,770,12683,3235,15750,1272,20262,4608,14189,1012,19810,4619,14486,1089,20198,3600,13723,1079,18403,3053,9706,1129,13888,1238,6642,1018,8895,256,3327,623,4206,25476,94115,8634,128230
CED112,699,3865,395,4959,522,3632,294,4440,928,6865,555,8345,1502,6931,529,8964,1621,7520,630,9775,1372,6989,640,8998,1257,5559,668,7483,571,3070,623,4263,101,1264,392,1766,8569,45702,4728,58990,759,3636,389,4785,700,3508,276,4486,1352,7014,467,8835,2299,6921,526,9752,2073,7694,618,10390,1757,7646,679,10084,1600,6022,798,8421,703,3765,870,5336,132,2139,771,3050,11384,48342,5396,65122,1456,7502,787,9744,1221,7137,571,8927,2276,13880,1024,17179,3804,13859,1054,18712,3701,15213,1252,20162,3130,14631,1317,19082,2848,11583,1466,15900,1270,6832,1493,9592,238,3406,1164,4809,19951,94043,10122,124112
CED113,832,3037,549,4414,549,2701,361,3608,1136,5864,818,7817,2016,5940,833,8791,2751,7098,998,10845,2673,7282,991,10948,2242,5328,868,8429,813,2517,590,3921,125,811,251,1192,13136,40572,6263,59970,984,2713,482,4174,567,2613,306,3488,1534,5740,648,7924,2808,5631,657,9094,3319,6943,866,11129,3071,7077,875,11017,2545,4705,786,8031,959,2415,667,4040,165,1403,463,2029,15953,39231,5752,60931,1809,5751,1029,8591,1120,5309,673,7100,2670,11607,1460,15739,4828,11571,1490,17886,6071,14040,1868,21977,5744,14359,1861,21968,4785,10029,1657,16469,1769,4928,1258,7961,289,2211,712,3218,29085,79804,12007,120903
CED114,1112,3448,640,5194,730,3391,480,4599,1503,6639,873,9013,2244,5946,825,9018,2762,6719,985,10470,2558,7544,1109,11207,2083,5851,1100,9033,943,3189,849,4981,161,1165,366,1699,14092,43902,7229,65218,1337,3043,572,4955,830,3167,418,4418,1978,6534,811,9322,3125,5529,803,9455,3199,6664,867,10722,2956,7151,1065,11166,2638,5308,1048,8992,1274,3326,1016,5613,253,1873,595,2725,17576,42597,7199,67367,2451,6490,1207,10144,1561,6562,896,9016,3477,13180,1677,18339,5368,11474,1629,18478,5955,13382,1857,21197,5511,14697,2169,22380,4721,11153,2151,18021,2210,6510,1869,10596,411,3041,963,4422,31669,86495,14424,132590
CED115,665,4595,463,5715,657,5243,513,6411,889,9714,1002,11602,793,8468,861,10120,831,9205,823,10860,740,8289,729,9753,490,5170,500,6159,150,2623,283,3050,28,972,116,1116,5227,54273,5292,64791,940,4105,434,5476,886,4888,453,6219,1153,10006,1006,12162,1166,8947,851,10965,1094,9269,779,11143,1007,8774,692,10476,536,5186,482,6198,187,3126,343,3653,39,1628,163,1831,7006,55918,5191,68118,1601,8694,895,11193,1541,10132,964,12628,2038,19717,2004,23763,1963,17415,1712,21087,1923,18476,1602,22004,1742,17059,1428,20231,1024,10349,978,12353,336,5745,623,6702,64,2599,280,2947,12232,110193,10480,132904
CED116,592,3012,511,4120,461,2740,405,3606,892,4990,801,6683,1418,5229,787,7436,1803,6457,838,9098,2495,8112,914,11519,2734,7531,1067,11335,1147,3979,817,5945,162,1390,418,1966,11713,43441,6549,61704,729,2777,426,3932,490,2372,256,3125,1189,4941,485,6614,2128,5123,519,7765,2313,6743,682,9742,3082,8476,865,12422,3324,7151,1074,11547,1329,4067,1031,6426,261,1964,698,2925,14850,43617,6034,64503,1327,5787,939,8053,956,5109,657,6727,2073,9935,1281,13293,3547,10354,1307,15207,4119,13200,1512,18836,5582,16580,1778,23941,6057,14684,2142,22881,2475,8048,1851,12371,424,3359,1110,4897,26560,87062,12580,126202
CED117,678,1845,229,2746,852,3555,425,4829,2131,10977,1432,14541,2226,9641,1101,12971,2086,7377,888,10352,1247,5343,634,7222,815,3558,430,4801,228,1951,274,2449,33,775,97,910,10294,45024,5506,60824,664,1698,218,2575,1226,3600,473,5305,2934,11262,1437,15636,3299,9336,1043,13679,2894,6927,745,10564,1700,5614,599,7911,1040,3847,406,5296,294,2351,281,2925,39,1287,159,1487,14088,45923,5360,65376,1344,3539,444,5324,2078,7158,896,10131,5067,22244,2876,30183,5518,18980,2142,26646,4984,14304,1626,20915,2945,10958,1230,15134,1857,7405,834,10097,521,4299,557,5375,80,2058,260,2391,24389,90949,10870,126207
CED118,934,4333,376,5639,732,4282,421,5433,1648,10427,1112,13187,2499,11357,1008,14855,1840,8061,716,10615,1107,6434,497,8034,660,4034,323,5022,209,1790,181,2175,33,523,98,655,9659,51235,4721,65621,1107,3778,294,5186,986,3634,244,4862,2027,11065,687,13769,3020,10480,639,14139,2072,8020,472,10570,1265,6645,444,8356,795,4209,367,5372,240,2074,254,2567,29,898,134,1058,11532,50807,3541,65879,2041,8110,674,10825,1718,7914,663,10298,3675,21488,1793,26955,5513,21833,1647,28992,3909,16083,1189,21184,2371,13081,941,16390,1456,8246,695,10398,442,3861,441,4744,59,1418,231,1711,21192,102044,8269,131500
CED119,917,3718,217,4850,709,3672,196,4574,1179,6947,391,8514,1957,7701,400,10055,2225,7219,428,9871,1562,6498,298,8357,1132,4524,257,5909,447,2001,185,2640,85,843,94,1022,10207,43123,2474,55802,1085,3187,203,4472,868,3211,145,4215,1480,7041,327,8847,2804,7585,383,10770,2603,7367,333,10300,1696,6788,325,8815,1320,4677,293,6288,501,2306,251,3057,108,1553,144,1805,12463,43704,2406,58572,2001,6898,420,9318,1570,6875,344,8788,2658,13988,717,17359,4761,15280,782,20829,4834,14590,757,20171,3257,13290,627,17172,2448,9198,557,12202,945,4311,441,5699,195,2393,236,2827,22668,86824,4875,114365
CED120,806,3827,456,5086,537,3569,336,4443,1037,7047,725,8813,1788,7163,741,9697,1988,7451,714,10160,1672,6760,639,9074,1461,4951,656,7069,570,2180,445,3195,82,660,227,971,9943,43608,4946,58499,971,3440,428,4841,668,3287,243,4190,1499,7215,519,9234,2552,6997,516,10065,2449,7554,595,10604,2032,6773,602,9410,1777,4684,596,7059,648,2337,557,3540,120,1130,488,1735,12714,43418,4539,60678,1779,7267,883,9927,1206,6855,574,8640,2537,14264,1235,18040,4338,14162,1260,19762,4444,15007,1311,20761,3703,13536,1243,18488,3235,9635,1252,14126,1218,4517,1000,6738,201,1783,720,2705,22658,87026,9494,119176
CED121,687,3945,451,5080,538,3805,433,4781,1093,7398,1005,9496,1551,7027,886,9460,1687,7634,806,10133,1515,7648,718,9883,1594,5612,745,7954,661,2770,488,3921,117,1036,240,1392,9449,46878,5774,62093,808,3563,374,4738,681,3481,253,4410,1518,7446,556,9512,2432,6726,529,9685,2152,7472,620,10238,1961,7510,647,10119,1880,5555,776,8216,814,3213,598,4630,152,1863,475,2487,12392,46821,4824,64043,1496,7500,820,9821,1220,7289,686,9194,2610,14840,1562,19012,3977,13750,1420,19146,3836,15104,1427,20372,3484,15156,1364,20001,3468,11173,1523,16168,1473,5983,1086,8549,276,2896,712,3882,21841,93701,10595,126136
CED122,1132,3695,450,5270,1665,6698,968,9336,2044,12971,1940,16957,1955,9681,1393,13026,1880,7606,1080,10567,1110,6085,799,7988,704,4368,683,5748,337,2646,442,3427,64,1004,189,1250,10881,54757,7939,73581,1206,3466,366,5045,1991,6249,682,8927,2530,12766,1392,16691,2709,9522,976,13200,2320,7738,709,10768,1323,6463,645,8432,950,4960,613,6525,399,3252,485,4135,135,1731,404,2269,13569,56141,6273,75989,2338,7163,820,10316,3655,12950,1654,18261,4574,25741,3333,33643,4665,19198,2360,26232,4201,15345,1794,21337,2434,12551,1442,16421,1654,9331,1295,12274,735,5897,926,7566,196,2732,588,3521,24450,110906,14211,149570
CED123,815,4332,449,5595,654,4751,503,5910,1237,10314,1152,12710,1598,9159,964,11717,1386,7940,782,10103,1040,7056,615,8709,806,4838,483,6127,235,1922,287,2437,24,578,113,710,7790,50889,5346,64029,901,3953,395,5249,781,4673,442,5893,1721,10671,992,13383,2220,8891,805,11911,1673,8127,702,10501,1319,7472,594,9383,919,4903,566,6385,331,2338,397,3064,59,1138,195,1394,9923,52160,5090,67169,1713,8289,842,10850,1431,9427,949,11809,2957,20984,2145,26094,3815,18047,1766,23635,3052,16067,1483,20599,2355,14527,1211,18094,1724,9734,1054,12518,570,4253,683,5505,84,1714,303,2105,17712,103043,10439,131195
CED124,671,3019,510,4199,376,2272,244,2896,744,4114,415,5277,1357,4863,514,6728,1884,6615,740,9243,2307,7970,853,11128,2613,7882,1063,11555,1077,4087,811,5973,189,1357,412,1956,11207,42185,5563,58951,813,2711,489,4015,498,2100,213,2810,1070,4392,381,5834,2152,4807,487,7449,2386,6903,694,9979,2938,8114,789,11849,3191,7264,1021,11480,1282,4077,961,6317,213,1993,658,2860,14540,42363,5686,62589,1485,5727,1002,8215,877,4374,458,5700,1812,8505,795,11111,3506,9668,1001,14176,4273,13516,1432,19225,5246,16090,1645,22976,5801,15147,2085,23034,2353,8167,1768,12290,401,3349,1066,4814,25752,84543,11248,121542
CED125,733,4509,469,5710,615,4751,441,5807,1137,9960,826,11919,1372,8874,708,10954,1320,7738,600,9659,1080,7206,544,8839,728,4586,466,5784,226,1675,246,2146,17,406,80,508,7236,49703,4376,61321,807,4127,439,5375,862,4554,395,5807,1586,10510,818,12916,2034,8614,664,11312,1539,8127,605,10275,1326,7706,585,9613,868,4652,535,6052,260,1944,313,2509,37,719,179,933,9313,50955,4524,64792,1537,8637,907,11084,1477,9306,834,11615,2727,20466,1639,24833,3412,17483,1368,22262,2859,15867,1209,19928,2403,14916,1130,18450,1593,9237,998,11839,484,3616,556,4663,58,1123,264,1445,16554,100654,8899,126110
CED126,952,3426,266,4648,629,3112,210,3955,912,5881,413,7203,1954,7462,529,9948,2735,7359,526,10622,1840,6272,493,8608,1516,5031,433,6978,755,2865,397,4023,179,1174,239,1587,11457,42584,3511,57557,1088,2921,215,4228,708,2661,196,3559,1200,6001,412,7613,2921,7386,498,10802,3315,7526,515,11359,1983,6733,467,9187,1767,5442,579,7786,847,3319,534,4701,182,2243,589,3011,14003,44232,4009,62246,2039,6351,480,8871,1333,5770,413,7513,2111,11880,823,14813,4873,14849,1034,20754,6051,14888,1040,21976,3827,13005,965,17794,3278,10467,1011,14760,1607,6183,929,8722,356,3410,832,4599,25463,86812,7519,119796
CED127,902,3539,372,4815,633,3229,236,4094,1063,5852,446,7362,1716,6345,510,8574,2220,7033,612,9859,2061,6811,563,9436,1729,4830,537,7097,639,2126,288,3054,84,724,113,926,11046,40492,3675,55213,1080,3125,332,4536,754,2934,233,3923,1436,5805,410,7652,2665,6118,435,9216,2856,7229,586,10670,2486,7116,545,10151,2148,5011,583,7748,784,2488,417,3688,144,1363,219,1717,14344,41193,3764,59296,1982,6666,703,9351,1383,6165,470,8018,2501,11664,855,15014,4382,12466,949,17789,5071,14255,1199,20530,4555,13925,1105,19585,3878,9845,1116,14838,1423,4616,703,6747,224,2084,334,2641,25392,81685,7434,114511
CED128,580,4528,414,5522,611,5283,397,6285,1002,10452,839,12296,1139,9374,687,11207,1065,8597,656,10310,850,7648,578,9075,527,5111,430,6066,182,2486,279,2949,39,772,129,934,5989,54250,4402,64641,777,4116,374,5270,791,4669,363,5823,1332,10546,784,12664,1508,9076,666,11248,1336,8829,646,10812,1025,7865,537,9421,667,5197,442,6306,238,2948,333,3515,45,1325,227,1592,7715,54568,4361,66645,1354,8644,794,10787,1399,9950,763,12107,2334,21002,1622,24954,2651,18453,1352,22459,2400,17422,1298,21122,1868,15508,1110,18494,1195,10306,874,12374,422,5428,611,6462,85,2095,350,2522,13711,108815,8769,131291
CED129,1112,3962,203,5278,942,3591,154,4686,1184,6549,308,8044,2325,8812,355,11497,2436,7757,373,10567,1541,6340,281,8169,1194,4736,242,6176,479,2116,161,2765,61,680,81,822,11276,44559,2163,57999,1368,3533,198,5099,1147,2998,123,4266,1565,6963,328,8856,3406,8914,376,12692,2813,7823,330,10969,1701,6897,282,8889,1468,5054,277,6802,501,2344,214,3065,76,1137,164,1379,14054,45670,2291,62013,2483,7496,397,10379,2090,6589,274,8954,2752,13510,635,16898,5730,17723,736,24184,5252,15576,702,21531,3246,13245,563,17049,2660,9792,517,12973,983,4461,378,5830,135,1821,246,2203,25331,90225,4458,120008
CED130,1053,3364,691,5112,766,3235,426,4431,1422,5994,857,8273,2041,5390,847,8271,2487,6169,876,9530,2364,6889,1023,10273,2235,5396,1007,8637,945,2838,682,4469,153,909,260,1327,13469,40175,6672,60318,1214,3052,626,4893,939,3106,445,4493,1900,6055,715,8675,2788,5382,714,8881,2943,6387,836,10162,2821,6844,962,10628,2746,4965,950,8661,1282,3127,868,5279,243,1716,502,2464,16874,40641,6625,64141,2268,6417,1320,10006,1702,6341,876,8919,3325,12047,1579,16951,4829,10769,1556,17156,5429,12552,1709,19694,5184,13733,1983,20899,4977,10360,1962,17303,2224,5967,1557,9745,396,2622,768,3784,30344,80816,13296,124455
