CED_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
CED111,0,0,0,12,20,3462,21,27,0,7,12,3,0,3,207,3749,541,0,3,0,0,0,0,0,0,40,592,434,0,0,0,0,0,3,0,0,31,473,353,7,0,0,0,3,0,0,0,46,403,14,0,0,0,0,0,0,0,0,39,53,796,3,0,0,0,5,3,0,0,120,929,8,0,0,0,0,0,0,0,0,8,14,1342,10,3,0,0,3,3,0,0,169,1540,10671,1024,1065,251,261,255,244,223,137,486,14616,7375,1172,1780,411,631,853,1065,1091,721,485,15595,2273,194,242,70,110,182,310,312,265,258,4223,92,3,7,4,3,0,3,3,3,83,206,9741,1373,2024,487,743,1042,1382,1411,993,829,20026,36,0,6,0,0,0,0,0,0,46,91,20459,2389,3095,741,1001,1296,1628,1626,1133,1366,34737
CED112,0,0,0,26,32,2092,45,31,4,0,3,3,4,3,111,2295,543,15,3,0,0,0,3,0,0,45,611,123,0,0,0,0,0,0,0,0,9,130,37,0,0,0,0,0,0,0,0,6,44,0,0,0,0,0,0,0,0,0,5,5,155,0,0,0,0,0,0,0,0,23,179,3,0,0,0,0,0,0,0,0,36,34,699,15,3,0,0,0,3,0,0,98,820,10812,1080,1015,169,170,129,150,112,54,510,14199,2768,520,827,182,216,166,140,128,54,152,5153,327,64,98,15,22,29,32,34,40,46,703,30,3,4,0,0,0,3,0,0,7,54,3129,588,933,197,235,199,176,156,95,205,5912,28,0,0,3,0,0,0,0,0,69,102,13962,1669,1951,366,408,325,322,274,153,789,20217
CED113,0,0,0,4,11,1841,21,16,4,0,3,0,0,0,74,1962,383,0,3,0,0,0,0,0,0,38,420,149,0,0,0,0,0,0,0,0,14,164,56,0,4,0,0,0,0,0,0,9,69,5,0,0,0,0,0,0,0,0,0,11,214,0,3,0,0,0,0,0,0,20,245,4,0,0,0,0,0,0,0,0,15,22,598,0,8,0,0,0,0,0,0,74,685,9730,785,820,162,163,149,111,142,66,486,12617,2977,562,1219,219,219,243,292,259,131,162,6294,370,36,80,15,19,16,68,65,47,60,785,44,8,11,0,0,0,3,9,3,17,90,3394,603,1307,237,240,267,361,332,188,241,7172,31,3,4,0,0,0,3,0,3,147,185,13157,1386,2134,398,403,415,473,479,255,874,19972
CED114,0,0,0,6,14,1442,24,15,4,8,4,3,0,0,96,1590,238,3,0,0,0,0,0,0,0,50,294,178,0,0,0,0,0,0,0,0,29,210,117,0,0,0,0,0,0,0,0,24,141,4,0,0,0,0,0,0,0,0,0,3,293,0,3,0,0,0,0,0,0,53,355,4,0,0,0,0,0,0,0,0,0,4,539,3,9,0,0,0,0,0,0,106,654,5500,627,611,167,167,118,116,149,87,380,7903,2134,591,1536,297,386,340,359,341,175,253,6409,516,81,216,94,99,117,150,192,107,197,1766,30,12,20,0,3,3,0,4,0,14,86,2678,685,1769,387,491,456,514,530,285,462,8264,30,0,0,0,0,3,0,0,0,14,49,8202,1314,2381,553,653,577,626,682,371,858,16215
CED115,0,0,0,3,9,4413,167,115,32,19,28,24,16,16,275,5106,145,0,0,0,0,0,0,0,0,22,176,443,6,0,0,0,0,0,0,0,20,480,1177,43,25,11,8,9,3,6,3,242,1525,12,0,0,0,0,0,0,0,0,10,27,1639,57,31,11,3,9,4,6,3,268,2028,3,0,0,0,0,0,0,0,0,7,9,1790,53,30,11,7,9,6,6,4,298,2212,5037,593,614,162,162,183,148,142,74,288,7399,28610,5554,6544,1180,1463,1722,1328,1233,500,1204,49344,16620,2640,3001,732,853,1391,1077,1078,872,1384,29643,327,71,50,9,7,11,13,11,12,78,592,45557,8267,9600,1912,2326,3127,2418,2324,1389,2665,79581,36,10,4,8,0,0,3,5,3,62,127,50630,8867,10216,2081,2491,3312,2565,2466,1465,3017,87105
CED116,0,0,0,14,28,2846,27,22,3,0,0,3,0,0,94,2997,660,8,3,0,0,0,0,0,0,80,756,124,0,0,0,0,0,0,0,0,14,143,32,4,0,0,0,0,0,3,0,15,55,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,3,0,29,195,3,0,0,0,0,0,0,0,0,3,3,826,10,4,0,0,0,0,3,0,111,951,12406,776,754,141,146,107,115,87,36,588,15160,2398,294,427,58,92,106,125,90,47,141,3782,244,28,46,14,16,18,26,35,32,38,496,17,0,8,0,0,0,0,3,0,8,33,2656,327,478,76,112,125,148,125,76,188,4316,55,0,0,0,0,0,3,0,0,165,225,15115,1100,1237,213,262,235,268,211,111,941,19696
CED117,0,0,0,6,15,3031,32,28,12,9,3,3,4,3,274,3397,151,3,4,0,0,0,0,0,0,41,203,357,3,0,0,0,0,0,0,0,55,421,576,6,0,0,0,0,3,0,0,146,740,12,0,0,0,0,0,0,0,0,6,17,944,9,0,0,0,0,3,0,0,216,1176,0,0,0,0,0,0,0,0,0,5,5,1102,11,8,0,0,0,3,0,3,257,1386,11849,2651,2634,665,632,645,586,581,358,623,21218,9715,2130,3410,655,851,1059,1177,1306,839,649,21795,3909,282,372,91,129,170,203,272,211,559,6205,85,9,29,0,0,6,7,11,6,20,180,13710,2427,3820,741,984,1237,1393,1583,1058,1227,28177,25,3,3,0,0,0,0,0,3,44,79,25576,5074,6461,1411,1613,1885,1975,2166,1419,1901,49480
CED118,0,0,0,10,20,2150,146,117,14,20,15,11,5,13,109,2611,195,4,0,0,0,0,0,0,0,29,231,270,5,11,0,0,0,0,0,0,20,304,213,11,12,0,3,4,0,0,3,31,271,8,0,0,0,0,0,0,0,0,5,10,486,18,20,0,3,0,0,0,3,56,590,0,0,0,0,0,0,0,0,0,18,19,685,21,20,0,3,0,0,0,3,101,838,9350,2055,1821,336,345,352,319,290,226,444,15528,17340,9239,11096,1312,1636,1609,1598,1403,914,826,46984,2458,670,919,185,369,306,295,311,297,415,6227,151,66,74,11,4,19,22,22,14,28,409,19951,9980,12093,1506,2012,1938,1915,1735,1227,1274,53616,30,9,11,0,0,0,4,0,0,309,370,29326,12040,13920,1845,2355,2289,2234,2030,1453,2023,69511
CED119,0,0,0,0,7,1679,37,36,6,8,3,5,8,5,83,1867,334,0,0,0,0,0,0,0,0,34,372,181,5,0,0,0,0,0,0,0,20,203,105,0,4,0,0,0,3,0,0,11,122,0,0,0,0,0,0,0,0,0,0,4,283,5,8,0,0,3,3,0,0,32,330,3,0,0,0,0,0,0,0,0,5,9,619,6,7,0,0,3,7,0,0,70,708,9375,1490,1295,212,197,226,155,134,56,373,13500,7718,2031,1913,280,311,327,260,201,142,268,13453,1022,132,228,44,66,68,62,88,46,127,1887,61,8,6,0,0,4,0,0,3,7,86,8796,2175,2153,327,382,403,322,289,191,400,15426,18,0,0,0,0,0,0,0,0,20,43,18191,3669,3448,539,579,626,469,417,244,788,28969
CED120,0,0,0,7,18,1453,22,16,3,0,0,0,6,0,103,1605,255,0,8,0,0,0,0,0,0,81,340,93,0,0,0,0,0,0,0,0,28,124,43,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,5,5,139,0,0,0,0,0,0,0,0,46,181,4,0,0,0,0,0,0,0,0,14,14,396,3,4,0,0,0,0,0,0,135,538,9671,719,729,180,120,124,107,134,50,520,12361,3062,542,687,148,157,123,163,154,75,175,5283,326,50,81,19,20,21,19,33,45,64,675,35,9,3,0,5,0,0,3,0,13,67,3418,593,773,164,185,147,178,188,124,255,6027,32,0,3,0,0,0,0,0,0,151,185,13119,1320,1508,339,305,270,284,324,175,931,18573
CED121,0,0,0,18,23,1211,18,11,0,0,0,3,4,0,99,1351,335,4,3,0,0,0,0,0,0,79,418,76,0,0,0,0,0,0,0,0,19,93,20,4,0,0,0,0,0,0,0,12,33,0,0,0,0,0,0,0,0,0,3,5,102,4,0,0,0,0,0,0,0,29,134,13,0,0,0,0,0,0,0,0,10,22,439,6,3,0,0,0,0,0,0,120,573,7294,719,781,176,154,123,97,66,43,429,9889,1446,382,767,142,187,126,122,105,41,118,3429,118,30,50,15,12,30,33,39,46,36,411,20,3,3,0,0,0,0,0,0,10,44,1581,416,819,154,194,158,153,141,85,164,3880,22,0,0,0,0,0,0,0,0,244,270,8903,1135,1602,334,348,277,254,211,130,840,14039
CED122,0,0,0,22,24,3771,93,66,14,11,21,6,4,0,150,4142,347,9,3,3,3,0,0,0,0,24,389,529,4,4,0,0,0,0,0,0,48,583,490,17,4,0,0,0,0,0,0,34,545,10,0,0,0,0,0,0,0,0,11,13,1022,21,9,0,0,3,0,0,0,84,1144,3,0,0,0,0,0,0,0,0,7,15,1377,29,18,3,0,3,0,0,0,120,1545,11885,2896,3570,1005,1112,1065,970,941,624,634,24690,15629,4138,5622,1383,1858,2330,3072,3920,2792,1306,42048,3521,422,496,130,191,279,424,742,650,565,7411,142,25,20,0,8,10,17,19,12,36,299,19295,4582,6139,1510,2057,2614,3518,4681,3457,1906,49761,29,3,4,3,3,0,3,0,4,448,503,31210,7482,9715,2520,3172,3686,4482,5620,4081,2983,74958
CED123,0,0,0,7,16,2178,50,29,3,10,3,3,6,3,102,2386,341,0,0,0,0,0,0,0,0,48,389,195,4,5,0,0,0,0,0,0,16,222,117,0,4,0,0,0,0,0,0,11,133,3,0,0,0,0,0,0,0,0,3,3,310,4,11,0,0,0,0,0,0,33,359,0,0,0,0,0,0,0,0,0,0,5,654,3,9,0,0,0,0,3,0,80,754,11960,1220,1037,209,266,200,179,167,92,507,15834,7731,2290,3297,520,590,633,516,406,234,406,16636,981,211,271,48,73,82,117,101,86,161,2134,86,21,31,5,6,7,0,8,3,12,173,8795,2525,3599,577,670,726,636,515,329,582,18947,28,10,6,0,0,0,0,0,0,331,374,20780,3750,4639,786,939,927,818,679,421,1426,35156
CED124,0,0,0,12,21,1698,23,19,4,3,0,4,0,0,75,1821,425,6,0,0,0,0,0,0,0,49,487,63,0,0,0,0,0,0,0,0,13,77,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,13,84,3,0,0,0,0,0,0,0,0,15,27,499,6,3,0,0,0,0,0,0,84,589,8460,578,432,101,69,65,63,62,21,442,10287,1104,213,352,56,79,70,58,43,37,79,2082,57,21,28,9,10,0,9,8,17,19,175,20,0,3,0,0,0,0,0,3,3,35,1184,236,379,64,88,71,61,54,50,101,2288,43,0,3,0,0,0,0,0,0,45,96,9685,811,816,168,159,135,130,115,74,593,12675
