CED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED123,43198,131074,2654,5244,4761,11581,7418,16825,1587,2804,1473,2694,683,1282,40,85,3782,6865,6,24,110,165,31,59,54,125,200,375,226,586,54820,155731,3633,..,58454,155731
CED124,47346,117666,3871,6276,622,1197,4489,7474,2038,3156,399,626,412,708,14,29,2867,4527,606,927,520,868,63,111,181,371,1365,2285,360,766,56417,132711,10628,..,67045,132711
CED125,42155,134033,3071,6873,3303,8409,6373,15274,990,1827,342,670,810,1621,20,40,2166,4155,0,4,9,17,9,33,67,201,95,253,119,268,50901,153991,2786,..,53689,153991
CED126,32655,101666,1214,2153,3308,7620,4522,9772,3029,5781,6015,12123,4018,8113,53,98,13114,26120,5,15,147,250,9,26,143,319,304,602,239,521,50828,138686,5188,..,56019,138686
CED127,44766,121983,2459,4470,1131,2171,3596,6641,828,1286,211,320,7,18,19,27,1069,1653,67,93,43,67,27,70,66,135,209,362,279,575,49918,131210,5708,..,55631,131210
CED128,36175,120483,1833,4378,4277,14314,6106,18690,1730,3778,2793,6901,2619,6768,53,137,7202,17585,76,96,3,7,34,104,207,646,311,855,216,595,50016,158206,2899,..,52918,158206
CED129,38110,125174,1021,2061,5062,14641,6080,16699,1218,2055,970,2231,1333,2980,18,44,3537,7322,9,12,0,3,0,0,4,29,15,45,111,268,47861,149513,2864,..,50723,149513
CED130,50339,125242,2626,4291,516,846,3144,5136,1801,2737,68,126,21,29,9,12,1891,2900,194,326,153,249,51,102,385,967,780,1646,501,1219,56655,136147,8135,..,64787,136147
CED131,41795,110359,3877,7005,5089,10751,8963,17757,3511,5404,2104,3430,1830,3081,154,263,7604,12177,12,33,26,47,6,16,166,322,209,420,268,505,58846,141220,6353,..,65200,141220
CED132,20558,62913,2175,5405,4882,11757,7053,17159,5155,10427,10407,20957,18882,36912,66,128,34516,68432,3,4,3,4,0,0,134,288,146,297,200,430,62469,149229,6816,..,69284,149229
CED133,51279,129926,2842,4592,1259,2352,4098,6945,2433,3896,198,360,10,9,11,20,2654,4291,701,1104,475,746,174,357,281,693,1626,2897,381,801,60035,144855,7229,..,67263,144855
CED134,49585,124988,1752,3069,157,263,1910,3334,2863,4246,62,94,64,85,11,14,3002,4441,247,469,60,122,180,339,212,526,706,1455,500,1121,55700,135338,10356,..,66054,135338
CED135,25260,81519,2304,5161,7552,22873,9854,28035,5364,13267,9806,24967,9956,25847,53,112,25174,64190,3,9,4,11,0,4,270,858,283,884,332,809,60905,175435,4304,..,65211,175435
CED136,47257,127578,4268,7428,2195,4504,6466,11935,1067,1564,201,309,357,600,18,27,1640,2496,162,256,278,425,24,79,99,223,566,986,519,837,56447,143831,8084,..,64529,143831
CED137,22323,70993,1726,4403,3919,11566,5646,15966,5585,12193,7777,19022,19818,48153,51,129,33230,79494,0,0,6,12,0,0,482,1223,488,1232,370,865,62053,168548,4901,..,66954,168548
CED138,39695,104157,6351,11995,4041,8310,10394,20308,3114,5218,1607,2903,806,1421,33,70,5560,9604,952,1437,900,1402,66,113,123,251,2036,3213,528,1058,58217,138337,7522,..,65743,138337
CED139,50709,128356,1734,2758,232,405,1973,3163,3324,4999,106,132,33,45,12,30,3476,5204,103,160,59,114,37,70,295,742,496,1081,355,831,57001,138630,8035,..,65037,138630
CED140,40193,108262,4647,7882,3021,6004,7672,13884,3582,6166,1005,1812,937,1756,35,49,5559,9779,73,109,425,717,3,9,68,140,575,973,275,501,54272,133399,8850,..,63125,133399
CED141,46586,122667,3496,5731,1701,3459,5192,9190,1725,2703,167,235,407,696,28,53,2319,3681,87,137,218,277,21,46,85,192,410,652,107,225,54618,136418,5289,..,59905,136418
CED142,1786,4791,4049,8970,13111,32334,17155,41299,2388,4153,8421,15269,50384,102337,29,67,61223,121830,3,4,6,13,41,49,375,810,419,874,516,1022,81100,169822,10692,..,91787,169822
CED143,22563,71556,1843,4616,3333,8284,5176,12898,6256,12866,12123,23604,7897,14426,105,232,26380,51137,3,10,11,21,32,34,176,401,220,464,188,441,54524,136492,6018,..,60546,136492
CED144,25889,88299,2533,6609,6493,20904,9029,27512,10590,27294,5850,15321,1982,5324,57,136,18477,48077,3,10,3,14,0,0,331,999,339,1031,388,852,54119,165767,3645,..,57767,165767
CED145,9747,30597,3512,9132,8031,21536,11540,30670,6107,12907,13975,27135,14413,25145,96,236,34594,65423,3,3,3,3,0,3,615,1275,618,1286,319,687,56820,128653,7468,..,64286,128653
CED146,40259,143127,1923,4661,4176,12089,6104,16755,616,1051,499,754,12,19,44,97,1168,1919,27,33,0,7,15,44,31,85,81,165,299,624,47915,162589,2282,..,50197,162589
CED147,45809,126792,3465,5986,2277,4748,5745,10740,1794,2925,38,60,3,11,26,66,1857,3056,146,204,282,423,3,6,100,236,532,868,285,558,54222,142009,4828,..,59052,142009
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
