SAL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,47,0,69,0,0,3,0,6,0,8,3,0,24,20,94,8,153,0,0,8,5,20,0,28,0,0,14,5,22,0,49,6,0,0,4,8,0,12,3,0,6,8,24,0,42,0,0,12,4,5,0,24,7,0,17,6,0,0,34,0,0,6,4,5,0,21,3,0,35,14,7,3,63,0,0,0,3,5,0,10,4,3,15,12,8,0,45,6,5,15,4,6,0,33,11,0,19,3,5,0,41,0,0,0,0,3,0,5,0,0,5,0,29,0,37,0,0,4,3,11,3,29,47,11,204,111,306,22,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,0,32,0,0,0,3,0,0,3,0,0,7,12,12,0,33,0,0,10,0,8,0,18,0,0,15,9,24,0,54,0,0,0,4
SAL10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,18,0,43,3,0,8,0,0,0,12,8,5,33,21,61,0,127,0,5,17,3,3,0,35,6,0,24,9,22,0,68,4,0,8,3,15,0,22,0,0,6,9,11,0,36,9,0,12,8,8,0,38,20,5,67,16,4,4,117,3,0,8,7,10,0,38,47,6,119,21,16,6,212,4,0,6,3,4,0,25,19,9,25,5,15,0,70,32,7,19,4,8,0,69,22,0,39,5,4,0,66,0,0,9,0,9,0,18,5,0,3,4,27,0,38,0,5,17,9,16,5,55,189,41,438,145,256,24,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,8,6,0,38,0,4,0,0,0,0,3,8,0,12,12,6,3,37,4,0,5,6,6,5,35,0,5,20,20,12,0,59,0,0,5,3
SAL10004,0,0,0,0,7,0,8,0,0,0,0,12,0,13,0,0,5,0,20,0,27,0,0,0,0,3,0,3,0,0,0,0,34,0,31,0,0,0,0,6,0,3,0,0,0,6,8,0,11,0,0,0,0,4,0,4,0,0,0,0,8,0,13,0,0,4,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,3,0,0,6,0,0,0,10,0,0,0,0,0,0,8,6,4,10,10,12,0,35,3,0,8,0,3,0,12,4,0,11,5,3,0,27,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,3,0,6,0,4,15,9,50,27,123,6,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,7,6,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,4,0
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,0,0,0,4,0,4,0,0,0,3,46,0,51,0,0,0,0,30,0,33,0,0,0,0,8,0,7,0,0,3,5,47,0,52,0,0,0,0,5,5,10,0,0,3,0,5,0,11,3,0,0,4,4,0,15,0,0,0,3,12,0,18,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,4,0,6,0,0,0,0,10,0,10,0,0,0,8,16,0,24,0,0,3,0,0,0,5,0,0,0,5,17,0,23,0,0,0,0,0,0,3,0,0,0,0,18,0,21,0,0,0,0,12,0,12,8,0,21,31,244,7,310,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,3,11,0,22,0,0,4,6
SAL10007,0,0,0,0,14,0,14,0,0,0,4,97,0,102,0,0,0,0,16,0,22,0,0,0,0,13,0,15,0,0,0,0,39,0,37,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,0,6,0,0,0,3,4,0,5,0,5,7,0,0,0,8,0,0,0,0,8,0,9,0,0,0,0,0,0,3,0,0,0,0,16,0,20,0,0,0,0,4,8,10,4,5,14,16,241,9,287,0,0,0,3,15,0,19,0,0,4,4,15,0,18,0,0,3,0,10,0,11,0,0,0,0,0,0,7,0,0,3,0,3,0,3,0,0,0,0,0,0,4,0,0,3,4,10,0,18,0,0,0,0
SAL10008,0,0,3,6,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,7,23,0,0,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10009,0,0,0,0,3,0,12,5,0,15,18,193,5,231,5,0,3,11,73,0,96,0,0,9,8,22,0,39,0,0,3,11,108,0,129,0,0,4,5,37,0,50,0,0,5,15,39,3,59,0,5,4,4,9,0,24,0,0,3,9,49,3,65,0,0,0,0,3,0,3,0,4,9,6,0,0,22,0,0,0,0,6,0,11,4,0,26,6,13,3,50,0,0,0,8,25,0,35,3,0,6,18,50,0,83,0,4,20,5,10,0,38,11,0,25,15,21,0,73,0,0,0,0,0,0,5,0,0,7,3,51,0,62,0,0,0,4,30,0,39,40,18,140,148,748,25,1111,0,0,0,0,3,0,6,4,0,0,6,22,0,31,4,0,8,3,23,0,34,0,0,0,4,9,0,14,0,0,3,6,27,0,39,0,0,3,3,3,0,14,0,0,11,25,58,6,97,0,0,4,9
SAL10010,0,0,0,0,0,0,3,0,0,0,0,42,0,46,0,0,0,0,50,0,50,0,0,0,0,7,0,7,0,0,0,0,59,0,60,0,0,0,0,9,0,17,0,0,0,4,11,0,13,0,0,3,0,10,0,9,0,0,0,0,17,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,13,0,15,0,0,0,0,9,0,14,0,0,4,0,5,0,16,0,0,3,0,0,0,3,0,3,3,7,10,0,21,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,0,5,5,3,20,0,7,22,31,277,10,346,0,0,0,0,3,0,3,0,0,0,3,4,0,7,0,0,0,3,8,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,3,0,0,4,4,22,0,25,0,0,0,4
SAL10011,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,4,49,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0
SAL10012,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,11,25,3,62,0,0,5,5,3,0,17,5,0,12,14,52,0,84,9,0,16,3,8,0,35,4,0,13,10,19,0,54,5,0,8,6,3,0,23,8,3,16,8,12,0,49,3,0,14,4,5,0,28,17,4,20,8,3,0,54,0,0,3,4,3,0,6,21,3,45,5,5,3,90,3,0,14,4,10,0,24,8,0,28,11,7,0,59,10,4,9,0,5,0,34,8,0,23,10,9,0,48,0,0,0,3,4,0,10,0,0,6,0,21,0,34,4,0,6,9,14,4,34,120,19,255,116,220,19,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,10,7,0,40,0,0,0,0,0,0,0,0,0,10,3,5,0,25,3,0,4,4,0,0,19,4,3,17,15,14,4,62,0,3,10,0
SAL10015,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,9,29,0,50,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10016,0,0,0,0,0,0,0,3,0,10,0,24,0,43,3,0,15,11,32,0,63,3,0,14,6,9,0,35,0,0,32,17,142,4,198,3,0,3,0,11,3,27,0,0,21,10,26,3,67,0,3,14,8,33,0,57,0,0,17,9,25,3,57,0,0,3,3,0,0,14,8,0,15,6,6,0,38,5,0,3,0,3,0,14,20,6,66,12,13,0,117,0,0,11,5,8,0,20,28,5,57,28,47,4,170,24,8,53,5,13,0,97,25,3,53,16,32,5,130,0,0,0,3,5,0,13,4,0,4,5,21,0,38,0,0,8,8,23,8,42,127,36,406,147,479,32,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,7,8,6,0,30,0,0,0,3,5,0,10,0,0,11,3,6,0,28,0,0,0,0,0,0,15,0,0,21,16,28,0,65,0,0,12,10
SAL10017,0,0,0,0,0,0,4,6,3,9,6,22,0,47,9,0,21,6,30,0,68,3,0,9,6,5,0,29,4,7,25,17,131,3,188,0,0,5,0,14,0,22,5,3,8,9,25,0,44,3,0,0,17,21,6,48,0,0,14,9,25,0,58,0,0,9,0,5,0,10,4,0,26,12,8,5,46,0,0,9,3,4,0,20,15,7,58,22,17,5,126,0,0,8,6,11,3,23,25,3,32,28,22,0,111,31,4,42,3,4,0,87,19,8,45,18,23,4,112,0,0,8,0,4,0,12,0,0,10,4,17,0,31,0,0,6,3,4,9,20,133,45,333,181,386,27,1109,0,0,0,0,0,0,4,0,0,5,0,5,0,5,3,0,12,4,4,0,22,0,0,0,0,4,0,9,4,0,8,3,5,3,25,0,0,8,0,6,0,12,3,5,13,14,21,0,54,0,0,8,4
SAL10018,0,0,4,3,11,4,23,0,0,0,0,0,0,0,0,0,4,5,29,0,40,0,0,0,0,0,0,0,0,0,0,3,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,0,11,0,0,0,0,3,0,3,3,0,12,16,93,7,134,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0
SAL10019,0,0,4,5,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,11,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10020,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10021,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,0,3,0,9,0,0,0,3,45,0,52,0,0,0,0,4,0,13,0,0,0,9,9,0,13,0,0,0,0,0,0,0,0,0,0,5,10,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,4,0,0,6,8,0,10,3,0,0,0,7,0,9,0,0,4,0,3,0,11,0,0,0,0,3,0,6,0,0,0,0,11,0,11,0,0,3,0,4,0,8,7,0,19,22,118,6,179,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,9,0,8,0,0,0,3,3,0,7,0,0,0,0,8,0,12,0,0,0,0
SAL10022,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,5,0,3,8,3,0,3,0,6,0,21,0,0,0,0,0,0,5,5,0,5,0,5,3,19,0,0,0,6,3,0,6,7,0,6,0,9,0,17,0,0,0,0,0,0,8,0,0,5,0,0,0,10,0,0,0,0,0,0,0,9,0,4,0,0,4,13,0,0,5,0,0,0,4,5,0,5,0,4,3,17,7,0,0,0,0,0,6,0,0,4,3,12,0,22,0,0,0,0,4,0,4,0,0,0,0,7,0,9,0,0,0,5,11,0,19,34,0,37,24,75,22,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,0,23,0,0,0,0
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
SAL10024,0,0,4,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10025,0,0,0,0,6,0,10,0,0,0,12,117,5,137,0,0,30,39,200,11,280,0,0,0,3,27,0,39,5,0,22,27,446,11,505,0,0,4,10,49,0,66,0,0,19,19,88,5,130,0,0,7,9,39,0,55,0,0,3,19,150,8,185,4,0,0,0,4,0,15,0,0,17,17,12,0,36,0,0,5,0,18,0,26,3,4,46,18,42,4,114,0,0,7,3,38,0,48,9,8,38,54,81,0,189,27,14,45,15,15,0,119,11,0,36,31,66,0,153,0,0,4,3,12,0,24,7,0,9,6,111,3,138,3,0,6,8,53,6,74,73,32,294,314,1573,51,2339,0,0,0,0,0,0,0,0,0,4,0,6,0,10,0,0,8,14,18,4,41,0,0,6,0,7,0,9,0,0,10,5,29,4,41,0,0,4,7,12,0,19,10,0,25,38,119,13,200,0,0,18,24
SAL10026,0,0,0,0,0,0,3,0,0,0,4,19,0,26,0,3,0,12,83,0,102,0,0,0,4,14,0,17,0,0,3,9,180,3,202,0,0,3,0,18,8,36,0,0,5,7,38,0,61,0,0,4,6,23,0,36,0,0,5,4,65,0,77,0,0,0,0,0,0,6,0,0,4,0,3,0,13,0,0,0,0,4,0,7,0,6,15,6,16,0,39,0,0,0,5,23,0,26,0,0,8,29,46,0,80,3,4,11,6,11,0,47,4,0,13,14,32,3,75,0,0,0,6,0,0,7,0,0,3,0,48,0,60,0,0,0,7,28,7,39,26,8,93,125,665,33,950,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,12,0,12,0,0,0,0,0,0,7,0,0,0,4,12,0,21,0,0,0,0,3,0,5,6,0,10,18,46,8,87,0,0,7,8
SAL10027,0,0,7,6,8,0,18,0,0,0,0,0,0,0,10,0,23,13,41,0,90,0,0,7,0,4,0,10,0,0,20,7,93,0,127,0,0,0,4,17,0,23,3,0,19,12,25,0,55,3,0,9,8,39,0,60,4,0,12,8,16,0,37,0,0,0,4,4,0,18,3,6,3,3,0,3,19,0,0,0,6,8,0,7,14,7,48,11,9,0,84,0,0,3,0,10,0,16,15,4,23,16,14,0,73,21,8,32,0,5,0,74,22,10,43,10,24,0,110,3,0,4,0,0,0,4,0,0,4,0,17,4,25,5,0,3,6,12,3,29,110,42,270,115,344,24,894,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,20,7,0,0,37,0,0,0,0,0,0,3,5,5,11,6,7,0,37,0,0,0,3,3,0,6,9,0,10,16,14,4,54,3,0,16,14
