SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10086,2008,1551,947,338,13027
SAL10087,617,353,207,114,6702
SAL10088,0,0,0,0,6
SAL10089,47,77,61,16,290
SAL10090,69,86,9,8,340
SAL10091,691,502,218,84,5956
SAL10092,3,7,0,0,19
SAL10093,11,0,0,0,18
SAL10094,361,186,70,11,1757
SAL10095,52,61,26,0,189
SAL10096,59,33,7,6,174
SAL10097,0,0,0,0,6
SAL10098,154,97,50,11,1139
SAL10099,1677,1072,610,412,14720
SAL10100,53,51,25,7,266
SAL10101,28,11,8,0,153
SAL10102,201,176,71,49,1455
SAL10103,400,246,101,18,2252
SAL10104,436,302,134,42,3675
SAL10105,0,8,0,0,24
SAL10106,37,31,11,3,239
SAL10107,1483,830,388,195,17188
SAL10108,14,8,3,0,63
SAL10109,364,272,97,23,1687
SAL10110,216,127,93,102,3213
SAL10111,12,8,4,0,66
SAL10112,1295,959,434,189,5981
SAL10113,6,4,0,0,22
SAL10114,36,27,13,0,128
SAL10115,532,387,162,36,2619
SAL10116,0,0,0,0,0
SAL10117,165,111,42,0,831
SAL10118,21,6,0,0,95
SAL10119,45,15,7,0,189
SAL10120,31,13,5,0,105
SAL10121,18,10,3,0,70
SAL10122,5,0,0,0,6
SAL10123,0,0,0,0,0
SAL10124,6,0,0,0,24
SAL10125,3,0,0,0,11
SAL10126,3,3,5,0,11
SAL10127,5,0,0,0,11
SAL10128,0,5,0,0,4
SAL10129,0,0,9,0,18
SAL10130,23,11,5,0,61
SAL10131,12,15,0,0,80
SAL10132,4,5,0,0,10
SAL10133,3,4,0,0,54
SAL10134,0,0,4,0,10
SAL10135,18,9,0,0,49
SAL10136,4,0,0,0,19
SAL10137,3,5,4,0,20
SAL10138,5,5,0,0,22
SAL10139,12,6,0,0,42
SAL10140,4,3,0,0,19
SAL10141,0,3,5,0,14
SAL10142,9,0,0,0,7
SAL10143,11,9,4,0,37
SAL10144,44,38,15,3,302
SAL10145,21,10,7,4,76
SAL10146,89,90,52,10,516
SAL10147,9,0,0,0,24
SAL10148,38,31,5,3,176
SAL10149,0,3,0,0,11
SAL10150,0,0,0,0,8
SAL10151,7,4,0,0,33
SAL10152,3,3,0,0,24
SAL10153,6,0,0,0,24
SAL10154,767,468,336,89,4856
SAL10155,433,239,93,44,1986
SAL10156,535,411,199,52,3065
SAL10157,0,0,0,0,9
SAL10158,17,8,0,0,69
SAL10159,5,0,4,0,14
SAL10160,11,19,8,0,92
SAL10161,15,9,0,0,57
SAL10162,27,20,7,0,147
SAL10163,808,924,634,405,4958
SAL10164,0,0,0,0,0
SAL10165,1101,809,372,69,6849
SAL10166,238,190,93,24,1305
SAL10167,85,58,14,6,384
SAL10168,64,28,8,4,256
SAL10169,98,61,22,15,487
SAL10170,8,0,4,0,20
SAL10171,0,0,0,0,0
SAL10172,16,14,6,0,70
SAL10173,0,0,0,0,7
SAL10174,106,74,27,9,449
SAL10175,257,186,63,47,1571
SAL10176,3,4,0,0,23
SAL10177,6,6,0,0,55
SAL10178,519,523,137,70,2975
SAL10179,207,124,80,15,1594
SAL10180,20,17,0,0,358
SAL10181,1596,966,470,251,15174
SAL10182,0,0,0,0,0
SAL10183,6,3,0,0,27
SAL10184,16,16,4,0,72
SAL10185,0,5,0,0,7
SAL10186,1280,1168,902,450,7942
SAL10187,5,0,3,0,10
SAL10188,166,87,38,8,824
SAL10189,19,17,5,4,90
SAL10190,0,0,0,0,8
SAL10191,56,62,29,8,317
SAL10192,25,9,10,0,169
SAL10193,0,0,0,0,0
SAL10194,513,246,59,23,2202
SAL10195,164,72,14,0,2755
SAL10196,208,122,58,16,1241
SAL10197,185,134,61,17,1126
SAL10198,25,20,9,0,178
SAL10199,330,244,141,43,2051
SAL10200,145,141,61,28,680
SAL10201,0,0,0,0,0
SAL10202,31,26,3,0,119
SAL10203,39,29,11,3,172
SAL10204,0,0,0,0,0
SAL10205,132,104,29,4,807
SAL10206,148,143,60,20,850
SAL10207,114,106,65,21,533
SAL10208,419,291,143,40,2595
SAL10209,71,79,24,7,398
SAL10210,17,22,3,0,82
SAL10211,18,19,10,4,67
SAL10212,3,0,0,0,10
SAL10213,0,0,0,0,0
SAL10214,30,23,13,0,135
SAL10215,6,0,0,0,8
SAL10216,6,0,0,0,16
SAL10217,40,43,24,3,209
SAL10218,0,0,0,0,0
SAL10219,19,11,0,0,79
SAL10220,0,0,0,0,3
SAL10221,12,3,0,7,68
SAL10222,5,0,0,0,13
SAL10223,164,104,67,14,785
SAL10224,534,351,177,89,3949
SAL10225,0,0,0,0,0
SAL10226,9,21,6,0,50
SAL10227,980,849,494,287,6184
SAL10228,194,190,103,21,955
SAL10229,114,141,93,31,719
SAL10230,13,0,0,0,34
SAL10231,583,459,286,115,3776
SAL10232,124,97,42,15,539
SAL10233,2867,2133,1097,284,20757
SAL10234,26,21,8,5,149
SAL10235,138,103,58,4,504
SAL10236,0,0,0,0,0
SAL10237,423,428,406,157,2273
SAL10238,789,432,242,70,4194
SAL10239,66,32,5,0,789
SAL10240,13,3,0,0,30
SAL10241,6,3,3,0,37
SAL10242,28,30,10,0,87
SAL10243,751,345,142,30,4769
SAL10244,10,14,0,0,48
SAL10245,23,14,8,0,104
SAL10246,0,0,0,0,16
SAL10247,13,3,0,0,56
SAL10248,76,62,22,5,449
SAL10249,1110,865,546,206,6245
SAL10250,0,0,0,0,0
SAL10251,20,22,3,0,148
SAL10252,0,0,0,0,12
SAL10253,405,321,196,126,2321
SAL10254,7,10,7,4,59
SAL10255,4,4,0,0,16
SAL10256,17,14,7,0,62
SAL10257,470,243,118,50,2966
SAL10258,22,9,0,0,92
SAL10259,0,0,0,0,11
SAL10260,15,6,0,0,66
SAL10261,46,43,13,0,274
SAL10262,5,4,3,0,26
SAL10263,976,594,150,27,4892
SAL10264,309,208,97,22,1958
SAL10265,13,8,4,0,59
SAL10266,17,25,9,0,113
SAL10267,26,29,10,0,86
SAL10268,156,109,25,9,971
SAL10269,57,39,17,3,355
SAL10270,43,28,11,0,133
SAL10271,1065,867,378,109,6744
SAL10272,8,4,3,0,41
SAL10273,409,350,170,53,2128
SAL10274,23,11,0,0,73
SAL10275,3,0,0,0,24
SAL10276,727,593,340,161,3765
SAL10277,505,298,209,86,3096
SAL10278,95,68,24,6,488
SAL10279,834,446,228,133,6586
SAL10280,35,26,12,0,142
SAL10281,5,0,0,0,10
SAL10282,0,0,0,0,5
SAL10283,753,576,549,233,4718
SAL10284,76,59,16,0,284
SAL10285,14,6,4,0,42
SAL10286,15,13,0,0,55
SAL10287,15,23,9,0,78
SAL10288,20,19,8,0,83
SAL10289,58,45,16,7,220
SAL10290,23,12,11,0,79
SAL10291,20,12,5,0,98
SAL10292,15,13,0,0,61
SAL10293,3,11,6,0,74
SAL10294,0,0,0,0,5
SAL10295,0,0,0,0,0
SAL10296,4,3,7,0,35
SAL10297,281,156,55,12,1302
SAL10298,29,24,11,4,107
SAL10299,519,306,111,51,3745
SAL10300,20,12,0,3,67
SAL10301,195,133,98,19,1360
SAL10302,30,20,9,0,101
SAL10303,519,338,145,66,3249
SAL10304,689,472,235,116,4325
SAL10305,124,73,25,5,1538
SAL10306,0,0,0,0,0
SAL10307,243,280,119,35,1080
SAL10308,535,282,150,32,2707
SAL10309,475,380,160,46,2941
SAL10310,35,21,18,0,117
SAL10311,44,38,21,5,260
SAL10312,64,54,22,7,225
SAL10313,12,9,4,0,34
SAL10314,0,3,3,0,22
SAL10315,143,96,37,13,707
SAL10316,6,0,0,0,21
SAL10317,111,113,59,47,604
SAL10318,34,17,10,0,117
SAL10319,118,97,56,8,509
SAL10320,0,0,5,0,15
SAL10321,317,384,276,137,1855
SAL10322,3,9,0,0,35
SAL10323,9,7,8,0,28
SAL10324,18,21,18,0,93
SAL10325,8,6,0,0,30
SAL10326,10,12,0,0,56
SAL10327,21,13,4,0,71
SAL10328,11,0,5,0,27
SAL10329,200,119,80,91,1351
SAL10330,799,526,205,105,5270
SAL10331,12,9,6,0,48
SAL10332,64,40,7,3,291
SAL10333,1370,872,463,369,9579
SAL10334,325,200,121,39,2141
SAL10335,7,6,0,0,41
SAL10336,11,7,5,0,29
SAL10337,6,7,8,0,48
SAL10338,7,0,0,0,13
SAL10339,171,102,43,10,1256
SAL10340,17,8,5,0,51
SAL10341,14,4,4,0,54
SAL10342,4,0,5,0,20
SAL10343,3,0,0,0,13
SAL10344,17,10,4,5,66
SAL10345,31,36,12,0,123
SAL10346,46,30,16,8,230
SAL10347,329,273,105,72,1868
SAL10348,54,32,10,0,271
SAL10349,39,37,31,5,169
SAL10350,463,356,179,39,2114
SAL10351,3,4,0,0,19
SAL10352,0,0,0,0,0
SAL10353,10,11,5,0,62
SAL10354,23,24,3,0,153
SAL10355,11,7,4,0,43
SAL10356,27,18,6,0,103
SAL10357,87,56,25,6,366
SAL10358,0,0,0,0,0
SAL10359,8,6,0,0,26
SAL10360,11,9,3,0,56
SAL10361,53,39,17,4,251
SAL10362,30,28,12,3,147
SAL10363,10,10,4,0,26
SAL10364,112,123,76,20,536
SAL10365,5,5,0,0,23
SAL10366,53,36,21,0,155
SAL10367,15,0,0,0,16
SAL10368,12,9,4,0,77
SAL10369,57,27,14,3,195
SAL10370,27,14,4,8,121
SAL10371,63,76,17,5,278
SAL10372,6,5,0,0,52
SAL10373,425,373,153,29,2169
SAL10374,3,8,0,0,16
SAL10375,0,4,0,0,21
SAL10376,119,57,29,18,1301
SAL10377,0,6,0,0,20
SAL10378,211,118,47,19,1378
SAL10379,22,25,11,0,118
SAL10380,25,19,3,0,87
SAL10381,10,3,0,0,30
SAL10382,0,0,0,0,9
SAL10383,102,165,115,25,559
SAL10384,57,55,11,0,282
SAL10385,5,0,0,0,6
SAL10386,32,24,13,4,174
SAL10387,20,24,4,0,119
SAL10388,14,20,3,4,111
SAL10389,243,236,107,35,1387
SAL10390,267,182,65,18,1554
SAL10391,135,98,62,7,1198
SAL10392,673,605,313,69,3000
SAL10393,0,9,0,0,12
SAL10394,31,27,5,0,102
SAL10395,188,172,69,24,920
SAL10396,2806,1673,820,354,25350
SAL10397,17,7,7,0,63
SAL10398,171,147,81,22,1034
SAL10399,240,135,31,8,1343
SAL10400,30,16,4,3,171
SAL10401,15,7,0,0,56
SAL10402,669,388,205,127,3514
SAL10403,3,5,6,0,46
SAL10404,3,0,0,0,27
SAL10405,29,19,8,0,119
SAL10406,744,636,264,77,4222
SAL10407,20,22,3,0,68
SAL10408,67,27,9,0,286
SAL10409,245,184,76,28,1449
SAL10410,417,162,51,16,2795
SAL10411,14,10,9,0,83
SAL10412,0,0,0,0,0
SAL10413,135,110,43,13,599
SAL10414,344,200,130,26,2588
SAL10415,43,32,12,0,139
SAL10416,0,0,0,0,0
SAL10417,0,0,0,0,9
SAL10418,4,3,0,0,42
SAL10419,28,47,22,3,140
SAL10420,193,166,58,10,963
SAL10421,452,345,146,54,2555
SAL10422,0,4,0,0,39
SAL10423,0,5,0,0,8
SAL10424,143,104,31,14,590
SAL10425,0,0,0,0,14
SAL10426,20,20,5,0,78
SAL10427,12,15,0,6,68
SAL10428,70,87,40,8,345
SAL10429,3,3,0,0,17
SAL10430,0,0,0,0,8
SAL10431,10,12,0,0,60
SAL10432,9,7,4,0,37
SAL10433,96,103,35,3,449
SAL10434,4,0,3,0,35
SAL10435,12,5,0,0,40
SAL10436,5,0,0,0,18
SAL10437,21,12,4,3,106
SAL10438,365,180,74,39,1770
SAL10439,10,7,0,4,45
SAL10440,86,46,14,0,422
SAL10441,71,49,40,24,530
SAL10442,0,0,0,0,0
SAL10443,22,13,0,0,114
SAL10444,9,11,0,0,45
SAL10445,6,7,0,4,21
SAL10446,16,15,0,0,46
SAL10447,14,11,0,0,51
SAL10448,181,113,127,46,984
SAL10449,152,112,51,7,738
SAL10450,290,152,79,8,1747
SAL10451,0,0,0,0,0
SAL10452,523,528,277,88,3261
SAL10453,7,0,0,0,19
SAL10454,100,92,44,20,577
SAL10455,16,17,9,0,84
SAL10456,59,32,12,3,294
SAL10457,9,15,0,0,101
SAL10458,24,32,7,0,144
SAL10459,9,5,0,0,32
SAL10460,6,0,4,0,30
SAL10461,48,35,18,3,180
SAL10462,577,460,289,94,7388
SAL10463,616,372,204,97,8399
SAL10464,0,0,0,0,0
SAL10465,702,543,352,142,7290
SAL10466,341,320,183,40,2034
SAL10467,236,224,100,13,1311
SAL10468,369,296,183,30,1666
SAL10469,424,270,117,87,3318
SAL10470,438,259,74,17,2695
SAL10471,20,10,8,0,69
SAL10472,289,225,109,19,1493
SAL10473,19,8,7,0,72
SAL10474,10,5,6,0,70
SAL10475,124,150,113,21,774
SAL10476,9,9,9,0,65
SAL10477,0,0,0,0,0
SAL10478,0,0,0,0,0
SAL10479,14,8,0,0,54
SAL10480,123,99,56,5,818
SAL10481,0,0,0,0,16
SAL10482,13,7,3,0,45
SAL10483,0,0,0,0,0
SAL10484,6,3,0,0,49
SAL10485,53,45,18,0,258
SAL10486,6,3,0,0,34
SAL10487,14,11,7,0,106
SAL10488,4,6,5,0,12
SAL10489,4,6,0,0,21
SAL10490,0,0,0,0,23
SAL10491,0,4,0,0,8
SAL10492,16,9,0,0,81
SAL10493,107,119,138,119,840
SAL10494,46,23,11,0,212
SAL10495,0,0,0,0,15
SAL10496,3,0,0,0,8
SAL10497,12,4,10,0,38
SAL10498,4,8,0,0,15
SAL10499,51,32,14,3,907
SAL10500,5,0,0,0,19
SAL10501,196,145,77,24,928
SAL10502,26,28,8,0,104
SAL10503,0,0,0,0,0
SAL10504,9,3,0,0,46
SAL10505,12,3,0,0,41
SAL10506,0,0,0,0,12
SAL10507,11,12,0,0,54
SAL10508,0,0,0,0,0
SAL10509,9,3,0,0,49
SAL10510,19,11,0,0,84
SAL10511,50,47,12,8,267
SAL10512,12,5,0,0,57
SAL10513,982,677,270,79,5704
SAL10514,12,16,0,3,74
SAL10515,880,481,209,74,7022
SAL10516,11,5,6,0,68
SAL10517,3,3,0,0,17
SAL10518,0,0,0,0,0
SAL10519,5,0,0,0,19
SAL10520,109,66,25,7,754
SAL10521,245,141,39,19,1538
SAL10522,19,7,3,0,69
SAL10523,4,3,3,0,23
SAL10524,108,69,16,3,723
SAL10525,10,8,9,0,64
SAL10526,153,82,25,9,843
SAL10527,117,91,49,22,766
SAL10528,7,0,0,0,9
SAL10529,24,19,9,0,90
SAL10530,4,6,3,0,29
SAL10531,0,0,0,0,8
SAL10532,13,5,0,0,61
SAL10533,53,46,14,5,289
SAL10534,1070,1316,1023,427,6390
SAL10535,138,80,28,8,528
SAL10536,0,0,0,0,0
SAL10537,217,122,28,6,3504
SAL10538,20,19,7,0,119
SAL10539,9,7,7,0,33
SAL10540,473,414,224,34,4008
SAL10541,11,7,4,0,33
SAL10542,47,51,22,6,503
SAL10543,0,5,5,0,10
SAL10544,175,161,133,31,966
SAL10545,100,70,15,0,396
SAL10546,197,113,36,7,1091
SAL10547,23,29,4,4,134
SAL10548,0,3,0,0,14
SAL10549,75,50,25,14,385
SAL10550,25,7,0,0,66
SAL10551,26,21,7,4,112
SAL10552,15,7,4,0,61
SAL10553,8,8,0,0,30
SAL10554,504,495,290,61,3090
SAL10555,0,0,0,0,4
SAL10556,45,17,7,0,201
SAL10557,13,7,4,0,40
SAL10558,9,8,0,0,51
SAL10559,0,0,0,0,12
SAL10560,53,25,6,4,327
SAL10561,11,0,4,0,62
SAL10562,0,0,3,0,4
SAL10563,11,12,5,0,57
SAL10564,26,9,0,0,110
SAL10565,50,23,13,0,194
SAL10566,665,459,221,71,4508
SAL10567,102,93,41,9,486
SAL10568,0,0,0,0,0
SAL10569,12,6,0,3,44
SAL10570,3,14,0,0,19
SAL10571,0,0,0,0,0
SAL10572,167,131,48,12,1063
SAL10573,0,4,5,0,22
SAL10574,18,13,5,0,76
SAL10575,133,76,22,9,969
SAL10576,24,15,8,0,75
SAL10577,81,72,21,0,335
SAL10578,12,13,0,0,42
SAL10579,0,0,0,0,6
SAL10580,31,20,12,0,148
SAL10581,24,12,0,0,123
SAL10582,0,0,0,0,20
SAL10583,6,3,0,0,27
SAL10584,0,0,0,0,7
SAL10585,7,15,4,0,34
SAL10586,84,92,19,9,341
SAL10587,47,41,10,0,261
SAL10588,38,55,5,0,240
SAL10589,1406,1000,457,213,7667
SAL10590,14,18,3,0,70
SAL10591,689,404,200,127,4619
SAL10592,6,4,0,0,22
SAL10593,29,14,9,0,133
SAL10594,6,4,0,0,22
SAL10595,35,30,20,0,147
SAL10596,117,40,32,7,427
SAL10597,0,6,0,0,10
SAL10598,238,142,44,32,2050
SAL10599,11,0,0,0,23
SAL10600,30,37,19,11,152
SAL10601,0,0,0,0,6
SAL10602,16,15,3,0,52
SAL10603,25,37,10,0,121
SAL10604,12,19,4,0,60
SAL10605,212,177,123,59,1104
SAL10606,21,25,15,0,200
SAL10607,14,8,0,0,69
SAL10608,6,3,0,0,14
SAL10609,46,20,19,0,231
SAL10610,20,13,0,0,97
SAL10611,0,0,0,0,8
SAL10612,4,0,0,0,18
SAL10613,0,0,0,0,0
SAL10614,4,5,0,0,28
SAL10615,16,10,0,0,57
SAL10616,0,7,0,0,15
SAL10617,29,38,9,0,145
SAL10618,209,165,68,16,1098
SAL10619,24,28,14,4,108
SAL10620,12,0,0,0,20
SAL10621,0,0,0,0,0
SAL10622,66,43,10,0,329
SAL10623,13,15,0,0,49
SAL10624,12,3,6,0,20
SAL10625,28,15,7,0,101
SAL10626,48,30,11,4,180
SAL10627,16,12,5,0,86
SAL10628,3,0,0,0,7
SAL10629,5,7,5,0,14
SAL10630,0,0,0,0,22
SAL10631,20,24,8,0,100
SAL10632,8,14,0,0,56
SAL10633,9,11,3,0,19
SAL10634,0,0,0,0,21
SAL10635,5,0,0,0,3
SAL10636,0,0,0,0,0
SAL10637,0,0,0,0,0
SAL10638,27,23,6,4,137
SAL10639,337,216,125,39,1739
SAL10640,0,0,0,0,0
SAL10641,20,13,0,3,65
SAL10642,321,216,132,31,1669
SAL10643,22,19,5,3,97
SAL10644,0,0,0,0,4
SAL10645,16,12,0,0,76
SAL10646,143,155,58,21,655
SAL10647,0,0,0,0,0
SAL10648,21,21,7,0,192
SAL10649,0,0,0,0,0
SAL10650,0,0,0,0,10
SAL10651,0,0,0,0,0
SAL10652,11,0,0,0,26
SAL10653,168,110,45,3,776
SAL10654,8,0,4,0,24
SAL10655,13,8,0,0,51
SAL10656,4,0,0,0,22
SAL10657,11,10,4,0,68
SAL10658,5,0,0,0,4
SAL10659,664,377,162,31,3650
SAL10660,14,5,4,0,26
SAL10661,8,6,6,0,47
SAL10662,9,0,0,0,14
SAL10663,20,9,5,0,64
SAL10664,0,0,0,0,3
SAL10665,23,15,6,0,75
SAL10666,16,11,0,0,66
SAL10667,362,504,269,87,1822
SAL10668,61,33,20,5,296
SAL10669,321,226,101,20,1242
SAL10670,7,4,0,0,34
SAL10671,3,0,0,0,9
SAL10672,7,13,9,0,26
SAL10673,23,13,0,0,57
SAL10674,0,0,0,0,13
SAL10675,13,15,4,0,51
SAL10676,0,4,0,0,5
SAL10677,17,13,3,0,53
SAL10678,12,16,4,3,56
SAL10679,158,52,19,0,1575
SAL10680,22,10,0,0,80
SAL10681,451,262,111,19,2563
SAL10682,61,38,12,3,248
SAL10683,23,17,0,0,91
SAL10684,43,34,7,0,146
SAL10685,18,12,3,0,49
SAL10686,4,6,5,0,33
SAL10687,22,19,11,0,82
SAL10688,25,18,7,0,109
SAL10689,3,3,3,0,37
SAL10690,3,7,0,0,33
SAL10691,8,0,0,0,37
SAL10692,3,7,0,0,26
SAL10693,81,49,23,6,586
SAL10694,112,72,27,0,463
SAL10695,5,8,0,0,29
SAL10696,0,9,8,0,30
SAL10697,17,3,0,0,68
SAL10698,326,419,319,141,1750
SAL10699,6,7,0,0,41
SAL10700,18,8,10,5,53
SAL10701,0,3,0,0,16
SAL10702,419,290,123,34,2066
SAL10703,18,16,8,0,111
SAL10704,9,6,0,0,23
SAL10705,59,64,30,0,266
SAL10706,36,24,12,0,145
SAL10707,18,15,7,0,98
SAL10708,10,9,0,0,33
SAL10709,167,169,66,28,870
SAL10710,117,67,14,9,476
SAL10711,12,3,0,0,26
SAL10712,5,6,0,0,63
SAL10713,32,43,12,0,192
SAL10714,10,17,3,0,80
SAL10715,6,0,0,0,28
SAL10716,1038,638,318,188,11078
SAL10717,90,43,42,36,676
SAL10718,207,120,72,20,1393
SAL10719,8,8,0,0,42
SAL10720,0,4,0,0,7
SAL10721,124,97,29,3,613
SAL10722,8,5,0,0,27
SAL10723,21,11,9,0,104
SAL10724,145,71,17,6,957
SAL10725,47,24,11,5,176
SAL10726,0,0,0,0,0
SAL10727,21,17,5,4,91
SAL10728,5,0,0,0,12
SAL10729,8,5,6,0,36
SAL10730,4,0,0,0,16
SAL10731,578,530,179,50,4089
SAL10732,33,18,0,0,92
SAL10733,180,123,39,5,775
SAL10734,219,231,136,23,1165
SAL10735,9,9,5,0,57
SAL10736,0,0,4,0,21
SAL10737,0,0,0,0,3
SAL10738,773,508,302,211,6624
SAL10739,281,140,66,26,2322
SAL10740,0,0,0,0,8
SAL10741,94,95,106,76,1760
SAL10742,4,3,5,0,11
SAL10743,0,0,0,0,3
SAL10744,4,7,8,0,65
SAL10745,11,8,0,0,29
SAL10746,0,0,0,0,0
SAL10747,294,229,117,21,2174
SAL10748,4,0,0,0,10
SAL10749,108,82,17,0,1485
SAL10750,3,0,0,0,22
SAL10751,11,4,6,0,74
SAL10752,5,0,0,0,8
SAL10753,10,0,3,0,23
SAL10754,0,0,0,0,509
SAL10755,5,0,0,0,10
SAL10756,262,222,98,16,1167
SAL10757,113,93,44,11,450
SAL10758,7,0,0,0,36
SAL10759,6,4,0,0,36
SAL10760,0,3,0,0,9
SAL10761,11,0,4,0,41
SAL10762,45,37,8,3,157
SAL10763,144,114,34,8,688
SAL10764,3,9,0,0,34
SAL10765,3,0,0,0,9
SAL10766,115,107,35,0,898
SAL10767,380,274,106,28,2982
SAL10768,0,0,0,0,0
SAL10769,253,208,150,116,1802
SAL10770,22,35,6,11,113
SAL10771,175,99,42,0,1096
SAL10772,315,346,129,23,2298
SAL10773,0,0,0,0,0
SAL10774,519,285,141,61,4826
SAL10775,4,0,0,0,8
SAL10776,0,5,0,0,20
SAL10777,627,484,259,55,4629
SAL10778,6,0,0,0,20
SAL10779,835,629,416,133,8017
SAL10780,625,351,123,22,6584
SAL10781,1405,710,344,162,12982
SAL10782,0,0,0,0,0
SAL10783,30,26,14,0,99
SAL10784,103,51,26,7,679
SAL10785,3,0,0,0,10
SAL10786,3,0,0,0,25
SAL10787,117,78,21,4,449
SAL10788,0,0,0,0,6
SAL10789,79,46,26,3,401
SAL10790,445,235,133,42,3789
SAL10791,453,252,146,91,3490
SAL10792,71,43,21,0,279
SAL10793,17,6,12,0,97
SAL10794,4,6,0,0,12
SAL10795,223,183,93,36,1163
SAL10796,565,243,104,29,5463
SAL10797,94,92,91,36,525
SAL10798,77,33,10,4,271
SAL10799,17,11,3,0,39
SAL10800,4,0,0,0,4
SAL10801,21,10,0,0,70
SAL10802,0,0,0,0,4
SAL10803,47,37,14,0,286
SAL10804,13,3,5,0,36
SAL10805,5,12,0,0,68
SAL10806,13,0,5,0,24
SAL10807,35,27,21,8,146
SAL10808,412,321,215,63,3168
SAL10809,130,99,67,22,765
SAL10810,237,108,58,20,1417
SAL10811,79,117,59,26,492
SAL10812,49,23,7,0,267
SAL10813,8,17,0,0,75
SAL10814,861,607,302,121,6879
SAL10815,1261,932,423,190,7103
SAL10816,0,0,0,0,13
SAL10817,2362,1578,837,268,15648
SAL10818,827,455,187,66,5775
SAL10819,127,47,24,5,1394
SAL10820,0,0,0,0,0
SAL10821,20,26,11,0,125
SAL10822,12,10,4,0,75
SAL10823,3,0,0,0,10
SAL10824,0,0,0,0,0
SAL10825,192,153,81,63,1423
SAL10826,16,10,9,0,88
SAL10827,36,17,13,0,106
SAL10828,0,3,0,0,13
SAL10829,161,108,47,10,1196
SAL10830,0,4,4,0,19
SAL10831,29,8,8,0,131
SAL10832,6,4,0,0,21
SAL10833,21,12,3,0,87
SAL10834,0,0,0,0,9
SAL10835,0,0,0,0,5
SAL10836,145,99,49,13,687
SAL10837,151,70,49,15,856
SAL10838,25,15,4,0,89
SAL10839,7,10,0,0,13
SAL10840,212,139,37,3,917
SAL10841,0,0,0,0,0
SAL10842,641,604,405,174,4387
SAL10843,14,20,7,0,123
SAL10844,324,208,147,71,1568
SAL10845,25,21,5,0,94
SAL10846,3876,2918,1557,816,23598
SAL10847,19,9,4,0,64
SAL10848,392,282,110,38,1783
SAL10849,86,85,28,5,586
SAL10850,313,214,49,8,1787
SAL10851,1127,605,263,120,7342
SAL10852,216,231,140,77,1185
SAL10853,0,0,0,0,0
SAL10854,11,0,0,0,46
