SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL10011,0,0,0,38,35,76,0,0,0,9,6,12,0,0,0,23,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,3,4,7,0,0,0,0,0,0,3,5,8,5,5,9,0,0,0,88,80,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,48,129,4,0,4,0,0,0,79,48,127,10,5,17,174,145,317
SAL10012,0,0,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,5,12,13,17,29
SAL10013,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,0,0,0,0,0,0,11,3,13,3,3,11,14,15,30
SAL10014,34,44,75,150,158,307,3,3,5,26,28,52,0,0,0,449,471,925,3,8,13,35,30,67,5,7,10,5,9,18,0,0,0,18,18,35,14,13,25,47,45,89,25,33,56,0,0,0,9,12,14,19,33,57,51,57,109,0,5,4,860,921,1784,290,273,564,84,94,184,0,0,0,0,0,0,132,139,271,18,15,26,154,146,296,360,319,684,0,4,3,0,4,3,366,331,690,39,31,72,1828,1840,3668
SAL10015,0,4,3,33,21,55,0,0,0,0,0,4,0,0,0,47,39,88,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,4,4,7,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,92,78,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,46,109,0,0,0,0,0,0,63,51,117,28,21,57,182,152,339
SAL10016,19,30,46,307,392,700,0,0,0,36,30,63,0,0,0,630,707,1338,0,0,0,73,67,139,11,15,22,6,3,10,4,4,7,0,0,0,16,13,29,33,37,62,40,51,88,5,8,12,0,9,5,72,109,177,69,89,161,4,0,4,1299,1522,2815,37,27,64,25,15,33,6,3,9,0,0,0,4,0,10,3,4,12,8,5,17,1502,1476,2982,12,12,26,6,13,12,1517,1504,3023,170,160,325,3079,3261,6335
SAL10017,29,28,56,323,352,670,0,0,0,45,37,77,7,0,7,551,638,1186,0,0,0,92,90,174,0,6,3,4,0,4,5,3,9,0,0,5,13,12,22,32,27,55,47,57,103,3,0,7,4,12,19,82,123,205,77,79,159,0,0,0,1284,1423,2706,18,16,34,16,12,25,3,3,5,6,0,6,4,6,3,7,10,14,13,12,24,1356,1191,2550,16,11,32,0,3,3,1373,1213,2588,94,96,189,2824,2803,5621
SAL10018,0,0,0,157,159,306,0,0,0,8,9,10,0,0,0,118,117,236,0,0,0,0,0,0,5,0,5,0,0,4,0,3,4,0,0,0,0,0,0,10,10,17,14,14,24,0,4,4,0,3,0,14,7,23,5,10,18,0,0,0,329,327,656,3,4,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,3,111,111,218,0,0,3,0,0,0,115,108,219,21,29,54,470,466,938
SAL10019,0,0,0,8,9,14,0,0,0,0,0,0,0,0,0,25,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,34,25,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,13,0,0,0,0,0,0,13,3,13,13,11,25,60,41,101
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,7,3,13,0,0,0,19,14,32
SAL10021,4,0,4,75,98,172,0,0,0,4,3,10,0,0,4,172,168,344,0,0,0,18,12,28,0,3,3,3,0,4,3,0,3,0,4,4,0,0,0,0,0,0,9,6,19,0,0,0,0,0,0,12,4,19,14,11,28,0,0,0,317,323,638,4,0,4,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,158,129,286,0,0,6,0,0,0,163,130,291,21,21,45,511,486,996
SAL10022,23,28,54,162,201,359,0,0,0,8,12,21,0,0,0,200,304,498,0,0,0,5,16,29,3,10,7,22,27,51,0,0,0,4,0,9,21,15,32,21,21,39,20,14,34,7,8,14,9,10,26,27,35,57,62,82,147,0,0,0,567,761,1324,36,32,68,171,195,358,0,0,0,0,0,0,11,11,25,6,13,19,20,24,40,488,494,982,0,0,0,0,3,3,491,496,988,186,239,425,1489,1776,3265
SAL10023,0,5,5,12,8,20,0,0,0,0,0,0,0,0,0,6,6,15,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,12,0,0,0,0,0,0,0,0,0,23,23,45,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,4,5,3,32,21,55,0,0,0,0,0,0,33,25,58,27,23,49,83,76,165
SAL10024,0,0,0,8,7,17,0,0,0,0,0,0,0,0,0,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,17,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,18,0,0,0,0,0,0,8,12,18,10,10,17,37,40,77
SAL10025,23,52,69,1113,1266,2376,0,0,0,35,47,74,0,0,0,1544,1824,3366,9,7,24,116,102,215,28,33,59,3,6,10,18,29,46,12,3,14,17,13,29,77,55,135,129,163,288,11,15,27,6,7,18,185,243,427,151,183,335,0,3,0,3458,4000,7457,12,12,27,44,36,77,4,3,6,5,0,5,3,3,9,16,22,37,20,30,47,2850,2541,5390,20,16,32,8,9,13,2866,2566,5435,357,344,699,6787,7038,13826
SAL10026,19,21,38,549,673,1219,0,0,0,28,29,58,0,0,0,741,842,1581,3,0,7,35,40,72,20,32,57,8,4,9,3,16,24,4,3,11,0,12,16,18,31,52,56,67,128,4,13,15,0,0,6,89,120,205,63,70,136,0,0,0,1627,1962,3591,15,12,23,19,18,35,0,0,0,0,0,0,0,5,8,7,12,21,7,17,28,1423,1331,2753,15,14,27,6,5,12,1445,1350,2796,215,192,408,3340,3571,6920
SAL10027,24,27,53,273,360,632,0,0,0,22,33,51,0,0,5,522,623,1147,3,0,3,28,34,64,4,8,16,0,0,0,24,49,71,0,0,0,0,0,6,17,17,35,51,46,99,0,0,6,4,0,7,76,125,204,33,39,76,0,4,4,1064,1350,2417,34,28,61,8,7,19,8,6,15,0,0,0,25,22,53,7,13,20,31,36,74,1020,983,2002,6,3,14,3,0,0,1031,992,2018,171,133,305,2373,2589,4955
SAL10028,0,0,0,54,60,116,0,0,0,0,0,0,0,0,0,81,79,162,0,0,0,0,4,4,6,3,7,0,0,0,0,0,0,0,0,0,4,0,4,3,3,5,11,6,15,0,4,4,0,0,0,32,21,52,4,6,12,0,0,0,187,201,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,133,124,261,0,0,3,0,0,0,137,127,261,740,50,788,1063,377,1443
SAL10029,0,0,0,13,11,22,0,0,0,0,3,3,0,0,0,14,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,4,3,6,0,0,0,0,0,0,11,11,22,15,7,24,0,0,0,67,58,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,20,0,0,0,0,0,0,11,8,20,9,6,12,80,74,151
SAL10030,130,156,289,253,238,483,0,0,0,19,17,37,0,0,0,754,823,1584,0,5,3,91,96,190,4,0,5,9,3,6,13,10,19,8,10,14,12,14,21,23,27,52,41,36,73,3,0,0,0,0,8,32,34,74,68,76,144,0,0,5,1322,1392,2713,47,38,85,67,51,118,54,55,110,4,0,8,5,4,7,17,16,29,22,16,34,2961,2558,5523,39,45,89,7,23,28,3013,2628,5637,364,304,665,5023,4630,9649
SAL10031,13,29,39,165,214,378,0,0,0,35,42,79,0,0,0,475,519,998,4,0,3,233,237,465,0,0,0,0,0,0,3,0,3,16,19,36,6,0,4,8,10,17,38,30,65,9,10,20,0,0,0,47,47,95,38,40,74,0,0,0,1076,1163,2240,12,12,26,80,72,154,4,0,4,0,0,0,5,8,11,0,0,0,5,8,11,323,260,575,0,0,6,0,6,4,324,263,588,39,30,72,1552,1577,3131
SAL10032,0,0,0,4,8,16,0,0,0,0,0,0,0,0,0,13,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,27,37,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,17,0,0,0,0,0,0,8,8,17,0,0,0,40,40,80
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SAL10034,0,0,0,7,14,20,0,0,0,0,0,0,0,0,0,5,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,22,34,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,28,0,0,0,0,0,0,12,17,29,4,0,0,36,47,85
SAL10035,0,0,0,16,14,36,0,0,0,0,0,0,0,0,0,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,31,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,34,0,0,0,0,0,0,15,23,34,0,5,5,49,55,99
SAL10036,33,49,81,496,608,1103,0,0,0,30,29,59,0,0,0,911,989,1904,0,0,0,57,59,112,9,15,26,0,0,0,8,21,28,3,0,3,16,9,27,25,26,50,62,62,125,0,0,0,0,0,0,75,95,167,49,58,108,0,9,9,1731,1988,3722,31,26,63,10,14,19,9,13,25,0,0,0,5,5,13,8,17,27,15,24,38,1621,1418,3035,6,7,15,3,15,17,1631,1437,3066,156,144,298,3620,3698,7317
SAL10037,0,0,0,8,6,14,0,0,0,0,0,0,0,0,0,8,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,24,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,18,0,0,0,0,0,0,12,11,18,3,3,11,36,38,68
SAL10038,124,196,320,101,132,232,0,3,0,18,22,46,0,0,0,404,458,858,0,3,4,192,210,399,0,11,7,0,5,5,3,4,3,34,25,63,3,17,22,11,22,32,25,35,58,0,5,3,0,0,0,20,28,48,91,84,179,0,0,0,915,1061,1978,404,323,726,193,143,338,11,5,14,0,0,0,14,6,22,7,7,13,23,15,35,828,790,1610,4,6,11,0,9,12,835,799,1635,171,137,306,2669,2683,5351
SAL10039,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,8,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,8,7,0,0,0,21,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,17,0,0,0,0,0,0,9,5,17,10,0,7,38,24,60
SAL10040,0,3,3,7,13,25,0,0,0,0,4,4,0,0,0,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,26,38,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29,65,0,0,0,0,0,0,39,23,65,3,6,7,69,70,139
SAL10041,0,0,0,35,24,51,0,0,0,0,0,0,0,0,0,19,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,0,0,0,0,0,0,3,3,9,0,4,8,0,0,0,66,46,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,55,0,0,0,0,0,0,32,19,55,14,13,25,108,82,190
SAL10042,0,0,0,5,8,11,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,24,0,0,0,0,0,0,13,7,24,0,0,0,23,25,54
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,12,22,0,0,0,0,0,0,0,3,9,3,0,7,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,23,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,0,9,9,7,9,32,30,58
SAL10044,0,0,0,8,13,22,0,0,0,0,0,0,0,0,0,19,18,40,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,4,5,6,7,40,46,87,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,49,0,0,0,0,0,0,29,22,46,0,0,0,71,68,141
SAL10045,3,4,6,30,27,58,0,0,0,0,8,8,0,0,0,32,31,61,0,0,0,0,3,3,0,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,4,0,0,0,3,9,12,3,13,17,10,12,17,0,0,0,97,103,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,86,185,0,0,0,0,0,0,102,88,190,20,14,38,225,208,431
SAL10046,25,39,62,362,487,851,0,0,0,54,77,131,0,0,0,490,605,1090,3,0,3,3,10,14,14,20,34,10,12,21,5,5,12,0,0,0,4,11,14,36,50,88,80,120,196,9,4,14,26,42,70,130,189,322,84,96,179,0,0,3,1311,1738,3050,5,6,16,4,0,4,5,3,5,0,0,0,0,0,4,6,16,20,8,16,24,1166,1190,2362,9,10,19,3,7,18,1183,1212,2397,166,189,358,2709,3205,5912
SAL10047,0,0,0,12,13,23,0,0,0,0,0,0,0,0,0,7,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,29,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,27,0,0,0,0,0,0,9,13,27,0,0,0,42,43,86
SAL10048,0,0,0,7,6,12,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,0,0,0,0,0,0,9,4,11,3,3,11,21,20,44
SAL10049,66,91,155,418,471,895,5,4,9,29,38,63,6,0,5,812,868,1682,3,3,8,71,76,148,12,20,33,36,40,71,9,14,16,29,22,54,21,21,41,57,56,111,54,50,104,3,11,11,29,34,62,29,38,76,116,130,252,8,5,16,1749,1909,3660,82,71,149,205,182,388,3,3,7,5,0,3,12,15,25,13,16,31,30,33,68,1099,1030,2127,7,5,15,5,4,15,1113,1040,2152,337,346,682,3582,3673,7254
SAL10050,0,0,0,4,10,18,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,7,6,12,25,40
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,7,3,6
