SAL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SAL10011,..,0,7,8,19,9,9,0,0,45,..,0,9,3,4,5,0,0,0,17,..,0,0,0,0,0,0,0,0,0,37,..,..,..,..,..,..,..,..,37,..,6,..,..,..,..,..,..,..,6,..,17,5,0,0,0,0,0,0,25,..,0,0,0,0,0,0,0,0,6,..,0,0,0,3,0,0,0,0,0,..,4,0,0,0,0,0,0,0,0,..,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,7,37,30,24,12,26,21,16,3,0,161,..,0,6,8,18,11,5,0,0,46,..,0,9,3,4,0,0,0,0,19,..,0,6,5,0,0,0,0,0,16,28,..,..,..,..,..,..,..,..,28,..,6,..,..,..,..,..,..,..,6,..,10,3,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,5,0,0,0,0,0,5
SAL10012,..,0,0,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10013,..,0,0,0,0,4,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15,..,0,0,0,3,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10014,..,0,90,253,207,162,88,34,6,830,..,7,36,15,18,9,5,0,0,87,..,0,0,6,10,3,0,0,0,22,434,..,..,..,..,..,..,..,..,434,..,111,..,..,..,..,..,..,..,111,..,92,80,13,3,3,0,0,0,197,..,10,9,5,6,4,5,4,0,35,..,0,4,4,0,0,0,0,0,14,..,13,10,7,0,0,0,0,0,31,..,4,9,0,3,14,3,4,0,36,0,6,3,0,0,0,0,0,0,15,433,241,231,302,251,199,103,48,6,1809,..,0,126,284,186,145,71,21,0,834,..,13,28,20,14,12,0,0,0,87,..,0,12,22,41,22,5,0,3,106,378,..,..,..,..,..,..,..,..,378,..,124,..,..,..,..,..,..,..,124,..,46,48,15,4,0,0,0,0,116,..,14,7,5,4,12,17,14,9,74,..,3,6,0,0,0,0,0,0,13
SAL10015,..,0,0,0,5,11,3,14,0,38,..,4,0,0,11,0,4,6,0,23,..,0,0,0,0,0,0,0,0,6,20,..,..,..,..,..,..,..,..,20,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,12,8,4,0,33,0,0,0,0,0,0,0,0,0,3,19,7,6,5,23,22,22,19,5,141,..,0,0,0,8,13,5,9,0,40,..,3,0,9,3,4,3,0,0,24,..,0,0,0,0,0,0,0,0,3,10,..,..,..,..,..,..,..,..,10,..,3,..,..,..,..,..,..,..,3,..,3,4,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10016,..,4,94,229,194,187,127,62,26,916,..,48,148,65,34,32,8,7,0,348,..,0,0,11,18,7,0,0,0,44,510,..,..,..,..,..,..,..,..,510,..,140,..,..,..,..,..,..,..,140,..,90,48,13,17,11,6,0,0,186,..,31,17,5,3,9,7,0,0,76,..,26,23,0,5,6,0,0,0,54,..,56,65,21,17,11,9,6,0,185,..,13,59,41,39,61,37,36,10,311,16,14,7,7,5,3,8,0,0,65,524,435,469,388,336,331,197,116,44,2845,..,5,127,241,204,180,115,56,8,931,..,65,163,42,38,27,10,3,0,354,..,0,16,62,76,44,21,11,12,236,489,..,..,..,..,..,..,..,..,489,..,144,..,..,..,..,..,..,..,144,..,61,42,7,3,6,0,0,0,120,..,13,13,4,4,7,7,6,8,65,..,20,11,0,0,0,0,0,0,39
SAL10017,..,3,77,274,279,181,185,130,42,1164,..,14,77,59,36,24,13,9,0,218,..,0,3,10,19,7,0,3,0,53,639,..,..,..,..,..,..,..,..,639,..,157,..,..,..,..,..,..,..,157,..,84,46,10,25,14,0,0,0,181,..,18,15,0,0,4,6,0,0,54,..,7,9,4,5,0,4,0,0,29,..,29,39,4,0,6,3,0,0,85,..,5,20,15,16,15,24,31,16,136,8,4,15,3,7,0,3,0,0,40,650,315,292,380,389,262,237,172,67,2758,..,0,107,325,261,183,152,125,20,1178,..,15,86,55,31,19,4,3,0,212,..,0,6,23,39,17,7,17,10,130,562,..,..,..,..,..,..,..,..,562,..,164,..,..,..,..,..,..,..,164,..,51,34,10,6,3,0,0,0,110,..,9,10,5,0,8,11,4,5,46,..,16,9,6,6,0,0,0,0,26
SAL10018,..,0,13,20,26,41,34,24,4,162,..,5,10,11,13,12,5,0,0,52,..,0,0,0,0,0,5,0,0,4,63,..,..,..,..,..,..,..,..,63,..,18,..,..,..,..,..,..,..,18,..,25,13,8,5,0,0,0,0,45,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,6,5,0,0,6,3,0,0,9,..,0,3,6,11,20,21,12,3,65,0,3,0,0,0,4,0,0,0,13,64,52,43,41,53,77,67,41,13,442,..,0,17,26,32,49,31,16,0,169,..,4,16,10,10,12,4,0,0,59,..,0,5,6,8,3,3,0,4,27,60,..,..,..,..,..,..,..,..,60,..,18,..,..,..,..,..,..,..,18,..,13,4,0,0,0,0,0,0,20,..,0,0,0,0,0,4,4,0,9,..,4,0,0,0,0,0,0,0,4
SAL10019,..,0,0,5,0,0,6,0,0,14,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,3,0,9,8,0,0,38,..,0,0,3,0,3,3,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10020,..,0,0,0,0,0,3,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,3,3,0,16,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10021,..,0,16,29,52,47,38,11,4,189,..,5,14,9,8,0,6,0,0,38,..,0,0,3,7,3,0,0,0,13,98,..,..,..,..,..,..,..,..,98,..,20,..,..,..,..,..,..,..,20,..,42,18,8,0,4,0,0,0,65,..,5,0,0,0,0,4,0,0,12,..,3,5,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,9,..,0,0,0,9,11,0,4,0,32,0,3,6,0,0,0,0,0,0,9,98,68,64,46,78,69,46,20,4,490,..,0,16,40,52,45,31,9,0,194,..,4,16,5,9,0,0,0,0,36,..,0,9,3,12,4,0,0,3,32,85,..,..,..,..,..,..,..,..,85,..,33,..,..,..,..,..,..,..,33,..,30,9,0,0,0,0,0,0,36,..,0,0,0,0,0,4,6,0,7,..,0,0,0,0,0,0,0,0,3
