SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC10011,0,0,0,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7,10,13,6,15,9,7,8,0,66,14,20,50,46,55,31,18,10,0,247
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,6,4,0,3,0,27
SSC10014,0,0,3,4,4,15,12,16,3,55,0,0,0,0,8,3,6,3,0,20,5,9,25,17,13,16,8,3,0,96,100,250,570,698,508,366,193,56,18,2761
SSC10015,0,0,0,0,3,5,3,5,3,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,6,5,0,24,3,11,20,23,43,59,58,30,9,255
SSC10016,3,4,5,11,18,20,42,45,21,171,0,0,0,0,4,3,5,3,0,20,8,15,30,26,35,35,28,25,13,226,155,493,944,855,869,635,420,227,104,4707
SSC10017,0,0,0,0,6,6,32,37,24,114,0,0,0,0,0,0,0,10,9,19,8,5,10,24,22,16,24,25,24,156,110,254,532,765,694,565,551,394,139,4005
SSC10018,0,0,0,0,4,9,19,7,4,52,0,0,0,0,0,0,4,0,0,3,0,3,3,10,5,19,21,12,0,79,20,40,75,104,123,147,132,75,21,730
SSC10019,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,9,13,14,13,4,0,0,51
SSC10020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,9,10,12,3,0,42
SSC10021,0,0,3,0,3,7,18,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,13,9,0,0,48,29,58,96,128,131,110,83,19,11,656
SSC10022,5,3,18,15,36,66,55,22,5,230,0,0,0,3,3,7,13,3,0,33,35,29,40,40,50,53,42,13,4,307,159,241,305,325,355,309,251,68,10,2028
SSC10023,0,0,0,0,0,3,8,4,0,11,0,0,0,0,0,0,0,0,0,0,3,4,12,3,5,6,3,4,0,42,4,12,25,10,15,23,26,11,0,125
SSC10024,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,15,0,0,12,13,11,7,12,3,0,61
SSC10025,4,5,17,22,30,91,101,86,51,404,0,3,3,10,6,7,4,3,4,45,32,37,69,68,91,81,70,84,117,646,464,873,1609,1829,1849,1477,905,488,271,9764
SSC10026,4,3,4,7,23,69,94,59,28,293,0,0,0,0,7,4,14,4,4,33,17,24,58,54,51,62,83,93,119,565,220,449,927,750,876,896,700,376,219,5408
SSC10027,0,0,0,6,10,16,24,26,50,122,0,0,0,0,3,4,3,4,0,17,14,40,64,45,57,56,68,71,43,462,97,298,589,577,631,664,577,278,166,3871
SSC10028,0,0,3,0,0,6,10,13,0,28,0,0,0,0,0,0,0,0,0,0,16,87,232,133,67,34,17,5,3,594,32,115,284,188,149,157,112,47,14,1106
SSC10029,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,10,3,7,16,14,19,33,24,8,0,138
SSC10030,0,0,0,5,6,9,18,21,7,72,0,0,5,4,7,3,5,7,3,35,13,55,243,146,95,45,24,23,7,640,85,614,2796,1745,1050,582,280,116,35,7303
SSC10031,0,0,0,0,0,15,28,22,9,79,0,0,0,3,3,13,7,0,3,27,4,10,9,9,9,23,11,3,10,83,101,279,341,333,453,613,226,71,30,2451
SSC10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,11,4,3,14,15,18,21,3,5,0,79
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,6
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,4,3,4,7,14,16,10,3,0,74
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,12,0,3,5,8,13,17,6,4,0,63
SSC10036,0,0,4,8,4,15,41,32,20,127,0,0,0,3,3,5,12,3,5,36,6,8,8,22,40,26,51,74,75,308,129,308,507,1044,1040,744,644,452,254,5131
SSC10037,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,3,0,5,6,18,6,13,0,3,57
SSC10038,3,3,5,10,13,23,44,39,9,147,0,0,16,5,9,25,9,13,4,77,16,22,64,27,35,29,33,15,9,250,136,490,1354,746,657,663,380,200,65,4690
SSC10039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,8,3,0,4,8,7,7,5,4,3,41
SSC10040,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,0,0,12,4,9,4,15,22,28,22,4,0,105
SSC10041,0,0,0,0,0,5,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,19,3,3,18,13,22,32,19,15,0,131
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,9,16,5,0,55
SSC10043,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,10,0,0,34
SSC10044,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,4,3,18,32,15,16,11,0,102
SSC10045,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,20,8,18,31,34,69,84,69,19,0,344
SSC10046,4,5,5,4,9,27,67,84,102,298,0,0,0,0,3,0,0,0,0,12,11,8,19,45,44,55,61,76,51,377,125,171,379,633,699,815,783,580,366,4550
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,5,10,8,14,16,14,7,0,72
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,3,0,12,9,0,3,0,0,31
SSC10049,0,6,20,16,41,85,67,27,8,269,0,0,0,3,4,9,7,12,3,43,40,60,85,84,78,79,75,21,5,524,277,614,1051,870,909,930,527,168,42,5386
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,10,4,0,26
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,7,0,3,0,30
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,14,3,3,0,4,5,8,4,0,0,29
SSC10054,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,19,12,7,4,0,59
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,13,0,0,8,10,12,9,5,3,3,51
SSC10056,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,11,13,12,11,20,28,31,12,8,3,129
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,15,4,5,3,7,15,9,10,4,0,53
SSC10058,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,4,0,26,0,0,6,7,14,12,27,17,4,86
SSC10059,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,22,3,3,15,31,29,66,29,4,5,187
SSC10060,0,0,3,3,9,23,47,26,16,128,0,0,0,0,4,0,3,0,0,6,18,11,28,23,45,59,136,83,28,423,127,198,310,391,539,545,589,312,70,3081
SSC10061,0,0,0,6,3,9,39,42,19,126,0,0,3,0,0,3,0,4,6,21,26,48,138,156,112,100,66,28,12,680,155,641,1686,1781,1368,1012,658,282,114,7691
SSC10062,0,3,0,0,0,0,5,14,3,27,0,0,0,0,0,0,0,0,3,4,3,8,4,8,8,4,15,9,0,54,53,118,125,148,222,179,150,72,11,1082
SSC10063,0,0,0,7,6,10,17,8,4,51,0,0,0,0,0,3,0,0,0,4,5,8,30,18,18,20,14,3,0,111,79,150,451,370,328,264,139,57,18,1856
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,7,9,3,10,0,0,31
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,3,0,0,23
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,5,0,0,15
SSC10067,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,4,14,9,26,15,8,0,82
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,3,0,3,3,0,0,14
SSC10069,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,6,0,0,30,11,16,19,38,67,98,85,35,6,367
SSC10070,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,5,0,3,25,3,7,7,9,35,41,29,6,7,151
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SSC10072,0,0,0,0,0,0,3,9,0,15,0,0,0,0,0,0,0,3,0,4,0,3,5,3,11,4,10,4,5,43,36,78,88,158,248,183,157,76,17,1048
SSC10073,0,0,0,0,9,13,11,11,7,49,0,0,0,0,0,0,0,0,0,0,3,4,8,7,11,13,5,7,3,56,36,59,129,170,211,207,157,69,23,1067
SSC10074,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,15,0,6,8,3,9,14,6,0,0,42
SSC10075,0,0,0,0,0,0,3,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,0,16,6,3,11,18,31,35,32,20,4,162
SSC10076,0,0,0,0,3,4,9,8,8,38,0,0,0,0,0,0,0,0,0,0,5,7,8,5,14,9,14,16,0,84,12,23,34,40,84,86,85,55,22,439
SSC10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,3,0,0,0,21
SSC10078,0,6,6,3,7,16,26,27,11,105,0,0,0,0,0,0,0,0,0,3,3,6,15,3,10,9,23,13,10,91,27,88,191,167,154,185,151,71,36,1073
SSC10079,0,0,3,0,0,7,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,0,20,6,8,15,13,38,46,41,9,3,183
SSC10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9
SSC10081,0,0,0,3,0,5,12,10,4,35,0,0,0,0,0,0,0,0,0,0,5,0,3,7,5,9,3,3,0,34,11,3,27,64,61,77,75,27,11,362
SSC10082,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,8,6,13,3,6,0,36
SSC10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,17
SSC10084,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,3,0,0,16,6,8,10,22,22,13,21,5,0,100
SSC10085,11,18,32,26,57,111,174,163,122,713,0,4,10,6,9,6,13,10,3,58,159,266,239,171,276,208,183,177,86,1775,1177,2538,2889,2431,2794,2632,1991,1242,519,18214
SSC10086,0,0,5,23,39,88,145,137,72,515,0,4,8,14,29,51,46,53,25,234,28,69,196,114,74,83,60,51,43,725,307,946,2434,1486,1137,977,661,454,246,8645
SSC10087,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,10,5,8,3,0,4,6,4,0,0,27
SSC10088,0,0,0,0,0,7,10,7,3,35,0,0,0,0,0,0,0,0,3,3,0,3,0,3,9,3,27,31,5,79,5,13,21,23,40,83,163,107,33,487
SSC10089,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,9,10,4,3,41,15,11,54,53,75,116,59,29,10,437
SSC10090,0,0,5,0,3,15,27,24,14,86,0,4,5,8,3,11,4,9,6,45,14,28,151,79,72,61,33,25,19,490,139,513,1948,1801,1172,870,556,281,135,7411
SSC10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,3,6,8,8,0,0,33
SSC10092,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,9,7,3,0,0,23
SSC10093,0,0,3,4,6,32,69,72,17,199,0,0,0,0,0,0,14,11,10,35,4,8,14,13,32,20,23,16,6,131,79,172,283,436,567,420,321,195,53,2526
SSC10094,0,0,0,0,0,0,4,0,4,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,13,3,7,32,4,8,16,24,39,81,71,20,16,287
SSC10095,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,4,0,0,13,0,11,10,26,39,50,36,14,0,186
SSC10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,7,3,5,0,0,16
SSC10097,4,4,24,32,44,64,31,31,8,232,0,3,15,14,28,26,22,11,3,120,29,30,64,64,68,61,44,33,6,402,154,279,467,445,411,397,195,161,33,2540
SSC10098,3,13,28,27,60,96,187,264,192,869,5,15,52,17,41,41,37,78,61,338,59,158,437,233,202,177,168,159,125,1719,496,2207,5971,3374,2710,2264,1512,1102,699,20343
SSC10099,0,0,0,6,10,16,22,21,3,75,0,0,0,0,0,0,3,0,0,5,4,0,0,3,9,22,19,11,13,80,13,17,28,66,89,142,92,59,23,522
SSC10100,0,0,3,0,0,3,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,5,5,0,0,34,3,26,53,40,55,31,28,6,0,251
SSC10101,8,4,10,20,27,50,45,47,25,233,0,4,3,6,0,0,5,3,0,25,15,25,52,33,45,43,54,38,13,319,175,311,500,413,431,419,322,189,86,2836
SSC10102,0,0,0,0,4,22,21,17,12,82,0,0,0,0,0,0,0,0,0,0,11,19,27,25,36,30,21,12,4,190,128,257,512,679,669,568,335,129,48,3318
SSC10103,0,0,0,3,4,5,13,10,10,48,0,0,0,8,5,5,0,4,0,19,14,8,14,17,18,15,17,14,7,118,77,190,347,529,466,419,278,136,87,2526
SSC10104,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,6,12,19,7,0,67
SSC10105,0,0,0,0,0,5,5,4,0,23,0,0,0,0,0,0,0,0,0,4,0,0,13,5,4,8,4,7,0,43,17,20,72,75,73,91,68,28,5,451
SSC10106,16,116,373,376,434,424,369,241,112,2454,6,120,406,359,396,286,202,161,61,2005,108,274,629,323,284,231,176,130,81,2240,1082,3757,9109,4670,3960,3053,1737,982,480,28819
SSC10107,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,3,9,16,18,21,14,11,3,95
SSC10108,0,0,0,0,0,3,0,6,4,18,0,0,0,0,0,0,0,0,0,3,3,7,21,19,15,21,20,8,8,117,62,139,241,350,363,386,259,112,34,1950
SSC10109,0,0,0,7,21,47,96,78,78,327,0,3,0,9,3,8,28,33,32,115,21,30,33,42,54,34,52,51,25,332,108,243,288,336,435,325,326,214,162,2432
SSC10110,0,0,0,0,0,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,17,0,12,15,17,31,18,21,15,0,114
SSC10111,0,0,0,6,3,3,17,5,31,75,0,0,0,0,0,0,0,3,0,5,24,32,24,49,77,57,76,35,27,402,224,503,651,1155,1621,1492,1066,492,276,7472
SSC10112,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,3,0,0,19
SSC10113,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,6,4,5,12,17,36,26,40,7,0,149
SSC10114,0,0,0,3,6,4,18,9,6,50,0,0,0,0,0,0,4,0,0,5,12,10,19,28,36,33,17,24,7,189,128,228,378,602,722,602,446,191,58,3357
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,0,0,3,6,9,12,18,10,6,68,0,0,0,0,0,3,3,0,0,4,6,3,8,11,25,21,29,11,3,110,45,96,224,167,261,261,165,72,17,1302
SSC10117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,0,3,8,15,28,16,12,0,0,87
SSC10118,0,0,0,0,3,4,3,3,7,19,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,4,0,3,0,11,13,22,40,46,74,44,33,19,4,299
SSC10119,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,13,25,12,38,27,28,13,3,161
SSC10120,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,13,0,10,22,9,25,35,11,12,3,128
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5
SSC10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,10,0,8,8,13,0,0,3,0,0,34
SSC10124,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12
SSC10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,3,0,17
SSC10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,9
SSC10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,0,7
SSC10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,10
SSC10129,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,3,7,9,3,12,16,14,7,0,66
SSC10130,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,17,7,9,10,14,21,30,25,7,0,119
SSC10131,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14
SSC10132,0,0,0,4,0,3,8,6,0,23,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,11,30,31,21,33,23,8,4,161
SSC10133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6
SSC10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,12,5,0,0,8,13,13,13,3,0,52
SSC10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,3,0,16,0,0,3,10,7,14,0,3,0,37
SSC10136,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,12,9,0,0,35
SSC10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,8,3,3,3,0,0,25
SSC10138,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,10,15,6,3,0,42
SSC10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,5,0,0,29
SSC10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,3,5,0,14
SSC10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,16
SSC10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,10,3,0,0,9,10,13,9,0,0,46
SSC10143,0,0,0,3,0,3,0,5,4,16,0,0,0,0,3,0,0,0,0,4,0,3,10,5,7,14,12,8,3,53,6,31,53,71,69,76,54,27,8,395
SSC10144,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,5,3,0,25,0,3,7,12,28,24,28,14,0,119
SSC10145,0,0,0,0,0,3,7,8,9,27,0,0,0,4,0,0,0,0,0,4,4,3,0,7,3,9,9,3,7,49,28,55,108,105,119,125,120,61,18,748
SSC10146,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,6,5,3,9,3,3,33
