SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC10035,0,0,0,14,3,0,16,41,13,65
SSC10036,180,72,259,1426,479,53,1957,3194,289,5441
SSC10037,0,0,3,7,4,0,16,38,7,57
SSC10038,59,7,65,916,202,13,1137,3464,258,4856
SSC10039,3,0,3,11,6,0,16,18,8,40
SSC10040,0,0,0,13,4,0,15,84,9,108
SSC10041,0,0,0,31,19,0,46,74,13,132
SSC10042,0,0,0,10,3,0,13,43,0,56
SSC10043,0,0,0,17,7,0,18,14,0,34
SSC10044,0,0,0,21,3,3,26,66,9,108
SSC10045,0,0,0,68,38,4,109,234,20,369
SSC10046,316,48,366,826,378,47,1243,3168,354,4763
SSC10047,0,0,0,10,0,0,15,57,3,76
SSC10048,0,0,0,10,5,0,12,14,5,33
SSC10049,39,3,42,1161,496,52,1703,3452,496,5660
SSC10050,0,0,0,3,3,0,8,18,0,26
SSC10051,0,0,0,3,0,0,3,0,0,3
SSC10052,0,0,0,3,0,0,3,22,0,29
SSC10053,0,0,0,4,0,0,6,13,12,29
SSC10054,0,0,0,10,3,0,10,46,4,58
SSC10055,3,0,3,14,3,0,12,27,10,51
SSC10056,3,0,3,24,9,0,35,76,16,128
SSC10057,0,0,0,0,5,0,3,37,17,52
SSC10058,3,0,4,11,7,0,15,44,26,81
SSC10059,5,0,5,21,27,3,47,122,18,194
SSC10060,43,28,70,543,256,24,821,2006,410,3243
SSC10061,104,8,114,1556,399,52,2003,5217,665,7891
SSC10062,11,0,11,213,98,3,320,778,62,1153
SSC10063,20,0,18,548,170,38,757,1077,124,1953
SSC10064,0,0,0,10,3,0,12,18,11,31
SSC10065,0,0,0,7,0,0,4,17,3,28
SSC10066,0,0,0,4,3,0,3,7,0,11
SSC10067,0,0,0,12,15,0,24,65,3,91
SSC10068,0,0,0,0,0,0,0,14,0,14
SSC10069,5,0,6,40,27,0,62,291,26,381
SSC10070,0,3,7,13,9,0,27,96,29,155
SSC10071,0,0,0,3,0,0,3,3,0,3
SSC10072,11,4,17,247,113,5,365,691,49,1107
SSC10073,21,4,23,241,100,10,353,682,74,1118
SSC10074,0,0,0,13,3,0,9,28,9,42
SSC10075,3,0,4,33,10,0,44,112,12,171
SSC10076,15,4,22,56,21,0,78,300,85,457
SSC10077,0,0,0,3,0,0,3,11,3,20
SSC10078,36,3,36,197,102,8,306,724,79,1111
SSC10079,3,0,3,20,13,0,32,131,22,189
SSC10080,0,0,0,8,0,0,8,4,0,9
SSC10081,12,0,11,80,38,4,126,221,32,384
SSC10082,0,0,0,5,0,0,3,25,4,40
SSC10083,0,0,0,9,7,0,9,5,3,18
SSC10084,0,0,0,27,3,4,33,62,13,111
SSC10085,428,89,521,3171,1204,133,4506,12928,1792,19225
SSC10086,220,23,244,1449,441,31,1918,6312,673,8901
SSC10087,0,0,0,0,0,0,0,16,14,27
SSC10088,26,7,33,24,33,0,54,349,89,491
SSC10089,10,0,10,96,31,3,128,302,36,466
SSC10090,116,18,135,1903,334,38,2271,4948,478,7693
SSC10091,0,0,0,9,5,0,18,13,0,34
SSC10092,0,0,0,5,0,0,8,18,0,24
SSC10093,50,4,53,619,176,22,817,1723,131,2670
SSC10094,4,7,16,29,22,3,53,215,28,296
SSC10095,0,0,0,30,18,0,41,132,20,194
SSC10096,0,0,0,0,0,0,0,8,4,16
SSC10097,33,9,33,472,133,23,618,1654,408,2683
SSC10098,607,88,705,3290,831,74,4192,15054,1652,20899
SSC10099,15,3,23,70,36,3,105,379,69,550
SSC10100,0,0,0,77,22,5,100,137,23,257
SSC10101,81,11,86,531,225,17,778,1858,320,2950
SSC10102,41,3,48,960,337,51,1344,1981,194,3520
SSC10103,81,6,87,685,217,21,921,1631,113,2664
SSC10104,0,0,0,13,0,0,19,43,4,64
SSC10105,3,0,5,82,42,4,126,297,35,458
SSC10106,407,74,484,5354,1115,111,6586,21074,2458,30121
SSC10107,0,0,3,19,5,3,26,61,9,97
SSC10108,30,3,34,476,215,20,715,1196,130,2038
SSC10109,140,25,162,354,141,8,503,1700,328,2529
SSC10110,0,0,0,15,13,0,28,73,18,120
SSC10111,239,30,273,1852,730,69,2650,4859,427,7938
SSC10112,0,0,0,7,7,0,13,4,4,19
SSC10113,0,0,0,30,16,0,48,103,16,164
SSC10114,51,8,58,885,318,45,1253,2138,183,3576
SSC10115,0,0,0,0,0,0,0,0,0,0
SSC10116,17,3,17,245,158,10,421,822,111,1347
SSC10117,0,0,0,25,3,0,29,54,10,92
SSC10118,4,0,4,70,32,3,112,194,8,315
SSC10119,3,0,3,32,19,0,49,114,3,164
SSC10120,0,0,3,11,11,0,30,89,11,130
SSC10121,0,0,0,0,0,0,0,0,0,0
SSC10122,0,0,0,3,0,0,3,7,0,5
SSC10123,0,0,0,15,0,0,17,11,10,34
SSC10124,0,0,0,0,0,0,0,11,4,12
SSC10125,0,0,0,3,0,0,3,14,0,17
SSC10126,0,0,0,3,0,0,3,5,3,9
SSC10127,0,0,0,3,0,0,3,6,4,7
SSC10128,0,0,0,0,0,0,0,3,5,10
SSC10129,0,0,0,9,3,0,16,46,9,68
SSC10130,0,0,0,17,13,5,26,81,13,124
SSC10131,0,0,0,0,0,0,0,10,0,14
SSC10132,4,0,4,31,12,0,37,121,4,170
SSC10133,0,0,0,0,0,0,0,6,0,6
SSC10134,0,0,0,6,4,0,10,27,13,53
SSC10135,0,0,0,4,0,0,7,14,14,37
SSC10136,0,0,0,7,0,0,10,21,3,35
SSC10137,0,0,0,4,6,0,11,19,3,26
SSC10138,0,0,0,3,0,0,4,36,3,45
SSC10139,0,0,0,9,0,0,11,22,0,31
SSC10140,0,0,0,0,0,0,0,12,7,14
SSC10141,0,0,0,0,3,0,3,10,0,16
SSC10142,0,0,0,4,0,0,5,31,8,46
SSC10143,9,3,8,82,38,3,124,227,54,407
SSC10144,0,0,0,17,8,4,21,72,28,120
SSC10145,17,0,18,142,77,13,236,487,52,775
SSC10146,3,0,3,9,7,0,16,14,3,32
SSC10147,0,0,0,50,19,0,68,117,14,197
SSC10148,0,0,0,3,0,0,4,5,0,9
SSC10149,0,0,0,0,0,0,0,9,0,9
SSC10150,0,0,0,3,3,0,8,37,4,50
SSC10151,0,0,0,15,0,0,12,48,3,68
SSC10152,0,0,0,8,0,0,6,14,0,29
SSC10153,125,23,149,1738,429,48,2220,3612,417,6250
SSC10154,66,13,77,788,178,31,1003,1325,115,2443
SSC10155,97,21,122,911,470,44,1423,2880,228,4529
SSC10156,0,0,0,6,0,0,11,10,0,14
SSC10157,3,0,3,19,6,0,26,55,6,93
SSC10158,3,0,3,0,0,0,0,16,0,19
SSC10159,0,0,0,29,10,0,38,68,18,122
SSC10160,0,0,0,15,6,0,17,43,7,73
SSC10161,0,0,0,25,11,0,40,86,36,159
SSC10162,545,303,852,904,423,25,1353,5142,1143,7633
SSC10163,0,0,0,0,0,0,0,3,0,3
SSC10164,87,17,111,1800,510,53,2368,5409,883,8656
SSC10165,21,6,28,284,122,13,425,1031,168,1623
SSC10166,10,0,10,132,44,7,181,403,19,604
SSC10167,0,0,0,70,39,5,118,214,18,354
SSC10168,23,7,31,185,97,8,284,663,146,1088
SSC10169,0,0,0,3,0,0,3,19,0,22
SSC10170,0,0,0,0,0,0,0,0,0,0
SSC10171,0,0,0,14,11,0,26,59,12,100
SSC10172,0,0,0,3,0,0,3,3,0,8
SSC10173,10,0,10,87,55,3,147,385,29,560
SSC10174,39,21,69,422,85,19,522,910,143,1580
SSC10175,0,0,0,10,0,0,10,16,4,30
SSC10176,3,0,5,19,0,0,20,53,10,88
SSC10177,143,12,155,964,544,31,1541,2824,187,4552
SSC10178,56,6,62,555,148,10,712,1858,221,2791
SSC10179,0,0,0,5,0,0,4,11,0,21
SSC10180,439,69,515,5110,1063,80,6256,16328,2469,25055
SSC10181,0,0,0,0,0,0,0,0,0,0
SSC10182,0,0,0,4,0,0,10,21,0,36
SSC10183,3,0,3,19,18,0,36,48,9,93
SSC10184,0,0,0,0,0,0,0,16,3,24
SSC10185,720,157,880,2222,1005,102,3323,9335,1062,13723
SSC10186,4,0,4,0,0,0,0,35,3,43
SSC10187,11,0,6,172,78,3,253,736,108,1099
SSC10188,0,0,0,7,0,0,7,42,3,56
SSC10189,0,0,0,0,3,0,4,13,0,20
SSC10190,17,5,30,86,46,3,136,440,61,631
SSC10191,0,0,3,12,6,0,23,80,74,172
SSC10192,0,0,0,0,0,0,0,0,0,0
SSC10193,73,0,72,743,270,26,1041,2341,109,3493
SSC10194,0,0,0,403,65,7,475,589,82,1154
SSC10195,40,6,48,382,109,16,501,1250,78,1827
SSC10196,42,3,46,388,140,10,541,1231,112,1886
SSC10197,14,4,21,76,42,0,121,249,55,429
SSC10198,60,13,76,745,306,35,1087,2151,230,3471
SSC10199,72,24,102,151,101,3,252,892,165,1303
SSC10200,0,0,0,0,0,0,0,9,0,9
SSC10201,0,0,0,25,12,0,43,73,12,127
SSC10202,0,0,3,62,13,0,84,230,43,354
SSC10203,0,0,0,0,0,0,0,0,0,0
SSC10204,14,0,14,325,169,15,510,829,56,1393
SSC10205,32,16,47,258,107,6,376,923,194,1484
SSC10206,53,16,64,131,69,6,204,835,171,1216
SSC10207,78,14,95,935,510,46,1492,2934,349,4772
SSC10208,11,3,15,109,57,5,172,326,60,561
SSC10209,3,0,3,17,10,0,26,85,15,119
SSC10210,3,0,3,6,3,0,11,71,4,94
SSC10211,0,0,0,0,0,0,0,0,0,3
SSC10212,0,0,0,0,0,0,0,0,0,0
SSC10213,0,0,0,22,15,3,36,89,31,154
SSC10214,0,0,0,4,0,0,4,4,0,10
SSC10215,0,0,0,5,0,0,7,11,0,23
SSC10216,10,0,13,37,20,4,58,239,23,323
SSC10217,0,0,0,0,0,0,0,0,0,0
SSC10218,0,0,0,35,14,0,50,72,17,132
SSC10219,0,0,0,0,0,0,0,0,0,4
SSC10220,4,0,4,14,5,0,21,31,9,64
SSC10221,0,0,0,6,0,0,10,14,0,21
SSC10222,0,0,0,6,0,0,7,52,18,72
SSC10223,43,26,63,226,93,23,335,804,129,1263
SSC10224,173,16,197,1353,403,35,1785,4737,477,7000
SSC10225,0,0,0,0,0,0,0,3,0,3
SSC10226,0,0,0,9,3,0,13,39,13,69
SSC10227,520,151,681,1862,869,104,2831,6322,812,9970
SSC10228,52,70,113,198,67,10,276,1055,222,1557
SSC10229,72,11,84,126,77,3,209,918,202,1335
SSC10230,0,0,0,13,3,0,10,15,0,30
SSC10231,192,24,223,804,430,31,1265,4143,620,6032
SSC10232,38,16,49,167,60,3,234,746,143,1118
SSC10233,480,105,592,7690,2376,179,10237,17684,1110,29036
SSC10234,3,0,3,40,19,0,61,136,25,222
SSC10235,4,0,6,82,64,0,145,406,38,597
SSC10236,0,0,0,0,0,0,0,0,0,0
SSC10237,236,76,317,457,298,20,775,2088,275,3136
SSC10238,91,15,110,1520,422,46,1993,3599,296,5888
SSC10239,3,0,3,148,38,0,186,621,57,863
SSC10240,0,0,0,11,3,0,11,43,14,66
SSC10241,0,0,0,10,0,0,13,32,8,52
SSC10242,0,0,0,9,17,0,27,67,24,112
SSC10243,39,3,39,2043,458,53,2555,3921,268,6741
SSC10244,0,0,0,30,10,0,37,44,16,94
SSC10245,3,0,4,27,10,0,39,114,21,175
SSC10246,0,0,0,9,4,0,13,22,10,44
SSC10247,0,0,0,21,7,0,27,67,13,110
SSC10248,9,0,9,102,65,0,168,273,41,476
SSC10249,293,25,324,1743,710,56,2500,4819,259,7579
SSC10250,0,0,0,0,0,0,0,0,0,0
SSC10251,0,0,0,70,24,0,97,204,33,332
SSC10252,0,0,0,3,0,0,4,6,0,8
SSC10253,145,28,174,679,309,40,1031,2368,347,3751
SSC10254,3,0,3,18,5,0,25,35,6,70
SSC10255,0,0,0,10,3,0,11,3,7,18
SSC10256,0,0,0,10,9,0,18,66,19,111
SSC10257,122,8,136,1067,323,32,1415,3375,258,5049
SSC10258,0,0,0,28,11,3,41,76,17,138
SSC10259,0,0,0,5,0,0,3,9,4,24
SSC10260,3,0,3,26,3,0,34,53,3,86
SSC10261,8,0,8,93,54,0,143,283,32,458
SSC10262,0,0,0,8,0,0,8,33,0,42
SSC10263,41,4,47,1338,480,36,1850,4322,247,6423
SSC10264,67,9,75,553,269,31,845,2140,270,3254
SSC10265,0,0,0,11,3,3,21,57,12,87
SSC10266,4,0,5,61,16,3,80,145,32,256
SSC10267,8,0,4,14,0,0,17,83,18,114
SSC10268,16,0,16,358,153,12,522,932,124,1581
SSC10269,9,3,8,127,80,4,209,387,34,631
SSC10270,0,0,0,36,22,0,54,154,17,225
SSC10271,159,33,194,1788,665,49,2497,5491,789,8774
SSC10272,0,0,0,12,6,0,20,53,23,96
SSC10273,88,14,104,676,248,50,974,1710,247,2923
SSC10274,3,0,3,25,10,4,36,50,4,89
SSC10275,0,0,0,8,0,0,8,13,3,26
SSC10276,214,91,304,1034,600,31,1664,3877,459,5999
SSC10277,91,98,185,1109,527,48,1688,3024,369,5082
SSC10278,18,0,18,139,78,9,223,610,70,899
SSC10279,233,14,252,1860,518,45,2424,7239,795,10461
SSC10280,8,0,8,37,26,0,66,136,15,218
SSC10281,0,0,0,3,3,0,5,17,0,19
SSC10282,0,0,0,0,0,0,0,6,0,9
SSC10283,400,85,494,1596,591,44,2232,4424,411,7072
SSC10284,9,0,9,87,26,4,113,307,51,471
SSC10285,0,0,0,13,3,3,14,48,20,81
SSC10286,0,3,4,14,4,0,22,82,25,133
SSC10287,0,0,0,18,12,0,32,73,39,146
SSC10288,0,0,0,13,8,0,17,50,13,75
SSC10289,7,3,11,54,20,4,75,283,54,421
SSC10290,0,0,0,16,12,3,32,82,19,131
SSC10291,0,0,0,30,16,0,51,88,15,153
SSC10292,0,0,0,10,9,0,20,32,4,52
SSC10293,3,0,3,22,5,0,22,41,21,87
SSC10294,0,0,0,4,0,0,4,8,5,18
SSC10295,0,0,3,3,0,0,4,3,3,13
SSC10296,0,0,0,10,5,0,16,17,0,35
SSC10297,20,0,20,491,181,22,692,1206,85,1983
SSC10298,0,0,4,22,17,0,43,107,19,168
SSC10299,105,15,128,1355,375,27,1756,5305,382,7444
SSC10300,0,0,4,11,4,0,14,52,9,81
SSC10301,62,6,73,448,263,18,728,1736,163,2632
SSC10302,3,0,3,19,8,0,34,102,8,137
SSC10303,142,30,171,1073,552,51,1669,3983,511,6160
SSC10304,208,65,276,1521,572,86,2180,4018,440,6631
SSC10305,7,0,7,193,108,4,303,542,1061,1905
SSC10306,0,0,0,0,0,0,0,0,0,0
SSC10307,51,4,55,159,92,4,262,928,130,1317
SSC10308,32,4,42,995,288,44,1321,2250,120,3687
SSC10309,0,0,0,4,3,0,4,7,0,15
SSC10310,50,4,57,1158,390,51,1606,2310,114,4031
SSC10311,0,0,3,10,4,0,14,40,62,107
SSC10312,5,0,9,43,22,4,76,269,50,388
SSC10313,7,4,10,32,23,0,52,188,14,261
SSC10314,3,0,3,16,4,0,25,34,5,68
SSC10315,0,0,0,4,0,0,4,10,14,30
SSC10316,20,3,20,213,76,10,290,582,95,965
SSC10317,0,0,0,5,0,0,5,11,4,30
SSC10318,50,7,61,137,70,8,219,704,152,1074
SSC10319,3,0,3,32,18,0,47,138,3,190
SSC10320,4,3,9,85,43,8,134,369,64,564
SSC10321,0,0,0,8,0,0,5,15,0,26
SSC10322,174,19,191,332,198,19,549,1567,158,2270
SSC10323,0,0,0,11,3,0,17,32,12,58
SSC10324,0,0,0,0,7,0,7,19,3,28
SSC10325,3,0,3,13,15,0,26,65,20,114
SSC10326,0,0,0,5,3,0,8,24,5,41
SSC10327,0,0,0,18,8,0,30,58,16,99
SSC10328,0,0,0,10,13,0,27,96,20,145
SSC10329,3,0,7,3,8,0,9,23,4,41
SSC10330,55,13,61,455,111,10,571,1230,125,1930
SSC10331,233,32,272,1644,544,33,2224,5755,480,8454
SSC10332,0,0,0,4,3,0,11,41,15,66
SSC10333,4,4,6,97,42,3,146,218,36,395
SSC10334,489,411,903,3226,865,66,4153,10330,1667,16152
SSC10335,105,13,119,685,224,14,927,2212,207,3346
SSC10336,0,0,0,18,0,0,18,24,0,47
SSC10337,3,0,3,12,5,0,18,47,8,71
SSC10338,0,0,3,18,10,0,23,52,3,77
SSC10339,0,0,0,3,3,0,10,18,0,28
SSC10340,19,3,18,530,209,21,760,1877,487,3119
SSC10341,3,0,3,14,6,0,24,59,10,89
SSC10342,0,0,0,12,3,0,12,21,0,35
SSC10343,0,0,0,5,9,0,13,19,6,41
SSC10344,3,0,3,0,3,0,3,10,0,14
SSC10345,3,0,3,18,6,0,26,55,11,92
SSC10346,4,0,4,26,15,0,44,131,40,214
SSC10347,8,0,5,79,40,0,117,198,24,339
SSC10348,42,8,52,536,179,17,732,1773,226,2730
SSC10349,8,0,8,93,37,3,135,239,56,426
SSC10350,7,0,7,41,25,0,71,132,6,209
SSC10351,40,6,51,737,272,26,1029,1587,120,2736
SSC10352,4,0,4,7,0,0,12,19,0,33
SSC10353,0,0,0,0,0,0,0,5,0,5
SSC10354,0,0,0,14,7,0,28,68,29,120
SSC10355,0,0,3,24,18,4,43,111,29,181
SSC10356,0,0,0,8,0,0,7,35,3,50
SSC10357,3,0,3,37,18,0,50,90,10,151
SSC10358,8,0,8,105,51,4,158,327,60,547
SSC10359,0,0,0,0,0,0,0,0,0,0
SSC10360,0,0,0,13,4,0,21,44,23,91
SSC10361,0,0,0,18,6,0,26,59,9,95
SSC10362,9,3,13,99,28,3,132,267,38,429
SSC10363,7,0,7,38,19,0,63,114,44,219
SSC10364,0,0,0,0,4,0,0,17,9,27
SSC10365,54,21,81,135,59,0,196,883,175,1250
SSC10366,0,0,0,3,0,0,3,13,6,28
SSC10367,4,0,3,24,7,0,34,132,16,186
SSC10368,0,0,0,4,4,0,4,15,0,26
SSC10369,0,0,0,24,8,0,32,63,28,115
SSC10370,4,0,4,49,18,3,68,163,19,248
SSC10371,5,0,5,30,3,5,36,113,19,177
SSC10372,10,5,13,54,24,0,81,389,73,538
SSC10373,0,0,0,29,8,0,36,55,3,95
SSC10374,27,0,27,619,188,22,830,1616,222,2665
SSC10375,3,0,3,3,4,0,6,24,9,40
SSC10376,0,0,0,6,5,0,12,25,3,38
SSC10377,38,14,52,270,98,16,378,1519,137,2031
SSC10378,0,0,0,6,3,0,10,20,10,40
SSC10379,47,10,63,458,146,7,607,1693,190,2495
SSC10380,3,0,3,36,26,0,63,115,31,208
SSC10381,3,0,3,19,11,0,38,95,19,148
SSC10382,0,0,0,7,5,0,14,22,3,36
SSC10383,0,0,0,4,0,0,4,4,4,11
SSC10384,31,5,32,79,66,3,148,562,61,775
SSC10385,3,0,4,94,61,3,152,264,41,459
SSC10386,0,0,4,4,3,0,9,8,4,18
SSC10387,0,0,0,55,10,0,65,159,18,243
SSC10388,0,0,0,42,11,0,53,73,16,146
SSC10389,4,0,4,29,19,0,57,103,30,184
SSC10390,61,5,71,410,250,20,685,1460,115,2255
SSC10391,40,6,50,525,234,28,790,1798,136,2723
SSC10392,18,3,25,478,196,26,697,1547,304,2546
SSC10393,79,3,84,634,257,52,940,2505,265,3710
SSC10394,0,0,0,0,3,0,6,4,5,24
SSC10395,0,0,0,8,11,0,26,107,22,152
SSC10396,47,10,61,276,138,22,440,1017,111,1567
SSC10397,692,145,844,8331,2138,211,10679,24151,2693,37518
SSC10398,0,0,0,14,5,0,17,49,18,93
SSC10399,47,13,61,267,137,11,410,1043,137,1590
SSC10400,10,0,10,532,151,24,705,1458,74,2240
SSC10401,4,0,4,75,20,3,101,196,25,321
SSC10402,0,0,0,22,8,0,31,78,16,123
SSC10403,204,21,234,1052,400,16,1473,3344,232,5056
SSC10404,0,0,0,10,3,0,11,31,4,49
SSC10405,0,0,0,4,0,0,5,21,9,36
SSC10406,3,0,3,18,8,7,25,126,11,160
SSC10407,78,12,99,1310,667,76,2054,3589,302,5943
SSC10408,0,0,0,17,9,0,26,75,10,110
SSC10409,3,3,3,100,23,6,135,213,48,394
SSC10410,81,17,105,547,231,22,796,1623,264,2690
SSC10411,38,3,39,1340,393,44,1774,2878,181,4839
SSC10412,3,0,3,23,7,0,34,63,9,104
SSC10413,0,0,0,0,0,0,0,0,0,0
SSC10414,16,11,30,124,100,5,224,573,90,893
SSC10415,43,16,62,1241,406,73,1719,2792,300,4810
SSC10416,0,0,0,17,10,0,34,133,39,201
SSC10417,0,0,0,0,0,0,0,0,0,0
SSC10418,0,0,0,0,3,0,7,14,3,22
SSC10419,0,0,0,9,0,0,17,29,9,52
SSC10420,7,0,7,27,15,0,46,109,7,160
SSC10421,25,3,29,280,129,21,428,823,112,1362
SSC10422,73,13,91,896,299,35,1238,2704,253,4194
SSC10423,0,0,0,16,3,0,20,21,4,45
SSC10424,5,0,5,19,6,0,28,76,8,117
SSC10425,17,0,13,177,86,6,270,452,38,767
SSC10426,0,0,0,0,0,0,0,9,3,14
SSC10427,0,0,0,23,11,0,29,82,17,134
SSC10428,3,0,3,7,10,0,19,47,11,70
SSC10429,0,0,0,65,27,3,91,251,42,384
SSC10430,0,0,0,4,0,0,4,9,0,11
SSC10431,0,0,0,0,0,0,0,0,0,3
SSC10432,0,0,0,20,4,0,28,67,22,121
SSC10433,0,0,0,9,0,0,7,22,11,41
SSC10434,7,0,8,64,41,11,113,466,51,629
SSC10435,3,0,3,4,3,0,10,44,16,71
SSC10436,0,0,0,17,12,0,30,41,17,86
SSC10437,0,0,0,0,0,0,0,9,0,8
SSC10438,3,0,9,35,6,0,41,135,51,224
SSC10439,43,3,46,529,189,23,735,1504,201,2443
SSC10440,0,0,0,8,6,0,11,56,6,72
SSC10441,3,0,3,95,43,3,137,508,87,734
SSC10442,21,8,30,145,67,4,213,577,120,914
SSC10443,0,0,0,0,0,0,0,0,0,0
SSC10444,3,0,3,21,6,0,30,82,23,140
SSC10445,3,0,3,11,11,0,24,30,0,52
SSC10446,0,0,0,0,5,0,3,28,3,37
SSC10447,0,0,0,13,4,0,14,37,4,57
SSC10448,0,0,0,23,13,0,38,36,0,79
SSC10449,30,35,65,288,157,16,461,1052,209,1727
SSC10450,11,0,11,161,102,4,267,490,45,799
SSC10451,25,3,32,623,207,29,863,1270,107,2239
SSC10452,0,0,0,0,0,0,0,0,0,0
SSC10453,135,69,198,863,449,57,1366,3628,547,5537
SSC10454,0,0,0,0,0,0,0,5,10,14
SSC10455,50,4,56,205,68,4,276,742,115,1132
SSC10456,3,0,6,28,5,0,35,45,10,90
SSC10457,5,0,5,63,20,0,81,170,18,273
SSC10458,3,0,3,18,8,0,22,60,16,95
SSC10459,3,0,3,48,26,0,74,140,31,245
SSC10460,0,0,0,10,3,0,9,34,4,50
SSC10461,0,0,0,3,0,0,3,16,0,23
SSC10462,0,0,0,3,4,0,9,16,3,28
SSC10463,15,7,15,25,14,3,41,227,49,322
SSC10464,140,36,186,1286,430,41,1757,5927,1131,8817
SSC10465,129,43,178,1341,385,48,1774,6976,1613,10364
SSC10466,0,0,0,0,0,0,0,0,0,0
SSC10467,203,58,259,1130,355,37,1517,5506,1242,8265
SSC10468,68,11,79,569,254,27,853,1903,179,2932
SSC10469,15,0,16,418,230,28,665,1117,55,1836
SSC10470,46,7,46,473,193,17,676,1604,165,2448
SSC10471,153,9,162,1208,429,34,1676,4914,398,6986
SSC10472,46,0,54,1023,384,33,1447,4205,245,5894
SSC10473,0,0,0,21,5,0,25,48,10,84
SSC10474,29,3,32,409,183,23,609,1324,132,2066
SSC10475,0,0,0,19,7,3,29,85,34,152
SSC10476,0,0,0,12,3,0,15,39,11,71
SSC10477,33,14,48,134,97,3,233,815,118,1170
SSC10478,0,0,0,23,11,0,34,87,20,139
SSC10479,0,0,0,3,0,0,9,9,4,20
SSC10480,0,0,0,0,0,0,0,0,0,0
SSC10481,0,0,0,12,3,3,16,51,0,71
SSC10482,16,0,21,160,88,3,254,593,51,892
SSC10483,0,0,0,3,0,0,3,3,0,9
SSC10484,0,0,0,20,3,0,22,55,6,83
SSC10485,0,0,0,0,0,0,0,0,0,0
SSC10486,3,0,3,17,3,0,17,35,19,72
SSC10487,3,0,3,44,24,7,69,135,25,236
SSC10488,0,0,0,17,6,0,24,13,6,42
SSC10489,0,0,0,26,4,0,37,100,15,157
SSC10490,0,0,0,0,0,0,0,14,0,20
SSC10491,0,0,0,5,0,0,5,4,5,18
SSC10492,0,0,0,9,0,0,9,13,6,33
SSC10493,0,0,0,5,0,0,5,8,0,17
SSC10494,0,0,0,11,9,0,18,58,7,81
SSC10495,75,5,75,175,91,5,277,707,70,1056
SSC10496,3,0,3,65,34,0,93,220,20,332
SSC10497,0,0,0,0,5,0,7,4,0,10
SSC10498,0,0,0,3,4,0,5,7,4,22
SSC10499,0,0,0,18,4,0,24,40,6,67
SSC10500,0,0,0,4,0,0,6,20,0,23
SSC10501,6,0,6,179,49,10,239,393,30,654
SSC10502,0,0,0,5,0,0,10,21,0,29
SSC10503,44,13,54,207,86,8,302,928,139,1366
SSC10504,3,0,3,11,9,0,24,100,29,153
SSC10505,0,0,0,0,0,0,0,0,0,0
SSC10506,0,0,0,14,3,0,15,44,6,63
SSC10507,0,0,0,22,4,0,25,53,6,85
SSC10508,0,0,0,0,0,0,3,26,3,25
SSC10509,0,0,4,22,3,0,27,52,6,83
SSC10510,0,0,0,0,0,0,0,0,0,0
SSC10511,0,0,0,14,5,0,17,53,10,76
SSC10512,3,0,3,32,10,4,45,99,9,160
