region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
10401,4,6,10,43,36,79,3,0,3,0,0,0,15,14,29,5802,5167,10969,522,537,1059,336,7,343,109,14,123,189,74,263,83,33,116,467,438,905,7573,6326,13899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,5,3,8,0,0,0,0,0,0,4,0,4,0,7,7,0,0,0,4,7,11,83,41,124,92,51,143,4,0,4,0,4,4,4,0,4,8,4,12,511,606,1117,842,1241,2083,194,144,338,9220,8372,17592
10402,16,5,21,85,82,167,9,3,12,0,3,3,25,24,49,11006,10257,21263,994,1199,2193,537,20,557,256,23,279,273,54,327,139,63,202,660,651,1311,14000,12384,26384,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,3,3,6,7,14,21,0,4,4,10,21,31,134,65,199,144,92,236,3,3,6,3,3,6,5,0,5,11,6,17,899,1127,2026,1448,2336,3784,248,252,500,16750,16197,32947
10501,3,0,3,103,38,141,6,3,9,0,0,0,3,14,17,2966,2488,5454,372,292,664,207,17,224,59,15,74,56,12,68,92,32,124,608,586,1194,4475,3497,7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,57,17,74,57,20,77,0,0,0,0,0,0,15,5,20,15,5,20,668,513,1181,430,478,908,150,103,253,5795,4616,10411
10502,0,0,0,31,13,44,4,0,4,0,0,0,15,11,26,2631,2403,5034,296,301,597,74,0,74,74,7,81,64,11,75,61,35,96,333,289,622,3583,3070,6653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,18,55,37,18,55,0,3,3,0,0,0,7,0,7,7,3,10,241,219,460,400,475,875,105,75,180,4373,3860,8233
10503,6,4,10,95,52,147,7,3,10,0,0,0,27,34,61,9666,9229,18895,1003,1011,2014,623,27,650,184,27,211,121,27,148,133,60,193,819,649,1468,12684,11123,23807,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,4,4,5,0,5,0,0,0,5,4,9,111,46,157,120,53,173,3,3,6,0,3,3,14,0,14,17,6,23,1178,977,2155,1081,1749,2830,249,210,459,15329,14118,29447
10601,21,28,49,72,53,125,9,3,12,0,0,0,18,26,44,13842,10485,24327,1300,897,2197,557,17,574,196,27,223,75,10,85,116,50,166,562,453,1015,16768,12049,28817,11,6,17,0,0,0,0,0,0,24,25,49,3,8,11,3,0,3,41,39,80,0,0,0,0,0,0,7,9,16,10,8,18,3,0,3,20,17,37,222,60,282,283,116,399,4,6,10,3,0,3,13,0,13,20,6,26,664,918,1582,2047,2512,4559,404,281,685,20186,15882,36068
10602,187,203,390,58,83,141,5,0,5,0,0,0,12,19,31,11827,9214,21041,942,779,1721,341,7,348,142,11,153,83,9,92,63,30,93,259,270,529,13919,10625,24544,20,13,33,0,0,0,0,0,0,52,47,99,19,12,31,19,0,19,110,72,182,0,0,0,0,0,0,3,0,3,6,3,9,3,0,3,12,3,15,170,63,233,292,138,430,22,11,33,0,3,3,3,0,3,25,14,39,325,602,927,1483,2167,3650,237,139,376,16281,13685,29966
10603,19,10,29,109,111,220,3,3,6,0,3,3,7,9,16,10559,8102,18661,722,753,1475,347,20,367,154,17,171,117,26,143,94,39,133,436,409,845,12567,9502,22069,6,0,6,0,0,0,0,0,0,9,8,17,4,3,7,0,0,0,19,11,30,0,0,0,0,0,0,4,10,14,5,19,24,5,0,5,14,29,43,125,94,219,158,134,292,11,4,15,3,5,8,5,3,8,19,12,31,468,733,1201,1301,2022,3323,225,180,405,14738,12583,27321
10604,5,0,5,18,18,36,3,3,6,0,0,0,3,13,16,5224,3796,9020,530,365,895,191,8,199,87,23,110,26,7,33,79,32,111,380,361,741,6546,4626,11172,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,6,9,0,3,3,0,0,0,3,9,12,72,24,96,78,36,114,0,0,0,0,0,0,5,0,5,5,0,5,385,449,834,728,813,1541,153,112,265,7895,6036,13931
10701,291,159,450,165,199,364,3,0,3,0,0,0,37,12,49,11301,8730,20031,918,918,1836,296,4,300,174,15,189,110,21,131,82,26,108,229,202,431,13606,10286,23892,23,24,47,0,0,0,7,0,7,118,61,179,19,25,44,9,3,12,176,113,289,0,0,0,0,0,0,16,3,19,9,13,22,4,3,7,29,19,48,123,49,172,328,181,509,26,15,41,5,3,8,0,4,4,31,22,53,208,365,573,1393,2043,3436,291,220,511,15857,13117,28974
10702,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
10703,204,146,350,139,132,271,3,0,3,4,0,4,11,13,24,14188,11292,25480,1018,1015,2033,433,9,442,171,22,193,100,17,117,95,35,130,330,395,725,16696,13076,29772,21,17,38,0,3,3,0,0,0,103,49,152,33,21,54,12,6,18,169,96,265,0,0,0,0,0,0,11,10,21,8,16,24,5,0,5,24,26,50,116,66,182,309,188,497,19,17,36,0,3,3,7,3,10,26,23,49,465,683,1148,1856,2668,4524,310,263,573,19662,16901,36563
10704,1250,862,2112,435,595,1030,9,3,12,3,4,7,40,46,86,18513,14930,33443,1184,1611,2795,437,6,443,267,31,298,409,103,512,159,65,224,1055,1128,2183,23761,19384,43145,98,112,210,0,3,3,3,4,7,363,257,620,61,67,128,46,13,59,571,456,1027,0,0,0,0,0,0,26,47,73,20,49,69,16,6,22,62,102,164,202,98,300,835,656,1491,67,49,116,7,13,20,18,5,23,92,67,159,732,1090,1822,2588,3923,6511,391,368,759,28399,25488,53887
10801,3,3,6,22,20,42,5,0,5,0,0,0,9,5,14,3171,2810,5981,292,328,620,192,6,198,29,5,34,72,26,98,43,19,62,250,264,514,4088,3486,7574,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,0,4,4,0,0,0,5,4,9,40,22,62,45,29,74,0,0,0,0,0,0,5,4,9,5,4,9,295,319,614,467,764,1231,103,113,216,5003,4715,9718
10802,4,3,7,47,50,97,0,3,3,0,0,0,10,10,20,4928,4691,9619,437,473,910,352,11,363,87,15,102,74,14,88,76,34,110,337,353,690,6352,5657,12009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,3,8,0,3,3,8,9,17,66,29,95,74,38,112,3,0,3,0,0,0,5,0,5,8,0,8,574,574,1148,727,1108,1835,155,128,283,7890,7505,15395
10803,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,27,17,44,3,5,8,0,0,0,9,5,14,15,17,32,0,0,0,32,29,61,89,73,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23,11,15,26,0,4,4,111,104,215
10804,17,5,22,46,71,117,0,4,4,0,3,3,20,28,48,9598,8803,18401,712,984,1696,401,7,408,220,25,245,112,27,139,93,45,138,511,488,999,11730,10490,22220,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,6,6,9,10,19,0,0,0,9,16,25,125,69,194,134,90,224,0,0,0,0,3,3,11,3,14,11,6,17,719,844,1563,1180,1992,3172,232,200,432,14006,13622,27628
10805,3,6,9,44,38,82,0,0,0,0,0,0,14,16,30,6275,5647,11922,537,587,1124,318,9,327,106,14,120,58,11,69,71,35,106,401,354,755,7827,6717,14544,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,6,3,9,0,0,0,0,0,0,3,0,3,3,3,6,3,3,6,9,6,15,72,18,90,87,27,114,3,0,3,0,0,0,7,0,7,10,0,10,605,592,1197,882,1235,2117,191,168,359,9602,8739,18341
10901,3,5,8,57,77,134,3,0,3,3,5,8,29,30,59,9892,8622,18514,712,763,1475,265,7,272,163,14,177,240,69,309,102,38,140,524,503,1027,11993,10133,22126,3,3,6,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,10,3,13,0,0,0,0,0,0,0,0,0,11,16,27,0,3,3,11,19,30,81,51,132,102,73,175,3,3,6,3,3,6,8,3,11,14,9,23,613,699,1312,1077,1763,2840,209,206,415,14008,12883,26891
10902,3,0,3,23,15,38,3,0,3,3,0,3,0,0,0,1812,1435,3247,185,121,306,72,3,75,35,3,38,22,15,37,44,14,58,233,205,438,2435,1811,4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,19,13,32,19,16,35,0,0,0,0,0,0,3,3,6,3,3,6,341,243,584,221,287,508,78,41,119,3097,2401,5498
10903,5,9,14,51,26,77,3,0,3,3,3,6,3,10,13,6020,4856,10876,419,374,793,232,7,239,81,14,95,110,33,143,132,45,177,528,470,998,7587,5847,13434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,7,0,7,78,27,105,85,27,112,0,3,3,3,0,3,5,0,5,8,3,11,1022,771,1793,674,1117,1791,201,154,355,9577,7919,17496
11001,4,3,7,56,49,105,0,3,3,3,0,3,20,24,44,4971,4648,9619,455,578,1033,266,11,277,112,17,129,104,25,129,83,35,118,539,434,973,6613,5827,12440,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,0,0,0,0,0,0,3,0,3,3,5,8,3,0,3,9,5,14,74,46,120,86,54,140,3,0,3,0,0,0,9,4,13,12,4,16,739,693,1432,645,1008,1653,113,103,216,8208,7689,15897
11002,3,3,6,38,22,60,0,0,0,0,0,0,24,11,35,4474,4005,8479,471,429,900,395,20,415,108,8,116,53,11,64,123,53,176,513,426,939,6202,4988,11190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,4,7,53,20,73,56,24,80,0,0,0,0,3,3,10,0,10,10,3,13,937,801,1738,516,843,1359,146,131,277,7867,6790,14657
11003,3,3,6,40,20,60,0,0,0,0,0,0,13,10,23,4006,3164,7170,417,283,700,282,7,289,52,14,66,52,4,56,87,37,124,381,317,698,5333,3859,9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,3,10,0,10,47,27,74,57,27,84,0,0,0,0,0,0,5,4,9,5,4,9,509,550,1059,364,557,921,129,100,229,6397,5097,11494
11004,5,0,5,75,63,138,7,3,10,0,0,0,40,28,68,11546,10294,21840,1123,1025,2148,730,17,747,203,24,227,112,18,130,163,80,243,871,578,1449,14875,12130,27005,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,6,9,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,11,11,126,48,174,129,65,194,3,0,3,3,0,3,6,3,9,12,3,15,1204,1209,2413,1299,2026,3325,319,264,583,17838,15697,33535
11101,95,71,166,338,388,726,3,5,8,3,0,3,42,15,57,20336,17062,37398,1406,1519,2925,564,20,584,334,22,356,250,35,285,118,57,175,460,420,880,23949,19614,43563,26,13,39,3,0,3,0,0,0,40,28,68,12,6,18,11,0,11,92,47,139,0,5,5,0,0,0,16,24,40,24,46,70,9,6,15,49,81,130,170,94,264,311,222,533,11,7,18,7,3,10,7,3,10,25,13,38,672,1019,1691,2373,4033,6406,383,345,728,27713,25246,52959
11102,184,184,368,73,102,175,4,0,4,3,0,3,6,6,12,11314,9271,20585,867,699,1566,454,11,465,141,19,160,74,5,79,75,33,108,238,226,464,13433,10556,23989,35,24,59,0,0,0,0,0,0,65,66,131,18,32,50,12,3,15,130,125,255,0,0,0,0,0,0,3,7,10,9,14,23,0,3,3,12,24,36,138,48,186,280,197,477,19,21,40,5,0,5,6,0,6,30,21,51,403,673,1076,1413,2139,3552,263,233,496,15822,13819,29641
11103,328,222,550,654,909,1563,48,36,84,0,0,0,74,90,164,26115,21771,47886,1917,2161,4078,522,9,531,574,79,653,1029,268,1297,208,76,284,1344,1400,2744,32813,27021,59834,40,34,74,9,0,9,0,0,0,46,34,80,30,29,59,34,17,51,159,114,273,13,20,33,0,0,0,22,83,105,51,63,114,14,24,38,100,190,290,284,163,447,543,467,1010,33,35,68,18,30,48,19,12,31,70,77,147,826,1228,2054,3476,5543,9019,531,469,1000,38259,34805,73064
11201,5,11,16,91,93,184,5,3,8,6,0,6,19,22,41,9880,9298,19178,671,793,1464,439,11,450,175,23,198,428,219,647,154,90,244,676,698,1374,12549,11261,23810,4,0,4,0,0,0,0,0,0,5,3,8,0,0,0,0,3,3,9,6,15,0,0,0,0,0,0,8,0,8,0,20,20,0,3,3,8,23,31,104,84,188,121,113,234,10,3,13,3,3,6,8,3,11,21,9,30,1294,1492,2786,1403,2129,3532,278,229,507,15666,15233,30899
11202,5,3,8,85,72,157,4,3,7,8,0,8,21,24,45,9604,8752,18356,804,946,1750,506,17,523,205,26,231,163,27,190,120,46,166,639,538,1177,12164,10454,22618,3,3,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,4,0,4,4,9,13,5,3,8,13,12,25,108,74,182,124,92,216,8,0,8,3,3,6,10,3,13,21,6,27,1030,973,2003,1128,1894,3022,246,193,439,14713,13612,28325
11203,28,12,40,159,160,319,10,3,13,4,5,9,11,13,24,11330,10278,21608,795,932,1727,534,19,553,180,15,195,214,70,284,159,69,228,509,545,1054,13933,12121,26054,4,4,8,0,0,0,0,0,0,37,18,55,4,0,4,6,0,6,51,22,73,0,0,0,0,0,0,4,6,10,8,20,28,7,5,12,19,31,50,137,61,198,207,114,321,11,10,21,5,4,9,9,3,12,25,17,42,798,1080,1878,1464,2304,3768,319,284,603,16746,15920,32666
11301,0,0,0,45,19,64,5,0,5,0,0,0,16,17,33,7488,6136,13624,783,637,1420,258,14,272,81,10,91,112,21,133,170,46,216,653,467,1120,9611,7367,16978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,4,3,7,77,28,105,81,31,112,0,3,3,0,0,0,9,0,9,9,3,12,819,608,1427,755,1201,1956,242,207,449,11517,9417,20934
11302,3,0,3,5,7,12,3,0,3,3,0,3,0,3,3,2255,1675,3930,259,177,436,140,10,150,25,4,29,10,6,16,43,8,51,209,197,406,2955,2087,5042,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,25,8,33,32,8,40,0,0,0,0,0,0,3,0,3,3,0,3,285,217,502,259,354,613,57,56,113,3591,2722,6313
11303,11,7,18,111,106,217,6,4,10,5,0,5,47,46,93,14490,12397,26887,1330,1244,2574,550,14,564,242,31,273,264,47,311,350,100,450,1386,888,2274,18792,14884,33676,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,5,0,10,10,0,4,4,0,19,19,124,57,181,127,76,203,3,3,6,3,0,3,15,0,15,21,3,24,1232,1237,2469,1516,2560,4076,341,298,639,22029,19058,41087
11401,55,25,80,57,52,109,8,0,8,3,0,3,18,24,42,11959,10230,22189,918,1062,1980,595,16,611,193,21,214,199,35,234,141,56,197,675,572,1247,14821,12093,26914,5,5,10,0,0,0,0,0,0,22,15,37,8,0,8,0,5,5,35,25,60,5,0,5,0,0,0,7,0,7,5,0,5,0,0,0,17,0,17,127,68,195,179,93,272,10,6,16,5,0,5,7,4,11,22,10,32,754,1052,1806,1613,2601,4214,286,260,546,17675,16109,33784
