SA3_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
10304,34,184,1626,8217,6466,1173,258,427,18380,9,150,757,267,18,0,0,54,1253,0,76,55,47,6,0,0,3,200,12,223,816,312,23,0,0,63,1452,12,178,299,61,9,0,4,31,588,0,4,33,0,0,0,0,0,39,0,0,14,7,0,0,0,0,16,0,3,3,0,0,0,0,0,6,12,186,349,61,9,0,4,30,652,12,22,14,16,8,3,6,11,84,0,13,30,23,21,7,3,83,182,63,638,2827,8631,6528,1183,275,608,20755
10401,58,388,2275,8213,4369,761,181,416,16660,10,126,332,208,4,3,0,35,710,0,30,145,173,21,4,0,9,383,10,151,476,378,20,6,3,42,1088,5,126,480,179,19,3,0,42,855,0,12,46,21,0,0,0,3,77,0,0,5,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,5,142,536,193,22,3,0,46,947,58,212,180,72,15,3,5,41,594,0,20,32,48,19,4,3,18,145,133,911,3501,8910,4446,773,203,561,19441
10402,80,495,2662,11457,7648,1535,332,512,24717,15,135,1165,647,65,12,0,100,2143,6,88,494,657,107,8,5,44,1406,20,224,1660,1300,176,23,4,141,3543,25,324,1306,417,33,6,3,101,2220,3,47,227,45,0,0,0,14,334,3,50,139,87,10,3,0,6,301,0,4,0,0,0,0,0,3,9,31,426,1671,549,46,9,3,129,2863,77,244,245,76,22,4,3,58,720,9,42,76,92,38,9,0,49,328,207,1430,6312,13477,7917,1575,348,889,32171
10501,41,256,1141,3321,2086,374,102,316,7641,0,15,52,23,3,0,0,0,92,0,3,5,0,0,0,0,0,8,0,12,56,23,3,0,0,3,98,3,146,180,16,4,0,0,18,371,3,5,18,0,0,0,0,0,27,0,9,3,0,0,0,0,3,11,0,0,0,0,3,0,0,0,3,9,164,192,21,5,0,0,24,408,23,81,59,58,21,3,0,43,286,7,10,32,43,23,10,3,19,142,82,531,1483,3460,2136,385,107,402,8581
10502,12,181,1432,4055,1324,222,72,232,7530,3,34,75,40,6,0,0,6,170,0,0,5,5,0,0,0,0,16,7,32,83,38,7,0,0,8,185,3,86,72,12,3,0,0,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,79,12,3,0,0,16,197,3,11,6,9,0,0,0,8,37,0,3,6,11,5,5,0,6,42,28,309,1606,4127,1340,231,74,278,7995
10503,41,305,2106,9386,7611,1310,259,532,21553,5,94,682,208,42,0,0,30,1071,0,3,29,18,5,0,0,4,63,5,97,714,231,42,0,0,33,1135,23,312,855,99,21,3,0,64,1376,0,4,9,0,0,0,0,0,17,0,7,3,3,0,0,0,3,13,0,0,0,0,0,0,0,0,0,25,330,867,100,21,3,0,68,1411,20,38,59,117,97,22,10,35,393,0,15,39,54,32,7,7,12,168,93,787,3784,9888,7800,1347,273,680,24663
10601,61,408,3321,12833,8473,1423,300,582,27400,4,134,773,608,30,6,0,99,1662,0,84,192,104,16,0,0,4,403,4,219,962,716,45,6,0,112,2059,8,186,266,104,12,0,0,30,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,185,265,102,9,0,0,30,601,16,63,41,30,11,0,0,6,171,3,20,36,56,38,4,9,24,189,90,897,4618,13739,8573,1437,308,753,30417
10602,17,152,1361,9273,9940,1406,243,391,22775,5,130,942,678,64,3,0,53,1872,3,150,234,112,11,0,0,15,524,7,277,1179,785,79,3,3,65,2399,7,231,257,28,5,0,3,28,567,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,32,0,3,0,0,0,0,0,0,3,6,253,271,32,8,0,3,27,602,15,24,13,32,17,0,0,6,109,0,46,178,26,18,0,3,100,379,49,750,3001,10142,10058,1416,250,596,26258
10603,30,200,1782,8945,7906,1358,254,456,20932,7,125,1042,676,64,0,4,73,1994,0,51,227,1004,291,15,4,29,1619,7,168,1273,1681,353,15,9,103,3610,3,106,191,88,11,3,0,43,456,0,17,108,69,7,0,0,4,204,0,7,194,103,8,3,0,8,328,3,0,3,11,0,0,0,0,16,3,124,506,275,29,11,3,54,1002,33,161,167,81,20,3,3,136,616,3,20,29,26,16,3,0,22,132,74,679,3760,11019,8331,1393,264,771,26292
10604,17,129,948,4299,3433,581,127,227,9758,3,84,221,152,26,3,0,24,513,0,28,75,42,5,0,0,3,154,6,108,297,200,30,3,0,23,666,4,66,140,55,4,3,0,27,293,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,140,66,4,3,0,27,300,9,22,37,10,0,0,0,7,100,0,6,13,26,28,7,3,12,95,33,338,1439,4597,3500,594,131,296,10929
10701,39,252,2043,11658,6718,1349,267,491,22823,8,194,715,448,25,0,0,53,1445,0,53,238,358,42,5,3,29,723,9,246,956,804,70,7,4,76,2164,46,371,532,177,30,10,3,91,1259,9,57,141,45,4,3,0,13,275,0,33,7,0,0,0,0,0,39,0,8,7,7,3,0,0,0,26,50,470,696,231,33,15,3,105,1604,3,13,30,24,14,9,0,18,114,0,13,14,31,13,3,3,10,83,104,987,3736,12746,6849,1382,280,708,26788
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10703,18,148,1163,11587,9401,1904,320,433,24973,8,83,890,804,41,9,0,58,1888,3,137,729,1159,179,15,3,67,2297,14,217,1623,1968,218,25,4,121,4193,8,207,775,223,35,3,7,38,1295,0,7,50,29,0,0,0,7,90,6,65,90,30,0,0,0,10,192,0,3,0,0,0,0,0,0,4,13,275,917,280,32,3,7,56,1583,13,112,199,41,6,3,0,30,407,0,14,65,35,19,0,18,18,173,60,770,3961,13904,9685,1935,348,654,31327
10704,26,223,2867,13288,8912,2220,495,527,28556,21,257,1245,888,73,16,3,75,2573,10,331,1498,2237,207,14,4,113,4414,30,587,2739,3122,279,28,7,192,6985,54,795,2449,726,92,13,6,145,4276,15,326,1861,379,17,7,3,103,2704,25,339,2200,1134,47,3,3,85,3850,0,12,5,5,0,0,0,0,22,91,1471,6509,2248,163,23,6,333,10849,16,106,161,72,18,4,3,15,395,3,23,95,100,24,3,6,122,384,174,2409,12378,18827,9395,2279,520,1188,47170
10801,22,130,1181,4710,2531,459,84,259,9381,4,88,579,778,16,3,0,62,1526,0,33,92,91,10,0,0,3,231,4,120,669,864,27,3,0,68,1756,15,135,329,95,9,4,0,41,634,3,21,227,45,3,0,0,18,307,0,23,266,91,7,0,0,14,405,0,0,0,0,0,0,0,0,0,20,179,823,230,10,4,0,73,1344,16,108,127,42,10,3,4,33,343,0,9,39,31,6,3,5,6,98,60,542,2841,5883,2585,468,98,439,12919
10802,78,408,2687,8027,3705,599,148,422,16075,24,95,358,101,4,0,0,33,608,0,9,60,32,3,0,0,4,107,19,103,415,134,8,0,0,32,718,10,188,375,146,12,0,3,40,776,0,3,39,34,0,0,0,3,83,0,10,14,9,0,0,0,0,34,0,4,0,0,0,0,0,0,10,17,204,429,188,17,3,3,47,898,42,149,209,41,11,0,3,31,490,3,33,36,48,23,3,0,23,173,164,898,3776,8434,3754,609,152,558,18344
10803,0,19,26,42,30,3,0,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,42,30,3,0,7,132
10804,40,217,2250,10708,7363,1341,269,457,22650,5,154,1606,1094,56,14,3,119,3047,3,57,337,468,82,10,0,30,982,5,202,1943,1569,140,16,3,146,4026,14,474,871,308,18,0,4,97,1781,0,39,389,68,3,0,0,26,532,0,91,593,253,11,0,0,34,973,0,0,0,0,0,0,0,0,4,14,605,1855,634,26,0,4,155,3293,43,210,321,73,10,0,0,47,706,10,27,50,49,32,5,4,26,189,114,1259,6415,13034,7559,1362,283,829,30864
10805,64,314,2055,9111,5081,855,181,418,18079,5,145,808,264,20,3,0,65,1311,0,3,74,104,24,0,0,9,215,11,153,882,369,43,3,0,72,1526,13,203,513,113,7,0,0,44,892,6,7,15,12,0,0,0,0,45,0,0,10,0,0,0,0,0,10,0,3,3,0,0,0,0,0,7,21,215,539,122,5,0,0,41,944,27,111,142,42,12,7,3,30,371,0,13,23,57,28,12,0,20,152,120,800,3648,9710,5165,878,187,574,21079
10901,30,166,2168,9287,6040,890,171,393,19140,14,353,1998,437,28,3,8,111,2956,7,105,152,107,17,0,3,18,416,21,462,2149,549,46,3,9,130,3374,0,64,202,24,3,0,0,34,333,0,8,46,0,0,0,0,0,52,0,3,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,0,74,273,25,3,0,0,37,416,12,23,32,26,8,0,0,10,121,4,5,25,30,19,5,3,3,95,63,740,4648,9914,6125,896,181,569,23140
10902,6,77,524,1989,1100,174,34,149,4057,3,12,46,10,0,0,0,6,76,0,0,0,5,0,0,0,0,5,3,12,46,15,0,0,0,6,79,0,45,130,18,3,0,0,7,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,130,18,3,0,0,7,208,18,39,14,20,5,0,0,14,108,0,3,4,15,12,4,3,3,43,35,176,720,2048,1117,181,38,183,4502
10903,19,178,1815,7161,3999,621,131,390,14322,4,37,341,95,9,0,3,27,519,0,0,5,10,4,0,0,0,18,4,41,345,106,9,0,3,29,530,5,104,626,83,9,3,4,51,887,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,104,626,83,9,3,4,54,892,17,83,129,71,23,0,5,23,358,3,3,30,40,7,0,4,11,101,52,401,2947,7466,4053,627,141,513,16202
11001,21,250,1355,5285,3354,783,195,255,11492,4,74,511,156,17,7,0,25,789,0,30,79,22,3,0,0,6,141,4,110,588,177,21,8,0,33,930,6,156,286,56,9,0,6,25,544,0,9,26,6,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,164,311,60,12,0,6,32,589,9,19,16,22,7,0,0,3,78,0,12,24,46,21,8,3,12,117,44,556,2287,5587,3412,794,206,326,13211
11002,66,377,2065,6402,3340,637,146,406,13436,4,70,90,66,5,0,0,12,256,0,3,18,4,0,0,0,0,27,4,72,106,73,11,0,0,12,278,9,183,279,37,5,0,0,34,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,183,280,37,5,0,0,34,543,29,69,23,30,20,4,6,15,187,0,17,44,83,25,3,3,19,191,109,715,2517,6619,3393,645,154,488,14635
11003,17,148,864,3430,2360,443,115,278,7647,3,40,140,79,56,16,0,18,362,0,0,26,12,0,0,0,3,43,3,40,161,87,59,17,0,20,402,18,129,403,63,3,0,0,47,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,127,402,61,3,0,0,47,665,13,53,21,22,12,0,7,20,148,3,0,7,19,10,0,4,4,48,54,368,1457,3621,2453,459,130,371,8915
11004,40,343,2520,12146,8522,1529,317,657,26085,12,209,976,281,30,0,0,112,1623,0,71,217,55,7,0,0,18,378,13,282,1190,338,38,0,3,134,1996,13,186,370,56,9,3,0,50,695,0,3,38,3,0,0,0,0,39,3,7,38,3,0,0,0,4,57,0,0,0,0,0,0,0,0,3,17,197,443,64,9,4,0,50,787,33,73,55,240,59,3,3,29,495,3,20,25,65,32,6,16,19,178,112,914,4238,12854,8659,1546,333,895,29544
11101,37,367,4362,17864,11401,2290,352,591,37280,7,389,2024,947,60,13,3,111,3545,10,138,596,784,95,6,6,52,1690,16,528,2627,1729,154,19,10,162,5239,24,510,795,204,16,7,4,71,1629,7,51,78,23,0,0,0,3,163,0,96,178,118,5,0,0,3,404,0,9,9,9,0,0,0,0,30,29,672,1052,360,18,3,3,80,2221,15,90,136,34,19,3,3,17,318,0,14,14,27,8,3,6,20,87,102,1670,8195,20011,11596,2317,375,880,45146
11102,28,377,2600,11053,8159,1413,299,451,24387,0,194,748,395,14,3,3,55,1411,0,39,166,172,22,0,3,16,422,3,235,908,567,39,3,4,73,1831,3,122,212,42,14,4,3,21,411,0,13,48,34,0,0,0,3,96,0,0,11,9,0,0,0,0,22,0,7,3,3,3,0,0,0,15,3,145,271,83,14,7,3,22,548,21,125,107,19,7,0,0,34,313,0,12,6,19,12,0,0,14,74,55,897,3900,11747,8230,1423,305,592,27146
11103,46,506,7844,23151,10653,2097,526,874,45693,15,507,2290,1163,67,15,10,119,4185,18,489,1948,2189,311,77,26,119,5181,28,999,4236,3350,384,88,37,236,9358,97,1423,1429,356,36,9,16,175,3542,35,417,1343,240,7,3,6,94,2139,45,360,810,539,34,0,3,45,1830,9,72,43,12,3,3,4,8,152,182,2277,3627,1138,85,18,28,323,7670,12,54,65,42,17,3,0,15,211,7,62,79,57,15,6,9,38,276,279,3893,15859,27744,11152,2208,591,1486,63212
11201,100,564,2505,10195,6472,1180,302,509,21839,18,160,1241,1193,103,19,4,108,2834,6,153,731,925,95,8,5,64,1991,24,309,1971,2120,194,29,9,171,4827,22,226,680,309,40,5,3,49,1329,0,22,150,64,0,0,0,6,234,0,0,26,28,0,0,0,0,55,3,14,4,3,3,0,0,0,33,22,265,859,399,43,6,3,55,1654,109,331,370,86,18,5,0,64,981,5,29,70,70,37,15,8,48,283,257,1505,5773,12873,6769,1240,315,850,29589
11202,131,593,3053,10899,6016,1140,215,546,22595,11,150,687,263,21,0,0,40,1173,7,41,207,180,9,8,0,19,475,23,189,895,439,31,11,3,55,1644,28,217,664,200,30,3,6,88,1234,0,20,69,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,28,234,729,200,31,3,6,93,1330,82,169,109,100,52,12,8,39,565,0,22,39,39,13,8,8,11,139,266,1205,4830,11682,6144,1167,238,752,26275
