SA3_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
10304,202,192,99,62,67,17,3,646,128,154,84,52,64,12,3,493,123,144,66,47,58,8,0,448,2646,2696,1428,895,1187,235,51,9140,11,14,16,6,3,3,0,48,3111,3197,1689,1060,1386,284,61,10783,17,11,11,11,16,9,3,85,35,49,26,29,30,5,0,174,15,18,16,9,13,3,0,67,621,710,431,273,357,70,12,2476,33,17,15,7,13,3,0,88,714,811,499,328,424,91,15,2889,3830,4013,2182,1380,1807,372,75,13667
10401,52,74,38,12,29,3,0,217,81,91,52,35,39,10,0,304,87,97,48,29,47,6,3,311,1421,1630,990,628,910,141,18,5731,14,9,4,6,9,0,0,43,1653,1901,1140,711,1026,159,21,6604,0,13,6,4,9,0,0,31,22,41,22,21,27,9,0,138,16,26,18,13,24,5,4,105,523,707,411,268,347,54,13,2317,26,22,19,11,4,0,0,81,585,805,477,319,404,68,22,2678,2240,2705,1614,1028,1431,225,42,9281
10402,379,410,214,136,190,63,17,1409,249,291,160,91,123,29,4,938,288,256,145,91,127,23,8,937,2523,2834,1570,1012,1309,266,67,9569,26,26,11,13,6,0,0,83,3466,3809,2098,1345,1755,375,99,12945,50,71,80,50,82,46,18,392,56,119,79,50,81,9,6,406,30,64,49,54,59,8,3,268,686,1056,660,453,551,94,29,3534,34,53,31,21,18,3,3,154,852,1366,902,633,786,162,58,4751,4319,5175,3003,1978,2541,532,158,17695
10501,42,58,23,10,9,3,0,147,26,31,8,13,10,3,0,98,55,34,12,5,13,0,0,117,898,965,523,207,274,23,4,2888,10,6,9,0,0,0,0,29,1044,1089,570,248,305,33,6,3286,6,10,6,3,3,0,0,25,4,11,8,3,0,0,0,27,3,3,3,3,3,0,0,10,409,452,262,146,123,20,3,1414,20,29,13,9,0,0,0,75,442,501,291,162,134,22,3,1556,1485,1590,858,413,435,58,10,4839
10502,27,26,6,7,5,3,0,76,11,18,4,6,4,0,0,54,33,33,12,5,9,0,0,94,595,634,334,218,244,34,3,2064,7,5,6,3,3,0,0,26,669,723,364,240,266,39,7,2317,0,0,0,0,0,0,0,3,15,12,4,4,0,0,0,39,0,0,3,0,0,0,0,8,309,321,199,154,176,20,4,1173,25,18,4,8,4,0,0,56,346,353,211,162,183,23,3,1288,1018,1078,574,402,457,62,9,3601
10503,209,172,66,47,55,19,7,575,106,84,44,31,45,8,3,326,113,105,50,30,42,3,0,340,2753,2876,1598,980,1215,193,46,9661,15,21,16,4,4,0,0,55,3186,3257,1778,1093,1356,224,54,10957,7,21,20,6,17,0,0,67,29,31,22,13,31,7,0,125,17,28,18,4,10,0,0,88,1019,1179,617,415,476,78,23,3797,44,38,26,15,6,0,3,138,1116,1291,700,462,539,85,25,4210,4299,4552,2478,1559,1892,309,81,15170
10601,121,140,86,59,68,28,9,511,147,190,86,61,83,24,3,593,167,171,106,73,83,23,8,634,3615,3796,1982,1376,1757,401,142,13074,11,30,16,9,9,3,0,88,4071,4331,2279,1582,1996,474,163,14909,8,17,13,5,11,3,0,66,45,59,40,29,36,4,0,214,18,28,18,14,19,0,3,101,1136,1379,746,524,537,118,32,4483,42,36,28,15,16,3,0,138,1244,1522,845,591,622,134,43,5000,5313,5860,3120,2178,2624,609,205,19906
10602,250,245,123,94,104,44,19,880,235,217,133,59,92,30,4,770,201,217,79,74,90,30,15,700,3524,3458,1850,1161,1500,467,192,12154,13,12,9,3,0,0,0,39,4222,4148,2194,1387,1786,570,235,14547,14,19,11,13,12,7,0,81,61,66,47,35,42,9,3,273,22,40,36,25,30,9,10,163,859,1029,655,356,522,117,73,3609,30,17,14,9,3,0,0,78,990,1174,766,434,609,144,81,4204,5212,5322,2959,1821,2400,720,317,18750
10603,133,169,83,82,96,27,16,609,157,206,109,90,112,41,9,725,187,210,113,77,81,13,16,700,2279,2520,1501,950,1224,324,129,8918,18,27,13,4,10,3,0,78,2766,3122,1824,1210,1527,412,167,11025,8,21,15,10,16,0,0,72,54,50,34,30,42,10,0,218,20,28,30,28,28,3,0,140,624,842,522,347,396,88,31,2850,23,22,12,11,8,0,0,73,722,968,613,429,492,105,33,3352,3488,4096,2435,1632,2020,513,203,14380
10604,103,110,52,32,38,6,3,332,53,55,32,19,17,4,0,186,74,75,37,16,20,3,0,227,1264,1379,796,474,579,94,16,4598,16,12,7,3,10,0,0,43,1515,1628,917,544,654,107,15,5377,6,11,3,4,9,0,0,28,18,24,9,6,6,0,0,67,5,9,7,7,5,0,0,42,342,422,250,172,191,24,0,1403,11,16,9,3,3,0,0,46,388,480,287,191,219,24,3,1590,1903,2105,1206,740,868,129,21,6975
10701,355,421,237,155,250,151,80,1655,295,321,191,155,210,109,59,1337,291,268,167,120,155,53,30,1090,2625,2557,1373,908,1073,413,146,9093,24,34,11,12,8,0,0,92,3588,3593,1983,1348,1706,737,313,13265,27,42,50,44,71,43,21,303,90,113,72,49,93,31,11,454,29,44,29,33,37,17,13,203,708,885,526,315,437,126,37,3039,36,30,14,15,14,4,0,118,881,1116,687,459,661,218,89,4115,4474,4707,2672,1810,2361,954,399,17386
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,243,266,174,118,166,115,55,1128,304,418,236,150,235,110,47,1497,322,294,177,134,196,74,35,1233,3312,3345,2012,1217,1633,548,212,12282,18,28,18,16,9,0,3,98,4202,4343,2607,1629,2239,852,355,16243,21,28,27,25,56,16,10,186,92,104,74,53,72,35,16,454,28,52,40,43,60,31,9,260,728,975,594,428,520,143,60,3451,28,32,26,14,11,3,0,105,891,1195,763,563,718,224,96,4458,5099,5542,3367,2200,2961,1077,454,20694
10704,945,938,421,290,429,234,138,3391,568,594,331,209,309,126,68,2196,539,608,342,174,278,145,58,2143,3939,4004,2292,1325,1798,796,396,14545,21,30,13,9,9,3,3,87,6010,6178,3393,2004,2811,1302,670,22366,53,124,88,57,124,66,41,554,94,136,101,88,133,49,24,613,42,81,69,48,76,38,22,383,541,751,528,423,509,204,98,3054,31,30,23,15,19,5,0,134,767,1126,810,626,859,367,186,4740,6773,7301,4200,2626,3669,1671,858,27103
10801,32,38,21,14,20,0,3,119,42,62,31,16,31,6,3,197,54,48,23,19,26,5,0,169,741,818,507,341,468,70,18,2966,5,0,4,3,3,3,0,20,868,973,588,394,543,79,23,3474,3,6,3,3,8,0,0,27,14,30,15,16,24,0,0,89,11,14,5,7,7,0,0,50,291,402,237,160,202,25,8,1334,19,21,13,10,9,0,0,69,337,473,269,195,245,29,7,1561,1205,1448,861,589,792,108,31,5037
10802,39,32,22,19,32,3,3,144,68,81,54,33,51,9,3,284,75,95,53,29,49,9,4,309,1248,1468,880,559,728,126,22,5043,8,13,4,3,0,0,0,41,1433,1687,1018,645,852,142,35,5820,6,3,5,4,4,0,0,21,47,48,20,18,25,0,0,158,12,32,22,8,16,3,0,107,695,820,492,330,393,50,12,2796,39,38,14,13,7,0,0,109,802,938,556,383,444,58,12,3191,2236,2627,1570,1031,1301,195,49,9012
10803,3,3,0,0,0,0,0,7,4,0,0,0,0,0,0,4,7,3,0,0,0,0,0,10,5,7,6,0,0,0,0,23,0,0,0,0,0,0,0,3,16,13,8,3,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,19,7,3,0,3,0,47
10804,143,161,109,74,103,22,6,612,200,258,134,95,116,27,4,828,191,228,131,76,106,23,6,756,2284,2674,1566,1027,1342,263,43,9198,19,9,11,0,11,0,3,46,2828,3323,1949,1275,1679,325,59,11440,5,12,21,4,18,4,0,63,46,78,45,46,37,7,3,269,18,42,41,26,49,8,0,180,616,845,543,398,545,84,26,3069,22,22,26,10,10,4,0,98,708,1000,675,492,659,105,33,3679,3538,4324,2623,1771,2341,432,90,15124
10805,67,92,47,21,38,3,0,265,87,111,59,38,53,8,0,360,77,103,63,35,55,10,3,346,1532,1785,1034,682,935,152,28,6152,21,22,9,5,8,0,0,67,1783,2110,1215,782,1078,185,37,7192,0,12,11,13,8,0,0,39,30,37,31,21,31,3,0,154,4,19,18,19,20,3,0,87,588,751,505,326,416,66,11,2666,36,42,20,14,13,0,0,126,654,860,593,388,487,74,19,3075,2438,2973,1805,1171,1565,256,52,10264
10901,283,246,106,87,82,43,23,870,132,138,102,44,86,19,3,520,134,131,76,55,65,5,6,480,2366,2306,1347,876,1110,289,82,8376,8,8,8,8,3,0,0,38,2929,2834,1635,1069,1346,363,107,10287,18,20,10,16,11,10,3,87,45,44,44,34,21,3,7,203,17,22,26,13,11,0,9,106,521,730,458,319,380,66,21,2506,16,25,18,13,6,0,0,82,634,840,562,395,428,82,41,2982,3562,3675,2199,1467,1777,448,145,13267
10902,21,14,5,9,7,5,0,57,20,15,7,4,5,0,0,53,19,28,11,3,3,0,0,56,496,555,319,167,240,31,10,1823,4,3,3,3,0,0,0,15,560,614,346,185,257,43,9,2010,0,0,3,0,3,0,0,11,7,7,4,0,4,0,0,16,3,3,3,0,0,0,0,11,99,124,79,57,60,12,4,428,9,15,12,6,0,0,0,44,116,145,98,69,66,12,3,511,669,760,445,247,325,49,16,2515
10903,68,72,33,20,23,8,3,225,48,43,27,22,21,6,0,171,60,64,29,17,18,6,0,192,1535,1715,983,599,742,125,25,5715,10,12,3,7,5,0,0,35,1720,1904,1075,661,813,137,23,6341,0,4,6,6,5,0,0,21,20,20,13,9,9,0,0,75,6,6,4,5,7,4,0,34,288,388,239,163,227,42,5,1344,17,28,7,11,11,0,0,74,329,450,275,189,260,46,6,1550,2051,2349,1349,853,1069,187,37,7888
11001,185,162,80,49,71,20,0,571,71,91,61,19,44,13,4,296,92,79,61,31,33,12,4,305,1199,1270,758,500,595,130,23,4483,13,9,7,0,0,0,0,27,1548,1611,962,606,752,175,32,5687,12,21,10,13,8,6,0,66,24,20,25,22,22,3,0,121,9,11,13,9,21,3,0,65,278,389,271,178,208,37,10,1373,15,16,8,5,6,0,0,54,343,460,327,223,258,53,21,1677,1889,2070,1292,828,1010,222,51,7363
11002,60,50,49,35,41,3,0,236,38,64,21,5,8,0,0,144,47,44,35,12,26,8,3,176,1288,1402,827,513,656,85,15,4780,14,15,7,3,5,0,0,37,1447,1566,938,573,741,93,20,5376,7,10,9,7,5,0,0,31,17,32,13,6,11,0,0,81,8,16,12,6,19,5,0,72,445,539,332,219,227,29,6,1803,23,24,18,15,14,0,0,98,505,624,379,261,274,37,7,2084,1950,2188,1313,830,1016,133,22,7455
11003,46,43,18,7,13,3,0,132,26,36,20,17,12,3,0,108,51,37,15,7,7,0,0,122,1110,1161,603,279,363,47,12,3570,15,15,4,10,4,0,0,48,1247,1293,662,317,404,50,9,3983,3,3,3,0,6,0,0,20,11,6,7,3,5,0,0,35,4,4,0,4,8,0,0,18,399,434,222,132,139,12,3,1340,21,20,13,4,7,0,0,69,444,470,242,143,165,10,3,1473,1687,1763,908,459,565,65,13,5456
11004,180,167,83,46,82,11,3,564,122,119,56,40,43,8,4,395,129,109,76,31,60,14,0,421,3174,3379,1921,1162,1408,217,34,11290,27,37,7,3,5,0,0,81,3632,3810,2145,1285,1592,241,45,12754,8,12,7,7,14,6,3,60,34,39,26,30,25,8,0,170,8,25,15,15,21,8,0,91,1087,1219,722,487,531,68,19,4131,34,59,28,27,12,4,0,165,1181,1352,801,554,611,88,23,4613,4816,5168,2945,1837,2202,329,62,17363
11101,238,283,168,107,175,71,48,1094,381,442,223,117,180,77,41,1459,391,411,198,118,164,79,32,1401,4637,4561,2564,1683,2257,922,438,17061,20,16,14,4,7,5,0,73,5667,5726,3165,2034,2796,1145,558,21083,10,31,36,11,36,17,8,147,82,113,65,57,71,22,12,422,36,74,45,37,64,24,15,298,873,1289,844,584,757,235,112,4695,39,29,19,12,15,3,0,116,1044,1527,997,706,937,309,144,5673,6707,7252,4161,2740,3732,1451,705,26758
11102,207,197,123,71,106,43,26,771,212,224,129,81,116,38,18,824,217,204,108,76,101,40,22,763,2899,2619,1562,1077,1359,407,152,10075,10,13,7,12,6,4,4,59,3549,3253,1927,1315,1694,534,221,12490,21,23,23,21,17,8,5,121,52,79,52,34,63,9,5,295,22,36,35,23,24,3,7,144,685,853,529,374,465,114,39,3062,29,25,22,14,8,0,0,100,801,1020,657,463,573,146,62,3725,4349,4275,2588,1774,2268,681,280,16218
11103,883,816,392,206,291,126,62,2769,539,507,304,164,208,91,33,1845,630,525,234,163,212,75,43,1882,5638,5260,2834,1733,2312,833,433,19039,51,27,17,6,10,0,0,108,7730,7134,3783,2273,3029,1122,566,25649,71,102,77,48,76,41,32,450,123,156,118,73,125,41,22,655,53,105,73,52,92,31,19,426,1103,1511,952,703,868,285,152,5573,56,41,35,21,19,4,0,180,1399,1919,1260,891,1185,404,221,7283,9132,9059,5043,3167,4214,1530,785,32933
11201,220,264,155,98,129,20,3,884,312,358,198,127,132,20,8,1157,376,339,164,91,112,18,14,1110,2026,2232,1262,814,1180,273,70,7863,22,36,12,9,10,4,0,86,2953,3234,1794,1135,1559,334,93,11105,16,49,41,38,50,10,0,201,75,133,103,60,92,30,3,510,35,73,46,46,59,20,5,284,364,654,435,356,459,103,19,2397,31,25,17,13,12,0,0,112,531,937,652,519,671,170,31,3512,3482,4173,2445,1655,2238,507,124,14615
11202,115,119,72,45,72,16,5,452,123,174,96,59,84,24,0,562,167,160,94,57,64,21,4,566,2209,2433,1420,979,1212,283,67,8590,25,8,8,4,10,3,0,59,2634,2898,1686,1144,1445,346,74,10224,13,14,29,17,23,11,3,114,47,86,59,42,69,16,10,321,19,62,37,23,33,7,4,187,686,999,649,424,552,111,29,3447,39,37,32,12,15,3,0,136,805,1199,795,516,688,146,42,4200,3442,4096,2485,1658,2139,490,123,14429
11203,287,326,173,109,158,38,12,1106,367,370,203,118,156,33,14,1258,343,363,159,111,135,46,8,1166,2653,2746,1543,1019,1356,368,127,9805,22,16,8,9,5,0,0,69,3665,3826,2084,1361,1811,484,165,13404,16,53,41,30,41,16,7,205,102,133,88,55,77,24,10,482,41,69,70,34,70,14,4,310,558,896,603,407,577,153,53,3253,22,31,25,20,8,3,0,108,742,1182,823,555,776,208,77,4360,4408,5008,2906,1914,2587,695,241,17760
11301,357,304,202,113,152,28,8,1153,101,93,59,42,41,3,0,345,100,62,38,21,39,3,0,261,1761,1920,1133,649,850,112,19,6444,15,23,13,14,7,0,0,58,2325,2401,1445,837,1078,147,30,8267,38,36,25,17,19,3,3,146,50,38,19,22,18,4,0,157,6,22,8,3,3,0,0,53,432,465,303,174,229,30,3,1639,39,28,23,8,7,0,0,102,566,587,387,220,276,39,7,2089,2891,2991,1831,1057,1354,187,36,10352
11302,21,33,21,10,13,0,0,109,28,46,12,7,14,0,0,106,37,16,18,13,19,0,0,105,533,561,348,200,225,40,7,1908,0,0,3,0,0,0,0,9,625,661,399,229,270,39,10,2237,0,4,3,0,3,0,0,10,4,8,15,10,10,0,0,42,4,9,3,3,3,0,0,18,106,141,111,56,74,9,4,500,14,4,5,3,4,0,0,34,124,167,130,74,91,11,7,604,745,830,531,298,363,58,13,2835
11303,400,407,194,121,150,50,10,1331,151,179,100,70,68,21,6,580,165,137,62,58,59,10,5,499,3722,3954,2268,1470,1761,357,111,13644,15,23,15,13,7,0,0,83,4455,4696,2643,1731,2042,435,134,16138,41,45,25,18,26,10,5,169,56,65,34,17,34,8,0,225,10,32,27,20,21,0,0,117,896,1153,674,500,614,83,25,3952,53,42,24,12,8,0,0,136,1053,1341,794,560,709,106,35,4602,5510,6036,3431,2293,2754,537,170,20733
11401,157,161,112,73,84,30,11,631,213,286,145,109,137,27,3,922,243,240,130,72,110,40,12,849,3060,3220,1826,1107,1451,314,90,11061,14,20,20,10,9,3,0,67,3687,3932,2232,1371,1788,410,114,13531,9,33,24,19,28,4,3,123,51,74,69,48,65,10,4,319,36,48,51,33,46,14,3,231,868,1111,725,496,582,101,29,3930,37,37,30,22,11,0,0,137,999,1310,901,621,729,130,49,4736,4687,5235,3129,1992,2524,540,160,18273
