SA2_MAINCODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
102011039,36,87,190,201,394,86,53,6,3,29,90,118,145,263,53,21,0,0,30,82,78,106,193,2568,2615,458,466,1767,2098,4791,5178,9972
102011040,136,258,447,506,947,178,137,11,4,105,262,293,403,693,139,56,7,4,123,375,267,433,705,3665,3713,997,1027,3646,4610,8303,9350,17653
102011041,17,51,131,138,265,71,35,0,0,20,49,84,87,174,40,28,0,0,35,71,74,91,163,1944,1964,305,313,1091,1313,3338,3596,6937
102011042,92,173,256,322,581,121,75,5,0,54,175,180,247,429,83,45,3,0,99,221,185,273,457,2122,2142,582,594,2288,2810,5002,5545,10548
102011043,28,124,140,215,359,71,48,9,0,44,114,120,158,278,57,35,3,3,55,164,122,206,329,1778,1794,440,449,1650,2051,3862,4292,8162
102021044,73,222,292,386,684,124,101,5,11,65,244,199,348,546,118,62,0,0,106,269,223,333,555,3591,3601,781,822,2981,4037,7356,8456,15817
102021045,39,46,143,130,269,50,30,0,0,18,60,69,88,152,22,11,0,0,21,54,40,70,112,1598,1629,492,531,1602,1995,3693,4156,7856
102021046,80,120,232,226,464,69,55,0,7,59,86,129,146,271,56,32,4,0,51,106,111,138,244,1532,1550,419,429,1452,1657,3406,3632,7034
102021047,51,108,201,219,423,102,74,0,4,36,109,142,183,321,55,32,3,0,67,149,125,180,309,2764,2795,612,646,1968,2431,5349,5879,11224
102021048,101,243,349,454,796,169,101,6,0,86,227,270,326,596,98,48,0,3,105,287,203,336,538,3216,3235,869,881,3438,4262,7526,8379,15903
102021049,9,19,37,29,70,11,5,0,0,6,9,17,15,31,6,4,0,0,3,16,14,14,29,641,662,117,117,381,406,1141,1179,2318
102021050,79,148,316,324,642,136,88,4,3,48,103,190,198,394,68,25,0,3,43,114,113,145,260,1977,1989,428,430,1525,1876,3928,4295,8225
102021051,12,23,55,44,98,18,10,0,0,5,21,25,30,53,8,4,0,0,12,15,19,27,44,892,907,184,194,666,739,1744,1838,3585
102021052,31,47,113,100,211,37,19,0,0,22,42,58,63,124,16,13,3,0,22,37,41,47,93,1028,1051,283,291,823,848,2137,2197,4329
102021053,88,157,270,309,576,128,82,5,3,57,166,187,249,444,78,34,4,0,69,221,151,260,404,2133,2155,587,603,2545,3143,5272,5893,11165
102021054,56,118,202,241,442,88,66,0,0,51,120,138,182,323,75,39,0,3,55,146,132,187,319,1464,1487,385,393,1556,1825,3401,3702,7104
102021055,24,36,84,70,153,25,19,3,0,16,19,39,40,75,16,6,0,0,12,27,26,37,59,908,923,196,215,685,860,1784,1996,3775
102021056,37,75,198,184,385,73,50,0,4,17,72,89,126,212,43,17,0,0,21,61,73,75,146,2726,2769,496,525,1675,2173,4899,5467,10367
102021057,41,72,119,132,247,45,21,0,0,30,64,71,87,159,36,15,0,0,19,72,59,84,140,1228,1250,328,324,1471,1700,3031,3283,6308
103011058,69,202,264,344,610,92,84,0,0,60,176,155,263,411,69,32,3,0,69,218,141,251,392,3353,3410,902,922,3340,3996,7591,8326,15926
103011059,25,57,122,114,232,53,49,0,0,17,54,77,101,178,37,23,0,0,22,57,60,77,133,1851,1895,420,446,1321,1514,3592,3863,7454
103011060,28,17,89,63,152,33,22,0,0,13,20,44,40,87,12,8,0,0,13,31,24,38,66,1288,1293,229,243,807,757,2329,2293,4618
103011061,16,30,64,54,118,22,16,3,4,7,31,37,47,80,17,5,0,0,13,30,32,32,63,765,763,192,200,630,574,1581,1540,3120
103021062,38,56,115,123,232,48,25,0,0,31,47,83,79,156,24,15,0,0,21,64,47,75,120,1048,1037,271,274,813,861,2136,2176,4306
103021063,55,101,175,198,377,83,59,6,0,39,83,125,147,265,49,23,0,0,43,124,99,157,253,1480,1503,347,356,1273,1489,3103,3356,6453
103021064,37,48,121,101,226,32,17,3,0,30,31,65,48,113,12,4,0,0,20,41,40,49,86,989,993,201,210,792,712,1982,1908,3890
103021065,52,79,190,188,376,73,54,3,0,39,90,115,144,263,36,17,0,0,30,92,70,109,179,1720,1736,339,337,1382,1359,3443,3427,6872
103021066,25,37,89,78,172,29,20,0,3,20,26,42,52,97,27,10,0,0,15,45,43,60,104,687,700,109,109,483,476,1286,1288,2569
103021067,35,99,137,186,326,65,41,0,4,37,88,106,130,233,50,32,0,0,29,109,80,139,216,1682,1715,398,407,1409,1726,3487,3852,7338
103021068,17,20,59,45,108,17,18,0,0,19,16,33,32,72,15,3,0,0,12,31,27,35,57,597,597,89,97,513,421,1203,1111,2311
103021069,34,47,92,117,209,45,36,0,0,24,40,74,78,150,37,15,0,0,23,68,58,88,148,1038,1038,171,178,762,708,1967,1926,3889
103031070,82,157,211,277,485,100,56,3,4,50,120,151,179,329,60,35,3,0,43,128,106,166,271,1901,1917,432,446,1959,2259,4290,4622,8907
103031071,34,56,121,103,224,37,18,3,0,24,46,62,68,130,15,10,0,0,23,51,42,65,103,1386,1407,315,317,1113,1035,2812,2753,5571
103031072,41,121,141,182,326,61,39,3,3,35,85,97,128,226,29,16,0,0,31,96,58,115,175,1805,1848,519,533,1406,1663,3734,4044,7775
103031073,30,42,74,71,148,19,17,0,0,17,30,38,45,78,10,3,0,0,16,25,22,32,52,534,524,150,152,543,511,1228,1195,2420
103031074,61,65,177,135,315,48,29,4,0,30,65,86,98,182,21,11,0,0,33,39,59,44,103,1772,1807,399,400,1330,1113,3501,3318,6826
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,39,61,109,109,218,43,37,3,0,22,37,71,74,141,32,14,0,0,21,57,58,67,124,1268,1301,291,276,898,1011,2460,2580,5042
103041077,72,209,267,366,635,147,106,0,3,68,175,216,289,503,72,39,4,3,66,221,143,260,400,2713,2760,666,668,2641,3550,6017,6983,13003
103041078,49,120,172,202,373,82,62,0,0,35,98,119,158,274,53,23,0,0,28,89,80,114,192,3382,3451,750,802,2186,2730,6317,6979,13303
103041079,36,51,158,128,291,66,35,0,0,34,74,102,111,216,38,20,0,0,26,56,68,79,148,2345,2387,343,353,1305,1244,3992,3983,7976
104011080,92,203,307,373,686,132,115,9,0,77,200,212,313,527,110,52,3,0,61,250,183,301,481,2782,2829,655,672,2584,3437,6025,6939,12960
104011081,72,67,270,180,451,91,44,4,0,56,89,151,136,285,41,22,3,0,32,77,78,97,178,2695,2738,642,672,2312,2007,5646,5421,11061
104011082,107,210,430,438,869,181,131,12,4,87,175,283,309,595,116,58,3,3,79,187,196,249,449,3041,3081,660,685,2234,2520,5935,6283,12217
104021083,22,43,77,73,148,29,21,5,0,13,38,55,55,105,11,7,0,0,12,42,30,50,82,844,860,310,340,738,938,1897,2140,4031
104021084,80,177,265,326,595,127,79,3,0,62,149,190,235,425,86,36,5,5,51,174,140,212,357,2611,2659,680,689,2576,3231,5867,6570,12438
104021085,36,126,177,248,423,92,61,5,6,34,84,130,152,283,60,23,0,0,32,125,95,147,238,1418,1438,370,393,1461,1947,3252,3775,7027
104021086,20,10,56,42,99,17,0,3,0,6,9,32,18,49,0,5,0,0,8,10,12,12,28,695,716,152,161,495,456,1343,1338,2682
104021087,25,35,58,65,130,28,17,0,3,10,24,38,42,80,10,5,0,0,6,34,21,39,62,498,484,158,165,483,522,1131,1166,2303
104021088,23,40,123,112,242,36,30,4,0,14,30,56,57,110,33,17,0,0,12,46,46,60,106,1683,1721,377,392,892,1105,2958,3218,6171
104021089,97,176,292,368,658,172,104,4,3,42,153,210,266,478,110,46,0,0,65,226,174,273,453,3361,3416,736,766,2639,3340,6728,7523,14256
104021090,36,46,104,107,218,47,30,3,0,26,46,82,79,160,22,11,0,0,23,56,47,67,117,809,811,208,219,716,746,1729,1775,3505
104021091,50,92,184,217,406,101,71,3,3,38,85,143,160,305,58,24,3,0,52,97,106,124,238,2170,2202,506,518,1712,1868,4391,4588,8980
105011092,11,21,30,38,63,13,14,0,0,9,22,21,29,53,10,0,0,0,11,21,14,25,38,375,374,225,215,544,608,1143,1194,2340
105011093,18,39,46,67,111,21,16,0,0,4,26,26,38,64,13,3,0,0,7,29,23,31,51,665,668,242,253,597,546,1498,1462,2962
105011094,18,37,52,65,118,19,7,3,3,14,15,38,27,66,6,0,0,0,13,29,21,29,54,551,538,153,157,563,591,1273,1292,2568
105011095,26,56,90,96,180,33,20,0,0,26,30,57,54,110,13,8,0,3,12,31,30,40,70,770,765,188,199,678,645,1637,1616,3250
105011096,66,47,112,80,195,22,11,0,0,23,27,48,39,85,12,4,0,0,13,27,23,29,54,692,690,320,329,1168,956,2188,1974,4158
105021097,70,166,245,332,574,120,75,0,0,64,195,188,273,461,77,37,0,0,72,219,149,257,406,2562,2605,695,742,2739,3184,5998,6536,12532
105021098,10,6,19,20,41,12,3,0,0,9,11,14,11,29,3,3,0,0,4,13,8,15,22,273,273,113,112,431,332,817,711,1527
105031099,49,69,156,139,300,60,43,6,0,43,69,106,111,217,42,18,3,0,36,69,75,89,160,1334,1334,275,285,1098,1088,2705,2707,5418
105031100,33,56,93,109,202,36,18,0,0,17,43,51,65,115,20,7,0,0,12,57,30,65,97,1541,1580,368,397,1314,1682,3223,3664,6884
105031101,60,157,215,275,494,91,66,5,0,36,138,134,209,339,78,32,0,0,50,158,129,190,317,2601,2646,627,652,2091,2966,5324,6267,11590
105031102,19,60,113,129,245,44,28,0,0,21,55,62,84,146,24,13,4,0,16,42,45,57,99,1290,1334,383,404,1102,1346,2772,3093,5862
105031103,13,20,69,56,123,31,12,0,0,8,14,41,30,72,17,7,0,0,11,22,30,26,55,1142,1168,157,173,636,547,1933,1881,3818
105031104,37,44,97,86,191,32,22,0,0,11,40,40,58,105,28,8,0,0,21,24,47,39,86,751,764,129,135,579,623,1466,1524,2990
105031105,34,53,107,104,203,35,20,0,0,31,53,69,74,148,22,10,0,0,24,48,48,61,103,1022,1039,226,237,874,900,2120,2176,4290
105031106,49,72,146,139,287,52,30,4,0,36,67,83,104,191,33,6,0,0,38,63,66,71,136,1170,1198,300,299,1158,1296,2625,2790,5419
106011107,34,38,96,63,158,19,17,0,0,21,32,46,46,94,21,9,0,0,16,40,31,45,78,1817,1851,444,457,1204,1214,3462,3522,6989
106011108,71,178,244,330,577,136,71,5,4,56,149,195,222,415,45,26,6,3,51,157,104,188,288,3061,3111,847,858,3024,3755,6934,7719,14657
106011109,22,32,99,78,171,30,18,0,0,16,34,44,49,98,20,3,0,0,19,33,39,34,69,1381,1395,299,325,965,1046,2639,2768,5412
106011110,41,67,158,152,310,56,29,0,0,29,49,84,81,164,20,17,0,0,30,77,51,87,137,1727,1750,311,322,1123,1204,3159,3283,6439
106011111,67,115,194,191,386,70,51,0,0,33,112,105,166,267,33,14,0,0,37,123,76,144,216,2678,2715,788,802,2695,2879,6161,6396,12558
106011112,34,77,135,156,285,68,42,4,0,30,70,105,115,217,30,18,0,0,25,91,53,111,169,2593,2634,653,668,2168,2185,5414,5489,10903
106011113,15,5,53,39,91,18,16,0,0,7,11,29,27,55,6,6,0,0,6,13,15,18,36,949,955,161,176,547,441,1658,1569,3226
106021114,22,40,59,74,132,22,16,3,0,18,36,40,56,104,18,7,0,0,13,49,32,57,87,982,993,318,338,886,1002,2196,2330,4524
106021115,59,215,325,417,748,162,113,3,0,51,206,210,313,526,87,35,3,6,57,203,145,237,388,4734,4837,1000,1047,3565,4531,9296,10417,19713
106021116,16,38,77,98,176,29,16,0,0,15,42,43,60,97,26,14,0,0,13,47,41,60,102,1551,1588,233,243,776,934,2556,2772,5330
106021117,54,126,211,232,440,89,53,4,0,28,105,118,164,283,49,29,3,0,46,154,99,183,281,3595,3693,1022,1094,2881,3449,7501,8234,15728
106021118,19,34,82,76,158,33,16,0,0,6,21,38,39,73,13,11,0,0,9,29,18,36,50,1992,2056,403,424,1124,1203,3516,3679,7200
106031119,23,48,96,107,201,42,14,0,0,13,42,61,60,116,19,4,0,0,15,39,34,43,74,1000,1008,209,226,784,848,1988,2077,4068
106031120,37,42,143,127,263,45,20,0,0,32,58,80,81,158,22,8,0,0,27,43,52,52,102,1189,1208,273,283,962,943,2420,2430,4850
106031121,127,220,557,534,1086,245,144,6,3,73,197,324,344,669,136,76,9,6,85,244,229,327,547,3922,4024,720,759,2541,3235,7184,8016,15194
106031122,53,110,166,197,359,59,56,3,3,23,90,91,144,235,46,19,3,0,32,111,76,128,207,1930,1968,572,583,2128,2412,4634,4964,9596
106031123,10,16,53,45,104,19,11,0,0,9,13,32,27,65,14,6,3,0,6,14,25,22,40,1167,1199,168,171,631,635,1971,2001,3968
106031124,37,66,182,190,371,97,60,0,0,32,52,124,114,243,56,24,0,5,21,63,80,96,171,1133,1137,169,176,616,686,1920,1998,3917
106031125,46,61,169,146,318,55,39,0,0,28,58,79,94,176,33,7,3,0,18,50,55,59,114,2491,2571,501,525,1670,1618,4661,4717,9379
106041126,27,74,94,126,216,39,27,3,0,29,69,67,96,164,16,3,3,0,22,58,38,63,99,1729,1752,560,568,1724,1736,4005,4054,8060
106041127,12,13,47,33,85,17,8,3,0,9,16,33,24,55,5,4,0,0,7,25,17,28,45,702,700,186,182,475,431,1353,1316,2674
106041128,22,56,66,103,168,37,22,0,0,8,63,45,83,129,26,7,0,0,17,61,51,69,121,969,979,229,237,724,871,1924,2082,4012
106041129,20,57,117,129,245,52,32,0,0,25,53,74,81,155,19,11,0,0,27,49,47,63,104,1421,1438,336,355,997,989,2752,2784,5533
107011131,91,202,392,439,829,170,118,5,0,60,181,231,301,539,97,42,3,0,66,204,163,245,406,4232,4290,857,872,3315,3913,8404,9071,17474
107011132,8,41,76,95,167,36,22,0,0,13,26,48,41,93,12,7,0,0,7,23,22,28,49,1727,1759,264,265,938,1180,2930,3200,6127
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,28,74,161,161,322,82,50,0,3,34,105,116,157,274,51,19,3,3,46,113,100,137,235,2984,3006,442,466,2031,2325,5458,5797,11259
107011545,67,158,212,280,485,111,60,5,3,54,157,168,220,393,52,30,0,0,40,128,92,161,258,2192,2199,455,474,2295,2561,4932,5232,10166
107011546,45,123,151,231,377,98,54,4,0,45,119,148,176,320,58,26,3,0,48,114,112,143,253,1393,1395,307,323,1771,1889,3464,3610,7078
107011547,52,66,129,128,261,47,38,5,0,27,51,83,92,174,39,13,3,0,23,45,62,60,117,750,753,141,142,815,769,1701,1670,3373
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8
107031136,23,66,122,141,271,61,32,5,0,19,63,83,87,173,39,19,0,3,23,72,62,92,160,2695,2766,489,514,1709,2028,4897,5312,10213
107031137,15,47,83,100,183,40,26,3,0,11,41,56,68,120,37,18,0,0,11,39,50,59,107,1134,1146,274,281,985,1162,2399,2587,4979
107031138,26,74,154,182,335,86,57,0,0,24,58,117,119,227,51,29,0,0,40,118,90,146,238,1565,1583,259,273,951,1170,2780,3023,5802
107031139,6,28,69,79,143,44,33,0,0,8,35,52,66,121,28,10,0,0,16,48,45,57,108,1297,1320,148,156,674,708,2121,2186,4305
107031140,13,56,131,135,264,59,43,3,3,11,58,79,105,185,36,11,0,0,21,79,54,88,146,1547,1580,241,244,827,998,2619,2824,5442
107031141,33,73,160,183,345,80,37,3,3,21,69,107,113,214,46,17,3,3,21,65,74,80,154,3430,3479,508,522,1912,2157,5851,6157,12006
107031142,31,91,153,174,327,63,49,7,0,23,59,97,109,207,43,20,5,0,30,68,78,91,168,1855,1880,329,333,1413,1732,3602,3945,7549
107031143,100,228,360,448,806,169,94,8,3,54,178,229,275,506,80,35,3,0,67,178,146,216,364,3221,3245,726,755,3209,3853,7155,7848,15007
107041144,84,203,350,415,760,176,126,3,4,63,195,241,322,562,142,63,0,0,83,266,233,332,560,3702,3741,640,670,3315,3707,7657,8127,15782
107041145,59,123,215,249,464,109,86,5,0,51,123,168,207,376,85,37,0,0,58,204,147,244,384,2454,2491,585,608,2497,3006,5528,6104,11635
107041146,59,150,285,334,622,162,92,5,0,52,159,217,249,472,102,49,0,0,55,185,160,236,390,3895,3949,481,517,3208,3278,7578,7742,15323
107041147,12,23,66,61,122,23,15,0,0,6,29,29,42,77,18,10,0,0,12,35,28,47,80,1691,1724,333,346,1048,1034,3072,3101,6176
107041148,11,47,113,107,221,50,32,3,3,17,72,66,104,173,30,22,0,0,23,81,57,104,164,2152,2183,477,508,1268,1499,3892,4187,8077
107041150,53,132,243,289,531,113,88,0,0,37,141,154,229,386,70,26,0,0,45,177,118,213,327,3623,3689,638,668,2485,3066,6747,7424,14176
107041548,57,118,190,240,435,86,48,3,3,43,103,135,160,295,48,19,0,0,56,173,110,196,303,1703,1726,632,640,2954,2893,5299,5258,10552
107041549,49,117,157,220,376,90,45,4,0,45,86,129,129,265,66,31,0,0,38,124,97,157,256,2409,2426,573,566,3371,3096,6355,6080,12435
108011151,29,44,98,97,196,33,10,4,0,18,32,56,44,103,21,6,0,5,9,24,34,34,66,877,880,183,182,666,659,1721,1714,3433
108011152,110,181,400,419,821,175,142,9,6,86,183,276,334,607,141,71,3,0,96,231,238,305,549,2543,2555,513,522,1952,2558,5009,5634,10643
108011153,30,45,134,105,233,39,19,0,0,26,22,68,41,108,26,13,0,0,17,29,45,41,87,1112,1120,269,278,848,753,2230,2152,4378
108011154,56,103,215,234,448,110,83,7,6,38,104,155,188,343,58,27,0,0,59,126,120,156,275,1089,1091,182,195,954,1165,2227,2450,4678
108021155,60,120,211,233,443,97,44,4,3,31,107,131,156,285,39,22,0,0,39,125,78,143,220,1923,1959,465,501,2110,2577,4495,5033,9528
108021156,57,68,154,136,297,56,22,3,0,32,38,88,66,152,43,30,0,0,32,64,79,90,163,1492,1511,409,418,1477,1290,3382,3221,6601
108021157,33,48,88,99,189,44,22,0,0,13,42,58,67,130,31,17,0,0,22,73,52,88,138,788,791,178,190,662,775,1635,1756,3390
108021158,69,92,185,194,384,75,57,0,0,41,82,109,141,252,69,33,7,0,39,116,117,148,266,1009,1018,253,260,1129,1393,2392,2672,5057
108021159,39,51,146,121,269,43,33,0,3,25,43,67,77,145,21,11,4,0,26,43,46,53,100,1297,1312,363,381,1098,1080,2767,2771,5536
108021160,49,59,164,140,303,56,30,3,3,35,59,97,94,187,27,15,3,0,37,78,67,86,156,995,995,197,200,733,800,1921,1999,3914
108031161,0,0,4,4,9,3,0,0,0,0,0,3,0,8,5,0,0,0,0,3,6,3,6,64,58,18,13,45,36,123,110,236
108041162,109,201,455,507,963,226,162,8,9,78,188,314,355,668,131,51,5,0,90,217,220,269,493,3379,3452,566,594,2135,2533,6085,6573,12655
108041163,116,290,533,639,1170,270,201,15,10,88,261,367,468,836,209,104,7,3,100,364,315,468,779,5135,5213,1048,1080,3419,4627,9601,10918,20522
108041164,113,223,400,467,867,209,145,5,4,87,242,298,392,699,146,84,11,0,81,313,237,398,635,2927,2959,596,637,2296,3275,5822,6866,12691
108041165,21,23,80,58,138,25,10,0,0,15,12,42,25,66,9,3,0,0,16,30,29,36,57,952,969,218,228,748,636,1917,1831,3741
108041166,38,87,188,199,387,84,72,5,3,35,80,126,155,281,53,15,0,3,43,98,101,112,210,1918,1961,460,462,1332,1729,3712,4147,7857
108051167,27,61,120,114,234,50,41,0,7,19,61,68,106,172,34,14,0,0,18,76,47,82,133,950,953,179,174,662,750,1783,1881,3668
108051168,48,91,238,219,460,99,66,0,0,34,79,128,147,278,64,27,3,3,32,97,99,124,219,2176,2196,387,390,1158,1505,3719,4085,7803
108051169,124,253,393,486,879,175,104,7,3,94,211,271,318,596,113,48,0,0,83,259,199,305,507,3141,3169,729,733,2987,3856,6865,7760,14619
108051170,81,91,261,241,502,115,54,3,0,43,53,167,109,273,49,21,3,3,44,85,99,107,209,2417,2435,490,500,1725,1655,4629,4596,9227
108051171,17,55,94,117,211,37,31,3,0,29,67,70,96,164,39,17,0,0,21,56,62,71,134,872,883,182,191,764,1034,1822,2108,3928
109011172,32,70,126,154,278,67,42,0,0,26,74,93,123,215,47,19,0,0,25,71,75,89,163,2577,2605,596,625,1721,2126,4891,5356,10240
109011173,32,70,123,136,260,52,41,0,0,25,74,82,119,204,27,15,0,0,23,91,57,110,165,1470,1491,382,401,1425,1668,3276,3562,6837
109011174,34,104,124,161,287,47,45,0,0,29,84,76,127,202,53,22,0,0,31,117,90,146,227,1568,1601,349,370,1446,1818,3366,3790,7158
