SA2_MAINCODE_2016,Med_age_persns_C2006,Med_age_persns_C2011,Med_age_persns_C2016,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Average_hh_size_C2006,Average_hh_size_C2011,Average_hh_size_C2016
102011030,43,42,46,1517,1950,1850,451,562,682,150,200,250,1179,1404,1751,0.8,0.9,0.8,1014,1178,1431,2.5,2.7,2.6
102011031,45,47,49,1625,2000,2000,414,501,609,213,270,360,1215,1450,1797,0.7,0.8,0.7,970,1018,1272,2.5,2.5,2.5
102011032,38,39,40,1517,1733,1733,461,560,653,200,270,330,1158,1334,1576,0.8,0.8,0.8,874,997,1188,2.2,2.2,2.2
102011033,31,33,35,1525,1998,1950,509,605,703,235,310,400,1292,1601,1929,0.8,0.8,0.8,1212,1461,1809,3.1,3.1,3
102011034,43,44,47,1408,1950,1899,370,479,571,210,260,340,1048,1278,1482,0.8,0.8,0.8,695,935,1099,2.4,2.5,2.4
102011035,35,37,39,1485,1754,1733,474,557,665,210,285,360,1226,1486,1734,0.8,0.8,0.8,1127,1305,1556,2.8,2.8,2.8
102011036,33,36,39,1517,1842,1800,506,580,666,230,290,370,1362,1617,1898,0.8,0.8,0.8,1222,1438,1661,3,2.9,2.9
102011037,43,44,44,1500,2000,1820,450,531,645,215,290,375,1213,1478,1767,0.7,0.8,0.8,981,1132,1408,2.4,2.5,2.5
102011038,42,42,42,1591,2000,2000,436,537,660,228,300,388,1160,1385,1741,0.8,0.8,0.8,938,1123,1402,2.5,2.6,2.6
102011039,39,41,42,1733,2167,2167,541,646,753,268,350,450,1359,1678,2041,0.8,0.8,0.8,1181,1380,1760,2.6,2.5,2.6
102011040,44,44,46,1400,1800,1750,372,467,551,200,275,350,943,1109,1365,0.8,0.8,0.8,673,850,1071,2.3,2.3,2.3
102011041,38,38,40,1647,2167,2167,515,654,758,250,340,420,1299,1755,2059,0.8,0.8,0.8,1173,1523,1848,2.8,2.8,2.8
102011042,45,47,47,1500,1800,1733,371,449,531,195,250,340,1012,1150,1401,0.8,0.8,0.8,689,851,1037,2.2,2.2,2.2
102011043,39,41,42,1486,1777,1733,414,496,576,205,265,350,1132,1306,1538,0.8,0.8,0.8,902,1013,1228,2.5,2.5,2.5
102021044,41,41,41,1500,1781,1733,377,474,583,200,265,350,1022,1209,1529,0.8,0.8,0.8,777,952,1245,2.5,2.5,2.6
102021045,31,32,34,1408,1651,1600,393,477,550,210,280,355,939,1135,1348,0.8,0.8,0.8,846,1024,1246,2.8,2.9,2.9
102021046,43,44,45,1300,1698,1560,346,413,518,185,240,310,863,986,1266,0.8,0.8,0.8,633,788,1005,2.3,2.3,2.3
102021047,37,38,40,1460,1820,1764,442,529,657,225,300,370,1158,1388,1722,0.8,0.8,0.8,1030,1195,1465,2.8,2.8,2.7
102021048,40,41,43,1300,1560,1517,358,422,516,190,250,315,905,1061,1320,0.8,0.8,0.8,673,832,1051,2.4,2.4,2.5
102021049,38,42,43,1733,2286,2200,496,627,694,190,260,300,1296,1779,2088,0.8,0.8,0.8,1183,1592,1942,2.9,2.9,3
102021050,42,45,49,1300,1625,1521,345,416,504,195,260,320,846,949,1256,0.8,0.8,0.8,639,769,978,2.4,2.3,2.3
102021051,35,37,39,1600,1900,1800,514,583,727,210,270,345,1322,1600,1943,0.8,0.8,0.8,1170,1380,1669,2.8,2.8,2.8
102021052,40,42,44,1300,1700,1600,378,455,543,195,265,340,920,1106,1365,0.8,0.8,0.8,740,936,1187,2.5,2.5,2.5
102021053,44,42,45,1482,1800,1785,365,461,558,190,260,320,868,960,1271,0.8,0.8,0.8,620,770,988,2.1,2.2,2.1
102021054,46,47,48,1473,1733,1700,350,432,533,180,240,300,822,1000,1308,0.8,0.8,0.8,608,750,968,2.2,2.2,2.2
102021055,34,36,37,1600,1850,1800,466,549,661,225,300,380,1161,1344,1730,0.8,0.8,0.8,1071,1206,1513,2.8,2.8,2.8
102021056,34,35,35,1863,2167,2037,454,547,631,280,370,450,1196,1495,1801,0.8,0.8,0.8,1120,1391,1677,3,3,3.1
102021057,36,39,40,1343,1680,1603,356,431,508,175,230,312,935,1080,1259,0.8,0.8,0.8,697,848,1055,2.5,2.5,2.5
103011058,33,34,36,1213,1551,1578,406,530,635,175,220,275,1157,1406,1591,0.8,0.8,0.8,897,1067,1233,2.4,2.4,2.4
103011059,34,35,35,1387,1777,1785,460,580,672,175,240,310,1233,1505,1708,0.8,0.8,0.8,1104,1309,1476,2.8,2.8,2.8
103011060,40,43,46,1300,1600,1696,449,555,653,100,144,180,1177,1450,1643,0.8,0.8,0.8,1021,1194,1358,2.7,2.6,2.6
103011061,39,41,45,1127,1481,1349,433,513,596,150,180,210,1109,1214,1485,0.8,0.8,0.7,890,963,1205,2.5,2.4,2.4
103021062,40,41,41,758,867,900,357,446,553,90,110,150,872,979,1284,0.8,0.8,0.8,663,840,1030,2.5,2.5,2.4
103021063,40,44,46,953,1127,1192,365,416,508,135,160,190,923,1000,1222,0.8,0.7,0.7,677,776,941,2.4,2.3,2.3
103021064,43,46,48,867,1083,1083,342,406,515,100,131,165,845,989,1261,0.8,0.7,0.7,647,818,979,2.5,2.4,2.3
103021065,40,42,43,873,1127,1148,363,457,567,120,149,178,893,1016,1316,0.8,0.7,0.8,671,823,1070,2.4,2.4,2.4
103021066,45,47,51,726,900,910,330,383,493,85,105,135,775,877,1193,0.7,0.7,0.7,601,722,904,2.3,2.3,2.2
103021067,37,38,39,1021,1387,1300,369,489,579,130,160,210,1010,1197,1467,0.8,0.8,0.8,733,950,1135,2.5,2.5,2.5
103021068,42,44,47,807,867,1000,318,382,497,80,100,120,779,923,1267,0.8,0.8,0.8,617,763,982,2.5,2.4,2.4
103021069,40,41,43,784,1000,1000,363,459,579,100,135,150,949,1067,1354,0.7,0.8,0.7,722,888,1101,2.5,2.4,2.4
103031070,40,42,44,1083,1352,1300,348,432,495,140,180,233,977,1127,1257,0.8,0.8,0.7,683,834,923,2.3,2.3,2.2
103031071,41,43,46,1200,1517,1517,363,478,542,125,155,200,1090,1296,1426,0.8,0.8,0.8,858,991,1126,2.6,2.5,2.4
103031072,37,38,37,1200,1733,1766,391,515,636,166,240,300,1041,1375,1632,0.8,0.8,0.8,783,1067,1306,2.4,2.5,2.5
103031073,45,46,50,889,1083,1192,304,371,450,110,150,190,746,920,1066,0.8,0.8,0.7,606,701,771,2.3,2.2,2.2
103031074,43,44,45,1000,1380,1517,332,405,499,120,150,200,846,1060,1331,0.8,0.8,0.8,661,877,1068,2.5,2.5,2.4
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,39,40,42,1083,1434,1500,391,531,620,140,165,220,1078,1369,1581,0.8,0.8,0.8,863,1095,1227,2.6,2.5,2.5
103041077,38,38,41,1121,1473,1472,412,527,589,160,210,250,1079,1288,1400,0.8,0.8,0.7,798,992,1074,2.3,2.3,2.2
103041078,33,33,34,1350,1800,1733,498,662,738,185,270,320,1236,1701,1871,0.8,0.8,0.8,1092,1444,1579,2.7,2.7,2.7
103041079,39,41,42,1250,1538,1647,467,578,693,120,160,200,1162,1453,1816,0.8,0.8,0.8,1030,1217,1481,2.7,2.7,2.7
104011080,41,41,43,973,1300,1300,357,427,496,150,205,250,857,980,1182,0.8,0.8,0.8,643,790,922,2.4,2.4,2.3
104011081,43,45,49,867,1213,1300,318,383,464,130,180,240,788,927,1139,0.8,0.8,0.8,660,796,952,2.6,2.5,2.5
104011082,48,51,55,1083,1467,1430,323,390,469,170,240,290,699,872,1076,0.8,0.8,0.7,609,747,890,2.3,2.2,2.2
104021083,41,42,44,1083,1350,1408,357,439,529,185,255,300,839,973,1238,0.8,0.8,0.8,664,844,1051,2.5,2.5,2.5
104021084,40,41,42,1213,1600,1603,361,463,556,180,250,300,884,1078,1305,0.8,0.8,0.8,678,860,1045,2.4,2.3,2.4
104021085,43,43,45,1083,1616,1517,352,467,561,180,250,300,876,1085,1317,0.8,0.8,0.8,634,836,1008,2.2,2.2,2.2
104021086,39,42,43,1083,1517,1582,367,479,590,160,250,300,951,1171,1435,0.8,0.9,0.9,801,1024,1291,2.8,2.7,2.8
104021087,44,47,52,812,1083,1083,302,377,473,120,160,200,685,855,1112,0.8,0.8,0.8,582,701,818,2.3,2.2,2.2
104021088,41,41,43,1300,1733,1733,454,560,675,240,330,380,1116,1368,1627,0.8,0.8,0.8,1020,1229,1455,2.7,2.7,2.7
104021089,40,42,44,1192,1581,1600,371,467,560,185,250,309,932,1097,1325,0.8,0.8,0.8,731,896,1088,2.6,2.5,2.5
104021090,48,49,52,1028,1408,1517,321,410,523,165,230,280,723,926,1229,0.8,0.8,0.8,591,771,993,2.2,2.3,2.2
104021091,44,44,44,1000,1500,1560,329,435,528,180,260,310,758,965,1279,0.8,0.8,0.8,620,839,1052,2.5,2.5,2.5
105011092,32,34,35,650,867,894,375,514,606,95,90,100,912,1098,1329,0.8,0.9,0.8,787,965,1096,2.8,2.6,2.5
105011093,35,35,36,900,1300,1300,455,581,705,120,140,160,1274,1554,1922,0.8,0.8,0.7,1069,1225,1461,2.6,2.4,2.4
105011094,38,40,43,620,810,867,365,451,537,90,120,150,877,1011,1264,0.8,0.8,0.7,694,820,1008,2.5,2.5,2.4
105011095,39,40,42,821,979,1000,383,478,629,100,130,150,940,1135,1485,0.8,0.8,0.7,693,879,1102,2.5,2.4,2.3
105011096,39,41,42,607,806,737,323,384,461,65,95,140,707,938,1031,0.9,0.9,0.9,582,726,822,2.4,2.3,2.3
105021097,42,43,45,650,969,953,334,414,527,110,150,189,829,996,1279,0.8,0.8,0.7,619,794,974,2.3,2.2,2.2
105021098,40,39,39,737,455,625,325,431,497,40,50,100,681,936,1145,0.8,0.8,0.8,622,857,978,2.4,2.4,2.5
105031099,43,45,49,693,910,906,322,380,475,100,120,152,742,871,1101,0.8,0.8,0.7,606,710,876,2.4,2.4,2.3
105031100,32,34,37,1213,1517,1517,486,584,673,165,200,260,1156,1385,1545,0.8,0.8,0.8,1039,1155,1332,2.8,2.7,2.6
105031101,36,37,36,1192,1517,1517,459,577,700,165,200,275,1123,1346,1637,0.8,0.8,0.8,915,1038,1324,2.4,2.4,2.4
105031102,33,34,34,1101,1300,1452,425,566,682,135,185,270,994,1234,1491,0.8,0.8,0.8,801,1049,1280,2.7,2.7,2.6
105031103,39,42,42,1192,1555,1638,470,576,687,110,134,200,1153,1384,1707,0.8,0.8,0.8,1091,1212,1482,2.9,2.7,2.8
105031104,41,44,45,867,975,1083,355,419,538,100,125,160,861,940,1202,0.8,0.8,0.7,662,785,990,2.5,2.4,2.4
105031105,38,39,42,867,1083,1100,394,493,589,110,140,184,947,1079,1360,0.8,0.8,0.8,726,852,1076,2.6,2.5,2.5
105031106,41,41,42,867,1100,1083,337,405,491,100,130,180,811,942,1209,0.8,0.8,0.8,624,770,937,2.5,2.4,2.4
106011107,36,35,36,1300,1800,1820,453,604,706,185,300,320,1247,1688,1924,0.8,0.8,0.8,1136,1536,1663,2.8,2.8,2.7
106011108,37,37,38,1170,1517,1478,344,444,499,160,225,280,970,1178,1262,0.8,0.8,0.8,727,933,1042,2.6,2.5,2.5
106011109,40,41,43,1200,1625,1690,379,494,584,150,215,270,1062,1332,1640,0.8,0.9,0.8,916,1147,1405,2.7,2.7,2.7
106011110,41,44,45,1200,1582,1662,385,484,578,145,184,242,1066,1275,1474,0.8,0.8,0.8,873,1012,1225,2.6,2.5,2.5
106011111,37,37,38,1083,1495,1430,348,451,516,155,220,280,950,1184,1362,0.8,0.9,0.8,720,972,1121,2.6,2.6,2.6
106011112,33,33,35,1400,2000,1842,484,655,690,180,280,290,1432,1977,1960,0.8,0.8,0.8,1249,1673,1630,2.8,2.7,2.6
106011113,37,40,42,1403,2000,2000,490,605,635,135,200,250,1369,1816,1921,0.8,0.8,0.8,1245,1593,1693,2.8,2.8,2.8
106021114,38,39,35,1300,1600,1800,376,493,646,150,245,350,1077,1346,1697,0.8,0.8,0.8,783,1045,1421,2.5,2.4,2.6
106021115,36,37,38,1300,1733,1733,427,558,630,175,250,300,1170,1509,1604,0.8,0.8,0.8,987,1209,1298,2.6,2.6,2.5
106021116,38,39,39,1406,2000,2000,488,672,761,210,315,350,1420,1995,2139,0.8,0.8,0.8,1259,1733,1840,2.8,2.8,2.8
106021117,34,34,34,1300,1733,1733,408,539,615,180,270,330,1119,1514,1576,0.8,0.8,0.8,983,1280,1376,2.7,2.7,2.7
106021118,32,34,35,1329,1768,1760,501,656,724,200,270,340,1327,1755,1858,0.8,0.8,0.8,1245,1623,1733,3,3,2.9
106031119,39,41,46,1333,1810,1840,386,465,533,220,300,350,1017,1186,1402,0.8,0.8,0.8,826,975,1159,2.7,2.6,2.5
106031120,44,45,49,1083,1517,1517,348,435,483,190,250,320,810,997,1174,0.7,0.7,0.7,661,864,971,2.4,2.4,2.4
106031121,48,49,52,1338,1733,1733,385,485,565,200,275,330,994,1132,1357,0.7,0.7,0.7,749,898,1101,2.3,2.3,2.3
106031122,34,36,38,1186,1517,1463,367,489,551,150,220,270,944,1199,1320,0.8,0.8,0.8,783,987,1087,2.6,2.6,2.5
106031123,37,40,42,1400,1842,1950,542,637,717,185,235,300,1507,1822,1996,0.8,0.9,0.8,1433,1769,1875,3.2,3.2,3
106031124,56,59,62,1200,1613,1517,349,422,484,185,240,295,693,864,1086,0.7,0.7,0.7,616,766,910,2.1,2.1,2
106031125,35,37,39,1343,1749,1733,443,559,646,180,240,320,1130,1448,1706,0.8,0.8,0.8,1039,1268,1485,2.8,2.8,2.8
106041126,33,33,34,1300,1733,1668,453,623,630,160,240,250,1251,1721,1640,0.8,0.8,0.7,1088,1429,1334,2.6,2.5,2.5
106041127,36,37,40,1200,1822,1943,453,611,673,120,180,230,1181,1644,1737,0.8,0.8,0.8,1012,1373,1376,2.6,2.6,2.6
106041128,38,37,39,1200,1800,1800,457,584,676,150,200,250,1152,1552,1751,0.8,0.8,0.7,928,1144,1332,2.4,2.5,2.4
106041129,40,40,42,1040,1400,1517,425,528,595,100,130,190,1072,1292,1488,0.8,0.8,0.8,844,1025,1176,2.5,2.4,2.4
107011131,39,40,41,1387,1733,1733,370,464,539,170,235,320,1054,1228,1455,0.8,0.8,0.8,875,1002,1216,2.6,2.6,2.6
107011132,32,34,35,1600,2000,1950,521,588,700,250,330,408,1402,1716,1920,0.8,0.8,0.8,1340,1626,1835,3.1,3.1,3.1
107011133,0,53,56,0,0,0,0,325,349,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0
107011134,36,38,40,1500,1850,1871,426,521,609,155,215,293,1327,1637,1861,0.8,0.8,0.8,1149,1346,1516,2.9,2.8,2.8
107011545,38,39,38,1300,1621,1625,301,378,470,145,185,280,856,1041,1271,0.8,0.9,0.9,669,878,1048,2.6,2.6,2.6
107011546,43,42,42,1300,1647,1625,279,362,446,120,170,240,731,906,1122,0.8,0.9,0.9,570,727,873,2.4,2.4,2.4
107011547,46,49,50,1500,1837,1733,327,394,495,150,210,270,903,991,1384,0.8,0.9,0.8,608,749,899,2.2,2.2,2.2
107021135,0,31,67,0,0,0,0,549,374,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
107031136,31,34,35,1600,1993,1950,475,559,646,225,300,385,1304,1610,1830,0.8,0.8,0.8,1221,1491,1693,3.1,3,3
107031137,35,37,40,1339,1733,1700,393,466,550,199,250,320,1063,1209,1364,0.8,0.8,0.8,964,1033,1199,2.7,2.7,2.6
107031138,45,48,50,1517,2073,1983,441,545,649,231,300,397,1147,1368,1648,0.7,0.8,0.8,915,1042,1325,2.4,2.3,2.3
107031139,40,41,42,1400,1950,2000,470,605,714,240,320,400,1336,1673,1957,0.8,0.8,0.8,1187,1479,1775,2.8,2.7,2.8
107031140,43,45,47,1400,1950,2130,452,556,699,220,291,400,1251,1587,1895,0.8,0.8,0.8,1093,1262,1580,2.7,2.6,2.6
107031141,34,36,37,1733,2167,2167,480,578,696,250,335,420,1297,1710,1972,0.8,0.8,0.8,1172,1506,1808,2.9,2.9,3
107031142,37,39,42,1387,1796,1733,389,483,569,200,260,350,1136,1364,1488,0.8,0.8,0.8,992,1130,1294,2.7,2.7,2.6
107031143,39,41,42,1300,1700,1647,336,390,487,160,215,300,894,1024,1223,0.8,0.8,0.8,693,836,987,2.6,2.5,2.5
107041144,39,39,40,1551,2000,2001,376,464,550,180,250,330,1154,1433,1726,0.8,0.8,0.8,885,1028,1297,2.5,2.5,2.5
107041145,37,39,41,1500,1950,1950,376,466,573,160,220,280,1046,1276,1557,0.8,0.8,0.8,758,937,1151,2.4,2.4,2.4
107041146,37,37,37,1517,2000,2000,425,514,591,190,260,340,1308,1641,1899,0.8,0.8,0.8,1082,1252,1467,2.6,2.7,2.7
107041147,34,36,38,1857,2400,2288,569,698,834,270,350,470,1602,2049,2324,0.8,0.9,0.9,1438,1828,2153,3.1,3,3
107041148,39,40,42,1733,2167,2383,544,693,827,260,350,450,1530,2015,2302,0.8,0.9,0.9,1262,1674,2005,2.7,2.7,2.7
107041150,38,39,40,1704,2167,2167,441,555,696,190,250,320,1275,1654,2042,0.8,0.8,0.8,1042,1284,1607,2.6,2.6,2.6
107041548,35,32,36,1625,1907,1800,460,544,644,200,290,355,1201,1405,1693,0.8,0.9,0.9,848,1000,1228,1.9,2,1.9
107041549,34,33,32,1517,1800,1842,371,444,502,175,250,330,1133,1367,1603,0.8,0.9,0.9,797,978,1207,2.3,2.4,2.5
108011151,44,45,49,1000,1300,1365,333,398,475,135,180,225,844,1028,1183,0.8,0.8,0.8,649,859,982,2.5,2.5,2.4
108011152,49,52,54,1300,1517,1517,351,407,487,190,235,280,793,901,1094,0.7,0.7,0.7,631,745,879,2.2,2.2,2.1
108011153,44,48,51,1000,1300,1300,334,389,479,180,215,280,777,871,1099,0.8,0.8,0.8,644,779,936,2.5,2.4,2.4
108011154,58,59,61,1170,1363,1300,313,377,453,170,200,250,626,787,944,0.7,0.7,0.7,541,651,757,2,2,1.9
108021155,38,40,42,960,1300,1235,324,386,472,140,180,230,756,903,1097,0.8,0.8,0.8,623,756,887,2.5,2.5,2.5
108021156,44,47,50,867,1200,1300,311,384,472,150,185,225,766,914,1147,0.8,0.8,0.8,623,768,918,2.5,2.4,2.4
108021157,46,48,49,953,1200,1300,299,381,487,150,200,260,678,867,1160,0.8,0.8,0.8,585,727,924,2.4,2.3,2.3
108021158,50,52,56,999,1387,1270,298,373,451,145,194,250,616,814,963,0.8,0.8,0.8,534,664,757,2.1,2.1,2
108021159,44,47,48,867,1192,1300,291,381,471,140,180,230,672,881,1139,0.8,0.8,0.8,592,762,930,2.5,2.5,2.4
108021160,50,52,56,1164,1517,1500,321,386,480,180,230,280,644,873,1071,0.7,0.7,0.7,599,745,880,2.2,2.2,2.1
108031161,44,46,44,1083,1354,1867,549,602,762,168,125,220,1163,1284,1774,0.9,1,0.8,1006,959,1416,2.2,2.3,2.2
108041162,49,50,55,1172,1517,1519,325,399,483,185,250,300,736,912,1139,0.8,0.8,0.7,607,767,910,2.3,2.3,2.2
108041163,43,45,46,1300,1733,1733,398,502,597,200,270,333,1016,1153,1417,0.7,0.8,0.8,786,929,1152,2.4,2.3,2.3
108041164,48,49,50,1300,1717,1733,342,415,530,180,235,320,795,946,1273,0.8,0.8,0.8,612,757,958,2.1,2.2,2.2
108041165,43,46,47,1083,1415,1517,360,428,534,137,180,250,914,1042,1372,0.8,0.8,0.8,741,900,1172,2.6,2.5,2.6
108041166,41,42,44,1192,1571,1600,364,439,532,180,240,300,915,1016,1290,0.8,0.8,0.8,743,865,1106,2.6,2.6,2.6
108051167,46,50,52,1078,1500,1300,343,423,481,125,165,220,846,981,1121,0.8,0.7,0.7,665,808,903,2.3,2.3,2.2
108051168,44,47,51,1300,1517,1625,377,457,519,180,250,300,929,1039,1238,0.8,0.7,0.7,754,894,1041,2.5,2.4,2.4
108051169,42,44,46,1012,1300,1297,335,390,472,148,190,240,783,905,1097,0.8,0.8,0.8,618,739,851,2.4,2.3,2.3
108051170,46,50,53,1000,1300,1300,309,376,455,150,200,245,720,886,1078,0.8,0.8,0.8,617,766,887,2.5,2.4,2.3
108051171,41,45,47,1000,1300,1245,334,397,479,150,200,250,821,959,1150,0.8,0.8,0.8,646,769,912,2.5,2.4,2.4
109011172,34,34,35,1270,1600,1625,524,641,726,170,235,280,1303,1609,1824,0.8,0.8,0.8,1121,1315,1483,2.6,2.6,2.6
109011173,35,37,39,1083,1300,1300,424,511,599,150,200,231,1078,1248,1402,0.8,0.8,0.8,852,959,1116,2.5,2.4,2.4
109011174,38,41,44,1153,1517,1517,452,591,719,145,190,220,1232,1494,1780,0.8,0.8,0.7,913,1019,1221,2.3,2.2,2.1
109011175,41,42,43,1000,1300,1300,423,501,621,100,150,180,1078,1260,1522,0.8,0.8,0.8,890,1011,1237,2.6,2.6,2.6
109011176,36,38,40,1083,1300,1300,415,492,537,150,180,210,1042,1110,1242,0.8,0.8,0.8,784,839,931,2.3,2.2,2.2
109021177,39,44,46,693,997,979,404,444,590,110,128,145,983,991,1353,0.8,0.7,0.7,731,806,1086,2.5,2.4,2.3
109021178,39,41,44,900,1200,1200,387,463,543,110,150,173,992,1105,1309,0.8,0.8,0.8,792,889,1038,2.6,2.5,2.4
109021179,40,42,43,780,893,953,383,479,615,80,110,130,938,1050,1403,0.8,0.8,0.8,698,843,1129,2.5,2.4,2.5
109031180,44,46,49,1000,1300,1245,396,479,563,145,175,200,1046,1122,1296,0.7,0.7,0.7,783,871,998,2.4,2.3,2.2
109031181,44,47,49,997,1300,1300,377,444,561,130,175,200,967,1014,1315,0.8,0.8,0.7,746,863,1048,2.4,2.4,2.3
109031182,41,44,45,867,1083,1083,404,480,583,120,150,195,1026,1160,1385,0.7,0.7,0.7,756,858,1053,2.3,2.3,2.2
109031183,42,46,49,870,867,997,378,427,539,60,100,110,953,988,1274,0.8,0.8,0.7,724,815,1019,2.5,2.4,2.3
109031184,44,47,47,1237,1517,1560,417,481,600,185,225,275,1067,1099,1427,0.7,0.7,0.7,857,883,1168,2.4,2.3,2.3
109031185,45,48,48,867,1083,1083,390,430,535,105,140,170,977,968,1270,0.7,0.7,0.7,731,782,986,2.4,2.3,2.2
110011186,33,34,34,1040,1450,1452,380,488,564,160,210,260,1114,1293,1526,0.8,0.8,0.8,844,983,1198,2.4,2.4,2.4
