SA3_CODE_2016,Managers_C06_M,Managers_C06_F,Managers_C06_P,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Professionals_C06_M,Professionals_C06_F,Professionals_C06_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Tech_trad_wkrs_C06_M,Tech_trad_wkrs_C06_F,Tech_trad_wkrs_C06_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Com_pers_S_work_C06_Cens_M,Com_pers_S_work_C06_Cens_F,Com_pers_S_work_C06_Cens_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Cler_admin_work_C06_M,Cler_admin_work_C06_F,Cler_admin_work_C06_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Sales_workers_C06_M,Sales_workers_C06_F,Sales_workers_C06_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Mach_oper_driv_C06_M,Mach_oper_driv_C06_F,Mach_oper_driv_C06_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Labourers_C06_M,Labourers_C06_F,Labourers_C06_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Inadeq_descr_Ns_C06_M,Inadeq_descr_Ns_C06_F,Inadeq_descr_Ns_C06_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
10304,2336,1116,3451,2298,1109,3407,2260,1225,3482,1559,2191,3751,1798,2687,4483,1866,3178,5043,2770,509,3288,3159,580,3738,3154,592,3752,501,1448,1953,604,1753,2362,706,2069,2769,526,2523,3054,628,2773,3400,590,2697,3288,781,1329,2107,792,1341,2134,863,1420,2283,1646,130,1784,2103,199,2299,1738,147,1890,1828,1041,2871,1744,1070,2811,1849,961,2810,198,145,349,238,151,389,216,184,403,12151,10447,22601,13363,11666,25029,13245,12481,25729
10401,1455,785,2235,1330,781,2113,1262,736,2001,979,1386,2359,1021,1527,2551,999,1688,2687,2016,374,2391,2078,413,2493,2045,442,2485,595,1298,1892,708,1633,2347,723,1691,2413,329,1669,2004,369,1763,2131,408,1717,2125,676,1222,1901,666,1345,2015,606,1273,1883,1172,67,1234,1219,68,1287,1225,65,1294,1674,781,2458,1640,737,2377,1514,716,2231,168,113,280,181,115,297,174,120,299,9062,7694,16755,9220,8370,17590,8961,8458,17415
10402,2596,1437,4037,2635,1584,4220,2619,1659,4276,2246,2961,5207,2480,3517,5993,2523,4088,6609,3751,656,4402,3947,695,4640,3967,733,4702,971,2319,3289,1080,2807,3887,1183,3086,4266,743,3375,4115,810,3672,4481,836,3544,4382,1282,2252,3532,1324,2328,3649,1339,2259,3600,1457,108,1564,1646,122,1764,1777,133,1903,2363,1344,3706,2542,1271,3808,2846,1497,4343,289,205,494,287,203,490,342,243,584,15698,14648,30343,16750,16196,32946,17426,17236,34661
10501,1901,904,2802,1676,847,2522,1395,722,2114,399,863,1260,409,849,1255,360,822,1181,1104,197,1301,1053,176,1229,939,179,1121,299,760,1057,291,845,1136,289,830,1119,135,884,1017,136,855,993,118,749,865,159,400,561,158,381,541,137,354,493,1094,103,1198,1038,117,1155,856,90,947,1005,538,1546,893,448,1346,746,414,1158,152,99,250,144,92,234,117,87,203,6243,4747,10988,5794,4613,10411,4955,4250,9203
10502,738,462,1193,722,427,1151,599,428,1033,431,717,1144,406,772,1186,390,812,1201,980,180,1158,998,189,1182,891,170,1066,301,650,944,327,789,1110,336,818,1154,205,679,881,195,699,892,161,636,804,235,526,767,197,487,687,259,465,720,752,32,783,809,26,832,725,35,758,645,395,1039,629,406,1034,572,372,943,110,66,174,84,66,150,105,55,159,4384,3695,8084,4373,3860,8233,4044,3792,7839
10503,3548,1722,5268,3442,1609,5055,3219,1600,4818,1523,2686,4205,1589,3217,4799,1544,3337,4884,3253,596,3843,3327,599,3927,3448,600,4052,668,1908,2573,878,2413,3297,946,2712,3658,601,2869,3469,704,3007,3709,657,2880,3544,1093,1725,2819,1067,1779,2850,1136,1737,2871,1704,128,1828,1849,131,1977,1789,146,1933,2374,1300,3672,2228,1170,3401,2237,1184,3421,237,182,424,249,183,433,290,198,492,15004,13106,28106,15330,14120,29447,15272,14394,29666
10601,2241,1255,3500,2329,1374,3708,2331,1441,3772,1545,2094,3637,1723,2469,4191,1546,2773,4322,5373,803,6172,5833,936,6773,5567,959,6528,792,2177,2967,844,2640,3480,1123,2990,4119,541,3031,3567,623,3588,4215,598,3495,4086,792,2162,2955,797,2338,3129,937,2411,3346,4066,315,4382,5100,473,5569,4518,566,5083,2430,1725,4150,2501,1843,4345,2673,1885,4554,339,216,552,427,227,655,381,214,596,18111,13777,31886,20189,15885,36066,19668,16740,36407
10602,1738,869,2603,1934,1057,2990,2035,1209,3238,1785,2308,4102,2158,2915,5077,2132,3554,5687,3993,614,4604,4727,722,5451,4970,837,5809,645,1619,2269,685,2040,2725,965,2775,3741,761,3043,3802,815,3443,4257,769,3695,4467,945,1918,2867,939,2050,2991,1131,2282,3410,2250,173,2427,2853,207,3061,2968,287,3257,1832,1019,2856,1877,1102,2977,2202,1271,3468,239,164,397,294,153,443,317,176,497,14190,11726,25920,16280,13684,29965,17481,16090,33572
10603,1858,988,2844,1936,1104,3037,1896,1123,3023,1442,1785,3228,1629,2216,3847,1656,2362,4019,3979,567,4550,4469,648,5117,4276,667,4940,791,1804,2589,915,2163,3085,962,2602,3562,649,2718,3366,689,2971,3657,650,2942,3601,806,1889,2695,881,2029,2912,881,2027,2905,1772,91,1866,2098,161,2254,2082,194,2272,1849,1066,2918,1847,1131,2973,2002,1151,3151,253,164,416,283,159,439,306,167,473,13401,11068,24468,14743,12580,27321,14718,13231,27956
10604,1262,646,1903,1183,650,1832,1075,608,1684,530,839,1372,563,984,1551,463,1023,1489,2117,397,2519,2233,383,2611,2018,389,2410,187,763,955,202,873,1075,220,873,1092,160,1112,1272,195,1229,1420,147,1134,1273,274,701,973,256,775,1034,270,713,981,1532,98,1633,1944,228,2168,1740,285,2026,1297,807,2109,1167,827,1997,1096,774,1876,103,76,182,165,79,241,130,72,206,7474,5445,12917,7896,6036,13930,7160,5875,13027
10701,1544,848,2398,1546,853,2400,1614,1032,2649,1696,2175,3871,1895,2457,4349,1933,2914,4849,4324,628,4953,4339,627,4969,4536,703,5234,867,1804,2670,962,2353,3313,1026,2771,3796,847,3143,3989,871,3304,4178,924,3438,4365,910,2002,2910,951,2028,2980,1033,2092,3123,2619,254,2874,2720,133,2852,2485,132,2621,2286,1190,3470,2245,1164,3409,2317,1180,3489,354,172,518,321,200,521,283,209,495,15446,12211,27662,15857,13117,28973,16154,14469,30624
10702,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,7
10703,2224,1144,3370,2390,1306,3693,2545,1486,4029,2375,2980,5358,2566,3517,6086,2581,4064,6642,5110,719,5826,5413,792,6207,5719,892,6614,1037,2427,3459,1246,2981,4223,1425,3600,5027,901,3701,4600,952,4138,5091,924,4203,5126,1125,2540,3660,1230,2614,3848,1295,2760,4052,2870,228,3096,3049,167,3216,2954,197,3145,2403,1234,3636,2459,1175,3633,2573,1236,3812,358,210,570,355,215,574,380,232,609,18402,15183,33585,19661,16901,36562,20387,18676,39059
10704,3554,1827,5379,3731,2095,5827,4122,2472,6596,5886,6554,12443,6550,7702,14249,6916,8721,15637,6396,1059,7460,6564,1135,7696,6658,1158,7818,1817,3223,5043,2189,3994,6178,2432,4693,7125,1635,5675,7305,1641,5994,7632,1687,5949,7632,1618,2820,4434,1611,2827,4441,1792,3025,4817,2873,246,3124,2927,150,3085,2690,155,2850,2501,1170,3666,2676,1263,3936,2974,1310,4282,471,305,776,520,318,839,515,360,880,26744,22878,49626,28399,25487,53887,29790,27851,57644
10801,858,468,1324,818,433,1252,780,439,1216,544,734,1282,576,873,1450,545,1018,1565,1276,252,1524,1193,240,1426,1282,291,1578,259,769,1030,308,876,1187,328,963,1289,160,919,1079,166,947,1110,168,938,1107,360,734,1094,405,786,1199,441,810,1253,567,26,589,581,32,614,568,34,599,907,491,1396,848,461,1313,849,449,1296,95,59,160,103,67,164,125,79,201,5025,4440,9473,5004,4714,9717,5078,5016,10095
10802,1330,751,2078,1241,730,1968,1128,740,1870,757,1261,2016,796,1447,2243,795,1565,2364,1833,337,2168,1872,336,2209,1850,383,2235,485,1248,1731,587,1529,2119,649,1642,2299,280,1411,1687,286,1533,1818,275,1437,1717,506,970,1473,494,1094,1583,500,1014,1511,918,70,987,1011,77,1091,1013,80,1092,1361,703,2069,1433,659,2098,1559,716,2275,152,102,258,164,101,267,200,136,339,7612,6854,14467,7891,7503,15394,7987,7716,15699
10803,25,28,51,24,22,48,25,22,56,19,16,30,10,8,17,6,8,19,33,3,37,25,10,32,28,5,35,10,13,25,12,21,31,9,20,25,3,14,12,4,15,23,3,17,21,0,9,12,5,6,10,10,4,16,0,0,0,3,0,3,8,0,8,20,27,48,24,27,49,22,17,42,3,4,5,0,0,3,9,6,13,118,99,215,110,104,213,117,106,225
10804,2087,1139,3218,2113,1196,3308,2074,1268,3343,1856,2371,4222,2164,2931,5092,2349,3483,5824,3309,602,3906,3457,641,4100,3642,729,4378,723,1837,2555,886,2360,3245,1081,2735,3819,637,2956,3592,760,3267,4027,715,3199,3913,1137,1932,3066,1227,1976,3204,1188,2049,3236,1251,74,1327,1388,89,1482,1530,94,1618,1839,1011,2845,1809,978,2780,1988,1096,3080,216,161,374,207,185,388,270,166,444,13042,12071,25112,14004,13621,27630,14839,14818,29660
10805,1667,874,2538,1500,795,2291,1414,859,2271,1027,1542,2569,1105,1851,2962,1097,1970,3070,2376,385,2767,2358,398,2760,2157,410,2569,448,1276,1729,513,1596,2109,549,1766,2320,357,1769,2129,385,1719,2108,361,1671,2029,698,1208,1903,683,1357,2040,776,1335,2116,1179,92,1270,1229,80,1313,1207,81,1288,1710,971,2676,1684,833,2518,1676,855,2529,168,109,274,148,104,247,167,122,294,9626,8230,17860,9604,8737,18343,9406,9071,18484
10901,2434,1223,3655,2388,1170,3555,2288,1264,3554,1788,2532,4318,1921,2861,4783,1989,3119,5113,3364,599,3963,3399,624,4023,3387,614,4002,590,1656,2251,722,2052,2768,851,2404,3253,697,2778,3474,671,2964,3633,677,2845,3524,997,1814,2814,966,1765,2734,1049,1794,2840,1880,232,2117,1877,197,2066,1735,149,1879,1924,1125,3047,1826,1058,2893,1793,1069,2866,249,151,399,244,188,439,255,148,401,13922,12108,26037,14006,12885,26891,14020,13408,27430
10902,1030,461,1490,923,402,1326,817,371,1189,231,391,619,216,404,623,189,412,600,625,140,764,583,125,703,552,120,673,92,381,478,109,372,475,106,397,502,86,456,541,87,484,573,68,480,551,137,245,382,133,236,371,143,240,383,428,31,463,447,37,478,431,38,468,631,369,998,539,303,840,512,307,822,84,56,146,67,41,106,70,49,115,3347,2538,5877,3096,2400,5498,2885,2412,5298
10903,2967,1363,4335,2698,1164,3865,2469,1088,3558,701,1265,1966,724,1387,2110,698,1536,2236,2043,419,2462,2010,412,2421,1913,411,2327,314,1157,1469,341,1351,1694,348,1424,1776,271,1539,1811,276,1518,1795,260,1557,1818,503,921,1419,492,971,1461,502,969,1471,1242,110,1351,1272,107,1382,1234,77,1309,1792,1028,2821,1574,904,2477,1613,969,2586,179,132,311,178,119,296,183,111,296,10012,7936,17952,9575,7921,17498,9213,8156,17372
11001,1892,1002,2891,1868,1007,2872,1781,926,2713,1360,1683,3046,1406,1885,3291,1408,2007,3416,1551,355,1900,1604,343,1949,1485,361,1845,403,981,1387,462,1133,1595,538,1190,1722,316,1529,1850,369,1649,2012,353,1577,1937,542,829,1368,561,919,1482,581,865,1451,573,40,608,624,47,676,619,55,671,1138,627,1764,1177,616,1794,1261,672,1935,134,93,230,140,88,233,115,90,203,7905,7133,15044,8209,7689,15899,8153,7737,15891
11002,2393,1171,3563,2170,1063,3239,1964,1037,3003,588,1126,1720,579,1266,1845,556,1287,1834,1445,325,1772,1526,319,1838,1450,307,1755,344,1031,1376,354,1168,1523,361,1230,1589,222,1189,1412,221,1217,1438,210,1189,1403,465,736,1198,493,860,1347,436,825,1265,869,64,928,902,67,969,870,65,935,1522,680,2201,1468,728,2196,1483,750,2236,167,123,284,149,108,265,178,147,323,8008,6445,14455,7866,6790,14655,7506,6839,14341
11003,1961,862,2824,1743,740,2479,1505,688,2193,514,885,1402,510,946,1456,500,1019,1512,1229,221,1449,1245,226,1470,1167,221,1385,194,670,860,219,700,915,203,817,1018,195,1189,1384,172,1200,1365,154,1101,1251,341,585,924,316,610,927,338,550,887,987,78,1071,1113,116,1229,1076,81,1160,1137,473,1610,946,461,1408,908,481,1387,121,90,210,142,90,236,136,78,213,6678,5056,11732,6396,5099,11494,5977,5029,11012
11004,3627,1827,5458,3393,1698,5094,3275,1698,4978,1841,2892,4730,1881,3328,5213,1974,3681,5651,3642,697,4344,3926,752,4675,4091,779,4866,671,1987,2661,771,2429,3204,803,2789,3600,631,3159,3785,704,3416,4124,662,3304,3969,1182,1895,3082,1147,2052,3196,1135,2067,3206,2184,166,2349,2664,182,2848,2770,248,3013,2948,1618,4564,3006,1636,4650,3151,1730,4880,289,187,475,342,193,542,351,231,586,17019,14426,31446,17839,15697,33535,18209,16532,34742
11101,3383,1651,5031,3491,1818,5307,3504,1917,5422,4259,5190,9455,4818,5985,10808,4746,6695,11442,7232,1090,8315,7336,1126,8466,7071,1163,8225,1404,3046,4450,1587,3648,5235,1779,4301,6074,1541,6334,7870,1611,6738,8346,1487,6266,7752,2013,3660,5674,1953,3799,5746,1973,3417,5387,2885,218,3110,3218,259,3472,2868,256,3122,3065,1573,4642,3232,1587,4818,3235,1586,4818,494,257,753,470,290,760,423,285,707,26279,23016,49302,27714,25248,52961,27088,25880,52963
11102,1682,887,2566,1714,1000,2710,1792,1108,2903,1836,2393,4224,2038,2808,4839,2039,3352,5391,4201,613,4816,4622,708,5334,4560,798,5355,643,1762,2404,776,2218,2990,914,2723,3636,730,3060,3789,790,3459,4247,818,3465,4279,933,1927,2865,898,2049,2950,1043,2066,3106,2154,172,2332,2465,200,2662,2397,209,2606,2065,1199,3262,2241,1185,3433,2292,1230,3524,282,166,448,279,187,468,332,197,529,14523,12184,26707,15817,13819,29639,16191,15149,31339
11103,4025,2328,6351,4508,2692,7197,4679,2976,7651,7272,8117,15393,8663,9878,18539,9060,11452,20509,8078,1367,9450,8538,1533,10073,8252,1628,9874,2024,4416,6443,2530,5133,7667,3019,6330,9355,2084,7258,9344,2341,7914,10250,2260,7673,9929,2476,4285,6762,2579,4626,7206,2641,4393,7035,3584,289,3878,4049,321,4366,3741,314,4050,4141,2258,6395,4410,2306,6712,4415,2242,6655,566,363,932,640,408,1051,636,444,1080,34254,30684,64940,38258,34804,73065,38698,37448,76144
11201,2711,1617,4329,2724,1615,4341,2792,1754,4549,2620,3279,5899,2812,3794,6609,3075,4403,7483,3687,669,4357,3613,720,4338,3802,786,4594,912,2183,3094,1010,2568,3574,1132,2897,4028,587,2858,3442,585,2938,3530,625,2865,3484,1163,2133,3292,1207,2132,3345,1213,2112,3325,1208,146,1358,1286,139,1427,1278,141,1418,2321,1198,3521,2148,1113,3262,2203,1204,3404,264,202,464,283,202,486,315,238,554,15475,14278,29753,15669,15235,30898,16434,16408,32839
11202,2547,1350,3895,2474,1355,3824,2254,1260,3510,1769,2663,4438,1884,2984,4867,1753,3069,4825,3016,582,3599,3122,618,3737,2936,623,3560,710,1893,2605,872,2283,3156,884,2478,3369,674,2762,3429,693,2862,3552,636,2753,3391,1145,1831,2973,1058,1888,2944,1066,1708,2775,1621,151,1763,1641,137,1771,1644,157,1800,2815,1411,4224,2734,1337,4070,2745,1438,4188,250,139,391,237,155,387,253,183,433,14535,12788,27322,14711,13610,28324,14185,13669,27858
11203,2192,1186,3386,2347,1325,3669,2450,1502,3954,1803,2418,4225,2214,3217,5427,2337,3826,6168,4211,665,4876,4392,740,5129,4757,840,5595,943,2286,3236,1087,2961,4048,1393,3522,4917,639,3078,3720,681,3424,4104,773,3585,4356,1263,2265,3527,1376,2469,3845,1411,2513,3927,1691,130,1817,1814,159,1974,1850,174,2029,2554,1398,3957,2524,1420,3939,2715,1464,4179,306,211,517,312,207,522,346,262,603,15611,13644,29262,16748,15919,32665,18032,17700,35731
11301,3289,1294,4587,2963,1142,4106,2745,1109,3851,942,1494,2430,932,1568,2501,926,1742,2667,2323,462,2789,2301,501,2795,2328,458,2784,281,1163,1445,326,1318,1641,368,1486,1858,362,2010,2372,351,2080,2430,344,2034,2379,583,1192,1773,611,1261,1871,610,1236,1844,1403,118,1520,1480,114,1595,1574,151,1723,2429,1446,3875,2319,1281,3601,2455,1426,3883,250,144,391,231,158,384,249,144,393,11860,9326,21181,11516,9417,20934,11602,9782,21383
11302,806,383,1190,728,351,1082,673,370,1044,314,417,733,311,441,748,257,474,730,777,134,906,845,121,968,715,118,836,117,384,505,122,456,580,120,466,584,82,493,575,81,528,610,95,483,579,103,336,442,104,360,463,104,324,428,646,46,692,677,35,715,686,44,731,701,420,1121,644,399,1040,572,398,972,45,22,68,78,36,114,74,31,106,3588,2644,6230,3590,2722,6315,3293,2712,6010
11303,4346,2146,6496,4207,2008,6219,4055,2108,6163,2601,3651,6250,2802,4220,7021,2799,4661,7461,5119,864,5986,5391,992,6385,5228,1017,6250,1293,2653,3951,1393,3091,4482,1557,3629,5188,973,3981,4958,946,4094,5040,892,4037,4932,1468,2559,4025,1465,2477,3948,1512,2508,4018,2238,215,2448,2447,199,2650,2362,201,2563,3079,1802,4886,2997,1714,4708,3122,1794,4913,311,214,527,379,259,634,369,215,580,21431,18090,39526,22028,19058,41087,21887,20170,42056
11401,2593,1452,4044,2549,1465,4007,2570,1627,4195,2246,2834,5083,2297,3355,5652,2391,3718,6112,4799,772,5574,4970,831,5804,5365,876,6242,1062,2416,3479,1306,3094,4403,1488,3529,5021,657,3232,3898,697,3453,4152,684,3451,4131,1125,2242,3369,1265,2380,3653,1344,2556,3898,1682,136,1819,1806,123,1932,1838,127,1969,2301,1261,3563,2468,1204,3676,2718,1365,4087,274,196,467,314,206,517,366,240,605,16749,14547,31292,17674,16108,33785,18769,17502,36268
11402,1739,935,2671,1813,1016,2826,1896,1106,2998,1652,1853,3501,1750,2123,3867,1763,2405,4167,2448,506,2949,2523,501,3024,2690,588,3283,454,1229,1680,555,1394,1947,600,1634,2236,421,1860,2276,407,1935,2340,412,1914,2326,607,1125,1729,652,1173,1823,729,1271,2001,1041,98,1138,1061,96,1163,1067,117,1181,1199,738,1937,1216,717,1929,1330,778,2111,183,103,292,203,140,347,207,131,332,9732,8456,18183,10172,9095,19264,10682,9948,20627
11501,8369,3251,11620,8525,3518,12038,8574,3972,12552,9322,9068,18391,10311,10270,20581,11062,11454,22508,5874,1095,6972,5846,1065,6915,5627,1110,6739,1394,3035,4428,1571,3422,4990,1783,3760,5539,2745,9181,11926,2850,9081,11929,3035,8652,11688,3243,3983,7226,3147,3785,6930,3159,3752,6913,1595,237,1828,1594,200,1795,1719,187,1913,1992,1015,3003,1935,931,2866,2171,975,3143,618,501,1117,606,460,1063,683,531,1215,35155,31353,66506,36380,32728,69104,37818,34389,72214
