SUA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
1010,701,1247,887,606,762,205,88,4490,262,330,196,145,154,49,15,1146,44,53,40,23,23,10,3,193,1386,2549,2033,1468,1933,617,280,10260,43,90,72,40,58,10,9,323,89,103,59,38,42,19,4,344,126,189,131,74,100,30,9,669,1514,2742,2164,1547,2035,644,288,10934,1731,1767,1009,714,661,153,74,6101,25,30,21,24,19,8,0,127,3270,4544,3192,2282,2712,799,362,17163
1011,209,342,231,167,161,39,12,1160,29,32,23,15,6,0,0,101,11,17,9,7,5,0,0,56,338,654,497,368,426,102,31,2427,14,12,20,22,15,0,0,82,23,30,26,10,14,0,0,116,34,48,48,31,35,0,0,200,377,708,551,402,465,107,29,2631,355,292,194,131,107,31,6,1125,9,13,4,3,6,0,0,40,739,1015,747,544,577,135,40,3793
1012,144,182,117,77,70,11,4,593,26,14,10,5,4,3,0,54,17,25,11,7,8,0,0,63,291,425,300,201,217,42,12,1478,4,8,14,3,5,0,0,41,16,13,12,6,3,0,0,53,18,26,22,12,15,0,0,91,306,451,328,213,228,42,12,1575,246,223,117,85,47,8,0,726,7,10,7,8,4,0,0,35,567,687,445,297,275,48,13,2332
1013,37,76,73,42,40,5,0,283,11,11,3,8,4,0,0,34,5,4,6,3,0,0,0,18,83,151,129,89,91,20,4,564,0,9,7,0,0,0,0,19,5,4,0,0,0,0,0,8,5,9,7,0,3,0,0,24,82,162,135,90,99,20,4,588,95,92,55,44,33,3,0,324,4,6,0,3,0,0,0,19,187,256,195,136,129,25,11,933
1014,61,130,67,50,40,11,0,361,9,9,5,3,0,0,0,28,12,12,6,0,0,0,0,25,121,234,165,109,115,24,6,784,0,12,3,0,6,0,0,18,13,12,10,4,7,0,0,43,11,18,13,9,8,0,0,67,142,260,174,114,124,24,6,852,119,137,78,42,42,0,0,424,0,0,4,3,0,0,0,8,261,394,262,162,172,29,6,1280
1015,73,116,84,52,49,0,0,383,6,10,8,7,4,0,0,34,0,0,0,0,0,0,0,5,120,202,162,103,111,14,5,718,0,14,8,4,12,0,0,34,4,11,8,4,3,0,0,37,10,22,16,3,10,0,0,71,127,231,181,105,123,17,4,785,185,177,86,68,59,7,0,576,0,10,8,5,0,0,0,26,313,420,275,174,181,25,4,1391
1016,44,81,57,30,47,7,0,271,4,6,3,0,3,0,0,15,6,6,8,0,3,0,0,26,87,161,114,89,108,19,11,588,0,7,0,0,5,0,0,13,4,7,4,4,0,0,0,21,3,14,6,3,7,0,0,31,89,174,124,92,117,19,11,624,118,87,43,24,19,5,0,298,0,5,7,0,0,0,0,16,214,273,168,112,138,23,7,935
1017,47,81,65,43,31,6,0,271,11,7,14,7,9,3,0,50,0,5,4,0,0,0,0,17,92,161,124,88,96,9,3,583,7,22,10,9,7,0,0,60,8,13,0,3,0,0,0,26,18,28,13,14,8,0,0,88,106,193,137,98,110,14,3,667,171,158,82,60,54,8,6,536,3,7,9,3,3,0,0,32,280,355,228,168,167,19,11,1228
1018,71,134,117,75,103,15,5,523,20,16,4,11,6,0,0,58,0,7,6,0,0,0,0,17,130,244,207,173,230,46,11,1039,0,4,0,8,9,0,0,20,8,27,15,7,7,0,0,66,10,25,18,14,15,4,0,87,140,267,224,187,244,45,11,1122,158,169,114,86,72,11,3,612,11,7,3,4,0,0,0,23,308,445,339,276,318,60,20,1760
1019,18,61,30,29,37,7,0,182,7,8,4,6,0,0,0,34,4,5,6,0,0,0,0,7,29,102,59,61,58,8,4,328,5,5,3,0,6,0,0,21,4,6,6,0,0,0,0,23,12,8,9,0,11,5,0,45,36,120,71,64,64,15,4,373,86,90,56,43,26,4,0,305,0,0,0,0,0,0,0,0,129,206,128,109,89,12,4,677
1020,27,58,40,45,30,11,0,217,5,6,9,5,0,0,0,33,3,9,3,4,0,0,0,14,57,120,93,76,84,25,5,458,0,4,3,0,0,0,0,15,4,4,3,0,0,0,0,11,3,6,3,0,0,0,0,26,67,128,99,80,82,24,3,485,56,62,34,28,27,3,3,221,0,4,0,0,0,0,0,3,120,195,133,112,115,31,6,710
1021,51,103,71,41,47,8,11,330,11,18,18,13,13,4,0,75,3,11,3,7,4,0,0,32,92,213,149,98,124,33,22,721,8,12,4,8,3,0,0,31,14,9,8,5,4,0,0,46,20,19,13,9,6,3,0,72,111,232,163,108,130,37,22,797,155,136,82,52,34,13,7,482,4,3,0,0,0,0,0,14,272,372,248,167,169,43,26,1293
1022,33,67,37,22,14,5,0,176,5,4,3,5,0,3,0,23,3,5,0,0,0,0,0,8,60,121,82,60,51,13,0,388,0,4,3,0,0,0,0,6,8,12,3,0,0,0,0,22,8,13,3,0,0,0,0,25,62,137,88,60,51,13,0,410,63,72,38,14,12,0,0,205,5,0,0,0,0,0,0,5,130,204,123,78,60,14,0,615
1023,34,61,44,20,24,0,0,181,5,9,5,5,4,6,0,45,4,9,6,0,0,0,0,13,66,135,93,67,73,6,3,442,4,9,0,5,3,0,0,18,11,13,5,0,0,0,0,27,9,16,4,10,3,0,0,44,74,150,102,77,73,10,3,488,101,116,57,38,32,0,0,344,3,7,0,0,0,0,0,10,175,271,160,117,106,8,3,844
1024,39,95,67,60,73,12,3,352,12,17,10,10,8,0,0,50,4,8,6,9,6,0,0,24,67,172,145,127,150,29,14,707,7,3,4,3,3,4,0,26,6,11,7,7,7,0,0,33,9,14,16,11,7,4,0,66,78,186,160,146,158,36,14,773,68,95,59,40,41,6,5,311,3,3,0,0,0,0,0,6,144,288,213,186,201,37,20,1092
1025,1168,2087,1327,978,1089,289,125,7058,245,260,159,101,123,36,18,938,70,98,51,34,25,11,4,287,2080,4046,2905,2192,2731,898,419,15267,77,130,98,74,72,21,6,473,135,227,141,81,80,15,4,673,213,355,240,152,156,28,8,1151,2287,4402,3143,2348,2883,921,429,16419,2312,2339,1368,943,816,161,101,8037,31,48,27,27,17,0,0,162,4635,6787,4540,3322,3717,1082,530,24616
1026,109,207,135,91,91,24,5,663,27,25,7,13,3,0,0,75,6,8,0,6,5,3,0,29,190,367,240,168,191,56,11,1234,6,10,8,7,7,0,0,38,18,10,8,4,7,0,0,51,28,20,22,10,10,0,0,87,216,385,265,184,210,59,11,1329,270,233,137,102,80,17,3,844,3,4,0,0,0,0,0,14,488,621,402,281,290,82,18,2181
1027,121,195,127,72,80,13,0,619,19,14,13,4,8,0,0,61,0,14,0,3,3,0,0,22,238,414,298,203,251,42,15,1455,10,12,12,6,3,0,0,38,11,21,13,7,8,4,0,58,24,29,24,14,11,4,0,98,262,445,323,213,262,48,15,1556,209,202,127,81,66,6,0,694,7,11,3,3,7,0,0,31,481,653,453,298,329,48,15,2277
1028,100,212,143,118,119,18,0,714,20,15,5,6,13,0,0,55,5,7,3,3,0,0,0,21,173,339,284,243,286,45,19,1388,3,3,13,8,4,0,0,31,22,18,15,7,12,0,0,72,23,20,23,19,13,3,0,100,195,361,306,264,300,45,18,1495,236,198,130,88,96,17,7,774,5,8,0,4,4,0,0,25,436,562,442,354,402,66,26,2287
1029,36,76,51,26,31,4,0,223,9,15,4,0,0,0,0,38,3,8,0,0,4,0,0,16,71,147,93,61,61,14,6,459,3,6,3,0,0,0,0,21,8,14,14,5,0,0,0,40,12,20,18,11,0,0,0,60,83,162,111,69,69,18,6,518,95,108,59,31,37,4,0,332,0,3,0,0,0,0,0,6,177,277,173,104,100,24,6,861
1030,44,93,68,40,47,11,3,306,14,9,6,6,0,0,0,40,0,0,6,3,5,0,0,13,72,163,129,91,107,27,5,581,9,9,8,3,4,0,0,28,4,6,7,3,3,0,0,19,8,23,11,7,4,0,0,48,82,180,137,95,109,27,5,635,93,77,43,35,30,6,0,277,0,0,4,0,0,0,0,10,178,257,187,132,143,26,8,922
1031,4438,8349,6192,4580,6058,3153,1797,34566,1730,2142,1565,1127,1537,900,622,9636,322,453,315,222,262,184,108,1856,10983,21503,16888,13067,18142,10039,5940,96556,434,770,567,471,651,355,221,3471,600,909,616,449,532,251,172,3528,1043,1681,1184,916,1186,603,393,7002,12025,23179,18073,13978,19327,10642,6332,103554,15106,17126,10348,7180,8873,4625,2782,66036,374,469,314,203,160,72,46,1631,27506,40779,28732,21366,28359,15341,9157,171232
1032,146,243,144,94,86,11,0,722,19,18,21,8,15,0,0,78,13,9,14,0,4,0,0,41,266,486,315,209,279,42,4,1590,17,30,15,15,16,0,0,90,27,36,23,18,25,0,0,126,43,63,41,37,34,4,0,220,309,553,352,238,315,37,4,1805,372,320,161,107,86,11,0,1059,16,9,6,7,7,0,0,46,700,878,528,348,405,49,7,2912
1033,96,165,95,65,66,16,0,507,16,13,14,3,0,3,0,54,5,9,5,0,4,0,0,25,146,262,183,126,138,39,3,907,12,24,12,10,9,0,0,57,13,15,12,9,10,0,0,60,19,42,27,16,13,0,0,120,166,307,209,148,155,39,3,1024,241,222,141,102,75,10,3,786,6,11,14,7,0,0,0,36,412,544,365,249,232,47,7,1848
1034,28,79,62,54,45,4,0,276,6,7,9,4,0,0,0,37,4,11,0,0,0,0,0,17,57,128,114,103,102,17,4,527,0,0,4,0,4,0,0,14,0,4,0,0,6,0,0,9,0,7,4,0,7,0,0,22,57,136,116,103,111,19,4,544,53,53,35,16,30,5,0,189,0,0,0,0,0,0,0,0,105,187,149,123,140,21,4,729
1035,155,278,171,121,102,15,11,853,20,13,4,6,8,0,0,57,8,21,7,0,0,0,0,45,288,486,370,267,301,69,30,1816,14,28,14,9,11,4,0,78,18,35,9,5,8,4,0,79,30,67,32,12,16,6,0,157,319,555,396,278,311,75,32,1972,377,307,147,115,81,13,8,1053,12,14,4,3,3,0,0,37,707,876,553,396,404,93,37,3056
1036,493,986,668,465,573,193,95,3471,176,226,157,93,95,37,24,816,27,26,12,14,15,3,5,106,940,1902,1526,1157,1441,557,283,7809,23,59,42,40,45,8,7,224,50,58,34,36,38,8,4,221,68,123,78,70,79,24,6,444,1008,2027,1597,1233,1522,578,290,8250,1232,1294,737,536,538,148,77,4553,18,30,34,19,7,3,0,114,2259,3349,2365,1783,2066,728,363,12920
