SUA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1010,709,417,1122,363,489,849,25,5,24,6,0,9,31,41,75,41357,32175,73532,2333,2535,4869,1130,26,1159,409,36,447,211,59,273,349,230,578,888,1021,1911,47804,37032,84839,231,163,393,5,7,8,0,0,5,287,108,392,39,32,72,42,21,59,603,323,926,3,9,10,0,0,0,21,21,37,30,58,92,12,16,33,71,107,178,441,172,612,1112,597,1711,94,67,160,17,14,28,13,3,23,129,79,208,16496,21429,37930,9326,14361,23686,366,310,676,75234,73819,149052
1011,9,3,10,97,117,212,4,0,4,0,0,0,15,28,44,10702,10392,21093,815,976,1792,239,8,250,164,29,191,163,42,209,82,45,125,352,387,739,12641,12023,24672,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,4,0,4,7,7,18,0,0,0,0,0,0,6,4,11,5,14,16,0,0,0,9,18,28,104,68,177,125,92,217,0,0,0,0,0,0,7,0,7,14,0,12,1430,1932,3361,1358,2164,3522,94,90,188,15665,16310,31976
1012,0,0,0,37,22,66,4,3,5,0,0,0,24,46,66,7132,6572,13706,565,712,1274,167,0,170,75,6,78,63,16,83,42,36,78,213,196,413,8333,7604,15938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,11,0,0,4,0,0,0,3,8,16,66,52,121,75,59,137,3,0,8,3,0,6,6,0,8,14,6,16,541,897,1433,666,1122,1785,48,42,94,9672,9730,19401
1013,0,0,0,19,14,29,0,0,0,0,0,0,4,3,5,2205,2274,4481,156,228,388,57,0,56,19,4,25,31,11,43,21,14,36,153,154,304,2669,2709,5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,4,24,16,38,21,23,45,0,0,0,0,0,0,3,0,5,3,0,5,283,366,645,297,523,827,39,39,78,3318,3663,6986
1014,8,0,4,27,8,35,0,0,0,0,0,0,14,21,34,4034,3515,7549,328,343,666,86,5,95,29,0,29,26,4,31,27,3,28,173,182,356,4750,4083,8827,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7,4,38,18,56,45,25,65,0,0,0,0,0,0,3,0,3,7,0,7,272,479,750,440,718,1159,34,27,59,5536,5332,10874
1015,0,0,0,10,14,24,0,0,0,0,0,0,9,11,21,2450,2426,4875,207,201,407,77,4,78,34,0,36,59,20,82,14,14,25,130,131,264,2991,2811,5806,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,27,11,41,39,14,50,0,0,0,0,0,0,4,0,4,4,0,4,187,325,512,329,435,761,34,26,60,3581,3613,7194
1016,0,0,0,3,9,12,4,3,5,0,0,0,13,27,38,4204,3348,7552,467,611,1074,53,0,56,34,5,36,29,8,34,41,21,60,118,121,237,4958,4136,9099,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,4,0,4,0,3,4,0,0,0,4,4,5,39,23,58,42,31,76,0,0,0,0,0,0,0,0,0,0,0,0,142,249,383,215,462,684,30,25,61,5392,4910,10301
1017,0,0,0,10,11,19,0,0,0,0,0,0,5,4,11,1742,1769,3511,138,192,330,92,0,92,15,0,13,8,0,8,11,11,25,71,58,125,2094,2051,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,21,10,30,18,12,36,0,0,0,0,0,0,0,0,5,0,0,0,108,189,293,209,337,550,29,23,56,2468,2617,5082
1018,0,0,0,27,17,47,4,0,3,0,0,0,8,13,26,4256,3800,8060,290,395,685,87,0,92,66,3,70,55,14,66,37,12,51,179,184,360,5012,4445,9459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,3,4,5,39,32,69,42,39,84,0,0,0,0,0,0,3,0,3,7,0,5,523,849,1377,672,1072,1742,25,26,51,6281,6429,12716
1019,4,5,11,7,6,9,0,0,0,0,0,0,9,9,11,1610,1363,2971,103,108,213,26,4,28,13,0,11,14,3,12,3,10,14,116,99,209,1902,1598,3491,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,9,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,9,8,22,23,15,35,0,5,5,0,0,0,0,0,0,0,5,5,177,274,451,268,352,624,22,24,45,2383,2265,4647
1020,0,0,0,11,8,17,0,0,0,0,0,0,3,0,4,2199,1638,3840,99,112,210,93,0,97,13,0,12,10,3,12,22,10,30,56,40,91,2507,1813,4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,29,19,45,31,22,52,0,0,0,0,0,0,0,0,0,0,3,3,558,794,1360,464,660,1118,18,17,38,3580,3308,6890
1021,29,23,58,12,4,11,0,0,0,0,0,0,4,3,6,3561,2783,6348,191,180,368,179,3,181,38,6,39,4,9,13,30,10,41,94,69,162,4142,3087,7226,11,6,11,0,0,0,0,0,0,6,0,10,0,0,4,5,0,5,22,14,29,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,43,16,55,66,25,89,3,7,13,0,0,0,0,0,8,9,6,13,944,1368,2314,732,1057,1792,35,24,62,5927,5575,11500
1022,0,0,0,12,4,13,0,0,5,0,0,0,7,9,15,2213,1795,3999,188,159,345,47,0,47,19,0,20,19,0,24,11,3,13,101,134,237,2612,2105,4724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,31,57,33,36,60,0,0,0,0,0,0,0,0,0,0,0,0,146,257,403,286,450,735,8,23,31,3088,2871,5949
1023,3,0,3,5,0,8,0,0,0,0,0,0,0,0,0,2040,1553,3594,130,133,266,24,0,22,19,3,23,10,0,11,14,10,27,62,67,134,2311,1774,4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,20,19,5,20,0,0,0,0,0,0,0,0,0,0,0,0,137,276,410,363,392,747,20,10,32,2837,2460,5299
1024,0,0,0,24,42,61,3,0,3,0,0,0,3,3,9,3141,2589,5734,195,214,407,95,3,98,18,0,19,25,12,39,31,18,50,132,145,282,3672,3029,6700,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,3,3,3,0,0,0,7,7,14,34,17,56,42,22,69,0,0,0,0,0,0,4,0,3,4,0,4,997,1151,2146,818,1187,2004,34,30,70,5566,5421,10996
1025,244,138,389,621,835,1463,29,35,65,34,30,68,114,111,227,73925,59081,133009,3636,4413,8055,1451,41,1491,872,131,1002,833,311,1135,469,340,806,1873,2083,3956,84110,67556,151659,61,42,106,4,0,4,15,11,24,59,28,89,24,15,35,33,8,48,188,110,302,9,4,10,5,11,15,48,50,93,50,106,159,24,35,59,134,200,332,727,406,1137,1057,719,1775,66,44,110,27,29,49,28,12,46,119,83,204,20264,27855,48112,14969,22927,37900,468,388,857,120981,119533,240511
1026,4,4,9,6,16,25,7,0,7,0,0,0,8,21,30,5580,4872,10452,388,474,863,118,0,123,96,3,97,77,20,99,54,31,83,199,208,405,6542,5659,12203,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,3,3,5,9,10,0,0,0,0,7,17,77,32,109,79,49,132,5,0,5,0,0,0,5,0,6,4,0,8,559,786,1343,752,1088,1842,49,53,100,7990,7638,15631
1027,0,3,3,49,31,81,0,0,4,0,0,0,27,43,71,6915,6396,13303,552,599,1149,152,4,157,34,6,46,46,20,68,48,30,73,261,243,496,8084,7366,15455,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,13,0,13,0,5,9,0,4,4,18,9,23,52,38,90,74,49,125,0,0,0,0,3,4,0,0,0,0,3,3,805,1187,1998,751,1207,1957,44,37,88,9768,9852,19618
1028,4,0,5,36,42,82,4,0,4,0,0,0,10,24,40,6882,6901,13787,482,635,1115,130,6,133,112,17,132,82,22,108,39,28,65,266,282,544,8058,7966,16026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,6,5,3,6,5,5,0,3,9,7,18,74,40,115,86,49,136,0,3,3,0,4,4,0,0,0,0,9,6,1188,1462,2655,906,1495,2398,37,58,94,10270,11039,21307
1029,0,0,4,13,4,20,0,0,0,0,0,0,4,9,10,3047,2093,5140,160,170,329,65,4,67,18,0,17,12,0,11,47,15,63,349,75,427,3715,2373,6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,4,0,33,18,49,34,19,57,0,0,4,0,0,0,0,0,0,6,0,4,296,558,854,592,714,1307,16,9,32,4664,3673,8338
1030,0,0,0,4,3,13,0,0,0,0,0,0,0,0,3,2577,2356,4935,144,181,319,79,0,81,22,4,27,21,3,26,26,8,35,58,79,140,2945,2642,5588,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,8,26,16,41,26,28,48,0,0,0,0,0,0,0,0,0,0,0,3,343,487,837,355,556,910,25,16,39,3698,3729,7427
1031,30661,28951,59612,12477,15446,27924,627,302,924,657,573,1235,1639,1648,3286,447481,297149,744631,21356,36875,58231,12266,200,12468,8191,1057,9251,6675,2011,8688,6307,4383,10690,25405,28441,53840,573757,417028,990783,9760,11894,21647,108,81,188,403,450,850,3445,2010,5456,686,1376,2061,912,514,1425,15313,16324,31633,106,78,184,246,264,506,670,512,1185,436,1016,1449,406,455,862,1861,2324,4182,4989,2818,7810,22158,21469,43628,3037,3185,6227,276,303,577,179,85,265,3497,3576,7066,426932,472740,899675,137784,165645,303425,5395,3978,9372,1169526,1084428,2253956
1032,4,0,4,21,20,43,0,5,4,0,0,0,20,21,39,6556,5824,12377,587,636,1226,218,3,220,101,6,110,47,10,57,49,31,76,207,222,428,7814,6784,14596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,8,0,0,3,0,0,6,10,7,12,80,46,121,89,51,139,0,0,0,0,0,0,5,0,5,5,3,4,816,1288,2100,1062,1532,2597,52,30,84,9833,9693,19521
1033,0,0,0,17,16,37,0,0,0,0,0,0,10,15,26,3294,3225,6522,240,296,539,110,0,111,35,0,41,19,0,25,21,7,28,149,139,286,3897,3715,7614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,5,41,17,60,44,22,62,0,0,0,0,0,0,0,0,0,0,0,0,224,301,528,376,582,959,48,40,82,4584,4657,9250
1034,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,2124,1969,4092,155,152,310,82,0,80,19,3,27,24,10,35,31,11,38,90,117,209,2544,2276,4816,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,4,25,8,33,35,12,44,0,0,0,0,0,0,0,0,0,0,0,3,334,487,822,294,479,772,30,29,56,3230,3278,6508
1035,0,0,0,85,61,150,6,7,13,0,0,0,25,34,56,10151,9204,19350,811,820,1630,137,9,149,108,6,120,94,27,126,137,54,190,383,441,825,11951,10663,22609,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,5,0,3,12,5,17,3,0,6,21,9,30,111,68,180,136,80,218,0,0,0,0,4,4,6,0,10,4,3,11,823,1211,2035,894,1641,2532,71,45,115,13887,13640,27525
1036,560,286,849,384,477,863,16,0,11,4,3,6,70,59,123,40797,29646,70441,1886,2299,4184,887,18,901,403,39,437,413,86,502,309,211,524,1157,1291,2451,46875,34412,81292,64,64,125,0,0,0,3,0,3,157,60,220,26,26,50,25,10,35,282,169,444,0,0,0,0,0,0,34,29,57,32,64,95,19,14,31,83,102,182,358,178,534,717,446,1161,33,30,67,7,16,19,13,6,18,56,53,108,14446,19721,34171,8680,13049,21730,268,226,497,71043,67913,138956
