SUA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
1010,7,27,0,0,0,0,0,0,0,43,50,435,3,4,7,3,3,8,8,524,736,1538,97,109,138,68,49,55,23,2818,22,44,4,5,8,0,0,0,0,83,118,374,36,46,36,15,10,13,4,652,84,125,9,16,20,6,0,11,0,275,2041,5355,629,701,597,393,229,307,127,10374,7,7,13,3,4,0,4,0,0,40,657,652,380,400,203,157,135,158,33,2780,1044,902,731,637,360,280,218,251,58,4487,3045,1048,11624,1487,1022,1034,2246,2502,437,24444,79,63,122,82,71,101,110,175,16,810,232,180,222,161,97,114,187,199,28,1419,74,100,69,37,31,30,39,50,11,440,132,132,175,87,59,52,149,148,140,1076,8337,10990,14116,3766,2650,2260,3380,3867,891,50256,13,83,0,4,7,0,0,0,0,99,46,339,6,10,17,3,0,0,9,426,578,2226,64,184,277,76,3,26,31,3461,15,108,0,6,15,0,0,0,6,152
1011,0,9,0,0,0,0,0,0,0,10,9,101,0,0,4,0,0,0,0,120,95,287,15,22,30,3,3,6,0,474,5,10,0,0,0,0,0,0,0,17,27,115,6,12,14,0,4,4,4,191,11,25,0,5,0,0,0,3,0,50,406,1207,137,164,111,73,28,107,20,2245,0,0,0,4,0,0,0,0,0,14,108,96,65,74,40,27,24,39,0,483,203,133,147,142,68,52,40,64,11,866,626,174,2206,383,219,277,390,674,55,5006,17,3,26,31,13,29,28,37,0,187,50,19,27,39,10,29,33,51,3,264,15,20,8,8,3,5,4,24,0,78,24,30,36,13,15,16,20,73,37,269,1604,2234,2685,896,532,517,575,1083,146,10274,0,20,0,0,0,0,0,0,0,24,11,76,0,3,5,0,0,0,0,95,94,478,20,37,42,11,4,11,9,706,5,22,0,0,0,5,0,0,0,29
1012,0,7,0,0,0,0,0,0,0,6,3,45,0,0,0,0,0,3,0,56,70,179,32,59,36,46,28,40,10,504,0,7,0,0,0,0,0,0,0,17,13,56,0,8,7,0,0,3,0,96,8,14,0,6,5,0,0,0,0,43,202,575,95,151,88,57,28,77,18,1286,0,0,0,0,0,0,0,0,0,8,57,49,27,53,25,4,20,15,3,253,84,74,81,104,48,29,22,32,9,476,342,102,1405,261,135,178,315,297,57,3087,14,10,18,14,10,12,20,17,0,110,19,11,21,12,6,10,19,23,0,132,5,18,13,3,3,3,6,5,0,63,16,12,34,15,8,12,28,25,21,169,838,1159,1728,696,374,364,485,541,117,6300,0,9,0,5,0,0,0,0,0,5,0,32,0,0,0,3,0,0,0,40,68,296,18,101,51,49,0,25,11,607,0,12,0,0,0,0,0,0,0,21
1013,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,18,19,38,4,4,3,0,3,0,0,75,3,4,0,0,0,0,0,0,0,3,4,16,6,0,0,0,0,0,0,33,0,7,0,4,0,0,0,5,0,16,55,213,28,34,18,7,4,8,6,361,0,0,0,0,0,0,0,0,0,0,23,22,23,22,9,4,0,7,0,111,37,32,42,35,10,13,5,15,0,174,145,45,525,100,34,52,70,141,22,1134,4,0,8,13,5,7,3,6,0,39,8,4,8,9,4,6,13,8,0,56,4,4,0,0,0,0,0,4,0,17,18,8,12,8,5,6,7,17,9,83,322,403,644,228,82,96,103,211,35,2131,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,11,11,78,0,5,3,6,0,0,3,116,3,0,0,0,0,0,0,0,0,8
1014,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,23,40,81,6,14,12,4,3,5,0,159,0,0,0,0,0,0,0,0,0,6,4,31,0,8,3,0,0,0,0,59,7,6,0,14,5,0,0,0,0,37,73,232,44,70,26,19,13,29,5,513,0,0,0,0,0,0,0,0,0,4,33,35,16,35,8,12,4,9,0,151,67,39,58,75,16,16,23,22,8,320,194,52,827,198,76,76,265,199,34,1919,5,5,14,9,4,9,6,12,0,58,12,11,7,15,0,4,22,17,0,87,0,0,8,3,3,4,0,4,0,35,12,6,12,7,0,0,11,25,12,90,455,521,1002,460,158,138,345,328,63,3465,0,3,0,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,17,29,127,0,29,18,5,0,0,0,214,0,10,0,0,0,0,0,0,0,9
1015,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,17,17,39,0,3,9,0,0,0,0,69,0,4,0,0,3,0,0,0,0,4,6,18,0,6,0,0,0,0,0,28,5,4,0,3,0,0,0,0,0,13,46,185,3,25,17,13,0,7,4,300,0,0,0,0,0,0,0,0,0,0,11,26,5,21,5,0,3,0,0,73,22,25,15,58,13,6,7,13,0,153,128,46,492,156,54,54,139,162,21,1258,7,3,4,4,5,16,7,17,0,61,10,0,4,13,0,9,12,17,0,59,0,3,0,0,0,0,0,6,0,12,9,7,13,9,3,0,8,16,11,72,261,370,546,296,107,91,184,241,37,2139,0,4,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,6,6,65,0,5,3,0,0,0,0,87,0,9,0,0,0,0,0,0,0,9
1016,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,17,43,65,13,4,8,5,10,26,5,176,0,5,0,0,0,0,0,0,0,3,4,15,5,0,0,4,0,0,0,29,0,5,0,0,0,0,0,0,0,4,119,276,52,30,22,13,24,80,13,631,0,0,0,0,0,0,0,5,0,5,29,14,24,20,16,5,13,20,3,141,50,34,47,21,17,13,20,37,8,243,252,44,713,40,47,78,138,205,35,1552,5,0,5,5,0,4,6,11,0,41,8,3,10,3,6,10,17,14,6,74,3,3,9,0,0,0,5,7,0,29,15,9,16,3,0,6,12,44,22,135,534,478,899,130,116,141,253,455,82,3083,0,7,0,0,0,0,0,0,0,12,4,8,0,3,0,0,0,0,0,13,18,91,8,19,14,8,0,21,0,177,0,0,0,0,0,0,0,0,0,4
1017,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,6,20,0,0,0,0,0,0,0,28,0,5,0,0,0,0,0,0,0,5,0,9,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,6,32,80,4,22,9,7,0,12,0,164,0,0,0,0,0,0,0,0,0,0,8,13,0,13,0,8,0,0,0,45,21,15,9,20,4,6,9,6,0,83,109,24,347,133,33,39,94,116,16,914,4,0,0,11,5,0,7,11,0,39,8,0,0,4,0,0,12,9,4,40,0,0,4,4,0,0,0,4,0,10,4,4,8,11,0,3,10,16,14,70,183,183,384,212,60,61,131,171,35,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,44,0,3,0,0,0,0,0,0,0,3
1018,0,4,0,0,0,0,0,0,0,7,3,56,0,0,4,0,0,0,0,71,24,127,10,13,10,0,7,7,0,198,0,0,0,0,0,0,0,0,0,0,6,49,0,6,0,4,0,0,0,70,5,14,3,0,4,0,0,0,0,31,103,468,61,81,48,27,16,45,5,854,0,0,5,0,0,0,0,0,0,3,24,30,26,31,17,4,9,7,0,143,61,62,49,65,27,24,13,32,8,332,191,64,806,161,90,91,182,281,30,1889,14,0,12,13,3,9,10,30,0,99,9,11,16,12,3,23,11,21,0,108,6,3,0,5,4,7,0,9,0,23,5,13,17,10,4,3,10,14,16,85,445,911,996,393,210,198,259,446,62,3919,0,12,0,0,0,0,0,0,0,10,4,42,4,0,3,0,0,0,0,49,34,185,8,23,19,8,0,5,0,287,6,15,0,0,0,0,0,0,0,15
1019,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,29,9,7,3,0,3,0,0,53,0,0,0,0,0,0,0,0,0,3,0,8,0,4,0,4,0,0,0,18,0,0,0,3,0,0,0,0,0,4,31,84,13,18,21,6,11,9,0,191,0,0,0,0,0,0,0,0,0,0,22,10,17,14,3,4,4,3,0,78,21,17,29,15,11,3,10,0,0,114,94,31,429,47,31,23,202,89,18,963,4,0,5,4,0,7,9,10,0,39,3,0,6,9,4,0,3,4,0,33,0,0,0,0,0,0,5,4,0,9,0,0,3,5,0,5,14,10,4,47,201,193,513,127,75,44,256,130,20,1560,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,5,8,45,0,6,4,0,0,0,0,63,0,0,0,0,0,0,0,0,0,3
1020,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,33,35,4,0,4,0,0,0,0,78,0,0,0,0,0,0,0,0,0,4,4,17,0,0,0,0,0,0,0,21,9,5,0,0,0,0,0,0,0,7,58,139,21,11,9,4,4,11,4,271,0,0,0,0,0,0,0,0,0,0,19,22,25,11,5,3,5,0,0,114,50,39,65,31,19,6,13,9,4,239,170,49,748,80,59,52,183,102,36,1474,4,3,11,3,4,3,0,11,0,41,4,4,12,5,0,8,6,5,0,46,0,0,3,3,0,0,0,4,0,19,13,5,11,5,0,0,9,7,8,56,368,333,897,157,106,78,227,150,52,2375,0,4,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,16,15,55,0,9,3,0,0,0,0,88,0,3,0,0,0,0,0,0,0,3
1021,0,4,0,0,0,0,0,0,0,6,14,44,3,0,0,0,0,0,0,64,51,87,9,4,4,4,7,0,4,175,3,0,0,0,0,0,0,0,0,4,6,26,0,4,0,0,0,3,0,36,4,9,3,4,4,0,0,0,0,28,88,322,36,28,20,26,8,28,5,570,0,0,0,0,0,0,0,0,0,5,44,35,27,34,4,3,12,7,0,172,64,75,62,53,17,12,16,19,7,330,281,81,1098,99,78,69,260,227,49,2244,10,4,12,8,11,9,9,25,0,92,11,9,16,10,0,10,25,17,0,94,4,4,5,0,0,0,0,3,0,26,9,4,14,9,4,0,15,10,9,78,593,720,1283,252,153,146,360,342,72,3919,3,5,0,0,0,0,0,0,0,10,5,19,0,0,0,0,0,0,0,34,29,185,3,8,19,0,0,4,5,247,0,10,3,0,0,0,0,0,0,17
1022,0,4,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,9,7,39,5,5,0,0,0,4,0,66,4,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,8,66,157,30,20,15,4,14,8,8,328,0,0,0,0,0,0,0,0,0,3,18,18,19,8,5,5,13,7,0,89,27,18,36,19,12,8,16,10,0,141,125,33,618,26,25,41,305,102,21,1294,3,6,4,0,8,5,8,10,0,42,9,3,0,0,0,0,12,9,0,39,5,0,7,0,0,0,3,3,0,24,4,0,7,6,6,0,12,6,4,43,275,303,731,84,66,71,384,154,34,2103,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,17,93,3,14,8,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,16,19,7,0,0,0,0,4,0,42,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,24,85,18,6,4,4,11,5,0,156,0,0,0,0,0,0,0,0,0,0,18,16,22,9,0,0,16,6,3,82,10,16,26,5,5,11,18,10,4,108,65,27,666,32,24,23,282,80,23,1210,3,0,3,0,0,0,18,10,4,45,0,0,11,0,0,0,15,14,0,42,0,0,5,0,0,0,0,4,0,14,0,4,6,0,0,4,17,7,7,50,141,173,766,59,38,45,383,133,41,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,0,3,8,0,0,0,0,49,0,5,0,0,0,0,0,0,0,5
1024,4,0,0,0,0,0,0,0,0,6,4,38,0,0,0,0,0,0,0,47,59,82,11,4,13,0,0,4,7,175,0,3,0,0,0,0,0,0,0,8,13,24,3,4,0,0,0,0,0,52,12,13,0,0,0,0,0,0,0,24,140,315,77,50,36,13,16,25,14,670,0,0,0,0,0,0,0,0,0,4,56,63,35,25,16,17,6,9,0,226,77,69,98,51,22,21,19,21,3,384,257,83,946,105,54,86,171,202,47,1948,7,0,20,9,3,7,4,10,0,61,19,10,15,11,3,9,11,14,0,94,4,6,5,0,0,0,3,8,0,30,11,5,12,8,4,10,20,15,15,96,671,722,1210,259,153,157,252,306,82,3816,0,3,0,0,0,0,0,0,0,3,10,23,0,0,0,0,0,0,0,41,29,132,4,15,19,0,0,0,5,219,0,3,0,0,0,0,0,0,0,3
1025,17,71,0,3,3,0,0,8,0,105,144,1244,21,21,21,0,9,4,5,1477,1206,2781,208,209,252,128,110,69,46,5009,27,91,8,4,3,4,4,0,0,145,236,671,47,77,69,23,18,13,6,1172,161,257,28,28,52,7,17,11,6,567,3258,10569,1173,1137,1052,588,409,485,153,18822,5,3,7,14,7,0,5,3,0,38,929,990,750,469,261,184,164,139,44,3934,1383,1380,1423,1008,532,347,440,380,90,6987,4018,1555,19121,2359,1659,1431,5143,3407,619,39308,125,72,233,201,100,146,244,285,12,1407,245,160,256,189,112,123,276,248,17,1631,75,129,73,52,33,25,58,58,23,538,183,180,245,143,64,93,238,234,226,1608,12020,20164,23597,5909,4223,3111,7135,5339,1264,82752,12,133,6,6,13,3,0,0,0,172,105,1068,18,16,53,0,0,5,6,1272,934,4272,100,287,473,96,13,54,36,6267,35,164,5,4,18,4,0,0,0,234
1026,0,9,0,0,0,0,0,0,0,5,7,32,0,0,0,0,0,0,0,44,52,138,24,12,3,11,5,11,3,257,0,3,0,0,0,0,0,0,0,7,11,36,8,7,4,0,0,3,0,62,0,5,6,3,0,0,3,0,0,21,134,424,61,80,43,45,15,51,10,862,0,0,0,5,0,0,0,0,0,5,54,62,38,49,29,13,10,10,9,275,98,80,114,100,30,8,17,23,5,471,339,95,1328,249,78,143,288,311,52,2886,11,5,12,24,5,11,11,37,0,121,12,7,20,19,3,10,17,19,4,112,5,9,5,0,4,9,4,3,0,38,10,5,28,25,6,14,15,29,11,142,739,904,1642,571,204,264,379,498,95,5309,0,9,0,0,0,0,0,0,0,10,3,24,0,0,0,0,0,0,0,32,40,203,4,25,21,15,0,5,0,315,0,9,0,0,0,0,0,0,0,14
1027,0,3,0,0,0,0,0,0,0,4,17,83,3,0,3,0,0,3,0,113,100,259,19,18,17,11,12,12,9,456,6,18,0,6,3,0,0,0,0,26,19,46,5,5,4,4,0,0,0,85,11,20,0,9,6,0,0,3,0,47,244,831,107,95,79,40,27,48,11,1488,0,0,0,0,0,0,0,0,0,0,67,61,44,39,21,17,17,19,7,291,111,80,118,84,43,26,33,27,8,519,332,114,1497,164,125,119,392,277,35,3065,10,4,22,10,14,14,24,24,0,118,16,11,20,15,13,16,23,19,0,133,9,14,12,9,0,4,3,0,3,50,7,17,11,14,9,8,22,21,12,131,949,1563,1863,462,332,261,564,453,89,6540,0,9,0,0,0,0,0,0,0,12,13,69,5,4,0,0,0,0,0,88,67,392,12,40,37,6,0,9,0,570,0,7,0,0,0,0,0,0,0,12
1028,0,0,0,4,0,0,0,0,0,8,11,75,0,0,0,0,0,0,0,90,114,295,10,11,29,7,8,16,4,486,7,10,0,0,0,0,0,0,0,17,24,86,4,3,3,0,3,5,0,127,22,28,3,4,5,0,0,0,0,62,248,955,98,100,82,47,17,35,8,1597,4,0,0,0,0,0,0,0,0,3,76,97,84,34,35,21,16,16,10,389,123,108,108,98,43,43,21,45,11,601,395,139,1448,317,128,192,209,318,53,3198,12,8,16,17,3,12,20,26,0,117,24,12,24,35,7,15,15,34,3,177,9,22,16,6,3,4,0,6,0,60,21,18,22,7,3,12,18,12,23,141,1080,1867,1822,649,345,364,324,512,103,7068,4,13,0,0,0,0,0,0,0,17,7,68,0,3,3,0,0,0,0,89,83,377,10,33,32,8,0,8,4,557,0,14,0,0,0,0,0,0,0,17
1029,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,26,46,6,3,4,7,0,0,0,96,0,0,0,0,0,0,0,0,0,4,3,7,4,0,0,0,0,0,0,16,5,8,6,0,0,0,0,0,0,16,78,185,33,34,20,3,16,9,5,381,0,0,0,3,0,0,0,0,0,7,26,18,27,13,7,3,12,5,0,111,31,27,55,29,9,3,29,6,3,198,141,53,892,110,34,41,484,113,26,1899,9,0,11,14,6,6,21,22,0,79,8,3,9,0,4,0,15,5,3,48,0,0,4,0,0,0,0,4,0,16,11,3,11,5,6,7,11,7,16,70,343,351,1059,213,92,70,600,174,48,2954,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,24,58,0,0,8,0,4,5,0,94,0,0,0,0,0,0,0,0,0,3
1030,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,21,26,55,10,5,0,0,0,5,0,109,0,0,0,0,0,0,0,0,0,4,7,24,0,7,0,0,0,0,0,42,0,5,0,0,5,0,0,0,0,9,72,194,14,25,11,15,0,8,10,336,0,0,0,0,0,0,0,0,0,0,30,31,19,24,9,4,3,3,0,125,54,30,54,37,11,8,7,8,5,209,153,71,695,127,35,64,114,167,26,1448,4,0,5,9,0,5,6,11,0,46,9,6,8,9,6,7,9,11,0,62,0,5,7,4,0,4,0,0,0,21,4,4,13,0,0,8,10,9,11,63,372,445,824,240,79,118,151,221,46,2499,0,4,0,0,0,0,0,0,0,6,0,17,0,0,4,0,0,0,0,18,28,106,0,8,7,0,0,3,0,155,0,6,0,0,0,0,0,0,0,8
1031,349,840,54,41,96,38,25,24,22,1479,2548,15023,302,160,401,116,93,101,178,18924,33516,71093,5683,3608,10502,5501,3705,3107,2151,138865,977,1911,128,103,335,165,139,99,99,3970,3665,8633,652,591,1119,424,292,258,162,15796,1445,2144,236,247,406,151,84,86,62,4867,68628,154488,20827,14240,25782,15539,11743,10751,4928,326928,90,87,135,70,45,58,81,94,35,691,10826,10170,7558,4336,3800,3182,3682,3084,716,47341,14503,12761,12321,6778,6270,5328,5637,4869,1122,69582,26912,9996,89495,9440,10709,8803,18984,16302,3475,194105,1090,732,1055,853,754,796,1146,1068,117,7619,3306,2368,2515,1384,1672,1793,2276,1984,296,17592,1676,2634,1255,544,735,591,891,728,248,9301,2349,2638,2120,936,1147,1030,1907,1650,3269,17037,171872,295520,144337,43335,63771,43526,50679,44182,16870,874089,342,1411,25,89,217,40,9,16,16,2157,1814,11911,231,206,586,88,18,40,123,15017,23418,77600,2530,6862,17072,5059,740,1685,1820,136791,726,2348,60,230,505,148,23,69,53,4164
1032,0,0,0,0,0,0,0,0,0,4,9,50,0,3,0,0,5,0,0,58,64,137,11,28,12,13,8,12,4,296,0,3,0,0,0,0,0,0,0,3,16,59,4,5,9,4,0,0,0,97,9,22,0,4,0,0,0,0,0,40,147,577,72,85,47,21,35,113,6,1097,0,0,0,0,0,0,0,0,0,3,57,54,35,50,14,18,16,19,0,263,103,70,80,71,46,23,34,43,8,474,377,119,1404,177,132,145,377,360,44,3126,23,0,21,10,7,6,17,37,0,123,18,13,25,15,8,13,18,28,0,133,4,5,11,3,0,8,3,11,0,50,17,8,30,8,11,19,18,44,19,166,835,1120,1682,465,285,265,523,688,75,5942,0,6,0,0,0,0,0,0,0,13,6,37,0,0,3,0,0,0,0,47,46,305,4,29,21,6,0,14,0,420,0,11,0,0,0,0,0,0,0,15
1033,0,3,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,27,13,53,0,10,5,0,0,0,0,76,0,4,0,0,0,0,0,0,0,9,0,26,0,0,0,0,0,0,0,27,3,5,0,0,0,0,0,0,0,12,30,215,19,29,13,12,7,5,4,332,0,0,0,0,0,0,0,0,0,4,19,14,13,18,3,3,5,5,5,81,27,34,35,43,8,21,5,19,0,198,210,51,631,163,54,84,171,254,23,1643,5,0,11,13,3,9,17,26,0,92,11,4,9,13,6,0,12,16,4,75,6,3,0,0,0,0,0,3,0,21,4,4,18,19,4,9,15,22,17,100,344,428,746,293,99,141,229,345,54,2679,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,16,15,96,0,6,8,0,0,0,0,136,0,0,0,0,0,0,0,0,0,4
