SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1010,1302,2091,3392,25660,31779,57441,7,8,20,2277,2803,5078,123,141,268,34636,40022,74653,111,176,288,1166,1240,2403,569,803,1370,324,376,698,295,371,662,175,162,345,1517,1653,3176,1381,1764,3140,3112,3732,6840,252,371,626,624,711,1336,3493,4730,8224,3556,4110,7667,116,152,268,79411,95098,174504,1172,1029,2200,799,690,1490,211,230,435,64,48,113,277,266,546,399,566,970,745,880,1627,70634,64721,135357,581,455,1033,279,477,757,71492,65647,137143,11113,11266,22381,166245,176934,343180
1011,328,469,793,4821,5886,10704,0,0,0,604,680,1276,5,7,14,5854,6994,12850,22,29,51,83,88,173,222,284,504,26,38,64,80,104,180,14,21,40,139,191,327,552,682,1232,941,1115,2055,57,98,153,106,131,240,715,1005,1726,758,1004,1763,20,21,39,15019,18368,33381,171,159,336,232,191,417,28,35,62,17,13,34,945,888,1833,324,418,741,1285,1318,2603,15576,14994,30563,129,95,222,66,120,188,15768,15209,30979,2826,2795,5619,35658,38534,74195
1012,152,198,348,3128,3889,7009,0,0,3,303,334,642,3,3,5,4851,5791,10643,11,8,23,46,63,111,29,36,67,9,11,26,39,49,91,17,11,27,46,43,95,149,168,324,592,686,1281,42,61,104,44,48,98,628,842,1472,448,521,973,3,4,7,10405,12587,22987,634,589,1219,278,235,506,8,12,20,12,9,22,158,136,296,25,41,64,199,187,378,5829,5342,11175,48,30,72,11,28,43,5891,5396,11286,1961,1864,3826,19522,21062,40578
1013,62,105,168,2230,2779,5015,0,0,0,112,136,245,0,0,0,1933,2319,4251,7,17,30,34,27,65,84,94,180,15,16,29,24,25,47,8,7,18,70,97,170,23,47,70,273,352,621,28,34,59,19,19,38,302,465,759,151,212,355,4,10,14,5313,6652,11967,65,65,126,30,29,51,0,5,5,10,4,16,8,7,9,10,18,33,31,29,59,3685,3438,7127,23,18,41,14,26,43,3726,3487,7207,726,773,1497,9946,11138,21087
1014,99,118,211,2343,2775,5119,0,0,0,131,136,273,95,88,180,2899,3305,6206,10,8,13,86,79,169,39,39,80,8,19,30,18,24,44,0,5,5,28,40,64,54,61,116,192,212,403,33,44,80,22,36,54,344,393,740,172,175,345,6,5,6,6482,7441,13921,154,147,301,92,72,167,3,5,7,0,0,0,26,26,53,42,57,100,73,84,152,3904,3603,7506,40,32,75,19,23,40,3962,3656,7618,1352,830,2181,12212,12355,24565
1015,25,57,85,1826,2191,4018,0,0,0,105,124,229,0,0,0,1589,1918,3506,3,0,3,14,15,28,55,77,131,8,16,29,13,20,27,0,0,0,9,18,24,50,92,144,376,505,889,34,50,88,15,24,48,208,260,465,156,180,332,0,0,0,4467,5489,9957,29,36,66,22,21,48,5,0,4,5,5,10,29,30,57,17,38,53,50,67,122,3786,3489,7277,19,17,34,14,21,30,3813,3530,7346,850,781,1641,9273,9983,19255
1016,57,93,144,987,1151,2138,0,0,3,76,93,170,41,38,76,3432,3734,7169,10,8,18,15,13,30,33,53,85,71,68,140,29,26,56,14,10,23,67,63,135,139,164,301,203,258,454,13,16,30,110,126,237,343,450,797,195,237,433,0,4,9,5787,6524,12303,705,588,1300,385,280,664,0,4,5,3,0,3,441,373,817,23,19,38,468,387,854,1961,1737,3701,14,14,27,6,9,11,1980,1761,3740,820,735,1544,10202,10369,20569
1017,22,41,63,1121,1355,2478,0,0,0,47,63,109,0,0,0,1391,1636,3030,0,5,4,19,15,33,52,75,126,9,9,15,0,13,10,0,0,3,18,27,51,56,66,118,143,160,303,39,51,90,121,141,269,301,403,702,120,140,263,0,0,3,3451,4150,7595,14,14,34,15,6,22,5,0,5,8,21,31,12,5,18,18,28,48,38,55,94,2823,2694,5517,9,12,26,9,6,16,2849,2710,5559,1483,801,2285,7877,7780,15654
1018,135,194,326,1514,1875,3396,0,0,0,102,122,224,0,0,0,2575,3013,5587,5,15,24,32,24,53,51,69,116,22,20,35,13,24,41,3,5,9,42,38,80,145,190,327,491,581,1078,27,35,66,97,101,193,432,558,994,386,448,840,44,49,98,5986,7180,13165,67,64,130,65,64,126,13,9,19,8,11,16,53,44,95,87,152,241,145,211,357,6147,5901,12047,71,60,128,38,40,78,6254,5997,12249,1223,1218,2442,13877,14941,28816
1019,36,68,102,919,1107,2026,0,0,0,91,88,172,86,81,172,1204,1369,2569,0,0,0,26,21,47,27,33,64,9,19,27,10,0,11,0,0,0,23,19,42,44,49,91,185,199,383,16,28,39,20,16,38,284,349,640,92,94,184,7,3,9,3031,3490,6516,42,37,77,29,17,46,5,6,16,0,3,6,5,5,14,16,40,61,24,53,75,2224,2017,4234,31,26,56,9,21,29,2260,2060,4317,802,437,1235,6226,6163,12385
1020,33,70,101,1379,1498,2879,0,0,0,162,179,346,0,0,0,1386,1441,2826,4,8,13,41,31,70,20,20,38,5,4,9,27,14,38,0,0,0,24,32,51,59,69,128,161,185,346,16,22,34,11,13,23,264,314,578,198,212,407,7,0,3,3750,4035,7787,16,15,28,19,11,29,5,6,13,4,0,3,3,4,0,12,21,32,14,28,41,3228,2868,6092,20,19,38,10,15,26,3254,2901,6156,479,377,857,7577,7445,15020
1021,66,93,160,1894,2330,4226,0,0,0,197,252,452,4,3,4,2072,2370,4446,0,3,8,58,40,94,80,93,169,23,19,40,18,27,46,0,3,8,63,97,159,84,99,185,237,273,507,55,80,137,1162,1366,2533,353,459,808,483,573,1060,85,103,191,6878,8191,15065,40,32,71,49,27,76,7,7,16,0,4,4,9,10,20,25,43,67,40,54,92,5525,4958,10479,51,46,99,29,52,77,5602,5057,10654,841,844,1686,13517,14311,27828
1022,15,41,57,1096,1340,2434,0,0,0,39,65,109,0,0,0,1500,1593,3087,0,0,0,22,20,38,20,43,63,0,0,8,0,8,9,0,0,0,11,8,20,58,57,119,153,168,324,6,13,18,7,9,17,143,191,333,84,113,202,0,4,10,3154,3641,6795,38,33,71,21,16,34,7,4,14,4,0,5,20,23,43,5,21,31,28,42,77,2414,2214,4621,21,12,31,6,9,14,2436,2235,4673,430,416,848,6134,6433,12563
1023,37,59,96,1298,1533,2825,0,0,0,72,81,158,3,5,4,1221,1260,2480,0,0,3,11,18,27,25,38,65,6,3,11,4,0,8,10,6,17,7,17,26,24,30,58,115,112,231,7,7,14,15,14,34,118,152,269,100,97,199,5,9,14,3049,3389,6439,35,27,62,33,21,58,3,3,13,6,0,0,20,18,42,8,14,27,30,29,64,2376,1984,4365,14,10,25,3,9,18,2397,2008,4405,720,420,1144,6308,5968,12272
1024,84,145,231,2550,3146,5697,0,0,0,148,183,327,0,0,0,2623,3184,5800,12,14,26,119,124,249,41,61,102,7,7,14,25,47,77,4,5,12,29,42,68,216,296,507,401,486,891,19,36,56,20,21,42,474,576,1052,231,268,498,3,5,10,6926,8503,15427,84,52,138,27,24,59,8,10,21,5,0,7,8,10,16,21,32,55,36,46,80,5573,5019,10592,31,29,62,20,31,49,5624,5079,10704,893,873,1764,13682,14735,28418
1025,1684,2440,4122,35832,42882,78715,4,0,4,3792,4216,8011,191,186,376,45378,52398,97779,121,164,287,2263,2326,4586,567,784,1357,382,443,822,324,451,779,108,108,216,1307,1506,2818,2447,2844,5288,4824,5652,10475,662,864,1527,781,924,1702,7538,10629,18169,5400,6293,11693,257,271,533,112176,132947,245133,2034,1762,3796,2384,1888,4266,150,167,313,54,57,116,507,390,898,516,909,1427,1080,1361,2434,111997,103196,215193,964,762,1725,331,564,894,113290,104522,217814,16586,13962,30551,249387,259044,508437
1026,140,217,354,2874,3419,6297,0,0,0,306,328,636,0,0,0,3105,3596,6707,25,30,56,93,81,176,86,106,190,34,35,64,30,33,60,5,5,7,41,57,93,153,207,366,469,561,1031,63,53,112,19,24,38,414,551,965,486,532,1021,6,10,15,8207,9628,17835,224,181,402,85,79,168,16,15,36,3,9,13,49,41,85,65,97,160,118,138,254,8085,7531,15610,43,36,81,22,33,55,8147,7597,15752,2374,1508,3876,19311,19369,38678
1027,154,191,345,2940,3582,6529,0,0,0,229,278,511,119,132,257,5202,5831,11028,10,21,33,93,94,186,67,80,145,26,26,53,35,34,66,17,8,27,231,237,465,221,316,539,412,467,878,29,43,67,26,32,63,849,1102,1949,519,579,1101,5,3,12,11030,12866,23899,263,229,485,146,129,278,15,9,27,4,4,9,64,46,118,49,79,132,119,130,253,7122,6547,13668,49,43,96,18,33,49,7189,6625,13813,1413,1400,2818,20336,21582,41920
1028,162,236,403,3951,5105,9057,0,0,0,207,234,437,0,0,3,4860,6019,10881,7,16,27,76,84,161,65,90,157,15,23,40,56,66,123,24,24,49,233,242,476,216,285,496,604,764,1369,65,98,167,96,146,242,645,922,1572,623,772,1393,15,19,38,11762,14921,26674,188,170,357,76,82,160,22,21,46,9,0,12,44,29,73,67,101,164,114,133,251,9717,9183,18902,93,42,132,35,73,105,9846,9305,19145,1567,1602,3167,23733,26465,50193
1029,47,79,123,1792,1986,3773,0,0,0,109,110,213,68,67,135,1826,1855,3678,0,0,3,13,11,19,17,26,46,5,5,9,18,17,32,0,0,0,38,41,81,65,68,133,141,113,255,8,15,26,14,14,31,260,310,573,145,152,301,22,26,48,4551,4808,9360,43,35,75,36,20,51,0,0,0,0,0,0,3,3,6,21,22,45,24,19,48,3372,2827,6203,23,12,36,10,8,13,3406,2844,6254,694,410,1098,8800,8219,17018
1030,57,93,143,1725,2112,3838,0,0,0,116,144,255,0,0,0,1667,1959,3622,7,0,8,127,113,245,61,87,145,10,10,24,34,31,71,0,6,8,25,27,46,44,54,105,186,223,409,17,27,50,12,14,28,174,273,445,179,230,409,0,7,7,4393,5311,9705,21,13,33,34,24,63,4,11,18,8,3,8,0,0,3,22,37,54,25,41,66,4414,4127,8541,33,17,48,23,34,58,4466,4184,8646,746,682,1432,9748,10354,20105
1031,84950,111732,196680,189032,220594,409638,7309,7875,15182,25721,29327,55052,1543,1595,3139,535049,586954,1122007,1598,1825,3423,84860,89416,174278,4650,6063,10718,5218,5539,10757,3204,3902,7101,14337,14571,28905,10259,11438,21699,20217,24148,44367,33753,38847,72606,1578,2110,3683,4555,5508,10059,30481,38052,68529,57915,65111,123025,1710,1895,3602,1032989,1154779,2187773,131583,119324,250902,170462,157250,327716,18128,19248,37377,171,193,362,20334,17803,38131,12845,14225,27071,33350,32218,65571,744632,682811,1427445,7344,5862,13202,2806,4420,7223,754785,693089,1447875,163779,152375,316151,2390019,2440022,4830047
1032,155,190,344,4351,5295,9644,0,0,0,195,227,423,65,68,132,4484,5117,9598,7,10,19,38,23,62,76,98,175,27,21,46,18,27,49,11,9,18,82,70,154,194,243,435,495,642,1137,44,51,97,45,34,81,595,802,1399,466,493,959,17,13,33,11202,13263,24468,251,234,488,180,127,305,3,3,12,16,12,25,91,74,168,39,76,110,137,160,303,7416,6697,14112,42,36,81,19,24,40,7472,6759,14231,1892,1824,3712,21306,22567,43874
1033,58,101,155,2666,3090,5756,0,0,0,267,288,556,0,0,0,1774,2114,3890,6,20,27,38,29,67,65,91,151,37,41,75,20,26,38,5,7,14,50,44,94,88,105,190,366,466,827,72,124,199,52,68,121,411,653,1061,307,378,686,3,10,10,6217,7548,13771,46,54,93,45,56,102,5,15,16,11,10,22,12,14,23,25,47,68,46,67,114,5030,4761,9787,29,25,56,18,29,50,5077,4817,9891,1192,1178,2370,12682,13836,26519
1034,82,121,205,1359,1637,2997,0,0,0,163,223,391,0,0,0,1522,1827,3352,3,6,3,60,46,106,31,40,75,9,8,10,20,19,38,0,0,0,10,21,31,28,33,59,181,200,373,6,15,20,6,13,19,246,320,561,129,175,301,6,5,15,3775,4578,8353,21,26,43,16,5,23,7,9,19,0,0,0,0,0,0,18,26,46,23,26,52,3655,3418,7070,25,20,46,14,24,42,3698,3454,7160,593,579,1167,8222,8802,17026
1035,172,209,377,3892,4841,8740,0,0,0,328,359,682,92,92,184,7288,8347,15638,34,32,74,90,84,178,54,78,130,31,29,61,215,288,501,91,101,191,176,154,326,233,294,531,927,1177,2104,45,33,77,73,73,147,800,1112,1914,529,617,1143,8,10,16,14917,17734,32652,340,267,607,330,278,610,3,6,13,3,11,14,111,85,192,444,527,973,560,623,1181,9172,8624,17791,80,53,132,25,42,66,9281,8717,17998,1824,1748,3576,27428,29574,57003
1036,1189,1898,3080,18752,22885,41635,13,10,20,1148,1329,2482,155,156,305,33446,37679,71127,112,144,253,6050,6068,12121,540,717,1259,159,202,361,420,538,959,246,224,469,427,516,940,1139,1322,2462,2406,2870,5278,240,356,601,144,200,344,3122,4285,7412,4111,4475,8590,73,85,160,72711,84061,156775,1277,997,2275,3357,3172,6530,111,94,207,25,29,53,171,163,336,359,535,889,552,726,1277,60944,55101,116045,537,463,1000,224,351,575,61704,55914,117618,9217,8714,17936,150115,155575,305691
