SUA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
1010,690,100,262,18,1073,292,24,68,3,388,198,26,183,8,412,182,36,350,15,575,940,108,663,30,1743,661,159,1309,33,2157,4770,425,1601,78,6875,3097,599,2050,154,5900,3257,1100,2237,187,6776,3705,1960,1918,166,7752,2043,2101,1299,90,5534,2241,2354,1172,86,5847,4490,5662,1796,136,12080,2835,5195,780,65,8875,2035,4517,436,36,7022,1136,2932,171,14,4258,2731,7254,396,27,10413,1251,2620,1146,50,5073,577,264,268,31,1142,37135,37431,18103,1220,93891
1011,137,27,42,5,212,75,3,23,6,106,46,18,39,5,108,43,7,77,3,130,245,48,140,14,447,157,35,320,7,523,1168,129,372,30,1686,747,180,455,22,1403,852,311,487,38,1689,984,529,461,30,2000,530,463,307,18,1320,569,514,211,14,1307,1010,1167,286,28,2489,601,982,99,13,1696,418,693,62,6,1181,213,473,19,0,706,443,981,62,6,1492,322,574,271,12,1174,159,50,69,12,285,8711,7180,3810,261,19961
1012,60,15,28,0,102,29,6,3,0,35,16,3,31,0,51,9,4,34,0,48,81,10,87,0,175,59,13,143,4,218,387,51,173,16,618,242,65,214,27,550,262,143,285,17,711,351,221,193,21,795,213,250,161,19,647,249,281,118,3,657,636,696,171,32,1535,389,573,69,10,1040,279,452,34,5,775,132,315,24,6,468,264,635,34,0,939,194,419,127,11,748,78,22,56,10,168,3943,4171,1991,175,10276
1013,67,10,15,0,82,41,0,8,3,52,25,0,15,0,40,21,3,16,3,48,116,4,40,0,164,69,6,82,4,160,689,25,110,3,832,387,47,153,20,606,367,85,148,7,608,370,111,96,9,585,138,114,61,8,321,152,121,54,0,330,275,229,55,11,570,144,153,26,0,332,100,117,15,0,227,43,70,0,0,114,107,150,9,0,266,133,127,80,0,346,92,13,27,0,142,3338,1394,1007,77,5820
1014,43,10,7,3,57,16,0,10,0,27,12,4,10,0,27,12,3,29,0,40,48,9,53,0,114,45,15,92,3,153,326,38,114,4,482,178,46,138,6,364,198,63,158,13,437,256,136,137,12,542,146,156,97,6,404,182,157,69,6,416,338,387,123,12,863,251,337,55,6,647,151,267,25,9,454,80,198,13,0,289,163,332,13,0,508,84,184,68,3,339,46,14,19,0,80,2559,2350,1236,92,6245
1015,22,6,11,4,51,18,0,8,0,23,15,7,13,0,30,7,0,43,0,54,50,5,79,5,133,33,10,114,3,157,353,32,139,12,536,215,48,157,24,441,237,112,185,13,546,248,135,111,12,508,119,143,69,3,334,116,125,57,9,306,217,279,77,8,582,117,207,25,0,350,81,122,18,4,218,30,83,5,0,117,83,114,8,0,215,78,143,74,8,302,35,11,33,6,82,2063,1579,1226,104,4973
1016,52,13,10,0,76,18,3,3,0,25,8,4,11,0,20,7,3,22,0,35,44,7,45,0,98,28,12,55,0,94,182,30,72,5,292,117,57,97,3,279,142,91,110,6,349,196,158,80,15,443,119,147,61,12,338,184,172,52,5,415,297,416,90,11,815,172,347,24,7,551,129,205,22,3,356,67,150,15,0,237,102,308,13,0,425,80,190,60,11,337,52,11,19,3,93,1997,2336,852,84,5279
1017,23,3,12,3,43,12,0,5,0,18,8,4,14,0,20,4,5,31,0,38,40,10,68,4,123,53,8,100,4,162,303,18,115,9,454,169,40,131,11,359,156,80,119,11,366,174,105,114,17,404,79,91,62,0,235,95,92,34,4,227,145,208,57,6,410,64,153,21,3,243,36,107,10,0,156,14,48,4,0,66,33,95,5,0,136,53,99,68,11,228,36,17,39,0,94,1503,1175,1015,90,3785
1018,30,4,19,0,54,15,0,13,0,30,13,6,19,0,33,11,4,44,0,62,55,8,77,4,149,45,13,147,6,218,355,30,184,6,572,259,70,233,25,592,258,122,215,18,611,297,201,197,25,719,165,180,151,4,504,200,213,108,11,536,402,510,131,11,1062,224,355,74,3,657,108,249,38,3,393,61,137,13,0,211,108,225,34,0,364,90,138,130,7,362,44,21,29,4,99,2749,2477,1868,140,7238
1019,25,0,7,0,28,13,6,3,0,25,3,3,8,0,19,7,0,25,0,37,51,6,43,3,106,28,5,62,0,93,210,20,75,3,316,115,25,108,15,265,130,51,75,6,256,130,63,77,4,280,76,55,41,7,174,62,73,26,0,162,132,156,41,9,332,84,126,20,4,231,51,97,18,0,168,32,61,0,0,95,80,177,11,0,264,58,86,34,5,182,30,9,13,4,51,1322,1020,693,57,3089
1020,36,8,8,0,57,15,0,6,0,22,7,0,4,5,15,5,0,7,0,18,42,0,24,0,71,44,5,51,0,104,215,21,44,0,274,133,29,74,5,241,149,45,86,7,288,150,97,66,0,310,92,99,59,4,253,111,116,38,0,263,210,306,53,3,571,130,269,34,0,425,113,261,15,0,393,43,149,8,0,197,92,276,17,0,381,63,190,43,0,297,36,19,14,0,73,1693,1885,644,34,4259
1021,55,4,21,0,87,35,0,6,0,45,19,9,12,0,40,19,0,21,0,42,94,8,58,4,165,74,18,109,3,202,501,30,126,4,665,313,68,159,17,554,378,98,154,9,639,349,167,135,5,656,154,175,98,13,434,179,192,89,5,458,394,494,101,16,1002,236,397,59,6,698,166,317,31,3,512,76,233,12,0,319,161,434,28,0,619,118,252,84,0,455,59,26,33,0,120,3355,2936,1329,95,7713
1022,17,4,0,0,23,7,0,4,0,11,4,0,5,0,9,0,0,16,0,24,25,3,15,0,45,21,3,50,0,78,136,13,60,0,216,87,24,75,5,187,80,32,63,6,181,120,59,50,6,236,76,62,49,5,196,65,87,31,4,187,182,234,56,7,475,114,195,21,3,335,105,165,22,0,292,56,93,6,0,153,159,269,9,0,442,57,106,32,4,202,26,10,5,0,39,1346,1357,566,46,3319
1023,23,7,5,0,43,14,0,4,0,17,11,6,9,0,24,5,5,18,0,25,33,7,34,0,83,20,6,79,0,104,140,14,62,0,216,66,19,91,7,184,74,47,80,7,209,92,60,47,5,204,56,86,38,5,178,52,89,33,3,174,149,175,59,4,391,92,168,14,7,282,97,149,14,0,252,41,85,7,0,134,111,215,10,3,337,66,130,35,0,226,17,5,20,0,50,1165,1266,663,40,3129
1024,101,3,12,0,118,51,0,5,0,58,37,0,12,0,50,23,10,19,3,48,128,7,43,0,182,81,16,99,3,198,622,22,114,3,760,427,42,165,11,646,474,111,148,11,743,529,145,122,13,807,229,147,101,10,481,243,170,63,5,474,490,406,95,6,998,247,322,28,5,604,179,255,17,0,453,96,162,8,0,271,268,398,23,0,691,153,252,97,5,515,82,11,9,5,109,4457,2488,1187,79,8208
1025,781,136,304,34,1263,321,36,106,9,470,249,55,278,17,596,202,40,549,18,812,1161,137,982,42,2315,891,228,1705,57,2873,6116,536,2154,139,8934,4121,782,2916,272,8088,4344,1558,3112,277,9299,5010,2500,2596,263,10369,2889,2769,1926,165,7750,3164,3056,1612,148,7986,7020,8156,2561,265,18003,4899,7663,1112,133,13809,3618,7062,655,86,11421,2045,4828,237,31,7147,4199,11982,530,54,16772,1983,4268,1614,85,7962,728,313,343,56,1436,53742,56110,25283,2166,137303
1026,70,12,20,4,102,22,9,3,0,39,25,7,24,0,55,23,4,44,0,65,102,10,104,6,225,80,21,183,11,290,597,68,209,12,893,340,88,283,27,736,377,188,244,24,833,469,297,236,15,1018,233,261,127,7,625,255,305,113,10,680,469,632,134,18,1256,292,498,66,9,867,211,328,31,7,572,97,233,16,0,353,171,436,25,0,626,147,284,115,6,558,80,33,34,0,154,4045,3720,2011,168,9950
1027,52,5,23,0,83,25,0,16,0,37,19,0,23,5,47,18,11,51,0,78,96,8,70,6,176,61,19,158,9,244,394,54,187,8,641,296,61,216,23,597,312,119,226,18,676,349,201,195,26,768,245,233,152,11,646,265,254,118,14,648,530,675,198,18,1411,379,660,74,10,1119,287,539,58,3,888,205,370,16,8,599,364,901,46,6,1315,164,351,103,10,633,62,34,38,10,141,4120,4487,1957,165,10728
1028,96,3,27,3,129,44,9,14,0,69,44,0,19,0,71,25,9,43,0,78,168,6,111,5,293,99,18,198,3,319,937,55,214,11,1208,612,106,303,22,1042,662,164,322,26,1172,770,318,277,24,1382,379,266,159,9,815,411,283,147,14,847,731,705,213,26,1677,445,649,60,10,1169,293,544,32,0,865,168,332,14,0,508,380,816,39,0,1237,217,333,140,11,706,91,35,27,4,156,6566,4640,2376,175,13754
1029,32,0,15,0,51,13,0,4,0,18,10,0,7,3,23,7,0,17,0,27,37,3,45,0,89,29,8,55,0,93,138,20,72,6,235,88,18,80,5,196,112,44,87,5,251,144,74,68,14,294,75,89,52,10,222,86,104,44,3,232,191,298,85,9,577,146,267,39,0,458,136,243,27,3,407,89,177,3,0,269,178,458,25,3,656,97,180,42,0,324,14,16,9,0,45,1627,1995,768,57,4457
1030,66,8,9,5,83,21,0,6,0,32,21,4,13,0,35,18,5,19,0,42,83,10,45,5,137,75,13,87,3,177,553,39,81,4,678,306,29,130,9,473,327,71,137,8,546,314,143,122,6,586,161,151,65,10,390,155,153,60,4,370,281,288,70,9,642,173,210,29,5,420,100,153,13,5,272,56,90,6,0,156,132,165,8,0,313,111,145,56,0,312,58,10,14,0,83,3016,1694,981,60,5746
1031,14135,3770,5322,549,23775,3794,719,1163,160,5828,2665,1339,2466,221,6692,2205,1284,3988,199,7685,10301,3155,6804,480,20739,7113,4710,10364,554,22736,34927,9417,12268,922,57539,22270,13029,15838,1845,52991,25891,21694,17559,2004,67148,31246,29035,17061,2446,79786,20030,27507,13609,1634,62777,23160,29726,12036,1651,66573,52886,73313,22162,3107,151465,39878,63186,10711,2033,115809,32413,61614,7873,1186,103091,22833,45837,3656,680,73005,72251,194027,11688,1329,279294,13688,34209,10946,747,59581,5475,5207,2710,389,13787,437152,622774,188234,22147,1270313
1032,61,15,35,6,113,30,5,11,0,46,23,9,29,3,62,13,0,59,0,78,103,13,130,3,249,73,9,206,8,297,532,42,262,16,854,356,83,283,25,743,360,167,352,23,905,453,264,248,24,981,248,282,150,16,693,335,340,130,19,827,673,778,179,17,1645,368,593,63,18,1037,264,435,32,5,732,96,253,12,5,367,261,508,32,0,810,180,319,133,7,632,61,30,53,13,165,4481,4148,2401,204,11242
1033,40,12,24,0,76,24,0,15,3,40,14,3,29,0,45,15,7,58,0,70,92,10,101,7,208,53,19,161,8,240,566,56,183,11,820,302,74,259,19,656,312,139,241,15,710,336,222,162,16,733,157,154,77,8,402,166,210,76,12,464,312,374,78,5,771,126,259,34,3,427,79,160,11,0,256,31,99,0,0,143,84,117,13,4,215,114,176,111,11,412,83,31,54,6,178,2913,2124,1689,138,6858
1034,58,0,7,0,62,30,0,0,0,32,24,5,10,0,32,16,0,12,0,25,103,9,35,5,156,68,9,68,0,143,405,21,77,3,506,262,26,110,9,408,297,75,128,15,513,301,119,79,4,503,141,121,67,0,329,151,112,40,0,301,250,283,53,14,590,143,200,12,0,364,63,138,5,0,207,40,76,6,0,121,117,132,12,0,263,74,127,56,4,265,49,5,14,0,66,2570,1468,787,46,4881
1035,66,7,33,3,113,26,7,9,3,51,30,0,44,0,80,17,5,66,0,93,125,29,146,6,306,93,24,247,4,361,523,70,234,9,834,331,103,297,24,758,438,208,325,38,1010,562,321,266,35,1184,345,286,187,15,830,404,397,180,20,997,834,939,231,27,2040,557,784,96,14,1449,374,711,53,9,1150,181,483,24,0,684,380,1059,49,3,1495,271,504,165,7,951,86,40,54,7,193,5647,5998,2707,234,14576
1036,630,96,188,24,940,236,19,71,3,331,155,46,168,11,384,152,37,334,6,531,842,107,577,32,1552,659,155,955,38,1809,3898,402,1153,76,5524,2628,528,1598,152,4906,2653,1035,1596,150,5428,2962,1621,1486,153,6222,1716,1643,1035,89,4482,1870,1937,893,75,4774,3789,4980,1439,126,10339,2781,4852,590,56,8286,2029,4417,441,36,6917,1242,3135,165,22,4571,2524,8153,377,32,11083,937,2321,893,47,4203,419,233,203,29,887,32137,35709,14154,1177,83172
