SUA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1010,5552,6847,14491,16191,17124,13481,3050,315,30,77066,3647,1721,3878,4061,4493,8931,17438,12122,5194,61492,410,433,999,993,882,916,1125,1342,1379,8483,9608,8999,19367,21243,22507,23332,21603,13778,6602,147043,1734,5573,16085,18537,20056,13840,2349,159,15,78332,5845,5217,8310,9865,9777,9423,3358,485,33,52299,1934,1995,3396,2772,2543,2480,815,102,9,16052,168,254,606,479,441,264,93,49,19,2370,9675,13034,28390,31653,32823,26001,6607,796,71,149052,414,656,900,675,820,671,74,4,4,4228,1005,391,402,404,381,463,132,15,3,3193,1421,1047,1297,1080,1196,1128,204,22,5,7416,11099,14082,29694,32738,34017,27129,6815,818,76,156473,8028,3304,6086,6251,7673,15341,31432,22476,8406,108988,880,894,2074,1986,1947,1864,2057,2241,2042,15975,20002,18281,37850,40975,43634,44328,40301,25537,10520,281435
1011,1309,1260,3199,3597,3798,3142,752,51,8,17123,678,294,803,728,768,1840,4019,2647,1101,12873,102,94,305,268,225,230,235,298,273,2026,2091,1652,4306,4588,4781,5203,5004,3002,1382,32016,409,1190,3475,4005,4377,2917,546,39,3,16962,1650,1040,2166,2345,2257,2415,969,92,10,12937,138,105,335,252,224,323,110,11,4,1488,34,75,157,116,90,71,32,9,6,582,2232,2406,6133,6714,6948,5716,1661,146,20,31976,92,130,203,176,196,141,17,0,0,957,224,80,135,123,109,146,32,5,4,852,322,212,340,297,306,284,45,0,4,1813,2551,2619,6468,7018,7255,6004,1703,152,23,33790,1470,569,1256,1188,1375,3334,7468,4870,1846,23382,221,199,611,553,488,459,443,493,411,3878,4245,3387,8340,8761,9115,9795,9620,5513,2277,61051
1012,676,942,2636,2061,1776,1508,393,45,0,10039,335,210,496,308,342,666,1340,1122,498,5318,88,104,287,219,184,143,128,131,72,1353,1098,1263,3419,2582,2298,2318,1863,1293,572,16703,367,1153,3488,2736,2477,1956,422,49,3,12642,804,445,1282,1012,755,810,397,74,8,5588,57,56,280,133,104,111,55,3,0,801,24,47,128,63,48,34,9,7,0,364,1256,1699,5182,3948,3384,2912,882,134,13,19401,54,67,88,74,71,38,6,0,0,404,85,40,54,39,32,32,12,0,0,295,143,108,143,113,101,67,16,0,0,697,1393,1809,5322,4060,3487,2979,898,132,13,20093,725,368,717,488,576,1097,2355,1938,774,9042,207,225,580,429,380,300,249,213,119,2700,2327,2400,6620,4981,4442,4373,3507,2274,909,31834
1013,282,260,601,690,829,867,265,27,0,3831,146,66,148,151,246,732,1795,1369,612,5262,26,15,55,48,53,73,128,178,217,782,456,343,802,885,1127,1679,2188,1572,829,9875,102,228,598,736,854,704,162,12,3,3397,346,207,398,490,547,703,309,48,3,3058,27,22,54,44,70,100,30,8,0,362,20,22,21,25,28,30,12,9,0,175,498,477,1078,1290,1502,1534,518,78,10,6986,33,35,48,44,46,48,3,0,0,259,24,15,18,15,26,44,12,0,0,149,60,55,72,60,72,96,14,0,0,412,561,526,1144,1348,1565,1631,529,78,10,7395,305,124,248,281,471,1315,3409,2598,1053,9796,46,42,104,86,110,143,252,294,293,1366,915,690,1493,1717,2149,3089,4185,2963,1355,18557
1014,377,501,1257,1108,1115,949,231,22,0,5562,199,101,294,235,278,512,1154,847,431,4051,39,33,98,88,72,65,73,67,37,563,613,635,1650,1432,1467,1527,1460,933,470,10178,197,635,1617,1506,1385,1129,194,17,0,6688,429,318,663,546,553,635,268,38,0,3440,36,39,138,84,75,118,38,3,0,540,10,27,64,35,29,18,10,0,0,202,673,1024,2489,2173,2055,1902,508,58,4,10874,36,43,65,42,56,48,3,0,0,303,45,24,37,32,37,26,9,0,0,215,78,69,106,75,94,74,13,4,0,515,756,1088,2590,2246,2146,1969,520,64,0,11386,456,243,602,480,600,931,2056,1525,663,7550,81,83,202,160,155,133,147,103,62,1130,1294,1414,3394,2882,2907,3036,2721,1688,733,20071
1015,268,378,767,772,802,673,160,17,0,3832,180,128,286,214,282,512,993,811,423,3828,36,40,87,81,73,58,62,80,82,599,478,550,1141,1061,1159,1243,1216,901,505,8256,97,385,859,891,922,742,134,13,0,4038,354,264,470,434,462,475,173,34,3,2658,27,19,92,51,46,64,20,3,0,328,13,28,47,28,17,20,9,5,0,171,498,688,1466,1407,1445,1298,329,54,5,7194,49,61,72,56,51,47,4,0,0,336,54,24,35,28,27,25,3,0,0,199,101,88,110,81,79,73,6,0,0,540,600,776,1581,1484,1526,1369,337,56,5,7730,413,205,401,365,501,909,1881,1424,655,6754,76,86,179,156,151,123,123,138,114,1142,1089,1069,2156,2003,2176,2406,2342,1614,777,15625
1016,357,420,1237,1067,961,765,215,33,0,5062,197,103,308,177,209,302,617,526,291,2734,27,51,118,86,70,71,67,62,90,632,579,574,1661,1327,1233,1137,899,630,385,8422,197,590,1756,1505,1364,1060,244,22,4,6731,405,235,591,571,464,491,239,50,0,3040,24,18,91,46,42,49,16,7,0,305,16,32,64,42,30,25,14,4,3,231,646,880,2506,2159,1894,1626,512,77,8,10301,26,34,64,41,30,14,4,0,0,213,32,18,35,22,17,15,4,0,0,139,57,54,99,64,44,29,8,0,0,352,704,930,2602,2218,1947,1651,518,77,8,10655,424,180,450,305,369,513,1054,933,446,4666,56,93,255,172,156,140,126,115,145,1274,1185,1204,3312,2701,2467,2305,1694,1125,603,16593
1017,251,250,498,556,584,539,139,16,0,2832,190,115,235,188,246,445,786,529,252,2987,45,32,78,75,73,59,64,68,63,553,481,397,818,821,901,1042,985,617,305,6375,105,258,508,570,634,474,109,10,0,2667,251,156,353,301,341,404,162,20,5,1996,27,24,51,46,40,52,29,4,0,269,16,20,27,33,29,13,5,0,0,143,402,457,948,951,1044,936,303,39,5,5082,35,44,58,56,42,46,0,0,0,277,42,24,39,22,30,39,12,0,0,197,80,72,96,77,69,83,11,0,0,477,477,529,1046,1030,1109,1020,306,39,5,5558,428,307,664,528,534,871,1514,978,379,6189,91,74,136,152,144,141,115,118,79,1050,1002,906,1841,1709,1783,2033,1933,1139,460,12802
1018,505,602,1321,1333,1419,1251,304,27,4,6766,264,156,342,350,376,654,1347,972,484,4962,78,74,142,118,81,90,71,84,78,815,847,839,1808,1804,1880,1991,1721,1088,563,12543,191,560,1496,1488,1590,1356,224,18,0,6921,645,494,908,880,885,816,348,42,6,5023,40,47,129,99,81,112,43,7,0,554,18,17,45,55,40,20,14,12,0,219,895,1116,2577,2522,2593,2312,619,73,12,12716,26,68,84,59,66,70,3,0,0,383,107,55,58,48,42,58,21,0,0,387,137,126,138,103,113,134,25,0,0,771,1032,1240,2711,2629,2706,2442,646,69,8,13489,593,313,558,542,705,1224,2471,1663,746,8810,141,146,276,231,202,181,152,134,114,1565,1768,1709,3541,3398,3609,3848,3261,1862,862,23865
1019,151,213,496,423,502,488,101,9,0,2386,135,44,137,154,204,375,693,536,238,2507,13,10,38,37,44,35,48,59,22,318,301,272,678,614,745,892,844,606,258,5213,81,235,581,492,635,512,90,9,0,2632,156,149,296,277,275,323,99,22,4,1590,30,34,88,36,53,69,21,0,0,335,3,14,19,23,14,11,6,4,0,91,273,432,980,819,977,915,219,34,4,4647,14,20,42,47,39,24,5,0,0,193,31,19,15,15,10,25,3,0,0,124,49,40,54,63,54,54,10,0,0,321,318,475,1038,881,1027,962,225,36,4,4964,279,125,323,301,369,692,1330,962,350,4737,42,25,104,95,91,87,110,100,31,692,639,627,1468,1276,1486,1748,1664,1100,388,10392
1020,290,293,624,771,796,544,125,4,3,3450,143,60,161,161,173,379,695,383,73,2227,7,22,31,35,31,33,36,28,6,242,443,373,814,963,1001,962,859,416,86,5920,124,303,764,959,1032,660,123,5,0,3972,318,218,350,438,472,382,134,21,3,2338,62,49,97,70,64,86,28,0,0,456,9,11,30,23,26,14,0,0,0,124,513,577,1237,1494,1601,1144,283,29,11,6890,20,33,30,27,38,28,4,0,0,177,50,26,18,13,10,14,8,0,0,145,74,59,48,42,48,45,6,0,0,324,581,635,1289,1534,1652,1191,296,29,11,7211,338,116,214,240,282,673,1346,773,136,4115,26,45,72,68,88,81,80,60,21,544,950,803,1573,1844,2020,1939,1724,863,166,11876
1021,421,540,1210,1085,1274,1036,259,28,4,5857,293,183,314,309,277,773,1491,1286,631,5563,38,37,61,65,55,58,87,98,44,540,750,754,1585,1455,1610,1871,1839,1414,683,11958,163,564,1321,1288,1525,1095,190,20,0,6172,414,405,752,700,739,756,299,49,4,4120,120,99,219,177,149,156,61,8,0,989,17,25,57,40,38,29,9,0,0,214,723,1096,2345,2206,2451,2035,559,75,4,11500,42,52,74,65,55,65,7,0,0,366,90,53,39,25,30,34,10,0,0,282,128,110,111,89,84,97,20,4,0,653,856,1199,2463,2297,2534,2136,577,81,4,12149,593,326,488,468,551,1283,2786,2349,1055,9896,57,80,128,135,102,128,158,162,77,1034,1503,1600,3079,2902,3191,3547,3521,2595,1138,23078
1022,232,238,718,621,596,440,93,26,0,2977,88,53,165,116,117,227,493,412,194,1857,10,18,47,37,37,35,30,33,36,285,328,308,929,775,752,705,615,462,233,5114,130,343,935,790,775,519,112,15,0,3626,238,137,359,380,321,315,117,28,6,1897,39,14,99,66,37,39,14,4,0,314,9,7,29,20,20,13,0,5,3,111,408,505,1429,1261,1159,890,239,52,3,5949,19,16,24,28,19,8,3,0,0,115,28,9,16,14,15,13,0,0,0,96,43,19,46,44,26,27,5,0,0,213,456,523,1475,1299,1186,916,245,56,3,6167,221,84,221,169,207,391,856,714,299,3155,30,34,95,92,75,71,67,55,48,564,710,642,1786,1560,1469,1379,1167,822,353,9889
1023,198,241,649,538,537,362,88,10,0,2613,137,70,210,169,173,283,405,237,102,1780,22,17,50,53,42,30,33,28,17,293,354,327,906,756,753,682,516,271,122,4681,106,309,851,749,748,502,84,7,0,3351,232,144,327,293,264,226,78,4,0,1568,19,19,76,49,40,47,12,5,0,266,4,10,33,32,14,9,10,0,0,114,359,481,1287,1121,1069,778,183,17,0,5299,24,24,53,36,33,35,0,0,0,208,28,16,31,17,16,19,10,0,0,136,51,48,80,49,46,51,7,0,0,341,407,527,1363,1172,1113,833,193,17,5,5638,313,121,360,329,317,505,770,446,152,3318,48,41,135,96,98,70,55,54,23,618,770,696,1860,1603,1528,1404,1026,517,179,9573
1024,410,433,781,1025,1415,1261,295,31,0,5660,236,79,204,227,299,1024,2243,1579,527,6425,27,26,42,54,63,90,129,162,140,737,669,537,1032,1310,1778,2380,2671,1774,671,12823,144,365,833,1081,1600,1173,190,24,0,5406,513,360,530,693,860,1061,417,82,0,4509,140,92,146,116,142,196,63,6,0,906,21,20,32,31,21,26,10,3,0,172,815,834,1545,1923,2623,2457,678,107,0,10996,25,32,38,46,71,57,10,0,0,282,52,19,33,34,31,62,19,0,0,254,74,56,76,81,107,119,23,6,0,537,887,894,1620,2006,2727,2579,705,114,0,11528,518,149,351,346,514,1724,4155,3029,894,11683,64,56,104,98,138,196,232,297,201,1388,1471,1097,2069,2450,3381,4501,5085,3440,1104,24604
