LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,0,0,10,13,41,15,61,25,35,34,24,16,267,172,363,273,612,324,357,332,213,115,2758,0,0,0,0,0,0,0,0,0,0,318,661,486,971,540,650,571,335,150,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,19,15,17,0,62,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,4,5,5,0,27,7,31,18,49,30,38,32,24,11,247,208,534,371,839,519,557,412,240,94,3778,0,0,0,0,0,0,0,0,0,0,434,993,716,1400,861,921,705,352,140,6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,23,11,38,29,28,11,151,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA10900,0,7,14,43,24,5,3,0,0,97,0,0,0,0,9,13,17,13,3,54,0,0,0,0,4,3,0,0,0,9,0,23,23,195,169,170,173,123,43,924,53,138,91,269,178,154,170,157,138,1344,1905,4765,3782,8640,5695,5971,5497,2897,1108,40258,0,0,0,8,0,0,0,0,0,9,3728,9147,7470,13652,8259,8083,7199,3304,1062,61900,0,0,0,3,3,5,0,0,0,12,0,0,0,5,3,0,4,4,0,17,0,0,9,28,10,8,10,0,0,58,0,0,3,17,11,4,3,0,0,40,0,5,8,51,54,47,33,13,3,214,0,0,3,27,30,28,24,11,8,132,0,10,18,80,48,47,39,18,3,263,0,0,0,7,11,29,20,19,0,74,0,5,0,0,4,14,21,9,3,50,4,74,99,416,645,1027,1124,681,198,4265,0,0,0,16,15,20,19,8,0,79,0,7,0,41,29,29,34,5,6,159
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,7,12,14,13,16,12,9,9,93,81,159,129,277,176,148,103,109,39,1225,0,0,0,0,0,0,0,0,0,0,155,293,255,441,291,266,181,169,60,2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,4,0,21,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,42,25,64,25,26,19,12,0,225,82,168,134,318,144,152,101,53,22,1178,0,0,0,0,0,0,0,0,0,0,143,263,213,416,227,244,167,85,28,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,21,28,20,20,3,3,0,116,43,83,77,185,96,94,62,26,14,679,0,0,0,0,0,0,0,0,0,0,77,165,123,251,128,159,109,44,14,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,7,0,0,6,11,7,6,7,0,0,33,28,107,71,179,75,87,76,95,87,802,483,1019,875,2089,993,1320,1112,735,388,9020,0,0,0,0,0,0,0,0,0,0,891,1781,1649,3422,1711,2279,1918,1045,431,15119,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,18,0,0,0,0,0,0,0,3,3,4,0,0,0,3,0,0,0,0,0,3,0,5,5,17,20,34,40,27,3,137,0,3,0,0,4,0,0,0,0,9,0,0,0,3,0,0,4,0,0,4
LGA11300,0,18,125,210,111,94,72,13,6,640,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,22,35,200,72,87,75,74,30,599,26,45,153,331,87,89,78,114,153,1082,763,1682,3356,6770,2416,2121,1618,1107,718,20556,0,0,0,0,0,0,0,0,0,0,1414,2715,2785,3830,1608,1239,676,392,233,14891,0,0,9,57,4,4,0,0,0,75,0,0,0,7,0,3,9,6,0,26,0,4,5,61,3,7,0,0,0,79,0,0,10,28,15,16,14,4,4,86,0,0,3,20,14,3,0,5,0,47,0,0,4,23,8,10,9,3,0,64,11,129,947,2995,1069,1100,617,254,170,7291,0,0,0,0,4,16,44,59,37,161,0,0,6,10,8,16,37,18,10,105,3,12,29,73,69,87,59,34,13,381,0,0,3,37,28,32,10,15,3,120,0,0,6,28,0,4,5,0,0,52
LGA11350,0,4,0,9,7,3,0,0,0,20,0,0,4,6,6,0,3,0,0,21,0,0,0,0,5,3,3,0,0,14,0,25,38,410,91,80,49,16,8,730,87,216,182,564,277,275,180,72,48,1906,857,2029,1675,5343,2796,2726,2171,833,370,18800,0,0,0,4,0,0,0,0,0,4,1517,3368,2479,5840,3386,3442,2957,1083,394,24450,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,10,230,29,12,7,0,0,287,0,0,3,4,0,0,0,0,0,9,0,10,14,102,45,27,27,9,0,231,0,0,0,61,10,12,7,3,0,88,0,6,4,9,3,8,3,0,0,36,0,0,0,3,0,4,3,0,0,17,0,0,0,4,0,4,3,4,0,16,6,65,73,460,352,371,382,156,51,1915,0,3,0,5,3,0,3,0,0,23,0,3,27,157,36,28,14,10,4,280
LGA11400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,4,9,5,0,28,22,73,51,104,90,81,68,61,33,578,375,993,714,1405,938,1011,795,485,204,6915,0,0,0,0,0,0,0,0,0,0,708,1874,1355,2305,1544,1639,1363,741,262,11776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,25,30,55,62,45,10,233,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,12
LGA11450,0,0,16,140,52,31,17,4,4,272,0,4,0,8,14,12,5,0,5,45,0,0,39,95,29,18,3,0,0,179,12,86,108,694,368,288,208,77,41,1879,133,260,227,572,163,147,119,76,39,1748,5417,9246,7236,19836,7153,5433,3786,1833,793,60735,0,5,8,95,32,18,3,5,0,173,10808,17195,12400,25827,9400,6171,4036,1888,739,88462,0,30,34,437,61,28,7,0,0,601,0,0,0,132,35,32,26,3,0,241,0,4,0,54,9,10,3,0,0,74,0,0,7,77,36,9,16,0,0,149,0,14,15,46,30,5,5,4,0,118,0,3,11,118,118,102,72,24,4,446,3,37,45,360,157,145,96,20,0,873,0,5,0,78,29,81,75,48,3,320,7,39,18,148,44,45,44,31,3,376,10,110,112,458,467,606,505,344,112,2725,0,16,50,604,258,159,85,24,7,1199,0,0,0,16,12,9,7,3,0,51
LGA11500,0,21,35,326,132,107,70,10,5,714,0,0,0,8,7,14,15,10,0,56,0,5,23,62,14,7,3,5,0,118,13,168,205,1116,707,696,500,272,83,3755,337,753,568,1463,513,443,374,281,155,4884,6442,12597,10801,27028,10257,10151,7775,3545,1271,89874,0,4,38,163,48,33,23,11,0,321,12177,21533,16508,25361,9165,9226,7280,2949,895,105084,25,251,353,3222,971,496,166,15,3,5504,0,5,4,79,62,52,29,15,3,238,0,0,3,56,7,7,8,0,0,82,0,13,21,191,99,68,60,13,3,470,5,10,9,51,23,23,6,0,0,121,0,5,8,143,147,198,176,124,20,821,3,53,82,731,328,445,251,94,40,2020,0,6,3,67,22,91,106,98,12,407,9,50,65,289,119,151,135,56,21,889,11,69,70,319,399,882,922,608,167,3442,0,50,110,1073,673,593,314,121,34,2965,0,0,0,26,18,17,15,13,0,86
