LGA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
LGA10800,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,120,25,20,7,5,0,3,3,0,9,194,15,19,35,9,5,5,12,6,0,0,107,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,21,28,9,5,5,15,6,0,0,117,0,0,0,0,0,0,0,0,0,0,0,135,55,52,8,14,7,20,10,0,11,314
LGA10850,0,0,0,0,0,65,0,0,0,0,0,0,0,0,4,70,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,316,31,28,5,0,0,3,3,0,16,394,26,13,13,0,0,10,5,0,0,0,62,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,12,13,0,5,12,5,0,0,0,69,0,0,0,0,0,0,0,0,0,0,5,340,41,40,5,5,8,7,3,0,15,468
LGA10900,0,0,0,7,9,1587,19,12,0,0,3,7,0,0,47,1675,348,3,0,0,4,0,0,0,0,22,380,70,0,0,0,0,0,0,0,0,6,73,17,0,0,0,0,0,0,0,0,4,22,4,0,0,0,0,0,0,0,0,0,7,92,0,0,0,0,0,0,0,0,12,104,5,0,0,0,0,0,0,0,0,9,10,446,3,0,0,4,0,0,0,0,37,496,8673,701,489,79,57,44,56,21,15,212,10346,1744,383,350,92,89,121,107,30,8,46,2969,100,40,35,15,7,16,21,8,0,12,249,14,0,0,0,0,0,0,0,0,4,19,1855,424,387,106,95,136,131,38,3,67,3236,16,0,0,0,0,0,0,0,0,20,35,10548,1117,877,188,147,180,189,53,19,291,13617
LGA10950,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,9,5,0,0,0,3,0,10,69,9,21,8,8,0,9,4,3,0,6,69,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,21,8,8,0,8,6,3,0,6,69,0,0,0,0,0,0,0,0,0,0,0,51,27,21,8,0,8,6,8,0,11,139
LGA11150,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,27,3,4,0,0,0,3,0,0,9,42,9,16,5,4,0,5,9,3,6,0,59,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,16,10,8,0,6,9,3,3,0,60,0,0,0,0,0,0,0,0,0,0,0,33,21,13,8,0,5,8,3,3,9,107
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,19,5,3,3,0,0,12,0,0,4,0,31,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,12,4,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,20,5,6,0,0,9,4,0,3,0,56
LGA11250,0,0,0,0,0,86,0,0,0,0,0,0,0,0,4,94,15,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,34,339,51,39,16,11,11,11,5,4,9,507,101,49,70,15,24,38,38,22,6,5,357,12,0,7,0,0,0,6,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,112,47,73,14,25,38,41,26,8,5,393,0,0,0,0,0,0,0,0,0,9,9,460,99,113,34,36,49,56,29,16,22,907
LGA11300,0,0,0,6,6,1219,56,39,4,3,9,8,0,0,36,1386,74,0,0,0,0,0,0,0,0,0,76,253,3,0,0,0,0,0,0,0,8,262,325,10,8,0,0,0,3,3,0,12,365,0,0,0,0,0,0,0,0,0,0,0,584,10,11,0,0,0,3,4,0,24,631,0,0,0,0,0,0,0,0,0,5,5,652,14,11,0,0,0,3,4,0,22,713,1835,253,290,70,69,115,117,50,18,77,2885,5457,1750,1966,769,1094,1778,1516,442,44,279,15089,2154,503,674,255,388,422,408,121,8,186,5120,18,4,4,3,4,0,10,3,0,8,51,7625,2259,2642,1022,1487,2204,1928,562,48,476,20262,3,0,0,0,3,0,5,0,0,49,70,9466,2510,2932,1088,1562,2322,2049,615,66,605,23216
LGA11350,0,0,0,0,0,368,6,7,0,0,0,3,0,0,9,397,72,0,0,0,0,0,0,0,0,6,83,19,0,0,0,0,0,0,0,0,12,23,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,14,34,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,23,120,3452,598,519,120,115,154,151,143,10,169,5427,658,326,446,140,133,207,271,126,10,62,2385,26,10,16,6,5,5,12,3,0,9,100,6,0,0,0,0,0,0,0,0,0,7,687,336,466,143,141,217,284,133,9,74,2494,0,0,0,0,0,0,6,0,0,8,11,4142,936,984,260,250,372,433,277,24,251,7928
LGA11400,0,0,0,0,0,94,0,0,0,0,0,0,0,0,7,108,16,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,25,484,40,43,6,17,0,0,0,0,34,626,57,33,27,6,8,14,7,4,0,8,163,4,0,4,0,0,0,0,0,0,3,19,3,0,0,0,0,0,0,0,0,0,3,61,35,29,6,4,15,7,4,0,14,183,0,0,0,0,0,0,0,0,0,0,0,546,79,75,13,24,14,6,4,0,46,810
LGA11450,0,0,0,10,14,1262,20,22,4,7,3,10,11,0,45,1391,185,0,4,0,0,0,0,0,0,27,215,102,6,0,0,0,0,0,0,0,5,117,70,4,0,0,0,0,0,0,0,9,85,0,0,0,0,0,0,0,0,0,0,0,175,4,3,0,0,0,0,0,0,12,203,0,0,0,0,0,0,0,0,0,5,5,360,8,3,3,0,0,3,0,0,46,418,7044,1006,904,141,162,129,97,67,27,240,9822,7118,3649,2826,449,453,352,365,142,56,199,15604,879,240,290,57,52,69,128,52,13,51,1835,7,0,0,0,0,0,0,3,0,8,24,8005,3888,3115,505,506,421,492,199,73,255,17464,12,8,5,0,0,7,0,0,0,66,97,15067,4903,4027,649,670,557,599,268,95,554,27386
LGA11500,0,0,0,66,73,2815,103,53,18,9,11,33,16,0,164,3216,314,0,0,0,0,0,0,0,0,21,339,173,7,4,0,0,0,0,0,0,9,189,193,21,8,0,0,0,6,0,0,6,234,0,0,0,0,0,0,0,0,0,11,16,371,23,18,0,0,0,6,0,0,30,444,4,0,0,0,0,0,0,0,0,42,49,689,29,19,0,0,0,6,0,0,91,828,11536,1526,1161,244,237,222,209,87,42,403,15674,18004,9510,6749,1327,1164,1114,1032,393,130,548,39980,2807,821,760,175,191,189,392,166,50,178,5730,40,10,11,0,0,4,5,3,3,46,118,20855,10346,7513,1506,1358,1310,1429,567,183,767,45832,29,9,15,4,5,3,0,0,0,298,365,32420,11879,8686,1752,1604,1538,1636,656,227,1460,61869
LGA11520,0,0,0,22,25,2514,43,33,9,3,3,17,7,0,91,2732,176,3,0,0,0,0,0,0,0,9,186,428,0,0,0,0,0,0,0,0,17,449,495,11,3,0,0,0,0,0,0,52,563,3,0,0,0,0,0,0,0,0,0,3,930,7,3,0,0,0,0,0,0,66,1022,3,0,0,0,0,0,0,0,0,64,72,1109,16,8,0,0,0,0,0,0,142,1279,6675,1143,1062,220,235,249,222,84,45,175,10101,9778,3048,3099,925,1030,1121,1158,411,114,307,20986,2327,476,534,139,179,187,327,123,30,154,4470,24,4,0,0,0,8,7,7,4,9,59,12129,3534,3634,1068,1216,1308,1487,535,145,464,25517,10,0,0,0,0,3,3,0,0,122,142,18813,4670,4700,1291,1445,1558,1707,620,194,764,35761
LGA11570,0,0,0,288,300,10757,333,200,36,30,29,59,27,0,621,12092,479,0,0,0,0,0,0,0,0,50,531,1357,12,5,0,0,4,0,4,0,77,1456,2437,91,32,4,3,8,8,0,0,112,2695,18,0,0,0,0,0,0,0,0,0,17,3807,104,31,3,3,6,17,3,0,193,4167,4,0,0,0,0,0,0,0,0,446,450,4293,105,32,3,3,6,17,3,0,687,5149,14484,2194,1987,387,454,430,425,179,59,619,21211,53794,14624,13313,3465,3868,4156,3962,1202,264,1944,100583,24012,4699,4813,1178,1678,1408,1549,578,238,1304,41457,172,32,47,6,22,24,41,12,6,68,440,77976,19357,18172,4649,5568,5584,5558,1797,513,3315,142489,65,20,17,4,6,17,3,3,4,1659,1804,92533,21572,20171,5032,6023,6033,5988,1974,578,5592,165497
LGA11600,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,47,20,18,8,6,11,14,6,0,0,135,9,33,24,13,20,30,42,28,12,9,214,0,0,3,0,3,6,12,9,3,3,49,0,0,0,0,0,0,0,0,0,0,0,9,36,20,19,20,33,59,34,15,16,262,0,0,0,0,0,0,0,4,0,4,9,61,56,41,19,27,41,70,42,14,17,402
