LGA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA15950,9403,18641,2032,2203,4803,2317,376,781,621,41183
LGA15990,28442,41531,14711,12003,16341,10983,3837,6349,2031,136223
LGA16100,437,315,367,241,231,146,323,313,76,2452
LGA16150,2302,4620,2959,2654,2549,1660,1409,1990,313,20446
LGA16200,995,947,869,722,684,508,703,667,103,6197
LGA16260,16818,43035,11120,10110,17438,8867,5907,7308,2447,123037
LGA16350,11567,17321,14156,11257,16634,8497,11355,9302,2012,102094
LGA16380,4128,7324,5054,5480,4378,3440,1750,3441,603,35597
LGA16400,3472,4803,5310,4338,3840,2848,2371,3381,607,30986
LGA16490,6250,7654,4624,3516,5658,2291,1670,2346,781,34789
LGA16550,12238,25647,6211,5762,8386,4666,1890,3090,1182,69077
LGA16610,1110,1090,1209,1276,980,785,769,1746,153,9119
LGA16700,10335,24337,5863,4953,9263,4890,1748,3024,1146,65564
LGA16900,3402,5682,5750,4871,4564,3247,2951,3471,579,34522
LGA16950,5288,7636,7012,6305,4607,3983,2130,4638,691,42293
LGA17000,1303,1464,2183,1570,1307,942,1936,1182,227,12105
LGA17040,2030,1690,1519,1435,1186,905,785,1288,226,11068
LGA17080,1105,821,907,759,617,436,694,1082,127,6549
LGA17100,2800,7694,2038,1985,2942,1832,1026,1945,537,22795
LGA17150,20035,30922,15283,11770,18267,9415,4054,5957,1739,117444
LGA17200,23719,52808,8953,9739,13496,7916,2505,5464,2283,126888
LGA17310,3636,5041,4000,3621,3280,2579,2009,4024,451,28644
LGA17350,550,394,359,323,280,204,190,347,48,2685
LGA17400,562,325,269,266,265,176,180,313,75,2431
LGA17420,18196,31402,9132,7118,14436,7679,2818,4217,1489,96477
LGA17550,4965,7891,6272,5740,4665,3829,2045,4492,787,40678
LGA17620,1037,825,1152,631,575,403,892,1136,122,6784
LGA17640,1095,563,511,423,446,221,237,419,94,3997
LGA17650,500,455,376,313,324,184,145,346,48,2688
LGA17750,4066,6901,4996,4823,3733,3028,1785,3375,576,33283
LGA17850,470,154,134,118,122,76,79,203,24,1379
LGA17900,427,220,132,288,153,84,128,206,35,1668
LGA17950,343,108,123,83,106,58,107,158,24,1106
LGA18020,882,463,353,394,277,199,238,526,76,3401
LGA18050,8448,15962,2532,2535,3654,2584,587,1155,764,38229
LGA18100,454,193,148,144,125,88,116,200,20,1487
LGA18200,657,442,427,339,352,231,229,422,73,3174
LGA18250,7726,15460,2219,2442,4411,2570,621,1198,663,37312
LGA18350,3785,5156,3799,2594,2627,2009,1334,2265,397,23960
LGA18400,3720,3986,4898,2678,3812,2061,2411,2479,493,26528
LGA18450,11323,24620,13766,12667,12282,7663,5962,8200,1524,98020
LGA18500,7020,12489,1068,1422,2861,1972,196,449,748,28230
LGA18710,1844,1954,1286,982,1200,532,361,662,177,9001
LGA19399,236,54,48,31,44,24,14,93,13,556
LGA19499,234,500,279,334,236,171,253,419,77,2511
LGA19799,0,0,0,0,0,0,0,0,0,0
