LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA10800,0,0,0,0,0,0,4,9,3,0,6,11,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,8,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,9,28,12,0,3,6,0,0,0,0,0,0,0,0,68,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,19,10,0,0,0,0,0,0,0,42,0,28,29,24,33,18,54,52,8,14,7,20,10,0,11,314
LGA10850,0,0,0,0,0,3,9,6,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,9,3,22,53,24,21,14,14,12,5,0,0,4,0,0,7,176,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,4,6,3,4,8,0,0,5,3,0,0,0,53,14,45,88,65,66,44,56,40,5,5,8,7,3,0,15,468
LGA10900,0,0,3,24,87,48,59,47,15,12,19,23,6,0,10,356,8,8,8,21,84,36,20,12,0,0,0,0,4,0,7,202,0,0,5,14,16,12,20,10,0,0,0,0,0,0,0,83,0,3,28,68,85,39,78,21,3,4,0,0,0,0,7,345,0,0,14,8,13,10,0,3,0,0,3,3,0,0,8,74,0,0,0,4,3,5,10,9,4,0,0,0,0,0,0,33,0,0,0,0,25,20,44,22,9,9,5,12,9,0,7,172,131,474,1381,1029,727,441,493,191,28,24,19,25,3,3,105,5068,4,14,58,99,60,78,106,59,9,14,12,13,3,0,12,534,0,0,4,20,11,8,23,22,9,10,13,25,8,0,6,169,82,166,373,390,341,255,267,168,34,18,32,23,8,0,38,2200,358,1070,2458,2270,2210,1542,1759,877,188,147,180,189,53,19,291,13617
LGA10950,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,8,0,0,3,0,0,3,0,3,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,13,3,0,9,10,10,12,33,21,8,0,8,6,8,0,11,139
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,10,0,5,7,3,6,12,25,13,8,0,5,8,3,3,9,107
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,11,0,0,4,5,5,3,15,6,0,0,9,4,0,3,0,56
LGA11250,0,0,0,0,24,21,19,47,13,11,23,22,10,7,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,14,3,26,47,33,19,4,17,5,7,0,0,0,0,0,3,169,0,0,0,0,6,3,6,6,0,5,0,7,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,20,14,11,12,13,16,20,7,0,10,0,3,0,0,133,15,82,96,77,92,69,122,113,34,36,49,56,29,16,22,907
LGA11300,0,0,3,40,91,75,83,66,18,42,46,83,25,0,22,604,0,4,3,10,26,11,5,0,0,0,3,5,0,0,4,75,0,0,5,6,24,12,46,13,10,7,16,11,0,0,4,139,0,0,5,9,4,21,13,0,4,0,0,0,0,0,0,69,0,0,0,19,87,36,34,12,3,0,6,8,0,0,0,215,0,0,0,0,51,41,50,118,45,44,49,38,14,0,12,462,0,0,0,3,15,25,67,123,32,12,27,19,6,0,17,349,9,29,81,68,62,50,63,48,4,3,9,14,0,0,13,455,0,0,3,7,7,10,25,16,4,4,6,7,6,0,3,104,0,0,8,263,195,73,95,136,60,50,62,90,23,3,30,1076,29,79,174,280,259,212,198,156,79,84,90,104,38,0,27,1805,108,614,1316,1432,2387,2413,3710,2932,1088,1562,2322,2049,615,66,605,23216
LGA11350,0,0,0,8,13,10,19,17,4,0,9,4,5,0,5,100,0,5,0,0,11,5,0,3,0,0,0,0,3,0,0,34,0,3,5,4,4,0,5,0,0,7,0,0,0,5,0,37,0,0,14,45,53,45,47,11,0,0,0,0,13,0,0,229,0,0,6,0,9,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,5,4,4,4,4,3,0,0,0,0,0,18,0,0,0,3,3,9,24,20,0,5,9,3,10,0,3,92,29,127,295,270,269,273,376,198,52,32,49,47,31,0,75,2127,0,4,21,55,58,73,83,61,10,3,22,21,43,3,15,476,0,0,0,7,0,3,3,5,0,0,0,0,0,0,4,26,14,34,84,121,183,180,360,341,109,107,165,226,102,5,55,2088,73,306,595,761,975,932,1434,984,260,250,372,433,277,24,251,7928
LGA11400,0,0,0,4,0,3,6,0,0,3,0,3,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,3,11,12,8,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,3,32,97,49,24,15,23,13,0,9,0,0,0,0,12,271,0,0,5,4,4,0,3,3,0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,10,10,12,3,9,11,0,4,4,0,4,0,3,88,16,75,149,102,92,71,115,75,13,24,14,6,4,0,46,810
LGA11450,0,0,8,34,329,293,344,259,57,50,31,46,24,0,24,1504,0,3,9,10,97,33,25,11,3,0,0,0,5,0,5,198,0,4,3,6,11,10,25,11,5,3,10,4,0,0,0,91,0,0,5,47,92,92,178,58,12,9,24,55,24,6,4,622,0,3,9,13,27,54,84,70,14,5,5,7,0,0,9,296,0,0,0,0,8,25,19,16,7,4,5,0,0,0,0,93,0,0,0,0,58,51,101,47,8,8,17,12,4,0,4,306,52,260,826,597,498,256,441,291,30,36,21,16,15,13,76,3423,0,0,13,12,22,49,65,38,13,10,6,10,5,7,8,255,0,0,0,54,87,73,76,71,13,9,7,15,8,3,22,438,60,188,467,781,1023,1067,1078,576,117,136,80,86,38,21,114,5824,224,886,2131,2274,3558,4100,6799,4027,649,670,557,599,268,95,554,27386
LGA11500,0,0,12,161,1186,1098,1127,686,158,118,127,188,59,12,78,5006,10,12,9,28,260,64,48,14,0,0,6,0,0,0,6,468,0,0,6,18,26,9,34,22,18,8,5,10,0,0,4,166,0,6,17,113,275,156,176,47,8,26,19,12,5,0,11,872,0,9,7,23,123,87,163,100,20,30,28,38,26,20,5,684,0,0,0,0,23,25,19,14,0,3,3,8,0,0,0,100,0,0,0,23,155,168,253,112,25,15,19,20,5,6,28,827,73,425,1481,972,621,219,239,147,23,28,17,16,14,13,150,4430,0,0,18,33,39,48,83,47,20,4,9,22,4,0,5,333,0,0,5,97,308,196,239,166,45,36,28,32,9,0,49,1219,65,204,650,1623,2455,2191,1987,1207,296,288,243,241,104,32,338,11932,269,1155,3297,4465,8676,10023,16413,8686,1752,1604,1538,1636,656,227,1460,61869
LGA11520,0,0,11,67,185,143,164,140,44,36,63,97,31,0,20,998,12,7,13,16,52,18,34,22,4,3,11,0,0,0,0,187,0,5,4,37,46,40,60,33,7,11,6,9,10,8,9,276,0,4,17,53,82,96,116,39,18,26,27,20,0,9,12,506,0,0,9,39,123,79,68,35,11,8,9,15,4,0,12,410,0,0,0,9,58,57,66,53,14,19,11,16,7,0,0,312,0,0,0,11,42,60,118,74,30,14,16,11,4,3,4,383,44,132,338,283,284,303,541,329,54,60,67,47,18,11,56,2563,0,0,10,40,29,62,76,64,27,28,26,22,29,3,11,426,0,0,0,233,261,77,57,56,20,21,21,33,15,0,25,821,69,149,395,667,494,562,690,542,203,230,263,269,63,19,67,4687,278,1758,3146,2853,4124,4434,6887,4700,1291,1445,1558,1707,620,194,764,35761
LGA11570,0,4,21,219,1022,877,969,682,166,166,252,337,70,20,100,4906,32,33,41,64,159,73,44,35,11,6,13,0,0,0,35,547,0,7,7,56,81,77,130,58,13,10,6,17,0,0,10,476,0,0,22,76,120,110,137,44,12,8,10,11,14,0,17,588,0,6,26,52,118,123,123,71,13,13,3,12,11,0,21,596,0,0,0,10,85,87,85,110,30,39,29,35,10,0,27,540,0,0,3,31,165,238,446,258,70,33,36,36,16,8,55,1395,86,248,745,479,358,296,451,274,44,43,30,41,26,6,138,3290,0,7,24,33,68,85,138,124,18,34,31,21,18,4,18,619,5,4,31,2220,6230,4207,3185,2576,634,581,515,585,274,109,813,21972,202,532,1727,3379,3624,3797,4242,3510,1090,973,980,892,329,78,864,26221,697,3768,11818,16450,25216,24474,31681,20171,5032,6023,6033,5988,1974,578,5592,165497
